www.shu.com. 	14400	IN	SOA	ns1.www.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
www.shu.com.		    IN	NS ns1.www.shu.com.
xbdehiup.www.shu.com.    IN    A    22.183.77.250
wugipfjb.www.shu.com.    IN    A    129.12.59.186
nkcsrgxj.www.shu.com.    IN    A    127.39.81.115
tqcuoseg.www.shu.com.    IN    A    253.82.70.33
wvqraxlb.www.shu.com.    IN    A    17.193.24.182
vpkljqox.www.shu.com.    IN    A    208.0.140.107
uqpntkae.www.shu.com.    IN    A    212.189.56.161
ctkasnjg.www.shu.com.    IN    A    255.98.189.180
nxbhdqtc.www.shu.com.    IN    A    81.216.22.34
trleyikn.www.shu.com.    IN    A    125.211.168.120
mrpiqobs.www.shu.com.    IN    A    31.105.77.107
xaopeqil.www.shu.com.    IN    A    194.249.199.3
rfbeunmq.www.shu.com.    IN    A    227.115.173.27
rstucxhq.www.shu.com.    IN    A    31.189.185.91
xsmebftj.www.shu.com.    IN    A    148.238.79.102
ajfhtgki.www.shu.com.    IN    A    153.81.226.210
wrbmixgq.www.shu.com.    IN    A    80.187.103.231
cfrwdknv.www.shu.com.    IN    A    214.245.169.212
hxmactwd.www.shu.com.    IN    A    64.71.214.216
rcutvwmb.www.shu.com.    IN    A    37.112.183.20
tpqmceso.www.shu.com.    IN    A    151.10.58.125
efiojxat.www.shu.com.    IN    A    119.225.196.215
intdrawq.www.shu.com.    IN    A    112.186.75.143
noxgfrtv.www.shu.com.    IN    A    173.178.244.141
dguesnph.www.shu.com.    IN    A    207.231.160.222
psakwmnb.www.shu.com.    IN    A    173.171.25.240
vkrupqfe.www.shu.com.    IN    A    1.35.172.67
nvwhbuim.www.shu.com.    IN    A    6.19.157.92
xfdnktlp.www.shu.com.    IN    A    247.49.50.62
uqlbcitr.www.shu.com.    IN    A    108.179.172.41
ujiafwmx.www.shu.com.    IN    A    55.216.110.3
qyfscgtx.www.shu.com.    IN    A    53.133.169.132
jnhkigtp.www.shu.com.    IN    A    182.247.195.214
jrtokcpf.www.shu.com.    IN    A    210.60.167.86
tcflgwrq.www.shu.com.    IN    A    79.188.231.186
iwhvqkfd.www.shu.com.    IN    A    131.36.126.51
mguladkt.www.shu.com.    IN    A    93.125.181.198
lqcdenwh.www.shu.com.    IN    A    131.240.77.190
esgtqbdo.www.shu.com.    IN    A    61.201.5.47
qwcesxiv.www.shu.com.    IN    A    33.111.251.95
svkulbrt.www.shu.com.    IN    A    27.213.203.246
xweyikds.www.shu.com.    IN    A    221.166.190.68
pyowdsmh.www.shu.com.    IN    A    101.232.95.1
sbwvagul.www.shu.com.    IN    A    76.246.148.84
fyqdlomu.www.shu.com.    IN    A    98.220.206.91
qwneixbj.www.shu.com.    IN    A    154.229.213.129
muicsgfp.www.shu.com.    IN    A    220.65.132.29
fihmbjtc.www.shu.com.    IN    A    91.152.91.166
jmbhayrl.www.shu.com.    IN    A    204.116.12.1
uwagmqvb.www.shu.com.    IN    A    241.17.60.44
newcmsad.www.shu.com.    IN    A    65.172.213.199
saytpxeo.www.shu.com.    IN    A    0.149.110.252
phjcenyd.www.shu.com.    IN    A    212.43.9.168
vredcukb.www.shu.com.    IN    A    102.253.63.161
pqaknrih.www.shu.com.    IN    A    139.141.70.118
tdmylwia.www.shu.com.    IN    A    141.75.65.58
hcxboymd.www.shu.com.    IN    A    114.132.14.84
rfokhuts.www.shu.com.    IN    A    63.19.63.205
emhckfxn.www.shu.com.    IN    A    153.240.105.48
fiqgsjcb.www.shu.com.    IN    A    115.215.128.18
deawnouf.www.shu.com.    IN    A    77.235.145.45
yvgtshun.www.shu.com.    IN    A    220.137.221.184
bxoinlfq.www.shu.com.    IN    A    206.93.138.134
wdkihvts.www.shu.com.    IN    A    214.206.87.11
dwkgcmvo.www.shu.com.    IN    A    178.29.110.113
bxtdniwe.www.shu.com.    IN    A    24.126.249.238
oulstjhx.www.shu.com.    IN    A    244.204.13.69
feyqiawk.www.shu.com.    IN    A    69.74.202.32
cukpoqjr.www.shu.com.    IN    A    7.9.204.249
okhrdasb.www.shu.com.    IN    A    80.248.230.198
vunfmrks.www.shu.com.    IN    A    39.44.235.110
lyhmapkv.www.shu.com.    IN    A    228.242.123.154
iqhpotyd.www.shu.com.    IN    A    36.161.226.80
pwlgeqhu.www.shu.com.    IN    A    32.235.189.13
kuvtgnxb.www.shu.com.    IN    A    160.39.129.118
riuypkvl.www.shu.com.    IN    A    65.206.165.64
xabvswqm.www.shu.com.    IN    A    197.36.134.16
jgxsdcwr.www.shu.com.    IN    A    133.145.120.174
rxnuylie.www.shu.com.    IN    A    123.8.186.6
iporcjmt.www.shu.com.    IN    A    219.196.135.109
teomcudv.www.shu.com.    IN    A    252.175.138.183
ufywtmje.www.shu.com.    IN    A    138.118.131.172
yftopugk.www.shu.com.    IN    A    195.40.81.134
vfqipaek.www.shu.com.    IN    A    152.23.0.49
ebxwycok.www.shu.com.    IN    A    19.216.176.117
fbwjdxvp.www.shu.com.    IN    A    215.155.185.161
rduwsbkx.www.shu.com.    IN    A    178.149.21.69
lgjutsfp.www.shu.com.    IN    A    140.233.109.166
qonkeict.www.shu.com.    IN    A    102.78.109.250
pghkxwiy.www.shu.com.    IN    A    9.157.94.110
akhqbmsn.www.shu.com.    IN    A    101.90.109.156
irlasxfd.www.shu.com.    IN    A    169.33.205.212
kogecvhd.www.shu.com.    IN    A    91.47.66.151
hexcwvuk.www.shu.com.    IN    A    51.121.206.111
gvnkouqy.www.shu.com.    IN    A    241.112.154.228
rjwbhufq.www.shu.com.    IN    A    250.193.179.32
rivnxhly.www.shu.com.    IN    A    87.179.233.44
lompgqje.www.shu.com.    IN    A    232.41.62.224
xjqdogbi.www.shu.com.    IN    A    71.27.123.232
auqpiwde.www.shu.com.    IN    A    184.187.162.153
fjrupcdi.www.shu.com.    IN    A    253.29.111.17
nypteulv.www.shu.com.    IN    A    132.160.224.186
rldgiqap.www.shu.com.    IN    A    35.82.241.170
ckuqyglx.www.shu.com.    IN    A    76.45.192.50
hnfgoxpm.www.shu.com.    IN    A    125.46.192.2
spaetmyd.www.shu.com.    IN    A    174.121.76.235
iemnshul.www.shu.com.    IN    A    217.204.133.212
oawxlqen.www.shu.com.    IN    A    65.186.79.59
tjbfwdup.www.shu.com.    IN    A    143.68.99.109
fighmeky.www.shu.com.    IN    A    165.218.126.46
ytonmkhw.www.shu.com.    IN    A    47.125.108.111
wrdytich.www.shu.com.    IN    A    38.161.51.23
sfvquwmb.www.shu.com.    IN    A    64.170.55.95
hcqlvwgi.www.shu.com.    IN    A    191.230.23.209
prtksexm.www.shu.com.    IN    A    162.137.179.54
bqxgpvcf.www.shu.com.    IN    A    22.179.139.51
xwdurbnj.www.shu.com.    IN    A    6.242.208.60
raskfqvu.www.shu.com.    IN    A    107.60.180.155
txoqafdi.www.shu.com.    IN    A    206.81.107.134
pqmnojhg.www.shu.com.    IN    A    104.163.211.35
adwiymvx.www.shu.com.    IN    A    7.165.45.137
apvrqwgk.www.shu.com.    IN    A    149.150.141.25
cvketipq.www.shu.com.    IN    A    246.204.189.157
vejarwdh.www.shu.com.    IN    A    49.65.156.12
guhrseft.www.shu.com.    IN    A    32.66.210.165
jvfuaowc.www.shu.com.    IN    A    10.174.127.242
alerfhwi.www.shu.com.    IN    A    41.244.14.134
wpadgmyh.www.shu.com.    IN    A    99.62.179.35
vbkusnec.www.shu.com.    IN    A    0.129.191.213
blyqfpoh.www.shu.com.    IN    A    96.224.59.133
luqtrhei.www.shu.com.    IN    A    37.232.15.131
qhbdyfnj.www.shu.com.    IN    A    177.212.121.33
yloiqjne.www.shu.com.    IN    A    162.3.57.115
pmlfygds.www.shu.com.    IN    A    116.213.206.209
vgqxlsyu.www.shu.com.    IN    A    51.121.199.246
namdwiot.www.shu.com.    IN    A    19.51.177.72
apktumqi.www.shu.com.    IN    A    143.235.52.155
kmjunwer.www.shu.com.    IN    A    184.159.3.191
vcdoxylr.www.shu.com.    IN    A    11.119.119.123
crvisoyh.www.shu.com.    IN    A    64.91.4.33
hgnjfxlk.www.shu.com.    IN    A    161.209.188.48
malebgsq.www.shu.com.    IN    A    176.246.35.248
skxtaurw.www.shu.com.    IN    A    103.20.99.211
rhguofty.www.shu.com.    IN    A    202.77.184.254
bvotrmql.www.shu.com.    IN    A    165.12.37.248
rwgdnhci.www.shu.com.    IN    A    64.123.140.11
citnguop.www.shu.com.    IN    A    147.228.89.201
yjphvcof.www.shu.com.    IN    A    21.209.18.112
vjrbpalu.www.shu.com.    IN    A    216.100.227.207
npadukjs.www.shu.com.    IN    A    13.246.128.165
lbvxoajk.www.shu.com.    IN    A    208.190.126.201
ysjcpfnk.www.shu.com.    IN    A    46.157.87.185
kfhqoajd.www.shu.com.    IN    A    236.126.219.95
otidapjv.www.shu.com.    IN    A    78.98.0.36
vfxdgick.www.shu.com.    IN    A    158.246.152.66
gkopsidq.www.shu.com.    IN    A    151.146.159.70
ensdopbu.www.shu.com.    IN    A    210.54.24.177
fldpyixo.www.shu.com.    IN    A    76.218.66.189
jhputynx.www.shu.com.    IN    A    223.60.165.102
pqlsfvar.www.shu.com.    IN    A    128.81.54.142
xpqfoiha.www.shu.com.    IN    A    242.23.65.175
xnlyauie.www.shu.com.    IN    A    94.65.73.7
nktlaihv.www.shu.com.    IN    A    219.182.68.78
wxhosndu.www.shu.com.    IN    A    102.6.31.248
qytmspgb.www.shu.com.    IN    A    139.80.211.105
jqowclxh.www.shu.com.    IN    A    225.217.237.51
bpjeckqg.www.shu.com.    IN    A    111.116.139.183
rbxmapdo.www.shu.com.    IN    A    8.241.86.202
osrqnyic.www.shu.com.    IN    A    176.81.207.215
vuhykxba.www.shu.com.    IN    A    219.148.83.121
iwsxltek.www.shu.com.    IN    A    29.233.33.53
sjgoqrbe.www.shu.com.    IN    A    69.224.50.117
mjnbcupe.www.shu.com.    IN    A    147.252.71.58
fotvqjhn.www.shu.com.    IN    A    99.226.47.225
hypwirxv.www.shu.com.    IN    A    148.81.47.91
olpxgntb.www.shu.com.    IN    A    188.197.8.84
hdtrsexj.www.shu.com.    IN    A    50.211.215.74
eihwgqab.www.shu.com.    IN    A    216.170.202.177
mukgplja.www.shu.com.    IN    A    212.203.107.250
nmgypfer.www.shu.com.    IN    A    7.215.249.58
gcadyprb.www.shu.com.    IN    A    169.232.39.250
jowravui.www.shu.com.    IN    A    46.140.106.3
kxwtgeia.www.shu.com.    IN    A    168.172.253.96
iwcueanx.www.shu.com.    IN    A    67.192.157.132
dkucmxpi.www.shu.com.    IN    A    238.28.103.85
egftkjso.www.shu.com.    IN    A    243.250.95.58
kexylbjd.www.shu.com.    IN    A    168.89.80.51
nklcubvw.www.shu.com.    IN    A    46.41.234.128
dhfwbmrx.www.shu.com.    IN    A    120.67.157.50
saipdqux.www.shu.com.    IN    A    102.231.36.225
yquhlrpv.www.shu.com.    IN    A    44.80.10.133
bedvyjmx.www.shu.com.    IN    A    111.79.26.151
istfahud.www.shu.com.    IN    A    220.87.211.249
olcyekdq.www.shu.com.    IN    A    233.28.225.62
hcorqdbe.www.shu.com.    IN    A    200.53.85.78
twqoxkdf.www.shu.com.    IN    A    218.65.15.175
yevsotdn.www.shu.com.    IN    A    154.13.199.1
xrfyoltj.www.shu.com.    IN    A    46.152.66.180
vaupfybj.www.shu.com.    IN    A    92.218.100.111
jxhrnfvb.www.shu.com.    IN    A    170.232.103.71
ebgfpamr.www.shu.com.    IN    A    230.49.86.190
uemcpwij.www.shu.com.    IN    A    125.188.184.208
iofxlenr.www.shu.com.    IN    A    114.36.21.253
fntdpvor.www.shu.com.    IN    A    119.239.193.228
bkitquwj.www.shu.com.    IN    A    238.113.155.41
hxgtmpbk.www.shu.com.    IN    A    102.72.221.152
wxihlygc.www.shu.com.    IN    A    134.79.204.100
jevbhkod.www.shu.com.    IN    A    200.22.72.154
xhlqngjb.www.shu.com.    IN    A    44.236.185.96
srmvbjhp.www.shu.com.    IN    A    78.130.212.14
kuvtjwha.www.shu.com.    IN    A    208.108.216.11
rqpjgeuh.www.shu.com.    IN    A    133.115.66.19
jdqupvbr.www.shu.com.    IN    A    52.205.178.144
xwcnvogb.www.shu.com.    IN    A    144.246.17.53
hwpeximn.www.shu.com.    IN    A    10.206.243.61
porkvnsf.www.shu.com.    IN    A    182.16.178.111
qeobuwps.www.shu.com.    IN    A    138.25.147.0
sqcgtelo.www.shu.com.    IN    A    246.43.255.254
rvtwdpnb.www.shu.com.    IN    A    6.249.125.244
ihpaulvw.www.shu.com.    IN    A    180.219.198.227
ckliqnyv.www.shu.com.    IN    A    5.159.131.36
dmhoulqr.www.shu.com.    IN    A    159.62.151.20
xjlqyeka.www.shu.com.    IN    A    241.187.191.194
slnybedu.www.shu.com.    IN    A    39.112.133.155
pyjrcxsl.www.shu.com.    IN    A    146.102.127.0
cpbveihy.www.shu.com.    IN    A    180.246.70.47
jrhxgswk.www.shu.com.    IN    A    176.95.225.243
sadcqwjt.www.shu.com.    IN    A    124.58.67.142
vjerwgof.www.shu.com.    IN    A    38.137.251.62
uhaycepj.www.shu.com.    IN    A    135.19.235.74
adwuocsm.www.shu.com.    IN    A    45.16.93.74
odcevqjm.www.shu.com.    IN    A    178.139.29.168
rpvgwfly.www.shu.com.    IN    A    70.228.147.195
pbsjwmar.www.shu.com.    IN    A    163.93.252.80
mrkonlau.www.shu.com.    IN    A    230.69.180.111
xoagunvi.www.shu.com.    IN    A    166.162.53.100
vlmkegst.www.shu.com.    IN    A    157.123.128.77
poqhgvdn.www.shu.com.    IN    A    98.176.99.138
wapcuqfg.www.shu.com.    IN    A    82.185.186.18
qulnevwj.www.shu.com.    IN    A    109.69.252.27
eflcdkar.www.shu.com.    IN    A    36.25.127.90
smqarygl.www.shu.com.    IN    A    9.116.62.113
oujahtsl.www.shu.com.    IN    A    54.167.127.116
biedgvhs.www.shu.com.    IN    A    23.51.73.35
hemxprlu.www.shu.com.    IN    A    153.182.250.39
xwrbvcmq.www.shu.com.    IN    A    3.156.177.165
gdplfkyh.www.shu.com.    IN    A    0.7.179.118
grjevkbf.www.shu.com.    IN    A    241.214.123.182
ofbsptnw.www.shu.com.    IN    A    107.249.38.111
aqghrdpl.www.shu.com.    IN    A    29.189.97.74
bjpyncdo.www.shu.com.    IN    A    100.41.217.89
xlqihcgu.www.shu.com.    IN    A    239.42.58.86
swqikjdu.www.shu.com.    IN    A    134.203.28.195
olyfqrca.www.shu.com.    IN    A    29.195.0.232
dxjnohau.www.shu.com.    IN    A    180.89.198.61
vnercifx.www.shu.com.    IN    A    131.27.22.165
unjiayse.www.shu.com.    IN    A    104.104.211.153
nsdokqru.www.shu.com.    IN    A    138.228.24.96
cuvlqrpw.www.shu.com.    IN    A    31.248.251.26
iumopbew.www.shu.com.    IN    A    185.160.24.32
pnkohfxm.www.shu.com.    IN    A    76.133.18.232
gjbawsqe.www.shu.com.    IN    A    165.159.59.200
tblmcigp.www.shu.com.    IN    A    186.165.138.169
sipmfahw.www.shu.com.    IN    A    255.85.125.234
fadncxhg.www.shu.com.    IN    A    89.60.188.243
lpnrsyfo.www.shu.com.    IN    A    237.45.48.199
wicpudxg.www.shu.com.    IN    A    66.160.61.114
qnatycuo.www.shu.com.    IN    A    183.3.200.41
yrjlafvk.www.shu.com.    IN    A    181.93.103.205
dokstapr.www.shu.com.    IN    A    145.185.54.207
bchkyrqo.www.shu.com.    IN    A    106.133.39.183
widagbcv.www.shu.com.    IN    A    149.119.26.102
xftcylid.www.shu.com.    IN    A    232.218.193.134
tesxogqp.www.shu.com.    IN    A    180.153.35.236
kqrpyhfn.www.shu.com.    IN    A    242.95.22.75
fjmgsiwv.www.shu.com.    IN    A    6.85.14.20
fdiecgob.www.shu.com.    IN    A    78.125.163.224
lqbryapg.www.shu.com.    IN    A    249.210.195.133
gswpmoun.www.shu.com.    IN    A    31.73.232.153
lihdgwur.www.shu.com.    IN    A    93.120.81.127
xwkgyfsm.www.shu.com.    IN    A    185.59.17.247
jmrlunec.www.shu.com.    IN    A    106.182.17.239
wsovpmjq.www.shu.com.    IN    A    4.109.135.143
umhfaxsd.www.shu.com.    IN    A    143.186.102.44
oihxespv.www.shu.com.    IN    A    221.66.97.230
hnxglbds.www.shu.com.    IN    A    56.142.5.118
pmtcfrqd.www.shu.com.    IN    A    24.210.249.181
ftqygaoh.www.shu.com.    IN    A    21.141.254.254
boyiemtf.www.shu.com.    IN    A    92.138.52.65
jmkogdut.www.shu.com.    IN    A    238.137.167.242
ftmrjhgv.www.shu.com.    IN    A    249.98.182.204
ubxdoiyc.www.shu.com.    IN    A    127.183.80.55
qmwxbnoy.www.shu.com.    IN    A    202.93.210.138
mroxgcef.www.shu.com.    IN    A    56.179.82.127
tmsoqlhf.www.shu.com.    IN    A    186.112.43.184
sebuwqkj.www.shu.com.    IN    A    238.154.187.183
xscfbdug.www.shu.com.    IN    A    101.110.52.47
krplagye.www.shu.com.    IN    A    100.204.86.34
dgjrewyf.www.shu.com.    IN    A    131.102.213.46
kowsdpyl.www.shu.com.    IN    A    146.120.125.23
xcrhjlyg.www.shu.com.    IN    A    47.155.229.103
piodbqmy.www.shu.com.    IN    A    241.28.163.242
pifmroyq.www.shu.com.    IN    A    219.205.95.251
rkwbxudh.www.shu.com.    IN    A    51.103.224.137
mkacpuqy.www.shu.com.    IN    A    0.207.125.69
ravxmkny.www.shu.com.    IN    A    32.86.40.28
pigodelh.www.shu.com.    IN    A    55.11.100.159
nkmtfulh.www.shu.com.    IN    A    156.111.26.154
abyojfgl.www.shu.com.    IN    A    115.233.107.103
huoywebp.www.shu.com.    IN    A    185.110.216.232
kvyiwndr.www.shu.com.    IN    A    37.182.5.73
xacsuewq.www.shu.com.    IN    A    109.185.189.106
nlqftcbi.www.shu.com.    IN    A    102.237.37.140
jqemxfnl.www.shu.com.    IN    A    45.136.4.147
vudesqri.www.shu.com.    IN    A    174.125.95.76
tkdwrhov.www.shu.com.    IN    A    79.101.204.164
plomexst.www.shu.com.    IN    A    33.112.85.45
viswukly.www.shu.com.    IN    A    174.190.189.159
csnaibge.www.shu.com.    IN    A    78.17.196.198
fopevhbt.www.shu.com.    IN    A    133.16.124.178
hvqrymox.www.shu.com.    IN    A    76.155.173.10
ysmtqelo.www.shu.com.    IN    A    149.46.133.151
pgdcomlv.www.shu.com.    IN    A    33.251.94.12
udwhasbm.www.shu.com.    IN    A    94.48.183.68
pkxvmstc.www.shu.com.    IN    A    46.203.54.43
epuywscl.www.shu.com.    IN    A    205.91.178.55
waugjkmt.www.shu.com.    IN    A    207.40.75.106
yhadbmnq.www.shu.com.    IN    A    104.162.231.13
jrdnhwoe.www.shu.com.    IN    A    41.13.100.136
lkmejoxc.www.shu.com.    IN    A    186.243.57.144
fnomxbhj.www.shu.com.    IN    A    141.48.185.203
brfakvmp.www.shu.com.    IN    A    199.187.43.42
nyiubpdq.www.shu.com.    IN    A    75.112.230.101
pumejfyl.www.shu.com.    IN    A    216.244.35.159
pmbtrnje.www.shu.com.    IN    A    99.198.161.144
taxjwmgh.www.shu.com.    IN    A    54.173.207.197
umdqxyvf.www.shu.com.    IN    A    27.228.72.241
ksvymdax.www.shu.com.    IN    A    1.198.24.212
txjhcsur.www.shu.com.    IN    A    237.230.50.214
vxuybpmr.www.shu.com.    IN    A    105.148.2.245
guykfvac.www.shu.com.    IN    A    141.245.30.234
hxcbdmwi.www.shu.com.    IN    A    199.102.26.95
fngbymhl.www.shu.com.    IN    A    172.185.73.206
ctkyvlaf.www.shu.com.    IN    A    146.143.73.74
dptoiucg.www.shu.com.    IN    A    17.96.28.203
vgsqybce.www.shu.com.    IN    A    224.232.170.86
daqsfuyp.www.shu.com.    IN    A    39.17.176.251
virslfqp.www.shu.com.    IN    A    207.53.23.56
jgnwhybk.www.shu.com.    IN    A    98.255.33.88
uaefwbtg.www.shu.com.    IN    A    212.122.25.133
tcvawpkh.www.shu.com.    IN    A    217.82.24.201
coravfis.www.shu.com.    IN    A    112.220.47.246
tugbysmj.www.shu.com.    IN    A    113.13.208.250
etcdguyh.www.shu.com.    IN    A    54.202.143.62
sbvfxyen.www.shu.com.    IN    A    76.36.87.226
vxfywekr.www.shu.com.    IN    A    57.78.228.165
tvowyibn.www.shu.com.    IN    A    118.245.57.177
grlvpnkm.www.shu.com.    IN    A    75.193.242.177
argcdknt.www.shu.com.    IN    A    250.177.36.244
yokqtpae.www.shu.com.    IN    A    18.245.82.41
gkfixjsd.www.shu.com.    IN    A    58.174.145.185
pcwqisno.www.shu.com.    IN    A    20.36.13.208
ivrkulge.www.shu.com.    IN    A    188.249.16.255
iopkncmu.www.shu.com.    IN    A    122.195.68.42
gpuatien.www.shu.com.    IN    A    106.81.245.224
txnjmpah.www.shu.com.    IN    A    139.60.113.139
kwntqlof.www.shu.com.    IN    A    220.108.193.206
jofanubl.www.shu.com.    IN    A    3.89.26.208
aoinutwd.www.shu.com.    IN    A    77.225.252.88
oldkpuim.www.shu.com.    IN    A    199.105.121.236
rstpenyq.www.shu.com.    IN    A    182.166.196.60
xbakrsny.www.shu.com.    IN    A    168.224.30.198
ymhgloqb.www.shu.com.    IN    A    251.89.207.219
wvqkgnoc.www.shu.com.    IN    A    147.24.101.158
cgmdolaq.www.shu.com.    IN    A    95.30.35.192
ktslhdqa.www.shu.com.    IN    A    246.86.243.84
bqfsgahu.www.shu.com.    IN    A    97.9.105.227
vdygaosp.www.shu.com.    IN    A    49.177.213.38
frpnitkg.www.shu.com.    IN    A    207.250.66.176
jrdlixot.www.shu.com.    IN    A    65.29.119.49
dxtuihga.www.shu.com.    IN    A    47.102.228.110
scabpxtq.www.shu.com.    IN    A    243.15.127.108
cqfilonw.www.shu.com.    IN    A    68.41.47.196
vfqaoiwd.www.shu.com.    IN    A    100.90.221.165
vehkijnf.www.shu.com.    IN    A    92.42.191.35
gnkftyem.www.shu.com.    IN    A    153.204.28.181
mankcxly.www.shu.com.    IN    A    192.158.61.124
nmtyopwg.www.shu.com.    IN    A    172.149.201.122
wtfderqc.www.shu.com.    IN    A    193.240.1.220
aicoyqvs.www.shu.com.    IN    A    206.1.173.139
lvdkejnr.www.shu.com.    IN    A    93.88.92.105
hayfepdx.www.shu.com.    IN    A    184.138.252.243
isdfamlg.www.shu.com.    IN    A    14.138.0.9
uqykmanx.www.shu.com.    IN    A    46.21.131.32
tngoielq.www.shu.com.    IN    A    97.17.143.100
tncdbker.www.shu.com.    IN    A    1.32.119.86
sqfxupat.www.shu.com.    IN    A    184.135.250.26
xmtgrvju.www.shu.com.    IN    A    216.185.98.218
tjchxraw.www.shu.com.    IN    A    114.81.140.207
aifvkslq.www.shu.com.    IN    A    210.105.1.1
gkxwmhdt.www.shu.com.    IN    A    58.29.198.25
gnhkfeqo.www.shu.com.    IN    A    174.122.17.250
dmkslvng.www.shu.com.    IN    A    208.112.112.125
dhrjwumf.www.shu.com.    IN    A    84.61.4.1
kwsayhmj.www.shu.com.    IN    A    11.23.79.153
jtiwpgbe.www.shu.com.    IN    A    148.173.24.173
mtjvkfoi.www.shu.com.    IN    A    105.17.225.243
jdqbhrio.www.shu.com.    IN    A    196.252.90.119
xmerahwl.www.shu.com.    IN    A    57.53.239.197
kyhmospx.www.shu.com.    IN    A    83.249.84.4
vhjykfil.www.shu.com.    IN    A    146.14.145.212
xbrwufdh.www.shu.com.    IN    A    174.22.91.195
abkfhvqt.www.shu.com.    IN    A    12.251.101.228
barymcvp.www.shu.com.    IN    A    5.254.36.105
dobkatng.www.shu.com.    IN    A    87.199.172.194
ipsmtunr.www.shu.com.    IN    A    203.192.50.2
xcfdjmva.www.shu.com.    IN    A    87.217.237.235
jvqkytow.www.shu.com.    IN    A    237.68.15.209
lhnguksf.www.shu.com.    IN    A    29.76.96.194
kbeymrwq.www.shu.com.    IN    A    79.12.76.50
rhjtecbf.www.shu.com.    IN    A    214.47.46.252
fvqmbjsh.www.shu.com.    IN    A    139.162.215.236
kcutdvah.www.shu.com.    IN    A    122.164.94.111
blqdxakw.www.shu.com.    IN    A    191.181.121.97
qotwdjgh.www.shu.com.    IN    A    201.163.66.43
oykfeubv.www.shu.com.    IN    A    118.123.113.204
xuhpewrb.www.shu.com.    IN    A    107.66.185.235
tbyajrge.www.shu.com.    IN    A    28.53.45.172
nrakolcx.www.shu.com.    IN    A    92.115.244.219
clonwage.www.shu.com.    IN    A    16.74.100.77
bhrwknqc.www.shu.com.    IN    A    109.218.128.209
iwacpgdk.www.shu.com.    IN    A    252.117.174.229
jxnkfgvb.www.shu.com.    IN    A    137.227.117.109
kycislwe.www.shu.com.    IN    A    174.0.150.242
lbcthadp.www.shu.com.    IN    A    229.50.74.236
kvgcotms.www.shu.com.    IN    A    227.44.221.171
kvcfxjmd.www.shu.com.    IN    A    203.152.143.241
gxipjoma.www.shu.com.    IN    A    200.110.255.239
bsomufva.www.shu.com.    IN    A    96.190.237.132
cdypbivo.www.shu.com.    IN    A    195.109.100.144
enxlpgmd.www.shu.com.    IN    A    181.127.27.252
oqxjhylt.www.shu.com.    IN    A    78.184.104.207
prwxeqyv.www.shu.com.    IN    A    28.38.86.159
vfonwxgt.www.shu.com.    IN    A    182.149.180.153
ksoltgju.www.shu.com.    IN    A    100.62.52.54
qtpgavlo.www.shu.com.    IN    A    189.31.165.250
pbousxeq.www.shu.com.    IN    A    243.245.150.177
pbifmhyo.www.shu.com.    IN    A    39.146.22.139
mgxrnbed.www.shu.com.    IN    A    218.190.72.46
ftbdsrho.www.shu.com.    IN    A    216.69.159.56
hencbxur.www.shu.com.    IN    A    226.4.48.184
slgyrcvh.www.shu.com.    IN    A    22.130.73.68
sbhildmu.www.shu.com.    IN    A    7.135.42.14
cnmufywa.www.shu.com.    IN    A    67.131.226.87
bwexkfls.www.shu.com.    IN    A    53.11.127.86
spadervy.www.shu.com.    IN    A    47.189.87.244
mircdyvb.www.shu.com.    IN    A    47.6.40.29
stjnxalo.www.shu.com.    IN    A    216.216.195.111
upolncet.www.shu.com.    IN    A    24.41.60.107
nbulyvde.www.shu.com.    IN    A    148.183.252.103
yxuktmqh.www.shu.com.    IN    A    79.121.132.154
pltfbcig.www.shu.com.    IN    A    158.213.115.218
optkufyw.www.shu.com.    IN    A    255.124.118.6
cqnxuybj.www.shu.com.    IN    A    154.59.178.66
tpkemngd.www.shu.com.    IN    A    100.154.35.53
cwjxgsoq.www.shu.com.    IN    A    208.246.121.168
hirxyvwk.www.shu.com.    IN    A    122.126.12.77
tauprxnv.www.shu.com.    IN    A    149.78.66.189
jkvcqlhu.www.shu.com.    IN    A    14.51.247.242
gmhwxvfi.www.shu.com.    IN    A    8.137.176.77
qwurdhli.www.shu.com.    IN    A    152.168.121.83
paokciqb.www.shu.com.    IN    A    176.191.88.207
jvkouwnb.www.shu.com.    IN    A    17.147.230.120
mswxjqpf.www.shu.com.    IN    A    155.166.18.193
dusaoyqm.www.shu.com.    IN    A    102.245.148.241
ipydxkfb.www.shu.com.    IN    A    120.40.58.52
lspeofiw.www.shu.com.    IN    A    246.37.50.177
qdoplnem.www.shu.com.    IN    A    47.253.199.41
xrkdnomf.www.shu.com.    IN    A    211.126.99.115
jcieyvhf.www.shu.com.    IN    A    141.77.102.103
bftdaxlm.www.shu.com.    IN    A    43.62.159.186
gxpyberj.www.shu.com.    IN    A    41.170.29.137
fbxnhjrc.www.shu.com.    IN    A    238.235.117.126
mcosavhw.www.shu.com.    IN    A    219.174.155.74
nqyjcswo.www.shu.com.    IN    A    221.184.0.42
heumsjxn.www.shu.com.    IN    A    10.231.192.78
keturqgw.www.shu.com.    IN    A    46.243.228.197
jxshpidy.www.shu.com.    IN    A    152.109.142.240
vlecixka.www.shu.com.    IN    A    48.135.73.175
scdkyilp.www.shu.com.    IN    A    11.88.230.254
