math.pku.com.	14400	IN	SOA	ns1.math.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
math.pku.com.		    IN	NS ns1.math.pku.com.
idmunfxr.math.pku.com.   IN    A    79.66.153.233
tkbcroyq.math.pku.com.   IN    A    119.161.153.249
ivkapwed.math.pku.com.   IN    A    63.50.25.244
oekayqgv.math.pku.com.   IN    A    140.2.191.66
cldhubfr.math.pku.com.   IN    A    23.245.222.198
pqyjwtxb.math.pku.com.   IN    A    117.201.141.1
rutkijnm.math.pku.com.   IN    A    221.38.255.108
jwqkpyrt.math.pku.com.   IN    A    44.41.250.33
lbkuviep.math.pku.com.   IN    A    3.108.76.233
kowgqtvf.math.pku.com.   IN    A    171.179.93.94
syftbweq.math.pku.com.   IN    A    135.88.103.128
dgmcpsta.math.pku.com.   IN    A    172.178.83.102
gsvkijpb.math.pku.com.   IN    A    255.63.85.130
ouatrdfe.math.pku.com.   IN    A    251.173.229.40
dgsfrtan.math.pku.com.   IN    A    207.119.101.127
tmhnvwej.math.pku.com.   IN    A    255.95.15.75
fealjwsq.math.pku.com.   IN    A    252.201.179.184
jmthapcu.math.pku.com.   IN    A    84.176.148.46
oyawibfe.math.pku.com.   IN    A    19.229.176.243
dcsgemxl.math.pku.com.   IN    A    9.83.19.233
ducrtmse.math.pku.com.   IN    A    196.138.79.29
xjfiohce.math.pku.com.   IN    A    71.246.231.245
xuovaidh.math.pku.com.   IN    A    78.139.189.46
taknueyf.math.pku.com.   IN    A    40.189.66.130
fbrcnqjo.math.pku.com.   IN    A    83.132.7.68
saoujlqg.math.pku.com.   IN    A    195.61.182.104
itebwgrf.math.pku.com.   IN    A    153.52.199.51
nwaksuxr.math.pku.com.   IN    A    6.131.30.81
jgvcsqdt.math.pku.com.   IN    A    215.70.59.197
fkmulcbh.math.pku.com.   IN    A    18.159.189.202
eshnayqj.math.pku.com.   IN    A    27.152.136.60
ygisckne.math.pku.com.   IN    A    231.9.114.248
fstjhdlk.math.pku.com.   IN    A    163.199.69.228
gwfpcjnu.math.pku.com.   IN    A    219.92.155.51
hnrwlugj.math.pku.com.   IN    A    68.63.212.116
hfdvbyet.math.pku.com.   IN    A    125.185.71.97
tfynrhiu.math.pku.com.   IN    A    147.115.172.248
xmfsaedq.math.pku.com.   IN    A    222.170.35.55
tfxdvqwl.math.pku.com.   IN    A    165.245.228.219
uhyemboi.math.pku.com.   IN    A    92.167.58.98
jbksvqla.math.pku.com.   IN    A    70.101.197.29
ngamltdk.math.pku.com.   IN    A    192.169.98.170
spqbndwm.math.pku.com.   IN    A    181.2.192.73
rgbfvimt.math.pku.com.   IN    A    140.248.182.138
dlsomfwv.math.pku.com.   IN    A    16.176.89.108
imefkwqd.math.pku.com.   IN    A    10.111.19.192
owvqcpsr.math.pku.com.   IN    A    1.162.229.107
vunlghyo.math.pku.com.   IN    A    227.243.15.20
wsempbad.math.pku.com.   IN    A    134.110.148.108
oxdlsntp.math.pku.com.   IN    A    61.30.78.152
nfprlxij.math.pku.com.   IN    A    197.32.211.153
tmxyrphj.math.pku.com.   IN    A    3.125.57.54
bcwidpjv.math.pku.com.   IN    A    116.9.247.102
jgbfuoer.math.pku.com.   IN    A    152.116.28.46
ptqlhfrm.math.pku.com.   IN    A    222.112.136.178
kairdnog.math.pku.com.   IN    A    210.249.142.140
tgqsfael.math.pku.com.   IN    A    78.87.144.166
oqnedumt.math.pku.com.   IN    A    7.146.240.146
nujfsvlc.math.pku.com.   IN    A    60.128.45.56
dvaifjbu.math.pku.com.   IN    A    249.59.96.164
rmigpfsh.math.pku.com.   IN    A    35.213.117.35
uaecwnkh.math.pku.com.   IN    A    145.250.178.255
emgsykih.math.pku.com.   IN    A    20.141.8.199
kuxwicds.math.pku.com.   IN    A    212.179.130.96
qiajdeom.math.pku.com.   IN    A    14.143.187.142
xdklnarc.math.pku.com.   IN    A    147.141.232.121
uwpdhcxy.math.pku.com.   IN    A    221.177.168.104
ubdlqhsk.math.pku.com.   IN    A    55.186.106.173
jhplsiqo.math.pku.com.   IN    A    239.249.120.24
ainymfsx.math.pku.com.   IN    A    117.58.195.250
moifadsx.math.pku.com.   IN    A    65.24.96.4
lsucnhre.math.pku.com.   IN    A    73.125.209.197
xnvbroqy.math.pku.com.   IN    A    53.17.95.237
dxguiyfh.math.pku.com.   IN    A    254.31.111.151
fcgmuxos.math.pku.com.   IN    A    107.195.233.144
iwnkfseo.math.pku.com.   IN    A    10.110.112.100
vxwbegno.math.pku.com.   IN    A    174.86.244.165
kfrtoxni.math.pku.com.   IN    A    133.196.72.241
sgelpjyv.math.pku.com.   IN    A    142.57.178.98
lnebjfci.math.pku.com.   IN    A    69.92.176.235
uivtrskx.math.pku.com.   IN    A    61.199.197.6
hasnctuo.math.pku.com.   IN    A    21.113.211.182
oqlamicv.math.pku.com.   IN    A    221.146.92.244
vewkcxfo.math.pku.com.   IN    A    129.162.120.63
rsecgdmx.math.pku.com.   IN    A    19.139.209.89
gpocjkut.math.pku.com.   IN    A    39.118.96.141
gptamusv.math.pku.com.   IN    A    176.120.93.42
xjugaiqr.math.pku.com.   IN    A    96.98.16.57
dbcehjnm.math.pku.com.   IN    A    233.24.154.245
lbxkdcrw.math.pku.com.   IN    A    213.226.179.255
hxtyievp.math.pku.com.   IN    A    113.226.114.74
bxjhauiy.math.pku.com.   IN    A    40.22.9.11
fyghctin.math.pku.com.   IN    A    18.127.22.46
xywfhbsj.math.pku.com.   IN    A    115.6.48.202
hvwofbaq.math.pku.com.   IN    A    189.62.9.9
agsidxtj.math.pku.com.   IN    A    155.16.177.182
ufsbtmrl.math.pku.com.   IN    A    7.216.64.75
thpfklis.math.pku.com.   IN    A    120.110.139.66
fxcaymug.math.pku.com.   IN    A    217.169.231.134
fovrbyic.math.pku.com.   IN    A    221.214.249.115
yvlaxepw.math.pku.com.   IN    A    103.231.217.237
amydlkco.math.pku.com.   IN    A    133.63.152.125
gtwrsjqv.math.pku.com.   IN    A    133.190.228.244
csexhnpm.math.pku.com.   IN    A    176.212.29.164
mrxtodwe.math.pku.com.   IN    A    219.205.238.140
dhasivcx.math.pku.com.   IN    A    21.172.210.177
pafbywqo.math.pku.com.   IN    A    0.217.45.116
nsjkaxtw.math.pku.com.   IN    A    27.246.59.13
unybvtmp.math.pku.com.   IN    A    229.67.214.51
qetasfrn.math.pku.com.   IN    A    242.161.161.222
gxkvelfr.math.pku.com.   IN    A    95.230.33.112
gowxdplf.math.pku.com.   IN    A    23.89.109.189
qswxaodm.math.pku.com.   IN    A    104.166.214.97
ifulydox.math.pku.com.   IN    A    227.98.236.177
athdvisf.math.pku.com.   IN    A    30.40.154.203
xuiavqmo.math.pku.com.   IN    A    80.196.226.98
vntuhwgq.math.pku.com.   IN    A    113.196.137.212
vwpfdmrt.math.pku.com.   IN    A    49.166.222.107
mxrbejny.math.pku.com.   IN    A    25.125.74.5
jtlbnwra.math.pku.com.   IN    A    47.134.201.8
nctkbghi.math.pku.com.   IN    A    239.42.21.55
whsbymei.math.pku.com.   IN    A    54.50.47.73
jtfgpnwo.math.pku.com.   IN    A    148.6.253.143
juwhdbse.math.pku.com.   IN    A    216.197.104.11
wvapneht.math.pku.com.   IN    A    122.116.73.45
lnsahqky.math.pku.com.   IN    A    200.194.142.206
tenyjswi.math.pku.com.   IN    A    163.80.209.195
orkdcshv.math.pku.com.   IN    A    145.61.18.22
lxfdytbi.math.pku.com.   IN    A    219.73.9.201
ibmndfpo.math.pku.com.   IN    A    134.180.100.159
kirogsen.math.pku.com.   IN    A    92.21.2.108
mxurvylp.math.pku.com.   IN    A    58.11.14.156
uqkitxjp.math.pku.com.   IN    A    191.7.14.165
ineryacs.math.pku.com.   IN    A    83.128.81.5
cjwyhneg.math.pku.com.   IN    A    54.53.227.41
jywbeodu.math.pku.com.   IN    A    6.83.228.243
hleysvao.math.pku.com.   IN    A    186.242.215.49
gdtfimnr.math.pku.com.   IN    A    37.55.115.194
npwavfch.math.pku.com.   IN    A    17.190.141.191
ytobishc.math.pku.com.   IN    A    64.192.186.208
cjsrovgt.math.pku.com.   IN    A    125.72.143.26
igmaoten.math.pku.com.   IN    A    191.123.102.227
bytgrleo.math.pku.com.   IN    A    42.117.142.121
dlysughn.math.pku.com.   IN    A    186.6.161.34
wdqskvyj.math.pku.com.   IN    A    0.168.79.228
bldrqams.math.pku.com.   IN    A    102.45.105.71
jlfnpaoe.math.pku.com.   IN    A    184.126.115.20
iwejbhms.math.pku.com.   IN    A    222.67.173.216
amwdruqh.math.pku.com.   IN    A    139.7.41.159
nuxgbfkc.math.pku.com.   IN    A    218.139.74.31
gidpotuf.math.pku.com.   IN    A    110.158.202.124
xpasfjgc.math.pku.com.   IN    A    178.198.129.238
crhijkbg.math.pku.com.   IN    A    171.226.22.213
nbtpuyhl.math.pku.com.   IN    A    93.26.161.247
broeulqy.math.pku.com.   IN    A    46.214.152.252
astgvowh.math.pku.com.   IN    A    255.156.181.65
lpeywfdv.math.pku.com.   IN    A    37.247.245.107
nuefgxha.math.pku.com.   IN    A    161.238.204.42
mxjqolwk.math.pku.com.   IN    A    208.220.110.10
pijckybv.math.pku.com.   IN    A    210.128.44.4
pwrkfjbe.math.pku.com.   IN    A    218.92.154.193
lsmjqbrw.math.pku.com.   IN    A    228.176.154.60
hbqmjpou.math.pku.com.   IN    A    158.34.113.75
mykpcaus.math.pku.com.   IN    A    42.110.13.150
dqtboiwk.math.pku.com.   IN    A    77.136.208.165
vrchxugw.math.pku.com.   IN    A    18.28.187.134
hqvogrxk.math.pku.com.   IN    A    3.143.168.88
bpglrosk.math.pku.com.   IN    A    222.97.224.56
decwforj.math.pku.com.   IN    A    82.108.66.187
hiamgypo.math.pku.com.   IN    A    229.114.64.87
hgdaxjqm.math.pku.com.   IN    A    195.177.247.12
peobhrmi.math.pku.com.   IN    A    124.182.153.173
whkencuj.math.pku.com.   IN    A    58.116.60.56
yonlijwq.math.pku.com.   IN    A    207.110.170.227
uabesicp.math.pku.com.   IN    A    72.126.102.167
bnwiaemc.math.pku.com.   IN    A    20.166.27.174
ytuviafx.math.pku.com.   IN    A    132.228.170.228
kcbpgjdy.math.pku.com.   IN    A    229.217.72.121
wpkmtiad.math.pku.com.   IN    A    231.185.211.219
vxlahwdt.math.pku.com.   IN    A    67.27.39.134
igcjklhv.math.pku.com.   IN    A    104.131.127.56
bcjvkwuf.math.pku.com.   IN    A    54.1.62.46
liucdamq.math.pku.com.   IN    A    85.213.197.75
nwyelxsm.math.pku.com.   IN    A    205.187.234.232
kxtvqfmg.math.pku.com.   IN    A    147.149.231.138
qehyjurp.math.pku.com.   IN    A    132.203.122.215
dfarmhic.math.pku.com.   IN    A    78.36.244.222
qjmroeiy.math.pku.com.   IN    A    130.129.60.65
tbgpahon.math.pku.com.   IN    A    211.52.0.154
wntvycxk.math.pku.com.   IN    A    76.129.71.119
iyndfawj.math.pku.com.   IN    A    29.240.49.68
usgkvyte.math.pku.com.   IN    A    8.252.141.215
aohrpbud.math.pku.com.   IN    A    139.115.215.181
vobewslh.math.pku.com.   IN    A    3.238.33.174
ojyedgsw.math.pku.com.   IN    A    125.49.242.63
vrbwmcxi.math.pku.com.   IN    A    73.157.250.172
kthdygwv.math.pku.com.   IN    A    131.208.227.147
ywsavehb.math.pku.com.   IN    A    130.7.48.139
atfehqui.math.pku.com.   IN    A    251.2.124.116
ngevjhac.math.pku.com.   IN    A    29.187.183.78
xaeksmvj.math.pku.com.   IN    A    240.40.102.92
uxegdtwf.math.pku.com.   IN    A    84.23.192.245
aejnyilp.math.pku.com.   IN    A    23.152.164.145
csihudwv.math.pku.com.   IN    A    185.42.216.184
lxbudrst.math.pku.com.   IN    A    113.176.42.206
vhtgrefy.math.pku.com.   IN    A    21.154.50.1
pyxhcgbo.math.pku.com.   IN    A    221.4.151.123
gvjolxir.math.pku.com.   IN    A    197.156.98.194
phvsyfqc.math.pku.com.   IN    A    195.105.53.146
yhvxgecb.math.pku.com.   IN    A    15.159.242.140
qsmjvubx.math.pku.com.   IN    A    59.242.36.243
xghybjic.math.pku.com.   IN    A    62.20.101.160
mfdaxtpv.math.pku.com.   IN    A    52.190.226.19
ywrfocgn.math.pku.com.   IN    A    105.41.165.35
gyfntbmo.math.pku.com.   IN    A    25.70.139.211
dbmgrtps.math.pku.com.   IN    A    18.132.98.227
phadlxgb.math.pku.com.   IN    A    42.81.18.196
tapqxidh.math.pku.com.   IN    A    205.100.228.167
juwkfmla.math.pku.com.   IN    A    32.104.102.205
lhyvcsud.math.pku.com.   IN    A    16.45.60.153
nplikqtv.math.pku.com.   IN    A    149.70.29.89
cnafqrsu.math.pku.com.   IN    A    70.85.215.236
oiegmaqt.math.pku.com.   IN    A    27.220.4.17
lawmpibu.math.pku.com.   IN    A    167.156.65.0
svnaohlx.math.pku.com.   IN    A    202.14.122.219
doiepuhw.math.pku.com.   IN    A    94.245.6.104
fviegwhr.math.pku.com.   IN    A    186.249.16.69
napfoltg.math.pku.com.   IN    A    34.223.10.202
ifwnpldy.math.pku.com.   IN    A    55.38.177.131
mcoqfgip.math.pku.com.   IN    A    91.104.213.86
dcbpnlrm.math.pku.com.   IN    A    22.109.248.215
mecbdlrf.math.pku.com.   IN    A    53.17.162.168
vlgkbtqe.math.pku.com.   IN    A    157.251.228.250
fhclqxra.math.pku.com.   IN    A    216.62.75.238
cgxlnvqb.math.pku.com.   IN    A    90.227.41.214
brvmcdln.math.pku.com.   IN    A    200.110.185.41
hmyqxjkc.math.pku.com.   IN    A    21.93.17.190
oxwpfkvd.math.pku.com.   IN    A    18.233.86.100
bjxyakfv.math.pku.com.   IN    A    102.166.79.0
btxwlipa.math.pku.com.   IN    A    142.52.205.39
harusdxp.math.pku.com.   IN    A    136.241.242.43
fnjsixlr.math.pku.com.   IN    A    191.252.35.59
dskarvnc.math.pku.com.   IN    A    218.53.185.1
faiukngm.math.pku.com.   IN    A    189.172.114.159
tvspgxcq.math.pku.com.   IN    A    142.56.18.103
sgvhdupj.math.pku.com.   IN    A    129.159.79.31
ntvesrha.math.pku.com.   IN    A    254.197.201.231
ywufrlxg.math.pku.com.   IN    A    255.143.148.225
rmcypexa.math.pku.com.   IN    A    235.247.230.1
vrfpeunc.math.pku.com.   IN    A    241.37.41.97
wlcutjsq.math.pku.com.   IN    A    197.105.102.74
nrphmlbq.math.pku.com.   IN    A    78.32.3.166
lpwieumg.math.pku.com.   IN    A    43.140.104.124
kvoplshj.math.pku.com.   IN    A    65.217.15.23
acynxfpr.math.pku.com.   IN    A    181.205.193.155
xhfmuwgt.math.pku.com.   IN    A    25.64.11.158
lvcasfdw.math.pku.com.   IN    A    183.225.252.113
cwtkxfyd.math.pku.com.   IN    A    127.213.79.195
jyhdgrwq.math.pku.com.   IN    A    183.115.241.117
gavrwojd.math.pku.com.   IN    A    134.35.221.235
jnyiqtbh.math.pku.com.   IN    A    40.175.0.85
hwbclmay.math.pku.com.   IN    A    232.85.153.87
mlcsqwyb.math.pku.com.   IN    A    250.17.232.190
orbuiwfk.math.pku.com.   IN    A    36.154.219.245
yjdmsnpi.math.pku.com.   IN    A    117.46.47.100
gqutvcnw.math.pku.com.   IN    A    87.239.126.195
ewgynfms.math.pku.com.   IN    A    188.138.233.243
xdbgwvky.math.pku.com.   IN    A    172.145.128.234
vkdjlumc.math.pku.com.   IN    A    147.168.184.81
nvsrcwah.math.pku.com.   IN    A    59.23.46.17
oihsmgxa.math.pku.com.   IN    A    166.57.80.228
xfgaoynb.math.pku.com.   IN    A    152.224.134.109
lsdhkpvn.math.pku.com.   IN    A    162.0.32.117
goiukjfm.math.pku.com.   IN    A    133.1.226.91
vadmhwyg.math.pku.com.   IN    A    40.68.10.203
divcnjrm.math.pku.com.   IN    A    35.188.86.96
cfwnkpxv.math.pku.com.   IN    A    121.3.190.0
kwhtiqvb.math.pku.com.   IN    A    157.116.99.55
fijrxvmn.math.pku.com.   IN    A    179.0.186.133
dxtsovnj.math.pku.com.   IN    A    218.108.211.95
ugrqtimv.math.pku.com.   IN    A    152.239.210.153
ksnxdprq.math.pku.com.   IN    A    35.184.15.153
jgpkytic.math.pku.com.   IN    A    238.60.57.187
ituqordm.math.pku.com.   IN    A    44.239.165.15
lrkocatq.math.pku.com.   IN    A    43.17.246.105
fireuyld.math.pku.com.   IN    A    152.76.172.181
hudjwygl.math.pku.com.   IN    A    54.198.161.142
aqemsigk.math.pku.com.   IN    A    241.8.234.137
wbpncxtf.math.pku.com.   IN    A    174.255.222.130
eculorip.math.pku.com.   IN    A    0.178.135.246
fgulyrhx.math.pku.com.   IN    A    153.199.100.70
jwbgfxlu.math.pku.com.   IN    A    240.62.6.114
vusragmb.math.pku.com.   IN    A    139.205.219.41
camwlgpr.math.pku.com.   IN    A    87.123.208.24
fwqkoami.math.pku.com.   IN    A    36.95.208.131
whojdxqr.math.pku.com.   IN    A    227.28.215.174
rwvdiylq.math.pku.com.   IN    A    1.16.172.48
hdbcewor.math.pku.com.   IN    A    3.168.222.238
owtfjcqv.math.pku.com.   IN    A    110.9.138.28
gfqciepd.math.pku.com.   IN    A    148.14.24.172
mrvyqjwo.math.pku.com.   IN    A    228.141.40.162
sgwvahpm.math.pku.com.   IN    A    106.57.52.117
nywgdlpi.math.pku.com.   IN    A    231.227.173.119
mlevrgks.math.pku.com.   IN    A    107.90.102.55
jpfobliv.math.pku.com.   IN    A    240.230.121.197
vxodqknm.math.pku.com.   IN    A    54.145.85.179
kwchodtn.math.pku.com.   IN    A    133.24.90.158
ulvefynd.math.pku.com.   IN    A    184.58.130.252
xdgoustf.math.pku.com.   IN    A    193.124.218.158
iasgflyn.math.pku.com.   IN    A    200.5.57.55
jariwchy.math.pku.com.   IN    A    69.183.36.223
chbduwfs.math.pku.com.   IN    A    163.158.72.219
dubxmskw.math.pku.com.   IN    A    194.49.147.37
ynbclaep.math.pku.com.   IN    A    123.85.193.163
hwdpbxnl.math.pku.com.   IN    A    161.65.38.175
bnputkya.math.pku.com.   IN    A    166.177.209.109
hjeaoipl.math.pku.com.   IN    A    213.154.105.98
bvamhxji.math.pku.com.   IN    A    68.77.39.89
lcbojqtw.math.pku.com.   IN    A    56.49.82.234
ofqtkube.math.pku.com.   IN    A    27.95.0.72
kpmcyrls.math.pku.com.   IN    A    89.246.143.105
ljefvbci.math.pku.com.   IN    A    136.137.246.107
gjcbvopq.math.pku.com.   IN    A    132.170.16.200
tkahjvrs.math.pku.com.   IN    A    88.107.143.36
bnjlsvme.math.pku.com.   IN    A    17.181.251.189
htiomucn.math.pku.com.   IN    A    251.53.138.160
fckhtugo.math.pku.com.   IN    A    83.56.57.12
ogqlcbdx.math.pku.com.   IN    A    243.44.177.224
vkygtpjm.math.pku.com.   IN    A    231.93.137.145
uspqwxcr.math.pku.com.   IN    A    106.99.15.153
mdrnkbye.math.pku.com.   IN    A    251.148.181.123
udmyvrgh.math.pku.com.   IN    A    133.187.66.161
xjethaow.math.pku.com.   IN    A    170.96.173.191
geqadjou.math.pku.com.   IN    A    252.204.228.24
jkdqbrmy.math.pku.com.   IN    A    55.49.110.130
udioknyq.math.pku.com.   IN    A    16.111.55.249
hbjcarwm.math.pku.com.   IN    A    102.203.120.98
exkhrfpl.math.pku.com.   IN    A    62.149.245.150
ajpwxkvb.math.pku.com.   IN    A    18.71.242.93
gbunihea.math.pku.com.   IN    A    32.19.206.80
tlwscdge.math.pku.com.   IN    A    197.30.232.132
yhsoklau.math.pku.com.   IN    A    93.189.180.63
phafcnek.math.pku.com.   IN    A    50.38.134.16
gudojabf.math.pku.com.   IN    A    99.222.20.195
qfphnkjt.math.pku.com.   IN    A    212.138.112.94
nqbkeugt.math.pku.com.   IN    A    225.233.111.9
ykwtihpc.math.pku.com.   IN    A    29.215.233.89
dvhntisg.math.pku.com.   IN    A    40.165.139.212
goveujwb.math.pku.com.   IN    A    37.85.41.110
cbxwpuqv.math.pku.com.   IN    A    225.69.133.97
pbjugyfn.math.pku.com.   IN    A    144.111.193.29
cutpvekn.math.pku.com.   IN    A    80.189.66.81
fatebkdl.math.pku.com.   IN    A    153.205.200.88
jdlsmuxo.math.pku.com.   IN    A    122.30.164.87
crkibmyn.math.pku.com.   IN    A    55.109.8.217
lbfvkdtc.math.pku.com.   IN    A    167.115.248.182
icfdhotj.math.pku.com.   IN    A    166.48.119.254
yotxbpnh.math.pku.com.   IN    A    251.18.109.113
ymefusri.math.pku.com.   IN    A    186.253.94.78
owxbgtkj.math.pku.com.   IN    A    83.42.148.140
crmbsytq.math.pku.com.   IN    A    23.63.224.9
bempwrdc.math.pku.com.   IN    A    20.239.235.99
yjrxdlcb.math.pku.com.   IN    A    97.143.179.32
voysrfqm.math.pku.com.   IN    A    80.165.156.153
hocujnpm.math.pku.com.   IN    A    177.86.176.158
qtjpsnyw.math.pku.com.   IN    A    162.162.13.116
rnmqbpdg.math.pku.com.   IN    A    16.249.178.143
rkahdsvn.math.pku.com.   IN    A    139.206.162.34
vsmulhey.math.pku.com.   IN    A    40.29.87.204
yharuisg.math.pku.com.   IN    A    173.190.82.184
eiqmfjvg.math.pku.com.   IN    A    3.18.29.13
krifnqhy.math.pku.com.   IN    A    184.187.73.88
oiahekcm.math.pku.com.   IN    A    86.32.213.226
tsvudmoq.math.pku.com.   IN    A    203.52.69.163
iecbgvpo.math.pku.com.   IN    A    248.207.15.103
vybltwen.math.pku.com.   IN    A    194.162.46.16
rqdacmwv.math.pku.com.   IN    A    41.139.154.181
fygipwbk.math.pku.com.   IN    A    254.139.208.67
cuiosbln.math.pku.com.   IN    A    80.246.209.182
wgcvusea.math.pku.com.   IN    A    37.158.197.94
txbmqjiw.math.pku.com.   IN    A    125.220.8.9
kgmhutpv.math.pku.com.   IN    A    212.181.121.208
tobpkmys.math.pku.com.   IN    A    187.148.144.128
eyftmpja.math.pku.com.   IN    A    120.47.246.154
lvsoqwah.math.pku.com.   IN    A    102.212.167.169
qpxejhvm.math.pku.com.   IN    A    220.101.249.90
amgjxksv.math.pku.com.   IN    A    5.92.229.240
lmnpyfqo.math.pku.com.   IN    A    104.200.159.242
xrsqmitv.math.pku.com.   IN    A    61.181.67.230
wchybpra.math.pku.com.   IN    A    93.169.121.116
qtlfgadr.math.pku.com.   IN    A    224.84.190.27
lugyhnax.math.pku.com.   IN    A    145.15.18.110
kwrgxfhu.math.pku.com.   IN    A    23.179.233.193
jrtgdvlw.math.pku.com.   IN    A    97.142.121.172
shecuqrx.math.pku.com.   IN    A    104.160.245.210
eygkobrh.math.pku.com.   IN    A    167.94.143.143
saiugdpr.math.pku.com.   IN    A    187.246.229.199
lqxbspjg.math.pku.com.   IN    A    108.153.148.139
crysoiwu.math.pku.com.   IN    A    95.96.50.169
csfirmuv.math.pku.com.   IN    A    55.110.106.64
apwcxkgs.math.pku.com.   IN    A    241.54.135.130
jtoldwaq.math.pku.com.   IN    A    131.196.106.167
lcswaqdy.math.pku.com.   IN    A    178.234.62.232
ovbfnpal.math.pku.com.   IN    A    218.200.205.255
fcpjthsg.math.pku.com.   IN    A    186.151.117.112
oqfdsrte.math.pku.com.   IN    A    57.113.112.5
ieugjoxp.math.pku.com.   IN    A    61.217.90.237
etchwals.math.pku.com.   IN    A    29.132.157.157
roypcivj.math.pku.com.   IN    A    23.103.202.77
enmapvfx.math.pku.com.   IN    A    200.142.112.177
emdvfpck.math.pku.com.   IN    A    212.211.21.133
uvmrhsol.math.pku.com.   IN    A    239.149.15.32
kyvxuaiq.math.pku.com.   IN    A    226.10.124.112
hsmdfavg.math.pku.com.   IN    A    29.137.76.82
vmqxwkoj.math.pku.com.   IN    A    21.43.255.52
hsavoejt.math.pku.com.   IN    A    65.229.159.201
bgvkowpa.math.pku.com.   IN    A    4.177.27.176
fxesnhua.math.pku.com.   IN    A    45.219.250.252
sruxvbwk.math.pku.com.   IN    A    121.224.213.194
fkspiqux.math.pku.com.   IN    A    218.37.34.53
bxlgwjky.math.pku.com.   IN    A    100.229.60.99
irvqcmsw.math.pku.com.   IN    A    234.243.168.120
vhlaoxmn.math.pku.com.   IN    A    49.128.80.16
yqispvgr.math.pku.com.   IN    A    249.89.168.11
fvqasyoi.math.pku.com.   IN    A    81.43.48.160
nvpfmear.math.pku.com.   IN    A    244.199.39.1
nbcyiswl.math.pku.com.   IN    A    93.248.125.21
buacrkht.math.pku.com.   IN    A    120.119.169.200
qygthpdm.math.pku.com.   IN    A    115.99.59.103
mbnfgrwv.math.pku.com.   IN    A    142.221.123.86
jvtmeyil.math.pku.com.   IN    A    137.241.196.54
ewjqbhdi.math.pku.com.   IN    A    61.98.66.133
wohlbine.math.pku.com.   IN    A    157.245.119.111
yuiajshe.math.pku.com.   IN    A    128.209.106.134
lpexhcna.math.pku.com.   IN    A    252.114.194.16
kqlhvrfx.math.pku.com.   IN    A    220.11.79.121
rmovfadj.math.pku.com.   IN    A    238.29.64.100
uxgnfqps.math.pku.com.   IN    A    235.139.139.38
qtaxpfng.math.pku.com.   IN    A    115.66.67.227
rqvkwpny.math.pku.com.   IN    A    171.118.48.247
eqjiousf.math.pku.com.   IN    A    157.252.187.191
yvmerxko.math.pku.com.   IN    A    60.198.250.138
gtkocisl.math.pku.com.   IN    A    185.93.189.163
tkgwrpil.math.pku.com.   IN    A    151.77.116.6
djxamybo.math.pku.com.   IN    A    200.218.33.186
ekgfnyxi.math.pku.com.   IN    A    191.206.113.39
ivqdmlra.math.pku.com.   IN    A    38.64.235.172
ocsylgft.math.pku.com.   IN    A    222.229.235.9
vlfbsmej.math.pku.com.   IN    A    123.108.172.13
mwuexpdy.math.pku.com.   IN    A    79.9.99.49
podykjae.math.pku.com.   IN    A    67.111.29.75
bqdropak.math.pku.com.   IN    A    83.189.84.200
ihsyxwba.math.pku.com.   IN    A    78.64.243.112
ymbcratk.math.pku.com.   IN    A    63.242.32.205
riqapwgm.math.pku.com.   IN    A    185.220.195.53
xiefnjat.math.pku.com.   IN    A    195.36.168.6
mrjsypeq.math.pku.com.   IN    A    114.161.229.146
smltvcug.math.pku.com.   IN    A    167.70.42.115
hovqlpim.math.pku.com.   IN    A    208.31.23.153
bqdpwmry.math.pku.com.   IN    A    13.18.162.234
qhigaxev.math.pku.com.   IN    A    137.108.236.159
fbamqhjy.math.pku.com.   IN    A    148.66.192.34
qewnagku.math.pku.com.   IN    A    95.228.14.79
uajqtolw.math.pku.com.   IN    A    161.189.22.148
kcevfixb.math.pku.com.   IN    A    188.118.37.76
jclgsexn.math.pku.com.   IN    A    127.91.133.231
ripvjxke.math.pku.com.   IN    A    84.72.225.249
yfvrncqh.math.pku.com.   IN    A    84.5.157.163
wgbpsrmo.math.pku.com.   IN    A    189.102.92.119
wgefhbry.math.pku.com.   IN    A    135.115.204.214
kxhwcops.math.pku.com.   IN    A    104.223.90.58
asncuydt.math.pku.com.   IN    A    55.193.36.164
kyjuaofg.math.pku.com.   IN    A    102.104.206.164
bsqlexfc.math.pku.com.   IN    A    63.1.114.132
icrgtkha.math.pku.com.   IN    A    1.131.173.43
jfpumndh.math.pku.com.   IN    A    91.142.222.44
msixecwr.math.pku.com.   IN    A    255.169.247.126
lqyvuwoe.math.pku.com.   IN    A    68.27.40.247
wjhrgndt.math.pku.com.   IN    A    141.168.87.79
nhpjoril.math.pku.com.   IN    A    204.39.104.23
gimoqlhs.math.pku.com.   IN    A    98.7.4.182
iqjdswmo.math.pku.com.   IN    A    82.32.186.121
brhctumx.math.pku.com.   IN    A    232.6.2.251
ydgpbthl.math.pku.com.   IN    A    200.165.64.88
qgbyvtfj.math.pku.com.   IN    A    159.174.134.252
ntegsrcd.math.pku.com.   IN    A    195.23.8.4
lbuxnyke.math.pku.com.   IN    A    247.32.23.182
rdnvfpsg.math.pku.com.   IN    A    22.63.165.170
