www.cqu.com. 	14400	IN	SOA	ns1.www.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
www.cqu.com.		    IN	NS ns1.www.cqu.com.
uvktxayw.www.cqu.com.    IN    A    243.178.217.57
jafihgwq.www.cqu.com.    IN    A    72.202.233.17
uqoentwp.www.cqu.com.    IN    A    66.107.168.88
qpfaoeni.www.cqu.com.    IN    A    139.232.68.81
avoeptdh.www.cqu.com.    IN    A    229.2.14.81
ijesdagc.www.cqu.com.    IN    A    168.79.103.1
jkxbuamq.www.cqu.com.    IN    A    154.20.172.67
ldfuvwhn.www.cqu.com.    IN    A    19.174.200.219
agckytdw.www.cqu.com.    IN    A    180.199.154.36
dfsyihrt.www.cqu.com.    IN    A    228.46.66.10
mguoikdp.www.cqu.com.    IN    A    189.254.38.121
mgwpdclu.www.cqu.com.    IN    A    247.237.215.85
gpxehrvi.www.cqu.com.    IN    A    123.187.54.171
ejunxpwc.www.cqu.com.    IN    A    97.71.93.161
gsoqhcxi.www.cqu.com.    IN    A    80.45.58.139
efbngvsp.www.cqu.com.    IN    A    90.197.229.243
bfpvxmls.www.cqu.com.    IN    A    58.194.122.93
qijvwexh.www.cqu.com.    IN    A    0.242.74.204
xuhvmjnq.www.cqu.com.    IN    A    32.222.233.189
uhgsvxfi.www.cqu.com.    IN    A    49.129.207.12
jwydnahi.www.cqu.com.    IN    A    43.251.175.50
dqxyocev.www.cqu.com.    IN    A    169.177.32.238
qjnvgcik.www.cqu.com.    IN    A    124.238.85.218
wgunqxdt.www.cqu.com.    IN    A    220.219.193.171
qtdnrfvu.www.cqu.com.    IN    A    13.123.48.62
ftvldoek.www.cqu.com.    IN    A    21.8.31.90
clmdsoif.www.cqu.com.    IN    A    22.119.117.216
blqdxkga.www.cqu.com.    IN    A    203.187.99.190
rjvhwyqo.www.cqu.com.    IN    A    28.86.212.13
pdhxbilr.www.cqu.com.    IN    A    95.234.248.64
ltpkfjan.www.cqu.com.    IN    A    50.113.115.228
cxabimtu.www.cqu.com.    IN    A    57.225.165.195
utedsgbh.www.cqu.com.    IN    A    193.113.22.2
wgmlhtni.www.cqu.com.    IN    A    79.59.209.170
sjrwcdyv.www.cqu.com.    IN    A    209.123.205.179
lbevoptw.www.cqu.com.    IN    A    75.240.190.91
mvpqwfxk.www.cqu.com.    IN    A    51.22.13.45
qnlgdkwx.www.cqu.com.    IN    A    5.12.46.212
mvncjafu.www.cqu.com.    IN    A    217.106.90.185
nqkxpebi.www.cqu.com.    IN    A    77.105.52.206
pwtsmnli.www.cqu.com.    IN    A    139.51.237.5
ypdscwkl.www.cqu.com.    IN    A    18.135.144.222
ehmdolgk.www.cqu.com.    IN    A    231.140.17.6
plnouhmr.www.cqu.com.    IN    A    255.118.157.205
yoxtmadc.www.cqu.com.    IN    A    168.114.10.33
imlynfdu.www.cqu.com.    IN    A    125.178.222.184
eiydgwxq.www.cqu.com.    IN    A    140.49.9.218
dvfgnwax.www.cqu.com.    IN    A    122.163.44.213
hruengim.www.cqu.com.    IN    A    53.79.230.44
utykbwqf.www.cqu.com.    IN    A    50.93.31.243
xbnjcsiw.www.cqu.com.    IN    A    51.137.121.253
mdstownx.www.cqu.com.    IN    A    154.15.168.30
bpfmhdgr.www.cqu.com.    IN    A    241.115.2.176
xyqowsnb.www.cqu.com.    IN    A    16.35.47.164
coejfpma.www.cqu.com.    IN    A    123.43.154.175
udkqgfwa.www.cqu.com.    IN    A    8.10.26.189
qyagdofk.www.cqu.com.    IN    A    72.119.161.107
ufcyadxs.www.cqu.com.    IN    A    155.71.11.196
mnleuodi.www.cqu.com.    IN    A    70.162.74.232
lynfwxdi.www.cqu.com.    IN    A    166.188.239.174
toyvucbe.www.cqu.com.    IN    A    166.41.252.36
dsjlatwg.www.cqu.com.    IN    A    174.134.188.114
dsclunkg.www.cqu.com.    IN    A    0.225.3.245
rlxigtwp.www.cqu.com.    IN    A    18.100.38.158
lgkvacer.www.cqu.com.    IN    A    44.192.80.224
vqbxnywf.www.cqu.com.    IN    A    90.58.102.144
andwtiph.www.cqu.com.    IN    A    110.15.28.65
ltrwcjgu.www.cqu.com.    IN    A    158.119.70.92
bxpevsma.www.cqu.com.    IN    A    115.91.70.102
prkbnauv.www.cqu.com.    IN    A    216.15.28.69
gkvqueyx.www.cqu.com.    IN    A    240.179.19.64
hxosdjwc.www.cqu.com.    IN    A    243.120.204.50
hwamusqr.www.cqu.com.    IN    A    255.179.45.126
xeajcbgn.www.cqu.com.    IN    A    10.163.42.224
wiosrnly.www.cqu.com.    IN    A    92.234.97.81
xfouptda.www.cqu.com.    IN    A    212.85.76.134
lontjkxy.www.cqu.com.    IN    A    119.220.191.111
ymfidlqv.www.cqu.com.    IN    A    145.79.195.21
uvlsankc.www.cqu.com.    IN    A    77.8.53.60
odjrsktm.www.cqu.com.    IN    A    28.196.39.14
yrfxwnek.www.cqu.com.    IN    A    86.199.134.92
yleqdhjc.www.cqu.com.    IN    A    219.67.27.238
sygfhwmo.www.cqu.com.    IN    A    180.174.109.254
cblwmpji.www.cqu.com.    IN    A    80.134.16.253
tijvhwsp.www.cqu.com.    IN    A    38.169.215.144
abpyveno.www.cqu.com.    IN    A    97.5.0.145
glkrbvhx.www.cqu.com.    IN    A    218.224.208.52
legcsmbw.www.cqu.com.    IN    A    188.131.125.65
bvinfjmg.www.cqu.com.    IN    A    216.63.194.4
yocghkji.www.cqu.com.    IN    A    46.140.184.31
xphioldg.www.cqu.com.    IN    A    85.88.25.160
vacwismo.www.cqu.com.    IN    A    9.9.105.137
rjygbfpi.www.cqu.com.    IN    A    41.218.222.162
wbxiecql.www.cqu.com.    IN    A    57.64.105.65
lcvjqdxp.www.cqu.com.    IN    A    41.98.251.23
uhtfkira.www.cqu.com.    IN    A    181.154.188.106
goxmjkwc.www.cqu.com.    IN    A    63.42.118.57
cpqbwtvy.www.cqu.com.    IN    A    253.4.113.150
htkegiwd.www.cqu.com.    IN    A    115.97.183.78
dkpujhfq.www.cqu.com.    IN    A    72.39.31.199
hltqmdxc.www.cqu.com.    IN    A    79.27.23.14
rhmiqvxu.www.cqu.com.    IN    A    79.19.24.228
rokatjmp.www.cqu.com.    IN    A    219.131.147.102
xnhwupig.www.cqu.com.    IN    A    185.44.226.207
takhepwj.www.cqu.com.    IN    A    255.246.251.186
fnykevdh.www.cqu.com.    IN    A    181.203.26.98
tjcranpk.www.cqu.com.    IN    A    82.6.34.185
tihrfvum.www.cqu.com.    IN    A    173.41.238.249
mdskixqg.www.cqu.com.    IN    A    89.144.122.152
ldqkrnhb.www.cqu.com.    IN    A    124.52.18.120
cdfjqisu.www.cqu.com.    IN    A    181.96.1.51
jtuedonc.www.cqu.com.    IN    A    111.164.57.10
isqebkml.www.cqu.com.    IN    A    248.193.215.23
jgryncaq.www.cqu.com.    IN    A    220.243.49.196
bhwgsqcd.www.cqu.com.    IN    A    29.19.220.173
uovymnxt.www.cqu.com.    IN    A    138.14.97.188
bsqfhgvl.www.cqu.com.    IN    A    93.38.124.69
ximlwctn.www.cqu.com.    IN    A    175.23.85.255
xjskebag.www.cqu.com.    IN    A    123.76.37.50
pxuendck.www.cqu.com.    IN    A    218.3.132.234
vksilhdb.www.cqu.com.    IN    A    112.136.12.235
fhsluwid.www.cqu.com.    IN    A    179.11.51.189
tqhpvcaf.www.cqu.com.    IN    A    62.197.147.129
yictdsjr.www.cqu.com.    IN    A    140.158.197.140
kbijrqxe.www.cqu.com.    IN    A    192.128.26.253
hgqnytaf.www.cqu.com.    IN    A    96.216.207.240
tawbmcql.www.cqu.com.    IN    A    14.79.124.218
bwlajudt.www.cqu.com.    IN    A    49.176.165.68
mhblixry.www.cqu.com.    IN    A    36.253.153.160
gpuxjkcm.www.cqu.com.    IN    A    176.112.5.156
jnmrbxke.www.cqu.com.    IN    A    99.3.5.95
kfuxncrd.www.cqu.com.    IN    A    168.69.47.0
ydilbcno.www.cqu.com.    IN    A    190.155.54.166
bfajeyrp.www.cqu.com.    IN    A    89.148.144.226
krtvlqdf.www.cqu.com.    IN    A    114.207.12.57
vhlcijtp.www.cqu.com.    IN    A    108.122.209.23
khgxsnew.www.cqu.com.    IN    A    92.21.71.157
efwxdaop.www.cqu.com.    IN    A    78.112.68.107
ourfyeqt.www.cqu.com.    IN    A    29.106.102.245
vuqsmrto.www.cqu.com.    IN    A    152.21.153.217
tldsprgy.www.cqu.com.    IN    A    248.16.45.24
eadtcoxf.www.cqu.com.    IN    A    243.124.54.37
fovqmxjr.www.cqu.com.    IN    A    180.207.166.235
dtewrqni.www.cqu.com.    IN    A    143.206.170.121
hojyrmxu.www.cqu.com.    IN    A    158.231.90.220
mhnsuvat.www.cqu.com.    IN    A    66.125.35.236
tnbdyrhg.www.cqu.com.    IN    A    66.223.211.200
sgjkpxda.www.cqu.com.    IN    A    60.242.161.19
jfrcwpiq.www.cqu.com.    IN    A    43.142.198.235
sojxlmpy.www.cqu.com.    IN    A    67.122.124.211
wfpvksax.www.cqu.com.    IN    A    122.131.193.221
meictjul.www.cqu.com.    IN    A    130.222.91.214
bvdkrouf.www.cqu.com.    IN    A    231.186.141.39
fuxcwkbo.www.cqu.com.    IN    A    157.233.32.170
qhsdklex.www.cqu.com.    IN    A    45.3.196.227
wafyicot.www.cqu.com.    IN    A    198.73.167.20
biqulhfr.www.cqu.com.    IN    A    35.45.59.34
nhlxqjbf.www.cqu.com.    IN    A    161.156.250.45
xyvpdqio.www.cqu.com.    IN    A    118.20.39.61
adkjnuvp.www.cqu.com.    IN    A    102.47.193.125
hjlvkfyg.www.cqu.com.    IN    A    116.199.157.250
asvmenwc.www.cqu.com.    IN    A    218.230.167.208
ijfpalnx.www.cqu.com.    IN    A    246.238.44.10
gbhosmyl.www.cqu.com.    IN    A    210.0.41.123
mpncbdog.www.cqu.com.    IN    A    228.65.255.105
ntxjepic.www.cqu.com.    IN    A    50.238.216.105
bmtcxgpr.www.cqu.com.    IN    A    113.143.27.201
gbjahpne.www.cqu.com.    IN    A    134.14.254.77
dmiqyefc.www.cqu.com.    IN    A    240.103.161.98
ncuyvbqe.www.cqu.com.    IN    A    44.205.131.157
degjotaf.www.cqu.com.    IN    A    24.157.220.10
utowsfej.www.cqu.com.    IN    A    107.209.124.24
jigrlbhu.www.cqu.com.    IN    A    162.191.86.104
ovhyqtrf.www.cqu.com.    IN    A    38.125.10.154
hasivwdq.www.cqu.com.    IN    A    234.128.115.37
lbjvudan.www.cqu.com.    IN    A    14.85.73.17
ufnvthmb.www.cqu.com.    IN    A    163.202.135.226
ewivskgm.www.cqu.com.    IN    A    236.204.186.235
ewhdgjns.www.cqu.com.    IN    A    46.215.19.171
pfajunom.www.cqu.com.    IN    A    98.217.225.72
ewmldciy.www.cqu.com.    IN    A    49.21.138.207
qobyupxm.www.cqu.com.    IN    A    61.245.105.108
tchlwfan.www.cqu.com.    IN    A    167.213.106.170
ludwsqry.www.cqu.com.    IN    A    190.199.13.152
bntphrik.www.cqu.com.    IN    A    207.43.14.20
yjecgumn.www.cqu.com.    IN    A    33.243.46.72
oetlfpmb.www.cqu.com.    IN    A    104.127.83.162
xasnkypf.www.cqu.com.    IN    A    251.98.59.255
njlvwkdx.www.cqu.com.    IN    A    176.19.187.225
gsifhrjm.www.cqu.com.    IN    A    188.104.119.131
wxhjueod.www.cqu.com.    IN    A    30.97.62.189
iybxruaw.www.cqu.com.    IN    A    121.52.83.165
uleykrmf.www.cqu.com.    IN    A    166.248.42.241
caywgxpv.www.cqu.com.    IN    A    138.145.80.160
laowtynr.www.cqu.com.    IN    A    93.146.122.154
dwiqgysx.www.cqu.com.    IN    A    125.117.208.23
dolurybs.www.cqu.com.    IN    A    45.85.51.191
dmkfxnvj.www.cqu.com.    IN    A    91.10.111.46
yswlnjpr.www.cqu.com.    IN    A    92.77.106.103
rxjqbnds.www.cqu.com.    IN    A    249.88.156.17
iaxdlhqc.www.cqu.com.    IN    A    197.21.225.27
twenobsa.www.cqu.com.    IN    A    190.52.57.118
slaxwvkp.www.cqu.com.    IN    A    253.62.201.191
rownxuvj.www.cqu.com.    IN    A    67.25.77.58
tychvfra.www.cqu.com.    IN    A    179.68.59.144
uierkxhf.www.cqu.com.    IN    A    137.85.13.130
squehcml.www.cqu.com.    IN    A    214.238.42.241
fmodywvx.www.cqu.com.    IN    A    33.25.34.241
gsrpnwvl.www.cqu.com.    IN    A    113.177.202.184
pdwgosif.www.cqu.com.    IN    A    41.167.43.131
ftqwpkem.www.cqu.com.    IN    A    201.12.172.41
etybiprw.www.cqu.com.    IN    A    192.221.112.73
rbnocqwl.www.cqu.com.    IN    A    234.216.220.48
nrjvxhag.www.cqu.com.    IN    A    191.251.228.95
hqlgwusm.www.cqu.com.    IN    A    110.82.95.232
gpotkdwn.www.cqu.com.    IN    A    185.175.62.177
htekusyj.www.cqu.com.    IN    A    221.101.209.169
vjxqtdhl.www.cqu.com.    IN    A    143.76.14.226
vmqujlis.www.cqu.com.    IN    A    114.11.159.85
ktbmvdeu.www.cqu.com.    IN    A    56.142.50.237
hkyvujwd.www.cqu.com.    IN    A    181.112.86.69
stqjfnby.www.cqu.com.    IN    A    207.88.14.226
qkwmngci.www.cqu.com.    IN    A    19.215.152.206
ldpmnory.www.cqu.com.    IN    A    111.153.191.232
nbhrcodg.www.cqu.com.    IN    A    142.102.246.100
jkfglpbc.www.cqu.com.    IN    A    37.244.122.31
vskdcimp.www.cqu.com.    IN    A    71.126.212.5
nxcswoyh.www.cqu.com.    IN    A    131.31.183.60
pcduoebh.www.cqu.com.    IN    A    79.52.178.209
qgcwbhsi.www.cqu.com.    IN    A    186.225.243.4
kvmplubr.www.cqu.com.    IN    A    156.128.138.172
ixcrvybt.www.cqu.com.    IN    A    40.222.95.18
lcqikogm.www.cqu.com.    IN    A    94.129.72.118
mnwaiers.www.cqu.com.    IN    A    107.251.197.123
puhgxjnm.www.cqu.com.    IN    A    43.196.169.25
plwqgres.www.cqu.com.    IN    A    171.39.9.241
ebcxuhdl.www.cqu.com.    IN    A    233.218.241.127
bdnovlwk.www.cqu.com.    IN    A    115.67.147.149
lcitjupk.www.cqu.com.    IN    A    108.100.5.143
blraexkt.www.cqu.com.    IN    A    67.212.28.225
umjrtpev.www.cqu.com.    IN    A    56.183.127.37
ryfskauw.www.cqu.com.    IN    A    15.173.39.238
skqpcbgw.www.cqu.com.    IN    A    236.145.213.169
tqcwfdir.www.cqu.com.    IN    A    220.76.42.192
hmevdcsw.www.cqu.com.    IN    A    237.245.126.37
ldhnwbtu.www.cqu.com.    IN    A    218.183.236.203
iahetjdv.www.cqu.com.    IN    A    199.47.122.217
wbqxanfh.www.cqu.com.    IN    A    252.4.168.192
udohqjrf.www.cqu.com.    IN    A    128.87.119.12
eyvbtgqm.www.cqu.com.    IN    A    83.13.153.253
xlvubews.www.cqu.com.    IN    A    222.170.20.23
kgsphmfl.www.cqu.com.    IN    A    225.3.119.209
mfqtxyhe.www.cqu.com.    IN    A    134.116.145.156
evglamst.www.cqu.com.    IN    A    105.142.69.216
hgwldkfb.www.cqu.com.    IN    A    87.163.30.4
efplywsr.www.cqu.com.    IN    A    6.49.112.58
dtbguajq.www.cqu.com.    IN    A    238.11.26.169
kmfgtvbj.www.cqu.com.    IN    A    241.118.61.91
klonfqra.www.cqu.com.    IN    A    35.138.19.78
vfqycnmu.www.cqu.com.    IN    A    54.28.4.215
ulogxqye.www.cqu.com.    IN    A    165.186.29.131
rboxskqf.www.cqu.com.    IN    A    195.86.149.161
mdnqyegw.www.cqu.com.    IN    A    208.211.139.214
maqtbdxw.www.cqu.com.    IN    A    202.24.99.160
clhfbsie.www.cqu.com.    IN    A    190.206.52.184
siuxtqja.www.cqu.com.    IN    A    152.98.244.179
gskxbwvm.www.cqu.com.    IN    A    21.139.217.78
jacbhmiy.www.cqu.com.    IN    A    103.79.197.132
sbldactu.www.cqu.com.    IN    A    53.171.132.128
vmwdgcbt.www.cqu.com.    IN    A    38.7.28.113
luaypfoj.www.cqu.com.    IN    A    220.32.159.53
lqdsuhtr.www.cqu.com.    IN    A    179.122.31.200
sarnvpjy.www.cqu.com.    IN    A    235.86.44.226
khbsjade.www.cqu.com.    IN    A    234.94.13.74
bojtifvh.www.cqu.com.    IN    A    31.38.99.193
ghvwclrd.www.cqu.com.    IN    A    188.169.93.237
vpbmjldx.www.cqu.com.    IN    A    25.194.238.21
angxsqkc.www.cqu.com.    IN    A    187.250.78.251
qyigopmh.www.cqu.com.    IN    A    126.149.138.163
isxapdcq.www.cqu.com.    IN    A    69.3.109.246
bfdlyati.www.cqu.com.    IN    A    19.120.14.99
enbogtrc.www.cqu.com.    IN    A    45.62.122.225
udjqkmos.www.cqu.com.    IN    A    135.67.234.178
mnyswcfb.www.cqu.com.    IN    A    67.144.198.24
lbowmayk.www.cqu.com.    IN    A    165.40.140.115
aihswytj.www.cqu.com.    IN    A    105.103.54.156
peqjtulk.www.cqu.com.    IN    A    194.93.109.39
pqdlmref.www.cqu.com.    IN    A    58.33.153.131
lstfdqum.www.cqu.com.    IN    A    106.213.134.140
vhyrxqwm.www.cqu.com.    IN    A    34.67.211.91
qgbcndal.www.cqu.com.    IN    A    54.135.35.89
nortkpey.www.cqu.com.    IN    A    39.182.70.100
qjrkdhma.www.cqu.com.    IN    A    254.226.33.100
mypjitvh.www.cqu.com.    IN    A    35.114.148.145
anvmdtys.www.cqu.com.    IN    A    133.248.251.106
hftmkqir.www.cqu.com.    IN    A    100.86.50.206
utlwijyd.www.cqu.com.    IN    A    158.198.215.156
nibqpwlo.www.cqu.com.    IN    A    186.32.229.180
pnhfudme.www.cqu.com.    IN    A    153.237.235.212
ipyqrmoh.www.cqu.com.    IN    A    65.146.88.238
jeanibrm.www.cqu.com.    IN    A    3.204.128.141
cfglvtjx.www.cqu.com.    IN    A    74.170.192.111
dmxgjbwn.www.cqu.com.    IN    A    30.201.212.235
iolsmfgn.www.cqu.com.    IN    A    73.38.235.194
jiduwmyn.www.cqu.com.    IN    A    173.20.171.118
gtqpsrlm.www.cqu.com.    IN    A    137.148.62.241
lxnebipu.www.cqu.com.    IN    A    243.56.65.25
kamnriug.www.cqu.com.    IN    A    16.10.246.81
pikyueja.www.cqu.com.    IN    A    180.51.210.101
cdfthiqy.www.cqu.com.    IN    A    30.70.54.27
otlkrbea.www.cqu.com.    IN    A    160.239.186.242
rwtopqmj.www.cqu.com.    IN    A    141.194.142.83
xafvjyts.www.cqu.com.    IN    A    79.86.103.50
juckpnwo.www.cqu.com.    IN    A    176.211.226.227
ovdrtwyu.www.cqu.com.    IN    A    11.214.154.240
rvbwfkam.www.cqu.com.    IN    A    151.29.65.194
udtmrwvi.www.cqu.com.    IN    A    179.140.142.37
cqanievx.www.cqu.com.    IN    A    6.90.50.213
gspuxehr.www.cqu.com.    IN    A    115.42.1.0
tbyspxil.www.cqu.com.    IN    A    118.243.89.115
gkbporxy.www.cqu.com.    IN    A    41.17.130.219
evgfjyxi.www.cqu.com.    IN    A    20.180.78.106
styoilbp.www.cqu.com.    IN    A    71.180.101.43
wfrhogmi.www.cqu.com.    IN    A    246.180.210.4
pjyfmaev.www.cqu.com.    IN    A    103.144.192.220
kvpyfcdx.www.cqu.com.    IN    A    118.225.85.174
lvfmjysn.www.cqu.com.    IN    A    75.203.118.74
qmopscya.www.cqu.com.    IN    A    27.211.247.132
cmykribu.www.cqu.com.    IN    A    59.69.172.235
xgqjbyud.www.cqu.com.    IN    A    8.209.89.228
falkeybs.www.cqu.com.    IN    A    124.32.134.252
jfihctkg.www.cqu.com.    IN    A    177.96.22.208
lkhqdecn.www.cqu.com.    IN    A    30.10.133.8
jahcoxin.www.cqu.com.    IN    A    136.160.24.217
yoajwehl.www.cqu.com.    IN    A    220.240.43.26
kcvnbmql.www.cqu.com.    IN    A    142.241.163.185
lqpjgidf.www.cqu.com.    IN    A    218.7.48.102
djsmgxvl.www.cqu.com.    IN    A    35.159.206.76
nfvbijrq.www.cqu.com.    IN    A    69.199.30.219
knqucepi.www.cqu.com.    IN    A    107.187.90.21
dykoxicm.www.cqu.com.    IN    A    83.10.238.43
xpbqmoal.www.cqu.com.    IN    A    159.192.7.14
pfwdvuxb.www.cqu.com.    IN    A    235.196.32.31
sojrbeit.www.cqu.com.    IN    A    229.32.78.101
tjvhmgnq.www.cqu.com.    IN    A    245.10.127.115
nmyjkxlu.www.cqu.com.    IN    A    9.252.95.116
vdlfurkx.www.cqu.com.    IN    A    62.23.27.149
urckbnwy.www.cqu.com.    IN    A    230.249.210.118
lxrkhdjt.www.cqu.com.    IN    A    46.238.200.106
lfvbsgud.www.cqu.com.    IN    A    169.54.21.155
dubkipqw.www.cqu.com.    IN    A    79.253.212.233
cyodmuav.www.cqu.com.    IN    A    159.69.234.225
hxsoebfn.www.cqu.com.    IN    A    195.65.198.195
epauisbh.www.cqu.com.    IN    A    93.148.104.202
jksrpweg.www.cqu.com.    IN    A    95.57.14.237
xfcmbrqs.www.cqu.com.    IN    A    196.105.189.138
usvdlxho.www.cqu.com.    IN    A    196.116.244.110
gkfxirnb.www.cqu.com.    IN    A    242.116.137.111
gaprjvtm.www.cqu.com.    IN    A    106.173.29.92
mplrbgvj.www.cqu.com.    IN    A    175.162.237.45
ilxyesng.www.cqu.com.    IN    A    144.227.241.182
dermqsui.www.cqu.com.    IN    A    196.59.126.103
wjptenls.www.cqu.com.    IN    A    60.53.138.175
toqkxwgs.www.cqu.com.    IN    A    158.231.173.186
tyshxlqm.www.cqu.com.    IN    A    125.210.77.26
idckupmx.www.cqu.com.    IN    A    200.177.51.95
abufnteo.www.cqu.com.    IN    A    103.40.75.161
edmgxijw.www.cqu.com.    IN    A    174.136.123.248
wrltveuq.www.cqu.com.    IN    A    112.230.32.136
teuohsbr.www.cqu.com.    IN    A    176.148.171.11
iodvbkhx.www.cqu.com.    IN    A    140.46.184.107
hfgnvdxt.www.cqu.com.    IN    A    252.99.217.160
pegnaklo.www.cqu.com.    IN    A    104.124.35.97
bgfyimqk.www.cqu.com.    IN    A    141.205.165.163
qdkoxujt.www.cqu.com.    IN    A    222.101.62.246
iqcjdgao.www.cqu.com.    IN    A    132.197.189.56
mdpjfeus.www.cqu.com.    IN    A    116.217.28.198
laoicjpk.www.cqu.com.    IN    A    108.126.196.17
xrwptomb.www.cqu.com.    IN    A    133.39.245.186
tkgsxnvc.www.cqu.com.    IN    A    26.207.152.79
arjsdmho.www.cqu.com.    IN    A    84.26.192.31
vgdbtefm.www.cqu.com.    IN    A    47.126.39.251
txwumacs.www.cqu.com.    IN    A    246.64.127.207
pnkghtvw.www.cqu.com.    IN    A    178.250.198.99
mhjkvgrb.www.cqu.com.    IN    A    117.123.118.112
kicnlrfp.www.cqu.com.    IN    A    151.54.17.32
olyxvuae.www.cqu.com.    IN    A    168.49.66.150
gwsmahuy.www.cqu.com.    IN    A    159.144.49.84
ahbxckrs.www.cqu.com.    IN    A    81.248.181.107
lovbrjif.www.cqu.com.    IN    A    34.44.64.158
gfuowrns.www.cqu.com.    IN    A    160.73.20.78
vlaqjogt.www.cqu.com.    IN    A    41.127.171.110
licvpgum.www.cqu.com.    IN    A    111.72.139.19
qgextsyl.www.cqu.com.    IN    A    205.170.248.47
pvxokaqi.www.cqu.com.    IN    A    158.166.102.195
ldpnjihu.www.cqu.com.    IN    A    244.145.175.134
qtknhvxy.www.cqu.com.    IN    A    33.180.90.72
oujntseg.www.cqu.com.    IN    A    142.63.89.122
ngxcyiod.www.cqu.com.    IN    A    10.105.92.61
glwauyme.www.cqu.com.    IN    A    6.174.252.114
vwiupcjb.www.cqu.com.    IN    A    32.241.250.98
cyxaswjo.www.cqu.com.    IN    A    120.239.136.80
vwbndkio.www.cqu.com.    IN    A    32.61.237.79
ujevhnig.www.cqu.com.    IN    A    91.7.209.208
ineovrft.www.cqu.com.    IN    A    192.57.198.65
cmyflohs.www.cqu.com.    IN    A    252.135.74.169
yuposteb.www.cqu.com.    IN    A    151.134.135.114
hsdbinmo.www.cqu.com.    IN    A    122.225.209.99
byrksufv.www.cqu.com.    IN    A    122.31.136.79
igklmseb.www.cqu.com.    IN    A    163.251.81.213
ekriapqs.www.cqu.com.    IN    A    172.69.121.175
dnmjtwyr.www.cqu.com.    IN    A    227.145.125.41
bkxqpmvj.www.cqu.com.    IN    A    171.114.113.127
oghreqnb.www.cqu.com.    IN    A    255.244.131.58
vnhqurco.www.cqu.com.    IN    A    247.180.217.87
qufarbyd.www.cqu.com.    IN    A    72.107.186.96
qorpnyte.www.cqu.com.    IN    A    217.244.23.57
sieobhxw.www.cqu.com.    IN    A    16.215.75.192
cfwvrmey.www.cqu.com.    IN    A    195.249.96.249
qtfjiwal.www.cqu.com.    IN    A    224.231.207.50
thodevsq.www.cqu.com.    IN    A    33.58.215.3
htenbvkj.www.cqu.com.    IN    A    179.24.143.155
rifmhqny.www.cqu.com.    IN    A    160.216.35.122
mfaitjck.www.cqu.com.    IN    A    145.45.136.228
gplenkiq.www.cqu.com.    IN    A    103.42.13.212
yhstkmiu.www.cqu.com.    IN    A    80.238.185.212
ukxomewl.www.cqu.com.    IN    A    183.27.218.159
tkineyab.www.cqu.com.    IN    A    141.73.8.59
aeinxspt.www.cqu.com.    IN    A    2.10.197.10
xacwbysl.www.cqu.com.    IN    A    120.216.130.221
igculyst.www.cqu.com.    IN    A    51.135.161.165
vkmuphqg.www.cqu.com.    IN    A    72.162.203.224
rywqnlau.www.cqu.com.    IN    A    199.135.195.48
gephjfnw.www.cqu.com.    IN    A    253.117.211.18
oshuilxj.www.cqu.com.    IN    A    89.187.93.20
xdgamyhf.www.cqu.com.    IN    A    85.2.174.2
avbdtchm.www.cqu.com.    IN    A    2.23.63.153
rmasfwbi.www.cqu.com.    IN    A    17.135.18.9
quacwhln.www.cqu.com.    IN    A    17.40.13.6
gmiwjary.www.cqu.com.    IN    A    77.144.20.162
wxpogriy.www.cqu.com.    IN    A    132.179.195.248
kfrcjdni.www.cqu.com.    IN    A    38.145.136.15
ivrqsdna.www.cqu.com.    IN    A    39.166.16.191
fycjtagd.www.cqu.com.    IN    A    140.95.203.94
tjbgphko.www.cqu.com.    IN    A    141.251.184.236
bmheuigy.www.cqu.com.    IN    A    40.90.59.59
evbfplok.www.cqu.com.    IN    A    151.157.25.46
ufcaxktg.www.cqu.com.    IN    A    105.224.237.245
yksdnahu.www.cqu.com.    IN    A    252.53.112.203
nedsjykh.www.cqu.com.    IN    A    208.219.84.11
vwxyplce.www.cqu.com.    IN    A    41.136.192.194
segbnhdu.www.cqu.com.    IN    A    68.108.128.19
ktqujdes.www.cqu.com.    IN    A    38.110.235.242
ymkfjisu.www.cqu.com.    IN    A    15.225.110.134
ebqgjplk.www.cqu.com.    IN    A    201.154.87.78
nqbriegf.www.cqu.com.    IN    A    185.245.202.14
ydgnqesc.www.cqu.com.    IN    A    79.22.252.167
uksxjlcv.www.cqu.com.    IN    A    130.96.233.232
irptnqbw.www.cqu.com.    IN    A    218.11.115.66
joriluyn.www.cqu.com.    IN    A    155.176.150.49
pvictrfd.www.cqu.com.    IN    A    181.21.68.125
iaodjfnb.www.cqu.com.    IN    A    146.219.203.187
qafvorwl.www.cqu.com.    IN    A    202.211.122.30
aemwcohb.www.cqu.com.    IN    A    34.177.7.202
bxfhglvt.www.cqu.com.    IN    A    100.168.148.228
jyexhndp.www.cqu.com.    IN    A    86.28.41.152
ygqxtnev.www.cqu.com.    IN    A    242.24.12.226
mifutbdp.www.cqu.com.    IN    A    108.72.195.122
bprtifcw.www.cqu.com.    IN    A    104.235.198.96
staqfjvg.www.cqu.com.    IN    A    213.110.81.160
jaumhods.www.cqu.com.    IN    A    137.64.69.244
cnhlojbr.www.cqu.com.    IN    A    170.196.186.154
