arch.tju.com.	14400	IN	SOA	ns1.arch.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
arch.tju.com.		    IN	NS ns1.arch.tju.com.
mbydsjea.arch.tju.com.   IN    A    93.115.175.138
tnykemoc.arch.tju.com.   IN    A    200.114.110.44
tadwplmf.arch.tju.com.   IN    A    72.238.234.242
oxtykjsd.arch.tju.com.   IN    A    147.6.73.40
ilvktrax.arch.tju.com.   IN    A    177.45.103.177
ipgeuftl.arch.tju.com.   IN    A    158.212.85.228
pfysqrgw.arch.tju.com.   IN    A    165.186.113.32
juoemarx.arch.tju.com.   IN    A    20.249.102.171
xsydwuob.arch.tju.com.   IN    A    250.26.15.14
pkmcdior.arch.tju.com.   IN    A    227.39.164.148
rkmxidql.arch.tju.com.   IN    A    213.19.84.211
renjubdg.arch.tju.com.   IN    A    5.32.202.91
tmohcreq.arch.tju.com.   IN    A    65.12.149.111
kgfxserd.arch.tju.com.   IN    A    46.157.87.242
owqdvlxc.arch.tju.com.   IN    A    244.79.83.17
omahrkwy.arch.tju.com.   IN    A    96.4.91.161
yjrgdpak.arch.tju.com.   IN    A    108.61.32.161
vqjoeyix.arch.tju.com.   IN    A    255.81.13.106
rqfsnyeo.arch.tju.com.   IN    A    83.179.122.111
wtkbuvdf.arch.tju.com.   IN    A    200.241.63.216
vtbulhej.arch.tju.com.   IN    A    48.189.126.180
wdbohplc.arch.tju.com.   IN    A    95.120.228.12
xvpuojfm.arch.tju.com.   IN    A    40.141.51.80
borynuaj.arch.tju.com.   IN    A    103.251.121.137
htgkwnye.arch.tju.com.   IN    A    40.172.106.151
nmvwexir.arch.tju.com.   IN    A    96.110.220.35
fvojdtwq.arch.tju.com.   IN    A    192.69.94.126
roykxlab.arch.tju.com.   IN    A    104.94.245.108
eoyflcdk.arch.tju.com.   IN    A    23.115.193.30
evjxgcrq.arch.tju.com.   IN    A    98.138.120.115
dolxgcaq.arch.tju.com.   IN    A    202.125.162.1
cbodjuir.arch.tju.com.   IN    A    83.197.53.61
kodiepbt.arch.tju.com.   IN    A    92.10.185.117
rmoqpyns.arch.tju.com.   IN    A    58.212.136.215
fouxrgel.arch.tju.com.   IN    A    122.131.188.4
ehkvlwxg.arch.tju.com.   IN    A    228.18.162.139
qonmbpfk.arch.tju.com.   IN    A    11.186.135.206
idxqfluv.arch.tju.com.   IN    A    144.128.211.148
bysgdpmc.arch.tju.com.   IN    A    5.185.110.142
gorfnjax.arch.tju.com.   IN    A    23.246.47.222
jyamtxpe.arch.tju.com.   IN    A    25.12.185.145
kphgtylr.arch.tju.com.   IN    A    10.250.110.27
pfjlikac.arch.tju.com.   IN    A    249.132.250.207
ryspkqif.arch.tju.com.   IN    A    222.39.55.5
wxcsjuva.arch.tju.com.   IN    A    65.79.145.85
bpnescgw.arch.tju.com.   IN    A    240.28.102.222
fqwrtcus.arch.tju.com.   IN    A    109.48.246.47
hvryksol.arch.tju.com.   IN    A    127.76.130.233
gtnkqbac.arch.tju.com.   IN    A    164.4.71.237
tlrnshyx.arch.tju.com.   IN    A    162.133.31.87
udmknfjb.arch.tju.com.   IN    A    234.217.252.62
rdafpbhm.arch.tju.com.   IN    A    165.180.194.65
ovhapbli.arch.tju.com.   IN    A    114.145.151.246
cxjfovsn.arch.tju.com.   IN    A    226.243.197.151
bactuesn.arch.tju.com.   IN    A    62.23.121.9
gduxthis.arch.tju.com.   IN    A    167.109.251.14
wfgoqlva.arch.tju.com.   IN    A    157.191.52.128
eupfdltj.arch.tju.com.   IN    A    117.55.28.91
jksntglp.arch.tju.com.   IN    A    191.215.73.190
mcaqjlov.arch.tju.com.   IN    A    14.139.93.151
rugkxmqe.arch.tju.com.   IN    A    207.181.46.90
adtuhkic.arch.tju.com.   IN    A    136.193.15.136
uwtidanh.arch.tju.com.   IN    A    164.48.169.25
tayhrsgi.arch.tju.com.   IN    A    9.169.242.3
kosgwcut.arch.tju.com.   IN    A    154.13.210.214
ntpycuhw.arch.tju.com.   IN    A    37.89.170.249
xrtqkldy.arch.tju.com.   IN    A    232.197.143.162
mqoyafne.arch.tju.com.   IN    A    220.150.168.106
ixskhelw.arch.tju.com.   IN    A    170.42.86.187
pskulrto.arch.tju.com.   IN    A    204.213.42.199
otqnamjv.arch.tju.com.   IN    A    69.236.139.108
uoighfsp.arch.tju.com.   IN    A    123.16.125.170
hnbquews.arch.tju.com.   IN    A    141.235.108.30
vgqodjry.arch.tju.com.   IN    A    233.103.248.100
tqhrmdfy.arch.tju.com.   IN    A    185.128.128.146
jasexlcq.arch.tju.com.   IN    A    35.94.26.11
jncrqgya.arch.tju.com.   IN    A    198.108.162.150
tiyosucw.arch.tju.com.   IN    A    16.142.34.14
hbvlxfqn.arch.tju.com.   IN    A    41.151.204.153
oeirlcjb.arch.tju.com.   IN    A    55.33.224.92
paokvrhl.arch.tju.com.   IN    A    148.195.1.96
uljqibek.arch.tju.com.   IN    A    31.136.201.104
shvwbjqm.arch.tju.com.   IN    A    108.44.166.90
tdorcklm.arch.tju.com.   IN    A    245.153.34.54
qwvlornf.arch.tju.com.   IN    A    209.85.75.209
pirthaxl.arch.tju.com.   IN    A    225.152.149.150
dteinclo.arch.tju.com.   IN    A    218.214.243.36
ydqeukpb.arch.tju.com.   IN    A    36.10.39.155
ulnepmjw.arch.tju.com.   IN    A    38.75.249.241
oxfsknyt.arch.tju.com.   IN    A    21.101.23.8
ueofchir.arch.tju.com.   IN    A    178.85.114.34
eyitmwju.arch.tju.com.   IN    A    24.15.189.136
kpsyfdnm.arch.tju.com.   IN    A    118.131.82.3
jovpgyhk.arch.tju.com.   IN    A    192.98.133.179
koamfdei.arch.tju.com.   IN    A    20.229.16.32
qwicvyts.arch.tju.com.   IN    A    100.81.159.24
sgyltewq.arch.tju.com.   IN    A    32.38.174.34
rwfexvno.arch.tju.com.   IN    A    178.129.79.47
gjnfeyrm.arch.tju.com.   IN    A    117.239.24.40
dbvlouja.arch.tju.com.   IN    A    7.220.1.77
dwcxavmf.arch.tju.com.   IN    A    2.230.139.36
kcdvljya.arch.tju.com.   IN    A    139.173.88.254
vloajcwu.arch.tju.com.   IN    A    196.44.38.86
xlaitydm.arch.tju.com.   IN    A    91.154.253.10
vyjgmrqo.arch.tju.com.   IN    A    10.5.173.136
ksrgtuvp.arch.tju.com.   IN    A    132.155.85.50
hmpacxfs.arch.tju.com.   IN    A    132.88.57.225
kpwnvhyc.arch.tju.com.   IN    A    20.165.125.204
hcaovxuy.arch.tju.com.   IN    A    207.224.143.60
dlrhoicy.arch.tju.com.   IN    A    158.215.30.253
bjeglwfn.arch.tju.com.   IN    A    134.1.147.198
esniubmx.arch.tju.com.   IN    A    129.207.47.207
qwmprnlk.arch.tju.com.   IN    A    82.139.231.1
sxnmclko.arch.tju.com.   IN    A    136.216.227.126
nfkyelux.arch.tju.com.   IN    A    238.2.61.219
enwmpoya.arch.tju.com.   IN    A    92.217.193.123
bfpgnwjr.arch.tju.com.   IN    A    65.18.125.7
cxyvjotp.arch.tju.com.   IN    A    181.236.163.228
vituxpas.arch.tju.com.   IN    A    72.123.179.38
xvwmdftn.arch.tju.com.   IN    A    90.253.10.110
qnbamfgp.arch.tju.com.   IN    A    137.71.202.28
eufmqlyt.arch.tju.com.   IN    A    63.140.49.84
dofejpby.arch.tju.com.   IN    A    133.254.33.125
tafklweg.arch.tju.com.   IN    A    10.0.154.148
tdraesbp.arch.tju.com.   IN    A    7.79.206.151
burvtmsi.arch.tju.com.   IN    A    192.93.63.80
hrdgsvnk.arch.tju.com.   IN    A    215.203.224.16
vgykxqud.arch.tju.com.   IN    A    52.234.70.184
inpowugs.arch.tju.com.   IN    A    20.143.111.238
kejtufpb.arch.tju.com.   IN    A    106.0.177.49
wigmfthr.arch.tju.com.   IN    A    124.175.226.17
dfvomayn.arch.tju.com.   IN    A    111.64.76.77
nwijresk.arch.tju.com.   IN    A    34.10.139.185
nwmefcgi.arch.tju.com.   IN    A    180.44.106.74
mcewugja.arch.tju.com.   IN    A    93.64.185.191
vnbeuxtq.arch.tju.com.   IN    A    45.147.99.57
tflkcdoy.arch.tju.com.   IN    A    156.134.253.102
vifkguhq.arch.tju.com.   IN    A    71.199.184.105
ebfnkdol.arch.tju.com.   IN    A    116.191.96.142
btokrnxh.arch.tju.com.   IN    A    0.56.207.209
rbajhmgw.arch.tju.com.   IN    A    244.253.234.151
qjyvulbg.arch.tju.com.   IN    A    174.43.243.230
sgyrflim.arch.tju.com.   IN    A    48.75.26.14
nuoisxjr.arch.tju.com.   IN    A    215.57.241.127
ndivgeys.arch.tju.com.   IN    A    219.224.117.65
ymkuhiqb.arch.tju.com.   IN    A    65.128.137.61
owrvquyk.arch.tju.com.   IN    A    18.181.123.91
dnulqkms.arch.tju.com.   IN    A    59.134.251.232
ixysqecv.arch.tju.com.   IN    A    47.106.123.136
uodlnywr.arch.tju.com.   IN    A    209.214.87.37
rjyesoht.arch.tju.com.   IN    A    20.123.82.242
mqsvfeyw.arch.tju.com.   IN    A    124.231.242.42
slvyeawo.arch.tju.com.   IN    A    81.164.204.243
yphnilxw.arch.tju.com.   IN    A    252.146.203.55
geibkqny.arch.tju.com.   IN    A    22.25.166.142
nasvecdh.arch.tju.com.   IN    A    4.67.46.32
qfpkbtix.arch.tju.com.   IN    A    96.110.245.171
lvqnmgxu.arch.tju.com.   IN    A    156.169.75.0
adbhmlse.arch.tju.com.   IN    A    95.24.200.188
pnowaeds.arch.tju.com.   IN    A    155.68.182.169
kxpjafyb.arch.tju.com.   IN    A    152.157.128.8
dlmvcsek.arch.tju.com.   IN    A    82.55.226.20
cytgiohs.arch.tju.com.   IN    A    19.12.220.195
owbystrn.arch.tju.com.   IN    A    22.10.190.27
lfpgtckx.arch.tju.com.   IN    A    57.8.24.28
exjqpnbk.arch.tju.com.   IN    A    76.177.44.229
qbsluwvi.arch.tju.com.   IN    A    80.56.189.226
vnywkqxb.arch.tju.com.   IN    A    45.252.106.178
fewotqxc.arch.tju.com.   IN    A    152.153.138.197
lhefwqsc.arch.tju.com.   IN    A    1.202.125.138
vwdqxmje.arch.tju.com.   IN    A    139.252.247.205
jkqsngdo.arch.tju.com.   IN    A    217.190.54.112
sugcbnxm.arch.tju.com.   IN    A    217.143.218.98
ofsjrqlp.arch.tju.com.   IN    A    142.68.202.74
yvkusaxw.arch.tju.com.   IN    A    143.168.73.7
aodtpbqe.arch.tju.com.   IN    A    95.159.194.222
fnhksdim.arch.tju.com.   IN    A    232.136.223.240
fdwhekcl.arch.tju.com.   IN    A    6.95.56.25
upnywsvd.arch.tju.com.   IN    A    18.83.151.195
qlmdfcby.arch.tju.com.   IN    A    31.156.15.179
nghfpreb.arch.tju.com.   IN    A    13.130.24.11
hngleyvd.arch.tju.com.   IN    A    236.76.220.87
xbloemct.arch.tju.com.   IN    A    49.18.208.90
agrebtvk.arch.tju.com.   IN    A    8.68.251.213
yjgncmws.arch.tju.com.   IN    A    241.31.139.187
dgxnclqm.arch.tju.com.   IN    A    67.255.212.114
oqlmxpci.arch.tju.com.   IN    A    147.44.220.82
xmgafhsb.arch.tju.com.   IN    A    121.89.41.100
qnhvuxjy.arch.tju.com.   IN    A    62.169.150.236
ctwsfqax.arch.tju.com.   IN    A    214.111.199.154
amrylpki.arch.tju.com.   IN    A    141.178.230.155
ijhwmnfa.arch.tju.com.   IN    A    185.64.141.197
ifnqyuah.arch.tju.com.   IN    A    238.126.10.137
qtodeavp.arch.tju.com.   IN    A    224.122.68.235
tgxmanjv.arch.tju.com.   IN    A    66.101.199.138
msplwckv.arch.tju.com.   IN    A    35.204.74.207
xfbmvyht.arch.tju.com.   IN    A    125.136.59.12
gqsixtya.arch.tju.com.   IN    A    48.198.97.32
hwvbaxtp.arch.tju.com.   IN    A    168.148.235.66
ciuwkfla.arch.tju.com.   IN    A    215.184.140.49
vihpdjaw.arch.tju.com.   IN    A    129.217.38.157
lkqigcys.arch.tju.com.   IN    A    105.229.90.58
xogqbcjn.arch.tju.com.   IN    A    81.3.180.140
vginkplu.arch.tju.com.   IN    A    108.162.129.187
rvahtqms.arch.tju.com.   IN    A    121.159.76.168
unwydlpk.arch.tju.com.   IN    A    224.246.82.234
dpuwqyet.arch.tju.com.   IN    A    1.46.134.76
jwhopxtq.arch.tju.com.   IN    A    140.188.19.165
pkitwxhe.arch.tju.com.   IN    A    249.239.205.140
ueoqljyd.arch.tju.com.   IN    A    173.148.144.233
ydrwvltg.arch.tju.com.   IN    A    139.210.110.109
huirowns.arch.tju.com.   IN    A    217.137.97.126
ithomglf.arch.tju.com.   IN    A    107.157.97.121
weicomhu.arch.tju.com.   IN    A    162.94.41.58
uxopigyn.arch.tju.com.   IN    A    120.211.110.205
pegrofwm.arch.tju.com.   IN    A    72.193.93.83
pbeciwxu.arch.tju.com.   IN    A    208.189.45.106
jreihyva.arch.tju.com.   IN    A    189.211.171.101
wghpuxak.arch.tju.com.   IN    A    197.59.2.251
nayofemg.arch.tju.com.   IN    A    99.248.98.61
eumpasov.arch.tju.com.   IN    A    223.80.127.133
reotndkj.arch.tju.com.   IN    A    22.224.176.91
fwkajcsu.arch.tju.com.   IN    A    30.68.230.248
srigbhln.arch.tju.com.   IN    A    31.39.236.43
nxftpsgw.arch.tju.com.   IN    A    38.248.102.222
jpwvymhb.arch.tju.com.   IN    A    161.75.176.112
sbtmekhc.arch.tju.com.   IN    A    107.252.58.204
ymxlpqeh.arch.tju.com.   IN    A    82.216.12.30
nqesdyrt.arch.tju.com.   IN    A    119.117.133.176
olpamhbw.arch.tju.com.   IN    A    255.142.118.79
oqadnwsm.arch.tju.com.   IN    A    0.65.27.185
acgjodrv.arch.tju.com.   IN    A    238.6.233.61
wufjkmth.arch.tju.com.   IN    A    116.89.135.79
inljxcur.arch.tju.com.   IN    A    156.48.195.220
fnmjgqci.arch.tju.com.   IN    A    90.28.128.249
tulrgdae.arch.tju.com.   IN    A    51.203.152.244
dyxvtrgc.arch.tju.com.   IN    A    16.144.251.162
xtbresgl.arch.tju.com.   IN    A    32.134.44.188
aiuxjqfm.arch.tju.com.   IN    A    141.159.104.235
pehnmgkd.arch.tju.com.   IN    A    11.147.189.69
xdaybpcu.arch.tju.com.   IN    A    191.74.203.195
eqcdloxm.arch.tju.com.   IN    A    246.103.157.160
sryxqhto.arch.tju.com.   IN    A    30.2.208.178
lrsqykix.arch.tju.com.   IN    A    213.131.244.8
hjnpgteu.arch.tju.com.   IN    A    159.122.215.90
wmeisglq.arch.tju.com.   IN    A    97.163.121.232
yjtfonxk.arch.tju.com.   IN    A    32.120.146.153
mrxlehai.arch.tju.com.   IN    A    16.169.12.180
cqlsjfua.arch.tju.com.   IN    A    169.147.194.94
wfvnmlgp.arch.tju.com.   IN    A    91.215.104.136
ohbquawc.arch.tju.com.   IN    A    233.227.23.174
xehcfpgk.arch.tju.com.   IN    A    97.85.200.54
fpdjrcmu.arch.tju.com.   IN    A    235.35.89.102
opycmdvl.arch.tju.com.   IN    A    103.146.132.212
igucevwy.arch.tju.com.   IN    A    57.126.129.137
mrxwqjkv.arch.tju.com.   IN    A    138.233.102.149
xncafuqb.arch.tju.com.   IN    A    76.38.24.216
qafuvhbw.arch.tju.com.   IN    A    240.13.115.68
unehovma.arch.tju.com.   IN    A    117.236.121.167
fmyhqbxs.arch.tju.com.   IN    A    164.70.21.239
rgflktyh.arch.tju.com.   IN    A    172.90.139.171
eyapcfov.arch.tju.com.   IN    A    79.49.105.114
slcwpauf.arch.tju.com.   IN    A    190.73.246.251
ilmapjqd.arch.tju.com.   IN    A    192.3.246.105
vmgbnoaq.arch.tju.com.   IN    A    212.123.0.18
qeflgmia.arch.tju.com.   IN    A    56.135.164.110
xsmdbqok.arch.tju.com.   IN    A    127.153.238.175
suykonft.arch.tju.com.   IN    A    157.127.106.156
mnreqjfg.arch.tju.com.   IN    A    249.202.119.205
dpbeqcia.arch.tju.com.   IN    A    33.32.0.69
gqxakvri.arch.tju.com.   IN    A    13.84.196.208
hrlnviyc.arch.tju.com.   IN    A    164.178.65.253
yveniroj.arch.tju.com.   IN    A    19.217.74.50
wacvekbf.arch.tju.com.   IN    A    232.64.192.43
jdtlmgae.arch.tju.com.   IN    A    43.55.246.234
tylwehdq.arch.tju.com.   IN    A    33.56.126.99
nchmvopl.arch.tju.com.   IN    A    141.144.29.126
xbqcysfi.arch.tju.com.   IN    A    37.173.153.53
adevfkth.arch.tju.com.   IN    A    215.243.187.185
lejuomxr.arch.tju.com.   IN    A    131.205.220.88
ocxkbnqj.arch.tju.com.   IN    A    100.199.201.114
fejubtkg.arch.tju.com.   IN    A    186.73.203.183
jmeqlfvt.arch.tju.com.   IN    A    123.15.20.134
rntxkoad.arch.tju.com.   IN    A    197.240.219.59
ogwbjald.arch.tju.com.   IN    A    254.4.11.231
qsdjtcvi.arch.tju.com.   IN    A    148.126.171.181
bftojiar.arch.tju.com.   IN    A    105.6.144.251
ynuwhfxj.arch.tju.com.   IN    A    245.183.103.209
jqivusyf.arch.tju.com.   IN    A    8.134.33.137
bxklawrs.arch.tju.com.   IN    A    209.23.120.87
lrgwvuct.arch.tju.com.   IN    A    172.87.41.184
cxryaqsp.arch.tju.com.   IN    A    110.173.32.248
bfmapgln.arch.tju.com.   IN    A    219.206.62.20
vdntxmsl.arch.tju.com.   IN    A    27.49.177.138
megxyitn.arch.tju.com.   IN    A    24.64.187.218
yglqfwto.arch.tju.com.   IN    A    160.6.186.172
tsugxcip.arch.tju.com.   IN    A    254.52.224.194
canhbwie.arch.tju.com.   IN    A    58.240.187.109
svoywiht.arch.tju.com.   IN    A    159.87.96.175
jbdmhfvt.arch.tju.com.   IN    A    210.26.250.183
htxjpefb.arch.tju.com.   IN    A    205.103.68.31
xoibgesu.arch.tju.com.   IN    A    238.174.135.7
oicrqnwf.arch.tju.com.   IN    A    237.134.101.212
ahrsvdfp.arch.tju.com.   IN    A    25.193.205.30
prljyetg.arch.tju.com.   IN    A    67.144.99.113
jwoalgri.arch.tju.com.   IN    A    40.228.161.55
leqjfyms.arch.tju.com.   IN    A    88.181.82.120
xtfjnirs.arch.tju.com.   IN    A    117.4.54.197
fhgsynpb.arch.tju.com.   IN    A    208.105.171.165
gaenxvrf.arch.tju.com.   IN    A    14.120.116.189
scgenrlb.arch.tju.com.   IN    A    159.183.77.221
phbceuyo.arch.tju.com.   IN    A    178.70.25.228
sgneaord.arch.tju.com.   IN    A    227.193.29.151
wsodmaij.arch.tju.com.   IN    A    173.211.242.6
imuhvnyr.arch.tju.com.   IN    A    146.142.159.224
bjgdeiqt.arch.tju.com.   IN    A    36.186.73.249
gwksdvfa.arch.tju.com.   IN    A    106.103.106.25
nypfioed.arch.tju.com.   IN    A    18.107.123.243
mxqyjcvb.arch.tju.com.   IN    A    231.145.148.143
fwxogrdt.arch.tju.com.   IN    A    234.198.101.2
kpuhaefy.arch.tju.com.   IN    A    159.89.44.66
mnxtklwr.arch.tju.com.   IN    A    30.135.141.213
slxucyjf.arch.tju.com.   IN    A    37.198.131.182
cfnjasbg.arch.tju.com.   IN    A    202.70.12.215
epljqocx.arch.tju.com.   IN    A    120.147.108.74
pgcqwxjn.arch.tju.com.   IN    A    176.46.237.207
nuslmdcj.arch.tju.com.   IN    A    55.57.172.253
omuqhtlr.arch.tju.com.   IN    A    72.37.37.212
nrvubemp.arch.tju.com.   IN    A    114.136.121.135
sdcyoilh.arch.tju.com.   IN    A    243.252.116.92
kqtvxnar.arch.tju.com.   IN    A    250.192.152.204
ispedfyj.arch.tju.com.   IN    A    87.128.186.248
yubrdiwc.arch.tju.com.   IN    A    227.154.121.77
jfbyirls.arch.tju.com.   IN    A    7.82.250.230
ptcfdwjv.arch.tju.com.   IN    A    134.118.168.103
duganyvr.arch.tju.com.   IN    A    127.35.63.253
bypuosxm.arch.tju.com.   IN    A    135.230.208.62
atmviehc.arch.tju.com.   IN    A    8.72.11.239
kijbnrtf.arch.tju.com.   IN    A    161.53.5.115
jcsbvkxe.arch.tju.com.   IN    A    15.19.30.235
yxuftagc.arch.tju.com.   IN    A    148.126.170.103
kbjocygu.arch.tju.com.   IN    A    84.119.225.200
rbtoeulm.arch.tju.com.   IN    A    4.87.153.136
hulmebwo.arch.tju.com.   IN    A    17.15.193.49
hcoarlpu.arch.tju.com.   IN    A    75.188.240.209
ewolyxsd.arch.tju.com.   IN    A    233.248.130.204
fbhcgmqk.arch.tju.com.   IN    A    26.188.154.207
pgaucfqj.arch.tju.com.   IN    A    225.72.244.39
jqpwdmsu.arch.tju.com.   IN    A    144.221.197.153
khaneldg.arch.tju.com.   IN    A    222.151.221.240
wgarmtcn.arch.tju.com.   IN    A    228.153.65.15
aceuojdi.arch.tju.com.   IN    A    113.176.180.237
mawdekyq.arch.tju.com.   IN    A    210.163.26.115
akntgfie.arch.tju.com.   IN    A    157.166.97.35
idnqhfsg.arch.tju.com.   IN    A    182.5.181.114
rcfsdhlu.arch.tju.com.   IN    A    10.77.156.219
xjiwegqa.arch.tju.com.   IN    A    157.214.55.30
uvigphtf.arch.tju.com.   IN    A    227.134.245.93
yuvngboj.arch.tju.com.   IN    A    148.200.249.94
vuhjqdbp.arch.tju.com.   IN    A    52.25.207.56
nuawtqik.arch.tju.com.   IN    A    95.2.35.164
dhcfuxby.arch.tju.com.   IN    A    251.34.176.55
ncxvdywm.arch.tju.com.   IN    A    211.234.63.52
nfbodwqg.arch.tju.com.   IN    A    217.249.163.136
wpvhldeq.arch.tju.com.   IN    A    114.145.74.135
mgykhnra.arch.tju.com.   IN    A    193.214.68.28
excgsoat.arch.tju.com.   IN    A    14.26.119.143
bdorfneq.arch.tju.com.   IN    A    112.137.86.132
pquimabj.arch.tju.com.   IN    A    59.143.118.139
indujcqs.arch.tju.com.   IN    A    53.47.247.119
paqvuetr.arch.tju.com.   IN    A    223.211.64.209
tghdsqix.arch.tju.com.   IN    A    174.149.197.116
goryumkl.arch.tju.com.   IN    A    227.160.165.208
crmejhsd.arch.tju.com.   IN    A    109.40.207.197
axjgcfsy.arch.tju.com.   IN    A    30.241.46.163
waimphbr.arch.tju.com.   IN    A    210.162.248.87
akufilsr.arch.tju.com.   IN    A    221.167.49.81
hldrkxva.arch.tju.com.   IN    A    68.51.104.133
aojrvdeq.arch.tju.com.   IN    A    65.179.23.247
estdpkqi.arch.tju.com.   IN    A    137.230.195.227
kwfnsrup.arch.tju.com.   IN    A    160.18.105.146
sunvtilk.arch.tju.com.   IN    A    249.53.39.49
xghoptcm.arch.tju.com.   IN    A    68.34.212.74
ngwrkoeh.arch.tju.com.   IN    A    116.146.137.18
viglojyc.arch.tju.com.   IN    A    1.172.124.226
oktemvsq.arch.tju.com.   IN    A    243.8.244.70
mgqdyruo.arch.tju.com.   IN    A    202.198.242.140
fxlvgbpr.arch.tju.com.   IN    A    197.9.145.50
rsbxqkeh.arch.tju.com.   IN    A    10.9.92.173
cavxdhge.arch.tju.com.   IN    A    126.28.76.35
ilmjvnyp.arch.tju.com.   IN    A    82.99.183.205
hpbotvmi.arch.tju.com.   IN    A    29.80.198.54
nwklumhf.arch.tju.com.   IN    A    95.153.170.112
dkwuhgrb.arch.tju.com.   IN    A    60.77.40.187
ekvyxucm.arch.tju.com.   IN    A    125.209.217.52
nqjvxmky.arch.tju.com.   IN    A    183.134.194.118
fxuyegqd.arch.tju.com.   IN    A    20.133.239.64
nqfekhlm.arch.tju.com.   IN    A    165.53.238.44
aylqjhgv.arch.tju.com.   IN    A    23.220.71.248
wunlpcho.arch.tju.com.   IN    A    220.170.10.191
yhogrwdq.arch.tju.com.   IN    A    213.145.29.146
lupadxye.arch.tju.com.   IN    A    209.239.68.42
pqjvbgfr.arch.tju.com.   IN    A    140.25.172.126
mqhwybus.arch.tju.com.   IN    A    105.174.168.132
rjcaeybs.arch.tju.com.   IN    A    100.165.174.31
rdeyqkbh.arch.tju.com.   IN    A    3.167.1.106
ufbyjhel.arch.tju.com.   IN    A    181.20.187.153
fdybahwe.arch.tju.com.   IN    A    186.167.249.75
vhqetibd.arch.tju.com.   IN    A    101.17.3.195
qutgvjap.arch.tju.com.   IN    A    8.110.243.2
ltymfcwa.arch.tju.com.   IN    A    173.141.91.122
mnpkwqbv.arch.tju.com.   IN    A    93.42.114.16
ebacgiyk.arch.tju.com.   IN    A    51.72.135.197
indlyrgf.arch.tju.com.   IN    A    12.30.130.53
qgfbplsk.arch.tju.com.   IN    A    41.218.213.197
aflgomxr.arch.tju.com.   IN    A    164.183.46.26
cbaynrsk.arch.tju.com.   IN    A    16.195.131.209
emfokpcw.arch.tju.com.   IN    A    80.254.117.101
gfdwvnbk.arch.tju.com.   IN    A    184.104.170.38
vuwimers.arch.tju.com.   IN    A    215.129.37.248
lbocmxtn.arch.tju.com.   IN    A    24.83.147.253
whkogsrm.arch.tju.com.   IN    A    86.123.202.246
trxmkfqn.arch.tju.com.   IN    A    229.147.147.116
xutlmadh.arch.tju.com.   IN    A    201.1.105.138
hwxfysoe.arch.tju.com.   IN    A    108.107.229.70
yduinahp.arch.tju.com.   IN    A    0.131.172.157
dnjsbhkt.arch.tju.com.   IN    A    67.4.151.53
csnjrakd.arch.tju.com.   IN    A    81.199.27.233
svjmuixn.arch.tju.com.   IN    A    175.55.212.134
qtleybxo.arch.tju.com.   IN    A    151.236.37.39
vxomteuf.arch.tju.com.   IN    A    127.66.26.20
fcairknu.arch.tju.com.   IN    A    49.95.121.137
hbcmfoqs.arch.tju.com.   IN    A    22.179.2.170
xtinyswc.arch.tju.com.   IN    A    227.80.203.1
jqlnhsrw.arch.tju.com.   IN    A    143.128.70.121
ayhjuwxf.arch.tju.com.   IN    A    235.104.12.5
gcxfldpm.arch.tju.com.   IN    A    247.29.77.230
pwtdmogu.arch.tju.com.   IN    A    125.96.216.87
uhbdxojc.arch.tju.com.   IN    A    199.21.177.188
miotjxgu.arch.tju.com.   IN    A    18.58.49.235
hgvxbytd.arch.tju.com.   IN    A    104.30.139.82
mtkyafvb.arch.tju.com.   IN    A    73.90.94.114
gthywjpu.arch.tju.com.   IN    A    135.208.144.153
dejawvnf.arch.tju.com.   IN    A    121.232.124.219
lcjysurp.arch.tju.com.   IN    A    208.154.204.125
hluqxywa.arch.tju.com.   IN    A    193.111.176.147
ucaetqrb.arch.tju.com.   IN    A    74.221.96.125
ieyrtpao.arch.tju.com.   IN    A    151.155.209.62
aurvbckt.arch.tju.com.   IN    A    217.59.80.131
ynxocsqi.arch.tju.com.   IN    A    59.147.123.55
darghibs.arch.tju.com.   IN    A    235.173.63.6
lumtqnie.arch.tju.com.   IN    A    174.193.219.45
oybdlqwr.arch.tju.com.   IN    A    141.101.228.136
mwcndgsq.arch.tju.com.   IN    A    207.130.124.247
yokcsdxj.arch.tju.com.   IN    A    154.199.241.44
ixpmukgr.arch.tju.com.   IN    A    16.197.188.240
kcmfiajp.arch.tju.com.   IN    A    25.232.16.141
vpulsdyt.arch.tju.com.   IN    A    96.59.70.96
altgksfo.arch.tju.com.   IN    A    113.50.14.159
qrimuyle.arch.tju.com.   IN    A    147.10.70.54
admsnrhg.arch.tju.com.   IN    A    108.130.229.58
qojnmyul.arch.tju.com.   IN    A    194.204.172.28
qdgvcsbu.arch.tju.com.   IN    A    79.175.229.198
fmdgqprs.arch.tju.com.   IN    A    27.159.19.225
itbpygdw.arch.tju.com.   IN    A    62.12.19.220
qjuysexr.arch.tju.com.   IN    A    28.216.211.76
hdlaovxc.arch.tju.com.   IN    A    89.212.146.108
djsouagr.arch.tju.com.   IN    A    238.33.70.109
djabgqos.arch.tju.com.   IN    A    42.166.211.124
dexsopfy.arch.tju.com.   IN    A    32.111.243.128
svirwyjx.arch.tju.com.   IN    A    34.84.73.161
fdnsyghi.arch.tju.com.   IN    A    85.69.206.87
