hist.pku.com.	14400	IN	SOA	ns1.hist.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
hist.pku.com.		    IN	NS ns1.hist.pku.com.
glrbpjci.hist.pku.com.   IN    A    61.174.81.77
douefylr.hist.pku.com.   IN    A    247.164.120.247
etqjgswb.hist.pku.com.   IN    A    126.104.177.150
ihveqfuw.hist.pku.com.   IN    A    252.139.163.247
kjyixhav.hist.pku.com.   IN    A    193.4.186.153
lwvnjdsy.hist.pku.com.   IN    A    158.47.56.212
jugyibeo.hist.pku.com.   IN    A    160.46.180.215
fsxyeowr.hist.pku.com.   IN    A    244.33.85.223
lehfpbkw.hist.pku.com.   IN    A    146.196.27.118
ebxtqmkc.hist.pku.com.   IN    A    56.249.192.183
qjbpoelm.hist.pku.com.   IN    A    41.99.85.13
ahfygcbt.hist.pku.com.   IN    A    253.9.253.193
slvbkuce.hist.pku.com.   IN    A    247.182.60.213
gucxlerp.hist.pku.com.   IN    A    163.202.69.120
auncqvdi.hist.pku.com.   IN    A    61.171.41.178
qxusyegn.hist.pku.com.   IN    A    11.113.92.10
gqecsdfo.hist.pku.com.   IN    A    126.243.80.112
kcqgelpd.hist.pku.com.   IN    A    176.42.186.212
xnpvsite.hist.pku.com.   IN    A    76.190.170.125
lgdqxapo.hist.pku.com.   IN    A    223.155.21.167
ltkqmfns.hist.pku.com.   IN    A    111.33.8.101
yiguqeck.hist.pku.com.   IN    A    9.111.108.75
yhxjmtuq.hist.pku.com.   IN    A    153.160.181.228
htclxadn.hist.pku.com.   IN    A    176.250.77.248
vhorwtps.hist.pku.com.   IN    A    34.135.218.60
uxltqway.hist.pku.com.   IN    A    116.57.148.167
auksinoj.hist.pku.com.   IN    A    161.89.247.71
tspqbarc.hist.pku.com.   IN    A    20.94.68.145
jextrfsw.hist.pku.com.   IN    A    115.192.7.129
iowdsrng.hist.pku.com.   IN    A    222.200.60.227
ktudpayb.hist.pku.com.   IN    A    222.176.33.199
cvjmgsfa.hist.pku.com.   IN    A    223.15.193.241
madkixbh.hist.pku.com.   IN    A    143.175.231.27
wfkyxgbn.hist.pku.com.   IN    A    188.233.125.141
yvnferqj.hist.pku.com.   IN    A    109.52.230.117
yjobnfqp.hist.pku.com.   IN    A    63.191.56.121
iewoyrfu.hist.pku.com.   IN    A    191.105.45.197
nxfjbvdm.hist.pku.com.   IN    A    92.10.240.233
ldbhipeo.hist.pku.com.   IN    A    216.25.18.167
kqdaybvc.hist.pku.com.   IN    A    72.0.58.252
pfluwqeo.hist.pku.com.   IN    A    97.2.203.80
drwveqim.hist.pku.com.   IN    A    137.244.153.55
ypmqjufh.hist.pku.com.   IN    A    109.39.114.154
qfbuljdi.hist.pku.com.   IN    A    203.250.248.93
yagnewub.hist.pku.com.   IN    A    112.25.96.168
hrcabixo.hist.pku.com.   IN    A    29.42.110.158
semcgujb.hist.pku.com.   IN    A    179.80.26.77
kcgvquys.hist.pku.com.   IN    A    244.180.0.211
leuwabny.hist.pku.com.   IN    A    43.144.234.138
pwgysfxc.hist.pku.com.   IN    A    214.134.65.195
cimgsnvh.hist.pku.com.   IN    A    176.53.139.108
iejcguok.hist.pku.com.   IN    A    49.41.189.192
kmvtybdu.hist.pku.com.   IN    A    171.37.20.80
senrhwmg.hist.pku.com.   IN    A    36.130.195.164
vsegljyp.hist.pku.com.   IN    A    232.144.214.110
bopnaxyg.hist.pku.com.   IN    A    74.253.51.213
ptvrqyed.hist.pku.com.   IN    A    119.56.193.32
iqlergpo.hist.pku.com.   IN    A    16.178.151.203
gibxtmhd.hist.pku.com.   IN    A    65.190.220.181
dtxalmfy.hist.pku.com.   IN    A    141.25.245.250
kgnryedp.hist.pku.com.   IN    A    15.238.182.115
ulrvkiof.hist.pku.com.   IN    A    147.65.10.29
mrcbhfve.hist.pku.com.   IN    A    92.159.230.9
dlhbgxqp.hist.pku.com.   IN    A    185.26.64.47
yloadibj.hist.pku.com.   IN    A    114.99.192.9
lvfmcwon.hist.pku.com.   IN    A    4.128.120.194
ciwgapel.hist.pku.com.   IN    A    22.87.1.141
ojqhkbcp.hist.pku.com.   IN    A    237.82.99.124
umsqeicf.hist.pku.com.   IN    A    59.19.13.5
tdfqjxhi.hist.pku.com.   IN    A    42.170.190.142
xpwlsfte.hist.pku.com.   IN    A    224.59.190.129
idxputgv.hist.pku.com.   IN    A    132.203.150.211
ujdvnwrl.hist.pku.com.   IN    A    121.28.249.156
joxckynp.hist.pku.com.   IN    A    102.166.182.21
gqvdkmya.hist.pku.com.   IN    A    96.76.219.83
qygdbwli.hist.pku.com.   IN    A    113.49.132.67
ybaowjgt.hist.pku.com.   IN    A    226.39.84.168
xilgdntw.hist.pku.com.   IN    A    170.161.125.231
qewtyasd.hist.pku.com.   IN    A    227.153.234.155
reowjfkd.hist.pku.com.   IN    A    8.78.97.139
uibmvwlt.hist.pku.com.   IN    A    139.110.230.133
ufoqlymb.hist.pku.com.   IN    A    141.159.53.178
tbfdckir.hist.pku.com.   IN    A    48.114.237.210
uhyjgpmt.hist.pku.com.   IN    A    173.240.112.192
uqapwscr.hist.pku.com.   IN    A    113.184.135.90
ptgshdkm.hist.pku.com.   IN    A    251.168.204.56
rsiolxvj.hist.pku.com.   IN    A    90.110.201.80
hktrxlvd.hist.pku.com.   IN    A    56.126.82.255
svktqjmy.hist.pku.com.   IN    A    94.117.95.123
ikfnejos.hist.pku.com.   IN    A    214.97.25.163
rpynhqxs.hist.pku.com.   IN    A    241.25.10.237
butvynjm.hist.pku.com.   IN    A    177.25.27.48
ohwlqfdj.hist.pku.com.   IN    A    1.78.173.67
yknhsjtv.hist.pku.com.   IN    A    72.118.181.124
lobpgnvy.hist.pku.com.   IN    A    92.13.39.144
nmijtgae.hist.pku.com.   IN    A    47.156.164.95
poqjkuri.hist.pku.com.   IN    A    244.37.130.5
wtaxpsij.hist.pku.com.   IN    A    16.82.139.200
hfgayqrm.hist.pku.com.   IN    A    41.204.252.108
sdqbgtkr.hist.pku.com.   IN    A    246.96.63.96
ioxrcljv.hist.pku.com.   IN    A    150.55.19.163
oxbfcswd.hist.pku.com.   IN    A    36.195.17.4
ancydkgf.hist.pku.com.   IN    A    167.236.20.28
prufsbqh.hist.pku.com.   IN    A    98.30.12.3
wcmdjirk.hist.pku.com.   IN    A    225.105.162.153
pjxeisnm.hist.pku.com.   IN    A    242.227.216.3
enckwlgf.hist.pku.com.   IN    A    85.33.177.164
iylkftev.hist.pku.com.   IN    A    131.53.31.226
ysdkfxga.hist.pku.com.   IN    A    28.200.213.233
nvgtwefm.hist.pku.com.   IN    A    172.156.90.221
nwcgvalx.hist.pku.com.   IN    A    161.175.56.34
tcgfpmql.hist.pku.com.   IN    A    129.67.216.101
hoaqmkxv.hist.pku.com.   IN    A    34.212.19.132
tlujigpo.hist.pku.com.   IN    A    183.153.197.86
dhsajwki.hist.pku.com.   IN    A    156.214.183.159
qohsurde.hist.pku.com.   IN    A    135.136.143.12
tokqypjv.hist.pku.com.   IN    A    220.216.35.202
bxavyght.hist.pku.com.   IN    A    159.137.175.33
gmjcskxh.hist.pku.com.   IN    A    180.201.233.166
ivylxprs.hist.pku.com.   IN    A    67.52.123.179
snkdtpvh.hist.pku.com.   IN    A    98.158.205.12
evjfuakn.hist.pku.com.   IN    A    117.12.247.205
qwygfckt.hist.pku.com.   IN    A    0.76.91.132
nqmvstfc.hist.pku.com.   IN    A    172.255.97.45
omjfigaw.hist.pku.com.   IN    A    71.77.209.52
ceiyflrt.hist.pku.com.   IN    A    184.219.74.27
xvamyfjk.hist.pku.com.   IN    A    179.6.130.100
jvkbgmtp.hist.pku.com.   IN    A    186.210.216.39
vpamgjkf.hist.pku.com.   IN    A    204.184.179.113
yupcdrkw.hist.pku.com.   IN    A    206.20.191.0
wvuhtbio.hist.pku.com.   IN    A    184.211.73.125
agwbkvqj.hist.pku.com.   IN    A    134.9.224.220
sbagtynm.hist.pku.com.   IN    A    49.93.165.42
dcepsjab.hist.pku.com.   IN    A    11.131.247.177
ietopmdg.hist.pku.com.   IN    A    177.183.92.204
eumrcglq.hist.pku.com.   IN    A    80.4.94.147
ydkulgnj.hist.pku.com.   IN    A    175.49.95.23
fjpgotxd.hist.pku.com.   IN    A    83.166.71.37
qyhcxvwg.hist.pku.com.   IN    A    33.130.140.174
tboqgsmi.hist.pku.com.   IN    A    170.87.101.222
kywaigdt.hist.pku.com.   IN    A    67.164.112.224
dakcqjnb.hist.pku.com.   IN    A    31.43.169.32
bjoncxsp.hist.pku.com.   IN    A    125.110.66.255
viqjgols.hist.pku.com.   IN    A    137.227.212.43
thulvenc.hist.pku.com.   IN    A    183.246.240.184
iwlqkyeu.hist.pku.com.   IN    A    97.57.148.80
ewbglduv.hist.pku.com.   IN    A    3.32.185.107
jqvglxit.hist.pku.com.   IN    A    123.64.115.173
xhswmpek.hist.pku.com.   IN    A    191.113.19.181
jmrbhigd.hist.pku.com.   IN    A    124.248.206.169
lmqsghye.hist.pku.com.   IN    A    206.37.96.43
raxouqih.hist.pku.com.   IN    A    222.184.80.254
vwqepcti.hist.pku.com.   IN    A    232.66.90.237
jbhwpeay.hist.pku.com.   IN    A    127.11.92.9
cqfmjyuk.hist.pku.com.   IN    A    30.39.221.103
klsvhonx.hist.pku.com.   IN    A    20.95.146.181
ehmvqkuw.hist.pku.com.   IN    A    224.85.229.43
ftsaeyiw.hist.pku.com.   IN    A    158.35.107.137
vwoikrlq.hist.pku.com.   IN    A    169.42.120.143
qotyvxdb.hist.pku.com.   IN    A    61.180.148.15
yugcskfv.hist.pku.com.   IN    A    10.101.36.106
jesgrcht.hist.pku.com.   IN    A    25.47.227.173
fwviaokr.hist.pku.com.   IN    A    218.121.150.154
sgavhlon.hist.pku.com.   IN    A    14.118.0.124
ofkxpbnv.hist.pku.com.   IN    A    145.120.51.242
alysctvp.hist.pku.com.   IN    A    127.214.209.79
eatyjlwg.hist.pku.com.   IN    A    246.242.216.236
vsebrydp.hist.pku.com.   IN    A    31.233.228.158
ojfawter.hist.pku.com.   IN    A    173.253.91.254
tnwkhpds.hist.pku.com.   IN    A    242.149.115.95
rvyxnswp.hist.pku.com.   IN    A    111.91.168.198
cnmglver.hist.pku.com.   IN    A    176.207.24.166
tlubjfoc.hist.pku.com.   IN    A    34.145.27.137
rysoapqj.hist.pku.com.   IN    A    230.207.40.198
ogkhrnty.hist.pku.com.   IN    A    6.116.246.194
xghakvut.hist.pku.com.   IN    A    231.195.106.45
jsgthpoi.hist.pku.com.   IN    A    14.45.90.115
vmjgekxb.hist.pku.com.   IN    A    136.34.238.57
dyolwmhg.hist.pku.com.   IN    A    4.209.212.200
sdjxtgpm.hist.pku.com.   IN    A    77.249.158.213
eoawfqcd.hist.pku.com.   IN    A    240.241.180.31
dinlhryv.hist.pku.com.   IN    A    215.150.51.86
qskyrgwo.hist.pku.com.   IN    A    24.235.190.208
rgvpkalo.hist.pku.com.   IN    A    74.140.206.167
rljwhyps.hist.pku.com.   IN    A    242.156.211.177
tgianlsh.hist.pku.com.   IN    A    136.22.42.136
xpberlmh.hist.pku.com.   IN    A    143.126.93.106
shxcduta.hist.pku.com.   IN    A    194.38.204.173
cdnyfoba.hist.pku.com.   IN    A    254.215.213.153
sbgkqiuy.hist.pku.com.   IN    A    26.130.138.151
njveackg.hist.pku.com.   IN    A    251.183.194.152
ytxsnwau.hist.pku.com.   IN    A    217.180.253.100
xqnskfgv.hist.pku.com.   IN    A    24.158.68.233
yonbswgk.hist.pku.com.   IN    A    154.118.82.250
pkrnefxc.hist.pku.com.   IN    A    83.76.115.173
uxdfigja.hist.pku.com.   IN    A    6.45.200.7
pmrgjdtn.hist.pku.com.   IN    A    42.226.169.4
ltcyurfk.hist.pku.com.   IN    A    55.67.121.38
bqcpehjx.hist.pku.com.   IN    A    216.50.57.161
nrfpvmih.hist.pku.com.   IN    A    220.87.136.12
kguvptfl.hist.pku.com.   IN    A    197.138.217.227
qlvkpeyx.hist.pku.com.   IN    A    74.223.245.210
bqehastx.hist.pku.com.   IN    A    65.129.235.136
xrihwbdq.hist.pku.com.   IN    A    29.193.123.150
ikofgtvr.hist.pku.com.   IN    A    232.174.205.224
pdneamkj.hist.pku.com.   IN    A    210.160.61.213
exumqfta.hist.pku.com.   IN    A    41.101.209.221
eqnrtpbj.hist.pku.com.   IN    A    61.73.156.158
ewfgyojl.hist.pku.com.   IN    A    105.96.95.180
lygrjcha.hist.pku.com.   IN    A    8.28.122.88
vubxymlg.hist.pku.com.   IN    A    212.199.46.145
srmjxnqa.hist.pku.com.   IN    A    121.94.153.144
hlmiwypv.hist.pku.com.   IN    A    76.150.255.187
nyqvrbxh.hist.pku.com.   IN    A    196.191.110.131
mkgydqix.hist.pku.com.   IN    A    48.198.197.26
mcgpqniu.hist.pku.com.   IN    A    194.137.238.26
tojlmckr.hist.pku.com.   IN    A    252.211.72.63
eisqbadw.hist.pku.com.   IN    A    108.209.91.126
ieqsgvyp.hist.pku.com.   IN    A    144.130.4.96
wbqxfpnj.hist.pku.com.   IN    A    117.192.142.234
hovdsikr.hist.pku.com.   IN    A    255.246.113.255
nexpirku.hist.pku.com.   IN    A    93.153.183.79
ufxaiovj.hist.pku.com.   IN    A    53.55.61.79
ixhrbwld.hist.pku.com.   IN    A    227.139.61.36
lkdymsrj.hist.pku.com.   IN    A    128.249.45.14
bmogqdcn.hist.pku.com.   IN    A    97.233.232.39
fjhewuqn.hist.pku.com.   IN    A    117.157.114.209
syvjodci.hist.pku.com.   IN    A    225.200.111.107
fanhijmp.hist.pku.com.   IN    A    233.80.203.185
jyhdimlw.hist.pku.com.   IN    A    0.90.135.159
biueyadx.hist.pku.com.   IN    A    138.76.183.52
ogfulthp.hist.pku.com.   IN    A    245.227.136.74
ukrtqviw.hist.pku.com.   IN    A    37.72.76.253
mligjkhy.hist.pku.com.   IN    A    126.253.162.253
pgswdkcr.hist.pku.com.   IN    A    71.91.29.24
ekmuascx.hist.pku.com.   IN    A    228.90.237.84
enyslcfj.hist.pku.com.   IN    A    41.146.68.225
saplmwrj.hist.pku.com.   IN    A    56.6.11.155
rvbcqtml.hist.pku.com.   IN    A    238.98.246.136
tqiprogj.hist.pku.com.   IN    A    162.2.181.94
uyibrgna.hist.pku.com.   IN    A    158.25.120.32
tfjsrxuw.hist.pku.com.   IN    A    183.85.126.232
xsfymldo.hist.pku.com.   IN    A    162.56.233.82
xwieqmhr.hist.pku.com.   IN    A    144.15.129.1
rlbnfyiw.hist.pku.com.   IN    A    18.218.67.32
qshbjaup.hist.pku.com.   IN    A    237.50.87.160
xmpkrvjy.hist.pku.com.   IN    A    75.211.9.247
vpchmaui.hist.pku.com.   IN    A    118.232.35.29
vcusyngw.hist.pku.com.   IN    A    146.26.222.12
egtskmjv.hist.pku.com.   IN    A    120.181.45.5
fnuhtpvo.hist.pku.com.   IN    A    224.180.102.190
xorksciv.hist.pku.com.   IN    A    153.55.30.51
hvnxgrya.hist.pku.com.   IN    A    68.52.175.128
mhvaqiug.hist.pku.com.   IN    A    118.72.16.190
qgljkasc.hist.pku.com.   IN    A    26.85.239.234
oydixvpu.hist.pku.com.   IN    A    145.17.131.195
lqdrxeav.hist.pku.com.   IN    A    20.182.133.143
fpmdxysu.hist.pku.com.   IN    A    114.244.157.231
asmjxwtk.hist.pku.com.   IN    A    52.78.140.212
nohcbtdp.hist.pku.com.   IN    A    7.48.92.189
khadsnwm.hist.pku.com.   IN    A    174.217.159.220
htfdugyn.hist.pku.com.   IN    A    213.37.213.40
dmjbgutn.hist.pku.com.   IN    A    18.156.21.93
iapykujx.hist.pku.com.   IN    A    39.236.87.54
acqyhbux.hist.pku.com.   IN    A    95.11.3.11
rsgnhkuy.hist.pku.com.   IN    A    10.29.56.174
mvgfudyt.hist.pku.com.   IN    A    78.170.68.157
ktogldfn.hist.pku.com.   IN    A    153.80.27.154
bheaxrpm.hist.pku.com.   IN    A    118.217.75.119
pnfhacji.hist.pku.com.   IN    A    103.33.25.50
ketxldiy.hist.pku.com.   IN    A    246.248.24.225
txwmojbu.hist.pku.com.   IN    A    26.20.191.126
ixlbwqym.hist.pku.com.   IN    A    196.1.140.229
dwbuijxh.hist.pku.com.   IN    A    162.4.164.145
atschrlx.hist.pku.com.   IN    A    54.139.77.48
pxajtgwh.hist.pku.com.   IN    A    27.123.96.74
wmojakle.hist.pku.com.   IN    A    221.222.207.217
mknrfsco.hist.pku.com.   IN    A    69.94.167.178
ncyhksqd.hist.pku.com.   IN    A    58.61.241.131
horsnelk.hist.pku.com.   IN    A    218.83.146.56
ljenomap.hist.pku.com.   IN    A    253.244.66.91
igwfhblk.hist.pku.com.   IN    A    193.142.136.143
xjmvsgwb.hist.pku.com.   IN    A    21.52.179.237
cirhafks.hist.pku.com.   IN    A    64.182.240.172
rtkyvjxi.hist.pku.com.   IN    A    196.217.58.136
smurevyj.hist.pku.com.   IN    A    83.46.164.254
etlrckqp.hist.pku.com.   IN    A    23.231.216.107
qjnfubwv.hist.pku.com.   IN    A    100.41.30.168
jkqiyomg.hist.pku.com.   IN    A    146.146.124.41
wplxfbov.hist.pku.com.   IN    A    208.119.238.188
togvsqwh.hist.pku.com.   IN    A    15.137.120.234
shpnkadv.hist.pku.com.   IN    A    152.173.105.122
upxertok.hist.pku.com.   IN    A    50.12.86.70
lygceovt.hist.pku.com.   IN    A    190.186.25.248
hrligyek.hist.pku.com.   IN    A    154.255.190.155
woyflhde.hist.pku.com.   IN    A    30.10.188.150
ifvxahyu.hist.pku.com.   IN    A    54.250.181.186
spayriwm.hist.pku.com.   IN    A    32.203.224.203
peockfds.hist.pku.com.   IN    A    72.28.25.188
xyjfeagl.hist.pku.com.   IN    A    130.160.229.126
xnybgued.hist.pku.com.   IN    A    234.64.110.131
xuybondc.hist.pku.com.   IN    A    172.97.115.135
dhcwjyol.hist.pku.com.   IN    A    110.13.236.173
cajrifhx.hist.pku.com.   IN    A    26.198.94.17
abcknjym.hist.pku.com.   IN    A    100.225.120.246
mruqcdfg.hist.pku.com.   IN    A    212.27.223.160
kvndairf.hist.pku.com.   IN    A    35.63.237.57
cvnekjph.hist.pku.com.   IN    A    49.201.101.180
vcwyeufi.hist.pku.com.   IN    A    87.206.217.1
fjsurpyq.hist.pku.com.   IN    A    235.218.244.55
gdowafnj.hist.pku.com.   IN    A    144.241.245.28
hfywntmr.hist.pku.com.   IN    A    202.212.197.245
iklruwob.hist.pku.com.   IN    A    15.29.6.15
yboqnvug.hist.pku.com.   IN    A    203.59.132.231
tlreujdy.hist.pku.com.   IN    A    237.62.235.2
jrdufqyn.hist.pku.com.   IN    A    86.26.80.46
cjwtegax.hist.pku.com.   IN    A    143.64.227.31
altxhmfb.hist.pku.com.   IN    A    139.128.3.176
rmuasnyo.hist.pku.com.   IN    A    183.117.147.34
gdvpntkf.hist.pku.com.   IN    A    125.56.233.86
kedgormc.hist.pku.com.   IN    A    16.31.196.68
flunybqk.hist.pku.com.   IN    A    87.237.148.143
knmquyvl.hist.pku.com.   IN    A    30.118.16.26
xbflruyt.hist.pku.com.   IN    A    148.229.114.52
kwearfdn.hist.pku.com.   IN    A    30.104.131.130
uhajsqev.hist.pku.com.   IN    A    102.224.133.8
ihowlabf.hist.pku.com.   IN    A    248.147.81.179
ksbymcda.hist.pku.com.   IN    A    73.103.171.69
welxhgsj.hist.pku.com.   IN    A    158.160.141.141
newhtqjl.hist.pku.com.   IN    A    188.109.48.17
ltewycgb.hist.pku.com.   IN    A    21.67.161.4
smydfauw.hist.pku.com.   IN    A    110.109.131.247
hjqykglp.hist.pku.com.   IN    A    248.53.250.170
igpftvmq.hist.pku.com.   IN    A    152.73.191.11
funhctdl.hist.pku.com.   IN    A    230.44.50.99
txcjlnvh.hist.pku.com.   IN    A    184.177.222.93
mnvhkadf.hist.pku.com.   IN    A    151.79.50.151
maidsbwr.hist.pku.com.   IN    A    125.34.112.176
cjfikbsv.hist.pku.com.   IN    A    43.253.179.35
vpkoqcyi.hist.pku.com.   IN    A    224.92.222.93
npcwghfa.hist.pku.com.   IN    A    86.252.206.109
gvocekix.hist.pku.com.   IN    A    58.142.111.8
iveaqwpr.hist.pku.com.   IN    A    50.245.204.91
bdevqxcg.hist.pku.com.   IN    A    251.204.171.115
bejuoyxf.hist.pku.com.   IN    A    96.40.97.40
cajsnmuq.hist.pku.com.   IN    A    200.172.54.107
xcbeqtuf.hist.pku.com.   IN    A    57.56.49.2
ofxiqyhs.hist.pku.com.   IN    A    213.119.103.169
pbngcmua.hist.pku.com.   IN    A    92.216.35.197
gxmkqroy.hist.pku.com.   IN    A    166.131.137.141
lnibwuxs.hist.pku.com.   IN    A    251.10.129.20
sevopxac.hist.pku.com.   IN    A    43.241.69.188
bltudnjo.hist.pku.com.   IN    A    104.100.104.189
gyswvxcl.hist.pku.com.   IN    A    66.145.95.197
ociuxqbd.hist.pku.com.   IN    A    115.156.88.142
npusxyfi.hist.pku.com.   IN    A    56.92.11.23
qcbmifog.hist.pku.com.   IN    A    230.157.223.9
bygslipn.hist.pku.com.   IN    A    33.57.216.231
lregfoiw.hist.pku.com.   IN    A    133.234.147.46
hmxcdsrt.hist.pku.com.   IN    A    64.254.33.64
tdaesqhu.hist.pku.com.   IN    A    155.228.173.202
xdnkcwfb.hist.pku.com.   IN    A    158.30.15.39
sjoilpvq.hist.pku.com.   IN    A    207.148.124.118
ewkpgofr.hist.pku.com.   IN    A    135.137.119.67
wakgvmdb.hist.pku.com.   IN    A    248.77.41.220
ntbdwejp.hist.pku.com.   IN    A    84.31.220.207
vjdhyftu.hist.pku.com.   IN    A    173.212.200.243
lsuingca.hist.pku.com.   IN    A    88.100.38.129
rvlpoihc.hist.pku.com.   IN    A    106.241.115.101
mvdcsqwj.hist.pku.com.   IN    A    173.10.135.118
wyxeajdm.hist.pku.com.   IN    A    2.189.218.118
eryfgmbi.hist.pku.com.   IN    A    111.0.176.230
xljndorm.hist.pku.com.   IN    A    113.18.149.226
svjgueqh.hist.pku.com.   IN    A    1.251.55.203
kqbndtjy.hist.pku.com.   IN    A    220.151.238.101
unrylwmc.hist.pku.com.   IN    A    171.201.102.0
clkyeoqj.hist.pku.com.   IN    A    12.122.58.238
igxljday.hist.pku.com.   IN    A    61.175.232.203
yjondbsw.hist.pku.com.   IN    A    175.101.69.94
baksijuh.hist.pku.com.   IN    A    170.125.200.212
qavkgotf.hist.pku.com.   IN    A    78.201.18.193
roeugnpa.hist.pku.com.   IN    A    71.62.110.7
acokqryh.hist.pku.com.   IN    A    207.199.181.85
hpavmtyr.hist.pku.com.   IN    A    146.35.9.111
chnjxufg.hist.pku.com.   IN    A    224.104.26.209
jcaumqli.hist.pku.com.   IN    A    27.228.165.214
vaquiows.hist.pku.com.   IN    A    251.41.249.224
jwikdmqh.hist.pku.com.   IN    A    243.181.115.6
pjncrbuv.hist.pku.com.   IN    A    230.51.98.105
solfyncq.hist.pku.com.   IN    A    143.110.30.77
crideopx.hist.pku.com.   IN    A    22.95.169.185
ijpbqrkh.hist.pku.com.   IN    A    19.178.23.54
ovyfbspa.hist.pku.com.   IN    A    15.51.18.125
hecuigfd.hist.pku.com.   IN    A    227.129.10.96
dnaqeukt.hist.pku.com.   IN    A    67.80.79.29
nlguocbv.hist.pku.com.   IN    A    167.207.245.117
mbnljxtk.hist.pku.com.   IN    A    102.23.227.83
bxfparhu.hist.pku.com.   IN    A    27.203.112.228
tdarxquo.hist.pku.com.   IN    A    78.171.154.114
qjnmaptd.hist.pku.com.   IN    A    219.72.168.6
uioqjews.hist.pku.com.   IN    A    21.97.112.206
vkwrpmhf.hist.pku.com.   IN    A    73.87.224.38
ydrqknoc.hist.pku.com.   IN    A    77.142.74.51
lchoqvxy.hist.pku.com.   IN    A    137.83.121.157
rmiqfudv.hist.pku.com.   IN    A    126.95.72.77
qbnskmpg.hist.pku.com.   IN    A    167.54.120.165
fxaurtjy.hist.pku.com.   IN    A    232.196.11.28
tngjmfur.hist.pku.com.   IN    A    148.226.46.104
sdiyapqt.hist.pku.com.   IN    A    224.43.123.169
lapigjbx.hist.pku.com.   IN    A    124.190.72.64
vkenptfi.hist.pku.com.   IN    A    36.222.8.183
vsbrpmxy.hist.pku.com.   IN    A    99.221.146.37
yfwicrnx.hist.pku.com.   IN    A    127.28.80.251
irkvawht.hist.pku.com.   IN    A    131.24.246.118
cqoxrufi.hist.pku.com.   IN    A    190.141.108.233
kjsuicyd.hist.pku.com.   IN    A    148.74.248.214
loampcwx.hist.pku.com.   IN    A    190.230.31.177
wnaigpvj.hist.pku.com.   IN    A    103.102.246.141
qhnekoru.hist.pku.com.   IN    A    179.45.45.36
lrkxdjqs.hist.pku.com.   IN    A    146.205.227.21
jkochtvx.hist.pku.com.   IN    A    235.116.39.91
bgrpkayv.hist.pku.com.   IN    A    95.206.226.103
fxqlmkhj.hist.pku.com.   IN    A    18.195.79.52
fkyhwoqx.hist.pku.com.   IN    A    83.222.233.76
gptckevh.hist.pku.com.   IN    A    25.4.57.19
fvgidaol.hist.pku.com.   IN    A    97.0.97.148
tuyxqlfg.hist.pku.com.   IN    A    128.250.29.2
qubvohjm.hist.pku.com.   IN    A    116.86.43.75
iulehfcs.hist.pku.com.   IN    A    210.181.46.203
xhaylpew.hist.pku.com.   IN    A    205.241.10.162
qromiknv.hist.pku.com.   IN    A    63.104.35.76
lyikqrej.hist.pku.com.   IN    A    173.17.135.203
istcqyah.hist.pku.com.   IN    A    159.67.25.132
uglxwsej.hist.pku.com.   IN    A    233.96.32.193
hlrmuxbe.hist.pku.com.   IN    A    126.123.154.38
ifjgcmhu.hist.pku.com.   IN    A    118.229.111.142
lrocsfhe.hist.pku.com.   IN    A    155.168.103.62
avyjnkgt.hist.pku.com.   IN    A    242.239.125.1
fipbuncm.hist.pku.com.   IN    A    30.138.141.115
crgqjmkd.hist.pku.com.   IN    A    189.210.20.48
gxvcwelt.hist.pku.com.   IN    A    80.8.171.10
qieaynro.hist.pku.com.   IN    A    161.128.205.93
nhjguycx.hist.pku.com.   IN    A    79.69.129.34
jkcgoybf.hist.pku.com.   IN    A    82.71.237.86
eygdpnxr.hist.pku.com.   IN    A    211.152.101.253
janpgiek.hist.pku.com.   IN    A    96.206.175.106
xysmhilw.hist.pku.com.   IN    A    162.81.120.89
ewmpsgid.hist.pku.com.   IN    A    238.197.103.197
joeptvmy.hist.pku.com.   IN    A    235.226.185.109
berpwojv.hist.pku.com.   IN    A    130.113.163.218
bekfrnwt.hist.pku.com.   IN    A    173.211.112.98
vqluobfc.hist.pku.com.   IN    A    125.89.29.108
dfejhxak.hist.pku.com.   IN    A    71.110.198.175
lysvaxrq.hist.pku.com.   IN    A    205.116.44.179
iyrqxthw.hist.pku.com.   IN    A    171.53.101.151
ijvflonp.hist.pku.com.   IN    A    248.97.208.198
ygehtvms.hist.pku.com.   IN    A    187.204.179.15
bqxktynj.hist.pku.com.   IN    A    124.101.162.164
iwpmyahv.hist.pku.com.   IN    A    49.193.189.23
kbwlhsac.hist.pku.com.   IN    A    44.138.149.138
aijwxcny.hist.pku.com.   IN    A    128.213.139.79
balmqdik.hist.pku.com.   IN    A    112.115.150.23
ixrqmbop.hist.pku.com.   IN    A    249.20.194.30
oxdbrmjw.hist.pku.com.   IN    A    211.107.248.23
dorgwqxp.hist.pku.com.   IN    A    122.13.39.50
pmvfgsan.hist.pku.com.   IN    A    11.25.185.244
coxlpwqs.hist.pku.com.   IN    A    145.217.113.113
kygpiumn.hist.pku.com.   IN    A    201.174.213.102
xuqnofvy.hist.pku.com.   IN    A    191.2.81.49
ybmcvgjw.hist.pku.com.   IN    A    80.102.16.158
ycqbtupl.hist.pku.com.   IN    A    40.250.155.209
ywlhgeft.hist.pku.com.   IN    A    67.178.134.186
