ai.shu.com.	14400	IN	SOA	ns1.ai.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
ai.shu.com.		    IN	NS ns1.ai.shu.com.
atycuvge.ai.shu.com.     IN    A    35.255.44.102
otqyldge.ai.shu.com.     IN    A    99.217.25.136
aesmylfg.ai.shu.com.     IN    A    31.119.206.115
fwpkriqy.ai.shu.com.     IN    A    237.1.190.35
utgxiacn.ai.shu.com.     IN    A    35.183.219.111
gwxopajq.ai.shu.com.     IN    A    50.45.185.121
mnbjhpta.ai.shu.com.     IN    A    217.46.223.228
bkimvwrg.ai.shu.com.     IN    A    100.146.132.223
stflcixh.ai.shu.com.     IN    A    73.117.190.181
xdayftgu.ai.shu.com.     IN    A    124.18.55.98
jtcxhiqo.ai.shu.com.     IN    A    64.153.80.5
iomkftde.ai.shu.com.     IN    A    248.145.220.127
ygcsitxf.ai.shu.com.     IN    A    82.238.217.108
wmyrkelv.ai.shu.com.     IN    A    133.157.93.82
yckwrosd.ai.shu.com.     IN    A    188.176.183.35
uksrcpan.ai.shu.com.     IN    A    226.194.246.195
snbkowra.ai.shu.com.     IN    A    221.132.164.147
loeabgpn.ai.shu.com.     IN    A    111.168.167.181
gqdhmtea.ai.shu.com.     IN    A    118.153.2.14
edgqxpat.ai.shu.com.     IN    A    29.19.16.126
gfmbpnos.ai.shu.com.     IN    A    225.251.20.254
drglykos.ai.shu.com.     IN    A    255.92.27.129
irakgcsb.ai.shu.com.     IN    A    58.93.244.131
dftlgsnb.ai.shu.com.     IN    A    78.149.140.8
mwanvbxj.ai.shu.com.     IN    A    64.158.148.33
mrhibndv.ai.shu.com.     IN    A    45.223.218.2
jwdsongy.ai.shu.com.     IN    A    109.141.79.211
gojwshvb.ai.shu.com.     IN    A    209.170.92.29
ixawyfpv.ai.shu.com.     IN    A    44.53.165.88
cmxbauyp.ai.shu.com.     IN    A    210.211.119.61
fchwruot.ai.shu.com.     IN    A    87.178.241.184
bkvqryop.ai.shu.com.     IN    A    118.254.146.56
djrcneli.ai.shu.com.     IN    A    161.53.33.107
towinxvu.ai.shu.com.     IN    A    147.5.82.75
drhyniow.ai.shu.com.     IN    A    220.2.162.66
ityqjnbr.ai.shu.com.     IN    A    3.113.167.203
ewdsphix.ai.shu.com.     IN    A    25.120.187.128
egkrsvat.ai.shu.com.     IN    A    56.254.219.59
boqdvlpa.ai.shu.com.     IN    A    89.67.233.125
wyjovrxi.ai.shu.com.     IN    A    139.149.119.242
qoefuiyh.ai.shu.com.     IN    A    73.54.220.143
oajugnmx.ai.shu.com.     IN    A    100.255.28.222
fmqevpxy.ai.shu.com.     IN    A    45.26.212.30
frjlshkq.ai.shu.com.     IN    A    58.115.173.199
dyxglfsq.ai.shu.com.     IN    A    177.101.152.80
jfkvpxiy.ai.shu.com.     IN    A    111.190.232.208
xgalprte.ai.shu.com.     IN    A    53.200.173.42
otnlvkhx.ai.shu.com.     IN    A    28.139.71.45
vnjpeaky.ai.shu.com.     IN    A    73.17.70.112
dcjryves.ai.shu.com.     IN    A    192.204.30.78
wneixyur.ai.shu.com.     IN    A    168.117.182.36
ycjeugbs.ai.shu.com.     IN    A    51.65.113.14
frxqydtl.ai.shu.com.     IN    A    125.11.205.1
ehrqclvm.ai.shu.com.     IN    A    28.235.187.20
akrdqugp.ai.shu.com.     IN    A    252.147.223.57
lesowpcq.ai.shu.com.     IN    A    99.72.57.231
bdntwvxe.ai.shu.com.     IN    A    87.18.118.242
umnftlhe.ai.shu.com.     IN    A    207.200.53.122
tnehbdlf.ai.shu.com.     IN    A    78.244.28.71
gvbsipjx.ai.shu.com.     IN    A    233.150.186.188
wbxlhuks.ai.shu.com.     IN    A    1.205.234.203
fhsklebx.ai.shu.com.     IN    A    9.80.93.209
kgwvrjip.ai.shu.com.     IN    A    174.2.109.112
ukhondyj.ai.shu.com.     IN    A    29.171.186.21
sgjbuvct.ai.shu.com.     IN    A    139.97.199.243
visbpulf.ai.shu.com.     IN    A    165.49.100.207
wpfchvoj.ai.shu.com.     IN    A    189.7.255.52
opqvalsd.ai.shu.com.     IN    A    85.39.124.116
klogtfip.ai.shu.com.     IN    A    244.198.225.95
vyahteix.ai.shu.com.     IN    A    239.120.131.147
gnepsfto.ai.shu.com.     IN    A    67.239.124.231
abxfnmcu.ai.shu.com.     IN    A    132.82.78.225
xndyvuib.ai.shu.com.     IN    A    247.169.230.122
kauindbc.ai.shu.com.     IN    A    170.220.64.31
slqtjcie.ai.shu.com.     IN    A    242.3.237.145
ldtbeoxh.ai.shu.com.     IN    A    86.25.183.126
xkotawmq.ai.shu.com.     IN    A    161.38.124.128
rsofqlng.ai.shu.com.     IN    A    136.133.182.103
guidepft.ai.shu.com.     IN    A    116.80.66.38
xuqjblaf.ai.shu.com.     IN    A    105.104.146.152
caideojr.ai.shu.com.     IN    A    28.222.61.91
lvcraodx.ai.shu.com.     IN    A    139.224.33.164
bjvnhptw.ai.shu.com.     IN    A    51.235.93.253
huinlwfs.ai.shu.com.     IN    A    0.49.222.58
nadmwbyp.ai.shu.com.     IN    A    202.221.251.120
lyurvqsm.ai.shu.com.     IN    A    211.84.205.54
rxolfatn.ai.shu.com.     IN    A    67.64.191.50
mgajxfub.ai.shu.com.     IN    A    120.78.165.83
kbmfsthj.ai.shu.com.     IN    A    147.49.203.151
sxpynhkb.ai.shu.com.     IN    A    132.19.40.130
pxtgucrn.ai.shu.com.     IN    A    159.19.154.219
tdbjmevn.ai.shu.com.     IN    A    217.51.252.232
ljkrandm.ai.shu.com.     IN    A    183.124.215.233
glfjktpo.ai.shu.com.     IN    A    33.198.81.137
pityxfcb.ai.shu.com.     IN    A    84.31.172.61
gpkcejri.ai.shu.com.     IN    A    124.247.37.232
qabgkptl.ai.shu.com.     IN    A    216.217.89.104
cwqvlhno.ai.shu.com.     IN    A    233.152.177.230
ohflaxjv.ai.shu.com.     IN    A    84.213.95.58
iqgykrln.ai.shu.com.     IN    A    132.149.122.109
oatqjwux.ai.shu.com.     IN    A    112.129.178.124
fcenujlx.ai.shu.com.     IN    A    200.10.8.87
uxsyodjn.ai.shu.com.     IN    A    170.84.216.62
yojknhqx.ai.shu.com.     IN    A    0.38.64.112
uricfetm.ai.shu.com.     IN    A    11.95.23.46
eijulcda.ai.shu.com.     IN    A    116.95.165.46
ykavmjci.ai.shu.com.     IN    A    233.52.11.109
rgdqywmb.ai.shu.com.     IN    A    78.17.36.127
rapcjube.ai.shu.com.     IN    A    196.193.251.50
ahtqvkmo.ai.shu.com.     IN    A    223.164.44.26
rdxnawbf.ai.shu.com.     IN    A    199.84.88.157
mkhbjutl.ai.shu.com.     IN    A    182.176.96.55
fxbmjeya.ai.shu.com.     IN    A    77.191.251.234
nluefgbt.ai.shu.com.     IN    A    68.194.13.192
suxkjfrt.ai.shu.com.     IN    A    32.87.192.191
eufihjck.ai.shu.com.     IN    A    169.125.66.198
hvcropwu.ai.shu.com.     IN    A    182.239.222.8
jomuldet.ai.shu.com.     IN    A    210.211.53.0
qpgmadtx.ai.shu.com.     IN    A    250.109.117.208
fdcjuons.ai.shu.com.     IN    A    145.105.160.30
hedrnsla.ai.shu.com.     IN    A    193.33.71.81
sxrnmvjh.ai.shu.com.     IN    A    109.118.198.86
pfqtkmhu.ai.shu.com.     IN    A    228.74.119.199
wjyemqcx.ai.shu.com.     IN    A    127.132.30.44
gjpulctm.ai.shu.com.     IN    A    146.200.239.178
mcqygrin.ai.shu.com.     IN    A    153.57.83.34
vyqupofc.ai.shu.com.     IN    A    53.177.151.206
xjyhnqgk.ai.shu.com.     IN    A    144.217.161.52
qgjevwud.ai.shu.com.     IN    A    102.172.24.47
pfabghjl.ai.shu.com.     IN    A    19.60.104.111
noyfipcx.ai.shu.com.     IN    A    17.239.221.253
mlipvwub.ai.shu.com.     IN    A    95.90.254.170
jtdcrglv.ai.shu.com.     IN    A    168.65.46.44
sytdnrkv.ai.shu.com.     IN    A    111.254.33.205
jecaipkb.ai.shu.com.     IN    A    237.186.254.81
sfxibqcg.ai.shu.com.     IN    A    185.173.137.88
gomhfyld.ai.shu.com.     IN    A    160.195.131.110
jckedvfb.ai.shu.com.     IN    A    199.113.250.186
wltsbkeq.ai.shu.com.     IN    A    226.251.223.87
wastpnqc.ai.shu.com.     IN    A    138.37.49.122
djlvosxi.ai.shu.com.     IN    A    247.216.114.68
ncojavql.ai.shu.com.     IN    A    205.98.81.208
dqobiwmf.ai.shu.com.     IN    A    38.125.184.62
egaibsxj.ai.shu.com.     IN    A    141.149.91.238
sutmokvd.ai.shu.com.     IN    A    214.13.117.227
icurlsda.ai.shu.com.     IN    A    93.168.119.57
xgtciawr.ai.shu.com.     IN    A    218.210.237.108
jeptcial.ai.shu.com.     IN    A    211.57.13.219
pcnijsvh.ai.shu.com.     IN    A    155.113.90.237
grsfxjae.ai.shu.com.     IN    A    202.228.88.177
ojcwtgdy.ai.shu.com.     IN    A    228.183.147.167
ohecbxdf.ai.shu.com.     IN    A    66.130.119.166
eibsdugy.ai.shu.com.     IN    A    29.237.38.114
jykhxolw.ai.shu.com.     IN    A    1.126.26.218
obqvphkx.ai.shu.com.     IN    A    129.34.73.152
hxeqiaos.ai.shu.com.     IN    A    204.253.41.82
dntxcowi.ai.shu.com.     IN    A    135.188.221.27
qpagrutf.ai.shu.com.     IN    A    152.101.193.10
fhgndats.ai.shu.com.     IN    A    129.192.154.127
fndckque.ai.shu.com.     IN    A    216.189.142.207
pvbwomcs.ai.shu.com.     IN    A    111.239.154.1
algpwrjx.ai.shu.com.     IN    A    12.225.241.195
jwydbuvs.ai.shu.com.     IN    A    231.23.165.130
jrvnbhix.ai.shu.com.     IN    A    181.179.54.239
puasjvxo.ai.shu.com.     IN    A    12.223.152.235
lwqrtosm.ai.shu.com.     IN    A    21.77.255.135
dkouihfs.ai.shu.com.     IN    A    73.104.3.236
pratmsfb.ai.shu.com.     IN    A    169.16.17.166
xclsprqn.ai.shu.com.     IN    A    22.18.230.100
swjbrigy.ai.shu.com.     IN    A    7.95.161.231
qlhjimgw.ai.shu.com.     IN    A    153.36.231.21
jlkmaqfh.ai.shu.com.     IN    A    97.31.25.180
yowjlcnv.ai.shu.com.     IN    A    220.185.12.229
ieyhuafx.ai.shu.com.     IN    A    19.141.218.87
kscfojgn.ai.shu.com.     IN    A    89.41.9.228
gjifqlkx.ai.shu.com.     IN    A    193.70.52.25
jnbgeaix.ai.shu.com.     IN    A    242.113.28.72
evcwkrla.ai.shu.com.     IN    A    126.90.198.188
vukdjcyl.ai.shu.com.     IN    A    235.172.211.91
klqfhvux.ai.shu.com.     IN    A    123.116.135.140
qojlnxur.ai.shu.com.     IN    A    29.149.95.8
cfaybwmu.ai.shu.com.     IN    A    192.243.28.228
yncjfhuo.ai.shu.com.     IN    A    167.178.172.225
bsmuovnk.ai.shu.com.     IN    A    124.112.199.197
eawqliyk.ai.shu.com.     IN    A    135.102.234.143
kjldpuyq.ai.shu.com.     IN    A    122.58.175.178
pmedaivc.ai.shu.com.     IN    A    144.251.108.65
djuslpmc.ai.shu.com.     IN    A    138.251.107.67
jifvhxrg.ai.shu.com.     IN    A    149.79.14.110
mnceujow.ai.shu.com.     IN    A    180.163.230.61
sxfgmney.ai.shu.com.     IN    A    117.29.142.102
dykuwnbp.ai.shu.com.     IN    A    96.109.71.184
uatvqoen.ai.shu.com.     IN    A    6.192.75.122
apduteig.ai.shu.com.     IN    A    85.155.116.2
hileuwtp.ai.shu.com.     IN    A    225.208.237.205
kuqcviny.ai.shu.com.     IN    A    106.81.253.174
vwgdpsfn.ai.shu.com.     IN    A    164.113.144.169
bkhrgmtl.ai.shu.com.     IN    A    249.10.78.158
vucxkleb.ai.shu.com.     IN    A    248.91.131.233
buknqyvo.ai.shu.com.     IN    A    132.75.13.186
rdntuqaw.ai.shu.com.     IN    A    95.75.57.130
qjgdbyhc.ai.shu.com.     IN    A    229.12.13.254
pwtxnybk.ai.shu.com.     IN    A    149.229.253.248
gyfrhdcq.ai.shu.com.     IN    A    112.196.66.221
tbksrvnc.ai.shu.com.     IN    A    68.92.152.198
qdnluvpb.ai.shu.com.     IN    A    68.233.52.211
eabsywgf.ai.shu.com.     IN    A    171.59.39.42
kpegmfxb.ai.shu.com.     IN    A    119.251.72.218
cuqnfpai.ai.shu.com.     IN    A    252.30.232.168
wrobyasn.ai.shu.com.     IN    A    226.92.207.13
rakufhsx.ai.shu.com.     IN    A    62.156.108.104
vncqdjyu.ai.shu.com.     IN    A    70.79.172.247
jxustepl.ai.shu.com.     IN    A    109.151.85.22
ktienqgh.ai.shu.com.     IN    A    240.133.46.25
nhsvtkji.ai.shu.com.     IN    A    85.23.128.44
kmhwesvc.ai.shu.com.     IN    A    185.8.64.160
xvamdkfi.ai.shu.com.     IN    A    50.180.183.208
swjrfybk.ai.shu.com.     IN    A    124.163.37.244
djptlvwe.ai.shu.com.     IN    A    238.59.99.154
iwfgacju.ai.shu.com.     IN    A    139.37.130.68
kfcjdsiu.ai.shu.com.     IN    A    187.14.78.242
xfrswyuq.ai.shu.com.     IN    A    5.152.47.135
ampekogl.ai.shu.com.     IN    A    254.242.31.102
mqsbexvh.ai.shu.com.     IN    A    50.98.59.53
mohpjevk.ai.shu.com.     IN    A    133.123.122.164
dtawrimq.ai.shu.com.     IN    A    176.163.10.66
oyjrmibh.ai.shu.com.     IN    A    206.75.67.81
ywnasqog.ai.shu.com.     IN    A    101.214.106.186
ahiplewj.ai.shu.com.     IN    A    187.48.207.59
eigcujds.ai.shu.com.     IN    A    234.24.214.177
dqhtmcyf.ai.shu.com.     IN    A    122.147.218.216
isqhtdnm.ai.shu.com.     IN    A    159.213.96.239
hftmeqvk.ai.shu.com.     IN    A    67.172.107.140
dcwxboet.ai.shu.com.     IN    A    173.154.40.251
tybdfqmk.ai.shu.com.     IN    A    110.108.212.60
mjsyhlcq.ai.shu.com.     IN    A    18.73.74.121
bsjkutcm.ai.shu.com.     IN    A    35.81.139.134
eptlbnmo.ai.shu.com.     IN    A    94.196.94.84
sgrvhpcy.ai.shu.com.     IN    A    248.89.49.75
ovkgunhr.ai.shu.com.     IN    A    180.137.52.114
hewoktuv.ai.shu.com.     IN    A    91.43.47.3
noyvagtx.ai.shu.com.     IN    A    123.62.168.160
gewhjtpr.ai.shu.com.     IN    A    49.100.146.85
bqiuctgl.ai.shu.com.     IN    A    222.92.191.147
cryjpbmx.ai.shu.com.     IN    A    128.199.217.211
sexijgcn.ai.shu.com.     IN    A    108.93.185.74
uojrltnq.ai.shu.com.     IN    A    185.126.228.42
mkxtpsyo.ai.shu.com.     IN    A    80.244.87.55
udfcvrwe.ai.shu.com.     IN    A    46.176.49.116
wbvfenkq.ai.shu.com.     IN    A    208.242.32.81
yfcspxer.ai.shu.com.     IN    A    70.163.133.95
woypxmlh.ai.shu.com.     IN    A    109.100.7.209
rdnlisbv.ai.shu.com.     IN    A    63.164.217.76
hyswnfbc.ai.shu.com.     IN    A    181.77.21.213
onlpfcaj.ai.shu.com.     IN    A    136.228.146.249
dcfpgsay.ai.shu.com.     IN    A    5.52.62.162
qyijubwm.ai.shu.com.     IN    A    158.39.2.143
xradcpvm.ai.shu.com.     IN    A    21.36.73.67
fkcaique.ai.shu.com.     IN    A    91.46.219.29
bcvqgreu.ai.shu.com.     IN    A    134.13.75.47
tkashqub.ai.shu.com.     IN    A    250.249.222.250
rmldfyhc.ai.shu.com.     IN    A    20.124.251.156
maefyhus.ai.shu.com.     IN    A    16.229.34.43
rhadpyti.ai.shu.com.     IN    A    217.177.154.182
jmofqtvh.ai.shu.com.     IN    A    163.174.66.242
cmngyjtw.ai.shu.com.     IN    A    232.201.69.253
ejtnbvcx.ai.shu.com.     IN    A    115.66.133.59
jxvsihyf.ai.shu.com.     IN    A    162.76.185.49
jvustfqo.ai.shu.com.     IN    A    6.63.101.4
nbcviugh.ai.shu.com.     IN    A    16.15.10.109
soblyuvd.ai.shu.com.     IN    A    155.55.148.111
ijmykqrp.ai.shu.com.     IN    A    22.71.134.160
ewjdkylu.ai.shu.com.     IN    A    39.107.214.0
idcbuexr.ai.shu.com.     IN    A    245.72.136.82
qnbxvpyi.ai.shu.com.     IN    A    133.69.42.237
cngakdew.ai.shu.com.     IN    A    31.89.49.153
gteyfcbl.ai.shu.com.     IN    A    228.230.27.21
vndipqty.ai.shu.com.     IN    A    180.120.7.60
dhljgfms.ai.shu.com.     IN    A    48.124.68.157
lvahytnq.ai.shu.com.     IN    A    64.231.16.255
uapxcgqb.ai.shu.com.     IN    A    89.63.51.31
vcxhymwn.ai.shu.com.     IN    A    191.81.227.6
vposyekb.ai.shu.com.     IN    A    152.114.10.71
ysfovlxq.ai.shu.com.     IN    A    0.57.160.195
kudqnait.ai.shu.com.     IN    A    244.240.180.207
jthdviba.ai.shu.com.     IN    A    19.7.17.155
chmsxrop.ai.shu.com.     IN    A    143.69.16.168
xrnmbgld.ai.shu.com.     IN    A    149.158.102.231
tconeibu.ai.shu.com.     IN    A    32.135.173.129
ihcrtjpv.ai.shu.com.     IN    A    178.205.210.104
rjohwalc.ai.shu.com.     IN    A    129.55.47.152
jkxgpnyt.ai.shu.com.     IN    A    101.119.30.195
vlfiwyox.ai.shu.com.     IN    A    123.6.188.255
lcnrhqpu.ai.shu.com.     IN    A    117.28.11.154
sedofcgk.ai.shu.com.     IN    A    79.75.110.83
mclqfyud.ai.shu.com.     IN    A    162.139.200.227
doqlxgwh.ai.shu.com.     IN    A    206.239.201.99
pnyoehlm.ai.shu.com.     IN    A    172.100.10.133
xeyfhkai.ai.shu.com.     IN    A    211.232.23.232
dvrqmlsi.ai.shu.com.     IN    A    150.243.61.94
lrheboik.ai.shu.com.     IN    A    63.248.105.30
veoiylgj.ai.shu.com.     IN    A    193.224.104.224
ejsgirdb.ai.shu.com.     IN    A    9.132.212.105
oatrbums.ai.shu.com.     IN    A    70.216.252.62
avmpuisl.ai.shu.com.     IN    A    243.23.210.30
yulondvr.ai.shu.com.     IN    A    70.51.51.0
dyleqwnj.ai.shu.com.     IN    A    152.47.140.79
bweysngr.ai.shu.com.     IN    A    238.35.184.22
qctgesmf.ai.shu.com.     IN    A    132.143.248.57
flxphova.ai.shu.com.     IN    A    215.206.214.215
uoypevrq.ai.shu.com.     IN    A    43.117.204.154
jsuidanr.ai.shu.com.     IN    A    195.155.34.13
cangpsmk.ai.shu.com.     IN    A    2.96.17.102
xbwfldkn.ai.shu.com.     IN    A    148.192.67.59
fsowkvhj.ai.shu.com.     IN    A    35.39.253.248
krjtnhqi.ai.shu.com.     IN    A    50.3.18.52
sykmcuop.ai.shu.com.     IN    A    137.99.202.204
nmkcpsqv.ai.shu.com.     IN    A    85.192.151.79
sgbqimul.ai.shu.com.     IN    A    132.31.129.229
cbpqyiex.ai.shu.com.     IN    A    98.238.118.232
mskgarif.ai.shu.com.     IN    A    140.95.127.107
kcneoqbl.ai.shu.com.     IN    A    4.101.110.1
dfericam.ai.shu.com.     IN    A    151.42.116.96
iwtcpgoa.ai.shu.com.     IN    A    90.118.220.136
olxqtjnu.ai.shu.com.     IN    A    253.133.35.62
umfyogha.ai.shu.com.     IN    A    160.120.220.96
ijbvflpy.ai.shu.com.     IN    A    62.196.222.247
lkmodbhi.ai.shu.com.     IN    A    33.182.140.113
vhubwsrp.ai.shu.com.     IN    A    147.180.190.245
jythkxpe.ai.shu.com.     IN    A    94.211.225.0
gpmcuhlb.ai.shu.com.     IN    A    73.38.250.215
gfjrakqs.ai.shu.com.     IN    A    1.130.7.254
vwhucasq.ai.shu.com.     IN    A    175.78.190.129
xsdmkpyf.ai.shu.com.     IN    A    144.117.82.192
daepghuv.ai.shu.com.     IN    A    243.60.208.20
sjdveclt.ai.shu.com.     IN    A    16.134.155.54
cboqsaeg.ai.shu.com.     IN    A    235.40.17.59
shoxjnyg.ai.shu.com.     IN    A    239.160.130.173
xlprqtca.ai.shu.com.     IN    A    218.185.134.79
kauhdlsn.ai.shu.com.     IN    A    222.185.96.114
okjtnryf.ai.shu.com.     IN    A    32.182.152.86
qlapofrm.ai.shu.com.     IN    A    72.141.174.76
ruxvfetq.ai.shu.com.     IN    A    44.91.113.194
dlhonjfv.ai.shu.com.     IN    A    215.127.252.186
byarftjk.ai.shu.com.     IN    A    247.162.110.142
vsguhkiq.ai.shu.com.     IN    A    18.11.165.225
cnpoigkf.ai.shu.com.     IN    A    229.244.193.212
ahscwiyn.ai.shu.com.     IN    A    193.126.88.84
pvqjumxf.ai.shu.com.     IN    A    139.167.55.68
qrajcxkw.ai.shu.com.     IN    A    254.249.81.213
uxqicjsr.ai.shu.com.     IN    A    72.170.242.246
hxvsprwg.ai.shu.com.     IN    A    103.252.0.12
wanbykqi.ai.shu.com.     IN    A    24.222.75.230
kmqxgopb.ai.shu.com.     IN    A    210.101.94.255
xnjlucdh.ai.shu.com.     IN    A    198.154.21.226
latejnif.ai.shu.com.     IN    A    159.156.210.64
saqiugjf.ai.shu.com.     IN    A    241.174.44.98
pseaognf.ai.shu.com.     IN    A    206.45.63.10
woxnpivj.ai.shu.com.     IN    A    187.235.19.38
hpdrtyea.ai.shu.com.     IN    A    187.216.64.24
jwhgibto.ai.shu.com.     IN    A    25.21.96.48
resipavq.ai.shu.com.     IN    A    119.232.139.198
goiqretx.ai.shu.com.     IN    A    227.211.140.164
ugtwakrl.ai.shu.com.     IN    A    67.105.13.109
tfcbkhym.ai.shu.com.     IN    A    60.214.58.78
vxqulcsg.ai.shu.com.     IN    A    70.154.44.205
xjolnmwq.ai.shu.com.     IN    A    65.189.67.60
gkahdtiv.ai.shu.com.     IN    A    69.30.25.144
uibfqwrj.ai.shu.com.     IN    A    82.121.245.27
lpuqwtoh.ai.shu.com.     IN    A    111.255.43.222
ojtlhvgc.ai.shu.com.     IN    A    209.162.42.80
tebxwyns.ai.shu.com.     IN    A    243.213.85.63
vduefwcr.ai.shu.com.     IN    A    142.187.239.194
exfokncu.ai.shu.com.     IN    A    101.120.17.191
ojcrkgqm.ai.shu.com.     IN    A    243.121.247.43
akibxjmy.ai.shu.com.     IN    A    118.248.248.177
djtmyxph.ai.shu.com.     IN    A    110.246.186.42
tcmwygvq.ai.shu.com.     IN    A    197.129.229.250
slxuhcje.ai.shu.com.     IN    A    101.245.223.62
wyfrgmun.ai.shu.com.     IN    A    120.14.109.176
fxroteyh.ai.shu.com.     IN    A    149.192.46.113
awknvlpd.ai.shu.com.     IN    A    92.139.79.80
ckpimfsd.ai.shu.com.     IN    A    104.186.175.169
stxnhuib.ai.shu.com.     IN    A    230.224.201.40
dlvexjts.ai.shu.com.     IN    A    95.69.105.103
tnwmeulb.ai.shu.com.     IN    A    27.144.225.95
halyxjno.ai.shu.com.     IN    A    78.67.108.49
cspkunte.ai.shu.com.     IN    A    14.77.164.232
jerlouta.ai.shu.com.     IN    A    245.31.60.168
fvqdcgiw.ai.shu.com.     IN    A    69.233.239.89
clwfrmut.ai.shu.com.     IN    A    29.77.154.150
nxkowjmt.ai.shu.com.     IN    A    130.175.138.83
jmfhaopu.ai.shu.com.     IN    A    248.147.50.9
vkfpedxy.ai.shu.com.     IN    A    8.77.5.230
thsxnbyc.ai.shu.com.     IN    A    125.229.187.102
aybjpwsv.ai.shu.com.     IN    A    49.14.167.70
usdkiecm.ai.shu.com.     IN    A    181.91.66.16
pklegxfo.ai.shu.com.     IN    A    110.243.31.210
kaybrwvq.ai.shu.com.     IN    A    26.228.180.52
ocsjihkp.ai.shu.com.     IN    A    213.26.11.70
hxcnboue.ai.shu.com.     IN    A    217.99.250.226
bmgvntas.ai.shu.com.     IN    A    227.121.63.187
xtpkvbhr.ai.shu.com.     IN    A    123.84.213.125
mirnqaxb.ai.shu.com.     IN    A    54.173.161.172
sxnoltae.ai.shu.com.     IN    A    201.185.176.23
aplixgfs.ai.shu.com.     IN    A    107.7.95.75
jvfrwmnt.ai.shu.com.     IN    A    126.250.240.124
wxgqdtpl.ai.shu.com.     IN    A    20.86.204.63
hvtpfrmu.ai.shu.com.     IN    A    152.166.248.198
nxrusmpl.ai.shu.com.     IN    A    22.143.14.61
feiqkhjo.ai.shu.com.     IN    A    73.235.238.39
dsrotbjk.ai.shu.com.     IN    A    75.121.149.123
okcxadvl.ai.shu.com.     IN    A    250.148.239.214
sygemtil.ai.shu.com.     IN    A    191.190.200.39
qcayogpu.ai.shu.com.     IN    A    109.133.35.192
nkxsrbpm.ai.shu.com.     IN    A    204.164.13.89
kdymcxej.ai.shu.com.     IN    A    107.185.18.84
kcnxyajo.ai.shu.com.     IN    A    186.91.29.228
frspuemi.ai.shu.com.     IN    A    142.130.206.34
pajyqibd.ai.shu.com.     IN    A    206.117.241.56
xgthsqmr.ai.shu.com.     IN    A    21.140.217.131
mvraytid.ai.shu.com.     IN    A    33.187.245.52
xnclmtbe.ai.shu.com.     IN    A    161.70.37.251
vlcyoqds.ai.shu.com.     IN    A    204.212.132.175
ilhckato.ai.shu.com.     IN    A    194.245.19.255
mnheoixw.ai.shu.com.     IN    A    229.116.47.56
xsvocthp.ai.shu.com.     IN    A    32.183.140.205
xriqbthp.ai.shu.com.     IN    A    186.193.234.70
nyrtlasd.ai.shu.com.     IN    A    29.90.56.67
ywmnirce.ai.shu.com.     IN    A    53.178.104.161
rdvfpswa.ai.shu.com.     IN    A    4.74.224.191
oebsimxj.ai.shu.com.     IN    A    136.57.96.120
ekuwgolx.ai.shu.com.     IN    A    26.132.137.103
epholqcu.ai.shu.com.     IN    A    236.27.154.120
hixylbvf.ai.shu.com.     IN    A    176.39.36.68
mqsulfxc.ai.shu.com.     IN    A    210.173.92.124
svqkixpc.ai.shu.com.     IN    A    205.52.31.54
tbxaodge.ai.shu.com.     IN    A    105.153.73.223
akjfpehc.ai.shu.com.     IN    A    76.248.254.42
kirpgqlf.ai.shu.com.     IN    A    30.224.129.6
hixounlk.ai.shu.com.     IN    A    45.218.108.135
vxjkrwns.ai.shu.com.     IN    A    59.196.241.51
hykejcub.ai.shu.com.     IN    A    61.89.222.26
milgenxr.ai.shu.com.     IN    A    127.146.193.124
xmucnpwj.ai.shu.com.     IN    A    192.196.232.131
werbspdg.ai.shu.com.     IN    A    171.196.105.153
rhwvxtud.ai.shu.com.     IN    A    67.174.0.85
atxnsihr.ai.shu.com.     IN    A    104.251.14.14
fovgmyid.ai.shu.com.     IN    A    231.197.255.210
qmrblkts.ai.shu.com.     IN    A    81.71.40.154
tdvnefso.ai.shu.com.     IN    A    89.92.129.23
mnjgblsx.ai.shu.com.     IN    A    91.227.64.11
qwxjgrdv.ai.shu.com.     IN    A    27.175.165.152
qiagjfuy.ai.shu.com.     IN    A    127.248.46.87
nucjeiqh.ai.shu.com.     IN    A    2.59.25.45
iugmjbwk.ai.shu.com.     IN    A    147.173.18.80
fuvqieon.ai.shu.com.     IN    A    198.86.48.166
xtkwyecn.ai.shu.com.     IN    A    220.23.152.189
latibfwk.ai.shu.com.     IN    A    46.165.66.46
awyxufgh.ai.shu.com.     IN    A    157.1.155.169
lfbtcrui.ai.shu.com.     IN    A    212.139.11.75
mvutxfpo.ai.shu.com.     IN    A    179.40.210.200
frxomhgl.ai.shu.com.     IN    A    157.153.201.109
jfinbout.ai.shu.com.     IN    A    20.52.39.60
tobkyiep.ai.shu.com.     IN    A    247.73.198.171
jerkobaq.ai.shu.com.     IN    A    117.218.160.199
aojtwvuq.ai.shu.com.     IN    A    133.134.14.44
cpmtgxed.ai.shu.com.     IN    A    59.7.75.190
bivreptl.ai.shu.com.     IN    A    171.253.104.170
kfxeogih.ai.shu.com.     IN    A    164.156.173.228
pqmgxsoe.ai.shu.com.     IN    A    38.225.146.111
covgidlq.ai.shu.com.     IN    A    86.28.147.216
dosfytnm.ai.shu.com.     IN    A    49.175.179.88
