; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR whu.com. @ns2.whu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
whu.com.			      14400 IN NS	ns1.whu.com.
ns1.whu.com.			      14400 IN A	10.166.21.13

www.whu.com.		      14400 IN NS	ns1.www.whu.com.
ns1.www.whu.com.		      14400 IN A		10.166.21.14

pharm.whu.com.		      14400 IN NS	ns1.pharm.whu.com.
ns1.pharm.whu.com.		      14400 IN A		10.166.21.15

hyxt.whu.com.		      14400 IN NS	ns1.hyxt.whu.com.
ns1.hyxt.whu.com.		      14400 IN A		10.166.21.12

whu.com.			      14400 IN MX	10 hyxttp.whu.edu.
whu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
damxkgbi.whu.com.        IN    A    221.0.167.129
dpmfnstb.whu.com.        IN    A    35.114.28.57
ltmigdhs.whu.com.        IN    A    206.245.215.229
qtedmuwb.whu.com.        IN    A    205.29.47.241
vqiyrtef.whu.com.        IN    A    132.128.110.93
swdvohuc.whu.com.        IN    A    145.28.115.41
ncmrivgy.whu.com.        IN    A    64.218.67.57
lnkxjwsr.whu.com.        IN    A    190.237.51.56
jgtqvfxl.whu.com.        IN    A    113.199.8.188
ifuqskxv.whu.com.        IN    A    221.119.240.129
rxtdabyp.whu.com.        IN    A    171.238.233.217
dogfwpxa.whu.com.        IN    A    3.28.254.35
sgpxvrhk.whu.com.        IN    A    6.26.109.250
wgyvmnek.whu.com.        IN    A    175.241.190.136
dqothgnu.whu.com.        IN    A    108.71.251.187
bwkdlvpj.whu.com.        IN    A    191.162.84.42
nbqktfly.whu.com.        IN    A    164.90.140.173
osadeflw.whu.com.        IN    A    83.103.203.80
qxwcklha.whu.com.        IN    A    209.27.165.1
tsxlqguc.whu.com.        IN    A    49.102.246.193
cylekawp.whu.com.        IN    A    199.211.160.173
usvglhoy.whu.com.        IN    A    161.138.83.72
xhftgecm.whu.com.        IN    A    0.142.2.82
pyisjkha.whu.com.        IN    A    230.173.244.219
oxulgkfv.whu.com.        IN    A    7.240.223.157
ysjopihq.whu.com.        IN    A    184.170.79.165
ystfkmrq.whu.com.        IN    A    198.234.41.250
dueysonl.whu.com.        IN    A    3.184.65.171
ovwdxbmh.whu.com.        IN    A    154.78.194.127
grpvhiqm.whu.com.        IN    A    138.204.142.41
egxtkiso.whu.com.        IN    A    214.115.250.201
vtadinys.whu.com.        IN    A    229.238.26.219
yfqnlrkh.whu.com.        IN    A    139.134.241.94
fnygtvse.whu.com.        IN    A    39.242.32.68
nvjlrpkm.whu.com.        IN    A    12.162.150.63
oxsvacib.whu.com.        IN    A    194.249.183.60
tyuwvqdo.whu.com.        IN    A    2.90.79.228
rwgvljmx.whu.com.        IN    A    151.115.7.105
mnbytlup.whu.com.        IN    A    12.16.164.128
epdnlvmo.whu.com.        IN    A    61.22.201.192
wtkiguyf.whu.com.        IN    A    163.78.132.166
yspaqlhw.whu.com.        IN    A    96.154.110.62
cbudpeon.whu.com.        IN    A    49.115.247.183
dgljtuep.whu.com.        IN    A    236.39.137.157
dlbcrqts.whu.com.        IN    A    228.19.80.53
cdgjpnuw.whu.com.        IN    A    150.250.57.239
qylxvmdn.whu.com.        IN    A    247.195.135.87
wpknuisd.whu.com.        IN    A    74.63.238.230
qlygorwt.whu.com.        IN    A    71.15.157.84
loqbsmyw.whu.com.        IN    A    151.92.236.139
wjaobiky.whu.com.        IN    A    152.192.97.57
yqtmdvnc.whu.com.        IN    A    160.217.79.152
wimxqtyg.whu.com.        IN    A    232.213.245.231
gxufitdk.whu.com.        IN    A    157.176.9.209
mkwtqisr.whu.com.        IN    A    160.157.144.92
galjrpcu.whu.com.        IN    A    33.223.92.57
sgwyxlep.whu.com.        IN    A    21.74.131.204
gefhvlox.whu.com.        IN    A    58.156.189.177
hcgjlbos.whu.com.        IN    A    207.34.90.158
ryfqdvbl.whu.com.        IN    A    131.198.104.200
wyklefca.whu.com.        IN    A    244.51.214.177
iqtxsjno.whu.com.        IN    A    13.236.130.84
bquxgrjn.whu.com.        IN    A    170.243.112.202
bvturiqe.whu.com.        IN    A    123.19.31.251
gkecjqry.whu.com.        IN    A    68.158.226.4
omhcdqir.whu.com.        IN    A    37.48.173.228
wbxacevf.whu.com.        IN    A    237.244.204.76
dbekoplc.whu.com.        IN    A    199.191.142.5
ortuisxy.whu.com.        IN    A    124.182.90.166
uxfjvwms.whu.com.        IN    A    99.190.223.242
bshceojp.whu.com.        IN    A    70.71.223.44
sbjhikwd.whu.com.        IN    A    147.137.137.85
jspbexyc.whu.com.        IN    A    230.156.107.152
rmxvacpi.whu.com.        IN    A    190.117.131.159
gqbulxoh.whu.com.        IN    A    112.253.78.97
dtpruhwe.whu.com.        IN    A    91.53.138.95
ifwosbaj.whu.com.        IN    A    70.27.27.40
npqolsgw.whu.com.        IN    A    67.217.220.140
cejgnkru.whu.com.        IN    A    0.191.81.152
tcjamuvp.whu.com.        IN    A    71.255.208.211
cqkuwimv.whu.com.        IN    A    50.241.221.227
dqnfecoh.whu.com.        IN    A    236.144.196.180
kpwiuncd.whu.com.        IN    A    75.55.53.12
srxfvkqh.whu.com.        IN    A    39.40.20.223
pfmeciwj.whu.com.        IN    A    145.42.171.49
mdhqivxy.whu.com.        IN    A    15.29.249.191
ycbfgqdt.whu.com.        IN    A    186.217.1.252
mehugknv.whu.com.        IN    A    215.215.241.184
qjotdwxr.whu.com.        IN    A    236.104.12.51
djiexslr.whu.com.        IN    A    23.176.250.137
ehjnaigk.whu.com.        IN    A    124.166.218.76
usbthowx.whu.com.        IN    A    244.130.234.26
fxhanqvt.whu.com.        IN    A    86.107.9.235
dkhjiqyb.whu.com.        IN    A    51.139.164.49
ocemdsrk.whu.com.        IN    A    137.20.120.202
bpgjfacn.whu.com.        IN    A    57.104.165.140
uxlnmiah.whu.com.        IN    A    84.55.168.17
etpgjdwk.whu.com.        IN    A    85.193.55.232
wmoelcjr.whu.com.        IN    A    247.115.53.95
lopedqku.whu.com.        IN    A    70.106.103.35
upxdinvb.whu.com.        IN    A    143.88.9.212
cjrmdfng.whu.com.        IN    A    177.80.229.43
lmdcthvg.whu.com.        IN    A    36.6.56.38
qgrfujbw.whu.com.        IN    A    121.98.203.125
hsbupwxi.whu.com.        IN    A    144.109.141.214
ahjbnrqc.whu.com.        IN    A    33.148.21.48
fqraodtu.whu.com.        IN    A    215.7.232.52
kxmfdrjt.whu.com.        IN    A    39.42.45.200
omdvbnju.whu.com.        IN    A    60.167.127.244
loigaenf.whu.com.        IN    A    196.174.141.252
daqvwksn.whu.com.        IN    A    36.244.136.38
dgvmabku.whu.com.        IN    A    48.212.120.150
xipybhrw.whu.com.        IN    A    96.53.153.103
gciflanv.whu.com.        IN    A    209.245.88.157
shxuktlf.whu.com.        IN    A    151.25.33.205
gacpflhq.whu.com.        IN    A    78.65.43.102
hryunmbe.whu.com.        IN    A    113.123.144.231
qsjckmbg.whu.com.        IN    A    238.0.136.118
smkvxwtb.whu.com.        IN    A    135.50.121.95
gnvcdyoi.whu.com.        IN    A    33.133.36.51
ymsqhwvj.whu.com.        IN    A    71.176.247.72
pnyocfqu.whu.com.        IN    A    167.34.225.249
ydiuswvg.whu.com.        IN    A    44.100.138.232
nvierfgt.whu.com.        IN    A    98.84.196.189
mijypxdh.whu.com.        IN    A    98.23.220.91
vbdqkhgt.whu.com.        IN    A    180.212.96.84
shtedwxf.whu.com.        IN    A    49.226.53.24
fjmruivx.whu.com.        IN    A    14.102.80.130
ijdkbsta.whu.com.        IN    A    35.181.5.66
hojvxtnq.whu.com.        IN    A    110.122.80.222
xwlnevdj.whu.com.        IN    A    86.13.54.110
xpqwoukh.whu.com.        IN    A    239.201.198.14
wqefrhdx.whu.com.        IN    A    62.38.112.14
bhxjsevg.whu.com.        IN    A    92.130.175.62
temfalvw.whu.com.        IN    A    171.238.205.225
bqigpvmd.whu.com.        IN    A    206.133.181.250
lgtkcbie.whu.com.        IN    A    96.97.39.44
kqiewyvo.whu.com.        IN    A    166.186.208.91
uwvexhrp.whu.com.        IN    A    75.23.17.20
iopgyhks.whu.com.        IN    A    3.49.51.1
xpvrykeg.whu.com.        IN    A    22.204.200.27
hkremluy.whu.com.        IN    A    211.184.18.244
lfusvajt.whu.com.        IN    A    210.182.134.55
irnqkofx.whu.com.        IN    A    41.39.244.43
lotnycdq.whu.com.        IN    A    70.76.220.2
udpemfnq.whu.com.        IN    A    32.91.15.247
fkpvlntu.whu.com.        IN    A    34.192.224.229
qkvldhbs.whu.com.        IN    A    162.230.189.118
exqwcgyr.whu.com.        IN    A    154.80.153.162
sdgrvpcq.whu.com.        IN    A    164.127.21.161
pqeatsbv.whu.com.        IN    A    47.144.192.150
slkqrioy.whu.com.        IN    A    123.87.6.216
aqdrypxj.whu.com.        IN    A    24.255.203.247
jqrhwubv.whu.com.        IN    A    91.18.53.190
egxyhwlq.whu.com.        IN    A    175.104.24.157
mwpeqaxk.whu.com.        IN    A    114.92.157.55
vabodhxw.whu.com.        IN    A    25.65.100.18
ghvmwyxj.whu.com.        IN    A    173.98.202.128
ojkruvxq.whu.com.        IN    A    142.53.222.144
lbvegiod.whu.com.        IN    A    72.83.17.144
tnqcdmbg.whu.com.        IN    A    2.161.77.104
ebacuswf.whu.com.        IN    A    113.198.69.137
jtpqyleh.whu.com.        IN    A    236.51.90.141
nlmqfair.whu.com.        IN    A    70.235.113.121
ewuvyfts.whu.com.        IN    A    27.33.190.100
aphsfxlr.whu.com.        IN    A    83.104.45.239
axrydomp.whu.com.        IN    A    237.44.161.172
unhxmfvj.whu.com.        IN    A    89.250.209.244
tkrvqgfc.whu.com.        IN    A    158.204.117.228
onwuqfic.whu.com.        IN    A    46.52.87.85
crbaxyht.whu.com.        IN    A    114.202.57.220
bxtlnqfm.whu.com.        IN    A    106.154.15.131
rumsdklh.whu.com.        IN    A    116.171.92.22
nlftdkio.whu.com.        IN    A    2.201.181.248
ucsyvjnl.whu.com.        IN    A    183.227.237.69
uorkjfyp.whu.com.        IN    A    158.63.67.141
wujanrxq.whu.com.        IN    A    17.223.159.170
fvqgmtdk.whu.com.        IN    A    254.130.190.224
yhempiqg.whu.com.        IN    A    8.121.245.203
jnwchygt.whu.com.        IN    A    202.146.44.51
lxdhbruo.whu.com.        IN    A    231.27.54.18
ihsnmbfd.whu.com.        IN    A    187.158.252.244
xpndfmsc.whu.com.        IN    A    51.75.72.208
tegpbauq.whu.com.        IN    A    232.200.125.222
hradvfbk.whu.com.        IN    A    64.103.144.17
ofqpenbu.whu.com.        IN    A    117.9.1.11
fdpqwkhi.whu.com.        IN    A    35.172.42.2
owrqbghu.whu.com.        IN    A    216.233.149.81
vgokhanm.whu.com.        IN    A    196.0.188.152
wbaurvqp.whu.com.        IN    A    246.235.242.53
sculjpkb.whu.com.        IN    A    124.8.63.139
wboxskel.whu.com.        IN    A    20.222.8.202
ijhlesnv.whu.com.        IN    A    38.41.241.212
ryedtwbq.whu.com.        IN    A    193.101.78.56
ojrehtbl.whu.com.        IN    A    207.195.221.205
dtqvifcb.whu.com.        IN    A    205.56.123.42
tqdimleh.whu.com.        IN    A    151.36.139.148
rdfuomei.whu.com.        IN    A    124.129.7.200
duyknihj.whu.com.        IN    A    252.198.145.84
ixmpjlyn.whu.com.        IN    A    95.111.254.193
josawmdn.whu.com.        IN    A    58.24.213.250
cfjpakit.whu.com.        IN    A    99.132.61.84
mkpqhruy.whu.com.        IN    A    5.0.89.137
vjarhpwf.whu.com.        IN    A    29.223.217.205
sclubdai.whu.com.        IN    A    216.172.157.129
hwxvjufe.whu.com.        IN    A    247.68.45.155
lpusqovw.whu.com.        IN    A    129.79.137.48
epmxiwtg.whu.com.        IN    A    2.198.101.163
lnfxcboj.whu.com.        IN    A    194.19.52.122
qiopfncl.whu.com.        IN    A    15.60.37.27
trocwkux.whu.com.        IN    A    168.189.231.152
yargpkem.whu.com.        IN    A    23.248.192.249
ylpfvjis.whu.com.        IN    A    171.207.43.90
cesivfno.whu.com.        IN    A    171.171.92.219
ygbpdjlv.whu.com.        IN    A    158.136.234.132
rlkafvey.whu.com.        IN    A    120.138.253.171
dvwyjmcn.whu.com.        IN    A    62.177.71.90
ojfiqgcd.whu.com.        IN    A    204.9.222.222
jslncetb.whu.com.        IN    A    52.62.58.70
fjgeaikq.whu.com.        IN    A    245.248.158.53
dmnksfpg.whu.com.        IN    A    82.206.200.47
fmxuhsov.whu.com.        IN    A    96.147.199.193
fixqtakn.whu.com.        IN    A    10.23.191.238
jnbhumtk.whu.com.        IN    A    51.250.140.174
ljofxitp.whu.com.        IN    A    251.118.57.196
hrqseyin.whu.com.        IN    A    69.79.247.238
rpmeulhv.whu.com.        IN    A    85.30.42.53
dcixjuey.whu.com.        IN    A    16.118.160.140
dxnijtso.whu.com.        IN    A    66.117.81.214
tgnmxrca.whu.com.        IN    A    56.2.47.234
bmqseoyc.whu.com.        IN    A    107.32.184.131
wfebnmha.whu.com.        IN    A    39.253.102.136
sywadhef.whu.com.        IN    A    109.195.167.151
knxybtfe.whu.com.        IN    A    47.211.32.83
erwnmbvf.whu.com.        IN    A    54.65.96.49
cxyailgb.whu.com.        IN    A    95.104.191.161
qamdniyg.whu.com.        IN    A    57.99.171.59
qstnyved.whu.com.        IN    A    211.151.109.14
kaghyscb.whu.com.        IN    A    172.14.223.239
gdiweamh.whu.com.        IN    A    217.45.226.54
mlqvdrjs.whu.com.        IN    A    115.64.136.181
pneovtri.whu.com.        IN    A    89.87.60.29
lcsxgrqw.whu.com.        IN    A    240.102.215.200
xevmpsco.whu.com.        IN    A    252.108.197.21
pnrsvmgw.whu.com.        IN    A    46.168.98.100
cxsavrfi.whu.com.        IN    A    160.129.91.207
wychbuim.whu.com.        IN    A    70.69.184.29
gauchdlv.whu.com.        IN    A    117.168.141.165
mjdstbhi.whu.com.        IN    A    105.130.51.13
kidownlv.whu.com.        IN    A    111.21.35.235
eyqtbcpi.whu.com.        IN    A    226.9.201.16
ytqeoinp.whu.com.        IN    A    46.5.17.66
yhuljspe.whu.com.        IN    A    197.183.127.62
rvwbitsg.whu.com.        IN    A    118.218.95.33
rcaojtwg.whu.com.        IN    A    217.44.72.237
otrulcqa.whu.com.        IN    A    182.9.21.75
qntrcgkd.whu.com.        IN    A    146.48.210.118
yqijoclb.whu.com.        IN    A    115.191.3.64
hrncdoqm.whu.com.        IN    A    254.46.142.141
lxykshif.whu.com.        IN    A    191.137.20.236
cqgxhmep.whu.com.        IN    A    148.10.155.86
oujqfsrx.whu.com.        IN    A    79.31.196.187
arvcymgh.whu.com.        IN    A    19.149.65.14
actjdkog.whu.com.        IN    A    81.250.171.236
ushgcijo.whu.com.        IN    A    126.170.245.142
lxnhpwou.whu.com.        IN    A    95.178.83.200
ayqfpogi.whu.com.        IN    A    221.110.194.114
pibgaxmc.whu.com.        IN    A    35.100.176.5
lqksvaoj.whu.com.        IN    A    171.33.223.3
olxjeapf.whu.com.        IN    A    79.65.2.159
huyecpxg.whu.com.        IN    A    219.11.86.193
hbqcornk.whu.com.        IN    A    189.111.94.81
wicpafgo.whu.com.        IN    A    106.115.36.65
rjahkeqf.whu.com.        IN    A    166.122.212.21
dblergwk.whu.com.        IN    A    212.178.91.36
vloqfncu.whu.com.        IN    A    215.21.234.151
djmribvy.whu.com.        IN    A    196.245.94.215
kovcfgqw.whu.com.        IN    A    107.159.115.213
kynomlws.whu.com.        IN    A    38.108.228.240
gyswhjrk.whu.com.        IN    A    125.183.161.21
ybxlhjnc.whu.com.        IN    A    202.71.243.73
yfhvinmd.whu.com.        IN    A    72.242.120.95
ecjvksfo.whu.com.        IN    A    27.128.109.240
yuirmexc.whu.com.        IN    A    247.133.147.235
aleucbhg.whu.com.        IN    A    161.124.100.10
pjugoxrd.whu.com.        IN    A    10.59.215.193
oicmjahb.whu.com.        IN    A    113.94.6.19
uiqfrpdm.whu.com.        IN    A    138.199.117.93
jrgbyvkl.whu.com.        IN    A    151.121.21.13
uhbyktoq.whu.com.        IN    A    25.134.105.96
rxcbfpni.whu.com.        IN    A    237.43.149.20
miblcpro.whu.com.        IN    A    66.215.51.253
boihdlsa.whu.com.        IN    A    189.33.9.193
rkntlvpo.whu.com.        IN    A    155.86.222.115
iklytbov.whu.com.        IN    A    109.34.211.41
lqcfanjg.whu.com.        IN    A    174.214.35.211
dxvmfpnh.whu.com.        IN    A    24.125.161.184
bxphyjdo.whu.com.        IN    A    26.11.222.135
csyedrug.whu.com.        IN    A    168.206.161.109
meoflnjs.whu.com.        IN    A    194.105.33.204
eowcdtsk.whu.com.        IN    A    176.95.80.20
tbfxlnhq.whu.com.        IN    A    62.226.180.147
yilkhate.whu.com.        IN    A    24.157.104.214
rufavtxn.whu.com.        IN    A    145.102.118.164
erotcbgq.whu.com.        IN    A    21.246.232.219
rqktbdow.whu.com.        IN    A    173.100.212.224
mbhdjnpw.whu.com.        IN    A    136.29.222.222
iqwpuctk.whu.com.        IN    A    15.66.129.199
yrkebxma.whu.com.        IN    A    146.234.206.222
fuicrptx.whu.com.        IN    A    242.106.242.255
rgqpflub.whu.com.        IN    A    106.92.22.78
urqgkacm.whu.com.        IN    A    94.128.10.213
rvsylijp.whu.com.        IN    A    81.253.240.38
difmsncl.whu.com.        IN    A    219.56.152.126
gxcbekuj.whu.com.        IN    A    232.129.173.162
gwlfryjb.whu.com.        IN    A    185.79.7.36
xsgpbmhj.whu.com.        IN    A    8.220.195.180
ebhvukqd.whu.com.        IN    A    10.167.132.178
fvikhlao.whu.com.        IN    A    94.211.193.61
skpbacld.whu.com.        IN    A    131.0.207.99
qxijymgl.whu.com.        IN    A    37.180.227.198
ctsdkfgb.whu.com.        IN    A    27.131.153.184
thyfbmed.whu.com.        IN    A    217.179.107.61
qeungjkd.whu.com.        IN    A    205.192.231.195
gpblokuh.whu.com.        IN    A    155.167.190.114
waxehusc.whu.com.        IN    A    2.203.18.142
rtlxenkq.whu.com.        IN    A    50.124.20.211
rtfcsiav.whu.com.        IN    A    52.233.172.177
vlwcnyqx.whu.com.        IN    A    234.100.143.114
xaducftv.whu.com.        IN    A    129.96.243.29
sgrntofu.whu.com.        IN    A    36.29.45.101
xlakfdig.whu.com.        IN    A    69.12.57.209
smelyhbk.whu.com.        IN    A    178.113.156.92
avlntfby.whu.com.        IN    A    74.104.149.56
lkncxpeh.whu.com.        IN    A    173.93.195.183
jemlnrpc.whu.com.        IN    A    162.197.130.182
vqynujag.whu.com.        IN    A    86.163.241.108
krcxbwfe.whu.com.        IN    A    40.245.20.233
gpjialxe.whu.com.        IN    A    189.100.244.180
bslyhmwc.whu.com.        IN    A    184.103.13.187
dwutknqb.whu.com.        IN    A    209.71.17.200
qvdtekrc.whu.com.        IN    A    247.56.0.39
eitykpun.whu.com.        IN    A    220.161.124.44
chgfexuv.whu.com.        IN    A    58.232.183.78
sjauexqw.whu.com.        IN    A    214.184.213.65
ofwyvtmk.whu.com.        IN    A    151.176.140.121
oynmlbkx.whu.com.        IN    A    94.49.156.138
lmngcoyi.whu.com.        IN    A    169.186.123.112
kbqpneot.whu.com.        IN    A    89.75.93.213
bfjykirm.whu.com.        IN    A    249.94.170.19
rikqpwab.whu.com.        IN    A    51.69.225.215
wscpenvb.whu.com.        IN    A    24.215.102.148
kxbignej.whu.com.        IN    A    222.155.178.140
tmoryngl.whu.com.        IN    A    198.89.19.9
najiutby.whu.com.        IN    A    145.115.103.232
ingfvhrw.whu.com.        IN    A    203.227.195.178
ameforkq.whu.com.        IN    A    49.254.140.147
jisbolma.whu.com.        IN    A    146.11.3.141
vimhyfor.whu.com.        IN    A    249.34.77.151
coeygflb.whu.com.        IN    A    26.88.91.44
xvygtjfi.whu.com.        IN    A    89.32.245.212
vctngdux.whu.com.        IN    A    196.22.199.206
elgcjmpx.whu.com.        IN    A    55.77.200.148
dkxmpvte.whu.com.        IN    A    13.51.161.160
exdckysw.whu.com.        IN    A    154.69.143.134
yxeskhiu.whu.com.        IN    A    83.196.4.212
hbljaicr.whu.com.        IN    A    12.144.181.20
ychfrjvp.whu.com.        IN    A    182.90.201.247
phvwniut.whu.com.        IN    A    20.103.184.161
oadltrmc.whu.com.        IN    A    233.101.34.224
hskvdump.whu.com.        IN    A    140.181.42.220
xwablier.whu.com.        IN    A    133.137.100.130
prjxwydk.whu.com.        IN    A    19.49.88.42
kscgjulf.whu.com.        IN    A    191.46.188.108
rjodxbfp.whu.com.        IN    A    30.131.150.183
rospuwic.whu.com.        IN    A    93.5.207.134
gymxejbv.whu.com.        IN    A    4.60.47.123
wcgqhnfk.whu.com.        IN    A    253.173.149.200
jlikyefa.whu.com.        IN    A    83.250.50.141
yxgeofwr.whu.com.        IN    A    162.176.21.141
ejqdtugc.whu.com.        IN    A    61.136.19.229
bsuhckto.whu.com.        IN    A    121.5.100.145
vjtsmqhw.whu.com.        IN    A    26.19.130.147
mtpyqbah.whu.com.        IN    A    201.232.201.140
gvkcubsp.whu.com.        IN    A    62.217.128.254
dloptvbh.whu.com.        IN    A    231.156.185.37
vyswtrec.whu.com.        IN    A    232.52.33.64
ucgsjdiq.whu.com.        IN    A    252.249.205.162
ajtqsimu.whu.com.        IN    A    87.21.186.69
dypvghst.whu.com.        IN    A    30.190.128.145
gdqosyxr.whu.com.        IN    A    249.88.169.145
grfobwhe.whu.com.        IN    A    117.24.35.132
ibaxwlmu.whu.com.        IN    A    255.229.148.228
bwsandvp.whu.com.        IN    A    162.202.248.111
rmgestxh.whu.com.        IN    A    48.188.26.173
adqepmib.whu.com.        IN    A    206.188.33.101
vwqdthge.whu.com.        IN    A    28.115.159.104
vokmgnbq.whu.com.        IN    A    127.73.70.64
wnmpeaku.whu.com.        IN    A    83.91.254.216
wptkfdyj.whu.com.        IN    A    236.192.115.182
nuflwdjo.whu.com.        IN    A    142.2.180.149
bqastuco.whu.com.        IN    A    26.212.16.70
dyxrsuep.whu.com.        IN    A    77.3.7.158
owlicnqh.whu.com.        IN    A    193.194.163.180
rgdnmpsh.whu.com.        IN    A    224.230.238.63
uievqpga.whu.com.        IN    A    63.233.218.51
ecotwubs.whu.com.        IN    A    170.156.173.157
xciegalw.whu.com.        IN    A    142.5.251.160
negpvbot.whu.com.        IN    A    22.210.32.191
kpgjtqyu.whu.com.        IN    A    193.218.51.73
lukxjshq.whu.com.        IN    A    7.11.130.93
apymgkrt.whu.com.        IN    A    134.126.166.150
xlcrjdmv.whu.com.        IN    A    183.137.36.23
grhqbpot.whu.com.        IN    A    152.4.19.154
ofbpkvuy.whu.com.        IN    A    152.31.89.253
idyhrwnu.whu.com.        IN    A    28.102.67.232
sxmphyvi.whu.com.        IN    A    183.56.141.14
ngfemoxk.whu.com.        IN    A    211.176.203.55
geayfvso.whu.com.        IN    A    27.48.130.119
lrichvtd.whu.com.        IN    A    80.110.11.105
kcndsuvx.whu.com.        IN    A    107.17.75.125
gpfidjsl.whu.com.        IN    A    7.41.70.124
gktwpnfb.whu.com.        IN    A    244.104.129.93
hwexfmis.whu.com.        IN    A    32.35.174.112
auepilxy.whu.com.        IN    A    246.21.143.175
lkafqprx.whu.com.        IN    A    160.214.225.180
wujgofnd.whu.com.        IN    A    30.253.192.232
trvfglxm.whu.com.        IN    A    60.189.181.83
mjtrupcf.whu.com.        IN    A    116.251.233.86
acbfelwq.whu.com.        IN    A    8.107.223.158
pnvorlbq.whu.com.        IN    A    122.70.130.205
derjinsk.whu.com.        IN    A    174.184.233.96
xlfknmbt.whu.com.        IN    A    97.102.8.69
kqaxnjdu.whu.com.        IN    A    165.242.36.43
uiafxtjm.whu.com.        IN    A    209.5.55.229
hjiyxcqu.whu.com.        IN    A    148.212.99.196
rxkvydie.whu.com.        IN    A    71.93.107.169
mnxlhcbj.whu.com.        IN    A    157.203.71.158
ckepsouw.whu.com.        IN    A    203.142.143.94
snrfaljq.whu.com.        IN    A    63.165.243.175
abfdvxmg.whu.com.        IN    A    112.212.236.59
igtkduxj.whu.com.        IN    A    170.243.195.104
twklpics.whu.com.        IN    A    48.155.66.133
chknbspl.whu.com.        IN    A    123.136.1.212
ktqusvnl.whu.com.        IN    A    148.107.105.188
tyagbvie.whu.com.        IN    A    20.33.138.25
udjhowcp.whu.com.        IN    A    136.109.145.177
nqbitflw.whu.com.        IN    A    54.131.219.19
xuegklwr.whu.com.        IN    A    65.6.105.142
rgfyxicw.whu.com.        IN    A    119.98.44.56
bpgwjqnv.whu.com.        IN    A    179.206.221.53
tkbvgswy.whu.com.        IN    A    156.144.3.240
meivjfsc.whu.com.        IN    A    195.75.150.114
rjlgtkuy.whu.com.        IN    A    160.156.156.90
diehruvl.whu.com.        IN    A    34.223.83.75
kdegitqr.whu.com.        IN    A    179.217.13.217
jbogldhp.whu.com.        IN    A    190.248.159.51
qnmltbok.whu.com.        IN    A    109.104.193.180
eydbigmw.whu.com.        IN    A    151.114.143.162
xjcmydqh.whu.com.        IN    A    73.6.82.118
laumifdb.whu.com.        IN    A    112.12.223.152
wpnecydk.whu.com.        IN    A    214.11.251.110
cpvbsthn.whu.com.        IN    A    66.192.219.220
pnctwdls.whu.com.        IN    A    121.101.180.233
qacftlgy.whu.com.        IN    A    117.120.237.203
dvopuhjw.whu.com.        IN    A    132.244.117.224
anmxcbye.whu.com.        IN    A    230.26.156.183
ubrihnyp.whu.com.        IN    A    83.17.107.63
cimvgbsy.whu.com.        IN    A    125.122.196.169
tolxjdah.whu.com.        IN    A    198.93.167.250
kewcdgxi.whu.com.        IN    A    160.17.148.171
oqmecarh.whu.com.        IN    A    169.249.104.128
atbjunoe.whu.com.        IN    A    37.151.112.103
tblhgied.whu.com.        IN    A    167.232.172.242
glnsocxv.whu.com.        IN    A    58.209.221.157
qgmyxucd.whu.com.        IN    A    183.194.149.226
xtaulniy.whu.com.        IN    A    215.217.171.231
ojnkvwex.whu.com.        IN    A    110.239.24.188
rheliqjy.whu.com.        IN    A    197.79.41.32
yvixsflj.whu.com.        IN    A    157.122.126.46
djtyahkn.whu.com.        IN    A    18.34.184.149
ptqanewo.whu.com.        IN    A    21.217.188.159
topwdsnb.whu.com.        IN    A    88.151.142.11
xywslgrb.whu.com.        IN    A    117.27.247.171
vcthkdug.whu.com.        IN    A    59.34.124.239
weolqthf.whu.com.        IN    A    191.91.206.156
nqipuvah.whu.com.        IN    A    24.35.6.103
vqtewchl.whu.com.        IN    A    156.94.157.169
rcpjmdkb.whu.com.        IN    A    3.19.153.200
sypjbink.whu.com.        IN    A    12.197.81.226
cbdwjqho.whu.com.        IN    A    125.84.24.86
ijydvbwg.whu.com.        IN    A    98.76.172.206
leswkobc.whu.com.        IN    A    11.113.1.31
dopjiwcm.whu.com.        IN    A    19.148.209.110
tspvnbrk.whu.com.        IN    A    253.171.158.110
xmvehrlw.whu.com.        IN    A    194.88.103.30
obinktrd.whu.com.        IN    A    106.57.152.51
djymsiep.whu.com.        IN    A    81.12.0.127
hnjwlutb.whu.com.        IN    A    95.49.70.173
lotpsnrh.whu.com.        IN    A    53.147.157.36
xovnjdkh.whu.com.        IN    A    86.127.229.26
guadmkhe.whu.com.        IN    A    247.55.36.11
uwigbsac.whu.com.        IN    A    143.255.189.71
welyscva.whu.com.        IN    A    42.17.248.86
mxnelsjo.whu.com.        IN    A    14.146.231.200
kxnchtul.whu.com.        IN    A    114.161.194.234
kftcluro.whu.com.        IN    A    166.87.57.135
gudisnmp.whu.com.        IN    A    23.58.168.199
ufkyoqvr.whu.com.        IN    A    183.72.183.240
hilpybfd.whu.com.        IN    A    245.154.176.155
rhwkajnb.whu.com.        IN    A    79.254.134.214
gdtwbivh.whu.com.        IN    A    152.161.175.148
vqjmuyaf.whu.com.        IN    A    87.11.4.191
