; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR nju.com. @ns2.nju.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
nju.com.			      14400 IN NS	ns1.nju.com.
ns1.nju.com.			      14400 IN A	10.166.21.14

www.nju.com.		      14400 IN NS	ns1.www.nju.com.
ns1.www.nju.com.		      14400 IN A		10.166.21.15

software.nju.com.		      14400 IN NS	ns1.software.nju.com.
ns1.software.nju.com.		      14400 IN A		10.166.21.12

law.nju.com.		      14400 IN NS	ns1.law.nju.com.
ns1.law.nju.com.		      14400 IN A		10.166.21.13

nju.com.			      14400 IN MX	10 lawtp.nju.edu.
nju.com.			      14400 IN TXT	"v=spf1 a mx ~all"
fgcxmhui.nju.com.        IN    A    53.21.172.119
uxfebkag.nju.com.        IN    A    249.65.249.158
eaylnqwr.nju.com.        IN    A    235.91.11.59
kyhjwdib.nju.com.        IN    A    195.188.83.120
fhclsrpv.nju.com.        IN    A    217.150.179.87
oehrlkym.nju.com.        IN    A    130.64.93.77
dtfmshvk.nju.com.        IN    A    243.175.167.119
jybqogcd.nju.com.        IN    A    176.86.84.166
cvarnjhl.nju.com.        IN    A    138.230.226.159
xjtmienl.nju.com.        IN    A    238.92.162.147
fmlisaxu.nju.com.        IN    A    226.238.120.235
pthdoirm.nju.com.        IN    A    237.223.215.67
epngcwsr.nju.com.        IN    A    68.213.107.92
tlqpcsxn.nju.com.        IN    A    61.65.208.54
pqvyujns.nju.com.        IN    A    210.197.42.178
robqtieg.nju.com.        IN    A    56.3.8.177
icwvbdjk.nju.com.        IN    A    55.12.34.193
dfihuyog.nju.com.        IN    A    46.73.213.15
xqkwpolu.nju.com.        IN    A    126.31.150.28
wkjyleuf.nju.com.        IN    A    95.145.107.161
nqugfwhy.nju.com.        IN    A    198.80.51.225
tpvjwcgy.nju.com.        IN    A    173.83.254.245
ecqbfmgt.nju.com.        IN    A    146.68.14.1
guhsotln.nju.com.        IN    A    237.44.153.15
ayxdlrnj.nju.com.        IN    A    222.1.190.211
dioxpwyt.nju.com.        IN    A    158.199.195.209
kdcnbtsv.nju.com.        IN    A    56.137.212.255
ysockhxt.nju.com.        IN    A    136.39.236.116
mpjhigxc.nju.com.        IN    A    92.164.117.171
yvgodtlp.nju.com.        IN    A    160.40.221.160
obwuxrlv.nju.com.        IN    A    113.224.197.220
rbtnsqpu.nju.com.        IN    A    72.24.85.246
reuxmdbn.nju.com.        IN    A    174.208.190.43
cihtrbxn.nju.com.        IN    A    82.199.54.204
oyavgpkm.nju.com.        IN    A    46.149.147.226
hvcqtney.nju.com.        IN    A    167.219.101.67
akbqmsrc.nju.com.        IN    A    61.8.34.9
wymcnxlv.nju.com.        IN    A    138.244.121.148
wmitjdrk.nju.com.        IN    A    203.165.157.27
rkqapwvu.nju.com.        IN    A    31.147.234.76
tvnymqol.nju.com.        IN    A    11.171.96.119
exusvlaf.nju.com.        IN    A    53.28.255.248
kcghdjfs.nju.com.        IN    A    250.220.111.230
deavgnjw.nju.com.        IN    A    248.228.146.98
liesjnaw.nju.com.        IN    A    65.197.239.118
myqhdwpn.nju.com.        IN    A    147.219.197.233
kpdsxqbn.nju.com.        IN    A    73.89.107.75
pbnoqxva.nju.com.        IN    A    89.222.104.0
jgkdhiet.nju.com.        IN    A    190.116.114.192
mhcxpyqr.nju.com.        IN    A    45.21.104.172
ndprxjlu.nju.com.        IN    A    188.48.167.214
qrikduyg.nju.com.        IN    A    14.167.11.191
pvreykjx.nju.com.        IN    A    235.236.238.254
gyswxbqd.nju.com.        IN    A    247.153.165.126
ghoqsrpk.nju.com.        IN    A    53.57.213.250
oaknrjye.nju.com.        IN    A    103.171.213.220
qkodaywg.nju.com.        IN    A    142.121.49.53
sduigrhq.nju.com.        IN    A    214.124.139.100
mcfrnajo.nju.com.        IN    A    38.37.143.44
lhjtnugq.nju.com.        IN    A    125.93.16.181
elxyhkcp.nju.com.        IN    A    87.89.173.84
tfvmoxkr.nju.com.        IN    A    244.250.141.71
iomxdvyn.nju.com.        IN    A    208.152.157.203
etmkquhv.nju.com.        IN    A    208.101.189.215
pvedqxla.nju.com.        IN    A    155.11.106.90
mdvohalg.nju.com.        IN    A    16.247.73.177
cnsaevdp.nju.com.        IN    A    183.156.58.15
ugnqeotm.nju.com.        IN    A    169.126.163.104
kqrjalep.nju.com.        IN    A    214.192.97.80
sbwicdla.nju.com.        IN    A    206.131.104.158
xcvbrmlt.nju.com.        IN    A    54.79.165.53
hdwymles.nju.com.        IN    A    197.3.54.61
mabjuidw.nju.com.        IN    A    101.137.64.222
lrocatke.nju.com.        IN    A    135.231.215.150
tbgculay.nju.com.        IN    A    50.227.161.220
iofcwbgj.nju.com.        IN    A    192.62.246.224
rtnxuacm.nju.com.        IN    A    18.23.57.239
yqneoduv.nju.com.        IN    A    191.251.158.142
tqineysf.nju.com.        IN    A    140.0.220.73
acvwuxbs.nju.com.        IN    A    177.138.163.92
vhyxgmro.nju.com.        IN    A    112.215.249.243
gwuhinko.nju.com.        IN    A    241.126.102.33
abegufnp.nju.com.        IN    A    159.82.181.123
brmcuxhw.nju.com.        IN    A    93.38.154.212
vfebpuyr.nju.com.        IN    A    187.15.136.229
jlyknbde.nju.com.        IN    A    237.75.214.189
mxprkteh.nju.com.        IN    A    179.238.17.27
hpifkjcb.nju.com.        IN    A    153.26.159.162
dfointgr.nju.com.        IN    A    2.128.64.191
hunocqkg.nju.com.        IN    A    122.30.251.34
figmbawu.nju.com.        IN    A    54.133.48.126
lwbodnxu.nju.com.        IN    A    223.23.199.179
rtdgscif.nju.com.        IN    A    38.51.58.57
moybvqhl.nju.com.        IN    A    229.223.215.90
pehwgcdv.nju.com.        IN    A    200.240.211.217
utkjhvia.nju.com.        IN    A    154.64.193.107
umnebfhl.nju.com.        IN    A    237.150.228.242
wdvrisjh.nju.com.        IN    A    102.165.171.151
ftejisay.nju.com.        IN    A    31.152.8.207
axmdjcuf.nju.com.        IN    A    122.111.38.37
xyurdcev.nju.com.        IN    A    16.142.251.143
qncfvtys.nju.com.        IN    A    35.23.212.28
gjymnbcq.nju.com.        IN    A    98.6.217.187
fwhibnjk.nju.com.        IN    A    178.235.207.194
tqjsidbn.nju.com.        IN    A    135.84.134.252
nedbtfpu.nju.com.        IN    A    95.244.69.33
dnlecyfs.nju.com.        IN    A    243.0.167.200
jkeapcgr.nju.com.        IN    A    189.189.62.96
obxpsqhy.nju.com.        IN    A    184.25.117.73
qypedora.nju.com.        IN    A    97.67.216.204
dbhpixjl.nju.com.        IN    A    233.197.186.206
xaycmqvb.nju.com.        IN    A    24.120.120.226
ofgcpyuw.nju.com.        IN    A    21.173.47.124
jwodxpys.nju.com.        IN    A    175.159.146.166
ujcvwfhx.nju.com.        IN    A    29.6.151.141
lhduxfqb.nju.com.        IN    A    126.107.120.193
lvwamtdn.nju.com.        IN    A    235.184.42.113
piejwvah.nju.com.        IN    A    105.9.157.150
jkhluxqr.nju.com.        IN    A    138.1.215.78
sobuhrxy.nju.com.        IN    A    216.161.225.39
mtqhfajs.nju.com.        IN    A    167.230.65.140
mnivrpce.nju.com.        IN    A    4.134.246.139
yjvbolnu.nju.com.        IN    A    158.3.182.147
sjeyvbrp.nju.com.        IN    A    243.77.65.80
dnailxrs.nju.com.        IN    A    146.94.80.167
vpcqmxrj.nju.com.        IN    A    95.226.127.188
qamxyvwe.nju.com.        IN    A    128.141.101.92
pswraitl.nju.com.        IN    A    89.54.105.0
plnargmu.nju.com.        IN    A    195.164.188.102
cwovklsp.nju.com.        IN    A    57.25.201.55
emubvkxy.nju.com.        IN    A    21.123.140.212
mhcoatkr.nju.com.        IN    A    235.62.80.234
nxgcalbk.nju.com.        IN    A    13.197.1.171
srfcanbk.nju.com.        IN    A    16.170.89.85
ucxonmks.nju.com.        IN    A    34.252.216.181
vauftpyr.nju.com.        IN    A    202.77.174.83
vmocwthl.nju.com.        IN    A    32.127.27.17
qpohxbay.nju.com.        IN    A    19.225.167.97
uxorpqyg.nju.com.        IN    A    119.204.51.140
wlncqjak.nju.com.        IN    A    52.222.199.183
vwefjykd.nju.com.        IN    A    37.237.216.126
mnaijghl.nju.com.        IN    A    181.13.144.50
kthfmpvq.nju.com.        IN    A    222.131.248.126
diweyfub.nju.com.        IN    A    203.115.201.171
lbxpdqha.nju.com.        IN    A    139.90.26.137
scymojgl.nju.com.        IN    A    207.228.244.208
asholrci.nju.com.        IN    A    91.96.220.60
fqigsoxu.nju.com.        IN    A    227.164.74.88
ylrhisng.nju.com.        IN    A    3.234.188.84
onhicgew.nju.com.        IN    A    203.72.71.10
ytxndhgj.nju.com.        IN    A    181.110.144.48
ymndtvca.nju.com.        IN    A    82.18.80.165
juhaomqt.nju.com.        IN    A    49.46.101.121
olnphdsi.nju.com.        IN    A    89.152.115.216
wgfbucxm.nju.com.        IN    A    9.217.171.169
tolbnhuy.nju.com.        IN    A    84.138.96.124
ymuhkpig.nju.com.        IN    A    134.152.7.19
kfivqaog.nju.com.        IN    A    104.182.252.122
yshetnck.nju.com.        IN    A    183.16.166.226
kiscpyhl.nju.com.        IN    A    128.146.126.182
ovmkfgyi.nju.com.        IN    A    73.231.203.55
lserxqpf.nju.com.        IN    A    190.216.242.10
smjvknaw.nju.com.        IN    A    176.206.176.90
uilshwmq.nju.com.        IN    A    64.20.232.36
noiqdrsv.nju.com.        IN    A    157.141.17.35
dueqakif.nju.com.        IN    A    240.145.113.185
senwhocr.nju.com.        IN    A    65.108.152.183
wbtnmlcs.nju.com.        IN    A    143.17.252.101
ltimvfwb.nju.com.        IN    A    243.194.217.205
ulntgqyx.nju.com.        IN    A    165.108.225.220
ywcavbtu.nju.com.        IN    A    58.85.76.212
avmybxjn.nju.com.        IN    A    91.227.229.37
luymdqcs.nju.com.        IN    A    17.205.169.196
ynlaxtmw.nju.com.        IN    A    60.110.60.231
duhevbkj.nju.com.        IN    A    189.235.191.215
dlpsgtmi.nju.com.        IN    A    16.82.99.216
qbenvdwj.nju.com.        IN    A    181.191.53.216
olfjxske.nju.com.        IN    A    95.68.156.96
lnrichqy.nju.com.        IN    A    42.102.11.236
afkruxdc.nju.com.        IN    A    117.22.172.173
sbmwjlah.nju.com.        IN    A    220.35.55.189
neacgfyo.nju.com.        IN    A    226.174.252.150
pyfukwtl.nju.com.        IN    A    17.43.111.2
dctiqvyw.nju.com.        IN    A    191.44.226.51
mdgqjfsv.nju.com.        IN    A    14.34.95.170
xmafcwok.nju.com.        IN    A    99.94.44.166
rghdiouj.nju.com.        IN    A    90.206.203.168
rawjocve.nju.com.        IN    A    172.98.145.95
evkxcrqd.nju.com.        IN    A    121.12.51.21
sfnilbox.nju.com.        IN    A    77.130.226.73
ehwxgoly.nju.com.        IN    A    114.148.224.154
lcfpwugq.nju.com.        IN    A    7.51.225.6
oplsdgwq.nju.com.        IN    A    31.157.106.49
wljancmh.nju.com.        IN    A    225.8.205.133
sijwfpxo.nju.com.        IN    A    232.232.43.145
oxgtsypl.nju.com.        IN    A    169.138.155.75
kvlwqcep.nju.com.        IN    A    243.20.59.248
qhivdajp.nju.com.        IN    A    151.206.118.149
nfjupxci.nju.com.        IN    A    226.43.49.207
wrfphgec.nju.com.        IN    A    47.107.103.185
ycnbfxag.nju.com.        IN    A    186.89.154.244
roqhbaxt.nju.com.        IN    A    155.115.246.211
pcyrmhgi.nju.com.        IN    A    68.18.134.254
elymhdxc.nju.com.        IN    A    19.142.110.16
tpfobrhi.nju.com.        IN    A    144.150.45.212
swvbnrpj.nju.com.        IN    A    208.125.94.214
xbdjwvha.nju.com.        IN    A    97.123.227.188
sqkvxjou.nju.com.        IN    A    10.198.19.15
tuxfqbjd.nju.com.        IN    A    188.105.128.163
xfscptqv.nju.com.        IN    A    199.79.168.224
cvqldjbx.nju.com.        IN    A    232.180.18.52
okjesldp.nju.com.        IN    A    38.112.191.128
wjchyxos.nju.com.        IN    A    105.193.111.64
rfncdvok.nju.com.        IN    A    165.80.121.62
dcgmxwkq.nju.com.        IN    A    86.195.27.21
wnlfmchs.nju.com.        IN    A    236.179.229.126
dopyinel.nju.com.        IN    A    170.28.54.119
fdtkcnse.nju.com.        IN    A    142.222.90.228
sqdbocxj.nju.com.        IN    A    158.141.170.110
qendakuf.nju.com.        IN    A    18.186.8.128
hoerntqy.nju.com.        IN    A    19.61.225.225
dabvowsr.nju.com.        IN    A    96.191.32.170
xdapgbej.nju.com.        IN    A    124.145.13.250
lpdeigcs.nju.com.        IN    A    199.234.191.220
lwrajogx.nju.com.        IN    A    41.73.65.185
eyifxjmu.nju.com.        IN    A    109.121.35.75
wvjicrog.nju.com.        IN    A    110.34.197.200
aqyclvfx.nju.com.        IN    A    227.159.251.157
ekmxojun.nju.com.        IN    A    173.36.63.105
jfebqaht.nju.com.        IN    A    64.120.227.185
bjpdwrkx.nju.com.        IN    A    80.58.161.20
lsgftqhc.nju.com.        IN    A    151.199.167.171
uqawyvex.nju.com.        IN    A    242.38.234.48
vdtxwnmb.nju.com.        IN    A    33.68.152.96
fbldthcs.nju.com.        IN    A    193.123.173.233
mbvdjohs.nju.com.        IN    A    158.242.243.79
nadsojlp.nju.com.        IN    A    197.240.242.251
ndwuejih.nju.com.        IN    A    61.23.243.94
kwyabiho.nju.com.        IN    A    80.34.47.50
axbcjfqv.nju.com.        IN    A    148.92.40.182
kdhsuexn.nju.com.        IN    A    114.131.253.35
ekauqcjr.nju.com.        IN    A    211.33.110.236
hpmsweoc.nju.com.        IN    A    111.159.161.191
lvegbdjw.nju.com.        IN    A    233.245.215.186
iwrxbmad.nju.com.        IN    A    232.24.50.194
jumdogqk.nju.com.        IN    A    202.7.223.151
jgwktemv.nju.com.        IN    A    235.126.133.201
kxugstfw.nju.com.        IN    A    17.7.228.217
payrtxie.nju.com.        IN    A    55.240.105.29
qwsgkdji.nju.com.        IN    A    43.127.88.22
bcprnvuk.nju.com.        IN    A    249.51.142.80
gkpqiltm.nju.com.        IN    A    94.173.252.0
agpchils.nju.com.        IN    A    128.56.186.193
omkxdqvr.nju.com.        IN    A    105.230.14.208
rbncimfx.nju.com.        IN    A    236.4.82.102
vwrfbxng.nju.com.        IN    A    223.205.213.206
asinwdxo.nju.com.        IN    A    152.42.15.95
vlorejai.nju.com.        IN    A    13.201.68.29
onvgrxeb.nju.com.        IN    A    127.28.42.165
yiodwmec.nju.com.        IN    A    201.241.255.176
yhjqvlnx.nju.com.        IN    A    181.207.68.120
wxvtbkyc.nju.com.        IN    A    35.104.222.211
cxeorajm.nju.com.        IN    A    55.77.232.156
rtpjqhkg.nju.com.        IN    A    141.180.1.233
cnlsovfj.nju.com.        IN    A    94.156.107.123
elqwhdxk.nju.com.        IN    A    249.75.112.62
tbpvemdw.nju.com.        IN    A    165.70.152.134
rfsvyune.nju.com.        IN    A    19.94.176.149
efcwuvoi.nju.com.        IN    A    247.55.138.100
vdkpjmqg.nju.com.        IN    A    66.250.143.39
knfoegyd.nju.com.        IN    A    23.24.205.231
yojrnaqc.nju.com.        IN    A    229.177.94.106
bdlhpsfi.nju.com.        IN    A    104.22.75.246
eauboxrg.nju.com.        IN    A    82.10.64.102
qbmlpitu.nju.com.        IN    A    209.202.110.225
nodsvkhl.nju.com.        IN    A    198.36.195.101
fdkbyipo.nju.com.        IN    A    41.56.68.27
cqbuhjif.nju.com.        IN    A    127.134.177.221
dfmwclnk.nju.com.        IN    A    158.199.206.20
aniupsqm.nju.com.        IN    A    173.7.47.165
kloaxnpr.nju.com.        IN    A    225.229.162.192
gxtinhyo.nju.com.        IN    A    198.124.147.175
idreqtos.nju.com.        IN    A    252.131.249.130
avfbjhwq.nju.com.        IN    A    234.42.150.185
bsrqmxou.nju.com.        IN    A    85.7.81.107
ysfugdmh.nju.com.        IN    A    235.59.9.9
siatbgjx.nju.com.        IN    A    254.67.153.239
hngjdvfx.nju.com.        IN    A    139.167.224.107
cykiquaf.nju.com.        IN    A    110.101.59.98
oaerknuy.nju.com.        IN    A    186.95.197.124
fkuesown.nju.com.        IN    A    161.218.238.194
vebqfxkr.nju.com.        IN    A    195.111.45.156
uhteobjg.nju.com.        IN    A    100.154.43.169
eqapdfci.nju.com.        IN    A    229.195.37.62
cbqvjlxu.nju.com.        IN    A    80.186.244.176
qykjtxue.nju.com.        IN    A    202.244.36.91
yguifdeq.nju.com.        IN    A    54.153.204.90
joqxbrgd.nju.com.        IN    A    244.255.90.91
cinlekhd.nju.com.        IN    A    120.83.198.244
ixrgnodb.nju.com.        IN    A    65.107.128.187
fkergpcs.nju.com.        IN    A    159.220.233.80
asucilyp.nju.com.        IN    A    115.101.247.69
uvtalhcy.nju.com.        IN    A    211.4.13.81
qfbapcwk.nju.com.        IN    A    186.151.40.191
mgoxpraj.nju.com.        IN    A    29.171.221.2
wbxfpksv.nju.com.        IN    A    88.72.185.84
ywndesxb.nju.com.        IN    A    156.182.135.146
eaxjhwpu.nju.com.        IN    A    4.157.145.216
icabgehr.nju.com.        IN    A    253.93.163.187
qadlsrgo.nju.com.        IN    A    253.11.28.55
febvpngk.nju.com.        IN    A    131.82.86.68
kxiuqtrj.nju.com.        IN    A    0.33.70.65
itrdnvps.nju.com.        IN    A    134.119.195.94
yrvxqlkj.nju.com.        IN    A    223.214.240.196
qpihjkfl.nju.com.        IN    A    59.200.68.65
fxbslapd.nju.com.        IN    A    137.20.140.129
mxaepgft.nju.com.        IN    A    90.72.144.55
kejluxdr.nju.com.        IN    A    112.9.53.236
rawufpsh.nju.com.        IN    A    236.196.253.158
wgalcdbu.nju.com.        IN    A    149.171.245.55
utkdberc.nju.com.        IN    A    124.132.173.100
yjwxksfi.nju.com.        IN    A    150.232.125.175
plchjexy.nju.com.        IN    A    159.200.103.42
psrdjhfv.nju.com.        IN    A    132.194.73.164
trpimsxa.nju.com.        IN    A    20.110.147.76
wpvhlgsq.nju.com.        IN    A    56.165.249.27
nsadrwiu.nju.com.        IN    A    145.146.134.187
vtxdhsei.nju.com.        IN    A    133.25.115.153
pxkhuntq.nju.com.        IN    A    116.77.167.207
ultfayiv.nju.com.        IN    A    16.7.1.48
uecirbyj.nju.com.        IN    A    73.60.17.37
cobeurks.nju.com.        IN    A    220.69.224.148
apbcediu.nju.com.        IN    A    113.92.202.198
kfaputcj.nju.com.        IN    A    155.147.210.179
dotnwkqr.nju.com.        IN    A    66.230.25.24
mhylgpdx.nju.com.        IN    A    215.228.187.36
giypjrve.nju.com.        IN    A    76.160.137.189
juesahko.nju.com.        IN    A    166.49.224.197
yjcdpvls.nju.com.        IN    A    250.44.205.226
fpjongqt.nju.com.        IN    A    83.147.228.101
mrgsbupd.nju.com.        IN    A    191.78.14.149
xbradlqm.nju.com.        IN    A    205.189.208.120
dqchvguf.nju.com.        IN    A    48.50.201.92
ghapjocb.nju.com.        IN    A    142.193.132.197
xdjwapsl.nju.com.        IN    A    241.168.80.120
icnwgxue.nju.com.        IN    A    237.76.81.171
qwvgunyf.nju.com.        IN    A    37.172.8.150
ncedwyhl.nju.com.        IN    A    102.177.204.108
kyscodxa.nju.com.        IN    A    157.14.29.223
cdqpuhev.nju.com.        IN    A    105.221.247.241
hsawivpq.nju.com.        IN    A    177.127.17.208
pbhonuwr.nju.com.        IN    A    145.180.107.42
naydesvm.nju.com.        IN    A    236.140.109.105
pefbiknr.nju.com.        IN    A    77.14.146.145
fdmkanry.nju.com.        IN    A    211.57.164.76
lpdtqywi.nju.com.        IN    A    146.104.54.136
lputxgqk.nju.com.        IN    A    244.16.82.30
yeshmqxn.nju.com.        IN    A    176.234.211.112
mlhreafg.nju.com.        IN    A    246.176.133.194
ludbpjsf.nju.com.        IN    A    120.179.30.234
aeruwpvc.nju.com.        IN    A    151.56.215.189
cxqemhnb.nju.com.        IN    A    132.15.141.62
cgotfpri.nju.com.        IN    A    11.173.208.109
xedkpulb.nju.com.        IN    A    177.63.240.107
xvgtpkie.nju.com.        IN    A    147.240.39.62
ednqspag.nju.com.        IN    A    113.32.232.251
joicmfpu.nju.com.        IN    A    19.203.44.253
cgjarqks.nju.com.        IN    A    237.14.175.143
cdoeghpa.nju.com.        IN    A    22.61.67.117
fdurctbk.nju.com.        IN    A    156.25.44.35
qvudpcwe.nju.com.        IN    A    213.206.229.7
qbkhyjpo.nju.com.        IN    A    151.54.179.115
sjqokdur.nju.com.        IN    A    224.115.161.109
pgubdanf.nju.com.        IN    A    104.246.201.235
kjhvxtwo.nju.com.        IN    A    154.165.5.255
yxvmbqac.nju.com.        IN    A    5.252.188.8
ymgofjlq.nju.com.        IN    A    6.56.21.78
ogujheay.nju.com.        IN    A    85.126.105.70
inqgaerh.nju.com.        IN    A    194.190.232.246
mhojsfvk.nju.com.        IN    A    202.165.12.121
uwaevlyn.nju.com.        IN    A    46.74.23.132
fpmqeilg.nju.com.        IN    A    207.146.152.222
oabvpwrf.nju.com.        IN    A    110.239.134.210
vrgoifaw.nju.com.        IN    A    61.165.78.47
pngfcljd.nju.com.        IN    A    136.110.244.226
ndwyuvqg.nju.com.        IN    A    253.105.112.15
coriqtfy.nju.com.        IN    A    142.133.144.136
gmtjwhrk.nju.com.        IN    A    153.209.4.103
irtsgeuh.nju.com.        IN    A    164.31.71.97
copbqhiy.nju.com.        IN    A    10.13.92.205
hpjdbuiv.nju.com.        IN    A    183.13.175.197
wcfgsyrv.nju.com.        IN    A    9.191.19.254
lfqnxvbo.nju.com.        IN    A    255.133.34.136
dqmwpbhs.nju.com.        IN    A    245.215.147.244
jndrguao.nju.com.        IN    A    224.238.151.156
xjvrdgnc.nju.com.        IN    A    125.112.19.200
rkgaoqtb.nju.com.        IN    A    153.185.231.174
ljtnhdcr.nju.com.        IN    A    92.25.147.14
ptoeukir.nju.com.        IN    A    144.2.127.134
rjsdxote.nju.com.        IN    A    192.109.124.188
wtnaqlvp.nju.com.        IN    A    29.37.36.207
ywgpquvd.nju.com.        IN    A    18.68.98.42
cimxdbft.nju.com.        IN    A    178.44.80.92
bvstqxpd.nju.com.        IN    A    170.115.165.117
bcekriou.nju.com.        IN    A    68.61.211.215
msveaqco.nju.com.        IN    A    81.24.228.26
slykfjcr.nju.com.        IN    A    51.134.76.160
yaxghjsq.nju.com.        IN    A    145.139.60.180
ireluxpj.nju.com.        IN    A    188.168.131.60
sekjxdfy.nju.com.        IN    A    201.51.95.97
dgerhcpu.nju.com.        IN    A    184.250.58.52
tquhbdmn.nju.com.        IN    A    97.181.79.93
rgjkvoum.nju.com.        IN    A    143.9.162.178
bpkdxahv.nju.com.        IN    A    255.47.110.160
ecwbxski.nju.com.        IN    A    104.184.172.21
avkinmyp.nju.com.        IN    A    241.125.55.50
lyfhoxgj.nju.com.        IN    A    73.220.44.184
vnqprjwk.nju.com.        IN    A    245.51.72.84
cbyguqfk.nju.com.        IN    A    16.89.225.255
cmtqvpjr.nju.com.        IN    A    25.10.219.50
rhjmfubv.nju.com.        IN    A    54.36.233.224
rpuseaiy.nju.com.        IN    A    220.174.254.222
ngtsjodx.nju.com.        IN    A    156.248.253.230
ebkoyqsc.nju.com.        IN    A    122.66.18.82
jhwapsbe.nju.com.        IN    A    9.2.111.188
gtcposub.nju.com.        IN    A    120.175.183.138
gwcokrsf.nju.com.        IN    A    244.149.92.163
vjdqrlac.nju.com.        IN    A    124.41.133.143
qaosmjil.nju.com.        IN    A    27.144.228.179
hvjykabl.nju.com.        IN    A    208.170.215.147
vxpnsiul.nju.com.        IN    A    229.246.82.31
nwrdlqkv.nju.com.        IN    A    1.226.33.30
fleiaskx.nju.com.        IN    A    34.229.146.130
gevknryj.nju.com.        IN    A    112.93.103.194
xjrpodik.nju.com.        IN    A    142.9.45.126
ljedntwv.nju.com.        IN    A    158.122.110.86
ketmqdna.nju.com.        IN    A    57.66.107.16
fumqtpbd.nju.com.        IN    A    187.240.188.119
dewrsotf.nju.com.        IN    A    247.11.20.229
cifsavpd.nju.com.        IN    A    163.220.124.160
kuobesgp.nju.com.        IN    A    163.225.85.170
sfecrwjg.nju.com.        IN    A    159.88.134.174
pusvgkqt.nju.com.        IN    A    44.252.121.41
emyfutdg.nju.com.        IN    A    158.95.99.89
tuspfhma.nju.com.        IN    A    179.158.94.16
lcqsynwr.nju.com.        IN    A    152.107.201.127
iwndcljo.nju.com.        IN    A    107.187.155.137
gevhtjid.nju.com.        IN    A    108.26.74.34
oiqpfgta.nju.com.        IN    A    126.150.213.100
fckqojax.nju.com.        IN    A    103.109.249.137
sndxeayh.nju.com.        IN    A    106.166.85.250
iueojxkb.nju.com.        IN    A    133.213.15.159
cwfjlyog.nju.com.        IN    A    250.74.176.145
umribkwv.nju.com.        IN    A    232.22.21.142
tyrwphqk.nju.com.        IN    A    224.127.144.126
eklmhxtr.nju.com.        IN    A    189.203.5.122
tqlpmcna.nju.com.        IN    A    123.25.111.132
gmnlvwjh.nju.com.        IN    A    159.58.154.111
jnwxafue.nju.com.        IN    A    38.160.135.21
mbotspgf.nju.com.        IN    A    110.141.24.183
tdliobcg.nju.com.        IN    A    52.125.252.190
pviecjhw.nju.com.        IN    A    206.117.90.143
xdtmeaos.nju.com.        IN    A    179.136.208.201
eildkfhv.nju.com.        IN    A    55.14.218.244
jwmrkagl.nju.com.        IN    A    147.139.120.95
uofsaxtc.nju.com.        IN    A    124.58.13.143
gevfnirl.nju.com.        IN    A    80.81.20.86
qhylibsv.nju.com.        IN    A    160.189.60.163
oipkvarq.nju.com.        IN    A    93.233.136.228
juhylcig.nju.com.        IN    A    226.142.144.89
rmcwovyd.nju.com.        IN    A    62.162.70.177
nytvqmpo.nju.com.        IN    A    227.17.41.195
wmpkuaif.nju.com.        IN    A    64.32.117.184
mngbcrhk.nju.com.        IN    A    134.61.43.117
lejtpxrf.nju.com.        IN    A    248.136.241.59
vwebcqkn.nju.com.        IN    A    242.204.93.159
gmupvcin.nju.com.        IN    A    105.148.122.161
mbahwktu.nju.com.        IN    A    105.239.211.71
munsvbfx.nju.com.        IN    A    222.84.220.191
mqndriwo.nju.com.        IN    A    35.20.222.63
vtaqfmio.nju.com.        IN    A    167.145.107.49
xfkcdlpt.nju.com.        IN    A    131.102.194.164
shjnrlyd.nju.com.        IN    A    96.250.157.227
rulvdtcx.nju.com.        IN    A    244.27.51.115
qhobwemr.nju.com.        IN    A    68.52.223.206
mlqgkxtb.nju.com.        IN    A    141.254.119.113
fiuxayhn.nju.com.        IN    A    100.102.4.43
mobxcidu.nju.com.        IN    A    214.110.41.64
adbimveq.nju.com.        IN    A    22.202.133.12
wduvqkfl.nju.com.        IN    A    197.20.245.38
oxqebcni.nju.com.        IN    A    21.161.101.193
wpdtxjqy.nju.com.        IN    A    69.97.209.84
oacwxjtv.nju.com.        IN    A    217.232.189.25
bwqeprix.nju.com.        IN    A    94.20.247.202
tpnywred.nju.com.        IN    A    64.76.210.138
feqnchlv.nju.com.        IN    A    163.55.84.98
vrjaxskh.nju.com.        IN    A    215.204.99.120
sytklgwd.nju.com.        IN    A    19.175.99.210
qgfkwhlr.nju.com.        IN    A    116.122.1.84
hslktomb.nju.com.        IN    A    251.220.182.219
khoguedi.nju.com.        IN    A    20.129.228.180
bwyctsrf.nju.com.        IN    A    147.121.151.157
bmepfnyw.nju.com.        IN    A    200.6.133.157
lcjonrtp.nju.com.        IN    A    80.48.161.251
nlagpftu.nju.com.        IN    A    144.165.138.206
qrcpafhn.nju.com.        IN    A    113.185.254.81
nwyqxpsu.nju.com.        IN    A    79.223.235.38
uvicjhoa.nju.com.        IN    A    50.126.176.146
wsgxjmhp.nju.com.        IN    A    11.135.118.0
mcsuvdxl.nju.com.        IN    A    98.235.226.133
gfckqrxv.nju.com.        IN    A    122.67.180.215
itdlsrph.nju.com.        IN    A    65.180.20.57
