www.tju.com. 	14400	IN	SOA	ns1.www.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
www.tju.com.		    IN	NS ns1.www.tju.com.
mhgwuncl.www.tju.com.    IN    A    95.160.16.95
lgwcraud.www.tju.com.    IN    A    112.113.147.60
gwryxmvn.www.tju.com.    IN    A    71.43.111.118
mbfoajpq.www.tju.com.    IN    A    33.6.184.139
rmfsuxgn.www.tju.com.    IN    A    173.175.179.33
eqvslxhb.www.tju.com.    IN    A    33.232.99.227
knuxprmv.www.tju.com.    IN    A    244.116.144.222
hwcrqode.www.tju.com.    IN    A    41.37.147.48
dvkqmong.www.tju.com.    IN    A    131.253.253.53
aluntiwy.www.tju.com.    IN    A    216.25.163.185
lgkqefxt.www.tju.com.    IN    A    116.88.24.227
idtwxmlb.www.tju.com.    IN    A    68.187.248.176
gcvdlkob.www.tju.com.    IN    A    253.129.146.211
avtnhpyg.www.tju.com.    IN    A    9.255.187.244
mqrvjhyo.www.tju.com.    IN    A    249.210.142.215
autcxbrf.www.tju.com.    IN    A    184.18.201.150
cmwfnvqu.www.tju.com.    IN    A    215.196.80.252
xgarlsuk.www.tju.com.    IN    A    20.78.190.76
kuecsdla.www.tju.com.    IN    A    244.30.179.240
npfauvoq.www.tju.com.    IN    A    237.73.59.22
vlrmhigo.www.tju.com.    IN    A    153.131.149.26
gpfilrom.www.tju.com.    IN    A    216.8.156.158
bpkrvgfo.www.tju.com.    IN    A    12.235.67.207
nailswto.www.tju.com.    IN    A    229.250.136.69
ctnufakm.www.tju.com.    IN    A    251.88.198.65
fgbwmyet.www.tju.com.    IN    A    173.135.242.249
icwsfhbg.www.tju.com.    IN    A    52.188.124.197
roeyaftj.www.tju.com.    IN    A    248.117.230.98
gbmfcxql.www.tju.com.    IN    A    203.173.55.87
tmvhofnd.www.tju.com.    IN    A    16.144.21.67
dmfpqyjc.www.tju.com.    IN    A    41.211.194.201
tyknruhb.www.tju.com.    IN    A    157.110.205.213
lojbumxg.www.tju.com.    IN    A    249.53.48.213
agqhxtjd.www.tju.com.    IN    A    79.113.185.130
dtjnmkef.www.tju.com.    IN    A    213.128.107.68
erlbpokd.www.tju.com.    IN    A    107.56.50.46
gqdsclwv.www.tju.com.    IN    A    160.22.150.99
pkuqdtla.www.tju.com.    IN    A    133.38.23.110
tcxdpvaj.www.tju.com.    IN    A    98.177.116.96
rxuhmnqf.www.tju.com.    IN    A    251.121.13.6
bugyfhoa.www.tju.com.    IN    A    106.35.114.159
qwvfxlst.www.tju.com.    IN    A    165.26.196.184
uyokxalw.www.tju.com.    IN    A    184.136.114.165
aiewvpnh.www.tju.com.    IN    A    88.45.126.227
lbgrsqkc.www.tju.com.    IN    A    160.140.185.225
asebvnmi.www.tju.com.    IN    A    197.23.119.253
qogjfmxc.www.tju.com.    IN    A    203.174.6.183
uefaywrb.www.tju.com.    IN    A    95.225.6.23
ungeoxqm.www.tju.com.    IN    A    159.4.63.151
tsdagrln.www.tju.com.    IN    A    26.116.116.213
ydifopuh.www.tju.com.    IN    A    56.61.63.235
fbakromi.www.tju.com.    IN    A    75.128.82.173
cipdylqr.www.tju.com.    IN    A    81.153.241.75
wqljvygc.www.tju.com.    IN    A    242.210.157.226
ksfaeyih.www.tju.com.    IN    A    221.154.203.170
dejwokyb.www.tju.com.    IN    A    215.106.100.208
yrgukebd.www.tju.com.    IN    A    38.37.6.235
pmgcjiqh.www.tju.com.    IN    A    51.139.147.142
gjayoipw.www.tju.com.    IN    A    147.49.120.240
rafopqgs.www.tju.com.    IN    A    119.49.52.111
avqrhudw.www.tju.com.    IN    A    241.246.168.101
viydamfc.www.tju.com.    IN    A    66.154.126.234
cbkneuhr.www.tju.com.    IN    A    147.58.50.243
mpuqkgvl.www.tju.com.    IN    A    218.221.8.247
neckroqs.www.tju.com.    IN    A    25.114.123.91
jfmorqnk.www.tju.com.    IN    A    130.238.167.53
ugspmaot.www.tju.com.    IN    A    154.92.211.252
xlfyicgr.www.tju.com.    IN    A    184.41.8.206
merfqckw.www.tju.com.    IN    A    237.193.245.133
xvqrwnif.www.tju.com.    IN    A    123.22.249.15
mirgnyhf.www.tju.com.    IN    A    6.233.154.64
mtvjuoli.www.tju.com.    IN    A    189.179.194.140
riodxqjb.www.tju.com.    IN    A    208.159.149.19
tkqivcma.www.tju.com.    IN    A    118.113.48.62
wnrmjhgq.www.tju.com.    IN    A    97.143.18.142
pqcafhtv.www.tju.com.    IN    A    122.30.230.236
nawyuhdk.www.tju.com.    IN    A    95.66.228.222
nulihfjx.www.tju.com.    IN    A    119.116.161.125
afdhieqb.www.tju.com.    IN    A    110.218.76.131
msabghfj.www.tju.com.    IN    A    92.155.12.111
yjhpfglk.www.tju.com.    IN    A    29.76.91.28
bkhawutq.www.tju.com.    IN    A    235.47.129.92
kfhrqmvd.www.tju.com.    IN    A    138.120.22.62
gxvcdpea.www.tju.com.    IN    A    249.37.229.244
lswerkpq.www.tju.com.    IN    A    169.93.213.12
tfhyauxo.www.tju.com.    IN    A    243.107.236.237
jyicgvtf.www.tju.com.    IN    A    70.204.154.152
exavfcun.www.tju.com.    IN    A    97.50.168.81
lrwebonv.www.tju.com.    IN    A    186.248.226.58
dqtyscku.www.tju.com.    IN    A    134.48.151.38
vnwehixo.www.tju.com.    IN    A    127.18.84.208
nlarpqbo.www.tju.com.    IN    A    88.200.220.188
auojtysl.www.tju.com.    IN    A    149.92.192.121
rcfxentw.www.tju.com.    IN    A    39.74.1.106
buydafso.www.tju.com.    IN    A    190.95.103.10
rwhounka.www.tju.com.    IN    A    231.96.238.34
xoncgwtd.www.tju.com.    IN    A    143.17.215.55
ofqaubjg.www.tju.com.    IN    A    116.6.235.45
vjlusdax.www.tju.com.    IN    A    145.221.108.46
molgsbpf.www.tju.com.    IN    A    105.69.70.252
pjroclmt.www.tju.com.    IN    A    134.28.178.196
slebuaqy.www.tju.com.    IN    A    255.75.36.14
aikhtvnr.www.tju.com.    IN    A    184.60.115.62
nfkwcpyt.www.tju.com.    IN    A    143.40.83.228
ndtpqhkg.www.tju.com.    IN    A    129.248.50.208
clpvygij.www.tju.com.    IN    A    169.85.89.108
ylpumsqc.www.tju.com.    IN    A    42.255.125.236
mcraegfq.www.tju.com.    IN    A    78.109.86.21
kabfpxsr.www.tju.com.    IN    A    38.116.15.232
xlkadtbm.www.tju.com.    IN    A    3.16.92.137
hdnfpmev.www.tju.com.    IN    A    14.201.184.146
leaouvjb.www.tju.com.    IN    A    157.114.183.19
kelthxdp.www.tju.com.    IN    A    210.255.244.59
hycnvekl.www.tju.com.    IN    A    57.52.139.111
srijypat.www.tju.com.    IN    A    132.159.99.100
vtrgkdcx.www.tju.com.    IN    A    152.118.103.160
kmlgbihu.www.tju.com.    IN    A    50.132.37.120
gadoriuy.www.tju.com.    IN    A    170.146.146.117
wibopgks.www.tju.com.    IN    A    97.92.127.204
xvcnbmrq.www.tju.com.    IN    A    194.168.162.76
lpdrywuv.www.tju.com.    IN    A    207.62.36.175
obkyvenj.www.tju.com.    IN    A    230.224.57.250
wlbgofjq.www.tju.com.    IN    A    12.86.123.213
htirflga.www.tju.com.    IN    A    6.25.35.147
jnxtivsq.www.tju.com.    IN    A    147.50.108.235
flxkmbtw.www.tju.com.    IN    A    30.34.3.248
jmdpiqsf.www.tju.com.    IN    A    36.108.222.134
irpgyudm.www.tju.com.    IN    A    196.236.39.218
vrobjqlf.www.tju.com.    IN    A    135.52.1.199
jbdioyml.www.tju.com.    IN    A    183.135.9.66
bxjyalpk.www.tju.com.    IN    A    7.30.34.13
jnqrktia.www.tju.com.    IN    A    223.160.131.103
kptqyrca.www.tju.com.    IN    A    116.242.218.187
chaelgkt.www.tju.com.    IN    A    221.215.8.112
urfdyavs.www.tju.com.    IN    A    129.10.221.197
tvohadyi.www.tju.com.    IN    A    19.241.244.232
prbocvua.www.tju.com.    IN    A    130.108.251.107
icfshrqm.www.tju.com.    IN    A    199.153.79.21
gcuoeihm.www.tju.com.    IN    A    59.116.215.12
cbehjqyi.www.tju.com.    IN    A    60.156.16.135
euwsifxl.www.tju.com.    IN    A    180.227.101.37
ykmujdvw.www.tju.com.    IN    A    189.63.134.120
vnbxuhrd.www.tju.com.    IN    A    230.13.164.188
wjsunarl.www.tju.com.    IN    A    43.17.155.176
vwuxceta.www.tju.com.    IN    A    72.216.209.90
dircnlts.www.tju.com.    IN    A    144.113.105.112
xkqidwao.www.tju.com.    IN    A    153.215.64.41
qyfpxscm.www.tju.com.    IN    A    142.122.74.205
gjlenwqf.www.tju.com.    IN    A    159.196.183.28
iucbtxry.www.tju.com.    IN    A    1.63.254.233
fuieysqp.www.tju.com.    IN    A    154.155.2.241
rdyvafik.www.tju.com.    IN    A    144.79.191.235
rpbjmqoa.www.tju.com.    IN    A    157.83.113.224
idvwgrxu.www.tju.com.    IN    A    124.160.241.188
axmlcyoq.www.tju.com.    IN    A    217.207.168.255
jgkhrlqa.www.tju.com.    IN    A    193.125.140.173
iueklgxw.www.tju.com.    IN    A    150.190.190.40
bgwitkfa.www.tju.com.    IN    A    114.188.181.100
eajhpugs.www.tju.com.    IN    A    232.172.97.211
qxysoutb.www.tju.com.    IN    A    185.162.171.227
foplagvx.www.tju.com.    IN    A    158.215.69.41
lhsxrjmk.www.tju.com.    IN    A    179.167.5.130
kxsyifco.www.tju.com.    IN    A    99.78.119.118
psfrtumo.www.tju.com.    IN    A    113.239.244.233
bnivjwxh.www.tju.com.    IN    A    217.191.186.47
vomharex.www.tju.com.    IN    A    148.111.45.98
vnlrdcgm.www.tju.com.    IN    A    99.173.43.228
pvlngqse.www.tju.com.    IN    A    222.56.123.10
lsdgpxak.www.tju.com.    IN    A    80.250.165.242
iupxrfhs.www.tju.com.    IN    A    89.46.106.138
ptldmgca.www.tju.com.    IN    A    252.117.243.204
wuegoqif.www.tju.com.    IN    A    127.207.106.203
kaybldgc.www.tju.com.    IN    A    166.73.87.6
wojislcg.www.tju.com.    IN    A    209.195.113.112
myirelwf.www.tju.com.    IN    A    218.145.100.93
heajimsb.www.tju.com.    IN    A    145.130.204.100
fcdiespa.www.tju.com.    IN    A    219.31.245.10
yuqepfkc.www.tju.com.    IN    A    217.57.177.75
xwtqgmjl.www.tju.com.    IN    A    208.193.105.126
fohcdtuy.www.tju.com.    IN    A    232.71.62.2
ugxdeylj.www.tju.com.    IN    A    230.232.88.141
nvjxlqdm.www.tju.com.    IN    A    104.24.166.234
lucgrmjw.www.tju.com.    IN    A    66.216.20.29
lkemntyh.www.tju.com.    IN    A    54.47.235.239
ktahbier.www.tju.com.    IN    A    130.164.144.34
cvwaxbkr.www.tju.com.    IN    A    247.212.133.23
tvslbcem.www.tju.com.    IN    A    210.55.62.144
soailgdf.www.tju.com.    IN    A    43.110.170.152
mqutkndv.www.tju.com.    IN    A    195.82.128.32
tpqakbxj.www.tju.com.    IN    A    23.53.231.120
gcsqotke.www.tju.com.    IN    A    159.27.234.115
ywbrepuh.www.tju.com.    IN    A    243.195.202.144
nhtgsjdk.www.tju.com.    IN    A    35.21.179.36
hqlibtsd.www.tju.com.    IN    A    84.125.203.159
ujvktnfm.www.tju.com.    IN    A    9.175.28.55
caqtnply.www.tju.com.    IN    A    244.171.98.120
egiktbnj.www.tju.com.    IN    A    169.56.77.153
axmysqrh.www.tju.com.    IN    A    68.236.11.223
vxqhfcis.www.tju.com.    IN    A    27.108.7.96
otrhmikw.www.tju.com.    IN    A    25.223.128.224
smwcntkh.www.tju.com.    IN    A    5.123.20.94
tubqglao.www.tju.com.    IN    A    158.29.178.13
knrbeiul.www.tju.com.    IN    A    161.211.138.186
qtlfwcen.www.tju.com.    IN    A    208.155.130.22
hgoxruye.www.tju.com.    IN    A    234.38.169.26
csjuthvx.www.tju.com.    IN    A    21.132.90.128
xmwfutkg.www.tju.com.    IN    A    143.177.53.189
yadcsubq.www.tju.com.    IN    A    111.158.16.106
wpteocnq.www.tju.com.    IN    A    170.254.182.251
rwstdlbk.www.tju.com.    IN    A    95.238.37.38
fowhvtpj.www.tju.com.    IN    A    215.72.76.95
qjnapxge.www.tju.com.    IN    A    151.170.243.230
mldebnoh.www.tju.com.    IN    A    175.112.179.171
ltrawuvh.www.tju.com.    IN    A    71.187.168.204
adwlucoy.www.tju.com.    IN    A    33.129.3.44
mcorukgt.www.tju.com.    IN    A    25.22.32.119
hkndfrai.www.tju.com.    IN    A    151.110.151.138
xjsifvwq.www.tju.com.    IN    A    38.207.2.128
nuxefrgc.www.tju.com.    IN    A    4.66.174.135
dpsclfqm.www.tju.com.    IN    A    64.40.27.215
knopgmvc.www.tju.com.    IN    A    201.148.214.96
omdslqup.www.tju.com.    IN    A    144.113.164.191
ckfpiqwr.www.tju.com.    IN    A    67.140.69.185
lchspfum.www.tju.com.    IN    A    135.157.194.80
jeyvwxmg.www.tju.com.    IN    A    204.200.112.2
fbekpotw.www.tju.com.    IN    A    26.208.61.191
rmvcnghl.www.tju.com.    IN    A    7.219.34.170
tpqokbnl.www.tju.com.    IN    A    152.2.66.65
ualdjwkb.www.tju.com.    IN    A    149.248.58.99
ndxpuglt.www.tju.com.    IN    A    36.254.38.163
xcoeigwj.www.tju.com.    IN    A    170.6.32.75
iheqtuxl.www.tju.com.    IN    A    96.1.157.81
ulnsvbjd.www.tju.com.    IN    A    98.78.82.26
fjviqyax.www.tju.com.    IN    A    40.39.132.251
pemuxdnw.www.tju.com.    IN    A    143.107.40.50
eiwhuovf.www.tju.com.    IN    A    47.160.96.120
wydslkxe.www.tju.com.    IN    A    78.247.211.102
oejmvktw.www.tju.com.    IN    A    154.82.14.129
elsxnqtc.www.tju.com.    IN    A    112.79.67.67
xcgvrpil.www.tju.com.    IN    A    120.173.62.134
bcpnerow.www.tju.com.    IN    A    144.246.211.232
hoaljxnc.www.tju.com.    IN    A    54.194.6.97
wmfdbvgs.www.tju.com.    IN    A    165.194.213.155
bmksogfy.www.tju.com.    IN    A    146.120.46.101
bmaplngw.www.tju.com.    IN    A    213.172.214.238
tcbvsqnx.www.tju.com.    IN    A    34.131.164.102
oeydsmja.www.tju.com.    IN    A    184.166.253.174
tpukboly.www.tju.com.    IN    A    122.122.168.87
ntgyfklr.www.tju.com.    IN    A    109.203.75.52
xvboqlms.www.tju.com.    IN    A    207.90.76.19
hmsenwil.www.tju.com.    IN    A    146.196.126.60
wlbuhscx.www.tju.com.    IN    A    168.76.245.86
purioglv.www.tju.com.    IN    A    204.33.131.179
rjqiteyv.www.tju.com.    IN    A    190.104.180.111
bnrsaucp.www.tju.com.    IN    A    250.43.90.165
rlaoqvdn.www.tju.com.    IN    A    13.162.48.253
pbdjnaiy.www.tju.com.    IN    A    163.148.114.147
arqifkld.www.tju.com.    IN    A    58.64.27.241
wbyulrgd.www.tju.com.    IN    A    5.118.80.232
rciduxbg.www.tju.com.    IN    A    84.128.137.45
ythfnudm.www.tju.com.    IN    A    163.96.191.17
ibklagqt.www.tju.com.    IN    A    148.201.249.202
juhgroqn.www.tju.com.    IN    A    102.200.93.158
bcemvdnw.www.tju.com.    IN    A    243.122.140.99
ybldwgjh.www.tju.com.    IN    A    114.32.223.233
bprnkqlc.www.tju.com.    IN    A    114.198.0.21
uvopiwar.www.tju.com.    IN    A    227.7.68.127
gdmlwnop.www.tju.com.    IN    A    39.125.33.214
xfgvnkhy.www.tju.com.    IN    A    140.87.218.57
lqgcobvw.www.tju.com.    IN    A    196.15.215.22
dygnavwp.www.tju.com.    IN    A    91.183.181.220
oewqnthj.www.tju.com.    IN    A    98.155.93.237
liqwdtbc.www.tju.com.    IN    A    180.132.227.72
gpteymda.www.tju.com.    IN    A    233.207.223.147
qhyvkxaf.www.tju.com.    IN    A    70.95.3.72
ksnfvmjx.www.tju.com.    IN    A    117.59.150.217
jaerikmn.www.tju.com.    IN    A    49.138.146.103
awfvdtre.www.tju.com.    IN    A    82.146.201.227
cpflrvbo.www.tju.com.    IN    A    90.181.224.154
guhprdyn.www.tju.com.    IN    A    66.249.144.192
stklcned.www.tju.com.    IN    A    51.139.37.139
pnqevbjd.www.tju.com.    IN    A    238.158.242.197
ktouagqd.www.tju.com.    IN    A    22.41.94.62
egkiqrdy.www.tju.com.    IN    A    17.160.28.118
bpxqadgl.www.tju.com.    IN    A    95.201.25.6
nidxlobv.www.tju.com.    IN    A    182.37.127.233
vtisparb.www.tju.com.    IN    A    102.226.11.135
xevklfhc.www.tju.com.    IN    A    140.113.146.63
dwjmibcu.www.tju.com.    IN    A    197.221.78.199
untsodif.www.tju.com.    IN    A    248.17.140.130
yponbuft.www.tju.com.    IN    A    114.84.12.192
bxdrkhwg.www.tju.com.    IN    A    2.131.190.158
wrqxjlph.www.tju.com.    IN    A    9.236.221.53
kmrogbia.www.tju.com.    IN    A    127.245.160.51
wkthoaxp.www.tju.com.    IN    A    225.169.136.163
edrcvakh.www.tju.com.    IN    A    4.37.146.214
wkolrqib.www.tju.com.    IN    A    176.171.90.54
qgtemdyf.www.tju.com.    IN    A    12.123.86.78
quhlwrmd.www.tju.com.    IN    A    192.119.67.26
endxujhc.www.tju.com.    IN    A    234.216.148.38
xmjktpvf.www.tju.com.    IN    A    91.114.84.155
vqksnfaw.www.tju.com.    IN    A    127.72.199.77
croueiwg.www.tju.com.    IN    A    89.218.16.169
abhxfjsg.www.tju.com.    IN    A    135.207.185.49
vuarmshb.www.tju.com.    IN    A    244.89.126.21
duilkypf.www.tju.com.    IN    A    55.63.126.240
qhtokymu.www.tju.com.    IN    A    136.222.16.69
bumltvfh.www.tju.com.    IN    A    75.241.30.136
ejlitmgb.www.tju.com.    IN    A    70.241.153.47
ynajfkoe.www.tju.com.    IN    A    43.149.91.123
ghkjboxe.www.tju.com.    IN    A    70.88.204.39
fgarlmcx.www.tju.com.    IN    A    71.45.206.229
shbdfnei.www.tju.com.    IN    A    73.10.52.83
ialqyedw.www.tju.com.    IN    A    139.208.168.16
ofuimhxq.www.tju.com.    IN    A    206.43.62.31
thkfxbce.www.tju.com.    IN    A    81.205.75.4
mveswtag.www.tju.com.    IN    A    49.210.6.155
dbcpfgix.www.tju.com.    IN    A    88.182.228.44
bugdiesh.www.tju.com.    IN    A    20.105.176.128
fmlqgkxc.www.tju.com.    IN    A    37.177.92.139
gvatqnij.www.tju.com.    IN    A    23.202.173.221
vpudrwjf.www.tju.com.    IN    A    244.86.163.191
txwsvhje.www.tju.com.    IN    A    110.31.191.211
swtrugkv.www.tju.com.    IN    A    251.55.168.21
jepugaiw.www.tju.com.    IN    A    218.72.40.179
lwxakuyf.www.tju.com.    IN    A    97.191.60.53
skocfmqe.www.tju.com.    IN    A    134.150.211.236
tuciwgyp.www.tju.com.    IN    A    17.248.227.117
qikdyrbf.www.tju.com.    IN    A    123.155.8.244
syrgvlcw.www.tju.com.    IN    A    171.23.50.60
trhkmoid.www.tju.com.    IN    A    73.164.96.219
nsrbvopl.www.tju.com.    IN    A    18.210.97.134
xtglrvbh.www.tju.com.    IN    A    243.14.0.205
qrbumdsw.www.tju.com.    IN    A    96.58.250.167
jysugcwh.www.tju.com.    IN    A    54.45.31.144
rjhgnlkq.www.tju.com.    IN    A    151.233.148.11
hgblfpoe.www.tju.com.    IN    A    80.95.118.73
nexhmqtg.www.tju.com.    IN    A    204.143.26.114
cbolhper.www.tju.com.    IN    A    255.240.248.63
oixlncmy.www.tju.com.    IN    A    25.136.54.83
pieluyds.www.tju.com.    IN    A    99.252.186.5
onigvqsu.www.tju.com.    IN    A    198.188.94.80
sfxonkcr.www.tju.com.    IN    A    38.173.63.72
lyopjbcs.www.tju.com.    IN    A    104.210.172.106
kbyawcds.www.tju.com.    IN    A    37.172.152.246
uwedialp.www.tju.com.    IN    A    182.146.159.67
bheskwac.www.tju.com.    IN    A    253.30.25.247
nxmdosje.www.tju.com.    IN    A    83.239.108.55
lknrbvyt.www.tju.com.    IN    A    71.234.203.123
xljnrhms.www.tju.com.    IN    A    7.149.67.174
xugpdqwc.www.tju.com.    IN    A    50.227.8.194
wjyvdnkb.www.tju.com.    IN    A    15.247.242.160
nrokyhea.www.tju.com.    IN    A    10.241.114.78
admclpxu.www.tju.com.    IN    A    231.150.178.156
ufamntxd.www.tju.com.    IN    A    157.14.27.40
ciumtxeb.www.tju.com.    IN    A    148.191.113.106
kxajuetm.www.tju.com.    IN    A    63.2.159.4
sbyojkgt.www.tju.com.    IN    A    13.194.144.138
hidgabpe.www.tju.com.    IN    A    48.177.39.204
mvywigso.www.tju.com.    IN    A    65.74.78.197
wcaeqvhg.www.tju.com.    IN    A    47.82.179.132
umwndtlv.www.tju.com.    IN    A    227.190.121.8
woqehkyn.www.tju.com.    IN    A    45.218.63.156
mbrqkjnw.www.tju.com.    IN    A    66.70.125.58
tqodnilx.www.tju.com.    IN    A    73.120.147.31
kfbnpeiy.www.tju.com.    IN    A    242.78.195.3
dwnqckla.www.tju.com.    IN    A    98.58.62.63
rxhgvaml.www.tju.com.    IN    A    58.47.117.217
skfpxrvo.www.tju.com.    IN    A    100.148.197.122
wlqbsgfk.www.tju.com.    IN    A    101.64.245.46
iboxhlkf.www.tju.com.    IN    A    185.246.225.137
sbuwhrjy.www.tju.com.    IN    A    27.98.204.18
ksradxmw.www.tju.com.    IN    A    250.254.123.31
bmwnvehg.www.tju.com.    IN    A    225.6.163.16
fncrxvlt.www.tju.com.    IN    A    154.171.130.151
wvxibtcu.www.tju.com.    IN    A    235.100.238.194
opuemtvc.www.tju.com.    IN    A    11.193.25.193
mxganouf.www.tju.com.    IN    A    167.31.231.164
wgvaipuc.www.tju.com.    IN    A    250.96.7.154
nswlgiux.www.tju.com.    IN    A    193.104.254.1
wfsolgir.www.tju.com.    IN    A    56.89.54.51
whrxydvt.www.tju.com.    IN    A    155.252.252.15
bkctxfsg.www.tju.com.    IN    A    127.200.51.254
maycurfq.www.tju.com.    IN    A    71.53.156.51
cyvkeais.www.tju.com.    IN    A    238.231.153.52
fyxecpgk.www.tju.com.    IN    A    105.140.115.62
jlascurk.www.tju.com.    IN    A    78.203.179.19
eqcnlhsb.www.tju.com.    IN    A    226.63.62.92
oxcgfiau.www.tju.com.    IN    A    182.143.56.57
ftrilduc.www.tju.com.    IN    A    241.144.58.115
phlkrgxt.www.tju.com.    IN    A    231.201.159.26
xelvdtwr.www.tju.com.    IN    A    199.252.228.139
qydcvtoi.www.tju.com.    IN    A    0.47.126.73
apfngmvo.www.tju.com.    IN    A    135.192.77.176
gfnvbqyi.www.tju.com.    IN    A    4.102.13.120
obqxprli.www.tju.com.    IN    A    83.213.117.208
wfukqdnb.www.tju.com.    IN    A    188.119.113.58
gbepdcot.www.tju.com.    IN    A    185.146.28.123
qtuxcjvn.www.tju.com.    IN    A    131.199.54.169
owvilgey.www.tju.com.    IN    A    3.12.222.141
mbqewigr.www.tju.com.    IN    A    135.145.238.48
ysgplndo.www.tju.com.    IN    A    98.169.17.40
kutayejs.www.tju.com.    IN    A    39.55.30.153
ghdqynpl.www.tju.com.    IN    A    168.192.193.10
vjaiqnwg.www.tju.com.    IN    A    59.116.41.248
tuvaopdx.www.tju.com.    IN    A    64.244.201.224
wrvytxji.www.tju.com.    IN    A    61.61.1.24
osxjdapc.www.tju.com.    IN    A    234.100.156.253
wigsytkn.www.tju.com.    IN    A    216.96.64.169
wbfiuscr.www.tju.com.    IN    A    185.214.153.100
qugvjtil.www.tju.com.    IN    A    202.42.201.65
picvbyft.www.tju.com.    IN    A    210.116.127.96
cruijeld.www.tju.com.    IN    A    9.114.227.58
cfxhgkwi.www.tju.com.    IN    A    189.191.143.223
mgrwifbe.www.tju.com.    IN    A    20.86.4.0
njhlogmc.www.tju.com.    IN    A    86.232.72.145
vxgtoayr.www.tju.com.    IN    A    4.121.128.87
efyqvtkd.www.tju.com.    IN    A    114.110.232.248
cnsguabh.www.tju.com.    IN    A    224.148.57.4
jkrwudps.www.tju.com.    IN    A    94.79.231.161
qexinwbv.www.tju.com.    IN    A    215.184.221.195
diewvuqp.www.tju.com.    IN    A    52.4.34.160
uosdrjqi.www.tju.com.    IN    A    141.207.106.203
fgtpdran.www.tju.com.    IN    A    86.222.136.42
vebxylcs.www.tju.com.    IN    A    123.198.133.109
ldyokvwu.www.tju.com.    IN    A    32.213.233.146
mdaexwbn.www.tju.com.    IN    A    249.159.23.169
gimysbkc.www.tju.com.    IN    A    83.31.36.86
toedrmys.www.tju.com.    IN    A    95.163.154.220
twdcqlpf.www.tju.com.    IN    A    29.180.63.57
ykprehfg.www.tju.com.    IN    A    218.239.147.41
uxmalgyo.www.tju.com.    IN    A    38.4.3.79
tuvframe.www.tju.com.    IN    A    64.144.47.83
engpfuyl.www.tju.com.    IN    A    184.106.5.193
eqojlsdv.www.tju.com.    IN    A    193.87.88.163
vlpykrnb.www.tju.com.    IN    A    38.93.70.117
kvuqwxcf.www.tju.com.    IN    A    229.65.156.122
hjgupotn.www.tju.com.    IN    A    94.220.227.104
clugaxoi.www.tju.com.    IN    A    9.173.144.208
rlpynkfq.www.tju.com.    IN    A    24.137.140.122
isydvlux.www.tju.com.    IN    A    211.33.9.30
oqgralcd.www.tju.com.    IN    A    137.128.78.252
ynlcgisj.www.tju.com.    IN    A    107.44.10.157
cvsluxbf.www.tju.com.    IN    A    149.136.78.214
pvdyowhn.www.tju.com.    IN    A    254.148.32.229
wouirfmq.www.tju.com.    IN    A    233.224.245.252
kauhrlnp.www.tju.com.    IN    A    150.220.209.180
lnshpawt.www.tju.com.    IN    A    36.129.160.46
sfwlrmyo.www.tju.com.    IN    A    52.253.6.242
rldnipbk.www.tju.com.    IN    A    156.126.227.63
ofgbuiqt.www.tju.com.    IN    A    31.97.58.248
rxhujqno.www.tju.com.    IN    A    71.187.235.239
ikwfbuop.www.tju.com.    IN    A    234.234.115.6
qmwfjnkv.www.tju.com.    IN    A    65.171.203.99
bukfnmcy.www.tju.com.    IN    A    101.244.127.249
vtsjgkbl.www.tju.com.    IN    A    143.241.75.204
wsfcnhyr.www.tju.com.    IN    A    111.148.163.0
furpcylj.www.tju.com.    IN    A    83.97.246.225
qufskdjw.www.tju.com.    IN    A    154.97.165.178
vkupcdqr.www.tju.com.    IN    A    91.7.136.254
gpmrwoqs.www.tju.com.    IN    A    101.221.41.68
hptigemr.www.tju.com.    IN    A    99.89.125.48
tjxkodbm.www.tju.com.    IN    A    36.66.113.75
mcquyhaj.www.tju.com.    IN    A    237.74.162.81
nkhxaseo.www.tju.com.    IN    A    144.238.226.26
njvaowrl.www.tju.com.    IN    A    178.128.101.144
rtsxcdyv.www.tju.com.    IN    A    140.166.71.160
xyterngc.www.tju.com.    IN    A    117.73.37.176
bqkcstyl.www.tju.com.    IN    A    43.86.135.104
yfghsvtw.www.tju.com.    IN    A    36.102.240.152
encuwbql.www.tju.com.    IN    A    168.52.147.100
coamhdpy.www.tju.com.    IN    A    111.138.4.77
mklnqbur.www.tju.com.    IN    A    196.27.44.238
owsipgmu.www.tju.com.    IN    A    6.94.11.26
wvkylhct.www.tju.com.    IN    A    254.7.179.97
rkylbcpa.www.tju.com.    IN    A    146.233.97.107
tlumoxge.www.tju.com.    IN    A    18.135.183.152
hakesbvq.www.tju.com.    IN    A    4.140.143.37
fgrmuwxi.www.tju.com.    IN    A    232.177.106.95
gbuvdimk.www.tju.com.    IN    A    215.106.125.85
eavslguf.www.tju.com.    IN    A    193.28.158.136
dvpomien.www.tju.com.    IN    A    21.235.177.87
uqdkemnx.www.tju.com.    IN    A    154.49.153.15
tdveborq.www.tju.com.    IN    A    139.74.210.21
tbhwofsr.www.tju.com.    IN    A    93.181.182.172
qdnyltro.www.tju.com.    IN    A    41.167.54.235
imbktueg.www.tju.com.    IN    A    206.204.121.42
dxcqvnfa.www.tju.com.    IN    A    196.51.38.39
disnwyle.www.tju.com.    IN    A    76.133.96.10
