cse.cqu.com.	14400	IN	SOA	ns1.cse.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
cse.cqu.com.		    IN	NS ns1.cse.cqu.com.
khcngtvr.cse.cqu.com.    IN    A    254.188.167.172
klfqauoh.cse.cqu.com.    IN    A    81.178.238.95
lkwrmqef.cse.cqu.com.    IN    A    235.40.159.179
iyjcounq.cse.cqu.com.    IN    A    181.187.9.197
urhspgqj.cse.cqu.com.    IN    A    41.85.196.55
mvbuhrlj.cse.cqu.com.    IN    A    180.74.109.52
ndsiltfq.cse.cqu.com.    IN    A    154.162.52.116
gfnxjcdi.cse.cqu.com.    IN    A    253.238.146.221
qfaslwpk.cse.cqu.com.    IN    A    82.124.31.16
iovjqkwx.cse.cqu.com.    IN    A    48.204.86.36
mhvgtwao.cse.cqu.com.    IN    A    161.18.0.220
edsqvxob.cse.cqu.com.    IN    A    178.220.8.146
cuybhtsk.cse.cqu.com.    IN    A    58.241.89.66
yqgmnltj.cse.cqu.com.    IN    A    189.121.190.26
uwcinqva.cse.cqu.com.    IN    A    95.139.18.58
kmilswdq.cse.cqu.com.    IN    A    107.186.22.252
vlyksabg.cse.cqu.com.    IN    A    199.185.246.88
yidhsmwb.cse.cqu.com.    IN    A    190.193.221.153
cjnvtqrw.cse.cqu.com.    IN    A    147.223.4.222
pnctvwjh.cse.cqu.com.    IN    A    13.224.111.214
lsbqmady.cse.cqu.com.    IN    A    70.209.126.107
shkxrnet.cse.cqu.com.    IN    A    114.118.210.234
dnrkgxfa.cse.cqu.com.    IN    A    83.159.75.233
hkmvgxds.cse.cqu.com.    IN    A    30.8.119.153
hglycwua.cse.cqu.com.    IN    A    151.55.58.48
fpcbxuto.cse.cqu.com.    IN    A    185.140.208.175
fpiuytxc.cse.cqu.com.    IN    A    39.224.9.239
vdanjubw.cse.cqu.com.    IN    A    103.9.43.92
csjhfyae.cse.cqu.com.    IN    A    74.255.231.34
joehvdwp.cse.cqu.com.    IN    A    220.126.202.146
hdextbno.cse.cqu.com.    IN    A    166.95.59.103
ymduwtil.cse.cqu.com.    IN    A    171.182.115.134
syvalktr.cse.cqu.com.    IN    A    105.24.182.161
iojxentw.cse.cqu.com.    IN    A    12.55.217.128
joiwdbxa.cse.cqu.com.    IN    A    107.59.254.203
vitwjokq.cse.cqu.com.    IN    A    169.122.239.237
xywaortu.cse.cqu.com.    IN    A    242.2.38.0
xholjtie.cse.cqu.com.    IN    A    124.133.46.231
ncfioueb.cse.cqu.com.    IN    A    218.196.203.94
jqmltrgo.cse.cqu.com.    IN    A    147.161.108.237
chumfjbw.cse.cqu.com.    IN    A    24.134.120.87
fjdqkhbw.cse.cqu.com.    IN    A    220.189.123.93
hrljqasx.cse.cqu.com.    IN    A    182.43.196.143
imbdnwqj.cse.cqu.com.    IN    A    139.67.91.106
etjrcgvi.cse.cqu.com.    IN    A    239.60.88.46
ahfnldps.cse.cqu.com.    IN    A    87.115.161.241
gitafndm.cse.cqu.com.    IN    A    223.163.149.107
waxbjrvp.cse.cqu.com.    IN    A    93.36.212.89
njbpfldu.cse.cqu.com.    IN    A    66.213.23.186
nqbtreuw.cse.cqu.com.    IN    A    79.78.192.119
micqayeh.cse.cqu.com.    IN    A    131.179.102.180
jsmdxfvh.cse.cqu.com.    IN    A    186.81.13.56
xdhoiwls.cse.cqu.com.    IN    A    149.93.13.206
qamxlnti.cse.cqu.com.    IN    A    56.237.141.250
pinjrytu.cse.cqu.com.    IN    A    67.202.207.156
lsvhrpca.cse.cqu.com.    IN    A    115.254.203.198
afmicjnu.cse.cqu.com.    IN    A    105.155.225.32
jeytckuv.cse.cqu.com.    IN    A    100.182.253.194
mvhuclsf.cse.cqu.com.    IN    A    211.56.201.145
amfdjxeg.cse.cqu.com.    IN    A    201.99.92.208
rapsbvic.cse.cqu.com.    IN    A    228.94.253.204
ybeptxun.cse.cqu.com.    IN    A    206.151.100.246
jdxvkqgc.cse.cqu.com.    IN    A    252.110.93.214
yrmheukx.cse.cqu.com.    IN    A    217.170.233.192
kofwagri.cse.cqu.com.    IN    A    41.159.208.11
skufiban.cse.cqu.com.    IN    A    28.197.42.243
yfqvdieg.cse.cqu.com.    IN    A    96.164.219.194
ciqmhvfp.cse.cqu.com.    IN    A    103.236.236.177
ycbgardm.cse.cqu.com.    IN    A    91.10.254.220
ysmwkgfv.cse.cqu.com.    IN    A    220.48.196.114
audhbglv.cse.cqu.com.    IN    A    253.24.220.233
ovbrtyaf.cse.cqu.com.    IN    A    120.147.9.29
dvqkhsae.cse.cqu.com.    IN    A    91.184.202.141
tsavkqpf.cse.cqu.com.    IN    A    46.70.131.119
bfpcdlot.cse.cqu.com.    IN    A    199.96.227.229
sqecwafl.cse.cqu.com.    IN    A    161.244.229.208
pbohwakl.cse.cqu.com.    IN    A    243.83.79.48
spjlgtrh.cse.cqu.com.    IN    A    29.236.70.93
rvxegfwm.cse.cqu.com.    IN    A    34.171.204.3
gjaqnfdy.cse.cqu.com.    IN    A    7.153.131.42
ujwdcmtf.cse.cqu.com.    IN    A    20.22.236.125
gumxpcyl.cse.cqu.com.    IN    A    249.31.165.29
cykdsuqv.cse.cqu.com.    IN    A    207.126.255.194
chyobusg.cse.cqu.com.    IN    A    142.60.111.88
hspeckiq.cse.cqu.com.    IN    A    60.11.28.190
ydoavnwk.cse.cqu.com.    IN    A    107.248.25.77
hxlceaqk.cse.cqu.com.    IN    A    205.253.150.178
brpotiks.cse.cqu.com.    IN    A    170.166.195.107
ashdqrty.cse.cqu.com.    IN    A    8.91.229.100
dlcuyvmx.cse.cqu.com.    IN    A    1.120.132.154
acelfvmx.cse.cqu.com.    IN    A    36.33.184.144
mrltenxb.cse.cqu.com.    IN    A    190.251.8.105
hfanlrcj.cse.cqu.com.    IN    A    163.209.65.49
fxbglnum.cse.cqu.com.    IN    A    129.6.235.36
quwvlkxc.cse.cqu.com.    IN    A    239.10.16.213
ifwvmhpd.cse.cqu.com.    IN    A    253.52.133.36
mytnublj.cse.cqu.com.    IN    A    224.148.9.185
wheisuby.cse.cqu.com.    IN    A    142.208.57.224
dlqtfxnm.cse.cqu.com.    IN    A    142.49.79.250
rcxjqeds.cse.cqu.com.    IN    A    20.9.181.92
aemdsrvc.cse.cqu.com.    IN    A    235.2.165.123
kinxlvpr.cse.cqu.com.    IN    A    172.71.89.118
kigjqmeu.cse.cqu.com.    IN    A    123.77.174.26
qytawxmj.cse.cqu.com.    IN    A    168.23.150.90
adioyxrg.cse.cqu.com.    IN    A    136.217.227.204
fvawimep.cse.cqu.com.    IN    A    191.14.18.85
mlsnxibc.cse.cqu.com.    IN    A    12.243.205.89
qgtiyjwp.cse.cqu.com.    IN    A    137.101.16.47
skwdypfo.cse.cqu.com.    IN    A    230.107.166.94
pibfkcsh.cse.cqu.com.    IN    A    16.116.203.29
icwbjrqh.cse.cqu.com.    IN    A    100.76.77.48
katgmfsd.cse.cqu.com.    IN    A    93.30.216.11
osmtldcx.cse.cqu.com.    IN    A    80.62.192.42
gmovdyje.cse.cqu.com.    IN    A    194.245.181.135
nxkpysth.cse.cqu.com.    IN    A    11.125.195.212
dbhwlats.cse.cqu.com.    IN    A    48.189.207.217
dbruhftj.cse.cqu.com.    IN    A    97.173.207.237
rbltykpg.cse.cqu.com.    IN    A    246.220.247.130
hswkgedy.cse.cqu.com.    IN    A    204.120.93.15
uemrkpaj.cse.cqu.com.    IN    A    93.146.20.96
jlfuepik.cse.cqu.com.    IN    A    246.250.255.88
tenraklx.cse.cqu.com.    IN    A    64.200.159.27
cqndtrjb.cse.cqu.com.    IN    A    127.129.211.68
okchusnj.cse.cqu.com.    IN    A    98.45.166.92
djswlumr.cse.cqu.com.    IN    A    60.102.5.106
dfilrybp.cse.cqu.com.    IN    A    66.58.162.183
gwpshbyq.cse.cqu.com.    IN    A    8.184.161.145
ycntvrsa.cse.cqu.com.    IN    A    217.37.239.197
wegplxqy.cse.cqu.com.    IN    A    98.7.183.72
vflmrhqy.cse.cqu.com.    IN    A    77.27.34.45
crtbymeq.cse.cqu.com.    IN    A    182.96.233.34
keujbvxo.cse.cqu.com.    IN    A    121.36.19.225
prcnoimv.cse.cqu.com.    IN    A    39.68.71.197
trnoyhim.cse.cqu.com.    IN    A    232.30.216.64
ciprsudv.cse.cqu.com.    IN    A    77.155.223.2
pushvxmi.cse.cqu.com.    IN    A    63.104.241.53
rqmeubfv.cse.cqu.com.    IN    A    103.22.209.140
lqyopbfi.cse.cqu.com.    IN    A    126.60.176.145
wjfmvsgr.cse.cqu.com.    IN    A    121.231.51.241
xerhpgbw.cse.cqu.com.    IN    A    196.167.154.185
noapsyqc.cse.cqu.com.    IN    A    166.90.95.235
ntpvxgel.cse.cqu.com.    IN    A    62.17.101.235
gixjulcr.cse.cqu.com.    IN    A    10.243.43.45
usbifytx.cse.cqu.com.    IN    A    97.138.226.242
ilmgxsod.cse.cqu.com.    IN    A    251.118.16.224
mnawhsov.cse.cqu.com.    IN    A    226.237.111.145
qjrbtkgi.cse.cqu.com.    IN    A    85.52.178.204
eyvmfdxs.cse.cqu.com.    IN    A    163.55.130.157
wmlsdtqf.cse.cqu.com.    IN    A    175.51.12.42
sxawopyg.cse.cqu.com.    IN    A    132.242.55.205
hxlpjfrw.cse.cqu.com.    IN    A    65.197.138.105
iybptvgh.cse.cqu.com.    IN    A    88.79.236.133
uepdnjsr.cse.cqu.com.    IN    A    184.154.236.153
gmhwdqnx.cse.cqu.com.    IN    A    137.197.195.154
rfpeiqwo.cse.cqu.com.    IN    A    95.23.147.84
hibflsac.cse.cqu.com.    IN    A    93.112.115.94
akublnvd.cse.cqu.com.    IN    A    58.14.166.250
igdwxqnb.cse.cqu.com.    IN    A    63.174.137.112
yiawctxf.cse.cqu.com.    IN    A    237.150.127.146
ycsqrxie.cse.cqu.com.    IN    A    223.165.22.201
fugwvtrh.cse.cqu.com.    IN    A    3.124.179.156
mvpfxcew.cse.cqu.com.    IN    A    24.26.38.133
yduhjsig.cse.cqu.com.    IN    A    97.88.28.205
puoydjvf.cse.cqu.com.    IN    A    245.33.150.93
swvfjune.cse.cqu.com.    IN    A    102.233.154.49
vyhdcqnb.cse.cqu.com.    IN    A    185.5.217.213
xoebpqhl.cse.cqu.com.    IN    A    151.67.73.133
xycghvru.cse.cqu.com.    IN    A    77.164.64.192
efbgnmxj.cse.cqu.com.    IN    A    91.180.103.135
unxcshfv.cse.cqu.com.    IN    A    170.238.52.13
govrhamf.cse.cqu.com.    IN    A    90.206.106.177
xhjrnoup.cse.cqu.com.    IN    A    117.137.171.87
fckexalg.cse.cqu.com.    IN    A    230.249.200.71
cvhdgnms.cse.cqu.com.    IN    A    145.132.33.111
mgisfkuh.cse.cqu.com.    IN    A    227.187.159.166
ytfdhwvn.cse.cqu.com.    IN    A    74.110.178.12
yjikpaox.cse.cqu.com.    IN    A    34.31.104.163
vdtgplyr.cse.cqu.com.    IN    A    192.122.197.177
yvqnaimj.cse.cqu.com.    IN    A    182.168.2.3
nyilbdfr.cse.cqu.com.    IN    A    74.231.78.200
jtsygvqr.cse.cqu.com.    IN    A    159.157.52.176
nokrfuws.cse.cqu.com.    IN    A    235.198.233.3
fviypxun.cse.cqu.com.    IN    A    184.165.31.220
fxurgetc.cse.cqu.com.    IN    A    187.254.138.112
yavdthuj.cse.cqu.com.    IN    A    203.148.179.113
pigaxcmd.cse.cqu.com.    IN    A    164.154.178.19
nmyfqvxg.cse.cqu.com.    IN    A    87.61.88.117
tjfkpbml.cse.cqu.com.    IN    A    139.133.103.231
ypktmnle.cse.cqu.com.    IN    A    64.3.95.97
xqvwgmkr.cse.cqu.com.    IN    A    43.37.23.235
bktglyin.cse.cqu.com.    IN    A    160.20.74.185
xaceujdr.cse.cqu.com.    IN    A    16.102.59.229
ifowupbn.cse.cqu.com.    IN    A    217.228.11.177
hiprasox.cse.cqu.com.    IN    A    152.123.7.147
uadhtvng.cse.cqu.com.    IN    A    129.62.10.126
iaplcqrj.cse.cqu.com.    IN    A    112.216.97.4
nvhtfsco.cse.cqu.com.    IN    A    87.229.44.120
wlbtnkou.cse.cqu.com.    IN    A    234.70.60.7
rxydjskp.cse.cqu.com.    IN    A    180.194.58.254
bkictgnq.cse.cqu.com.    IN    A    31.66.185.87
dqtwnahc.cse.cqu.com.    IN    A    201.242.83.141
iutjryho.cse.cqu.com.    IN    A    5.51.92.133
icbgfhtx.cse.cqu.com.    IN    A    174.110.96.99
ienmvlcu.cse.cqu.com.    IN    A    40.195.211.199
nspxwogd.cse.cqu.com.    IN    A    255.108.34.21
bnkfjaue.cse.cqu.com.    IN    A    150.174.168.214
pherfqkg.cse.cqu.com.    IN    A    244.42.56.135
yabpotwl.cse.cqu.com.    IN    A    149.29.158.138
drmsqkha.cse.cqu.com.    IN    A    199.167.133.151
ifcevybh.cse.cqu.com.    IN    A    77.253.82.30
qslhvaen.cse.cqu.com.    IN    A    118.202.156.42
lrveydsb.cse.cqu.com.    IN    A    57.102.45.219
juvxkdwt.cse.cqu.com.    IN    A    190.11.133.113
ylpsmnar.cse.cqu.com.    IN    A    29.148.160.122
snarmtdg.cse.cqu.com.    IN    A    15.127.13.161
vkoxtemr.cse.cqu.com.    IN    A    16.156.253.4
vftdxjcg.cse.cqu.com.    IN    A    153.72.40.151
brojidsm.cse.cqu.com.    IN    A    130.115.26.80
sytwupem.cse.cqu.com.    IN    A    106.217.148.118
lvxrsdmo.cse.cqu.com.    IN    A    221.2.48.245
wjdrgepn.cse.cqu.com.    IN    A    218.69.148.167
nkfrsvqo.cse.cqu.com.    IN    A    71.63.13.215
mbcokgfd.cse.cqu.com.    IN    A    229.151.56.44
krghmqcs.cse.cqu.com.    IN    A    241.237.217.90
vwlbnjck.cse.cqu.com.    IN    A    138.47.66.136
nylsxpuk.cse.cqu.com.    IN    A    141.139.82.106
ourhsiqt.cse.cqu.com.    IN    A    211.177.202.69
byrojwfv.cse.cqu.com.    IN    A    2.69.41.8
apchixdv.cse.cqu.com.    IN    A    43.153.30.253
forauvcd.cse.cqu.com.    IN    A    46.27.208.27
svyinjra.cse.cqu.com.    IN    A    83.197.146.190
eypjoubr.cse.cqu.com.    IN    A    163.54.55.67
bsgehapi.cse.cqu.com.    IN    A    156.219.106.223
aqwhtekb.cse.cqu.com.    IN    A    78.139.16.32
deiksyvf.cse.cqu.com.    IN    A    34.179.255.93
rmpbhqax.cse.cqu.com.    IN    A    54.233.208.84
hkdcerpv.cse.cqu.com.    IN    A    184.205.204.34
nbvycgma.cse.cqu.com.    IN    A    38.245.8.35
wqsyvcdu.cse.cqu.com.    IN    A    222.10.132.159
iuvtksgb.cse.cqu.com.    IN    A    223.137.189.5
ghmwoslr.cse.cqu.com.    IN    A    234.142.226.106
srqueonk.cse.cqu.com.    IN    A    55.128.240.244
xjatlios.cse.cqu.com.    IN    A    28.253.62.102
vhdteinx.cse.cqu.com.    IN    A    221.78.164.164
bxrtmqip.cse.cqu.com.    IN    A    124.163.0.89
mbxwtlva.cse.cqu.com.    IN    A    140.74.10.98
vuwrmkst.cse.cqu.com.    IN    A    124.13.29.158
ygcjirol.cse.cqu.com.    IN    A    19.90.39.239
fsipjxyd.cse.cqu.com.    IN    A    79.61.56.181
qhevmjtp.cse.cqu.com.    IN    A    117.73.41.158
iaofmxyd.cse.cqu.com.    IN    A    160.27.19.65
agvfkrey.cse.cqu.com.    IN    A    137.154.108.107
drhsqufa.cse.cqu.com.    IN    A    31.0.27.25
yaqkfshi.cse.cqu.com.    IN    A    49.226.145.179
fbqcxsnl.cse.cqu.com.    IN    A    219.222.224.170
lecnrgsk.cse.cqu.com.    IN    A    80.240.171.7
yscveqnb.cse.cqu.com.    IN    A    250.57.239.103
bwukfsyi.cse.cqu.com.    IN    A    63.186.103.117
lvotyheg.cse.cqu.com.    IN    A    225.107.154.78
eqawpjhy.cse.cqu.com.    IN    A    205.242.152.0
ynvxphoc.cse.cqu.com.    IN    A    228.50.148.241
djulfvsy.cse.cqu.com.    IN    A    133.207.206.15
crtgmqjy.cse.cqu.com.    IN    A    230.160.185.147
jtriwkov.cse.cqu.com.    IN    A    247.124.233.244
uwoxcdlf.cse.cqu.com.    IN    A    109.234.14.148
drwvxapt.cse.cqu.com.    IN    A    82.169.166.108
spytkhvx.cse.cqu.com.    IN    A    225.177.77.175
srvmeigh.cse.cqu.com.    IN    A    82.157.15.72
huptnsme.cse.cqu.com.    IN    A    114.152.206.252
bfioawhn.cse.cqu.com.    IN    A    57.50.57.119
ntegrbcv.cse.cqu.com.    IN    A    70.188.39.151
jrguitda.cse.cqu.com.    IN    A    159.156.145.245
drbktsvf.cse.cqu.com.    IN    A    164.187.79.199
shnulmrq.cse.cqu.com.    IN    A    0.157.56.192
pnciytvd.cse.cqu.com.    IN    A    191.32.218.106
iplskqwd.cse.cqu.com.    IN    A    232.157.128.141
nixfctgs.cse.cqu.com.    IN    A    82.72.214.219
qplmiaun.cse.cqu.com.    IN    A    92.138.4.102
beoxalyj.cse.cqu.com.    IN    A    204.218.246.250
avimfcnl.cse.cqu.com.    IN    A    142.248.27.79
xujkdwan.cse.cqu.com.    IN    A    17.58.34.150
iqtosafb.cse.cqu.com.    IN    A    135.186.224.78
nfyjlqwd.cse.cqu.com.    IN    A    146.240.199.84
wdhfbugt.cse.cqu.com.    IN    A    234.121.205.101
tgqosenx.cse.cqu.com.    IN    A    8.241.93.20
nwkycdqv.cse.cqu.com.    IN    A    196.67.177.163
rnhgdkft.cse.cqu.com.    IN    A    254.20.174.12
awxiugpe.cse.cqu.com.    IN    A    154.140.98.22
ehgwirap.cse.cqu.com.    IN    A    225.28.234.66
jrkpdflv.cse.cqu.com.    IN    A    149.96.11.54
iylnsvah.cse.cqu.com.    IN    A    50.100.157.117
lrvohfpj.cse.cqu.com.    IN    A    204.234.92.9
qbkmhpag.cse.cqu.com.    IN    A    187.186.250.27
dsnqfkwx.cse.cqu.com.    IN    A    235.124.77.245
vgfuykmd.cse.cqu.com.    IN    A    98.20.252.156
kebspfry.cse.cqu.com.    IN    A    139.211.136.168
txuklrqd.cse.cqu.com.    IN    A    21.239.255.195
dtuepvak.cse.cqu.com.    IN    A    81.223.17.210
hlpqxyem.cse.cqu.com.    IN    A    83.124.64.96
iocehywr.cse.cqu.com.    IN    A    254.12.157.47
dtpgalem.cse.cqu.com.    IN    A    66.8.158.51
seniagrv.cse.cqu.com.    IN    A    153.235.23.184
dnpqfxwu.cse.cqu.com.    IN    A    149.143.14.225
gbopreta.cse.cqu.com.    IN    A    25.216.138.249
plauixgb.cse.cqu.com.    IN    A    55.78.136.138
smecwlkj.cse.cqu.com.    IN    A    235.10.232.70
tvlokdqs.cse.cqu.com.    IN    A    135.253.233.2
pnqhrwug.cse.cqu.com.    IN    A    199.65.96.174
qxkdorlj.cse.cqu.com.    IN    A    216.70.176.171
yvcdqjpl.cse.cqu.com.    IN    A    240.222.12.206
bacsnwpu.cse.cqu.com.    IN    A    73.101.165.178
ghvdspxw.cse.cqu.com.    IN    A    140.187.75.167
mnuikysp.cse.cqu.com.    IN    A    252.21.167.233
txbkqpwc.cse.cqu.com.    IN    A    28.25.6.59
jvpibfcq.cse.cqu.com.    IN    A    98.144.15.255
plwvnhyr.cse.cqu.com.    IN    A    251.128.128.87
byfiwclr.cse.cqu.com.    IN    A    31.18.213.4
jbxyqewp.cse.cqu.com.    IN    A    133.206.133.151
khscexip.cse.cqu.com.    IN    A    175.174.220.28
tyuvnmef.cse.cqu.com.    IN    A    69.241.149.47
gmdtncau.cse.cqu.com.    IN    A    23.167.228.204
sjkdgnir.cse.cqu.com.    IN    A    121.101.82.138
sqnbmouy.cse.cqu.com.    IN    A    187.153.86.111
dnhwiamj.cse.cqu.com.    IN    A    226.113.133.110
drvyansh.cse.cqu.com.    IN    A    166.205.21.163
fokdcyvw.cse.cqu.com.    IN    A    94.100.56.243
dwvupgyk.cse.cqu.com.    IN    A    51.210.171.72
mjcfpwqa.cse.cqu.com.    IN    A    33.148.222.197
pyrioflh.cse.cqu.com.    IN    A    14.101.187.77
dxhytlja.cse.cqu.com.    IN    A    70.63.229.13
pbvnqski.cse.cqu.com.    IN    A    39.26.157.100
uafjqske.cse.cqu.com.    IN    A    150.64.170.131
qyvanrju.cse.cqu.com.    IN    A    20.121.110.50
sapuvcdy.cse.cqu.com.    IN    A    191.60.80.139
usrxfkye.cse.cqu.com.    IN    A    145.90.7.198
byrpoxgt.cse.cqu.com.    IN    A    113.84.89.70
hvniudet.cse.cqu.com.    IN    A    148.161.78.251
qwkbrmly.cse.cqu.com.    IN    A    133.23.168.63
ndeojikb.cse.cqu.com.    IN    A    153.115.103.231
dfxituja.cse.cqu.com.    IN    A    55.221.153.163
posgrxmt.cse.cqu.com.    IN    A    52.148.21.91
psrhjewq.cse.cqu.com.    IN    A    237.26.206.165
gokaburv.cse.cqu.com.    IN    A    168.156.175.222
cutjxbek.cse.cqu.com.    IN    A    108.40.2.122
urclakoe.cse.cqu.com.    IN    A    172.126.154.181
mruibdaq.cse.cqu.com.    IN    A    87.205.152.99
auwkflbt.cse.cqu.com.    IN    A    146.162.197.113
acrohmud.cse.cqu.com.    IN    A    96.213.158.248
wdrylaki.cse.cqu.com.    IN    A    190.65.229.49
sfhnpyuc.cse.cqu.com.    IN    A    163.204.2.165
mjqfpcvl.cse.cqu.com.    IN    A    43.192.189.41
pashmofx.cse.cqu.com.    IN    A    39.120.135.201
wrdvgcmf.cse.cqu.com.    IN    A    155.124.214.116
pmksxuoe.cse.cqu.com.    IN    A    89.54.182.215
pjmqdwyl.cse.cqu.com.    IN    A    206.3.118.254
xfwmeupi.cse.cqu.com.    IN    A    60.213.253.215
siveqync.cse.cqu.com.    IN    A    180.223.52.226
ctkfrmiw.cse.cqu.com.    IN    A    186.128.241.254
vsjqudte.cse.cqu.com.    IN    A    95.214.176.155
ygkjdrqx.cse.cqu.com.    IN    A    218.163.57.23
mapnurvy.cse.cqu.com.    IN    A    201.14.196.107
iseokrxh.cse.cqu.com.    IN    A    104.139.19.223
grlebaov.cse.cqu.com.    IN    A    37.122.235.212
yajogmdq.cse.cqu.com.    IN    A    41.135.142.216
hrgjtmnp.cse.cqu.com.    IN    A    99.70.229.155
mkqjpirf.cse.cqu.com.    IN    A    50.88.68.116
bhieljku.cse.cqu.com.    IN    A    67.86.237.77
raeghomt.cse.cqu.com.    IN    A    198.149.227.24
htlxkcpy.cse.cqu.com.    IN    A    195.23.219.248
nmjikptf.cse.cqu.com.    IN    A    82.189.204.149
xirsdgaq.cse.cqu.com.    IN    A    201.58.141.91
ofrsyhgj.cse.cqu.com.    IN    A    147.255.41.26
nipqryao.cse.cqu.com.    IN    A    171.147.156.220
guiwjevd.cse.cqu.com.    IN    A    53.229.63.89
fahqwtrm.cse.cqu.com.    IN    A    156.217.232.60
ithygjda.cse.cqu.com.    IN    A    179.162.123.249
heytsmgn.cse.cqu.com.    IN    A    183.128.209.245
yikwtlhm.cse.cqu.com.    IN    A    87.226.168.213
cmunpkyb.cse.cqu.com.    IN    A    46.213.49.2
heminwqf.cse.cqu.com.    IN    A    167.172.222.208
yegmfxlp.cse.cqu.com.    IN    A    188.209.222.99
irdxwqhe.cse.cqu.com.    IN    A    241.155.233.167
ibwdsgfj.cse.cqu.com.    IN    A    5.213.218.146
hkvptcuj.cse.cqu.com.    IN    A    134.202.199.139
jgaoibht.cse.cqu.com.    IN    A    105.227.165.114
yiqxunrm.cse.cqu.com.    IN    A    56.139.127.53
tfhvambx.cse.cqu.com.    IN    A    121.78.28.190
gmtclwry.cse.cqu.com.    IN    A    11.16.206.249
vthpkwef.cse.cqu.com.    IN    A    35.74.211.5
yojbmveq.cse.cqu.com.    IN    A    208.133.117.217
rmcybwto.cse.cqu.com.    IN    A    24.206.86.75
weubhsrp.cse.cqu.com.    IN    A    237.65.166.70
iryvmeoj.cse.cqu.com.    IN    A    159.126.234.59
rxoulmnc.cse.cqu.com.    IN    A    105.204.170.106
dopqirfa.cse.cqu.com.    IN    A    212.4.5.46
ylvwrmqh.cse.cqu.com.    IN    A    10.46.249.19
jcyxfnhu.cse.cqu.com.    IN    A    156.151.158.1
ejctaolg.cse.cqu.com.    IN    A    186.183.95.102
npgqyhwb.cse.cqu.com.    IN    A    143.99.255.31
bspdgxin.cse.cqu.com.    IN    A    26.104.213.23
tiojvrfn.cse.cqu.com.    IN    A    81.243.70.212
wruftgae.cse.cqu.com.    IN    A    199.215.95.104
svrcdugy.cse.cqu.com.    IN    A    73.36.227.103
xvkldcmf.cse.cqu.com.    IN    A    237.101.50.202
acdrnwsl.cse.cqu.com.    IN    A    132.249.38.64
dcykmpxt.cse.cqu.com.    IN    A    28.71.186.241
gocxeplq.cse.cqu.com.    IN    A    182.98.42.197
xhkntler.cse.cqu.com.    IN    A    65.130.47.197
gtxhluwy.cse.cqu.com.    IN    A    212.220.24.231
yfxdsaih.cse.cqu.com.    IN    A    162.112.223.220
ysogledn.cse.cqu.com.    IN    A    143.253.5.212
pskvdjry.cse.cqu.com.    IN    A    156.158.232.79
advigmct.cse.cqu.com.    IN    A    230.157.207.190
kfebpxog.cse.cqu.com.    IN    A    105.219.112.47
udycetao.cse.cqu.com.    IN    A    7.117.19.148
lrsuitpo.cse.cqu.com.    IN    A    171.245.66.226
scrmyxhq.cse.cqu.com.    IN    A    213.56.219.150
pbhnfumj.cse.cqu.com.    IN    A    42.115.14.145
gmduvhtx.cse.cqu.com.    IN    A    30.171.160.77
atvhkbni.cse.cqu.com.    IN    A    122.163.210.59
jnfpsmig.cse.cqu.com.    IN    A    6.3.217.112
xnfshyig.cse.cqu.com.    IN    A    30.53.77.138
atycdnre.cse.cqu.com.    IN    A    113.11.161.242
rafdpxsy.cse.cqu.com.    IN    A    43.38.78.122
ebmptrwq.cse.cqu.com.    IN    A    161.32.7.11
gwjnraml.cse.cqu.com.    IN    A    93.220.131.148
dogrbnjv.cse.cqu.com.    IN    A    31.217.109.35
jupwyfml.cse.cqu.com.    IN    A    244.218.91.26
fqocdbnu.cse.cqu.com.    IN    A    32.37.114.192
uxctsqbo.cse.cqu.com.    IN    A    41.171.159.178
eiapgowy.cse.cqu.com.    IN    A    40.228.62.242
jecukpwa.cse.cqu.com.    IN    A    173.250.127.61
kyfrtvbp.cse.cqu.com.    IN    A    174.190.16.83
jukgoqta.cse.cqu.com.    IN    A    116.87.205.215
madlwgxs.cse.cqu.com.    IN    A    127.104.119.119
fholtkya.cse.cqu.com.    IN    A    189.239.47.153
evithyrd.cse.cqu.com.    IN    A    21.178.90.40
admvfgih.cse.cqu.com.    IN    A    107.218.166.98
vbidxekw.cse.cqu.com.    IN    A    139.16.196.198
xboyjnwa.cse.cqu.com.    IN    A    234.17.7.221
mkqfpyoa.cse.cqu.com.    IN    A    35.111.126.200
atjosicg.cse.cqu.com.    IN    A    98.252.114.217
qkhjpefa.cse.cqu.com.    IN    A    188.208.177.242
hpdcfrxi.cse.cqu.com.    IN    A    181.11.140.34
iueyrwcf.cse.cqu.com.    IN    A    102.120.123.88
sqwhbjco.cse.cqu.com.    IN    A    38.166.106.71
skqnilrb.cse.cqu.com.    IN    A    102.230.148.144
hyviudtp.cse.cqu.com.    IN    A    149.156.146.184
eufgnsbr.cse.cqu.com.    IN    A    162.38.179.104
mxhkjdva.cse.cqu.com.    IN    A    255.70.89.224
xcsgemfy.cse.cqu.com.    IN    A    214.11.196.56
vaemwyjk.cse.cqu.com.    IN    A    210.169.192.199
lgmvxfhy.cse.cqu.com.    IN    A    180.20.76.122
hikmrofl.cse.cqu.com.    IN    A    34.31.201.1
oktavipy.cse.cqu.com.    IN    A    84.136.116.134
wydtginh.cse.cqu.com.    IN    A    122.212.168.32
hgimvcbr.cse.cqu.com.    IN    A    234.128.21.121
