pharm.whu.com.	14400	IN	SOA	ns1.pharm.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
pharm.whu.com.		    IN	NS ns1.pharm.whu.com.
gbecltfp.pharm.whu.com.  IN    A    194.127.119.214
nwqguxke.pharm.whu.com.  IN    A    15.164.110.225
rcqgfmyu.pharm.whu.com.  IN    A    168.106.79.80
xkypoims.pharm.whu.com.  IN    A    152.246.73.18
nijefcrs.pharm.whu.com.  IN    A    129.65.92.83
vqnucrja.pharm.whu.com.  IN    A    209.13.177.98
lcsbedxv.pharm.whu.com.  IN    A    146.154.37.94
idpcybuv.pharm.whu.com.  IN    A    196.33.130.144
fmbyouxd.pharm.whu.com.  IN    A    184.91.157.209
rvxykblf.pharm.whu.com.  IN    A    243.107.39.187
hsxmnfai.pharm.whu.com.  IN    A    57.247.164.63
rxfgicmk.pharm.whu.com.  IN    A    82.198.249.59
orekylcp.pharm.whu.com.  IN    A    42.247.41.45
mxoeiybc.pharm.whu.com.  IN    A    11.96.171.29
fxivldny.pharm.whu.com.  IN    A    193.190.163.183
amljncvy.pharm.whu.com.  IN    A    4.128.13.248
uqmcpfan.pharm.whu.com.  IN    A    118.7.130.109
tjbdofpq.pharm.whu.com.  IN    A    145.13.39.161
pfdshxvr.pharm.whu.com.  IN    A    90.84.96.59
toxnukfj.pharm.whu.com.  IN    A    84.165.199.71
uqrbkdgy.pharm.whu.com.  IN    A    51.247.252.52
stpkwqgh.pharm.whu.com.  IN    A    225.42.226.62
fgiptcsl.pharm.whu.com.  IN    A    128.31.176.22
fnrxjesa.pharm.whu.com.  IN    A    55.96.144.60
awkfjsqt.pharm.whu.com.  IN    A    94.177.85.85
rbsidufh.pharm.whu.com.  IN    A    98.218.109.23
qgrnoecm.pharm.whu.com.  IN    A    195.182.74.90
jdkgyfsx.pharm.whu.com.  IN    A    98.106.255.134
vsclxnqf.pharm.whu.com.  IN    A    197.172.87.212
wdqgjsci.pharm.whu.com.  IN    A    238.18.53.239
obativhr.pharm.whu.com.  IN    A    145.26.119.176
pltrfeqm.pharm.whu.com.  IN    A    31.247.6.23
yjwexums.pharm.whu.com.  IN    A    42.38.58.196
oklpeixf.pharm.whu.com.  IN    A    66.230.183.38
yfxhqlgk.pharm.whu.com.  IN    A    107.136.113.191
uhdsjvbn.pharm.whu.com.  IN    A    239.183.165.234
etnlrcgf.pharm.whu.com.  IN    A    30.146.158.217
mewaykcp.pharm.whu.com.  IN    A    8.93.197.21
asfwkgxe.pharm.whu.com.  IN    A    138.139.116.245
piaqktgy.pharm.whu.com.  IN    A    190.127.42.139
xsbledhp.pharm.whu.com.  IN    A    43.166.158.30
xltdsvyn.pharm.whu.com.  IN    A    179.99.24.224
routqjfh.pharm.whu.com.  IN    A    29.111.188.21
xoavkgry.pharm.whu.com.  IN    A    225.58.85.124
hqdlsnog.pharm.whu.com.  IN    A    38.253.75.24
xcwrapyb.pharm.whu.com.  IN    A    77.20.84.31
rhwmqxgc.pharm.whu.com.  IN    A    211.161.233.192
dsnbkqvf.pharm.whu.com.  IN    A    119.126.192.227
sywiuqce.pharm.whu.com.  IN    A    50.100.183.35
voyawrkh.pharm.whu.com.  IN    A    246.226.173.125
xwhpofsl.pharm.whu.com.  IN    A    74.177.120.140
mavxqyfk.pharm.whu.com.  IN    A    78.137.222.159
hjtwqxel.pharm.whu.com.  IN    A    186.134.215.34
yfvrwsch.pharm.whu.com.  IN    A    128.82.71.222
dlmyourb.pharm.whu.com.  IN    A    209.184.63.149
cpxnwhjk.pharm.whu.com.  IN    A    32.59.249.63
noactfjp.pharm.whu.com.  IN    A    80.98.247.219
ignordyj.pharm.whu.com.  IN    A    174.144.51.96
kfawcpoq.pharm.whu.com.  IN    A    207.224.26.220
sjqxgufm.pharm.whu.com.  IN    A    82.140.207.151
xhurngmc.pharm.whu.com.  IN    A    77.80.125.212
takcxmpd.pharm.whu.com.  IN    A    238.33.9.189
eyqhxdaf.pharm.whu.com.  IN    A    86.87.209.44
aqeotvkp.pharm.whu.com.  IN    A    51.34.172.255
gjvdkuai.pharm.whu.com.  IN    A    19.37.142.128
mrdoybji.pharm.whu.com.  IN    A    156.193.184.93
tylenqdk.pharm.whu.com.  IN    A    170.223.55.98
gxlahqoc.pharm.whu.com.  IN    A    0.47.95.120
ebpklutn.pharm.whu.com.  IN    A    27.61.53.107
ehpvawxu.pharm.whu.com.  IN    A    254.147.214.157
iacfvrot.pharm.whu.com.  IN    A    228.165.42.62
nwkxgise.pharm.whu.com.  IN    A    49.230.231.171
mgrbosxq.pharm.whu.com.  IN    A    138.114.120.115
meajtwic.pharm.whu.com.  IN    A    5.1.82.150
utrmkbil.pharm.whu.com.  IN    A    196.189.221.255
nsmfbhct.pharm.whu.com.  IN    A    73.209.161.29
nmbyslua.pharm.whu.com.  IN    A    169.166.202.233
uneiclpg.pharm.whu.com.  IN    A    184.185.62.247
natuwfoi.pharm.whu.com.  IN    A    222.136.62.109
ygniuops.pharm.whu.com.  IN    A    73.110.65.235
kjstrelb.pharm.whu.com.  IN    A    153.174.147.117
qmngojxv.pharm.whu.com.  IN    A    173.3.239.109
rjlwthuk.pharm.whu.com.  IN    A    2.50.88.63
vimxklaq.pharm.whu.com.  IN    A    103.41.65.60
rnuyhcjk.pharm.whu.com.  IN    A    148.229.235.148
nirakmeo.pharm.whu.com.  IN    A    132.39.58.71
lpvdcfnq.pharm.whu.com.  IN    A    191.249.89.158
tnckxmsi.pharm.whu.com.  IN    A    173.107.61.97
ewfhdopi.pharm.whu.com.  IN    A    45.226.172.25
wpldbaxf.pharm.whu.com.  IN    A    24.157.230.37
fsbuotym.pharm.whu.com.  IN    A    10.198.14.64
dpngislm.pharm.whu.com.  IN    A    0.76.76.186
qfhunory.pharm.whu.com.  IN    A    129.110.201.61
iytgdrcm.pharm.whu.com.  IN    A    97.210.148.198
oxtkismw.pharm.whu.com.  IN    A    107.96.174.89
vjqmncle.pharm.whu.com.  IN    A    48.159.29.99
fqgpimbt.pharm.whu.com.  IN    A    63.231.154.23
gpvtadhr.pharm.whu.com.  IN    A    51.120.112.57
yglaskdp.pharm.whu.com.  IN    A    224.244.228.180
ivratdme.pharm.whu.com.  IN    A    91.246.251.140
nrkhbpum.pharm.whu.com.  IN    A    227.27.56.120
fqwkclvg.pharm.whu.com.  IN    A    136.69.21.125
npxierth.pharm.whu.com.  IN    A    204.14.106.21
lxhmstnj.pharm.whu.com.  IN    A    149.147.208.82
syqnihow.pharm.whu.com.  IN    A    197.169.48.207
prwdfglc.pharm.whu.com.  IN    A    174.117.132.191
stiwcoqm.pharm.whu.com.  IN    A    34.79.95.239
uavbcyjk.pharm.whu.com.  IN    A    172.218.246.13
avmlycqs.pharm.whu.com.  IN    A    10.148.161.94
cragntbl.pharm.whu.com.  IN    A    188.233.213.31
xgsjcfuw.pharm.whu.com.  IN    A    98.141.225.115
mbayhutj.pharm.whu.com.  IN    A    226.210.23.185
csrlbpud.pharm.whu.com.  IN    A    31.3.101.14
gnlymeuk.pharm.whu.com.  IN    A    105.198.58.228
oekmrfsg.pharm.whu.com.  IN    A    179.167.23.114
lgnriqfe.pharm.whu.com.  IN    A    170.250.105.53
ljtedfvg.pharm.whu.com.  IN    A    47.234.210.132
edamkxsh.pharm.whu.com.  IN    A    202.73.25.98
brxhmvpu.pharm.whu.com.  IN    A    105.134.166.137
afhuicqr.pharm.whu.com.  IN    A    235.192.187.212
qomdaphi.pharm.whu.com.  IN    A    23.17.218.11
cfpugadi.pharm.whu.com.  IN    A    67.236.21.129
bsepiwhv.pharm.whu.com.  IN    A    82.6.49.77
nuhxiswc.pharm.whu.com.  IN    A    235.186.227.161
ncfakejh.pharm.whu.com.  IN    A    208.128.184.158
rvomcgax.pharm.whu.com.  IN    A    9.1.172.187
lbujqagc.pharm.whu.com.  IN    A    108.86.144.119
vbmgjqpw.pharm.whu.com.  IN    A    36.201.140.18
sctynpuh.pharm.whu.com.  IN    A    54.125.74.231
fdysagkb.pharm.whu.com.  IN    A    27.174.114.41
unhkjlyx.pharm.whu.com.  IN    A    204.216.76.58
umsihepn.pharm.whu.com.  IN    A    93.1.254.142
hadopnjg.pharm.whu.com.  IN    A    150.65.189.193
edkhouqp.pharm.whu.com.  IN    A    56.202.160.150
rsjqucnx.pharm.whu.com.  IN    A    146.194.22.226
crgtkapj.pharm.whu.com.  IN    A    63.225.151.21
mudihqcr.pharm.whu.com.  IN    A    127.140.23.61
xasrlnje.pharm.whu.com.  IN    A    131.235.201.243
dghymtrb.pharm.whu.com.  IN    A    110.171.213.17
vkohaebw.pharm.whu.com.  IN    A    55.171.174.185
wntpfbag.pharm.whu.com.  IN    A    187.45.35.132
yjdawxhq.pharm.whu.com.  IN    A    209.47.119.238
ekfatiyx.pharm.whu.com.  IN    A    50.102.209.41
xibkhrea.pharm.whu.com.  IN    A    172.220.233.3
wgujtqfi.pharm.whu.com.  IN    A    242.28.239.55
aubhldon.pharm.whu.com.  IN    A    230.90.145.81
fewqhxdn.pharm.whu.com.  IN    A    147.177.248.91
ihwmrpdk.pharm.whu.com.  IN    A    239.102.216.52
rbpehciv.pharm.whu.com.  IN    A    73.240.184.99
mvfrxjea.pharm.whu.com.  IN    A    18.133.95.233
olnmxphy.pharm.whu.com.  IN    A    249.173.28.100
moulfvaw.pharm.whu.com.  IN    A    83.176.60.190
oykmndex.pharm.whu.com.  IN    A    127.63.194.1
qyrotmbc.pharm.whu.com.  IN    A    18.191.181.133
golpabeh.pharm.whu.com.  IN    A    253.119.199.82
nepluomv.pharm.whu.com.  IN    A    40.36.85.58
miajxguk.pharm.whu.com.  IN    A    205.30.70.122
tvnecryk.pharm.whu.com.  IN    A    161.11.177.65
hpeosmjf.pharm.whu.com.  IN    A    177.36.215.44
nlwqskhc.pharm.whu.com.  IN    A    32.223.46.173
xicyqsnb.pharm.whu.com.  IN    A    58.74.111.98
tpiygkwl.pharm.whu.com.  IN    A    222.96.212.50
dnosuyka.pharm.whu.com.  IN    A    127.230.214.86
hgoudqcb.pharm.whu.com.  IN    A    108.148.192.29
itsfnqdy.pharm.whu.com.  IN    A    178.226.190.52
nigtrcfx.pharm.whu.com.  IN    A    27.178.3.66
jswybkeh.pharm.whu.com.  IN    A    68.20.228.11
fecnkthg.pharm.whu.com.  IN    A    162.66.112.13
vdkiynps.pharm.whu.com.  IN    A    176.87.244.192
cujrhpgm.pharm.whu.com.  IN    A    12.74.219.33
mehipgob.pharm.whu.com.  IN    A    215.187.181.130
jhtpivgq.pharm.whu.com.  IN    A    255.136.57.16
imblgsfu.pharm.whu.com.  IN    A    62.126.93.105
meuwfgql.pharm.whu.com.  IN    A    76.49.243.31
bwctqure.pharm.whu.com.  IN    A    95.201.167.133
hsebcoij.pharm.whu.com.  IN    A    109.136.66.89
gqflyopi.pharm.whu.com.  IN    A    176.138.175.243
yxiqlabf.pharm.whu.com.  IN    A    98.225.116.129
lwkngxfo.pharm.whu.com.  IN    A    231.77.253.49
mujhsvaf.pharm.whu.com.  IN    A    65.153.127.30
bhvtwmog.pharm.whu.com.  IN    A    103.250.213.22
dniuepsy.pharm.whu.com.  IN    A    102.45.154.254
weostgdl.pharm.whu.com.  IN    A    91.236.68.191
pabxljhw.pharm.whu.com.  IN    A    162.86.195.144
vnbtflpx.pharm.whu.com.  IN    A    151.145.20.93
uerlmhga.pharm.whu.com.  IN    A    243.93.44.12
fcqrpuvk.pharm.whu.com.  IN    A    140.19.15.227
gkcvoalu.pharm.whu.com.  IN    A    159.174.163.46
neuvsqfc.pharm.whu.com.  IN    A    68.209.139.129
imbkyvot.pharm.whu.com.  IN    A    165.144.86.57
tofqxhgj.pharm.whu.com.  IN    A    134.78.164.212
ewvxmsay.pharm.whu.com.  IN    A    36.87.217.21
whynfxkc.pharm.whu.com.  IN    A    243.165.117.174
piawyjsc.pharm.whu.com.  IN    A    11.191.26.219
crlkjume.pharm.whu.com.  IN    A    220.108.192.203
egpalnky.pharm.whu.com.  IN    A    37.201.236.51
amknbwjp.pharm.whu.com.  IN    A    83.214.185.14
gcjihpnq.pharm.whu.com.  IN    A    216.123.94.194
gnqtmlds.pharm.whu.com.  IN    A    217.24.92.137
tloircpx.pharm.whu.com.  IN    A    174.82.41.192
vpjnfkqu.pharm.whu.com.  IN    A    249.113.11.125
cxwfvrht.pharm.whu.com.  IN    A    157.44.169.226
fpyescrl.pharm.whu.com.  IN    A    138.154.201.148
dqovfcst.pharm.whu.com.  IN    A    63.138.69.252
duqhtopg.pharm.whu.com.  IN    A    240.247.230.130
yowkmsng.pharm.whu.com.  IN    A    200.83.50.178
ufxavmry.pharm.whu.com.  IN    A    86.85.233.61
pbjxvqcg.pharm.whu.com.  IN    A    28.196.163.214
uyrkxhof.pharm.whu.com.  IN    A    11.244.28.168
eoxlrvhc.pharm.whu.com.  IN    A    236.106.86.218
kchynflu.pharm.whu.com.  IN    A    124.70.83.211
gdsbqecl.pharm.whu.com.  IN    A    120.243.64.118
edqkcarl.pharm.whu.com.  IN    A    27.64.190.25
tnxybsgd.pharm.whu.com.  IN    A    173.72.45.230
rsvmqytc.pharm.whu.com.  IN    A    101.181.171.15
fbmlhspg.pharm.whu.com.  IN    A    91.210.161.74
vmacndpi.pharm.whu.com.  IN    A    172.255.186.148
biqxwlyt.pharm.whu.com.  IN    A    251.204.16.164
lqnrpvdt.pharm.whu.com.  IN    A    222.25.98.6
gqrexvps.pharm.whu.com.  IN    A    208.182.92.60
kbuniqds.pharm.whu.com.  IN    A    238.188.35.96
vsirdtpg.pharm.whu.com.  IN    A    64.184.164.205
xylhaskb.pharm.whu.com.  IN    A    6.60.220.231
onrldaxp.pharm.whu.com.  IN    A    11.228.243.247
blconxpt.pharm.whu.com.  IN    A    94.36.75.11
kyuntwih.pharm.whu.com.  IN    A    140.207.197.37
gnukyflb.pharm.whu.com.  IN    A    231.44.145.230
okncwhba.pharm.whu.com.  IN    A    191.202.82.207
whdfvsrj.pharm.whu.com.  IN    A    193.90.174.3
ywbmsqtc.pharm.whu.com.  IN    A    30.194.107.197
bavqkucp.pharm.whu.com.  IN    A    158.127.219.248
unhvfesa.pharm.whu.com.  IN    A    222.198.61.190
galtevwk.pharm.whu.com.  IN    A    249.186.112.167
cgjqnilm.pharm.whu.com.  IN    A    127.141.25.94
umwrdpol.pharm.whu.com.  IN    A    111.108.64.176
slkgwxuf.pharm.whu.com.  IN    A    69.37.162.243
ubfrqcng.pharm.whu.com.  IN    A    160.36.245.26
skyxtcue.pharm.whu.com.  IN    A    233.194.224.10
hptbyncm.pharm.whu.com.  IN    A    93.168.19.119
vtlupojr.pharm.whu.com.  IN    A    241.182.50.194
gpojkcxt.pharm.whu.com.  IN    A    130.80.228.83
qurphtfo.pharm.whu.com.  IN    A    255.103.141.22
kepbqgsw.pharm.whu.com.  IN    A    186.197.224.119
qwifcodp.pharm.whu.com.  IN    A    174.159.162.169
dpbejrva.pharm.whu.com.  IN    A    124.228.5.49
dvauegyp.pharm.whu.com.  IN    A    184.89.154.37
loathkmp.pharm.whu.com.  IN    A    248.92.239.73
nrdxybcf.pharm.whu.com.  IN    A    218.246.130.191
qsnwcybi.pharm.whu.com.  IN    A    187.44.37.185
afbnqdme.pharm.whu.com.  IN    A    194.205.167.15
nfxylwoc.pharm.whu.com.  IN    A    45.255.245.4
carfholu.pharm.whu.com.  IN    A    8.157.136.206
rxaejvqo.pharm.whu.com.  IN    A    161.50.141.208
nlkitame.pharm.whu.com.  IN    A    113.178.188.158
mxotpijv.pharm.whu.com.  IN    A    208.29.235.34
hgmvoxkn.pharm.whu.com.  IN    A    27.197.215.48
pvqatucw.pharm.whu.com.  IN    A    85.61.235.224
uqcefgka.pharm.whu.com.  IN    A    107.33.187.236
udfbwyth.pharm.whu.com.  IN    A    100.190.252.180
ncvjyxmr.pharm.whu.com.  IN    A    85.12.221.194
scekdtju.pharm.whu.com.  IN    A    155.180.13.107
eaxiqdgn.pharm.whu.com.  IN    A    50.161.43.251
gjfkenuq.pharm.whu.com.  IN    A    220.117.83.1
gywfomui.pharm.whu.com.  IN    A    203.231.132.140
qmuhorjv.pharm.whu.com.  IN    A    190.189.13.81
pqimsort.pharm.whu.com.  IN    A    138.222.66.92
onmltbps.pharm.whu.com.  IN    A    237.24.227.47
xfekyhcs.pharm.whu.com.  IN    A    181.175.109.196
mbyjisga.pharm.whu.com.  IN    A    245.225.134.135
inrcwhls.pharm.whu.com.  IN    A    222.58.5.174
tckgpsxl.pharm.whu.com.  IN    A    157.133.17.250
nxlrmvho.pharm.whu.com.  IN    A    16.170.241.231
rvwogyft.pharm.whu.com.  IN    A    51.244.14.43
vwqukhrl.pharm.whu.com.  IN    A    55.85.244.114
jxhecblf.pharm.whu.com.  IN    A    138.174.101.253
rbdphkye.pharm.whu.com.  IN    A    155.147.65.121
nbtrcuyi.pharm.whu.com.  IN    A    197.204.82.108
jilhcmon.pharm.whu.com.  IN    A    38.204.153.143
aubdyqhv.pharm.whu.com.  IN    A    53.204.210.214
tkrmyhau.pharm.whu.com.  IN    A    134.137.229.50
qwfvjybr.pharm.whu.com.  IN    A    208.108.86.38
cxilyedn.pharm.whu.com.  IN    A    87.163.147.32
owirsgpl.pharm.whu.com.  IN    A    110.228.54.229
idnsakyt.pharm.whu.com.  IN    A    49.62.34.219
rpqkdoem.pharm.whu.com.  IN    A    38.168.247.224
rymqnxle.pharm.whu.com.  IN    A    240.29.37.103
slburaqd.pharm.whu.com.  IN    A    136.190.103.33
enuyighb.pharm.whu.com.  IN    A    210.254.198.6
cnhlybfp.pharm.whu.com.  IN    A    114.235.37.60
crntplyu.pharm.whu.com.  IN    A    206.17.128.81
mptkgweb.pharm.whu.com.  IN    A    113.11.74.229
ypbsdanx.pharm.whu.com.  IN    A    12.165.230.77
melbjroq.pharm.whu.com.  IN    A    150.253.4.214
ykmhtasx.pharm.whu.com.  IN    A    192.122.92.200
ncfodtea.pharm.whu.com.  IN    A    128.192.80.97
gcavprnq.pharm.whu.com.  IN    A    176.237.250.198
vlghqsop.pharm.whu.com.  IN    A    15.250.218.202
ruhwseon.pharm.whu.com.  IN    A    181.207.208.208
ndwjephm.pharm.whu.com.  IN    A    199.17.157.189
uolpebtv.pharm.whu.com.  IN    A    70.92.46.76
ovnxlhie.pharm.whu.com.  IN    A    179.48.48.111
pcvmxfhn.pharm.whu.com.  IN    A    50.147.149.238
kelcbsod.pharm.whu.com.  IN    A    227.18.67.42
jmkyaxwq.pharm.whu.com.  IN    A    18.82.126.231
txhgolea.pharm.whu.com.  IN    A    245.220.29.183
otleacxg.pharm.whu.com.  IN    A    223.37.48.196
qmtpusrk.pharm.whu.com.  IN    A    69.211.43.136
wmvefprk.pharm.whu.com.  IN    A    138.196.186.247
hlskavtj.pharm.whu.com.  IN    A    171.155.71.192
dbuawjxs.pharm.whu.com.  IN    A    219.171.239.239
qonucias.pharm.whu.com.  IN    A    74.207.59.147
wlomires.pharm.whu.com.  IN    A    210.167.0.69
cmqetgvh.pharm.whu.com.  IN    A    106.121.111.76
pwmvehdi.pharm.whu.com.  IN    A    253.27.138.133
sqyheukp.pharm.whu.com.  IN    A    32.167.218.179
jlghyopn.pharm.whu.com.  IN    A    251.160.197.21
juhgrebw.pharm.whu.com.  IN    A    5.4.13.80
lpxsmjta.pharm.whu.com.  IN    A    215.80.208.10
gwyfplxm.pharm.whu.com.  IN    A    178.217.108.71
jxgmuswr.pharm.whu.com.  IN    A    136.226.129.153
djrgvihk.pharm.whu.com.  IN    A    250.205.245.106
snwgfijc.pharm.whu.com.  IN    A    197.94.226.11
ledjnobu.pharm.whu.com.  IN    A    255.36.196.40
crnohsqf.pharm.whu.com.  IN    A    40.159.102.99
iukrwnxv.pharm.whu.com.  IN    A    78.155.158.219
juckfapv.pharm.whu.com.  IN    A    213.69.220.91
bolunpaq.pharm.whu.com.  IN    A    147.123.148.205
habjltpg.pharm.whu.com.  IN    A    143.227.14.121
yxptsefg.pharm.whu.com.  IN    A    60.168.192.195
gvhnqprt.pharm.whu.com.  IN    A    137.87.143.23
vkmjetsb.pharm.whu.com.  IN    A    244.165.152.90
kqtflvwi.pharm.whu.com.  IN    A    214.247.49.51
satnhxup.pharm.whu.com.  IN    A    78.24.147.100
txogsjbe.pharm.whu.com.  IN    A    66.19.187.48
whgarqxd.pharm.whu.com.  IN    A    105.255.244.28
nkbrhqiv.pharm.whu.com.  IN    A    33.22.207.198
katjcibh.pharm.whu.com.  IN    A    60.112.131.184
xvipsuyb.pharm.whu.com.  IN    A    207.178.94.137
hpkfxivt.pharm.whu.com.  IN    A    183.37.91.236
xsegmhbd.pharm.whu.com.  IN    A    176.47.152.253
ltgbvfxe.pharm.whu.com.  IN    A    23.162.248.112
yvwsrubf.pharm.whu.com.  IN    A    225.1.161.116
jmaifndw.pharm.whu.com.  IN    A    136.1.241.201
xaqoemyh.pharm.whu.com.  IN    A    160.127.146.20
utafoyls.pharm.whu.com.  IN    A    212.1.184.41
aspgvojm.pharm.whu.com.  IN    A    65.164.157.79
wqjnlopu.pharm.whu.com.  IN    A    21.116.86.237
etvywpnq.pharm.whu.com.  IN    A    141.71.69.77
hqpwdeif.pharm.whu.com.  IN    A    101.159.169.134
yqgodtuw.pharm.whu.com.  IN    A    166.148.150.180
oxtdheyl.pharm.whu.com.  IN    A    8.165.161.65
rtlmaonu.pharm.whu.com.  IN    A    6.239.234.183
hqvsgaji.pharm.whu.com.  IN    A    20.35.187.119
jrcvyhge.pharm.whu.com.  IN    A    213.97.71.139
gamjverx.pharm.whu.com.  IN    A    174.250.141.209
gmjxkaye.pharm.whu.com.  IN    A    109.89.166.186
irvmgodj.pharm.whu.com.  IN    A    162.86.100.72
vushejyl.pharm.whu.com.  IN    A    50.205.235.36
pvontljx.pharm.whu.com.  IN    A    212.66.160.61
xgeqrjmd.pharm.whu.com.  IN    A    22.92.109.126
yhkvmbnu.pharm.whu.com.  IN    A    202.182.87.4
xfjkrqav.pharm.whu.com.  IN    A    109.115.252.166
ovtjfawe.pharm.whu.com.  IN    A    126.26.77.231
myfgacdr.pharm.whu.com.  IN    A    190.126.76.192
nqfvohtx.pharm.whu.com.  IN    A    104.228.234.179
catbxdhf.pharm.whu.com.  IN    A    123.16.83.219
mcitunef.pharm.whu.com.  IN    A    193.211.153.107
jmvdkxnc.pharm.whu.com.  IN    A    41.50.121.154
dhryekwc.pharm.whu.com.  IN    A    186.218.161.133
wtrqlash.pharm.whu.com.  IN    A    92.72.153.167
vxcmbpjt.pharm.whu.com.  IN    A    38.123.44.209
kpvsibla.pharm.whu.com.  IN    A    30.122.163.14
fnovilus.pharm.whu.com.  IN    A    119.31.201.154
sfojxvyd.pharm.whu.com.  IN    A    146.189.151.146
mgruqxsp.pharm.whu.com.  IN    A    221.70.207.127
byocpweg.pharm.whu.com.  IN    A    211.246.168.33
jkfuacob.pharm.whu.com.  IN    A    154.113.106.126
yegqsvbp.pharm.whu.com.  IN    A    20.38.178.66
dpoufvqx.pharm.whu.com.  IN    A    90.28.124.225
tbmadknc.pharm.whu.com.  IN    A    73.185.143.242
kmsqxfwb.pharm.whu.com.  IN    A    147.154.198.84
aubnlhpi.pharm.whu.com.  IN    A    63.142.90.141
lrefubyk.pharm.whu.com.  IN    A    141.78.18.131
jiuvtrxy.pharm.whu.com.  IN    A    255.5.190.149
kvbwtecn.pharm.whu.com.  IN    A    69.118.170.143
ecgfqvtr.pharm.whu.com.  IN    A    165.136.165.33
awftxmou.pharm.whu.com.  IN    A    7.78.44.139
ejcyuswa.pharm.whu.com.  IN    A    245.105.150.152
wmjqnhfc.pharm.whu.com.  IN    A    124.42.32.243
mriatkbl.pharm.whu.com.  IN    A    212.174.77.69
nkgerjpy.pharm.whu.com.  IN    A    40.1.40.38
jyucopbf.pharm.whu.com.  IN    A    207.60.233.132
yvroupiw.pharm.whu.com.  IN    A    42.107.166.227
gevsuxot.pharm.whu.com.  IN    A    178.224.155.231
piaywcue.pharm.whu.com.  IN    A    35.151.13.162
jgeuyvtd.pharm.whu.com.  IN    A    234.98.125.9
djucvoae.pharm.whu.com.  IN    A    106.54.139.93
nijhlkyx.pharm.whu.com.  IN    A    239.11.231.225
ltmhsuay.pharm.whu.com.  IN    A    175.98.136.173
wrhegnbq.pharm.whu.com.  IN    A    184.77.97.229
tkixmead.pharm.whu.com.  IN    A    102.3.126.80
dtkcurge.pharm.whu.com.  IN    A    217.93.49.240
ypoierks.pharm.whu.com.  IN    A    116.60.110.249
ksugwyrt.pharm.whu.com.  IN    A    51.244.102.57
ipkdfths.pharm.whu.com.  IN    A    154.69.17.46
xernpfbw.pharm.whu.com.  IN    A    99.238.9.190
wanqrvbm.pharm.whu.com.  IN    A    58.220.24.153
xdphiyfa.pharm.whu.com.  IN    A    234.129.133.227
csudpnvt.pharm.whu.com.  IN    A    243.13.211.22
wgtrcxjk.pharm.whu.com.  IN    A    196.129.246.122
bwaiqkce.pharm.whu.com.  IN    A    24.84.200.132
fcluvjnw.pharm.whu.com.  IN    A    110.159.86.222
iwvprlbx.pharm.whu.com.  IN    A    153.16.5.201
pxdnbqti.pharm.whu.com.  IN    A    0.55.207.23
hqcsjefy.pharm.whu.com.  IN    A    38.186.95.82
uqfemvip.pharm.whu.com.  IN    A    149.87.139.25
phvfrknm.pharm.whu.com.  IN    A    116.211.133.95
muearxiw.pharm.whu.com.  IN    A    244.155.69.138
htesrpvq.pharm.whu.com.  IN    A    106.144.153.80
ibexuyno.pharm.whu.com.  IN    A    128.216.112.185
oasuplbc.pharm.whu.com.  IN    A    138.85.44.7
rnutcoey.pharm.whu.com.  IN    A    29.179.222.17
xqejncbl.pharm.whu.com.  IN    A    179.32.3.105
jvfrwoam.pharm.whu.com.  IN    A    20.87.91.184
ijourxmd.pharm.whu.com.  IN    A    39.151.28.164
xysnjeir.pharm.whu.com.  IN    A    187.151.119.11
lstnrmup.pharm.whu.com.  IN    A    200.239.179.177
vkycrgqf.pharm.whu.com.  IN    A    175.150.168.213
ifqlproj.pharm.whu.com.  IN    A    194.141.192.16
klgcfmyr.pharm.whu.com.  IN    A    191.68.164.84
slrgekyn.pharm.whu.com.  IN    A    1.7.153.203
lydfkjpn.pharm.whu.com.  IN    A    170.15.231.174
htxenvku.pharm.whu.com.  IN    A    135.171.9.63
adugvswk.pharm.whu.com.  IN    A    55.159.225.15
bgnaixlf.pharm.whu.com.  IN    A    100.125.141.166
oayfjldt.pharm.whu.com.  IN    A    2.210.137.53
pakcoxnv.pharm.whu.com.  IN    A    54.71.73.69
aegkmwtb.pharm.whu.com.  IN    A    224.40.28.47
dtjqfbvn.pharm.whu.com.  IN    A    22.59.240.120
rbnaotug.pharm.whu.com.  IN    A    243.148.136.104
xghdjkwr.pharm.whu.com.  IN    A    179.97.142.231
yoxjwurv.pharm.whu.com.  IN    A    53.126.7.100
dwhivtmn.pharm.whu.com.  IN    A    217.105.83.211
drinjmqg.pharm.whu.com.  IN    A    195.197.224.229
pmahikny.pharm.whu.com.  IN    A    212.186.180.218
uyjqcmex.pharm.whu.com.  IN    A    176.227.253.6
ebvydowt.pharm.whu.com.  IN    A    255.66.5.49
mkvnxqtg.pharm.whu.com.  IN    A    162.90.45.117
tjocyslq.pharm.whu.com.  IN    A    198.92.21.6
lnkpoqyv.pharm.whu.com.  IN    A    231.177.40.50
skgdvymt.pharm.whu.com.  IN    A    226.246.204.39
sfvjbltm.pharm.whu.com.  IN    A    50.156.158.204
fduvxbih.pharm.whu.com.  IN    A    29.45.228.183
secgwtxj.pharm.whu.com.  IN    A    222.244.226.241
lmjntgsb.pharm.whu.com.  IN    A    104.89.123.45
jqmufyrg.pharm.whu.com.  IN    A    201.219.21.186
epynsfrm.pharm.whu.com.  IN    A    117.220.173.82
