sm.xmu.com.	14400	IN	SOA	ns1.sm.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
sm.xmu.com.		    IN	NS ns1.sm.xmu.com.
hqxfujlt.sm.xmu.com.     IN    A    148.109.125.127
tdvrcphy.sm.xmu.com.     IN    A    52.223.15.236
fqyhianx.sm.xmu.com.     IN    A    150.162.78.134
bstonhiq.sm.xmu.com.     IN    A    30.219.160.232
emuxndja.sm.xmu.com.     IN    A    87.249.136.14
ckmiwbgl.sm.xmu.com.     IN    A    11.245.199.251
srbvymlk.sm.xmu.com.     IN    A    20.198.253.67
uaxiwjoc.sm.xmu.com.     IN    A    51.64.235.158
hlcdkiuq.sm.xmu.com.     IN    A    171.230.64.163
kdioyxhn.sm.xmu.com.     IN    A    152.64.237.6
qmxnjulf.sm.xmu.com.     IN    A    169.162.127.206
eanolixk.sm.xmu.com.     IN    A    85.34.227.74
vgefjhsr.sm.xmu.com.     IN    A    116.222.51.191
ytascgpv.sm.xmu.com.     IN    A    81.197.131.101
atdqxvjf.sm.xmu.com.     IN    A    5.213.28.224
chlaymgv.sm.xmu.com.     IN    A    128.10.130.199
vgicfyrq.sm.xmu.com.     IN    A    196.146.105.199
jrngvxyo.sm.xmu.com.     IN    A    103.243.78.206
kctnlxsd.sm.xmu.com.     IN    A    234.216.89.240
fwmrklyj.sm.xmu.com.     IN    A    215.250.238.252
vemwhjdt.sm.xmu.com.     IN    A    198.194.8.206
kgjpvowf.sm.xmu.com.     IN    A    196.88.55.214
yvlqghxi.sm.xmu.com.     IN    A    63.251.90.131
vecwokba.sm.xmu.com.     IN    A    191.131.189.212
natkhuir.sm.xmu.com.     IN    A    189.23.241.29
kudmnvjo.sm.xmu.com.     IN    A    165.123.67.32
tmfpkiga.sm.xmu.com.     IN    A    82.106.163.147
ltafgynd.sm.xmu.com.     IN    A    19.163.190.20
kmfdxcag.sm.xmu.com.     IN    A    109.150.69.48
xdfcispa.sm.xmu.com.     IN    A    130.37.4.249
ufhjraqk.sm.xmu.com.     IN    A    87.227.128.237
stxdgfwj.sm.xmu.com.     IN    A    110.82.72.150
kqxjfrto.sm.xmu.com.     IN    A    240.171.154.246
lowejabc.sm.xmu.com.     IN    A    196.96.3.99
oyawnbfu.sm.xmu.com.     IN    A    95.9.107.87
ljvsinod.sm.xmu.com.     IN    A    123.208.93.193
qltrucme.sm.xmu.com.     IN    A    76.217.14.19
jugibrhk.sm.xmu.com.     IN    A    78.158.84.57
vlhcgfso.sm.xmu.com.     IN    A    110.61.152.176
lsuhegfr.sm.xmu.com.     IN    A    195.29.197.106
eonxwvbd.sm.xmu.com.     IN    A    222.229.183.21
gplrkqyi.sm.xmu.com.     IN    A    222.12.242.85
aimuvkos.sm.xmu.com.     IN    A    153.112.247.180
rbftcwqv.sm.xmu.com.     IN    A    25.173.146.25
cnvrmbdi.sm.xmu.com.     IN    A    227.127.124.185
irtjcgve.sm.xmu.com.     IN    A    228.102.173.45
mjlscxvi.sm.xmu.com.     IN    A    173.33.153.75
ilxnchkq.sm.xmu.com.     IN    A    130.236.162.114
vaiqbtsu.sm.xmu.com.     IN    A    62.75.112.110
vtjseiau.sm.xmu.com.     IN    A    155.104.236.186
arqkvipw.sm.xmu.com.     IN    A    236.39.58.151
ltskjbgi.sm.xmu.com.     IN    A    102.94.79.58
hgudnfql.sm.xmu.com.     IN    A    53.10.31.203
ovkdtmus.sm.xmu.com.     IN    A    147.51.187.172
bnwyrisg.sm.xmu.com.     IN    A    17.241.81.247
prqagsmf.sm.xmu.com.     IN    A    114.190.53.145
lkdefqng.sm.xmu.com.     IN    A    196.56.235.31
dcqtelso.sm.xmu.com.     IN    A    77.165.214.185
nbayehcx.sm.xmu.com.     IN    A    24.218.28.38
qialjvef.sm.xmu.com.     IN    A    28.92.32.21
skowvxbl.sm.xmu.com.     IN    A    155.43.59.174
yacslrxf.sm.xmu.com.     IN    A    232.144.99.211
cvpjemda.sm.xmu.com.     IN    A    45.232.231.38
mdfbchui.sm.xmu.com.     IN    A    239.57.140.104
oitcymsx.sm.xmu.com.     IN    A    2.83.114.109
qibvmnjf.sm.xmu.com.     IN    A    244.27.137.102
asxpdwft.sm.xmu.com.     IN    A    241.195.195.135
vfpcsaue.sm.xmu.com.     IN    A    52.13.131.38
bsolwpte.sm.xmu.com.     IN    A    27.30.198.40
asmnvdqj.sm.xmu.com.     IN    A    69.200.0.196
besitpxc.sm.xmu.com.     IN    A    150.2.5.38
rcmgynop.sm.xmu.com.     IN    A    151.246.168.139
yfnsrcol.sm.xmu.com.     IN    A    127.254.195.200
nsifpaxj.sm.xmu.com.     IN    A    240.53.88.153
pgwonxef.sm.xmu.com.     IN    A    76.47.139.232
hjlogtfu.sm.xmu.com.     IN    A    58.18.204.123
urslyctk.sm.xmu.com.     IN    A    222.21.227.214
hsaygrcw.sm.xmu.com.     IN    A    127.132.29.119
msjripqw.sm.xmu.com.     IN    A    93.132.20.216
rtsxvame.sm.xmu.com.     IN    A    174.215.56.2
iwfgyanx.sm.xmu.com.     IN    A    112.83.7.60
bajdmucr.sm.xmu.com.     IN    A    172.82.76.162
hruwptdx.sm.xmu.com.     IN    A    52.12.203.177
ahcwnoqg.sm.xmu.com.     IN    A    14.250.104.109
qmdwlfou.sm.xmu.com.     IN    A    144.158.161.194
txrjpvfw.sm.xmu.com.     IN    A    70.215.249.122
oiuxrwva.sm.xmu.com.     IN    A    78.158.41.157
mkpoetsd.sm.xmu.com.     IN    A    37.74.75.23
vowjpdic.sm.xmu.com.     IN    A    93.252.247.207
mgokjhwx.sm.xmu.com.     IN    A    142.158.236.75
lbavgsyp.sm.xmu.com.     IN    A    19.68.116.87
voqmusad.sm.xmu.com.     IN    A    202.106.124.119
ftnpqbws.sm.xmu.com.     IN    A    172.218.200.5
hkrxpswo.sm.xmu.com.     IN    A    209.162.31.228
pbwnirye.sm.xmu.com.     IN    A    241.131.36.62
uavsbxhi.sm.xmu.com.     IN    A    33.4.195.246
gxyqltjm.sm.xmu.com.     IN    A    81.60.20.174
taevdfbi.sm.xmu.com.     IN    A    38.225.252.33
gxdhrjmi.sm.xmu.com.     IN    A    210.204.228.49
iybgnskq.sm.xmu.com.     IN    A    56.15.59.8
sdgxubtn.sm.xmu.com.     IN    A    210.118.68.155
ohxdjbus.sm.xmu.com.     IN    A    14.80.250.33
wjbarltk.sm.xmu.com.     IN    A    66.51.74.210
bnmvkgtl.sm.xmu.com.     IN    A    229.210.72.50
eojrubfv.sm.xmu.com.     IN    A    75.147.86.189
evrqkojh.sm.xmu.com.     IN    A    242.40.70.112
mocvpwge.sm.xmu.com.     IN    A    95.53.227.200
yqsfltdw.sm.xmu.com.     IN    A    168.52.146.208
kvwgicfo.sm.xmu.com.     IN    A    81.195.32.83
yefomrdx.sm.xmu.com.     IN    A    3.133.86.197
sfdevqar.sm.xmu.com.     IN    A    183.28.226.76
spruwkeh.sm.xmu.com.     IN    A    98.190.71.105
najvlfst.sm.xmu.com.     IN    A    170.240.237.2
hlecpktd.sm.xmu.com.     IN    A    219.30.219.152
yduxpate.sm.xmu.com.     IN    A    231.200.239.141
joftwycl.sm.xmu.com.     IN    A    226.42.131.193
ghkiocud.sm.xmu.com.     IN    A    244.123.141.37
yjgephck.sm.xmu.com.     IN    A    41.3.78.45
fxqtgbvc.sm.xmu.com.     IN    A    83.179.64.134
vuiharxq.sm.xmu.com.     IN    A    92.215.82.138
hrmtwbae.sm.xmu.com.     IN    A    250.79.178.249
kecgvsdi.sm.xmu.com.     IN    A    133.150.54.7
bjgyndru.sm.xmu.com.     IN    A    50.169.64.143
afpvchsy.sm.xmu.com.     IN    A    154.29.25.82
nwaulkxf.sm.xmu.com.     IN    A    44.194.7.41
gnjrquec.sm.xmu.com.     IN    A    206.140.152.77
ngkxialj.sm.xmu.com.     IN    A    204.184.145.95
jbrwctfv.sm.xmu.com.     IN    A    159.182.109.22
tjhinswd.sm.xmu.com.     IN    A    124.224.230.44
uiqlotar.sm.xmu.com.     IN    A    100.109.135.66
qphlcyxr.sm.xmu.com.     IN    A    198.147.239.31
iuxaoysl.sm.xmu.com.     IN    A    214.236.149.253
mdtjlxsw.sm.xmu.com.     IN    A    222.10.246.174
mbfoqrjg.sm.xmu.com.     IN    A    107.242.97.234
xqsrmpvd.sm.xmu.com.     IN    A    152.36.146.47
qspmytji.sm.xmu.com.     IN    A    23.147.7.45
vxhknfba.sm.xmu.com.     IN    A    100.108.12.84
lxtjwsfb.sm.xmu.com.     IN    A    112.131.156.89
bkscrqyt.sm.xmu.com.     IN    A    206.243.127.175
turgyxkf.sm.xmu.com.     IN    A    48.143.200.152
vshwtyru.sm.xmu.com.     IN    A    202.99.116.147
vuiclxro.sm.xmu.com.     IN    A    218.11.3.251
emsgyfpb.sm.xmu.com.     IN    A    27.5.121.67
xqerfkmi.sm.xmu.com.     IN    A    90.26.135.110
mnlrjhqd.sm.xmu.com.     IN    A    84.216.43.108
hnjeblsy.sm.xmu.com.     IN    A    119.18.118.184
pmjuvcke.sm.xmu.com.     IN    A    205.46.231.129
xwvlubni.sm.xmu.com.     IN    A    113.174.110.129
undipvxs.sm.xmu.com.     IN    A    221.153.200.232
cpvuhkjf.sm.xmu.com.     IN    A    156.183.51.47
cfksweyv.sm.xmu.com.     IN    A    130.141.219.10
hobglsnq.sm.xmu.com.     IN    A    103.125.82.192
lgsxomyd.sm.xmu.com.     IN    A    172.51.216.157
fldvjqpi.sm.xmu.com.     IN    A    113.39.11.109
pohgvebm.sm.xmu.com.     IN    A    185.77.209.162
vmbnfelp.sm.xmu.com.     IN    A    51.30.159.249
nsbkjihw.sm.xmu.com.     IN    A    165.224.214.119
chtijovx.sm.xmu.com.     IN    A    89.182.29.2
ypatsufr.sm.xmu.com.     IN    A    80.254.197.121
kgtquiwj.sm.xmu.com.     IN    A    50.246.177.143
dheaxlqs.sm.xmu.com.     IN    A    42.124.139.16
aflcydkp.sm.xmu.com.     IN    A    214.254.59.149
bgxhqvrf.sm.xmu.com.     IN    A    193.77.7.209
ebdmijwf.sm.xmu.com.     IN    A    205.253.125.10
mntdyqah.sm.xmu.com.     IN    A    229.160.161.139
psuyjgmd.sm.xmu.com.     IN    A    237.63.69.37
pjfyxqwl.sm.xmu.com.     IN    A    225.22.121.23
robhtqvn.sm.xmu.com.     IN    A    21.241.237.26
ketfvpnx.sm.xmu.com.     IN    A    120.54.254.160
dbhioatf.sm.xmu.com.     IN    A    236.144.40.161
sntjwguq.sm.xmu.com.     IN    A    246.4.102.101
fgsluxat.sm.xmu.com.     IN    A    26.34.132.95
jnhuodtw.sm.xmu.com.     IN    A    160.252.38.59
pmnqgcas.sm.xmu.com.     IN    A    162.96.157.99
esvphumg.sm.xmu.com.     IN    A    6.33.39.57
ulirtmdn.sm.xmu.com.     IN    A    25.172.65.234
oxentuig.sm.xmu.com.     IN    A    134.214.45.115
fgjbxdma.sm.xmu.com.     IN    A    195.86.57.94
vhlskcam.sm.xmu.com.     IN    A    165.107.135.92
fxvstnui.sm.xmu.com.     IN    A    62.200.201.220
syemtcpq.sm.xmu.com.     IN    A    21.67.251.59
xtfjadeg.sm.xmu.com.     IN    A    26.241.178.255
qynheobg.sm.xmu.com.     IN    A    160.204.171.18
ytwcekrx.sm.xmu.com.     IN    A    206.76.233.172
rcluwsxm.sm.xmu.com.     IN    A    4.61.41.7
impswudl.sm.xmu.com.     IN    A    209.213.237.115
ckjbintq.sm.xmu.com.     IN    A    75.22.92.218
ujmtkwcg.sm.xmu.com.     IN    A    160.124.31.250
fumakcqs.sm.xmu.com.     IN    A    199.186.187.99
bsgwoidl.sm.xmu.com.     IN    A    42.240.232.46
pcharfes.sm.xmu.com.     IN    A    118.211.184.49
awofmhsl.sm.xmu.com.     IN    A    26.31.175.92
kprdqbfu.sm.xmu.com.     IN    A    114.225.138.227
lcwefqno.sm.xmu.com.     IN    A    72.80.146.42
ilkpjxby.sm.xmu.com.     IN    A    199.0.226.78
fwuqscpe.sm.xmu.com.     IN    A    110.83.131.57
hwjanefq.sm.xmu.com.     IN    A    181.80.137.149
xkjbwudi.sm.xmu.com.     IN    A    2.194.199.151
ybfrcuti.sm.xmu.com.     IN    A    27.234.15.24
mrwfovkg.sm.xmu.com.     IN    A    56.241.250.193
ojsgyqfb.sm.xmu.com.     IN    A    129.110.88.54
volcmbxy.sm.xmu.com.     IN    A    134.7.237.239
xcyegkfp.sm.xmu.com.     IN    A    249.91.26.42
yifrdwoc.sm.xmu.com.     IN    A    50.75.115.184
osdiafcl.sm.xmu.com.     IN    A    79.1.138.150
xvjbylnr.sm.xmu.com.     IN    A    240.136.200.99
qdtjepck.sm.xmu.com.     IN    A    174.166.251.156
nldfkbgq.sm.xmu.com.     IN    A    239.253.146.93
jgoatecl.sm.xmu.com.     IN    A    155.30.103.185
wkjsxdql.sm.xmu.com.     IN    A    102.15.27.88
bfphauwv.sm.xmu.com.     IN    A    50.132.115.176
trenbdas.sm.xmu.com.     IN    A    241.213.32.196
bijeylkx.sm.xmu.com.     IN    A    209.156.236.186
egqxiybt.sm.xmu.com.     IN    A    239.6.19.200
tvbfqink.sm.xmu.com.     IN    A    31.20.96.171
dxlfgeqs.sm.xmu.com.     IN    A    216.220.181.152
knypqlsr.sm.xmu.com.     IN    A    104.60.208.40
hwylfdjp.sm.xmu.com.     IN    A    237.71.102.251
pcrdognu.sm.xmu.com.     IN    A    244.43.141.118
uceihrog.sm.xmu.com.     IN    A    169.247.104.114
vsetcjxl.sm.xmu.com.     IN    A    124.46.168.251
qgukpdyv.sm.xmu.com.     IN    A    75.186.198.1
lwvigkec.sm.xmu.com.     IN    A    53.13.147.245
cpvughys.sm.xmu.com.     IN    A    202.107.104.87
hcgqwmuf.sm.xmu.com.     IN    A    150.44.91.164
uplagvqy.sm.xmu.com.     IN    A    154.244.164.128
xeioruny.sm.xmu.com.     IN    A    232.172.108.235
kiohsfbq.sm.xmu.com.     IN    A    162.164.156.42
vhkdxnrt.sm.xmu.com.     IN    A    171.122.65.126
rftwbnve.sm.xmu.com.     IN    A    67.79.18.208
pcijgehb.sm.xmu.com.     IN    A    242.184.116.70
wkgfybri.sm.xmu.com.     IN    A    12.113.165.218
xhirljwa.sm.xmu.com.     IN    A    8.225.31.228
hbxclrqg.sm.xmu.com.     IN    A    112.81.237.92
mfbxyprd.sm.xmu.com.     IN    A    161.81.190.253
odkibqjh.sm.xmu.com.     IN    A    126.182.145.239
kdlcbywf.sm.xmu.com.     IN    A    154.42.131.236
wdcamvhx.sm.xmu.com.     IN    A    155.66.25.154
oquwptbf.sm.xmu.com.     IN    A    127.208.105.103
samufeol.sm.xmu.com.     IN    A    203.172.221.35
qhcwlspu.sm.xmu.com.     IN    A    49.205.0.15
fynlajvk.sm.xmu.com.     IN    A    233.41.106.22
sopenfvc.sm.xmu.com.     IN    A    181.173.219.19
tsamgupv.sm.xmu.com.     IN    A    220.213.214.80
ivxsjqke.sm.xmu.com.     IN    A    76.62.35.194
tbpswixh.sm.xmu.com.     IN    A    22.96.192.83
unfbkcme.sm.xmu.com.     IN    A    118.90.119.73
fsbmalkx.sm.xmu.com.     IN    A    55.155.234.70
fckjsaui.sm.xmu.com.     IN    A    121.145.87.196
huojpxqy.sm.xmu.com.     IN    A    100.212.187.16
xgdcbmua.sm.xmu.com.     IN    A    180.41.130.229
lygqokut.sm.xmu.com.     IN    A    88.24.77.36
tnmrgjby.sm.xmu.com.     IN    A    228.242.238.152
qdearwty.sm.xmu.com.     IN    A    141.39.46.184
wgiuhbrv.sm.xmu.com.     IN    A    164.0.255.108
eyrqbgdn.sm.xmu.com.     IN    A    2.32.222.61
yinrqwxb.sm.xmu.com.     IN    A    194.254.205.208
xslqnipg.sm.xmu.com.     IN    A    200.125.166.28
tsnjpxic.sm.xmu.com.     IN    A    203.115.110.227
ujbdgkhn.sm.xmu.com.     IN    A    234.186.45.169
vatkxbru.sm.xmu.com.     IN    A    110.119.238.119
ucbothvg.sm.xmu.com.     IN    A    199.57.18.221
wbrpflcd.sm.xmu.com.     IN    A    199.162.18.50
kvtaqgpy.sm.xmu.com.     IN    A    15.168.187.201
uancyglq.sm.xmu.com.     IN    A    126.50.176.222
cdosrqxj.sm.xmu.com.     IN    A    61.79.109.225
rgukvlpa.sm.xmu.com.     IN    A    218.236.51.45
aqepgjib.sm.xmu.com.     IN    A    183.191.46.162
mkcvywxq.sm.xmu.com.     IN    A    11.24.160.206
ergcjyuq.sm.xmu.com.     IN    A    46.242.118.183
ejmfupqr.sm.xmu.com.     IN    A    73.70.29.51
sucmaelr.sm.xmu.com.     IN    A    152.93.98.179
uhcdrbqp.sm.xmu.com.     IN    A    111.206.157.253
ldtuqbhn.sm.xmu.com.     IN    A    236.75.54.62
uraoqynh.sm.xmu.com.     IN    A    36.25.81.94
qlvrjasm.sm.xmu.com.     IN    A    52.117.243.63
uphbdqkx.sm.xmu.com.     IN    A    39.86.95.172
ikjdbpry.sm.xmu.com.     IN    A    49.95.8.110
ygicefab.sm.xmu.com.     IN    A    35.0.165.108
dowltehg.sm.xmu.com.     IN    A    147.66.6.1
bkoihgmw.sm.xmu.com.     IN    A    194.175.94.53
nrfplkwc.sm.xmu.com.     IN    A    86.204.180.87
pgaxrcyd.sm.xmu.com.     IN    A    181.58.17.92
diupmhgv.sm.xmu.com.     IN    A    116.53.193.230
fkwedhoy.sm.xmu.com.     IN    A    24.13.97.162
finkcmhx.sm.xmu.com.     IN    A    120.83.193.185
hqkplavd.sm.xmu.com.     IN    A    36.232.106.156
gtlehwkn.sm.xmu.com.     IN    A    165.170.148.72
pvnjyqrb.sm.xmu.com.     IN    A    8.96.192.148
xwiqjcep.sm.xmu.com.     IN    A    214.72.227.237
fteobrjw.sm.xmu.com.     IN    A    170.58.102.87
dtsqlhni.sm.xmu.com.     IN    A    227.233.2.101
ibfurwaq.sm.xmu.com.     IN    A    197.153.108.146
uqsfvoae.sm.xmu.com.     IN    A    15.59.7.135
xbcovpqd.sm.xmu.com.     IN    A    99.138.25.65
dyfpsnkw.sm.xmu.com.     IN    A    200.81.94.57
hiuskopl.sm.xmu.com.     IN    A    122.94.198.162
jedomkng.sm.xmu.com.     IN    A    73.161.132.77
uqhcljey.sm.xmu.com.     IN    A    50.149.29.170
dmjnuvge.sm.xmu.com.     IN    A    241.72.90.142
niewjbcm.sm.xmu.com.     IN    A    4.37.139.206
jtclkbvi.sm.xmu.com.     IN    A    36.92.86.1
vpsmoytj.sm.xmu.com.     IN    A    213.95.41.84
vmlqkncs.sm.xmu.com.     IN    A    83.250.71.139
vbsaqxho.sm.xmu.com.     IN    A    217.122.109.104
wcdfotig.sm.xmu.com.     IN    A    216.81.240.79
lbvsjmfw.sm.xmu.com.     IN    A    98.27.106.134
uiobyxmd.sm.xmu.com.     IN    A    120.246.89.227
ylkctgnv.sm.xmu.com.     IN    A    42.173.236.66
ioklxywg.sm.xmu.com.     IN    A    105.183.198.176
krghqilx.sm.xmu.com.     IN    A    46.216.183.37
utelypnh.sm.xmu.com.     IN    A    196.104.207.198
coudknjx.sm.xmu.com.     IN    A    194.28.100.55
qguvdhxk.sm.xmu.com.     IN    A    207.98.233.197
cbapyqks.sm.xmu.com.     IN    A    27.20.18.90
gfilnexh.sm.xmu.com.     IN    A    172.1.69.111
xkjoncmg.sm.xmu.com.     IN    A    28.244.170.76
csvyhmix.sm.xmu.com.     IN    A    17.46.9.147
hdboxnyp.sm.xmu.com.     IN    A    61.13.2.230
obxlgrps.sm.xmu.com.     IN    A    125.49.63.207
qpbegmvc.sm.xmu.com.     IN    A    79.2.13.188
cgpjvhrx.sm.xmu.com.     IN    A    199.31.201.211
yadufjgi.sm.xmu.com.     IN    A    85.84.73.25
mlegpdbj.sm.xmu.com.     IN    A    30.6.63.244
vrijmhld.sm.xmu.com.     IN    A    131.121.242.180
asbvfgky.sm.xmu.com.     IN    A    237.88.118.218
cjhnxqfw.sm.xmu.com.     IN    A    198.33.86.137
gmwkroql.sm.xmu.com.     IN    A    65.206.55.108
syacbgxk.sm.xmu.com.     IN    A    126.74.242.230
fwtgoyjk.sm.xmu.com.     IN    A    244.72.107.169
bfkascho.sm.xmu.com.     IN    A    82.13.66.106
glbmnrjt.sm.xmu.com.     IN    A    247.161.175.81
apwcvfgu.sm.xmu.com.     IN    A    254.250.118.197
pxbhaksq.sm.xmu.com.     IN    A    76.57.60.65
kmgbfrdw.sm.xmu.com.     IN    A    237.77.122.179
qslwxkft.sm.xmu.com.     IN    A    32.101.235.225
hbrtnqcs.sm.xmu.com.     IN    A    255.135.155.78
vqbdruah.sm.xmu.com.     IN    A    227.146.144.77
wbkdrmay.sm.xmu.com.     IN    A    105.74.173.106
onxjspwt.sm.xmu.com.     IN    A    58.141.178.190
rptimngj.sm.xmu.com.     IN    A    57.160.26.236
wbnckjve.sm.xmu.com.     IN    A    69.134.175.20
fhiawkre.sm.xmu.com.     IN    A    106.56.99.65
woisjarh.sm.xmu.com.     IN    A    40.196.237.184
tlqwmuie.sm.xmu.com.     IN    A    122.143.98.113
fbrqwpei.sm.xmu.com.     IN    A    178.31.183.189
ltvxiygk.sm.xmu.com.     IN    A    165.234.108.79
fxgeipmd.sm.xmu.com.     IN    A    221.115.52.177
wjqycofn.sm.xmu.com.     IN    A    121.140.233.173
lnovfxum.sm.xmu.com.     IN    A    166.41.12.4
mldgnvjr.sm.xmu.com.     IN    A    34.153.237.130
ksnqrcof.sm.xmu.com.     IN    A    107.185.50.55
bmejikut.sm.xmu.com.     IN    A    7.199.59.241
byplvtho.sm.xmu.com.     IN    A    168.91.108.43
wmgdovjc.sm.xmu.com.     IN    A    67.21.47.25
dilxhpya.sm.xmu.com.     IN    A    247.165.21.188
pfoyqcuh.sm.xmu.com.     IN    A    134.186.113.60
vuedwrqk.sm.xmu.com.     IN    A    3.187.4.254
qnfyvgok.sm.xmu.com.     IN    A    8.205.43.11
vshxlmck.sm.xmu.com.     IN    A    60.61.60.216
mtsweyik.sm.xmu.com.     IN    A    20.215.71.228
lyusojqh.sm.xmu.com.     IN    A    223.66.112.132
luyeqvka.sm.xmu.com.     IN    A    98.163.64.213
kvxbitqc.sm.xmu.com.     IN    A    206.153.91.212
furqnkcg.sm.xmu.com.     IN    A    240.83.160.117
vxpokien.sm.xmu.com.     IN    A    172.96.15.44
muiehwsk.sm.xmu.com.     IN    A    148.5.47.215
nbhsdoqx.sm.xmu.com.     IN    A    139.215.255.134
nmeriajx.sm.xmu.com.     IN    A    223.13.2.101
ochpjavn.sm.xmu.com.     IN    A    163.220.71.205
koesgfnq.sm.xmu.com.     IN    A    250.51.146.162
tjgrdmsa.sm.xmu.com.     IN    A    106.206.246.104
uhebqdyr.sm.xmu.com.     IN    A    141.87.89.38
ibjvakud.sm.xmu.com.     IN    A    145.60.191.44
xofsyrmt.sm.xmu.com.     IN    A    182.92.188.135
ngvrisux.sm.xmu.com.     IN    A    13.165.2.95
lntfvmsd.sm.xmu.com.     IN    A    246.213.92.147
xovqlgnb.sm.xmu.com.     IN    A    110.190.22.197
rpdkgwfe.sm.xmu.com.     IN    A    103.82.47.218
oacxhedk.sm.xmu.com.     IN    A    152.205.143.203
ljbmswdh.sm.xmu.com.     IN    A    128.83.177.129
upxwtrsl.sm.xmu.com.     IN    A    221.164.237.143
rakbgmef.sm.xmu.com.     IN    A    222.33.25.185
vlteswqu.sm.xmu.com.     IN    A    18.96.192.189
qutwcnok.sm.xmu.com.     IN    A    251.105.117.196
jpfkdyeg.sm.xmu.com.     IN    A    230.45.88.235
prydmhqn.sm.xmu.com.     IN    A    111.58.69.228
boyrwjmi.sm.xmu.com.     IN    A    183.106.82.200
yfvbsroq.sm.xmu.com.     IN    A    165.103.53.153
xdjclwgf.sm.xmu.com.     IN    A    88.190.242.196
bjdlaerv.sm.xmu.com.     IN    A    180.59.74.124
vphairsd.sm.xmu.com.     IN    A    137.10.47.102
pclnwovy.sm.xmu.com.     IN    A    181.107.228.145
asgjkchd.sm.xmu.com.     IN    A    44.90.135.124
dxlbmckf.sm.xmu.com.     IN    A    127.221.122.7
kslxhmao.sm.xmu.com.     IN    A    163.75.29.161
nosicmyr.sm.xmu.com.     IN    A    26.9.158.76
ulgfowic.sm.xmu.com.     IN    A    202.27.134.178
sawdickb.sm.xmu.com.     IN    A    3.182.145.214
xfdbnpay.sm.xmu.com.     IN    A    187.39.173.145
lpytmnsr.sm.xmu.com.     IN    A    58.171.101.143
apigweuv.sm.xmu.com.     IN    A    39.89.174.138
rahvlxcu.sm.xmu.com.     IN    A    2.28.56.52
hiaeortk.sm.xmu.com.     IN    A    33.196.2.182
bdpmkntg.sm.xmu.com.     IN    A    60.4.125.231
ivnguqem.sm.xmu.com.     IN    A    169.14.37.194
paslwvng.sm.xmu.com.     IN    A    161.92.199.197
mfrhgbye.sm.xmu.com.     IN    A    79.252.67.247
ortjngxa.sm.xmu.com.     IN    A    217.170.228.28
biheatwj.sm.xmu.com.     IN    A    143.80.21.199
rftewvqc.sm.xmu.com.     IN    A    24.90.43.81
lucjoptv.sm.xmu.com.     IN    A    57.225.165.122
liacgbjm.sm.xmu.com.     IN    A    103.154.152.98
gpfnlxot.sm.xmu.com.     IN    A    128.153.211.128
ilfsjpye.sm.xmu.com.     IN    A    127.233.244.30
uxvcjaqb.sm.xmu.com.     IN    A    222.192.178.8
nemrgsjh.sm.xmu.com.     IN    A    229.67.33.95
lkdqehnx.sm.xmu.com.     IN    A    120.198.158.177
nvpugwro.sm.xmu.com.     IN    A    77.60.84.134
opdbwjqi.sm.xmu.com.     IN    A    147.103.252.110
kdpefbuw.sm.xmu.com.     IN    A    189.17.190.194
peubxlny.sm.xmu.com.     IN    A    206.95.115.42
ubsyenao.sm.xmu.com.     IN    A    22.161.32.244
bfxieupv.sm.xmu.com.     IN    A    180.59.229.184
fvjcknis.sm.xmu.com.     IN    A    169.49.34.48
emdchowr.sm.xmu.com.     IN    A    244.73.26.73
emxopiyk.sm.xmu.com.     IN    A    161.126.12.110
lqvcngsf.sm.xmu.com.     IN    A    208.51.12.20
hrckbwqa.sm.xmu.com.     IN    A    223.185.233.69
xbucsdmp.sm.xmu.com.     IN    A    130.21.104.204
jxgaiksv.sm.xmu.com.     IN    A    35.33.213.202
ufopwtsd.sm.xmu.com.     IN    A    14.84.114.128
uvijmehd.sm.xmu.com.     IN    A    154.108.170.250
gbdjfrmc.sm.xmu.com.     IN    A    36.101.149.125
rbexudlv.sm.xmu.com.     IN    A    117.97.169.163
skhnvuqa.sm.xmu.com.     IN    A    111.62.79.240
seajkqrx.sm.xmu.com.     IN    A    69.1.252.18
evpfosml.sm.xmu.com.     IN    A    138.135.39.234
wmvhbuef.sm.xmu.com.     IN    A    37.253.176.57
eabqfphg.sm.xmu.com.     IN    A    225.159.193.165
xcdeohvm.sm.xmu.com.     IN    A    138.127.116.191
wrdypqtc.sm.xmu.com.     IN    A    59.64.216.178
nmwjybtr.sm.xmu.com.     IN    A    77.174.18.217
cnymqldo.sm.xmu.com.     IN    A    63.83.148.119
casqbxpk.sm.xmu.com.     IN    A    232.200.252.28
cosibjgf.sm.xmu.com.     IN    A    253.158.172.220
vjudkcls.sm.xmu.com.     IN    A    127.51.28.230
xloivwub.sm.xmu.com.     IN    A    41.154.216.69
xrwqmegi.sm.xmu.com.     IN    A    69.51.57.150
syigkuet.sm.xmu.com.     IN    A    95.80.158.255
pdwbjfgx.sm.xmu.com.     IN    A    170.255.116.216
pclmruie.sm.xmu.com.     IN    A    114.253.197.120
aejdqybk.sm.xmu.com.     IN    A    19.117.99.251
ilwvdesh.sm.xmu.com.     IN    A    68.242.177.92
ijkulhvm.sm.xmu.com.     IN    A    207.41.108.44
unajsghq.sm.xmu.com.     IN    A    164.134.161.24
