hyxt.whu.com.	14400	IN	SOA	ns1.hyxt.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
hyxt.whu.com.		    IN	NS ns1.hyxt.whu.com.
drhqsfib.hyxt.whu.com.   IN    A    150.216.136.81
thmawfug.hyxt.whu.com.   IN    A    180.28.253.252
hdwxgeab.hyxt.whu.com.   IN    A    37.84.127.206
agtoprik.hyxt.whu.com.   IN    A    193.16.92.94
bqyxosuh.hyxt.whu.com.   IN    A    55.206.5.107
rhxfgbel.hyxt.whu.com.   IN    A    205.248.63.39
wxvrpoth.hyxt.whu.com.   IN    A    165.170.247.248
wupfirmb.hyxt.whu.com.   IN    A    73.189.164.40
fdavhpwl.hyxt.whu.com.   IN    A    88.177.113.159
cyvnhfrq.hyxt.whu.com.   IN    A    223.113.225.43
dqcxsnvr.hyxt.whu.com.   IN    A    169.237.76.75
uvtjyqxi.hyxt.whu.com.   IN    A    173.130.53.244
rfhxwcgs.hyxt.whu.com.   IN    A    212.89.17.138
mysgrdhl.hyxt.whu.com.   IN    A    132.187.120.195
rwmebtiy.hyxt.whu.com.   IN    A    18.127.248.222
jwfvbmgu.hyxt.whu.com.   IN    A    179.9.238.242
qevysmik.hyxt.whu.com.   IN    A    230.158.117.44
owursmjp.hyxt.whu.com.   IN    A    54.26.208.50
icntekyf.hyxt.whu.com.   IN    A    101.25.26.26
uylxmpie.hyxt.whu.com.   IN    A    165.55.136.114
xampsydj.hyxt.whu.com.   IN    A    42.95.46.60
qxuglkif.hyxt.whu.com.   IN    A    213.68.110.103
njapumig.hyxt.whu.com.   IN    A    20.95.73.208
mxwyasef.hyxt.whu.com.   IN    A    232.243.9.214
jvxlkiue.hyxt.whu.com.   IN    A    171.215.145.223
pvthedax.hyxt.whu.com.   IN    A    189.106.201.160
qfdiwsjx.hyxt.whu.com.   IN    A    99.150.168.134
jecayigu.hyxt.whu.com.   IN    A    147.36.77.144
aqxjgehi.hyxt.whu.com.   IN    A    28.57.170.254
fubjmpcx.hyxt.whu.com.   IN    A    91.54.87.186
ymxtphne.hyxt.whu.com.   IN    A    140.32.10.198
fhyscbam.hyxt.whu.com.   IN    A    94.204.18.54
rxqnekbs.hyxt.whu.com.   IN    A    212.116.222.75
dcrheksb.hyxt.whu.com.   IN    A    116.98.136.67
roglqwyn.hyxt.whu.com.   IN    A    3.140.163.131
yorknjbg.hyxt.whu.com.   IN    A    76.56.186.52
hcwqvmxk.hyxt.whu.com.   IN    A    147.44.147.112
mwojrtvy.hyxt.whu.com.   IN    A    101.4.250.101
pthnrlaw.hyxt.whu.com.   IN    A    182.148.227.128
avprdhsu.hyxt.whu.com.   IN    A    150.171.75.24
dsluambv.hyxt.whu.com.   IN    A    45.198.126.170
yewhtpsu.hyxt.whu.com.   IN    A    26.159.138.45
ejarwmln.hyxt.whu.com.   IN    A    146.233.182.58
psnxufwe.hyxt.whu.com.   IN    A    104.212.229.86
ethmislq.hyxt.whu.com.   IN    A    93.34.63.81
ewcayhsp.hyxt.whu.com.   IN    A    196.58.13.204
hbgwlfup.hyxt.whu.com.   IN    A    213.163.29.121
qypfiuhv.hyxt.whu.com.   IN    A    3.73.205.192
urqhydvg.hyxt.whu.com.   IN    A    89.225.130.13
nrdjkavu.hyxt.whu.com.   IN    A    85.18.146.69
ycheixqd.hyxt.whu.com.   IN    A    108.66.51.192
bqsmrtov.hyxt.whu.com.   IN    A    151.147.222.73
rnglivmk.hyxt.whu.com.   IN    A    49.2.135.227
jyemhaox.hyxt.whu.com.   IN    A    222.42.189.156
mloeghiw.hyxt.whu.com.   IN    A    178.95.57.54
lcphyxad.hyxt.whu.com.   IN    A    166.157.3.23
ahnuimkg.hyxt.whu.com.   IN    A    246.184.104.199
ctoamuqs.hyxt.whu.com.   IN    A    86.178.47.95
omhnswtb.hyxt.whu.com.   IN    A    236.85.243.127
uiwsjfmr.hyxt.whu.com.   IN    A    40.49.158.164
hwctegka.hyxt.whu.com.   IN    A    83.123.67.17
ieltnmxp.hyxt.whu.com.   IN    A    176.3.241.32
nuvodxgi.hyxt.whu.com.   IN    A    82.6.130.152
ptgrenhq.hyxt.whu.com.   IN    A    7.33.202.128
daspgjvq.hyxt.whu.com.   IN    A    30.133.156.212
jrqoivad.hyxt.whu.com.   IN    A    214.93.138.134
iqxucyhe.hyxt.whu.com.   IN    A    157.212.123.148
oswrauyl.hyxt.whu.com.   IN    A    145.138.203.126
cshxopjn.hyxt.whu.com.   IN    A    130.149.112.147
drybnkim.hyxt.whu.com.   IN    A    153.116.100.75
kfdrqnyi.hyxt.whu.com.   IN    A    245.248.20.86
rvnmujog.hyxt.whu.com.   IN    A    26.136.109.235
gcajnqio.hyxt.whu.com.   IN    A    55.102.52.69
hsnrwxfa.hyxt.whu.com.   IN    A    206.207.221.138
tcljgxku.hyxt.whu.com.   IN    A    8.222.181.165
dknetpha.hyxt.whu.com.   IN    A    239.206.161.206
mecnskxf.hyxt.whu.com.   IN    A    49.236.176.72
ivywmxeq.hyxt.whu.com.   IN    A    145.183.57.56
hrsxjiem.hyxt.whu.com.   IN    A    122.25.78.47
bwxhecyo.hyxt.whu.com.   IN    A    116.238.184.124
jrkfmdxi.hyxt.whu.com.   IN    A    89.34.206.244
plsnkgry.hyxt.whu.com.   IN    A    104.85.191.88
uaqjkpmo.hyxt.whu.com.   IN    A    217.37.114.24
vnomdkyi.hyxt.whu.com.   IN    A    66.198.208.80
rflqkmhu.hyxt.whu.com.   IN    A    90.232.48.194
ejyfdobg.hyxt.whu.com.   IN    A    168.127.68.193
kgjpwoqu.hyxt.whu.com.   IN    A    238.62.220.60
gtxhauin.hyxt.whu.com.   IN    A    84.65.205.131
qilsdxka.hyxt.whu.com.   IN    A    6.139.233.80
bjiqvyld.hyxt.whu.com.   IN    A    125.102.247.70
pkthbodl.hyxt.whu.com.   IN    A    159.75.50.118
hvoskxcu.hyxt.whu.com.   IN    A    102.61.6.190
arqpndwt.hyxt.whu.com.   IN    A    199.164.171.145
yxqufgoh.hyxt.whu.com.   IN    A    147.140.125.109
wrypbctj.hyxt.whu.com.   IN    A    79.214.122.57
rkpowjbh.hyxt.whu.com.   IN    A    40.250.177.244
arqjldmk.hyxt.whu.com.   IN    A    68.106.71.202
kvwtnqam.hyxt.whu.com.   IN    A    112.132.119.81
yfbrshma.hyxt.whu.com.   IN    A    6.46.39.101
vbsjlrdy.hyxt.whu.com.   IN    A    184.203.215.212
deryicwx.hyxt.whu.com.   IN    A    19.37.29.199
hmjsvkio.hyxt.whu.com.   IN    A    111.205.141.10
okucpjsm.hyxt.whu.com.   IN    A    94.248.252.38
ysvmbxgh.hyxt.whu.com.   IN    A    232.121.136.245
fpwgksem.hyxt.whu.com.   IN    A    242.1.1.205
jauldqyv.hyxt.whu.com.   IN    A    174.61.107.13
hmnstiaf.hyxt.whu.com.   IN    A    177.101.216.102
efdrawuh.hyxt.whu.com.   IN    A    117.243.8.245
ejylmuvt.hyxt.whu.com.   IN    A    176.14.168.19
ygqjhwtc.hyxt.whu.com.   IN    A    158.244.70.252
nefydulc.hyxt.whu.com.   IN    A    100.177.181.190
judoypvb.hyxt.whu.com.   IN    A    209.123.248.132
ifboqsjm.hyxt.whu.com.   IN    A    96.13.204.235
uytjwviq.hyxt.whu.com.   IN    A    208.188.130.29
hvrtwlyp.hyxt.whu.com.   IN    A    159.141.14.60
fthegnri.hyxt.whu.com.   IN    A    101.86.225.139
tosligdu.hyxt.whu.com.   IN    A    53.40.114.137
nwpsmdlf.hyxt.whu.com.   IN    A    13.31.228.97
onaymeqw.hyxt.whu.com.   IN    A    82.102.250.24
ophawrvt.hyxt.whu.com.   IN    A    107.105.42.80
tubpylaw.hyxt.whu.com.   IN    A    63.170.73.17
mpseaojw.hyxt.whu.com.   IN    A    123.211.240.130
wgpcoqlf.hyxt.whu.com.   IN    A    119.225.93.155
asocnqhi.hyxt.whu.com.   IN    A    119.60.153.131
xesoblvf.hyxt.whu.com.   IN    A    14.129.26.193
aifvgomc.hyxt.whu.com.   IN    A    253.35.237.227
qojmyacf.hyxt.whu.com.   IN    A    158.175.5.154
uioyckjt.hyxt.whu.com.   IN    A    16.161.228.145
aqgbtyjk.hyxt.whu.com.   IN    A    79.160.174.174
cyuwjhtk.hyxt.whu.com.   IN    A    168.104.144.254
jfqtlndb.hyxt.whu.com.   IN    A    72.138.128.55
qrfwtimn.hyxt.whu.com.   IN    A    165.61.82.184
sfqwdvgn.hyxt.whu.com.   IN    A    114.11.85.216
ovbkxnai.hyxt.whu.com.   IN    A    110.65.91.146
tqlnyfer.hyxt.whu.com.   IN    A    18.136.24.30
flixnvqo.hyxt.whu.com.   IN    A    124.40.153.54
jhbamfun.hyxt.whu.com.   IN    A    141.9.64.149
vnxtpbao.hyxt.whu.com.   IN    A    164.211.16.160
wsmfgrnt.hyxt.whu.com.   IN    A    226.200.171.111
dybeqowg.hyxt.whu.com.   IN    A    64.85.55.58
iyajkodm.hyxt.whu.com.   IN    A    191.181.160.214
iecfsrtx.hyxt.whu.com.   IN    A    83.195.132.82
klaorudx.hyxt.whu.com.   IN    A    73.129.214.156
odyuwfhl.hyxt.whu.com.   IN    A    181.51.87.146
mdhjpkei.hyxt.whu.com.   IN    A    230.47.202.235
exynhgvf.hyxt.whu.com.   IN    A    152.175.248.184
dushibol.hyxt.whu.com.   IN    A    25.208.25.8
fvwtbcor.hyxt.whu.com.   IN    A    23.199.207.177
aojsubdc.hyxt.whu.com.   IN    A    96.29.25.8
bcqtxnmw.hyxt.whu.com.   IN    A    115.36.118.108
gbmulhnv.hyxt.whu.com.   IN    A    203.106.176.143
dgkpcnjy.hyxt.whu.com.   IN    A    209.143.190.18
vodetglf.hyxt.whu.com.   IN    A    88.238.216.3
vuwpsxry.hyxt.whu.com.   IN    A    183.94.104.93
xlegdsha.hyxt.whu.com.   IN    A    117.156.142.64
ainxgksj.hyxt.whu.com.   IN    A    20.249.90.93
ejlntarw.hyxt.whu.com.   IN    A    218.229.101.250
vkdpqthb.hyxt.whu.com.   IN    A    222.11.253.191
typadolw.hyxt.whu.com.   IN    A    69.91.50.22
idabjhnf.hyxt.whu.com.   IN    A    67.65.123.166
ricolavu.hyxt.whu.com.   IN    A    111.1.75.48
kjpfoybd.hyxt.whu.com.   IN    A    230.59.51.172
bnehsdjq.hyxt.whu.com.   IN    A    205.153.134.211
fwtkvoga.hyxt.whu.com.   IN    A    54.249.161.233
sxvmylqg.hyxt.whu.com.   IN    A    168.206.128.131
gnkmspco.hyxt.whu.com.   IN    A    112.73.185.186
xwqdamrh.hyxt.whu.com.   IN    A    197.100.164.239
xnlhfmqv.hyxt.whu.com.   IN    A    64.245.97.27
fwbhiupq.hyxt.whu.com.   IN    A    61.147.30.223
qyakbspl.hyxt.whu.com.   IN    A    211.19.197.148
qfskiatx.hyxt.whu.com.   IN    A    193.117.233.123
amxgebod.hyxt.whu.com.   IN    A    106.61.177.63
qwrypsvb.hyxt.whu.com.   IN    A    163.78.12.36
ptsrwfdq.hyxt.whu.com.   IN    A    224.172.36.127
mvojwhds.hyxt.whu.com.   IN    A    233.249.64.99
klwsbrce.hyxt.whu.com.   IN    A    87.94.91.44
lwsvqmur.hyxt.whu.com.   IN    A    188.102.233.154
psmoxifg.hyxt.whu.com.   IN    A    122.154.5.140
qosgruln.hyxt.whu.com.   IN    A    169.246.63.27
wdienxkq.hyxt.whu.com.   IN    A    108.7.114.111
cehbqrpv.hyxt.whu.com.   IN    A    190.138.103.86
hwjnimpd.hyxt.whu.com.   IN    A    8.110.196.7
hmycslor.hyxt.whu.com.   IN    A    25.110.177.68
jfwdrbat.hyxt.whu.com.   IN    A    118.197.185.147
wehlgrbn.hyxt.whu.com.   IN    A    28.235.252.140
oglqctmp.hyxt.whu.com.   IN    A    110.195.115.55
itoxfrhq.hyxt.whu.com.   IN    A    144.62.171.83
vxrnljwd.hyxt.whu.com.   IN    A    211.7.112.25
xgrlqjon.hyxt.whu.com.   IN    A    161.119.94.142
lvkeucpr.hyxt.whu.com.   IN    A    158.108.157.105
hfqeywns.hyxt.whu.com.   IN    A    126.100.237.237
ehxkorcv.hyxt.whu.com.   IN    A    34.201.220.75
qshtdvlk.hyxt.whu.com.   IN    A    137.44.149.217
lkrbipju.hyxt.whu.com.   IN    A    211.245.107.169
bnhtocav.hyxt.whu.com.   IN    A    146.53.8.133
tcwrvenh.hyxt.whu.com.   IN    A    5.138.22.58
teixhwor.hyxt.whu.com.   IN    A    134.138.179.234
eyioxljk.hyxt.whu.com.   IN    A    206.14.12.148
ywbvuiej.hyxt.whu.com.   IN    A    172.19.192.245
arkynemu.hyxt.whu.com.   IN    A    11.107.108.53
dctqxbyo.hyxt.whu.com.   IN    A    131.184.153.43
isfpoayd.hyxt.whu.com.   IN    A    220.106.253.31
netkgldq.hyxt.whu.com.   IN    A    155.244.101.42
fpceyogu.hyxt.whu.com.   IN    A    74.152.181.135
obarulkw.hyxt.whu.com.   IN    A    171.246.53.78
jncgyoxt.hyxt.whu.com.   IN    A    37.99.101.99
syuafjci.hyxt.whu.com.   IN    A    241.5.86.209
xacunpgi.hyxt.whu.com.   IN    A    130.45.129.234
vgdshnck.hyxt.whu.com.   IN    A    58.50.141.186
lcejxkap.hyxt.whu.com.   IN    A    251.91.26.167
xrlwodvm.hyxt.whu.com.   IN    A    237.92.170.217
yinscjqd.hyxt.whu.com.   IN    A    239.210.26.241
fqirlydv.hyxt.whu.com.   IN    A    109.97.32.230
oufsdqev.hyxt.whu.com.   IN    A    182.25.207.94
mvwjhcsx.hyxt.whu.com.   IN    A    222.15.193.141
hkpugybt.hyxt.whu.com.   IN    A    50.53.141.66
hbnrutfv.hyxt.whu.com.   IN    A    209.200.1.114
rxwopbeq.hyxt.whu.com.   IN    A    173.74.21.89
guxhefti.hyxt.whu.com.   IN    A    205.43.19.85
oapgedwy.hyxt.whu.com.   IN    A    243.50.193.200
cujrqtgk.hyxt.whu.com.   IN    A    102.37.165.45
ihmwedrg.hyxt.whu.com.   IN    A    3.253.128.253
erbwdqsv.hyxt.whu.com.   IN    A    181.40.195.209
stpfxkoh.hyxt.whu.com.   IN    A    218.38.185.205
qfpaxbew.hyxt.whu.com.   IN    A    180.1.254.210
hgdeular.hyxt.whu.com.   IN    A    224.0.186.149
lgxbardn.hyxt.whu.com.   IN    A    248.45.68.224
gwhrocem.hyxt.whu.com.   IN    A    172.238.42.106
nhkuflje.hyxt.whu.com.   IN    A    23.122.107.20
swvpqdui.hyxt.whu.com.   IN    A    200.153.11.252
tkodlqve.hyxt.whu.com.   IN    A    35.50.163.58
jtariqvx.hyxt.whu.com.   IN    A    33.225.112.1
bsnuqlhy.hyxt.whu.com.   IN    A    125.65.110.116
snvgkxyj.hyxt.whu.com.   IN    A    104.45.134.239
edrikfnx.hyxt.whu.com.   IN    A    245.247.72.74
buopqtsg.hyxt.whu.com.   IN    A    221.108.223.156
clvepajb.hyxt.whu.com.   IN    A    33.115.136.179
ldcsxwqo.hyxt.whu.com.   IN    A    19.41.233.60
pokcyuxt.hyxt.whu.com.   IN    A    251.70.108.133
ymsljthb.hyxt.whu.com.   IN    A    28.45.177.223
squwbyhg.hyxt.whu.com.   IN    A    132.176.251.200
ulwikets.hyxt.whu.com.   IN    A    68.128.175.60
eygnpbdr.hyxt.whu.com.   IN    A    241.39.173.168
dwgxkjhc.hyxt.whu.com.   IN    A    130.2.125.59
rqhblonv.hyxt.whu.com.   IN    A    141.174.124.47
tcfsrhjx.hyxt.whu.com.   IN    A    31.245.87.149
yhrbnijv.hyxt.whu.com.   IN    A    57.174.235.2
arhcyviq.hyxt.whu.com.   IN    A    169.147.132.153
ihgtcade.hyxt.whu.com.   IN    A    15.64.139.7
noltypih.hyxt.whu.com.   IN    A    138.222.34.221
lnubqjpg.hyxt.whu.com.   IN    A    177.249.248.132
rvbcxnif.hyxt.whu.com.   IN    A    208.82.204.211
qmgwfixr.hyxt.whu.com.   IN    A    136.39.11.220
nsjkbomy.hyxt.whu.com.   IN    A    151.131.35.130
berdvkca.hyxt.whu.com.   IN    A    158.81.160.233
orxyqdkv.hyxt.whu.com.   IN    A    212.182.94.231
cusgpmyk.hyxt.whu.com.   IN    A    210.104.156.160
ufmkgasv.hyxt.whu.com.   IN    A    161.177.105.190
pfbvayet.hyxt.whu.com.   IN    A    247.0.136.181
gslnfxto.hyxt.whu.com.   IN    A    134.36.199.32
gbfdehpy.hyxt.whu.com.   IN    A    222.218.125.94
dsuyqabc.hyxt.whu.com.   IN    A    114.209.82.20
rtngdawf.hyxt.whu.com.   IN    A    141.42.190.37
yeklvhgu.hyxt.whu.com.   IN    A    139.150.125.234
ulywhekg.hyxt.whu.com.   IN    A    40.76.215.80
oyaflpwb.hyxt.whu.com.   IN    A    31.139.236.17
aqvjihyr.hyxt.whu.com.   IN    A    171.139.45.118
xiyecjkq.hyxt.whu.com.   IN    A    228.58.238.192
whqurnvm.hyxt.whu.com.   IN    A    140.146.233.93
livwsdjm.hyxt.whu.com.   IN    A    96.170.144.196
gksheabt.hyxt.whu.com.   IN    A    28.41.249.69
pexavqjs.hyxt.whu.com.   IN    A    157.184.9.109
ypivxetc.hyxt.whu.com.   IN    A    180.252.151.9
mqlfdebt.hyxt.whu.com.   IN    A    202.108.84.71
vjkmpdsy.hyxt.whu.com.   IN    A    125.207.6.196
iwdnphgm.hyxt.whu.com.   IN    A    14.212.26.204
vyxljhot.hyxt.whu.com.   IN    A    137.4.5.13
twemisjg.hyxt.whu.com.   IN    A    202.73.158.90
ycfjupwv.hyxt.whu.com.   IN    A    229.44.84.19
phentqgd.hyxt.whu.com.   IN    A    118.106.56.62
rqcmbvjd.hyxt.whu.com.   IN    A    27.196.1.101
xqmpuaic.hyxt.whu.com.   IN    A    90.240.123.182
naeburqv.hyxt.whu.com.   IN    A    80.50.217.101
umodhptf.hyxt.whu.com.   IN    A    144.150.186.245
jcdyuans.hyxt.whu.com.   IN    A    108.104.127.81
rokgefxn.hyxt.whu.com.   IN    A    205.95.91.18
ypigqjbf.hyxt.whu.com.   IN    A    4.85.89.141
vpifskon.hyxt.whu.com.   IN    A    223.13.156.251
waeiksyp.hyxt.whu.com.   IN    A    108.59.15.109
cndgbwoa.hyxt.whu.com.   IN    A    76.214.3.59
slnhtukd.hyxt.whu.com.   IN    A    26.223.7.236
gwakqsju.hyxt.whu.com.   IN    A    142.35.165.224
invyexfd.hyxt.whu.com.   IN    A    192.60.243.48
wtijgcbv.hyxt.whu.com.   IN    A    59.17.236.160
wxdralne.hyxt.whu.com.   IN    A    160.245.114.37
owvdeasm.hyxt.whu.com.   IN    A    29.229.14.161
ncvrwiky.hyxt.whu.com.   IN    A    188.255.22.92
qjdxrwin.hyxt.whu.com.   IN    A    175.152.12.114
egpjsitk.hyxt.whu.com.   IN    A    85.22.33.33
mglrxcdj.hyxt.whu.com.   IN    A    119.114.225.10
ejfgvpns.hyxt.whu.com.   IN    A    193.53.123.217
amblfngx.hyxt.whu.com.   IN    A    246.72.161.166
ldakgexb.hyxt.whu.com.   IN    A    193.208.226.180
upvjknow.hyxt.whu.com.   IN    A    192.198.150.239
ptvdiglq.hyxt.whu.com.   IN    A    95.88.14.132
rmyeiqax.hyxt.whu.com.   IN    A    160.13.49.28
rmxsvjfn.hyxt.whu.com.   IN    A    147.231.246.210
cfgkdhjv.hyxt.whu.com.   IN    A    163.148.130.243
hsvebflt.hyxt.whu.com.   IN    A    147.8.163.25
lhwkpfjo.hyxt.whu.com.   IN    A    101.92.33.0
cnburmad.hyxt.whu.com.   IN    A    252.139.218.137
xigmuklj.hyxt.whu.com.   IN    A    180.247.45.80
verxdcin.hyxt.whu.com.   IN    A    173.36.8.169
vihrfdbl.hyxt.whu.com.   IN    A    156.98.35.189
nqucsfrh.hyxt.whu.com.   IN    A    139.208.249.44
lxmfwnsc.hyxt.whu.com.   IN    A    51.248.51.5
gyrqewuf.hyxt.whu.com.   IN    A    32.244.223.214
mtgunojv.hyxt.whu.com.   IN    A    49.20.100.205
kbiouysd.hyxt.whu.com.   IN    A    214.37.65.180
dehmgfri.hyxt.whu.com.   IN    A    198.139.98.171
ykevjdow.hyxt.whu.com.   IN    A    198.46.90.162
kjcrmdyl.hyxt.whu.com.   IN    A    248.71.180.40
lfuicdxk.hyxt.whu.com.   IN    A    92.203.66.126
adxtekoj.hyxt.whu.com.   IN    A    81.18.239.98
hisqndly.hyxt.whu.com.   IN    A    135.240.5.203
gueocvxa.hyxt.whu.com.   IN    A    242.219.215.90
oshtvjnl.hyxt.whu.com.   IN    A    62.35.135.204
axdbsgqm.hyxt.whu.com.   IN    A    67.164.133.94
hdfsnlgv.hyxt.whu.com.   IN    A    3.233.234.238
wtxekpro.hyxt.whu.com.   IN    A    56.68.93.209
evfqkscp.hyxt.whu.com.   IN    A    49.238.9.204
fgtmnhar.hyxt.whu.com.   IN    A    202.20.5.107
sduawbcv.hyxt.whu.com.   IN    A    148.179.244.236
epytxmbn.hyxt.whu.com.   IN    A    254.239.206.185
tcfrudel.hyxt.whu.com.   IN    A    208.170.215.157
xubeyqsn.hyxt.whu.com.   IN    A    41.111.126.196
ojqgyaxv.hyxt.whu.com.   IN    A    238.253.97.88
gtcesvid.hyxt.whu.com.   IN    A    20.201.82.68
ugiohkyr.hyxt.whu.com.   IN    A    155.93.95.88
jvhuwilq.hyxt.whu.com.   IN    A    3.179.150.191
efigxvsh.hyxt.whu.com.   IN    A    19.73.226.2
hlowspne.hyxt.whu.com.   IN    A    29.163.126.219
iqafchdt.hyxt.whu.com.   IN    A    209.47.152.143
qsxjctky.hyxt.whu.com.   IN    A    94.183.154.31
kghpnalf.hyxt.whu.com.   IN    A    236.82.208.40
loiufwpv.hyxt.whu.com.   IN    A    97.13.119.20
lkhorbum.hyxt.whu.com.   IN    A    79.160.196.223
jkfuexng.hyxt.whu.com.   IN    A    140.162.110.77
jldxsmne.hyxt.whu.com.   IN    A    53.75.11.149
cmjvnkar.hyxt.whu.com.   IN    A    180.99.225.186
nvoabltq.hyxt.whu.com.   IN    A    189.7.172.228
sbuxahly.hyxt.whu.com.   IN    A    157.51.76.57
btkmhdia.hyxt.whu.com.   IN    A    118.4.162.144
anclsuwg.hyxt.whu.com.   IN    A    89.193.32.175
uvirgwho.hyxt.whu.com.   IN    A    20.195.187.86
vuacikfl.hyxt.whu.com.   IN    A    223.112.148.226
qtbnlcao.hyxt.whu.com.   IN    A    214.167.106.245
uenowfgb.hyxt.whu.com.   IN    A    195.186.153.181
plceygfs.hyxt.whu.com.   IN    A    150.154.231.79
orwksuba.hyxt.whu.com.   IN    A    156.41.202.109
qfixwdlh.hyxt.whu.com.   IN    A    220.134.59.116
vusantkj.hyxt.whu.com.   IN    A    200.77.100.142
mtycnxds.hyxt.whu.com.   IN    A    35.159.166.100
davwjuno.hyxt.whu.com.   IN    A    240.214.46.55
bkmvnaqs.hyxt.whu.com.   IN    A    117.37.9.134
bcfygwqr.hyxt.whu.com.   IN    A    73.97.54.91
lugavswe.hyxt.whu.com.   IN    A    146.178.65.127
xghyfion.hyxt.whu.com.   IN    A    33.13.162.74
fgjtbdas.hyxt.whu.com.   IN    A    16.164.61.219
mgdexwiq.hyxt.whu.com.   IN    A    193.11.209.209
ohcejuim.hyxt.whu.com.   IN    A    61.163.222.174
nejwfoqx.hyxt.whu.com.   IN    A    2.182.65.81
ilhcjdox.hyxt.whu.com.   IN    A    200.150.204.124
yobfqcwe.hyxt.whu.com.   IN    A    83.73.7.170
stqyvcgn.hyxt.whu.com.   IN    A    188.101.31.196
dtlyjnmv.hyxt.whu.com.   IN    A    142.209.178.205
baxhuvyf.hyxt.whu.com.   IN    A    101.73.74.88
rwboqadv.hyxt.whu.com.   IN    A    160.133.227.52
fbuypswn.hyxt.whu.com.   IN    A    16.19.142.148
hjodfiek.hyxt.whu.com.   IN    A    19.113.67.105
rlfbsteh.hyxt.whu.com.   IN    A    249.24.51.204
heclaujk.hyxt.whu.com.   IN    A    148.28.63.63
wajihkdy.hyxt.whu.com.   IN    A    35.53.179.239
trxckebv.hyxt.whu.com.   IN    A    159.74.99.23
sglmpehw.hyxt.whu.com.   IN    A    28.99.250.223
imdjehrq.hyxt.whu.com.   IN    A    242.138.5.158
idlupnfb.hyxt.whu.com.   IN    A    89.231.25.13
yjecnthw.hyxt.whu.com.   IN    A    102.28.107.219
cgtudlir.hyxt.whu.com.   IN    A    96.220.243.143
ihsycpgt.hyxt.whu.com.   IN    A    135.80.20.159
hmvqodft.hyxt.whu.com.   IN    A    81.141.134.187
ujfidkov.hyxt.whu.com.   IN    A    26.9.146.70
woemruac.hyxt.whu.com.   IN    A    85.166.79.234
qiavjxyn.hyxt.whu.com.   IN    A    57.141.10.161
hrmlqaut.hyxt.whu.com.   IN    A    135.144.127.13
yradphqg.hyxt.whu.com.   IN    A    154.95.3.255
pnrkegxt.hyxt.whu.com.   IN    A    147.130.11.241
ktowibvm.hyxt.whu.com.   IN    A    54.184.133.232
gshlnukj.hyxt.whu.com.   IN    A    33.173.92.125
kwsdbixj.hyxt.whu.com.   IN    A    21.124.67.160
ljovdrwx.hyxt.whu.com.   IN    A    164.153.13.227
varfchln.hyxt.whu.com.   IN    A    55.228.168.100
byhtaluw.hyxt.whu.com.   IN    A    7.93.191.97
idenvual.hyxt.whu.com.   IN    A    253.173.251.25
lodwqrax.hyxt.whu.com.   IN    A    3.32.225.222
owvmeiyx.hyxt.whu.com.   IN    A    186.165.26.223
ckirxtpg.hyxt.whu.com.   IN    A    215.168.46.7
anjefxug.hyxt.whu.com.   IN    A    61.159.149.90
hfbvwylt.hyxt.whu.com.   IN    A    78.243.215.103
bceywhjf.hyxt.whu.com.   IN    A    14.62.245.51
ayrxmgdt.hyxt.whu.com.   IN    A    114.87.241.46
nxdvyphi.hyxt.whu.com.   IN    A    100.135.51.113
lvkqoiae.hyxt.whu.com.   IN    A    41.228.38.226
wqsiydvp.hyxt.whu.com.   IN    A    39.135.236.140
hsufanry.hyxt.whu.com.   IN    A    84.240.31.157
xthdyoeg.hyxt.whu.com.   IN    A    150.5.200.37
fnsirtlv.hyxt.whu.com.   IN    A    61.73.164.203
vbsxcpdr.hyxt.whu.com.   IN    A    118.21.4.174
xpcbrskd.hyxt.whu.com.   IN    A    205.87.196.188
gpnyrkja.hyxt.whu.com.   IN    A    84.118.151.147
moyhegfj.hyxt.whu.com.   IN    A    153.6.195.121
ykfvrtgh.hyxt.whu.com.   IN    A    22.204.90.154
wsfedkvb.hyxt.whu.com.   IN    A    226.134.79.145
xuwnbjpc.hyxt.whu.com.   IN    A    131.221.1.117
kmcfuyjg.hyxt.whu.com.   IN    A    32.127.232.252
nfghlaoc.hyxt.whu.com.   IN    A    219.227.162.167
guvmfkay.hyxt.whu.com.   IN    A    244.18.136.244
fowytdgq.hyxt.whu.com.   IN    A    53.172.190.38
chkifsby.hyxt.whu.com.   IN    A    60.11.127.130
qdtvmcla.hyxt.whu.com.   IN    A    173.189.238.229
xudowrys.hyxt.whu.com.   IN    A    195.252.42.12
cejvnlhf.hyxt.whu.com.   IN    A    18.147.159.86
pmfnvsth.hyxt.whu.com.   IN    A    34.90.203.209
bdjewril.hyxt.whu.com.   IN    A    207.29.41.176
ptysfocl.hyxt.whu.com.   IN    A    112.162.172.252
oxmfrskq.hyxt.whu.com.   IN    A    212.1.53.247
qahxdtji.hyxt.whu.com.   IN    A    52.242.29.200
devcmyso.hyxt.whu.com.   IN    A    46.244.211.129
vtykaqbu.hyxt.whu.com.   IN    A    255.252.141.213
xigabdom.hyxt.whu.com.   IN    A    198.44.29.170
bdpiljhs.hyxt.whu.com.   IN    A    46.61.99.26
gntmohie.hyxt.whu.com.   IN    A    66.67.89.19
