www.lzu.com. 	14400	IN	SOA	ns1.www.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
www.lzu.com.		    IN	NS ns1.www.lzu.com.
vtmoxaij.www.lzu.com.    IN    A    53.141.196.61
vmqpgcke.www.lzu.com.    IN    A    24.152.129.153
jgowshup.www.lzu.com.    IN    A    86.160.42.151
srjyqeth.www.lzu.com.    IN    A    3.169.132.0
crfhjinu.www.lzu.com.    IN    A    149.250.217.65
kedqmwgt.www.lzu.com.    IN    A    121.180.77.3
vcglnfyx.www.lzu.com.    IN    A    162.112.236.32
pdunyksh.www.lzu.com.    IN    A    13.41.235.166
ymtkdhac.www.lzu.com.    IN    A    246.33.63.162
egwtufia.www.lzu.com.    IN    A    44.99.5.213
itdxnjeh.www.lzu.com.    IN    A    19.166.65.229
ijtgprfx.www.lzu.com.    IN    A    76.88.75.240
khpxrnsc.www.lzu.com.    IN    A    6.142.68.55
hfoapdjr.www.lzu.com.    IN    A    89.181.222.141
iangxtwh.www.lzu.com.    IN    A    146.58.195.205
nlcxomhw.www.lzu.com.    IN    A    103.251.132.213
bgkqpfis.www.lzu.com.    IN    A    217.74.218.253
xlgutfqb.www.lzu.com.    IN    A    177.143.65.23
xwcidvyh.www.lzu.com.    IN    A    91.223.240.224
coxnujqy.www.lzu.com.    IN    A    152.1.250.178
otmxugpa.www.lzu.com.    IN    A    65.69.23.136
awnmpjvu.www.lzu.com.    IN    A    177.9.2.44
pswnxmvk.www.lzu.com.    IN    A    244.34.78.163
wmbkygau.www.lzu.com.    IN    A    164.66.218.22
gwjflyxb.www.lzu.com.    IN    A    92.163.57.85
qjbuexhr.www.lzu.com.    IN    A    197.118.48.23
tynpwdfr.www.lzu.com.    IN    A    141.45.230.220
mkxfhrlu.www.lzu.com.    IN    A    103.162.254.228
cldvkfhg.www.lzu.com.    IN    A    41.205.99.216
hqfkuxpn.www.lzu.com.    IN    A    50.156.172.185
uqsdfnwt.www.lzu.com.    IN    A    250.181.19.36
gkstewpx.www.lzu.com.    IN    A    118.245.45.228
yfwblvqg.www.lzu.com.    IN    A    142.225.176.148
nwicvsqu.www.lzu.com.    IN    A    192.30.11.237
qokshert.www.lzu.com.    IN    A    164.50.210.52
jnbvksfl.www.lzu.com.    IN    A    198.84.215.172
rtaeksbi.www.lzu.com.    IN    A    236.119.20.46
swmcpnoj.www.lzu.com.    IN    A    217.149.33.45
exbukvyw.www.lzu.com.    IN    A    58.196.234.2
jdsrxowi.www.lzu.com.    IN    A    32.181.187.14
xihlafbt.www.lzu.com.    IN    A    119.164.89.126
equicfpo.www.lzu.com.    IN    A    19.203.58.222
ljqyhkni.www.lzu.com.    IN    A    164.63.222.125
pxwbajnl.www.lzu.com.    IN    A    121.98.2.98
ytdsgrqh.www.lzu.com.    IN    A    140.177.53.151
kuwcfyqt.www.lzu.com.    IN    A    33.245.95.156
whfqubxd.www.lzu.com.    IN    A    158.211.252.177
qrjibkol.www.lzu.com.    IN    A    3.39.3.254
ujmopqbd.www.lzu.com.    IN    A    52.58.19.218
fvyixrge.www.lzu.com.    IN    A    48.191.15.117
ktnqlvgb.www.lzu.com.    IN    A    38.121.138.231
hqjtmvoy.www.lzu.com.    IN    A    202.209.212.156
bfdvskom.www.lzu.com.    IN    A    95.146.6.85
avrwbyxg.www.lzu.com.    IN    A    248.169.81.52
yqhabgtk.www.lzu.com.    IN    A    237.66.236.190
pbktwulh.www.lzu.com.    IN    A    133.132.241.165
dcqtblxm.www.lzu.com.    IN    A    43.38.7.241
ycnpbgjt.www.lzu.com.    IN    A    202.63.130.157
imyubjla.www.lzu.com.    IN    A    114.98.107.156
xwvaitnh.www.lzu.com.    IN    A    69.138.125.240
bqwclxgt.www.lzu.com.    IN    A    131.152.23.60
myxqvusb.www.lzu.com.    IN    A    111.46.154.232
cnktymvg.www.lzu.com.    IN    A    127.174.33.186
umolvrke.www.lzu.com.    IN    A    253.99.42.183
advpitcs.www.lzu.com.    IN    A    35.246.70.236
cwiknjgr.www.lzu.com.    IN    A    98.17.133.218
rdysmbhj.www.lzu.com.    IN    A    44.230.167.130
pcalsjon.www.lzu.com.    IN    A    19.180.146.234
jtpdawec.www.lzu.com.    IN    A    173.25.48.199
msbcaedr.www.lzu.com.    IN    A    248.163.247.8
jsgmnhfd.www.lzu.com.    IN    A    108.55.185.31
nqscxrig.www.lzu.com.    IN    A    81.50.243.167
birwcnpf.www.lzu.com.    IN    A    90.28.44.41
opdifahv.www.lzu.com.    IN    A    119.223.82.3
rglmphnk.www.lzu.com.    IN    A    249.34.246.22
eyqraunt.www.lzu.com.    IN    A    196.2.250.55
qcbyatlg.www.lzu.com.    IN    A    10.135.188.217
rftjyiac.www.lzu.com.    IN    A    172.134.35.217
urkjoybc.www.lzu.com.    IN    A    95.52.38.48
bdhgnieu.www.lzu.com.    IN    A    164.152.135.25
bvmkydjf.www.lzu.com.    IN    A    98.77.0.74
krcpbjnh.www.lzu.com.    IN    A    182.213.65.60
hmuyebxd.www.lzu.com.    IN    A    57.91.57.213
plgwixyh.www.lzu.com.    IN    A    135.35.121.97
uikqerda.www.lzu.com.    IN    A    186.73.86.2
oqpfmugh.www.lzu.com.    IN    A    139.104.133.157
yaehiwnt.www.lzu.com.    IN    A    86.250.166.217
vuxarmoq.www.lzu.com.    IN    A    66.34.66.178
luykipjt.www.lzu.com.    IN    A    111.68.153.47
mkbgjdoi.www.lzu.com.    IN    A    243.82.176.244
idwmorup.www.lzu.com.    IN    A    16.184.226.181
fnsxcbau.www.lzu.com.    IN    A    217.51.212.56
mfeavspt.www.lzu.com.    IN    A    193.144.105.100
kfpexsgv.www.lzu.com.    IN    A    241.202.197.97
dvarfbhn.www.lzu.com.    IN    A    156.135.60.126
berfcksw.www.lzu.com.    IN    A    255.19.164.15
dpiovryw.www.lzu.com.    IN    A    201.144.100.217
qyjacxpo.www.lzu.com.    IN    A    135.222.130.51
kedgpuwn.www.lzu.com.    IN    A    98.15.63.255
lewatxhd.www.lzu.com.    IN    A    14.228.68.135
afurbyej.www.lzu.com.    IN    A    122.255.2.34
eyclobfd.www.lzu.com.    IN    A    181.78.215.119
rhmnusag.www.lzu.com.    IN    A    99.175.106.32
btcxqdoh.www.lzu.com.    IN    A    63.109.151.68
gtbrsmaw.www.lzu.com.    IN    A    224.221.72.43
dknjmvis.www.lzu.com.    IN    A    123.189.242.51
marqiwfd.www.lzu.com.    IN    A    174.214.93.179
jxnydrvc.www.lzu.com.    IN    A    160.220.184.144
efdhrygu.www.lzu.com.    IN    A    143.170.144.22
spwxykle.www.lzu.com.    IN    A    109.74.62.107
nyhqsaji.www.lzu.com.    IN    A    193.232.224.90
skogprlu.www.lzu.com.    IN    A    95.204.213.34
kmhrjcyu.www.lzu.com.    IN    A    117.133.86.86
doxrvlsp.www.lzu.com.    IN    A    152.95.185.48
fdtuypbi.www.lzu.com.    IN    A    229.58.213.51
vqgaljmn.www.lzu.com.    IN    A    169.215.33.42
umsvjxph.www.lzu.com.    IN    A    115.231.211.226
terlwhyv.www.lzu.com.    IN    A    10.137.114.239
peqxcuab.www.lzu.com.    IN    A    209.4.45.3
wednmabp.www.lzu.com.    IN    A    115.237.133.153
hxlrqige.www.lzu.com.    IN    A    75.193.21.217
bvrdaxcj.www.lzu.com.    IN    A    54.80.28.151
aeiyxdfu.www.lzu.com.    IN    A    64.83.138.27
incovgtu.www.lzu.com.    IN    A    149.122.191.35
tbudfvli.www.lzu.com.    IN    A    80.61.121.216
oaelkfgs.www.lzu.com.    IN    A    183.161.63.121
sciydark.www.lzu.com.    IN    A    216.66.191.221
ilebdaws.www.lzu.com.    IN    A    173.138.15.217
oqhwkfsd.www.lzu.com.    IN    A    11.150.181.1
xnqwmlfa.www.lzu.com.    IN    A    123.32.235.155
fhckeims.www.lzu.com.    IN    A    190.140.106.193
ewlpgbji.www.lzu.com.    IN    A    217.89.44.44
cehljuyw.www.lzu.com.    IN    A    97.79.102.222
bsfqnvro.www.lzu.com.    IN    A    219.44.198.154
plyxasog.www.lzu.com.    IN    A    160.43.80.142
fiqpvhxc.www.lzu.com.    IN    A    121.157.45.81
cajofxeu.www.lzu.com.    IN    A    140.235.249.94
qtrsbivw.www.lzu.com.    IN    A    46.83.57.3
yrsjcnhq.www.lzu.com.    IN    A    82.121.238.242
vxigctpe.www.lzu.com.    IN    A    2.244.161.21
rdgnmeiw.www.lzu.com.    IN    A    60.203.58.210
ltpmwuqi.www.lzu.com.    IN    A    58.202.171.164
ikmalygq.www.lzu.com.    IN    A    134.66.114.152
xanjgbpo.www.lzu.com.    IN    A    127.158.192.69
qjxvrhpb.www.lzu.com.    IN    A    176.94.81.121
pshcbtfy.www.lzu.com.    IN    A    182.19.24.99
mhcfdvrb.www.lzu.com.    IN    A    192.52.43.20
mdeyvhrw.www.lzu.com.    IN    A    133.196.31.178
ngrxflic.www.lzu.com.    IN    A    87.135.191.24
thlriyse.www.lzu.com.    IN    A    223.39.35.7
tlkbivnr.www.lzu.com.    IN    A    192.65.127.163
xetjbvfd.www.lzu.com.    IN    A    194.219.35.57
ndfickbv.www.lzu.com.    IN    A    82.254.190.18
vjndhwxq.www.lzu.com.    IN    A    9.66.184.194
swtjlnga.www.lzu.com.    IN    A    244.64.76.240
rbicepls.www.lzu.com.    IN    A    7.147.140.110
ipmqcyvl.www.lzu.com.    IN    A    187.39.216.105
kuvrodhf.www.lzu.com.    IN    A    181.96.198.211
nujsgbym.www.lzu.com.    IN    A    90.184.49.129
wsimnadj.www.lzu.com.    IN    A    250.2.219.48
ximocnql.www.lzu.com.    IN    A    168.220.41.129
qrgwceut.www.lzu.com.    IN    A    51.136.105.166
ucibsyth.www.lzu.com.    IN    A    139.94.178.22
emhcpblx.www.lzu.com.    IN    A    156.246.3.223
jtoqyxdi.www.lzu.com.    IN    A    218.169.210.129
mxotgfnc.www.lzu.com.    IN    A    133.160.106.146
urglbico.www.lzu.com.    IN    A    101.111.221.212
qfdeksir.www.lzu.com.    IN    A    227.86.20.198
xlnstyho.www.lzu.com.    IN    A    238.89.11.125
sgihumrl.www.lzu.com.    IN    A    209.63.6.20
lbqfkyhg.www.lzu.com.    IN    A    88.242.206.216
kuvfcnat.www.lzu.com.    IN    A    77.251.114.40
ksfuildv.www.lzu.com.    IN    A    59.87.193.72
hyldawrc.www.lzu.com.    IN    A    248.230.61.160
aoxwgksu.www.lzu.com.    IN    A    143.224.236.25
jeciykpu.www.lzu.com.    IN    A    93.4.44.92
epndolum.www.lzu.com.    IN    A    221.138.143.27
mugoikch.www.lzu.com.    IN    A    249.242.153.29
oqwxbtci.www.lzu.com.    IN    A    171.92.199.90
hrgpmelo.www.lzu.com.    IN    A    44.214.161.176
qpcexavu.www.lzu.com.    IN    A    233.245.90.245
uawcftmk.www.lzu.com.    IN    A    196.159.223.231
khxaidor.www.lzu.com.    IN    A    40.230.83.111
ejdwxhlq.www.lzu.com.    IN    A    209.56.193.197
geymilwt.www.lzu.com.    IN    A    243.110.115.92
uxbowtde.www.lzu.com.    IN    A    35.186.117.135
wohglqeb.www.lzu.com.    IN    A    167.43.252.113
dmkyhbrv.www.lzu.com.    IN    A    52.154.242.31
ukdfopbh.www.lzu.com.    IN    A    39.214.120.177
crlvmufj.www.lzu.com.    IN    A    107.155.198.50
kypbunti.www.lzu.com.    IN    A    82.139.215.153
yckaxron.www.lzu.com.    IN    A    31.51.232.165
jianhqsw.www.lzu.com.    IN    A    226.150.7.182
nwvcuthi.www.lzu.com.    IN    A    0.140.189.63
mwuhnsib.www.lzu.com.    IN    A    76.14.117.135
sobgfqkl.www.lzu.com.    IN    A    127.166.207.69
nutebdgm.www.lzu.com.    IN    A    65.25.214.101
crhfkxqp.www.lzu.com.    IN    A    12.234.178.242
skfgiblx.www.lzu.com.    IN    A    200.105.105.209
ynxspglk.www.lzu.com.    IN    A    191.1.40.230
rlintxqe.www.lzu.com.    IN    A    155.152.146.39
cltoynqu.www.lzu.com.    IN    A    17.157.30.232
aohtknlv.www.lzu.com.    IN    A    195.117.111.48
uyrldiox.www.lzu.com.    IN    A    81.83.5.3
fuaxyoht.www.lzu.com.    IN    A    123.61.76.32
smfvrqhd.www.lzu.com.    IN    A    32.33.226.102
tdulcisn.www.lzu.com.    IN    A    204.201.249.182
bhwrdjlf.www.lzu.com.    IN    A    214.204.189.61
chibuloj.www.lzu.com.    IN    A    144.232.100.196
bemxtsrj.www.lzu.com.    IN    A    62.249.51.135
rpxisegc.www.lzu.com.    IN    A    59.74.212.34
bywhlncv.www.lzu.com.    IN    A    189.70.16.13
wdlqbvje.www.lzu.com.    IN    A    164.123.192.155
jureqfgy.www.lzu.com.    IN    A    252.193.28.80
sofelpxh.www.lzu.com.    IN    A    185.133.67.215
vidaqpog.www.lzu.com.    IN    A    148.20.238.234
awsmxibt.www.lzu.com.    IN    A    25.105.251.186
pjlrkvtu.www.lzu.com.    IN    A    222.192.79.36
muaqplgk.www.lzu.com.    IN    A    222.41.190.225
olfhmanx.www.lzu.com.    IN    A    139.128.168.138
vdotlbce.www.lzu.com.    IN    A    64.130.87.89
ipkgecdn.www.lzu.com.    IN    A    44.103.234.122
xbsyeopn.www.lzu.com.    IN    A    81.167.251.226
hitqpowy.www.lzu.com.    IN    A    180.110.128.59
xyoligka.www.lzu.com.    IN    A    96.18.104.138
lpbyhkfd.www.lzu.com.    IN    A    219.100.225.178
ithaukmw.www.lzu.com.    IN    A    90.98.158.224
hjulayso.www.lzu.com.    IN    A    218.78.140.40
kplmcuni.www.lzu.com.    IN    A    50.189.221.201
rpfvjmgq.www.lzu.com.    IN    A    135.29.63.192
ispoyarj.www.lzu.com.    IN    A    2.194.38.150
vhmntoxe.www.lzu.com.    IN    A    230.87.123.166
ykftxand.www.lzu.com.    IN    A    59.31.193.199
pxrwckui.www.lzu.com.    IN    A    175.73.93.248
grdvyhjo.www.lzu.com.    IN    A    163.182.121.245
jmvbahig.www.lzu.com.    IN    A    212.174.85.132
tdblsxyc.www.lzu.com.    IN    A    156.99.216.187
elrboxma.www.lzu.com.    IN    A    116.49.101.162
wovxmybr.www.lzu.com.    IN    A    103.45.246.183
dyoprvcb.www.lzu.com.    IN    A    68.172.114.103
woajbndq.www.lzu.com.    IN    A    239.233.90.5
cgixquaj.www.lzu.com.    IN    A    73.248.96.97
gcoefmkx.www.lzu.com.    IN    A    219.135.22.61
axgpftui.www.lzu.com.    IN    A    240.148.205.52
mkcwirxo.www.lzu.com.    IN    A    21.118.181.244
kqgytimu.www.lzu.com.    IN    A    26.110.190.156
olspgrtj.www.lzu.com.    IN    A    2.22.72.180
esymbhjl.www.lzu.com.    IN    A    113.42.41.80
enkvobcu.www.lzu.com.    IN    A    179.17.108.105
upxigods.www.lzu.com.    IN    A    22.128.185.124
fhposlci.www.lzu.com.    IN    A    206.72.4.189
uycpegnl.www.lzu.com.    IN    A    245.137.18.47
ugxphqtc.www.lzu.com.    IN    A    82.230.134.213
dcnxthar.www.lzu.com.    IN    A    94.196.53.72
tnupwbfx.www.lzu.com.    IN    A    27.37.68.201
eirwsfqg.www.lzu.com.    IN    A    5.65.55.157
bwqcgfun.www.lzu.com.    IN    A    86.103.60.221
nrlftbsg.www.lzu.com.    IN    A    221.163.174.14
xyvpkdsa.www.lzu.com.    IN    A    208.222.236.237
yiajqhmt.www.lzu.com.    IN    A    237.139.70.58
mgliycvf.www.lzu.com.    IN    A    112.121.6.153
fmjyxthc.www.lzu.com.    IN    A    93.151.190.126
kyfvusop.www.lzu.com.    IN    A    22.175.97.102
ynmsqhpt.www.lzu.com.    IN    A    179.184.173.24
vqkbnepw.www.lzu.com.    IN    A    64.191.157.162
ngmithsp.www.lzu.com.    IN    A    50.40.50.37
hicvdpyw.www.lzu.com.    IN    A    117.238.211.91
wkfbnaim.www.lzu.com.    IN    A    25.137.98.26
qnltcius.www.lzu.com.    IN    A    120.28.208.145
crviuxde.www.lzu.com.    IN    A    170.255.92.254
ylgucxtj.www.lzu.com.    IN    A    47.244.90.151
qwoxgdji.www.lzu.com.    IN    A    115.103.200.232
dmbolgxh.www.lzu.com.    IN    A    107.206.160.150
pbntihmr.www.lzu.com.    IN    A    206.185.174.14
sfewkorp.www.lzu.com.    IN    A    129.12.24.204
rloupfjq.www.lzu.com.    IN    A    172.218.164.187
xksorahn.www.lzu.com.    IN    A    43.22.105.250
arbdxpiq.www.lzu.com.    IN    A    240.85.32.250
bknypaxl.www.lzu.com.    IN    A    176.55.111.3
ewhsjuim.www.lzu.com.    IN    A    81.85.121.159
agykmlbe.www.lzu.com.    IN    A    116.249.48.192
qcspmuhn.www.lzu.com.    IN    A    159.19.57.48
fsjbuwrx.www.lzu.com.    IN    A    33.34.41.119
xdbplqji.www.lzu.com.    IN    A    251.34.164.124
tgjpmcxr.www.lzu.com.    IN    A    104.159.193.215
lyoqasit.www.lzu.com.    IN    A    7.253.84.243
vgacmtny.www.lzu.com.    IN    A    18.146.180.11
nagjqctx.www.lzu.com.    IN    A    241.58.32.1
wpohvdmx.www.lzu.com.    IN    A    130.114.169.52
hviembtr.www.lzu.com.    IN    A    39.30.178.230
tislxhcp.www.lzu.com.    IN    A    210.170.237.76
eqsutpgd.www.lzu.com.    IN    A    65.175.70.164
qyrhfwvi.www.lzu.com.    IN    A    64.125.50.216
tsnbiyua.www.lzu.com.    IN    A    125.72.218.192
vikpcxjm.www.lzu.com.    IN    A    108.91.176.161
ayufiteq.www.lzu.com.    IN    A    117.44.122.136
hfxpuqtb.www.lzu.com.    IN    A    250.114.125.159
pkrvqehs.www.lzu.com.    IN    A    240.201.0.172
gdxcvbty.www.lzu.com.    IN    A    200.238.198.128
wolfdhta.www.lzu.com.    IN    A    49.64.215.226
ynoibsxh.www.lzu.com.    IN    A    146.232.181.148
ksabiypc.www.lzu.com.    IN    A    175.157.192.215
itsmfuxb.www.lzu.com.    IN    A    44.53.125.1
kaytcdxo.www.lzu.com.    IN    A    144.49.197.150
wqcrfsem.www.lzu.com.    IN    A    72.184.128.126
algnefuk.www.lzu.com.    IN    A    43.113.12.224
nlkpqibh.www.lzu.com.    IN    A    53.106.7.103
ualrwfmo.www.lzu.com.    IN    A    77.184.127.92
gojewbdn.www.lzu.com.    IN    A    140.68.37.215
jwprnitx.www.lzu.com.    IN    A    115.49.60.142
woyartjf.www.lzu.com.    IN    A    154.253.217.198
utckbhwm.www.lzu.com.    IN    A    35.192.251.87
kmchdypi.www.lzu.com.    IN    A    155.75.20.157
jfdketip.www.lzu.com.    IN    A    98.117.200.54
jiwbquax.www.lzu.com.    IN    A    196.230.247.156
rqysmkcn.www.lzu.com.    IN    A    97.182.238.204
uhrnbajy.www.lzu.com.    IN    A    91.195.158.46
nqpbhcsi.www.lzu.com.    IN    A    149.51.108.62
kclgjmox.www.lzu.com.    IN    A    52.177.235.68
clnuhoag.www.lzu.com.    IN    A    128.67.169.65
qbwmdsap.www.lzu.com.    IN    A    18.152.7.130
fktjxlov.www.lzu.com.    IN    A    249.149.206.90
mwnxedus.www.lzu.com.    IN    A    5.111.236.186
ftjhxsal.www.lzu.com.    IN    A    49.81.119.159
gtjopfiw.www.lzu.com.    IN    A    209.41.57.44
uvorticf.www.lzu.com.    IN    A    149.21.251.127
aclpiwug.www.lzu.com.    IN    A    75.147.111.21
ejbgawkp.www.lzu.com.    IN    A    209.226.120.231
bwnohjxv.www.lzu.com.    IN    A    9.33.91.191
kwhbypje.www.lzu.com.    IN    A    65.88.107.187
vpsbflqn.www.lzu.com.    IN    A    152.236.155.147
wdtxnyal.www.lzu.com.    IN    A    250.179.221.71
rduvemxt.www.lzu.com.    IN    A    223.140.31.159
soynxifl.www.lzu.com.    IN    A    68.246.100.137
ynaijgpt.www.lzu.com.    IN    A    200.101.26.95
dhxeugbi.www.lzu.com.    IN    A    248.141.114.208
fybmdcnv.www.lzu.com.    IN    A    171.238.140.193
gpjouwhm.www.lzu.com.    IN    A    232.44.35.194
muqxsril.www.lzu.com.    IN    A    100.202.137.93
chsymajx.www.lzu.com.    IN    A    128.193.115.245
myetwgkh.www.lzu.com.    IN    A    21.184.120.63
sxmaqjpg.www.lzu.com.    IN    A    24.47.139.164
ykbewjnf.www.lzu.com.    IN    A    195.229.255.126
blhyveuf.www.lzu.com.    IN    A    115.13.201.100
wfscbnit.www.lzu.com.    IN    A    48.236.4.199
upwfdlgm.www.lzu.com.    IN    A    72.118.29.55
puvgaocy.www.lzu.com.    IN    A    67.56.211.14
girwajmk.www.lzu.com.    IN    A    66.205.93.173
vkwhqatu.www.lzu.com.    IN    A    56.71.107.168
jaldehrw.www.lzu.com.    IN    A    16.171.36.227
qstdajpx.www.lzu.com.    IN    A    111.173.95.33
wakqunep.www.lzu.com.    IN    A    154.10.55.129
kfmslnwi.www.lzu.com.    IN    A    33.242.96.195
ajbnmesg.www.lzu.com.    IN    A    89.152.52.87
jahrglxp.www.lzu.com.    IN    A    146.82.67.64
mrwythps.www.lzu.com.    IN    A    85.109.70.82
kcmjuqan.www.lzu.com.    IN    A    112.81.114.241
esrixcgn.www.lzu.com.    IN    A    68.210.233.158
rpgvwhin.www.lzu.com.    IN    A    247.34.149.194
losjugxt.www.lzu.com.    IN    A    146.34.174.72
chnktdwu.www.lzu.com.    IN    A    178.39.98.205
tpeymrlb.www.lzu.com.    IN    A    5.254.242.239
anuqtjdh.www.lzu.com.    IN    A    132.88.185.191
peahfgnj.www.lzu.com.    IN    A    107.173.70.133
iwtckuxj.www.lzu.com.    IN    A    72.57.108.225
wkxuqmvr.www.lzu.com.    IN    A    220.25.28.10
edcqhvbu.www.lzu.com.    IN    A    49.205.128.18
ymeabfdl.www.lzu.com.    IN    A    141.145.139.56
mxqfhvrs.www.lzu.com.    IN    A    51.252.204.163
pfjakhix.www.lzu.com.    IN    A    233.213.120.235
urhastgb.www.lzu.com.    IN    A    59.112.207.65
jpfqhked.www.lzu.com.    IN    A    91.66.69.245
gqnadvku.www.lzu.com.    IN    A    144.34.187.78
dlygkoqw.www.lzu.com.    IN    A    60.102.112.228
fpnxmdqb.www.lzu.com.    IN    A    229.142.87.101
eughqsdi.www.lzu.com.    IN    A    240.91.134.109
rbsjphqn.www.lzu.com.    IN    A    116.125.248.49
jvkoeacp.www.lzu.com.    IN    A    109.109.124.249
wokvqgid.www.lzu.com.    IN    A    124.167.34.93
vpixwuac.www.lzu.com.    IN    A    247.196.67.52
mtrelvbn.www.lzu.com.    IN    A    137.215.107.187
nuvrqtkl.www.lzu.com.    IN    A    152.110.249.239
fpjdhxuy.www.lzu.com.    IN    A    192.153.92.240
rphgudvy.www.lzu.com.    IN    A    189.202.80.135
bungkhtd.www.lzu.com.    IN    A    232.204.91.165
xnpkrubo.www.lzu.com.    IN    A    44.213.142.203
baqjndhs.www.lzu.com.    IN    A    228.109.228.218
okbdjcvt.www.lzu.com.    IN    A    73.174.73.165
xnsuymlg.www.lzu.com.    IN    A    52.95.247.254
ivnaodfw.www.lzu.com.    IN    A    0.29.180.113
yjcxvlmd.www.lzu.com.    IN    A    109.252.95.176
snyegwfh.www.lzu.com.    IN    A    244.37.136.86
ybilkcou.www.lzu.com.    IN    A    78.228.83.161
xehrcpbv.www.lzu.com.    IN    A    218.38.125.242
xtewminc.www.lzu.com.    IN    A    231.60.63.223
lxmcngdy.www.lzu.com.    IN    A    211.90.63.214
jnltuqay.www.lzu.com.    IN    A    204.239.98.134
lhuaqtim.www.lzu.com.    IN    A    175.182.24.87
emnlioys.www.lzu.com.    IN    A    187.110.37.253
pvimofbt.www.lzu.com.    IN    A    161.120.43.157
rigefpuq.www.lzu.com.    IN    A    241.167.81.252
ixqbkamc.www.lzu.com.    IN    A    232.212.111.204
scxgejor.www.lzu.com.    IN    A    106.144.123.141
akotmjlh.www.lzu.com.    IN    A    53.75.11.34
gpemoltu.www.lzu.com.    IN    A    230.247.214.128
lxwhmyeo.www.lzu.com.    IN    A    81.207.91.110
ptmrhgli.www.lzu.com.    IN    A    50.100.188.102
fgkauixj.www.lzu.com.    IN    A    149.116.70.89
qowmebsp.www.lzu.com.    IN    A    18.119.68.208
nutsorha.www.lzu.com.    IN    A    56.121.41.83
amvwokrq.www.lzu.com.    IN    A    194.143.54.179
mpqkwhjl.www.lzu.com.    IN    A    62.12.127.210
xtuwgfac.www.lzu.com.    IN    A    233.194.1.255
kicjufgd.www.lzu.com.    IN    A    174.140.128.165
pdkxyfbr.www.lzu.com.    IN    A    88.204.102.242
qitxpsyc.www.lzu.com.    IN    A    109.63.173.146
tvdnqpxf.www.lzu.com.    IN    A    17.163.118.2
vdcrtmjo.www.lzu.com.    IN    A    236.130.31.148
uvwqbtce.www.lzu.com.    IN    A    41.92.66.118
kljagtbi.www.lzu.com.    IN    A    122.88.191.192
vxykbshq.www.lzu.com.    IN    A    44.118.127.88
kqcylhjg.www.lzu.com.    IN    A    140.117.35.187
qpydujvi.www.lzu.com.    IN    A    81.255.171.105
vlwotefc.www.lzu.com.    IN    A    131.9.214.11
ytevhonc.www.lzu.com.    IN    A    132.3.122.168
rplxguyt.www.lzu.com.    IN    A    104.28.46.212
amburcqf.www.lzu.com.    IN    A    162.176.106.249
ykgpstfm.www.lzu.com.    IN    A    146.34.160.31
pycjvwif.www.lzu.com.    IN    A    231.108.138.107
ijowbgca.www.lzu.com.    IN    A    58.194.233.219
sitgdmre.www.lzu.com.    IN    A    169.216.174.187
uyrankwf.www.lzu.com.    IN    A    11.74.242.15
pdatehwx.www.lzu.com.    IN    A    36.202.245.44
elxncgfb.www.lzu.com.    IN    A    106.226.39.212
njpfmvwk.www.lzu.com.    IN    A    57.60.184.37
jrvyswfb.www.lzu.com.    IN    A    223.194.127.26
loabqdvs.www.lzu.com.    IN    A    219.153.193.21
qbkhxjtu.www.lzu.com.    IN    A    185.37.18.90
ufxpvhgr.www.lzu.com.    IN    A    63.104.110.28
rknajwot.www.lzu.com.    IN    A    214.230.58.62
clwihnry.www.lzu.com.    IN    A    3.47.250.223
fnikvctu.www.lzu.com.    IN    A    141.57.198.35
gkefjlpd.www.lzu.com.    IN    A    83.212.111.39
rkvqcnth.www.lzu.com.    IN    A    216.210.184.243
kpbrinov.www.lzu.com.    IN    A    197.88.164.55
abrdnglq.www.lzu.com.    IN    A    95.193.137.136
bosqywfr.www.lzu.com.    IN    A    114.214.195.197
irpmdjtq.www.lzu.com.    IN    A    7.8.190.126
xyucimbe.www.lzu.com.    IN    A    128.146.92.254
fhemadqv.www.lzu.com.    IN    A    197.5.176.95
mbtelvuq.www.lzu.com.    IN    A    182.31.53.164
hbejfigk.www.lzu.com.    IN    A    31.156.226.75
sxicubwn.www.lzu.com.    IN    A    145.191.128.193
curyiexd.www.lzu.com.    IN    A    71.80.48.26
guowiqlc.www.lzu.com.    IN    A    66.109.233.141
itlocjba.www.lzu.com.    IN    A    149.77.198.49
mcqenywl.www.lzu.com.    IN    A    82.40.244.183
iacpjuqr.www.lzu.com.    IN    A    26.23.92.23
kowfnhlp.www.lzu.com.    IN    A    65.93.47.199
tcwdlieo.www.lzu.com.    IN    A    13.182.3.146
wqlvfrym.www.lzu.com.    IN    A    52.2.37.46
syupnxve.www.lzu.com.    IN    A    188.133.140.251
vajyxwlt.www.lzu.com.    IN    A    27.113.153.157
oqrptblj.www.lzu.com.    IN    A    119.146.69.142
cuwryhdp.www.lzu.com.    IN    A    199.9.3.76
tmlfryvu.www.lzu.com.    IN    A    165.47.115.144
gnurtcis.www.lzu.com.    IN    A    228.245.36.184
ahftwvxi.www.lzu.com.    IN    A    64.90.167.193
vjtoxafn.www.lzu.com.    IN    A    102.139.18.128
nfiaypdh.www.lzu.com.    IN    A    39.12.183.30
lubdtomk.www.lzu.com.    IN    A    85.79.231.231
qmjsdrlb.www.lzu.com.    IN    A    116.134.226.1
