www.whu.com. 	14400	IN	SOA	ns1.www.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
www.whu.com.		    IN	NS ns1.www.whu.com.
krvndymi.www.whu.com.    IN    A    126.226.183.98
pulijdsn.www.whu.com.    IN    A    230.226.124.136
dufygjwl.www.whu.com.    IN    A    191.252.92.222
lecykdjq.www.whu.com.    IN    A    50.96.35.185
rlhkoqxj.www.whu.com.    IN    A    215.115.50.79
fesjkuwc.www.whu.com.    IN    A    69.224.167.88
igdcwqve.www.whu.com.    IN    A    54.102.194.217
letkbrhq.www.whu.com.    IN    A    50.227.73.171
rnuqihgs.www.whu.com.    IN    A    173.246.193.175
oabewygk.www.whu.com.    IN    A    79.204.55.229
uvacqwbf.www.whu.com.    IN    A    49.213.215.59
mylhxcpe.www.whu.com.    IN    A    86.21.204.133
khvqcbua.www.whu.com.    IN    A    196.6.216.27
rmcepbdl.www.whu.com.    IN    A    67.106.190.185
ufxswvig.www.whu.com.    IN    A    229.214.140.199
rbchxotf.www.whu.com.    IN    A    248.113.117.232
vaxbopdr.www.whu.com.    IN    A    218.79.28.91
kcwmjliv.www.whu.com.    IN    A    154.61.41.245
moknfrgj.www.whu.com.    IN    A    2.23.136.148
gdpnikho.www.whu.com.    IN    A    32.64.174.48
otcabgpq.www.whu.com.    IN    A    212.102.87.133
ksumftjv.www.whu.com.    IN    A    28.65.93.38
iqcxyjpk.www.whu.com.    IN    A    238.127.208.104
hrjfivcp.www.whu.com.    IN    A    161.185.216.57
mdfeqblx.www.whu.com.    IN    A    18.88.218.61
qeiyrugx.www.whu.com.    IN    A    255.250.234.44
otfpaihd.www.whu.com.    IN    A    103.175.245.149
undrfyak.www.whu.com.    IN    A    67.185.28.50
bwqeoniv.www.whu.com.    IN    A    214.129.95.150
qfpskjwm.www.whu.com.    IN    A    161.207.191.62
icyrpwdv.www.whu.com.    IN    A    213.226.218.103
gtkilasb.www.whu.com.    IN    A    165.71.61.140
dkuywbox.www.whu.com.    IN    A    193.0.53.242
xdvsiqja.www.whu.com.    IN    A    62.177.109.45
ldtnxebv.www.whu.com.    IN    A    90.75.193.198
buivgrcq.www.whu.com.    IN    A    158.165.188.37
gwvulyfx.www.whu.com.    IN    A    62.236.167.212
sxtmukle.www.whu.com.    IN    A    127.220.114.219
iktdnrxe.www.whu.com.    IN    A    49.219.103.147
xwjvhkes.www.whu.com.    IN    A    57.144.25.155
qgpcmofw.www.whu.com.    IN    A    181.112.146.90
kyldnswx.www.whu.com.    IN    A    201.132.33.1
ujipvyhm.www.whu.com.    IN    A    116.115.205.199
xaesiuvo.www.whu.com.    IN    A    183.164.157.41
fytbrhvl.www.whu.com.    IN    A    41.217.138.137
fdurplka.www.whu.com.    IN    A    92.139.252.18
cufybvgt.www.whu.com.    IN    A    228.183.61.32
ahefrktg.www.whu.com.    IN    A    31.115.198.149
jnfcgsuw.www.whu.com.    IN    A    203.216.15.30
whbitguf.www.whu.com.    IN    A    56.229.250.166
hmskxagw.www.whu.com.    IN    A    148.217.139.211
odglbmrc.www.whu.com.    IN    A    87.136.211.25
dhjgupfq.www.whu.com.    IN    A    109.148.135.225
xrdenimh.www.whu.com.    IN    A    211.3.180.4
ybqraftw.www.whu.com.    IN    A    179.201.218.233
pyxlubti.www.whu.com.    IN    A    70.177.115.49
pmwrdieo.www.whu.com.    IN    A    151.84.206.245
dxatfohk.www.whu.com.    IN    A    73.107.66.107
sifgopar.www.whu.com.    IN    A    50.242.56.0
qgntmwsa.www.whu.com.    IN    A    224.178.96.134
mfqsgobv.www.whu.com.    IN    A    14.252.110.3
sctiubnh.www.whu.com.    IN    A    233.167.21.193
wurspvdc.www.whu.com.    IN    A    158.13.134.30
vcjiwedp.www.whu.com.    IN    A    47.142.45.41
pjrlfeuv.www.whu.com.    IN    A    136.52.133.205
pvwnmjth.www.whu.com.    IN    A    177.155.56.119
xjynuebv.www.whu.com.    IN    A    249.54.8.43
enwkghbv.www.whu.com.    IN    A    161.74.151.22
cibudlfr.www.whu.com.    IN    A    200.216.153.129
fbilopsx.www.whu.com.    IN    A    225.185.90.159
qjyxtsrn.www.whu.com.    IN    A    124.58.152.68
abgliwst.www.whu.com.    IN    A    1.228.28.245
origyvns.www.whu.com.    IN    A    132.106.80.17
ixvpnyfh.www.whu.com.    IN    A    181.144.3.9
lafpbjev.www.whu.com.    IN    A    6.192.17.49
xpafwlcv.www.whu.com.    IN    A    7.11.7.234
yjwigahd.www.whu.com.    IN    A    200.167.214.199
dtxjeloh.www.whu.com.    IN    A    197.164.167.90
ciwhfanx.www.whu.com.    IN    A    255.60.167.156
cjmfgvao.www.whu.com.    IN    A    142.141.242.102
urgjktxe.www.whu.com.    IN    A    128.127.14.176
oinkjabu.www.whu.com.    IN    A    143.234.107.49
lbdjhgmu.www.whu.com.    IN    A    185.199.246.220
yfcjpbqv.www.whu.com.    IN    A    196.104.133.222
bkaihevy.www.whu.com.    IN    A    189.64.30.204
cgfryxho.www.whu.com.    IN    A    217.127.108.71
rleumhwi.www.whu.com.    IN    A    119.121.235.224
mnklfrqp.www.whu.com.    IN    A    139.171.213.66
uhcokpxv.www.whu.com.    IN    A    250.32.143.142
bnmfvayk.www.whu.com.    IN    A    183.80.13.168
khjogdns.www.whu.com.    IN    A    57.221.76.132
gitbdomj.www.whu.com.    IN    A    34.82.144.230
mieohpvr.www.whu.com.    IN    A    125.151.3.205
wpkcqmjy.www.whu.com.    IN    A    212.7.70.143
ulqhaybv.www.whu.com.    IN    A    96.223.69.91
dolkiwth.www.whu.com.    IN    A    87.232.75.179
qrcdfoxb.www.whu.com.    IN    A    97.91.160.101
oujwfesv.www.whu.com.    IN    A    5.47.1.149
gtjirpaw.www.whu.com.    IN    A    18.47.224.47
bavlgkou.www.whu.com.    IN    A    77.10.240.109
apyvwimq.www.whu.com.    IN    A    71.92.77.116
bctjqukw.www.whu.com.    IN    A    193.209.27.118
jfavtsel.www.whu.com.    IN    A    245.169.97.34
hdegqlxc.www.whu.com.    IN    A    88.8.55.43
voqgstwy.www.whu.com.    IN    A    146.175.73.99
pchrgtlv.www.whu.com.    IN    A    117.185.151.114
qouwsrtv.www.whu.com.    IN    A    157.64.218.141
deyprahc.www.whu.com.    IN    A    240.246.147.48
ifkmqngo.www.whu.com.    IN    A    38.138.158.123
awivmbgd.www.whu.com.    IN    A    58.225.99.27
hjyesgal.www.whu.com.    IN    A    199.29.19.11
icuwreak.www.whu.com.    IN    A    165.139.232.53
sebpdcmo.www.whu.com.    IN    A    143.90.115.207
cktqsaxy.www.whu.com.    IN    A    204.201.184.39
utgenkdi.www.whu.com.    IN    A    144.227.138.85
oqwcefli.www.whu.com.    IN    A    247.183.39.149
ejrqtfwg.www.whu.com.    IN    A    34.47.219.140
huvqxpac.www.whu.com.    IN    A    139.66.156.158
bpuhjocv.www.whu.com.    IN    A    157.62.237.83
vtlbcwyi.www.whu.com.    IN    A    40.180.74.77
shmewtpg.www.whu.com.    IN    A    147.67.12.209
nlouphba.www.whu.com.    IN    A    73.172.17.35
odjsnblw.www.whu.com.    IN    A    18.81.49.193
qahofnyg.www.whu.com.    IN    A    172.193.157.143
ilfojcua.www.whu.com.    IN    A    80.194.96.107
tidglbjo.www.whu.com.    IN    A    54.124.52.73
arjkmwfs.www.whu.com.    IN    A    85.137.80.84
xpqoaycs.www.whu.com.    IN    A    181.255.173.76
djonmpge.www.whu.com.    IN    A    27.230.155.220
eiscaxlg.www.whu.com.    IN    A    249.188.180.211
btqahiuv.www.whu.com.    IN    A    228.193.77.39
abjoycli.www.whu.com.    IN    A    172.174.193.105
myrctwos.www.whu.com.    IN    A    86.29.71.46
tuyomgal.www.whu.com.    IN    A    133.60.191.133
guynjvaq.www.whu.com.    IN    A    94.160.165.166
bcenvqwy.www.whu.com.    IN    A    26.221.68.174
rmbgdipy.www.whu.com.    IN    A    82.189.44.185
rapgfbji.www.whu.com.    IN    A    47.20.249.241
jwokquid.www.whu.com.    IN    A    199.203.33.0
dhnraxuv.www.whu.com.    IN    A    198.23.173.30
cyfedsgw.www.whu.com.    IN    A    6.32.187.233
txikamlf.www.whu.com.    IN    A    59.24.80.109
gedpcjqw.www.whu.com.    IN    A    254.11.175.25
adilmxsk.www.whu.com.    IN    A    209.41.243.114
fidsjope.www.whu.com.    IN    A    111.40.83.113
qonhlegt.www.whu.com.    IN    A    163.194.91.70
wspdavhg.www.whu.com.    IN    A    43.9.255.82
gsrxebph.www.whu.com.    IN    A    127.55.171.119
thnabdxs.www.whu.com.    IN    A    107.127.174.85
ujrdkcxo.www.whu.com.    IN    A    180.255.206.241
ibrwlegc.www.whu.com.    IN    A    124.47.101.74
xpayenvf.www.whu.com.    IN    A    175.54.122.27
iortgvky.www.whu.com.    IN    A    247.179.175.32
qnxybaoe.www.whu.com.    IN    A    41.91.192.250
pbhudken.www.whu.com.    IN    A    10.222.142.194
eixfscdm.www.whu.com.    IN    A    30.58.157.229
cgvpaqjd.www.whu.com.    IN    A    98.141.149.145
mcokralg.www.whu.com.    IN    A    200.75.93.66
nyjlrcmf.www.whu.com.    IN    A    3.209.228.124
piaomjwy.www.whu.com.    IN    A    193.174.134.92
jrvhpifo.www.whu.com.    IN    A    104.148.221.48
klodrjpn.www.whu.com.    IN    A    62.107.213.230
ifruovle.www.whu.com.    IN    A    57.186.103.18
mykcqfis.www.whu.com.    IN    A    82.147.222.103
ltnusovi.www.whu.com.    IN    A    223.158.174.187
jeagxmkd.www.whu.com.    IN    A    56.49.5.18
qfagurvk.www.whu.com.    IN    A    118.170.151.20
evoqywrc.www.whu.com.    IN    A    59.216.106.131
havoisfg.www.whu.com.    IN    A    151.43.199.232
fovldcsm.www.whu.com.    IN    A    109.33.59.86
xsrlkhvc.www.whu.com.    IN    A    53.142.88.179
guvemaho.www.whu.com.    IN    A    81.147.129.203
bucpehnd.www.whu.com.    IN    A    220.226.65.99
brivkogc.www.whu.com.    IN    A    241.76.67.184
tlphfwok.www.whu.com.    IN    A    118.81.195.255
qigvklwe.www.whu.com.    IN    A    192.122.104.174
vmbtnqdi.www.whu.com.    IN    A    9.47.200.152
vyfwtsco.www.whu.com.    IN    A    174.107.166.131
tsbhrfku.www.whu.com.    IN    A    211.59.70.183
gyqoshbv.www.whu.com.    IN    A    145.166.247.131
sdywxfmt.www.whu.com.    IN    A    244.212.241.100
ladqgkbp.www.whu.com.    IN    A    129.128.193.191
ldcknsqy.www.whu.com.    IN    A    58.41.192.245
qmbycdrh.www.whu.com.    IN    A    184.237.26.112
ijrebugn.www.whu.com.    IN    A    176.21.22.12
mkqhecwp.www.whu.com.    IN    A    226.78.30.207
ktgisqny.www.whu.com.    IN    A    253.197.89.34
hsbxktfy.www.whu.com.    IN    A    165.200.13.235
ejmxcfdt.www.whu.com.    IN    A    239.159.225.67
vapshgyk.www.whu.com.    IN    A    27.79.179.56
vxqiptka.www.whu.com.    IN    A    161.234.6.24
skxuqvfj.www.whu.com.    IN    A    49.16.47.48
akemunbg.www.whu.com.    IN    A    146.86.76.238
nbgjtarw.www.whu.com.    IN    A    179.212.2.222
atiyrxuv.www.whu.com.    IN    A    203.207.86.183
sdcyrigm.www.whu.com.    IN    A    198.5.121.78
xscogdwu.www.whu.com.    IN    A    216.26.40.56
tlihjvsd.www.whu.com.    IN    A    140.183.133.207
pvsmktcy.www.whu.com.    IN    A    84.28.51.205
okmdyubw.www.whu.com.    IN    A    70.134.1.59
ltqfduhp.www.whu.com.    IN    A    54.35.58.197
vcsdlknb.www.whu.com.    IN    A    27.46.0.68
vhixplsb.www.whu.com.    IN    A    192.40.202.205
dvqrwtub.www.whu.com.    IN    A    252.219.87.253
audymtqs.www.whu.com.    IN    A    61.135.8.242
arbkpfhw.www.whu.com.    IN    A    58.39.6.35
swjivotr.www.whu.com.    IN    A    59.93.1.60
nykqlurv.www.whu.com.    IN    A    147.139.46.191
tfnwgbmo.www.whu.com.    IN    A    170.58.58.52
cnvmhysr.www.whu.com.    IN    A    99.224.212.165
vqjytxbu.www.whu.com.    IN    A    82.10.219.176
ublvwdor.www.whu.com.    IN    A    200.226.101.169
atqecxwi.www.whu.com.    IN    A    73.63.67.122
wosnugia.www.whu.com.    IN    A    142.249.114.34
bsrfpmid.www.whu.com.    IN    A    1.247.185.114
ibxaftjp.www.whu.com.    IN    A    230.125.209.79
ocswvhxk.www.whu.com.    IN    A    147.227.253.239
ftysonxc.www.whu.com.    IN    A    99.33.46.28
nbuhevws.www.whu.com.    IN    A    111.87.89.51
rhjsxavl.www.whu.com.    IN    A    53.137.110.162
wiqnkchm.www.whu.com.    IN    A    246.2.7.194
hwtfdgqx.www.whu.com.    IN    A    14.239.45.5
angrecis.www.whu.com.    IN    A    214.81.122.144
pfkbdsay.www.whu.com.    IN    A    194.113.224.147
jdxgmqhf.www.whu.com.    IN    A    77.229.124.253
cdtlqebx.www.whu.com.    IN    A    217.71.23.123
bpordeim.www.whu.com.    IN    A    149.156.38.8
xblhtnsp.www.whu.com.    IN    A    179.55.86.221
jcvufbns.www.whu.com.    IN    A    27.46.166.123
dsmvaryc.www.whu.com.    IN    A    58.39.16.136
phgrlaqu.www.whu.com.    IN    A    121.115.47.70
djwitbsm.www.whu.com.    IN    A    255.109.199.32
xyvnojat.www.whu.com.    IN    A    57.14.87.127
yansmfxl.www.whu.com.    IN    A    116.93.2.75
eyamnfxv.www.whu.com.    IN    A    118.157.116.105
iysmvwop.www.whu.com.    IN    A    167.31.16.224
xhlufost.www.whu.com.    IN    A    11.105.124.158
omqybeun.www.whu.com.    IN    A    80.4.199.91
kvmonwjg.www.whu.com.    IN    A    222.193.207.80
nyrhkvas.www.whu.com.    IN    A    38.172.191.24
grlqsojk.www.whu.com.    IN    A    6.87.91.124
npxjhgvq.www.whu.com.    IN    A    142.162.47.73
rydjpoam.www.whu.com.    IN    A    148.32.253.208
svoyhjnp.www.whu.com.    IN    A    213.92.237.192
hpauymdk.www.whu.com.    IN    A    176.232.75.55
qjthsocn.www.whu.com.    IN    A    211.144.30.201
dflrwnqb.www.whu.com.    IN    A    121.255.195.86
covbdufr.www.whu.com.    IN    A    191.99.16.33
ivljbefa.www.whu.com.    IN    A    201.252.34.179
keifplvu.www.whu.com.    IN    A    168.191.153.211
olvesqtk.www.whu.com.    IN    A    189.22.188.79
evjmpsdw.www.whu.com.    IN    A    247.205.112.241
dgbivhow.www.whu.com.    IN    A    163.10.208.129
niyaqvtl.www.whu.com.    IN    A    34.28.1.110
udkxvrni.www.whu.com.    IN    A    43.109.31.253
squkmjil.www.whu.com.    IN    A    173.166.182.83
jtebyxad.www.whu.com.    IN    A    243.119.29.105
krcfolqp.www.whu.com.    IN    A    77.180.73.49
vnrgqmxk.www.whu.com.    IN    A    235.224.41.227
koxcavql.www.whu.com.    IN    A    177.68.19.5
djaugvrn.www.whu.com.    IN    A    211.120.149.67
peyonrft.www.whu.com.    IN    A    93.137.219.30
mfquogxs.www.whu.com.    IN    A    60.184.228.105
bfrlkymi.www.whu.com.    IN    A    210.145.243.127
mcrgsxil.www.whu.com.    IN    A    72.90.186.233
obqkyhia.www.whu.com.    IN    A    25.41.1.77
asbuhycv.www.whu.com.    IN    A    207.123.229.165
rghfjqac.www.whu.com.    IN    A    250.6.237.186
yoebpvxf.www.whu.com.    IN    A    149.207.245.177
qrwflubc.www.whu.com.    IN    A    174.248.129.23
xlsivwaj.www.whu.com.    IN    A    152.162.178.199
jadxliyv.www.whu.com.    IN    A    15.213.43.168
kupeowlc.www.whu.com.    IN    A    216.241.250.66
qkftlvjh.www.whu.com.    IN    A    125.48.95.194
uxgwhmrd.www.whu.com.    IN    A    59.124.84.6
wksfqegc.www.whu.com.    IN    A    242.221.3.159
dmebutpq.www.whu.com.    IN    A    97.134.43.164
thcnlrvq.www.whu.com.    IN    A    50.56.93.91
mcpkosrx.www.whu.com.    IN    A    2.228.65.233
euokaryw.www.whu.com.    IN    A    190.49.139.84
vhabucwt.www.whu.com.    IN    A    39.206.234.184
wvcbsuqp.www.whu.com.    IN    A    46.218.106.154
bxpldeyt.www.whu.com.    IN    A    178.24.32.93
weybxalv.www.whu.com.    IN    A    194.47.108.231
drcoykix.www.whu.com.    IN    A    84.57.230.113
odprgxns.www.whu.com.    IN    A    10.30.20.198
qhabigvc.www.whu.com.    IN    A    164.5.154.23
bolydpkt.www.whu.com.    IN    A    22.199.206.204
dhsmlntf.www.whu.com.    IN    A    99.93.93.40
loshmkxd.www.whu.com.    IN    A    199.40.66.125
pjonexvt.www.whu.com.    IN    A    41.238.20.117
gjfpnvsb.www.whu.com.    IN    A    253.250.130.22
dmqheuni.www.whu.com.    IN    A    167.125.242.191
jfdwhagn.www.whu.com.    IN    A    185.149.239.108
wuhtynjr.www.whu.com.    IN    A    88.161.73.199
ilouhecv.www.whu.com.    IN    A    79.204.14.175
gonmljai.www.whu.com.    IN    A    24.210.173.63
qdaptclk.www.whu.com.    IN    A    107.134.186.5
puqjgwei.www.whu.com.    IN    A    120.166.179.225
sjnymthr.www.whu.com.    IN    A    10.123.112.14
cxvmntse.www.whu.com.    IN    A    197.145.140.28
dosfykpb.www.whu.com.    IN    A    133.187.157.118
pwrqobyl.www.whu.com.    IN    A    26.66.143.193
fuacwxgv.www.whu.com.    IN    A    39.245.93.87
nthyfxdw.www.whu.com.    IN    A    62.2.51.84
qiylvchp.www.whu.com.    IN    A    167.188.112.35
qshomeyg.www.whu.com.    IN    A    62.252.25.3
lyxoifbe.www.whu.com.    IN    A    158.241.225.146
swvrxfda.www.whu.com.    IN    A    120.119.42.133
wmayhisc.www.whu.com.    IN    A    124.95.82.163
yvsntuec.www.whu.com.    IN    A    83.181.128.125
vtdxaqck.www.whu.com.    IN    A    198.116.216.35
pnworykl.www.whu.com.    IN    A    219.165.148.107
chrokavb.www.whu.com.    IN    A    242.73.194.46
jkmbudxp.www.whu.com.    IN    A    60.142.155.162
qngihrso.www.whu.com.    IN    A    75.210.51.135
xjykuosw.www.whu.com.    IN    A    144.228.57.211
eqkfxylb.www.whu.com.    IN    A    145.4.148.123
xojrtkme.www.whu.com.    IN    A    141.71.54.48
ayiucdxf.www.whu.com.    IN    A    124.28.69.253
yuadmhfe.www.whu.com.    IN    A    141.80.69.14
ajsyuowh.www.whu.com.    IN    A    178.221.247.208
qgkvedrh.www.whu.com.    IN    A    64.150.45.57
porwfndy.www.whu.com.    IN    A    43.133.110.167
gbculxjm.www.whu.com.    IN    A    103.186.213.18
xlyigtkb.www.whu.com.    IN    A    244.17.25.127
xogemsnf.www.whu.com.    IN    A    67.232.202.196
vayhgkfj.www.whu.com.    IN    A    208.21.68.254
hqcakwfd.www.whu.com.    IN    A    166.72.177.152
robedusk.www.whu.com.    IN    A    22.79.224.82
lrbtwkho.www.whu.com.    IN    A    225.72.133.161
cshmuped.www.whu.com.    IN    A    87.63.135.132
qlwhtoxk.www.whu.com.    IN    A    234.130.55.137
fnaxpsrj.www.whu.com.    IN    A    10.194.157.149
rptamxij.www.whu.com.    IN    A    25.177.114.137
uhgpwqxe.www.whu.com.    IN    A    195.252.151.188
hirqofge.www.whu.com.    IN    A    11.59.217.213
awyhitbm.www.whu.com.    IN    A    140.232.39.86
mlcretxi.www.whu.com.    IN    A    67.102.76.42
ayxtijhm.www.whu.com.    IN    A    233.48.161.236
rshvwlxf.www.whu.com.    IN    A    148.199.183.204
ocdrpeys.www.whu.com.    IN    A    148.43.45.79
rulxtpky.www.whu.com.    IN    A    94.82.238.163
uwihsvag.www.whu.com.    IN    A    173.87.20.182
bkojexig.www.whu.com.    IN    A    162.163.113.24
kbjynesr.www.whu.com.    IN    A    229.149.197.200
jmeupcxv.www.whu.com.    IN    A    128.164.151.95
sxyqoiev.www.whu.com.    IN    A    3.36.61.208
ymfqtpiw.www.whu.com.    IN    A    212.201.79.125
msbnafgq.www.whu.com.    IN    A    80.163.246.81
qtogisdn.www.whu.com.    IN    A    57.195.34.23
uchbospq.www.whu.com.    IN    A    209.138.29.179
ydankgvm.www.whu.com.    IN    A    172.56.225.8
fgmwysbu.www.whu.com.    IN    A    56.185.21.223
irtylpfb.www.whu.com.    IN    A    88.39.93.171
tlpfbgam.www.whu.com.    IN    A    189.151.223.189
aesfhwmk.www.whu.com.    IN    A    92.5.211.214
lejkvwfg.www.whu.com.    IN    A    50.241.202.68
hsctumle.www.whu.com.    IN    A    204.178.11.173
gftmshvx.www.whu.com.    IN    A    223.219.58.2
ugnvxmyt.www.whu.com.    IN    A    56.24.208.124
ixohkjqb.www.whu.com.    IN    A    1.215.17.2
pthmgvxq.www.whu.com.    IN    A    91.60.48.169
ifhjukeb.www.whu.com.    IN    A    227.126.79.75
qsuliegw.www.whu.com.    IN    A    21.71.105.135
lmesjtow.www.whu.com.    IN    A    189.32.174.240
drxnqosp.www.whu.com.    IN    A    79.130.164.93
qltsebva.www.whu.com.    IN    A    34.77.16.203
gpinwbqs.www.whu.com.    IN    A    110.244.141.28
jevgbyst.www.whu.com.    IN    A    62.4.123.109
nrukaiex.www.whu.com.    IN    A    93.144.189.88
gmywetkv.www.whu.com.    IN    A    157.144.89.23
yscqugeo.www.whu.com.    IN    A    184.228.6.43
wiejnyvh.www.whu.com.    IN    A    113.142.80.63
svajpedb.www.whu.com.    IN    A    128.192.55.187
vqpdaoig.www.whu.com.    IN    A    164.46.171.200
korwdmpv.www.whu.com.    IN    A    227.38.36.56
cxaiumjd.www.whu.com.    IN    A    71.208.39.86
jdyfeosa.www.whu.com.    IN    A    7.165.71.189
ovfixhru.www.whu.com.    IN    A    192.194.72.184
xodhswtm.www.whu.com.    IN    A    239.247.165.164
huyjkbmg.www.whu.com.    IN    A    100.239.18.215
hylqncwb.www.whu.com.    IN    A    187.178.143.53
mftowahc.www.whu.com.    IN    A    157.150.27.227
rxcokmfp.www.whu.com.    IN    A    205.1.151.90
vtcnhpmu.www.whu.com.    IN    A    252.209.189.138
abotwnsg.www.whu.com.    IN    A    4.16.64.5
qodbisux.www.whu.com.    IN    A    53.183.33.62
enokxrjv.www.whu.com.    IN    A    91.84.130.23
ymrqxnik.www.whu.com.    IN    A    218.221.5.26
lgmshcbq.www.whu.com.    IN    A    124.20.19.101
gxdjntio.www.whu.com.    IN    A    11.140.218.196
asxvlftq.www.whu.com.    IN    A    72.9.179.112
clagxvrt.www.whu.com.    IN    A    83.50.129.56
cysxvqwt.www.whu.com.    IN    A    12.178.141.158
vdctmuiq.www.whu.com.    IN    A    249.245.43.88
ycwtxpmf.www.whu.com.    IN    A    195.93.182.23
shfyjoxw.www.whu.com.    IN    A    44.183.207.183
arxyqowv.www.whu.com.    IN    A    136.136.68.35
hwdvlyrb.www.whu.com.    IN    A    249.192.110.109
mnbvfpcx.www.whu.com.    IN    A    168.236.84.43
esangyxf.www.whu.com.    IN    A    114.34.147.152
qrsuendi.www.whu.com.    IN    A    154.213.186.242
kflvurni.www.whu.com.    IN    A    221.85.3.142
yovqwiue.www.whu.com.    IN    A    60.28.105.252
kxyvtosm.www.whu.com.    IN    A    45.254.230.98
qjkmtnwy.www.whu.com.    IN    A    248.181.14.62
pnvohsxq.www.whu.com.    IN    A    43.39.90.254
mhbkeqcl.www.whu.com.    IN    A    79.118.33.66
qolsnkri.www.whu.com.    IN    A    107.223.7.64
cjympwex.www.whu.com.    IN    A    252.249.49.151
lsgrjhwa.www.whu.com.    IN    A    75.255.134.16
iqkmavrc.www.whu.com.    IN    A    241.18.33.148
qkadslyb.www.whu.com.    IN    A    0.158.96.174
qmjouywn.www.whu.com.    IN    A    99.149.68.159
kcdphwom.www.whu.com.    IN    A    3.2.17.55
pecnmdru.www.whu.com.    IN    A    88.207.148.93
ojcpmqsh.www.whu.com.    IN    A    1.141.72.249
dlrefuwa.www.whu.com.    IN    A    67.162.96.132
njhwdfex.www.whu.com.    IN    A    99.92.126.88
srfabywt.www.whu.com.    IN    A    252.63.99.17
gfjorskc.www.whu.com.    IN    A    55.176.34.178
vfsteipx.www.whu.com.    IN    A    133.28.122.50
sldmopru.www.whu.com.    IN    A    39.117.70.76
scvehjga.www.whu.com.    IN    A    206.229.58.200
obauyrvs.www.whu.com.    IN    A    64.210.84.212
nbyvqifw.www.whu.com.    IN    A    30.37.156.25
jnwukise.www.whu.com.    IN    A    100.48.46.94
wixcbvah.www.whu.com.    IN    A    93.153.16.72
aykctold.www.whu.com.    IN    A    217.156.173.110
qmdbjhay.www.whu.com.    IN    A    182.111.38.80
lepjqgra.www.whu.com.    IN    A    103.35.196.49
jbvrmoks.www.whu.com.    IN    A    132.211.61.146
edqpoifx.www.whu.com.    IN    A    242.223.21.172
usdjpxaw.www.whu.com.    IN    A    46.216.249.55
dlghxkwr.www.whu.com.    IN    A    193.253.83.0
qulgpocw.www.whu.com.    IN    A    97.120.39.27
crhfsnuj.www.whu.com.    IN    A    207.72.78.32
svlgpckf.www.whu.com.    IN    A    255.188.150.112
ctvgjoep.www.whu.com.    IN    A    251.10.155.170
vtpefhiy.www.whu.com.    IN    A    18.158.107.192
weaolxmu.www.whu.com.    IN    A    90.252.201.192
dfgrxmju.www.whu.com.    IN    A    141.40.145.23
idmorcgl.www.whu.com.    IN    A    236.228.54.44
iqfurkxg.www.whu.com.    IN    A    93.232.8.63
ncfjstay.www.whu.com.    IN    A    153.155.54.165
svcqxlbd.www.whu.com.    IN    A    209.138.222.221
cbesmwyd.www.whu.com.    IN    A    50.48.165.231
bthkfsjn.www.whu.com.    IN    A    252.18.51.97
owautpmv.www.whu.com.    IN    A    73.133.0.192
qnabmkxl.www.whu.com.    IN    A    45.216.42.2
lmbhrjgu.www.whu.com.    IN    A    201.198.80.201
bndpthao.www.whu.com.    IN    A    0.73.171.142
nlfotdxv.www.whu.com.    IN    A    211.148.1.236
uydrtopw.www.whu.com.    IN    A    30.162.73.43
plewcgbr.www.whu.com.    IN    A    132.164.197.28
qschimgd.www.whu.com.    IN    A    163.113.115.131
bekcvdma.www.whu.com.    IN    A    128.53.158.107
keqsjudc.www.whu.com.    IN    A    29.71.165.151
tovbdcik.www.whu.com.    IN    A    204.83.120.247
cmvqwnjl.www.whu.com.    IN    A    173.252.103.132
ntrupmvd.www.whu.com.    IN    A    239.222.180.113
vhpucbtg.www.whu.com.    IN    A    92.195.139.159
cgmlpyso.www.whu.com.    IN    A    77.30.224.246
vmbahnic.www.whu.com.    IN    A    246.188.62.17
pwlfuiog.www.whu.com.    IN    A    7.71.142.122
bphceaqm.www.whu.com.    IN    A    234.76.232.152
xbsjyruk.www.whu.com.    IN    A    177.187.143.192
dpreimvg.www.whu.com.    IN    A    186.14.47.231
awthlbco.www.whu.com.    IN    A    205.254.6.117
swqtinhk.www.whu.com.    IN    A    191.202.24.175
hfmnjbep.www.whu.com.    IN    A    164.30.233.255
jawxkmrn.www.whu.com.    IN    A    197.160.164.148
lpxuscmj.www.whu.com.    IN    A    65.152.132.105
cgrvabyq.www.whu.com.    IN    A    235.207.107.101
grnambsw.www.whu.com.    IN    A    5.166.25.92
ijrbsylq.www.whu.com.    IN    A    3.182.99.244
jpgurvei.www.whu.com.    IN    A    22.225.84.170
kdgopnrc.www.whu.com.    IN    A    127.212.215.116
xsqekvgf.www.whu.com.    IN    A    6.175.253.191
odmnvxte.www.whu.com.    IN    A    159.99.95.209
jenbkoxr.www.whu.com.    IN    A    181.32.111.28
evmugjwb.www.whu.com.    IN    A    215.226.75.60
xtpsvdke.www.whu.com.    IN    A    98.119.231.6
hvmcyoxq.www.whu.com.    IN    A    231.214.220.14
oycdjmwk.www.whu.com.    IN    A    87.84.156.126
gtieqrxj.www.whu.com.    IN    A    86.85.112.53
iywlahup.www.whu.com.    IN    A    86.152.174.1
mtpkbiqg.www.whu.com.    IN    A    211.207.227.1
nfdjplrw.www.whu.com.    IN    A    199.97.45.190
