; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR xmu.com. @ns2.xmu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
xmu.com.			      14400 IN NS	ns1.xmu.com.
ns1.xmu.com.			      14400 IN A	10.166.21.12

www.xmu.com.		      14400 IN NS	ns1.www.xmu.com.
ns1.www.xmu.com.		      14400 IN A		10.166.21.13

informatics.xmu.com.		      14400 IN NS	ns1.informatics.xmu.com.
ns1.informatics.xmu.com.		      14400 IN A		10.166.21.14

sm.xmu.com.		      14400 IN NS	ns1.sm.xmu.com.
ns1.sm.xmu.com.		      14400 IN A		10.166.21.15

xmu.com.			      14400 IN MX	10 smtp.xmu.edu.
xmu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
lfakbxgj.xmu.com.        IN    A    137.59.173.227
wvjlhixn.xmu.com.        IN    A    25.237.127.58
ytvqobhi.xmu.com.        IN    A    124.142.254.136
hyvdqtbw.xmu.com.        IN    A    200.155.179.229
gxonrybv.xmu.com.        IN    A    201.220.180.170
hxjwuvys.xmu.com.        IN    A    191.197.95.36
sjhemqtl.xmu.com.        IN    A    135.223.163.167
kpfxbevy.xmu.com.        IN    A    231.140.198.255
lswnbfgv.xmu.com.        IN    A    30.96.36.251
acrhxwdb.xmu.com.        IN    A    182.204.93.56
spalbojf.xmu.com.        IN    A    29.194.82.50
ntjpsryw.xmu.com.        IN    A    3.75.156.44
yagnmetj.xmu.com.        IN    A    155.137.31.9
ewmxqrgb.xmu.com.        IN    A    208.120.26.152
ldxewajr.xmu.com.        IN    A    136.75.63.250
wnalciyo.xmu.com.        IN    A    12.60.50.170
pcymrgal.xmu.com.        IN    A    88.114.182.3
rskagqew.xmu.com.        IN    A    169.239.20.160
cnguplve.xmu.com.        IN    A    68.118.101.36
kitbglef.xmu.com.        IN    A    37.4.222.42
fmecrkuh.xmu.com.        IN    A    188.88.85.189
qsiutoah.xmu.com.        IN    A    97.138.230.119
htwgrods.xmu.com.        IN    A    84.81.183.176
iqlpdjyo.xmu.com.        IN    A    139.27.164.160
klnyxotm.xmu.com.        IN    A    246.122.191.154
ufvnqspb.xmu.com.        IN    A    92.56.188.68
thsuwdny.xmu.com.        IN    A    147.104.73.30
kmgntcvy.xmu.com.        IN    A    12.226.110.166
xpfjkewl.xmu.com.        IN    A    58.241.66.217
pwnvcoyh.xmu.com.        IN    A    137.43.94.5
rnhdtmpu.xmu.com.        IN    A    255.152.74.146
gtbfqrem.xmu.com.        IN    A    110.107.252.59
yvjdaink.xmu.com.        IN    A    136.230.204.153
vcnluisx.xmu.com.        IN    A    226.44.41.252
apomcxfw.xmu.com.        IN    A    140.211.206.67
jcpsdqhn.xmu.com.        IN    A    176.41.173.64
qnecdxim.xmu.com.        IN    A    237.15.201.86
cnyolskw.xmu.com.        IN    A    149.238.221.205
frswuvye.xmu.com.        IN    A    181.167.45.68
akjensbi.xmu.com.        IN    A    31.27.150.221
jmhyxrcs.xmu.com.        IN    A    185.88.78.32
qpkgnosv.xmu.com.        IN    A    14.162.193.246
lhbksrja.xmu.com.        IN    A    134.248.99.51
gxfkaoqe.xmu.com.        IN    A    180.129.236.3
tpjymrwf.xmu.com.        IN    A    250.220.108.80
wihvdnml.xmu.com.        IN    A    73.71.50.253
kfibpjcv.xmu.com.        IN    A    212.215.96.203
kqopxnye.xmu.com.        IN    A    57.47.196.181
dnqtmbvj.xmu.com.        IN    A    143.130.3.167
gycwksra.xmu.com.        IN    A    89.207.15.26
ghsoxaru.xmu.com.        IN    A    200.47.164.29
tximavlr.xmu.com.        IN    A    108.195.82.16
dbxthcke.xmu.com.        IN    A    56.97.170.179
xqvacewb.xmu.com.        IN    A    36.252.255.35
ufcpobnr.xmu.com.        IN    A    46.231.72.61
qhklpxjy.xmu.com.        IN    A    246.117.92.129
guxmpwdo.xmu.com.        IN    A    139.44.210.139
xewfchir.xmu.com.        IN    A    200.195.200.10
nkbodutp.xmu.com.        IN    A    21.221.196.216
ubkenalw.xmu.com.        IN    A    134.56.243.3
rxnpewad.xmu.com.        IN    A    69.208.196.17
dicjtmrx.xmu.com.        IN    A    233.142.84.148
ujvacyko.xmu.com.        IN    A    46.165.248.70
unghlvdr.xmu.com.        IN    A    25.93.15.110
vyaeotjq.xmu.com.        IN    A    134.181.166.218
qrxyejul.xmu.com.        IN    A    25.126.173.217
lvkspuxq.xmu.com.        IN    A    239.54.128.252
jxywtqok.xmu.com.        IN    A    134.2.127.17
dxrlcwho.xmu.com.        IN    A    12.132.97.227
tvrxcmiq.xmu.com.        IN    A    200.244.247.196
tfnpreyi.xmu.com.        IN    A    100.222.13.240
nwuempvy.xmu.com.        IN    A    13.85.123.60
phflcxwv.xmu.com.        IN    A    242.108.176.74
ugebifws.xmu.com.        IN    A    182.226.142.213
evoflsky.xmu.com.        IN    A    187.187.67.150
worjkuni.xmu.com.        IN    A    56.206.162.157
pefmbqoh.xmu.com.        IN    A    31.223.213.140
vpqlrixk.xmu.com.        IN    A    175.224.66.169
oswutdie.xmu.com.        IN    A    79.148.33.200
uvyiljwk.xmu.com.        IN    A    213.54.234.70
seclqgkf.xmu.com.        IN    A    237.139.196.186
xtvipcra.xmu.com.        IN    A    28.71.139.133
kmxofapt.xmu.com.        IN    A    119.185.35.160
xpafuoct.xmu.com.        IN    A    247.10.104.243
ejmolxhr.xmu.com.        IN    A    142.31.72.50
njqlbeua.xmu.com.        IN    A    32.17.238.252
dbnviutj.xmu.com.        IN    A    104.124.96.136
lhagiboj.xmu.com.        IN    A    1.231.64.3
ghfbsjxy.xmu.com.        IN    A    150.58.107.18
ygraboxq.xmu.com.        IN    A    38.214.76.213
xswiohva.xmu.com.        IN    A    95.141.135.110
tjipmwau.xmu.com.        IN    A    18.35.227.253
iupnsbef.xmu.com.        IN    A    207.191.248.215
mpejkosh.xmu.com.        IN    A    252.5.59.191
ughforcx.xmu.com.        IN    A    195.217.143.215
sghuxwlo.xmu.com.        IN    A    57.187.158.67
ibsgayhe.xmu.com.        IN    A    89.6.15.232
vsutyfre.xmu.com.        IN    A    196.110.132.175
dvalfemc.xmu.com.        IN    A    148.83.114.82
kpdclgeh.xmu.com.        IN    A    156.221.236.1
plsqwmjr.xmu.com.        IN    A    52.73.26.50
oxfeljpd.xmu.com.        IN    A    192.214.225.45
ktyuvlja.xmu.com.        IN    A    78.143.128.46
ucfmoeqt.xmu.com.        IN    A    63.151.202.182
dibhxgqs.xmu.com.        IN    A    71.33.65.231
smtgblxn.xmu.com.        IN    A    234.237.176.249
nbvlhipo.xmu.com.        IN    A    87.118.112.105
ambhcfjw.xmu.com.        IN    A    121.162.13.230
clvmndws.xmu.com.        IN    A    37.180.231.60
embpharj.xmu.com.        IN    A    250.214.161.164
wuaijfle.xmu.com.        IN    A    128.82.225.141
ehylnksg.xmu.com.        IN    A    32.181.120.68
clujmowr.xmu.com.        IN    A    148.87.157.41
wqvfblid.xmu.com.        IN    A    227.160.91.50
slhknvqd.xmu.com.        IN    A    117.159.155.176
cfxushld.xmu.com.        IN    A    123.220.32.32
cpdstwhk.xmu.com.        IN    A    238.107.39.217
lgqfohdx.xmu.com.        IN    A    100.194.96.106
wfasdqor.xmu.com.        IN    A    57.246.14.240
nofhlmxi.xmu.com.        IN    A    81.184.109.230
woxjagcq.xmu.com.        IN    A    187.176.169.75
udjpglcs.xmu.com.        IN    A    118.40.236.142
bohavxur.xmu.com.        IN    A    111.119.224.211
nfhaobdp.xmu.com.        IN    A    228.113.165.19
aibdglyq.xmu.com.        IN    A    190.253.66.53
thcbekli.xmu.com.        IN    A    152.86.213.193
grodahjv.xmu.com.        IN    A    11.247.241.198
jxwpybms.xmu.com.        IN    A    66.242.32.76
fvbixdak.xmu.com.        IN    A    27.128.129.14
bkvdeqfu.xmu.com.        IN    A    4.54.125.50
ihyanoed.xmu.com.        IN    A    128.99.106.232
ohjxmqrk.xmu.com.        IN    A    139.230.50.253
vchwlfxq.xmu.com.        IN    A    3.143.46.196
bsdpvqgn.xmu.com.        IN    A    196.157.15.140
dnopqfba.xmu.com.        IN    A    252.101.144.253
jimnrksf.xmu.com.        IN    A    219.17.93.124
oanslbec.xmu.com.        IN    A    99.3.247.45
uotdvqrh.xmu.com.        IN    A    117.109.123.30
dsnrkuix.xmu.com.        IN    A    211.87.74.29
ybavhxqw.xmu.com.        IN    A    83.214.92.72
gkvhcqno.xmu.com.        IN    A    60.37.247.15
wflhbsod.xmu.com.        IN    A    195.113.25.23
gktahsmj.xmu.com.        IN    A    77.42.208.88
rmikolcs.xmu.com.        IN    A    223.180.52.152
akedfplw.xmu.com.        IN    A    170.73.95.24
knltidsm.xmu.com.        IN    A    217.220.72.246
dgfynruv.xmu.com.        IN    A    22.50.37.127
nyhrlwod.xmu.com.        IN    A    132.156.124.241
mafydxbt.xmu.com.        IN    A    234.239.186.110
ftdycsur.xmu.com.        IN    A    226.108.81.144
fbvolmhx.xmu.com.        IN    A    61.88.164.204
pquaclkn.xmu.com.        IN    A    66.84.102.169
jhbtmwvu.xmu.com.        IN    A    70.174.223.72
kudrates.xmu.com.        IN    A    135.138.238.167
uafbxpkl.xmu.com.        IN    A    78.61.123.60
rnydweob.xmu.com.        IN    A    50.146.210.196
ahsvgmfd.xmu.com.        IN    A    70.41.239.65
xwfsmlyb.xmu.com.        IN    A    92.168.126.82
qvsrcwgb.xmu.com.        IN    A    52.177.80.240
sdvxlrby.xmu.com.        IN    A    178.130.193.142
ojxcvdky.xmu.com.        IN    A    125.27.62.242
ibfyuaqk.xmu.com.        IN    A    220.66.192.254
acfkyhrp.xmu.com.        IN    A    171.165.239.177
uviroymf.xmu.com.        IN    A    22.173.159.214
wgtyxoij.xmu.com.        IN    A    232.210.197.245
kiabjmeq.xmu.com.        IN    A    114.21.46.0
raxyhinu.xmu.com.        IN    A    119.91.37.103
qyenkmbp.xmu.com.        IN    A    111.25.66.167
pqxgcdiu.xmu.com.        IN    A    99.164.249.2
dyoawvhr.xmu.com.        IN    A    57.205.26.252
mjvbdgxf.xmu.com.        IN    A    172.109.143.70
imasedqn.xmu.com.        IN    A    241.223.224.16
scqwnbya.xmu.com.        IN    A    151.68.132.15
pckuersv.xmu.com.        IN    A    207.247.155.108
gvctnrmj.xmu.com.        IN    A    62.219.129.58
exolwqnt.xmu.com.        IN    A    116.205.111.9
xhkqbspf.xmu.com.        IN    A    39.156.135.110
yrfbvapg.xmu.com.        IN    A    79.2.137.188
pwayghsf.xmu.com.        IN    A    93.167.36.24
ajxhrpvs.xmu.com.        IN    A    81.131.197.49
cutrlpov.xmu.com.        IN    A    7.114.159.3
nuhqiojs.xmu.com.        IN    A    52.137.54.188
dfkrwqoa.xmu.com.        IN    A    202.39.93.53
rpejidcu.xmu.com.        IN    A    163.201.152.36
entfuhxq.xmu.com.        IN    A    71.140.60.130
gaofikpx.xmu.com.        IN    A    209.87.62.108
jmguypbc.xmu.com.        IN    A    4.197.195.156
xqwayiup.xmu.com.        IN    A    253.108.21.27
upgfjvnc.xmu.com.        IN    A    165.2.171.64
wobqxnfg.xmu.com.        IN    A    106.74.38.240
futjvlsw.xmu.com.        IN    A    168.52.4.228
nhtqpovk.xmu.com.        IN    A    4.221.145.139
qdusyxjr.xmu.com.        IN    A    107.45.203.8
nhdcfbga.xmu.com.        IN    A    47.186.242.177
uimctfds.xmu.com.        IN    A    56.112.122.221
mvbcioxl.xmu.com.        IN    A    176.191.77.176
nmxjstup.xmu.com.        IN    A    238.73.214.109
cwvnpfou.xmu.com.        IN    A    247.111.60.87
kpstgoew.xmu.com.        IN    A    8.157.77.188
ucbjkqgo.xmu.com.        IN    A    122.151.109.79
cxvqdnlk.xmu.com.        IN    A    246.29.147.212
rjabmngd.xmu.com.        IN    A    170.165.85.155
oeisqpub.xmu.com.        IN    A    59.153.220.110
jnykvati.xmu.com.        IN    A    204.9.27.120
mxfokupn.xmu.com.        IN    A    201.57.106.58
kgyrpxjt.xmu.com.        IN    A    247.183.156.178
jaivyemh.xmu.com.        IN    A    164.44.217.132
wtfbeuxv.xmu.com.        IN    A    27.132.254.63
jhsarvpf.xmu.com.        IN    A    220.112.236.217
fjobctna.xmu.com.        IN    A    21.46.146.12
tvjsnmox.xmu.com.        IN    A    183.229.81.38
eadqkvjx.xmu.com.        IN    A    69.11.127.70
veknsdtu.xmu.com.        IN    A    46.224.209.221
gcprakhd.xmu.com.        IN    A    42.5.252.9
kfpwjhcu.xmu.com.        IN    A    189.90.96.118
roqvfgxu.xmu.com.        IN    A    243.60.243.204
vjrmgani.xmu.com.        IN    A    156.8.151.13
bjdcilps.xmu.com.        IN    A    176.175.117.75
cxntpamr.xmu.com.        IN    A    150.158.137.165
rugwyfco.xmu.com.        IN    A    69.37.139.159
obsiamxf.xmu.com.        IN    A    43.22.211.184
trmykech.xmu.com.        IN    A    137.41.84.229
ygiwajln.xmu.com.        IN    A    177.220.8.167
fbnymctr.xmu.com.        IN    A    28.97.66.207
twerbdkv.xmu.com.        IN    A    66.67.225.251
qgfmtaop.xmu.com.        IN    A    132.141.41.143
rfclkivm.xmu.com.        IN    A    185.32.207.224
nesdtmuk.xmu.com.        IN    A    153.1.223.21
qvdfpurk.xmu.com.        IN    A    162.51.193.209
kfbjvspd.xmu.com.        IN    A    213.194.119.117
jvgxfoua.xmu.com.        IN    A    57.72.150.47
eahvwrdp.xmu.com.        IN    A    78.142.219.235
kmiegvna.xmu.com.        IN    A    136.89.162.21
yprnmjhs.xmu.com.        IN    A    239.78.123.241
rauyvscf.xmu.com.        IN    A    57.110.146.129
kewotybc.xmu.com.        IN    A    97.16.204.115
thgrvjmk.xmu.com.        IN    A    18.80.181.164
fguwqlvr.xmu.com.        IN    A    237.176.40.222
thwfbkvl.xmu.com.        IN    A    236.192.179.220
xrtjvcqk.xmu.com.        IN    A    86.239.173.163
gqhfewuv.xmu.com.        IN    A    26.137.89.168
xteqpisc.xmu.com.        IN    A    139.162.167.179
cegtyowq.xmu.com.        IN    A    143.208.197.95
ugdcklir.xmu.com.        IN    A    61.201.216.115
fveqjwro.xmu.com.        IN    A    173.165.125.17
qbsgldkw.xmu.com.        IN    A    194.182.227.30
sxkqhopl.xmu.com.        IN    A    42.120.23.196
puqvjwhk.xmu.com.        IN    A    235.230.110.178
tcuagwkh.xmu.com.        IN    A    113.200.118.140
ioxtdqyr.xmu.com.        IN    A    191.243.157.171
lhrnswjx.xmu.com.        IN    A    198.155.88.38
jdcoshlk.xmu.com.        IN    A    25.145.185.217
ydrmfkhu.xmu.com.        IN    A    79.51.39.210
mnaqydjb.xmu.com.        IN    A    39.215.62.120
afshbqir.xmu.com.        IN    A    203.106.19.146
shmcinxo.xmu.com.        IN    A    126.129.57.215
ykdrghnq.xmu.com.        IN    A    153.37.93.48
vpdnfwqm.xmu.com.        IN    A    24.51.186.175
hubwkavr.xmu.com.        IN    A    247.47.239.59
sjbuflvr.xmu.com.        IN    A    77.201.103.198
jrbdwasm.xmu.com.        IN    A    223.231.245.77
rqtckevu.xmu.com.        IN    A    13.77.44.196
ypogrxve.xmu.com.        IN    A    59.222.186.102
shjywfgd.xmu.com.        IN    A    76.118.178.173
qvfkwynd.xmu.com.        IN    A    66.237.155.172
aymsdxgv.xmu.com.        IN    A    255.231.221.123
uvemfonr.xmu.com.        IN    A    21.48.93.117
qhndtbma.xmu.com.        IN    A    150.155.106.254
edrmyjup.xmu.com.        IN    A    182.181.150.177
kvjgmyis.xmu.com.        IN    A    23.81.77.247
koqihlay.xmu.com.        IN    A    110.100.148.147
dotqjxpy.xmu.com.        IN    A    11.177.139.95
jokmcext.xmu.com.        IN    A    228.164.122.3
bnjgyoma.xmu.com.        IN    A    237.205.234.81
fmgxived.xmu.com.        IN    A    148.0.200.207
jbslkxtw.xmu.com.        IN    A    132.56.169.7
gisetfum.xmu.com.        IN    A    69.9.35.26
lnchvogy.xmu.com.        IN    A    207.235.231.109
tehvrxql.xmu.com.        IN    A    246.79.7.163
faqishkn.xmu.com.        IN    A    126.26.11.225
wgkeophr.xmu.com.        IN    A    136.167.115.209
ckybhgeu.xmu.com.        IN    A    142.46.229.158
lrukixfa.xmu.com.        IN    A    162.96.156.132
opnuwcei.xmu.com.        IN    A    195.200.117.212
dlrkgbcm.xmu.com.        IN    A    195.106.146.210
vgfwbymt.xmu.com.        IN    A    85.120.236.58
usgalcib.xmu.com.        IN    A    217.80.166.111
ymobgtdp.xmu.com.        IN    A    186.240.248.101
wrsamqit.xmu.com.        IN    A    91.189.111.159
mpwlqvdk.xmu.com.        IN    A    81.100.216.122
ucqiraep.xmu.com.        IN    A    111.228.123.17
ickybgts.xmu.com.        IN    A    106.105.77.49
jnhogrya.xmu.com.        IN    A    222.148.44.44
stkmyqwj.xmu.com.        IN    A    116.46.93.244
paigolsj.xmu.com.        IN    A    150.160.201.2
hgjstfav.xmu.com.        IN    A    236.135.84.36
xsethakg.xmu.com.        IN    A    212.132.63.155
inocfmlg.xmu.com.        IN    A    68.37.112.109
owcnhvxm.xmu.com.        IN    A    170.3.208.3
wsqgxhvj.xmu.com.        IN    A    16.142.221.78
qryfkdml.xmu.com.        IN    A    254.199.11.176
yrdjnkuq.xmu.com.        IN    A    238.189.104.235
cumaybtp.xmu.com.        IN    A    227.71.153.209
lpngouwh.xmu.com.        IN    A    124.181.191.159
daywtqlu.xmu.com.        IN    A    207.118.103.163
enioarwp.xmu.com.        IN    A    40.234.48.187
tqauxiol.xmu.com.        IN    A    3.181.203.43
muiotkdr.xmu.com.        IN    A    173.93.110.194
exyruolt.xmu.com.        IN    A    124.103.183.85
myqowntf.xmu.com.        IN    A    222.13.48.158
vkxmoifg.xmu.com.        IN    A    31.161.3.195
gcspdxfo.xmu.com.        IN    A    179.246.254.241
hesxqufr.xmu.com.        IN    A    61.47.152.14
oihlqurn.xmu.com.        IN    A    115.239.103.249
lmkejnro.xmu.com.        IN    A    221.209.82.190
mkdsyijf.xmu.com.        IN    A    49.55.254.178
rqnfvxte.xmu.com.        IN    A    111.148.127.93
lkpoghuw.xmu.com.        IN    A    72.12.182.186
jokyrsfe.xmu.com.        IN    A    2.66.180.53
citqpboj.xmu.com.        IN    A    174.135.31.149
uhoqtvdl.xmu.com.        IN    A    157.139.83.86
khscjobv.xmu.com.        IN    A    100.247.118.202
edahpglu.xmu.com.        IN    A    179.245.16.139
qhvdplto.xmu.com.        IN    A    105.44.109.53
cekquxlg.xmu.com.        IN    A    197.13.202.226
drgbmsaj.xmu.com.        IN    A    138.69.176.198
liwofpvb.xmu.com.        IN    A    253.65.13.186
rwsuejlc.xmu.com.        IN    A    209.181.226.20
sjrulvcd.xmu.com.        IN    A    39.9.59.192
fiokentv.xmu.com.        IN    A    83.172.120.239
nyjrsomd.xmu.com.        IN    A    48.24.32.56
itlbdjmk.xmu.com.        IN    A    236.141.119.72
yormqsvt.xmu.com.        IN    A    160.32.144.242
lqofpcsg.xmu.com.        IN    A    185.134.1.15
cyjsvedm.xmu.com.        IN    A    3.34.208.182
lhjbqdcg.xmu.com.        IN    A    116.30.40.69
xjkgsmey.xmu.com.        IN    A    184.209.142.183
hlrokvgy.xmu.com.        IN    A    171.116.31.53
npkydcvf.xmu.com.        IN    A    88.254.19.174
skvqyafm.xmu.com.        IN    A    218.75.234.249
dluvxfhj.xmu.com.        IN    A    28.198.233.245
xhbqijam.xmu.com.        IN    A    128.98.26.185
mtdoaqns.xmu.com.        IN    A    57.53.41.46
gtxfnojq.xmu.com.        IN    A    206.254.44.2
dptgfakj.xmu.com.        IN    A    246.177.140.158
xsvmjkpl.xmu.com.        IN    A    215.88.74.208
peblcxms.xmu.com.        IN    A    136.196.111.64
kjyuswer.xmu.com.        IN    A    105.133.219.136
xitouahk.xmu.com.        IN    A    194.51.10.76
hjirwgmn.xmu.com.        IN    A    143.86.225.211
owkvijex.xmu.com.        IN    A    140.105.107.162
clsxvryd.xmu.com.        IN    A    158.131.173.30
jcvmheoq.xmu.com.        IN    A    243.123.95.17
mjiqukfa.xmu.com.        IN    A    111.128.154.178
kwicfhqn.xmu.com.        IN    A    141.19.163.147
dweyprgn.xmu.com.        IN    A    36.85.224.23
rvpontml.xmu.com.        IN    A    237.151.11.80
elfmjitd.xmu.com.        IN    A    29.81.176.83
edyksgtv.xmu.com.        IN    A    111.85.51.96
sfkqjpoi.xmu.com.        IN    A    63.72.102.136
cbegmxir.xmu.com.        IN    A    242.135.61.237
lguckxqw.xmu.com.        IN    A    146.169.118.40
fxedrpmn.xmu.com.        IN    A    233.187.109.204
fpkadieu.xmu.com.        IN    A    160.5.67.52
umdwexrb.xmu.com.        IN    A    11.67.12.107
bshxvtgm.xmu.com.        IN    A    12.203.215.39
iwhvyqox.xmu.com.        IN    A    45.246.51.250
glmcrdph.xmu.com.        IN    A    78.89.90.231
qarkmxwv.xmu.com.        IN    A    188.32.25.247
auwmtehv.xmu.com.        IN    A    154.63.78.226
sjkeaoqn.xmu.com.        IN    A    96.102.11.180
bechvyan.xmu.com.        IN    A    78.234.10.112
obadtlpj.xmu.com.        IN    A    195.242.141.79
irmdxyeb.xmu.com.        IN    A    32.12.51.195
lpekogch.xmu.com.        IN    A    27.249.141.227
alprbvod.xmu.com.        IN    A    152.164.205.255
grlciuhk.xmu.com.        IN    A    223.171.115.149
xbgyvshd.xmu.com.        IN    A    31.72.31.250
myrbfuew.xmu.com.        IN    A    231.10.95.153
dpweixny.xmu.com.        IN    A    7.206.239.236
mfqtsvjx.xmu.com.        IN    A    98.156.137.126
uhwyocaj.xmu.com.        IN    A    4.222.190.88
yvbfpsgm.xmu.com.        IN    A    185.75.41.70
sngcaump.xmu.com.        IN    A    155.117.14.189
bfteimyr.xmu.com.        IN    A    172.222.127.143
pdtsvwfa.xmu.com.        IN    A    186.136.44.12
fkjnagut.xmu.com.        IN    A    112.105.245.154
gbaqflxw.xmu.com.        IN    A    149.248.46.78
oebkcygp.xmu.com.        IN    A    170.125.144.35
yvacjlgd.xmu.com.        IN    A    108.4.154.177
ijlyavdr.xmu.com.        IN    A    14.191.250.202
xouwpyih.xmu.com.        IN    A    65.153.142.95
etndcojh.xmu.com.        IN    A    240.110.3.89
fikrtjpy.xmu.com.        IN    A    237.210.254.37
jogvumsq.xmu.com.        IN    A    57.49.101.148
opunqask.xmu.com.        IN    A    4.88.69.219
sbrjkynt.xmu.com.        IN    A    28.222.217.187
anjfodbs.xmu.com.        IN    A    158.134.26.229
unekxmtf.xmu.com.        IN    A    233.195.173.111
gcjwixbo.xmu.com.        IN    A    29.49.215.132
xufbiqra.xmu.com.        IN    A    87.66.153.212
gqbdhkjw.xmu.com.        IN    A    126.117.155.208
najkdyob.xmu.com.        IN    A    110.145.237.164
qwxrvcti.xmu.com.        IN    A    9.163.230.123
qvyjtsar.xmu.com.        IN    A    103.51.178.206
gxsbfprt.xmu.com.        IN    A    51.160.115.62
xkpafjth.xmu.com.        IN    A    40.209.226.246
jumvrkgf.xmu.com.        IN    A    41.163.69.100
rgxdcqly.xmu.com.        IN    A    141.10.104.53
hxykjovu.xmu.com.        IN    A    81.95.115.47
kjfxhiml.xmu.com.        IN    A    20.136.63.48
bqcuneoa.xmu.com.        IN    A    173.145.40.68
svpeinym.xmu.com.        IN    A    239.49.66.229
kimtaduw.xmu.com.        IN    A    139.160.213.67
mcobnvge.xmu.com.        IN    A    170.120.76.145
bfilyuoq.xmu.com.        IN    A    37.246.58.197
sgpcbtew.xmu.com.        IN    A    153.227.240.245
jbcinyxv.xmu.com.        IN    A    194.240.102.116
taqejowv.xmu.com.        IN    A    7.200.251.224
pglxyvem.xmu.com.        IN    A    179.227.73.241
cwhetxfn.xmu.com.        IN    A    220.22.194.59
vcwxnjuh.xmu.com.        IN    A    31.64.35.5
hqrotlpu.xmu.com.        IN    A    156.189.17.178
xhfscquj.xmu.com.        IN    A    16.28.214.169
cghwknqs.xmu.com.        IN    A    152.196.15.49
shgfqber.xmu.com.        IN    A    7.215.90.29
vbgahlot.xmu.com.        IN    A    14.226.224.165
qgewjtkl.xmu.com.        IN    A    14.207.198.217
clvaurix.xmu.com.        IN    A    155.151.211.77
imjtuxsv.xmu.com.        IN    A    149.13.79.107
cxepitou.xmu.com.        IN    A    170.148.248.78
koljftdb.xmu.com.        IN    A    44.164.168.137
ybjhlvsi.xmu.com.        IN    A    202.122.78.86
qglhjafc.xmu.com.        IN    A    247.73.47.36
walqhkxe.xmu.com.        IN    A    102.78.194.78
mdpkxehl.xmu.com.        IN    A    231.128.111.98
hasgeufn.xmu.com.        IN    A    151.191.147.245
ixbqlcuo.xmu.com.        IN    A    33.60.102.190
pbroudgi.xmu.com.        IN    A    212.1.209.142
cgkbieqy.xmu.com.        IN    A    232.4.196.126
ampqefvl.xmu.com.        IN    A    77.230.138.124
upojifyw.xmu.com.        IN    A    130.53.117.158
rmejnpsb.xmu.com.        IN    A    51.31.6.177
icpytumr.xmu.com.        IN    A    60.159.105.208
etxkrvsb.xmu.com.        IN    A    70.251.169.103
wbdvjseg.xmu.com.        IN    A    109.55.96.54
parngkif.xmu.com.        IN    A    9.41.102.5
vsxiadbm.xmu.com.        IN    A    112.182.134.111
exrbfjdw.xmu.com.        IN    A    104.177.76.114
rmfedaht.xmu.com.        IN    A    33.227.158.54
liyswdhk.xmu.com.        IN    A    179.1.226.133
ndfkhumi.xmu.com.        IN    A    121.243.121.10
hbmenvrc.xmu.com.        IN    A    251.43.21.156
malfdixo.xmu.com.        IN    A    253.212.166.144
irbkhdwe.xmu.com.        IN    A    185.134.57.114
jkixwpat.xmu.com.        IN    A    44.215.217.226
emspdoqn.xmu.com.        IN    A    244.146.184.245
pdwvoags.xmu.com.        IN    A    63.32.8.176
nymdpueg.xmu.com.        IN    A    226.187.181.22
bcilyued.xmu.com.        IN    A    172.150.197.197
woxnkdlr.xmu.com.        IN    A    146.70.55.130
pfsjdayn.xmu.com.        IN    A    233.12.118.49
nvhljfym.xmu.com.        IN    A    198.92.123.159
jahqyltb.xmu.com.        IN    A    10.102.103.7
hqgdaytk.xmu.com.        IN    A    7.6.151.24
iqegvrfu.xmu.com.        IN    A    22.207.114.245
owiylmhu.xmu.com.        IN    A    58.21.134.0
dboxqhtl.xmu.com.        IN    A    208.156.79.203
gmryoeni.xmu.com.        IN    A    246.255.182.210
mkxliurq.xmu.com.        IN    A    22.171.76.71
lforebvx.xmu.com.        IN    A    23.5.194.225
joderyag.xmu.com.        IN    A    88.100.243.119
snribxde.xmu.com.        IN    A    11.6.217.135
wegcdnhi.xmu.com.        IN    A    172.93.49.69
mvtfekpo.xmu.com.        IN    A    15.212.227.150
foxgwbts.xmu.com.        IN    A    17.137.82.210
pxijwcay.xmu.com.        IN    A    52.71.219.248
bhyedkvp.xmu.com.        IN    A    8.204.217.140
hpivkand.xmu.com.        IN    A    229.44.51.101
hflesjya.xmu.com.        IN    A    230.157.191.67
nsgrtcay.xmu.com.        IN    A    246.85.138.68
yjsmpaxf.xmu.com.        IN    A    84.74.63.76
rcduivbe.xmu.com.        IN    A    152.72.156.197
cfxjhbak.xmu.com.        IN    A    142.49.101.98
ulmeisdq.xmu.com.        IN    A    113.123.247.60
dihuvnkq.xmu.com.        IN    A    176.61.189.206
fvleaijs.xmu.com.        IN    A    102.17.57.184
wpvqslhu.xmu.com.        IN    A    232.52.182.176
hkeajpfu.xmu.com.        IN    A    234.96.147.87
vxqeopki.xmu.com.        IN    A    193.228.53.196
oxsnyugk.xmu.com.        IN    A    178.244.53.255
jdnbkfpa.xmu.com.        IN    A    145.62.162.4
xeohrsdt.xmu.com.        IN    A    147.238.39.161
imloakbd.xmu.com.        IN    A    210.248.182.20
lfnecpku.xmu.com.        IN    A    31.199.187.245
