xw.lzu.com.	14400	IN	SOA	ns1.xw.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
xw.lzu.com.		    IN	NS ns1.xw.lzu.com.
tdfcslbj.xw.lzu.com.     IN    A    31.62.15.234
vuflxojn.xw.lzu.com.     IN    A    187.97.191.162
pqfcmyxu.xw.lzu.com.     IN    A    173.70.113.95
nqjahrmb.xw.lzu.com.     IN    A    196.238.154.62
bojscryx.xw.lzu.com.     IN    A    111.158.11.45
xoyirsqu.xw.lzu.com.     IN    A    72.242.129.34
ylmxitou.xw.lzu.com.     IN    A    199.234.117.45
oidaubwc.xw.lzu.com.     IN    A    118.210.188.11
aicqjynd.xw.lzu.com.     IN    A    13.203.217.48
vxmyacib.xw.lzu.com.     IN    A    127.224.199.66
xnqowvyj.xw.lzu.com.     IN    A    250.251.143.195
gvfluwhb.xw.lzu.com.     IN    A    245.239.202.249
kwnbmfig.xw.lzu.com.     IN    A    14.65.141.113
bgxtdycr.xw.lzu.com.     IN    A    124.95.172.63
lyebqumr.xw.lzu.com.     IN    A    156.220.150.249
fkbtcquw.xw.lzu.com.     IN    A    198.187.245.142
pyrainfs.xw.lzu.com.     IN    A    0.133.196.83
ceiwfymd.xw.lzu.com.     IN    A    16.228.212.122
cmrajlux.xw.lzu.com.     IN    A    35.231.179.255
gmxhedsv.xw.lzu.com.     IN    A    219.118.198.65
rwgmuocs.xw.lzu.com.     IN    A    52.243.72.79
omscqlyb.xw.lzu.com.     IN    A    208.145.104.128
wrixsqob.xw.lzu.com.     IN    A    15.56.204.251
hrxlnwjf.xw.lzu.com.     IN    A    167.20.186.209
nodakbxi.xw.lzu.com.     IN    A    231.55.134.61
lcqiaxgw.xw.lzu.com.     IN    A    185.86.177.213
eryfwqgv.xw.lzu.com.     IN    A    207.18.36.211
fxvleakg.xw.lzu.com.     IN    A    154.233.168.201
rdtseixk.xw.lzu.com.     IN    A    172.70.197.133
wuldsxkh.xw.lzu.com.     IN    A    220.238.80.30
ofmrivuy.xw.lzu.com.     IN    A    76.68.107.152
egpryscw.xw.lzu.com.     IN    A    54.76.59.113
pcftsaqo.xw.lzu.com.     IN    A    108.103.76.2
widhxevl.xw.lzu.com.     IN    A    200.98.106.183
lsphgodj.xw.lzu.com.     IN    A    17.109.5.142
acwkoevy.xw.lzu.com.     IN    A    233.150.2.22
hfywtkvr.xw.lzu.com.     IN    A    146.111.72.114
wxchlems.xw.lzu.com.     IN    A    11.59.153.197
ucwafejq.xw.lzu.com.     IN    A    214.142.240.170
vqbkduis.xw.lzu.com.     IN    A    150.91.202.236
bjniects.xw.lzu.com.     IN    A    149.71.177.145
vrjabhyq.xw.lzu.com.     IN    A    214.218.148.248
ptcabvhr.xw.lzu.com.     IN    A    142.147.118.182
qexctbna.xw.lzu.com.     IN    A    84.159.139.171
klsmdrex.xw.lzu.com.     IN    A    216.141.158.255
jhmanuvd.xw.lzu.com.     IN    A    144.25.190.115
heaflkvt.xw.lzu.com.     IN    A    105.236.152.2
lsyuqdvm.xw.lzu.com.     IN    A    233.60.59.178
brlqcgeo.xw.lzu.com.     IN    A    85.243.167.11
dtkqhnpm.xw.lzu.com.     IN    A    232.246.145.28
yomincxt.xw.lzu.com.     IN    A    10.140.131.234
fasoicyj.xw.lzu.com.     IN    A    155.206.29.154
veiftaxu.xw.lzu.com.     IN    A    173.151.89.176
jopsnuwf.xw.lzu.com.     IN    A    13.29.73.230
vwrmaluf.xw.lzu.com.     IN    A    197.4.45.70
gulrhsci.xw.lzu.com.     IN    A    234.71.63.198
yigqfuxs.xw.lzu.com.     IN    A    248.140.200.113
uyxksvft.xw.lzu.com.     IN    A    135.131.169.177
axugedlt.xw.lzu.com.     IN    A    240.187.227.236
ioawcbrn.xw.lzu.com.     IN    A    68.185.137.94
funvhojb.xw.lzu.com.     IN    A    134.17.19.6
hyvrxtqm.xw.lzu.com.     IN    A    230.47.17.214
flaupxyj.xw.lzu.com.     IN    A    34.238.112.243
fabojkml.xw.lzu.com.     IN    A    32.215.111.231
nxdjubsw.xw.lzu.com.     IN    A    108.53.196.21
nxdrmptf.xw.lzu.com.     IN    A    3.23.255.102
rimwpxdc.xw.lzu.com.     IN    A    168.27.4.162
ywvsxtjo.xw.lzu.com.     IN    A    37.121.44.95
gowxstaf.xw.lzu.com.     IN    A    95.153.172.79
rncjmegv.xw.lzu.com.     IN    A    122.170.47.175
pivsbfax.xw.lzu.com.     IN    A    181.166.136.215
tadcersi.xw.lzu.com.     IN    A    130.140.91.26
gypvmcxn.xw.lzu.com.     IN    A    218.26.222.252
yblxsudh.xw.lzu.com.     IN    A    242.86.166.165
sgbnqiyx.xw.lzu.com.     IN    A    111.241.239.216
bwtxeinc.xw.lzu.com.     IN    A    255.61.223.154
xdkltrhp.xw.lzu.com.     IN    A    157.251.0.48
yftbnpxw.xw.lzu.com.     IN    A    140.132.137.210
afncwtqk.xw.lzu.com.     IN    A    141.149.165.120
bctlvixd.xw.lzu.com.     IN    A    248.227.118.15
etbyhvxs.xw.lzu.com.     IN    A    178.78.180.250
lrkjpadt.xw.lzu.com.     IN    A    6.81.195.10
jicrxhqd.xw.lzu.com.     IN    A    247.228.196.23
brwptyuq.xw.lzu.com.     IN    A    160.41.254.78
hmltsupi.xw.lzu.com.     IN    A    19.119.205.237
oxmidghf.xw.lzu.com.     IN    A    83.79.54.49
vjwecofq.xw.lzu.com.     IN    A    99.94.80.228
pmgdxtiy.xw.lzu.com.     IN    A    18.12.183.147
onxjwrli.xw.lzu.com.     IN    A    174.2.16.7
pkbyuijf.xw.lzu.com.     IN    A    84.55.242.137
uoyiwrqn.xw.lzu.com.     IN    A    12.229.197.91
vcagmtei.xw.lzu.com.     IN    A    240.184.45.225
otnjwsfe.xw.lzu.com.     IN    A    203.86.22.98
qtyulxca.xw.lzu.com.     IN    A    249.208.185.151
lxgvoutm.xw.lzu.com.     IN    A    152.200.253.204
cjloemvx.xw.lzu.com.     IN    A    0.184.64.240
deupbrna.xw.lzu.com.     IN    A    96.50.73.102
qsknvary.xw.lzu.com.     IN    A    111.179.147.152
jwlumros.xw.lzu.com.     IN    A    133.23.229.141
ckitrusn.xw.lzu.com.     IN    A    151.227.59.221
cjneoivl.xw.lzu.com.     IN    A    122.5.174.79
cmhraiub.xw.lzu.com.     IN    A    207.210.52.191
ravckdqi.xw.lzu.com.     IN    A    183.244.210.51
jhrvoemb.xw.lzu.com.     IN    A    3.120.174.203
feyactuj.xw.lzu.com.     IN    A    96.0.215.129
uopkhfmd.xw.lzu.com.     IN    A    56.92.1.3
wckumpbe.xw.lzu.com.     IN    A    244.124.13.178
yjwekiqm.xw.lzu.com.     IN    A    103.215.24.232
vqlikwcu.xw.lzu.com.     IN    A    77.219.247.139
npkqosml.xw.lzu.com.     IN    A    25.86.234.142
xstchjfi.xw.lzu.com.     IN    A    254.52.79.186
islynprw.xw.lzu.com.     IN    A    38.127.126.9
xjptagyh.xw.lzu.com.     IN    A    199.153.10.224
sjcolumy.xw.lzu.com.     IN    A    135.144.171.243
iwjbhqmu.xw.lzu.com.     IN    A    159.99.151.142
swgbafjl.xw.lzu.com.     IN    A    242.22.198.154
chopixty.xw.lzu.com.     IN    A    93.248.151.236
lvkchbup.xw.lzu.com.     IN    A    91.142.128.17
myrebcdp.xw.lzu.com.     IN    A    126.86.234.151
vhtwydsk.xw.lzu.com.     IN    A    158.200.132.191
wqydpurk.xw.lzu.com.     IN    A    65.246.215.215
jagucnox.xw.lzu.com.     IN    A    79.211.61.85
tjnxwqmg.xw.lzu.com.     IN    A    79.237.140.1
ihxtjako.xw.lzu.com.     IN    A    56.119.66.123
aexrjium.xw.lzu.com.     IN    A    239.217.211.15
shgevcdu.xw.lzu.com.     IN    A    77.191.135.139
orgdjfav.xw.lzu.com.     IN    A    141.53.222.237
kecbrlyw.xw.lzu.com.     IN    A    0.155.135.99
ijbcehvs.xw.lzu.com.     IN    A    141.121.176.74
npwgbryc.xw.lzu.com.     IN    A    89.105.210.162
xvlhiwuq.xw.lzu.com.     IN    A    75.3.96.190
fldhwjsy.xw.lzu.com.     IN    A    155.148.156.185
yujwobpm.xw.lzu.com.     IN    A    120.156.121.104
hapmyeut.xw.lzu.com.     IN    A    230.246.12.7
ohvynfma.xw.lzu.com.     IN    A    37.176.96.217
dovaswjn.xw.lzu.com.     IN    A    109.79.245.43
yjsafkwp.xw.lzu.com.     IN    A    152.87.44.124
alwmtrjv.xw.lzu.com.     IN    A    32.139.153.237
foqnkpda.xw.lzu.com.     IN    A    135.47.135.101
kvhslqna.xw.lzu.com.     IN    A    64.9.248.72
cjkodeft.xw.lzu.com.     IN    A    229.95.88.41
iyfdreav.xw.lzu.com.     IN    A    88.248.50.82
cyekwutp.xw.lzu.com.     IN    A    172.85.168.105
iekwrthl.xw.lzu.com.     IN    A    221.222.229.32
teacwjmn.xw.lzu.com.     IN    A    137.33.203.70
mavwoesd.xw.lzu.com.     IN    A    209.193.223.155
kdjqipeo.xw.lzu.com.     IN    A    227.135.76.219
pvaxbohw.xw.lzu.com.     IN    A    113.182.87.54
gkmhpfjy.xw.lzu.com.     IN    A    135.225.224.179
tbyjurep.xw.lzu.com.     IN    A    169.183.122.142
ixfporkj.xw.lzu.com.     IN    A    42.123.151.185
qflbguvj.xw.lzu.com.     IN    A    206.54.183.0
xuipogta.xw.lzu.com.     IN    A    23.217.123.13
gqrmayio.xw.lzu.com.     IN    A    213.178.187.65
naktdjxp.xw.lzu.com.     IN    A    64.15.83.248
sejdlacf.xw.lzu.com.     IN    A    96.128.191.86
knlcthag.xw.lzu.com.     IN    A    99.12.153.139
hjramvwc.xw.lzu.com.     IN    A    17.115.53.65
pygjcnwq.xw.lzu.com.     IN    A    184.30.25.181
ykwugdxq.xw.lzu.com.     IN    A    146.62.130.211
lceyvhjb.xw.lzu.com.     IN    A    152.107.85.241
jpwutlso.xw.lzu.com.     IN    A    153.115.9.212
uxmckref.xw.lzu.com.     IN    A    5.4.91.226
usrabfjw.xw.lzu.com.     IN    A    80.137.251.22
gjadsymk.xw.lzu.com.     IN    A    169.26.149.193
lmiygjwb.xw.lzu.com.     IN    A    70.130.200.107
leftxmqp.xw.lzu.com.     IN    A    200.105.186.250
vnpbwyji.xw.lzu.com.     IN    A    2.136.39.24
qkyxjnod.xw.lzu.com.     IN    A    12.61.234.113
lfdksxog.xw.lzu.com.     IN    A    7.196.74.184
wmxdaoqu.xw.lzu.com.     IN    A    93.81.178.97
vucbtywn.xw.lzu.com.     IN    A    128.177.243.134
nqoipvlf.xw.lzu.com.     IN    A    62.99.102.58
djlkqvew.xw.lzu.com.     IN    A    195.108.54.103
fxhobyua.xw.lzu.com.     IN    A    207.251.148.145
ivnlwudt.xw.lzu.com.     IN    A    152.128.130.162
khtgysme.xw.lzu.com.     IN    A    166.64.35.184
rfbvcdgj.xw.lzu.com.     IN    A    124.39.68.242
iymbptes.xw.lzu.com.     IN    A    219.147.219.6
gxtirjuf.xw.lzu.com.     IN    A    216.196.118.179
lhywrode.xw.lzu.com.     IN    A    31.62.253.237
hmytoxjc.xw.lzu.com.     IN    A    32.71.216.218
jwixavom.xw.lzu.com.     IN    A    144.24.148.146
mxpwtqge.xw.lzu.com.     IN    A    69.115.1.217
chnkrewl.xw.lzu.com.     IN    A    188.149.140.52
twmknolr.xw.lzu.com.     IN    A    16.66.117.172
idwspfxa.xw.lzu.com.     IN    A    239.44.172.134
ltypkrue.xw.lzu.com.     IN    A    44.65.140.153
mxsfunoj.xw.lzu.com.     IN    A    238.242.221.185
upfxymgb.xw.lzu.com.     IN    A    91.212.61.130
tnwcfgbj.xw.lzu.com.     IN    A    114.112.175.213
rboqhxjk.xw.lzu.com.     IN    A    88.40.96.209
saoudjrp.xw.lzu.com.     IN    A    249.71.199.249
sfvlqtng.xw.lzu.com.     IN    A    142.130.33.26
jefpuath.xw.lzu.com.     IN    A    100.201.226.199
cnwjlmuv.xw.lzu.com.     IN    A    175.192.152.34
idqetsuv.xw.lzu.com.     IN    A    26.244.14.4
xctgdbja.xw.lzu.com.     IN    A    90.246.51.245
gwmloain.xw.lzu.com.     IN    A    192.18.56.240
hskbufap.xw.lzu.com.     IN    A    113.119.19.7
idyhkrjp.xw.lzu.com.     IN    A    50.117.208.191
rljengsy.xw.lzu.com.     IN    A    126.196.158.132
itfohlcb.xw.lzu.com.     IN    A    233.23.160.46
rdkcbhmp.xw.lzu.com.     IN    A    193.88.27.224
avhkcuei.xw.lzu.com.     IN    A    150.72.178.232
ruknifhv.xw.lzu.com.     IN    A    253.132.171.205
nwfdipvy.xw.lzu.com.     IN    A    203.147.141.186
evsqjfng.xw.lzu.com.     IN    A    253.181.1.122
dewpjnxy.xw.lzu.com.     IN    A    32.19.167.92
nlygvuwt.xw.lzu.com.     IN    A    27.165.36.227
oqeykjbv.xw.lzu.com.     IN    A    254.246.205.116
nfptkhsr.xw.lzu.com.     IN    A    99.198.132.104
unckpjxw.xw.lzu.com.     IN    A    11.244.220.114
aushqkvd.xw.lzu.com.     IN    A    236.160.178.235
hgostpqb.xw.lzu.com.     IN    A    36.191.167.93
ujsgivah.xw.lzu.com.     IN    A    53.143.188.75
ntodqjyu.xw.lzu.com.     IN    A    211.153.216.209
bnmptkeg.xw.lzu.com.     IN    A    144.75.82.180
nfoackmb.xw.lzu.com.     IN    A    116.115.205.21
uwjbghop.xw.lzu.com.     IN    A    202.63.40.145
xeqrcodu.xw.lzu.com.     IN    A    249.93.101.16
ckbqewsf.xw.lzu.com.     IN    A    41.14.41.226
hojnayvd.xw.lzu.com.     IN    A    252.79.87.24
litwnmfg.xw.lzu.com.     IN    A    70.209.18.137
doqrulgk.xw.lzu.com.     IN    A    66.248.178.45
rtjfughq.xw.lzu.com.     IN    A    64.88.17.170
mbkxtgyv.xw.lzu.com.     IN    A    73.21.191.191
dnklwpma.xw.lzu.com.     IN    A    158.10.117.155
xdrhpumq.xw.lzu.com.     IN    A    146.244.245.7
lbtcgrvj.xw.lzu.com.     IN    A    101.8.170.61
pxhatgbe.xw.lzu.com.     IN    A    194.94.208.10
hqcmfenr.xw.lzu.com.     IN    A    231.142.223.160
tbauiqek.xw.lzu.com.     IN    A    106.212.57.61
gtwephku.xw.lzu.com.     IN    A    12.4.52.162
mqykcndv.xw.lzu.com.     IN    A    240.107.139.4
cgvbfdpi.xw.lzu.com.     IN    A    44.165.136.9
gdpximfy.xw.lzu.com.     IN    A    244.71.197.198
iwubyrdh.xw.lzu.com.     IN    A    5.137.61.207
glxvqnpi.xw.lzu.com.     IN    A    24.139.171.231
smbxhlgr.xw.lzu.com.     IN    A    221.132.45.204
omlhfpcw.xw.lzu.com.     IN    A    12.90.43.207
hxpmujye.xw.lzu.com.     IN    A    73.1.242.17
mjdlexos.xw.lzu.com.     IN    A    110.82.135.164
ytehbusf.xw.lzu.com.     IN    A    236.206.116.221
ucpdnxba.xw.lzu.com.     IN    A    205.32.35.115
gaqtwslj.xw.lzu.com.     IN    A    11.96.55.219
vpoxdrfw.xw.lzu.com.     IN    A    252.200.9.40
qalnjbfw.xw.lzu.com.     IN    A    203.215.95.253
garpohkl.xw.lzu.com.     IN    A    197.117.216.44
roesyajd.xw.lzu.com.     IN    A    179.109.251.188
iegfjhnu.xw.lzu.com.     IN    A    32.163.125.198
wpngcydk.xw.lzu.com.     IN    A    78.226.255.21
hmkntbwg.xw.lzu.com.     IN    A    178.156.91.120
nyupsgwb.xw.lzu.com.     IN    A    107.130.8.175
bwmqsuif.xw.lzu.com.     IN    A    216.245.143.14
nsahomue.xw.lzu.com.     IN    A    148.179.130.165
outkycgp.xw.lzu.com.     IN    A    252.33.103.101
byulvsnf.xw.lzu.com.     IN    A    12.55.227.119
tolafqkb.xw.lzu.com.     IN    A    235.40.210.189
fblqanej.xw.lzu.com.     IN    A    42.55.71.186
wepkdvya.xw.lzu.com.     IN    A    224.15.142.24
cfesolkv.xw.lzu.com.     IN    A    107.103.156.152
mxjbiyda.xw.lzu.com.     IN    A    16.24.210.11
tibpyvxu.xw.lzu.com.     IN    A    230.129.161.241
vdkwunci.xw.lzu.com.     IN    A    90.16.217.198
qxybgetj.xw.lzu.com.     IN    A    191.75.135.47
xtkodcvh.xw.lzu.com.     IN    A    149.172.247.78
naplimdc.xw.lzu.com.     IN    A    248.138.185.13
unkrvftc.xw.lzu.com.     IN    A    153.66.14.181
oxuhaksg.xw.lzu.com.     IN    A    121.3.237.151
bwodlhja.xw.lzu.com.     IN    A    241.153.193.40
bcvewygm.xw.lzu.com.     IN    A    101.254.218.122
yavkwmrd.xw.lzu.com.     IN    A    234.48.192.60
oaujqdew.xw.lzu.com.     IN    A    12.200.56.95
ljydabwq.xw.lzu.com.     IN    A    172.240.81.67
jvhxtfny.xw.lzu.com.     IN    A    28.14.142.4
ocjfswug.xw.lzu.com.     IN    A    149.246.170.144
pvtludqh.xw.lzu.com.     IN    A    136.115.201.169
iyhuvcpa.xw.lzu.com.     IN    A    239.91.149.222
ajcihdkm.xw.lzu.com.     IN    A    64.12.61.107
ktfcalbg.xw.lzu.com.     IN    A    145.23.16.44
ecwftobd.xw.lzu.com.     IN    A    26.93.60.175
ganyedml.xw.lzu.com.     IN    A    65.60.5.222
bdgfxvyp.xw.lzu.com.     IN    A    111.48.0.1
bwltnfdx.xw.lzu.com.     IN    A    220.45.90.87
nqlmyghi.xw.lzu.com.     IN    A    190.128.163.239
dsyaxghk.xw.lzu.com.     IN    A    32.192.168.151
ifopjkua.xw.lzu.com.     IN    A    98.154.62.106
qeifpstg.xw.lzu.com.     IN    A    148.33.155.154
dljfmqih.xw.lzu.com.     IN    A    94.53.232.199
otfpurbi.xw.lzu.com.     IN    A    26.128.158.87
udgtbrfj.xw.lzu.com.     IN    A    224.24.167.225
xhvjunqg.xw.lzu.com.     IN    A    53.68.77.204
ygrvlxpm.xw.lzu.com.     IN    A    36.189.28.3
akilmwhx.xw.lzu.com.     IN    A    15.40.45.67
cabwrogj.xw.lzu.com.     IN    A    206.168.187.163
uswreyqg.xw.lzu.com.     IN    A    237.224.179.77
yotkrwmx.xw.lzu.com.     IN    A    114.56.71.39
gxulkiwm.xw.lzu.com.     IN    A    87.174.85.172
hnjodiva.xw.lzu.com.     IN    A    232.118.251.84
wadternh.xw.lzu.com.     IN    A    169.84.77.205
luxhfmba.xw.lzu.com.     IN    A    101.151.129.179
fhcngted.xw.lzu.com.     IN    A    151.224.28.44
kyplxgov.xw.lzu.com.     IN    A    147.127.191.114
auilvwsg.xw.lzu.com.     IN    A    142.198.176.126
yameithr.xw.lzu.com.     IN    A    85.222.230.47
nudpckas.xw.lzu.com.     IN    A    162.34.34.206
jdfncaor.xw.lzu.com.     IN    A    118.36.111.188
wxvrngbe.xw.lzu.com.     IN    A    250.202.80.76
vrycwqjt.xw.lzu.com.     IN    A    97.190.2.66
kapuyhxn.xw.lzu.com.     IN    A    58.14.9.130
ysigearw.xw.lzu.com.     IN    A    239.13.100.17
cmyapfxn.xw.lzu.com.     IN    A    21.23.199.231
moujslra.xw.lzu.com.     IN    A    163.166.224.238
cydjsoeg.xw.lzu.com.     IN    A    225.52.224.206
rytqbcvk.xw.lzu.com.     IN    A    119.96.162.204
hnrjefig.xw.lzu.com.     IN    A    5.202.43.23
yqmaouft.xw.lzu.com.     IN    A    219.74.127.253
rbgiykmc.xw.lzu.com.     IN    A    29.185.208.213
sibfqoed.xw.lzu.com.     IN    A    94.146.160.115
lnogjmbp.xw.lzu.com.     IN    A    90.218.88.1
xiwgkcfm.xw.lzu.com.     IN    A    240.196.141.96
rfvidmus.xw.lzu.com.     IN    A    9.215.240.180
cdlntugf.xw.lzu.com.     IN    A    233.185.107.147
kxrjbtcu.xw.lzu.com.     IN    A    27.181.74.88
wtogipjb.xw.lzu.com.     IN    A    2.76.4.171
kswcmrna.xw.lzu.com.     IN    A    51.78.255.18
yqebrgsv.xw.lzu.com.     IN    A    217.181.89.215
aqmevrwi.xw.lzu.com.     IN    A    79.143.43.64
qhvyrkux.xw.lzu.com.     IN    A    212.15.28.194
cmioxtsl.xw.lzu.com.     IN    A    121.95.247.206
sdnakvyg.xw.lzu.com.     IN    A    168.238.225.167
acnrofdw.xw.lzu.com.     IN    A    237.203.42.26
pldunxek.xw.lzu.com.     IN    A    37.16.90.186
ewirmclh.xw.lzu.com.     IN    A    0.103.17.226
onmvgyrf.xw.lzu.com.     IN    A    200.149.14.9
aycpriqu.xw.lzu.com.     IN    A    138.5.201.213
kiqewpvm.xw.lzu.com.     IN    A    107.64.194.44
fjakvnhl.xw.lzu.com.     IN    A    59.249.229.107
whedclrv.xw.lzu.com.     IN    A    202.192.86.40
uopjtxwy.xw.lzu.com.     IN    A    5.182.153.181
wjlnkvxc.xw.lzu.com.     IN    A    90.31.90.39
tiyfgmsq.xw.lzu.com.     IN    A    143.224.203.219
mqgofcjn.xw.lzu.com.     IN    A    93.15.87.245
yabkgtwf.xw.lzu.com.     IN    A    66.0.8.195
xltqgvun.xw.lzu.com.     IN    A    240.126.52.149
lspharum.xw.lzu.com.     IN    A    74.186.232.87
tljaqfyo.xw.lzu.com.     IN    A    54.224.109.185
lynhfsmw.xw.lzu.com.     IN    A    29.199.254.48
sugvhrby.xw.lzu.com.     IN    A    173.7.99.74
hdsvewnp.xw.lzu.com.     IN    A    126.110.100.80
itmqgldb.xw.lzu.com.     IN    A    56.77.176.4
pehjylbw.xw.lzu.com.     IN    A    213.70.50.180
gyvnipas.xw.lzu.com.     IN    A    149.165.197.49
vostunkm.xw.lzu.com.     IN    A    149.238.207.49
pgbhfylo.xw.lzu.com.     IN    A    67.67.39.88
jgbfqhtr.xw.lzu.com.     IN    A    12.28.30.56
patsgkvr.xw.lzu.com.     IN    A    110.173.182.71
hgmjaecx.xw.lzu.com.     IN    A    114.105.254.140
qiwxrabd.xw.lzu.com.     IN    A    122.181.204.136
jymbinft.xw.lzu.com.     IN    A    189.195.165.186
vniotswy.xw.lzu.com.     IN    A    191.153.164.89
bofmyprd.xw.lzu.com.     IN    A    120.186.197.227
vitfpcla.xw.lzu.com.     IN    A    205.166.46.114
ltanjrxy.xw.lzu.com.     IN    A    29.150.9.250
xqspeijm.xw.lzu.com.     IN    A    195.222.167.167
mbktljwn.xw.lzu.com.     IN    A    144.223.196.1
cljinprw.xw.lzu.com.     IN    A    48.55.151.47
grkijcsl.xw.lzu.com.     IN    A    208.161.184.192
oaseyhcf.xw.lzu.com.     IN    A    105.200.83.42
phfmvscn.xw.lzu.com.     IN    A    52.104.149.157
yeqdalsf.xw.lzu.com.     IN    A    55.50.219.171
hpveqwri.xw.lzu.com.     IN    A    192.80.43.25
equagiot.xw.lzu.com.     IN    A    49.176.134.71
jfahrdex.xw.lzu.com.     IN    A    213.39.193.132
avqjbipu.xw.lzu.com.     IN    A    252.154.212.180
tglokpqf.xw.lzu.com.     IN    A    158.78.200.23
dvlnsoep.xw.lzu.com.     IN    A    88.28.48.250
ptmbfihc.xw.lzu.com.     IN    A    39.149.253.192
dnvwjtgf.xw.lzu.com.     IN    A    15.127.114.34
jseaicgk.xw.lzu.com.     IN    A    28.102.5.157
ypxgsuao.xw.lzu.com.     IN    A    208.20.5.165
dpqvogxk.xw.lzu.com.     IN    A    160.179.77.234
tvulxwgd.xw.lzu.com.     IN    A    33.61.254.33
bsaejqyu.xw.lzu.com.     IN    A    1.164.233.159
ctdyojbf.xw.lzu.com.     IN    A    242.107.189.15
dhcgslnj.xw.lzu.com.     IN    A    101.157.114.28
xnbfgieh.xw.lzu.com.     IN    A    19.70.170.163
hpdyatjw.xw.lzu.com.     IN    A    63.252.235.166
gkfuailc.xw.lzu.com.     IN    A    79.16.228.69
rjvnhfxc.xw.lzu.com.     IN    A    88.204.208.189
khsuatfg.xw.lzu.com.     IN    A    158.124.233.165
naefhtov.xw.lzu.com.     IN    A    164.120.205.238
ciayvbno.xw.lzu.com.     IN    A    124.67.128.139
gavfksdt.xw.lzu.com.     IN    A    50.171.176.35
feaqonwu.xw.lzu.com.     IN    A    223.130.225.76
wumetskn.xw.lzu.com.     IN    A    30.18.58.132
sjlyadwr.xw.lzu.com.     IN    A    183.16.69.219
hrmkfyab.xw.lzu.com.     IN    A    198.129.141.125
ablvrxnq.xw.lzu.com.     IN    A    131.103.249.188
ynmlbuoi.xw.lzu.com.     IN    A    186.121.253.33
uqdgfibc.xw.lzu.com.     IN    A    76.44.225.201
xjcdiswu.xw.lzu.com.     IN    A    210.99.207.116
jyfxwatn.xw.lzu.com.     IN    A    72.127.42.215
cqtendrb.xw.lzu.com.     IN    A    17.219.121.70
vklabfwm.xw.lzu.com.     IN    A    161.2.24.213
edfxwitg.xw.lzu.com.     IN    A    21.245.35.16
skdnqwyh.xw.lzu.com.     IN    A    160.164.73.112
wqhgmbai.xw.lzu.com.     IN    A    130.187.19.225
fjsraylo.xw.lzu.com.     IN    A    215.176.28.134
rcgalqke.xw.lzu.com.     IN    A    83.220.87.111
lvyxkbfr.xw.lzu.com.     IN    A    207.150.78.16
rkcwvpeg.xw.lzu.com.     IN    A    218.216.245.178
dhexkjap.xw.lzu.com.     IN    A    158.203.134.80
ifptkhbr.xw.lzu.com.     IN    A    29.222.138.183
vlqpatcy.xw.lzu.com.     IN    A    86.205.31.228
jruvyabl.xw.lzu.com.     IN    A    234.182.241.54
ycopdntl.xw.lzu.com.     IN    A    147.206.111.35
jrxukgit.xw.lzu.com.     IN    A    248.7.30.151
ucjsqhvm.xw.lzu.com.     IN    A    238.249.149.223
vwxrkeuq.xw.lzu.com.     IN    A    239.52.126.134
jmswxgyl.xw.lzu.com.     IN    A    192.231.146.81
hckaubtn.xw.lzu.com.     IN    A    76.224.101.188
xkqseolj.xw.lzu.com.     IN    A    92.199.124.25
wsfkgerj.xw.lzu.com.     IN    A    173.102.172.91
bpvoytlq.xw.lzu.com.     IN    A    90.196.253.204
ibclmnxf.xw.lzu.com.     IN    A    125.58.41.119
wmqukfvs.xw.lzu.com.     IN    A    45.36.174.149
xkbnvsyh.xw.lzu.com.     IN    A    126.72.242.168
shtldarj.xw.lzu.com.     IN    A    160.3.3.195
aqmkstpj.xw.lzu.com.     IN    A    17.58.194.198
hidqjstl.xw.lzu.com.     IN    A    186.252.11.39
khamfjti.xw.lzu.com.     IN    A    37.103.215.148
tjqxcenu.xw.lzu.com.     IN    A    10.60.20.77
umbprkfx.xw.lzu.com.     IN    A    41.153.5.158
pbctofeh.xw.lzu.com.     IN    A    162.56.100.135
cedgajxu.xw.lzu.com.     IN    A    72.39.99.204
qsowvtnx.xw.lzu.com.     IN    A    94.19.213.190
owbhjksm.xw.lzu.com.     IN    A    41.152.116.243
epalvsjn.xw.lzu.com.     IN    A    110.85.70.141
spjnktxb.xw.lzu.com.     IN    A    64.202.100.12
qkshorbt.xw.lzu.com.     IN    A    111.226.165.114
wbhusydt.xw.lzu.com.     IN    A    49.147.41.224
wnsvemfl.xw.lzu.com.     IN    A    237.20.13.81
elakogpc.xw.lzu.com.     IN    A    129.27.171.80
ijypsrfv.xw.lzu.com.     IN    A    0.140.181.94
rftinvoh.xw.lzu.com.     IN    A    61.148.208.21
yadfpqsb.xw.lzu.com.     IN    A    204.103.125.239
bqmrpdnc.xw.lzu.com.     IN    A    238.105.178.31
cnhpywtg.xw.lzu.com.     IN    A    200.233.4.243
kwxdtpyn.xw.lzu.com.     IN    A    233.25.46.235
qngmidru.xw.lzu.com.     IN    A    174.181.30.127
lithvgna.xw.lzu.com.     IN    A    80.217.56.179
qbhgxlrp.xw.lzu.com.     IN    A    122.140.217.188
epvoyktl.xw.lzu.com.     IN    A    72.78.96.63
hfgwyjno.xw.lzu.com.     IN    A    10.110.163.21
uvmqjdke.xw.lzu.com.     IN    A    159.192.250.251
