; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR cqu.com. @ns2.cqu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
cqu.com.			      14400 IN NS	ns1.cqu.com.
ns1.cqu.com.			      14400 IN A	10.166.21.15

www.cqu.com.		      14400 IN NS	ns1.www.cqu.com.
ns1.www.cqu.com.		      14400 IN A		10.166.21.12

sci.cqu.com.		      14400 IN NS	ns1.sci.cqu.com.
ns1.sci.cqu.com.		      14400 IN A		10.166.21.13

cse.cqu.com.		      14400 IN NS	ns1.cse.cqu.com.
ns1.cse.cqu.com.		      14400 IN A		10.166.21.14

cqu.com.			      14400 IN MX	10 csetp.cqu.edu.
cqu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
jvcgfwro.cqu.com.        IN    A    216.207.172.56
quifjwyh.cqu.com.        IN    A    177.99.14.98
uisycvph.cqu.com.        IN    A    116.49.134.42
amcywtvo.cqu.com.        IN    A    171.52.6.85
ckowiavb.cqu.com.        IN    A    253.251.10.82
itpcyxmq.cqu.com.        IN    A    212.226.241.152
puxytkvo.cqu.com.        IN    A    135.98.80.108
ybhljpex.cqu.com.        IN    A    21.193.88.53
ahetbivn.cqu.com.        IN    A    13.161.61.230
fdbokjws.cqu.com.        IN    A    89.119.14.225
tedkrhav.cqu.com.        IN    A    106.219.206.88
pklfmyhq.cqu.com.        IN    A    42.50.32.215
upmjknfd.cqu.com.        IN    A    165.192.143.114
wpjndqkr.cqu.com.        IN    A    82.73.244.63
xavbwpif.cqu.com.        IN    A    120.72.121.27
ixyocfjt.cqu.com.        IN    A    36.168.218.42
jilgwraf.cqu.com.        IN    A    103.63.234.198
aoidwfrj.cqu.com.        IN    A    147.100.83.9
djekrtan.cqu.com.        IN    A    184.84.181.108
djipgoel.cqu.com.        IN    A    81.104.145.238
rwlcogjv.cqu.com.        IN    A    11.132.90.226
cukjeymq.cqu.com.        IN    A    178.143.136.187
kdlptrmj.cqu.com.        IN    A    144.75.99.164
ugcdsake.cqu.com.        IN    A    215.46.191.154
mvenhrdl.cqu.com.        IN    A    30.91.164.191
xpgdsnjw.cqu.com.        IN    A    229.116.240.24
lfemquag.cqu.com.        IN    A    101.123.146.177
sknychld.cqu.com.        IN    A    183.110.187.100
earxmfls.cqu.com.        IN    A    126.44.27.116
oybthcvf.cqu.com.        IN    A    145.197.169.30
ymsnrkhd.cqu.com.        IN    A    76.110.69.53
hcktdymw.cqu.com.        IN    A    172.183.102.224
gjwndakc.cqu.com.        IN    A    145.213.18.28
qecjamtv.cqu.com.        IN    A    35.209.12.114
dvkotxwa.cqu.com.        IN    A    223.194.97.197
mugsrkcy.cqu.com.        IN    A    36.78.69.220
lsmvudaq.cqu.com.        IN    A    150.187.65.165
mgtdirec.cqu.com.        IN    A    82.140.181.19
uwmqgofi.cqu.com.        IN    A    145.185.224.214
flbkisod.cqu.com.        IN    A    174.69.180.237
oxjvtyfm.cqu.com.        IN    A    72.192.174.78
uwhbqlfm.cqu.com.        IN    A    242.46.228.158
rudikcvj.cqu.com.        IN    A    128.11.135.204
lsrkajmv.cqu.com.        IN    A    110.88.224.30
qvwhdbte.cqu.com.        IN    A    239.48.253.11
rclignyb.cqu.com.        IN    A    68.19.20.75
wbatycqh.cqu.com.        IN    A    111.121.102.245
esiknfud.cqu.com.        IN    A    232.227.14.13
usxafmrk.cqu.com.        IN    A    238.21.17.126
junvsfbe.cqu.com.        IN    A    57.191.195.96
uwiohvbc.cqu.com.        IN    A    220.25.19.48
humnyexp.cqu.com.        IN    A    236.159.126.107
tvpwnskq.cqu.com.        IN    A    212.150.44.238
cgxvfqwa.cqu.com.        IN    A    209.87.54.159
ngsjvitb.cqu.com.        IN    A    24.133.72.198
sgvxikmt.cqu.com.        IN    A    110.159.247.81
ktjarcvi.cqu.com.        IN    A    3.71.239.11
kyqvngrp.cqu.com.        IN    A    132.54.245.89
kwlmxonh.cqu.com.        IN    A    36.101.163.28
kmwotqpg.cqu.com.        IN    A    215.35.229.241
sutypvhm.cqu.com.        IN    A    167.87.78.116
xcnylsot.cqu.com.        IN    A    160.208.85.241
rftqwcxj.cqu.com.        IN    A    15.115.5.245
udjohpqa.cqu.com.        IN    A    71.140.15.94
gtcfyesp.cqu.com.        IN    A    217.207.59.115
vrphgsyt.cqu.com.        IN    A    166.233.148.156
yxoclhrj.cqu.com.        IN    A    29.85.244.152
ibcdvang.cqu.com.        IN    A    6.45.146.194
gvlbpuqj.cqu.com.        IN    A    233.224.117.157
lodwpyvk.cqu.com.        IN    A    69.11.217.0
dljpgxqa.cqu.com.        IN    A    133.173.254.152
urldwhkn.cqu.com.        IN    A    57.97.48.178
rtknbisa.cqu.com.        IN    A    214.216.130.213
bjgrplte.cqu.com.        IN    A    176.58.5.144
mlfxikro.cqu.com.        IN    A    220.28.219.208
equralwf.cqu.com.        IN    A    16.72.84.40
myftioaj.cqu.com.        IN    A    220.201.197.95
nofgcmuk.cqu.com.        IN    A    26.180.219.23
wpdamuxk.cqu.com.        IN    A    96.251.68.105
tcaukhgm.cqu.com.        IN    A    166.30.54.253
ckijvlow.cqu.com.        IN    A    192.153.94.215
xoaivlfw.cqu.com.        IN    A    57.50.200.159
cyeufqlv.cqu.com.        IN    A    154.63.152.9
osjdqnfk.cqu.com.        IN    A    175.11.142.50
xqunvcem.cqu.com.        IN    A    184.5.60.71
sycuapkv.cqu.com.        IN    A    24.6.36.184
idgaltms.cqu.com.        IN    A    191.83.10.224
yjufgktb.cqu.com.        IN    A    12.42.63.177
tmcalpod.cqu.com.        IN    A    145.49.99.238
xuswpjid.cqu.com.        IN    A    31.110.21.166
uayoksbt.cqu.com.        IN    A    113.2.202.144
fcumydrl.cqu.com.        IN    A    116.228.211.194
rifbqtcs.cqu.com.        IN    A    144.11.162.67
yrwunihl.cqu.com.        IN    A    64.197.85.16
ulsrbfqm.cqu.com.        IN    A    35.167.212.47
btcdyreu.cqu.com.        IN    A    59.228.188.231
vbjxkcge.cqu.com.        IN    A    25.254.252.52
etixfgwh.cqu.com.        IN    A    62.0.66.0
whofrqce.cqu.com.        IN    A    108.140.229.3
rchvmyke.cqu.com.        IN    A    90.223.89.17
cqrshywa.cqu.com.        IN    A    34.206.42.41
oqgjeucn.cqu.com.        IN    A    34.222.55.7
nrjqiskv.cqu.com.        IN    A    238.149.38.203
wtrkubvf.cqu.com.        IN    A    131.163.196.106
nxyqvlho.cqu.com.        IN    A    42.232.124.129
twhbipnv.cqu.com.        IN    A    142.235.249.122
hfdytpiv.cqu.com.        IN    A    239.67.237.219
bgvpnayd.cqu.com.        IN    A    42.141.34.47
gpsbacxv.cqu.com.        IN    A    210.125.209.14
egyvjsfc.cqu.com.        IN    A    234.155.32.84
prexgawo.cqu.com.        IN    A    54.245.117.52
dnjutpgr.cqu.com.        IN    A    42.222.30.72
kqdyfjto.cqu.com.        IN    A    152.46.111.79
lodcpqtk.cqu.com.        IN    A    119.242.98.98
rveuostj.cqu.com.        IN    A    199.119.232.99
hakfnwyp.cqu.com.        IN    A    214.162.245.223
kqfxjgvc.cqu.com.        IN    A    25.201.85.180
afrmlgxn.cqu.com.        IN    A    237.171.15.244
rqobksjh.cqu.com.        IN    A    5.115.59.120
jlnayrfx.cqu.com.        IN    A    97.102.96.105
igasvlrd.cqu.com.        IN    A    23.122.173.247
hilymfag.cqu.com.        IN    A    91.228.86.31
ydvmqusc.cqu.com.        IN    A    169.105.215.188
hfvcuyxw.cqu.com.        IN    A    243.181.214.83
veicktwp.cqu.com.        IN    A    168.79.19.84
eqmcisyo.cqu.com.        IN    A    172.111.229.223
cvjrmkhe.cqu.com.        IN    A    237.37.179.51
uiycloef.cqu.com.        IN    A    224.175.235.80
vskarcle.cqu.com.        IN    A    106.187.223.51
nisgmyrf.cqu.com.        IN    A    179.210.141.166
sduoexcm.cqu.com.        IN    A    255.48.213.181
ouwdksyg.cqu.com.        IN    A    126.199.237.153
qdsjmuvg.cqu.com.        IN    A    163.247.35.43
tfiopglc.cqu.com.        IN    A    155.98.45.30
cbpsaktl.cqu.com.        IN    A    61.155.89.7
vasobjpm.cqu.com.        IN    A    6.142.149.95
plwtmjgr.cqu.com.        IN    A    114.50.49.133
aegtnlky.cqu.com.        IN    A    76.31.94.118
exswkpma.cqu.com.        IN    A    140.151.253.98
pvaebrcy.cqu.com.        IN    A    19.192.185.108
jmavoglh.cqu.com.        IN    A    106.152.131.250
gbkhuems.cqu.com.        IN    A    48.144.201.7
vrwepsmc.cqu.com.        IN    A    178.252.132.211
ocwfigay.cqu.com.        IN    A    217.40.2.61
wamchdtk.cqu.com.        IN    A    44.218.97.54
aenbidtf.cqu.com.        IN    A    82.160.126.230
fdniywcq.cqu.com.        IN    A    195.46.52.204
yfgoquid.cqu.com.        IN    A    111.45.224.242
nlsgvtxr.cqu.com.        IN    A    28.83.134.213
bxwrlovh.cqu.com.        IN    A    198.206.44.85
bmrjauhy.cqu.com.        IN    A    100.155.73.145
dhaitcrv.cqu.com.        IN    A    3.62.142.84
ehdoxcly.cqu.com.        IN    A    163.53.231.40
aemjgqoc.cqu.com.        IN    A    113.36.209.42
nmywrgcb.cqu.com.        IN    A    90.8.255.103
watuqrfv.cqu.com.        IN    A    224.91.132.138
yrsmfdna.cqu.com.        IN    A    75.216.96.193
cqfgwtso.cqu.com.        IN    A    49.115.66.109
obcngudp.cqu.com.        IN    A    90.195.83.130
hdvxsqwn.cqu.com.        IN    A    84.246.234.39
vwihkqyn.cqu.com.        IN    A    86.181.85.110
mkuasjqp.cqu.com.        IN    A    148.90.130.175
ngekfbqx.cqu.com.        IN    A    39.42.143.222
dkaquixl.cqu.com.        IN    A    201.148.210.194
srfhbgdi.cqu.com.        IN    A    210.25.35.31
olgduvwc.cqu.com.        IN    A    9.82.18.195
uawieytv.cqu.com.        IN    A    79.178.195.100
cjknwpog.cqu.com.        IN    A    119.125.200.3
iuomsgyx.cqu.com.        IN    A    249.77.214.124
cwhngbqy.cqu.com.        IN    A    217.14.210.126
rjfxqodg.cqu.com.        IN    A    104.217.188.122
lrbjnqhv.cqu.com.        IN    A    171.62.183.112
fsimvhrj.cqu.com.        IN    A    191.111.26.244
uwqyjtos.cqu.com.        IN    A    226.122.235.109
jbyhspqo.cqu.com.        IN    A    221.204.215.11
acgqfuoy.cqu.com.        IN    A    70.41.203.166
iwfmlqvg.cqu.com.        IN    A    239.61.161.44
epvodfwi.cqu.com.        IN    A    206.141.131.66
euhkytwv.cqu.com.        IN    A    96.153.231.143
ndtswexr.cqu.com.        IN    A    184.32.179.190
wbtmalov.cqu.com.        IN    A    104.187.216.84
xnmhgsvb.cqu.com.        IN    A    176.104.36.53
fwpkdcvu.cqu.com.        IN    A    117.193.236.91
ikwqftgl.cqu.com.        IN    A    122.114.71.32
mqrylkfb.cqu.com.        IN    A    91.227.81.89
volinmjx.cqu.com.        IN    A    88.204.171.185
inpdmary.cqu.com.        IN    A    134.244.236.174
vqtxjekm.cqu.com.        IN    A    79.168.170.151
jbhdoynk.cqu.com.        IN    A    157.187.9.43
itfdojkr.cqu.com.        IN    A    77.65.16.30
ahdpxtyv.cqu.com.        IN    A    161.120.119.232
wcnpfusr.cqu.com.        IN    A    70.24.133.205
fohycedi.cqu.com.        IN    A    74.131.3.199
kuqbgxnh.cqu.com.        IN    A    222.23.54.34
flhkaxwb.cqu.com.        IN    A    142.122.241.234
fgbwxtkh.cqu.com.        IN    A    55.18.75.202
ufbvoswt.cqu.com.        IN    A    222.231.205.166
ouerxqhw.cqu.com.        IN    A    1.49.44.32
nqhujtfl.cqu.com.        IN    A    35.189.80.15
wgycijre.cqu.com.        IN    A    171.68.159.236
wtcukexv.cqu.com.        IN    A    194.253.195.77
neuatxlg.cqu.com.        IN    A    204.187.226.142
royktwsj.cqu.com.        IN    A    112.182.30.109
mtwreiyc.cqu.com.        IN    A    184.28.240.48
crifblhx.cqu.com.        IN    A    149.33.27.235
yoickmbw.cqu.com.        IN    A    203.140.207.130
wcynkxgs.cqu.com.        IN    A    8.11.222.1
gkldpjiy.cqu.com.        IN    A    160.154.146.198
qhmigujw.cqu.com.        IN    A    3.50.9.183
fsextmvh.cqu.com.        IN    A    79.116.149.102
ntmrdcig.cqu.com.        IN    A    152.17.49.115
dbqlruov.cqu.com.        IN    A    209.199.250.109
gyjpexbr.cqu.com.        IN    A    229.24.151.92
flctiqny.cqu.com.        IN    A    18.115.236.222
dbygmuhs.cqu.com.        IN    A    240.38.182.190
twhsjfox.cqu.com.        IN    A    83.36.72.147
wvfayohu.cqu.com.        IN    A    141.220.107.117
almiksrp.cqu.com.        IN    A    219.172.93.174
ejncuxfm.cqu.com.        IN    A    171.141.38.124
rpwxlhtd.cqu.com.        IN    A    238.177.248.179
yjxhavgb.cqu.com.        IN    A    106.81.18.132
hmnowifc.cqu.com.        IN    A    171.117.8.223
qnelaihu.cqu.com.        IN    A    139.145.7.129
iwendovp.cqu.com.        IN    A    124.19.130.170
apnlobdg.cqu.com.        IN    A    52.51.136.55
wjtkauhp.cqu.com.        IN    A    88.109.57.225
fxjktsuy.cqu.com.        IN    A    164.57.58.104
cdgyjalk.cqu.com.        IN    A    88.227.250.57
cvbjeofx.cqu.com.        IN    A    126.36.97.76
clgipkmx.cqu.com.        IN    A    99.165.137.98
ebufvrot.cqu.com.        IN    A    118.84.184.188
xiwkdjoy.cqu.com.        IN    A    186.46.93.9
pcygxejd.cqu.com.        IN    A    124.188.190.59
swocbfvm.cqu.com.        IN    A    162.249.72.44
gdtsoxnl.cqu.com.        IN    A    48.183.171.230
aniqcgre.cqu.com.        IN    A    206.199.59.113
rycnlmoj.cqu.com.        IN    A    190.38.69.48
cfspahlr.cqu.com.        IN    A    31.220.33.25
gmajnrdu.cqu.com.        IN    A    28.112.62.159
hgtmjiuw.cqu.com.        IN    A    233.125.200.108
ewlmiaoc.cqu.com.        IN    A    132.97.95.141
igweuqox.cqu.com.        IN    A    184.197.66.3
olegkixy.cqu.com.        IN    A    251.121.221.80
dvriebku.cqu.com.        IN    A    130.124.104.126
wqytrndo.cqu.com.        IN    A    54.75.62.91
ajbleygs.cqu.com.        IN    A    37.214.160.246
sjxbpvqy.cqu.com.        IN    A    171.44.105.97
poxbuhlj.cqu.com.        IN    A    115.220.135.75
uoptiady.cqu.com.        IN    A    226.218.87.64
vdchiolb.cqu.com.        IN    A    237.62.24.113
wsvayunt.cqu.com.        IN    A    162.15.2.108
bylvpqrn.cqu.com.        IN    A    232.173.16.91
crqfkgvn.cqu.com.        IN    A    46.190.29.255
gtafesvh.cqu.com.        IN    A    187.153.94.161
qxldpuvi.cqu.com.        IN    A    125.102.237.19
ubflpwhn.cqu.com.        IN    A    19.29.208.238
bgjauocp.cqu.com.        IN    A    7.56.199.74
qlmctfgk.cqu.com.        IN    A    187.20.244.201
douepkmq.cqu.com.        IN    A    170.225.33.38
lixbmtgu.cqu.com.        IN    A    23.159.157.40
eptxmask.cqu.com.        IN    A    54.4.147.108
jcdlumpo.cqu.com.        IN    A    102.69.128.69
hljydqvn.cqu.com.        IN    A    100.206.182.32
qvauytno.cqu.com.        IN    A    27.144.72.206
swhuvfgc.cqu.com.        IN    A    52.156.132.153
tmideacs.cqu.com.        IN    A    51.221.209.90
lmpdroqs.cqu.com.        IN    A    24.206.28.61
nkruhwcx.cqu.com.        IN    A    179.127.107.166
gomwdbna.cqu.com.        IN    A    89.146.232.221
htkwmdge.cqu.com.        IN    A    190.213.171.238
pbxvtjgk.cqu.com.        IN    A    108.215.32.11
urtsfqdg.cqu.com.        IN    A    186.232.20.221
xdgsyabm.cqu.com.        IN    A    32.95.98.40
mlscjxfr.cqu.com.        IN    A    90.107.79.74
rfkgyomh.cqu.com.        IN    A    172.142.45.253
gidlpona.cqu.com.        IN    A    232.52.20.209
ivndosxg.cqu.com.        IN    A    132.101.35.47
airsgfbx.cqu.com.        IN    A    146.205.251.163
fpndtihq.cqu.com.        IN    A    69.189.105.90
qdpviktg.cqu.com.        IN    A    159.75.237.133
omebdrui.cqu.com.        IN    A    53.157.53.15
gudwtbrk.cqu.com.        IN    A    118.83.230.206
sgykcrwb.cqu.com.        IN    A    244.82.125.112
oaiqmhgp.cqu.com.        IN    A    46.163.106.88
rtnawbug.cqu.com.        IN    A    81.195.155.235
yangbqtc.cqu.com.        IN    A    71.119.255.223
aurvclpn.cqu.com.        IN    A    58.181.111.165
vsyoflxt.cqu.com.        IN    A    15.124.37.111
bvsktfyq.cqu.com.        IN    A    49.89.208.134
apcvfdot.cqu.com.        IN    A    225.60.137.64
pkthdbnr.cqu.com.        IN    A    113.5.189.113
vwruqfxe.cqu.com.        IN    A    77.124.1.234
cdfegsbj.cqu.com.        IN    A    166.164.222.136
gnfwsrvj.cqu.com.        IN    A    220.49.61.33
syorvigk.cqu.com.        IN    A    43.146.65.211
eojwymgq.cqu.com.        IN    A    122.224.16.222
mvjnisdf.cqu.com.        IN    A    10.187.188.155
mjpsrnxd.cqu.com.        IN    A    139.186.67.28
clibfyxk.cqu.com.        IN    A    255.46.86.122
bhofrtgn.cqu.com.        IN    A    204.134.104.94
ivdlnhat.cqu.com.        IN    A    202.214.99.254
fngcwlpd.cqu.com.        IN    A    71.195.203.251
mgcjoqku.cqu.com.        IN    A    41.191.36.236
ftiaexnp.cqu.com.        IN    A    131.220.119.105
qlgitmnc.cqu.com.        IN    A    181.29.215.99
mejriowq.cqu.com.        IN    A    239.85.37.245
jgesqurb.cqu.com.        IN    A    113.231.187.25
gfoiyvep.cqu.com.        IN    A    225.193.66.33
bdierxvs.cqu.com.        IN    A    97.122.182.188
nujrvcek.cqu.com.        IN    A    226.2.57.197
yhjkpvxw.cqu.com.        IN    A    222.191.238.58
mtvdbxfj.cqu.com.        IN    A    8.252.8.220
mptfydre.cqu.com.        IN    A    34.76.180.158
viysmpwo.cqu.com.        IN    A    39.215.55.248
vgkdwaby.cqu.com.        IN    A    242.73.249.125
ibdvhrmx.cqu.com.        IN    A    197.135.178.197
gdwslyau.cqu.com.        IN    A    138.4.157.232
lqtscnir.cqu.com.        IN    A    24.198.249.21
osidnemh.cqu.com.        IN    A    68.73.238.182
dfisljpg.cqu.com.        IN    A    255.162.171.218
rfhtpnaw.cqu.com.        IN    A    78.90.27.67
nsrwblxp.cqu.com.        IN    A    226.112.132.85
xfauwsip.cqu.com.        IN    A    112.41.48.126
djtsckwh.cqu.com.        IN    A    239.69.93.203
nqdwkyht.cqu.com.        IN    A    186.253.199.71
hrxecdns.cqu.com.        IN    A    193.225.150.193
mistnrbf.cqu.com.        IN    A    38.33.6.92
niuxaptf.cqu.com.        IN    A    53.134.216.106
xubhywpj.cqu.com.        IN    A    204.25.162.229
deoqxctf.cqu.com.        IN    A    92.81.195.26
huecmbkd.cqu.com.        IN    A    136.81.48.59
odlrbevi.cqu.com.        IN    A    61.68.219.226
ugphfion.cqu.com.        IN    A    72.147.238.29
uprvijak.cqu.com.        IN    A    16.39.223.79
lkucmsod.cqu.com.        IN    A    241.45.205.61
casnlevf.cqu.com.        IN    A    225.223.15.184
blohigqm.cqu.com.        IN    A    70.148.25.99
acksoqtp.cqu.com.        IN    A    202.20.45.251
dlyrapgh.cqu.com.        IN    A    5.24.7.100
rhtpsxld.cqu.com.        IN    A    98.105.49.105
fxpwlnsv.cqu.com.        IN    A    87.124.253.50
tdnkapwu.cqu.com.        IN    A    200.39.19.153
nwmiqrlf.cqu.com.        IN    A    86.192.35.198
vxucepis.cqu.com.        IN    A    109.197.100.213
xwsialfh.cqu.com.        IN    A    161.3.136.91
ufbolqis.cqu.com.        IN    A    45.228.229.223
lokywuis.cqu.com.        IN    A    240.40.127.180
iwxgcent.cqu.com.        IN    A    145.187.176.131
gmyvutsh.cqu.com.        IN    A    1.146.181.81
mlnbuyxc.cqu.com.        IN    A    172.97.43.171
ymvwutjd.cqu.com.        IN    A    168.52.70.2
ahtepxju.cqu.com.        IN    A    24.225.69.94
oqsukptn.cqu.com.        IN    A    91.162.201.49
thsmdqrf.cqu.com.        IN    A    171.10.208.183
wiyrkdue.cqu.com.        IN    A    93.113.248.172
sandjckb.cqu.com.        IN    A    123.128.216.51
egpjqtuh.cqu.com.        IN    A    151.150.30.93
lradjngw.cqu.com.        IN    A    36.72.67.156
vroucmge.cqu.com.        IN    A    203.120.210.47
buktmvph.cqu.com.        IN    A    62.188.86.70
hdmsxygk.cqu.com.        IN    A    154.202.57.147
gnjkbaef.cqu.com.        IN    A    174.59.79.42
rgvtokcn.cqu.com.        IN    A    68.180.94.242
yvpxktuh.cqu.com.        IN    A    92.118.184.76
amioxkqp.cqu.com.        IN    A    135.144.182.146
ytbswmca.cqu.com.        IN    A    99.105.92.134
fewuayoj.cqu.com.        IN    A    207.17.132.35
woayefdx.cqu.com.        IN    A    203.18.254.55
qyvrpfia.cqu.com.        IN    A    252.48.132.84
tgkflrib.cqu.com.        IN    A    174.170.87.5
svgbwxal.cqu.com.        IN    A    66.233.142.35
mrxkoyin.cqu.com.        IN    A    191.225.103.0
labwoked.cqu.com.        IN    A    0.221.62.211
kdwprqbn.cqu.com.        IN    A    251.190.10.252
ipkjrlxd.cqu.com.        IN    A    75.99.95.37
vomdgruw.cqu.com.        IN    A    96.22.246.14
pmehrvgw.cqu.com.        IN    A    190.29.91.115
bopkvhlq.cqu.com.        IN    A    140.8.54.159
jmndflgy.cqu.com.        IN    A    173.124.232.246
kjsvweyo.cqu.com.        IN    A    78.122.176.23
bmfkplow.cqu.com.        IN    A    112.204.45.53
ojpkuabv.cqu.com.        IN    A    66.252.101.212
arvlnchp.cqu.com.        IN    A    234.155.62.97
tsrcqbgy.cqu.com.        IN    A    18.89.118.240
fajyvldi.cqu.com.        IN    A    56.94.54.68
uhimjdgq.cqu.com.        IN    A    36.69.207.244
paqxnije.cqu.com.        IN    A    222.247.49.153
tlpeochu.cqu.com.        IN    A    236.231.120.80
jktulxwr.cqu.com.        IN    A    183.61.244.238
xuyonvdk.cqu.com.        IN    A    49.31.11.166
wgumpsbi.cqu.com.        IN    A    164.110.60.13
psviatyd.cqu.com.        IN    A    119.196.211.27
egrubsky.cqu.com.        IN    A    204.39.252.192
mdqiwbfo.cqu.com.        IN    A    185.139.180.73
pxgyrcom.cqu.com.        IN    A    42.202.72.24
phmlfcwt.cqu.com.        IN    A    140.245.240.104
klgedmha.cqu.com.        IN    A    145.24.58.10
kujnbvep.cqu.com.        IN    A    147.209.155.141
axqvpkih.cqu.com.        IN    A    152.62.40.237
vmgfdtko.cqu.com.        IN    A    126.74.131.68
uxvnefoc.cqu.com.        IN    A    97.196.102.1
nedprmac.cqu.com.        IN    A    65.150.41.63
wuatjmsf.cqu.com.        IN    A    162.209.206.103
lsbnkxjo.cqu.com.        IN    A    133.180.100.197
pncrbxkw.cqu.com.        IN    A    220.152.252.239
kgirevht.cqu.com.        IN    A    150.181.204.14
uymbsgip.cqu.com.        IN    A    79.149.50.169
obmsklie.cqu.com.        IN    A    104.219.29.252
nktsapbr.cqu.com.        IN    A    40.48.201.189
gsekdolw.cqu.com.        IN    A    119.239.248.63
tlipohse.cqu.com.        IN    A    91.5.251.69
koypwdle.cqu.com.        IN    A    220.219.96.87
xumrfobg.cqu.com.        IN    A    247.26.115.70
mugryvst.cqu.com.        IN    A    85.119.113.167
pgcbtxvw.cqu.com.        IN    A    109.142.140.48
xnoymtak.cqu.com.        IN    A    184.16.69.242
twmafdlc.cqu.com.        IN    A    254.149.250.128
pnudmxah.cqu.com.        IN    A    181.119.223.47
cxmshgaq.cqu.com.        IN    A    49.23.120.66
ksnbmgqj.cqu.com.        IN    A    249.93.62.16
vmcditug.cqu.com.        IN    A    105.130.209.158
hjmvbotl.cqu.com.        IN    A    234.79.53.119
ntowvbck.cqu.com.        IN    A    160.124.13.36
yobrxuta.cqu.com.        IN    A    197.181.183.142
vdjsryqo.cqu.com.        IN    A    116.247.195.156
fsarcnxv.cqu.com.        IN    A    175.22.25.82
kuotlepb.cqu.com.        IN    A    40.244.172.191
gjndfqbs.cqu.com.        IN    A    40.121.121.208
sgcabilk.cqu.com.        IN    A    117.93.26.242
rjqglkua.cqu.com.        IN    A    48.170.169.232
rntkfqwx.cqu.com.        IN    A    222.209.50.248
suwvberh.cqu.com.        IN    A    54.20.27.107
pyfumgkh.cqu.com.        IN    A    231.52.43.185
lvcqrtja.cqu.com.        IN    A    191.188.230.246
deokgthn.cqu.com.        IN    A    43.125.51.169
ufpihmry.cqu.com.        IN    A    125.130.188.222
agrmkoxf.cqu.com.        IN    A    103.203.108.78
vyudceqa.cqu.com.        IN    A    201.157.57.133
bnoxeqrl.cqu.com.        IN    A    148.36.149.144
easvmqcw.cqu.com.        IN    A    91.92.7.133
kuevbxnh.cqu.com.        IN    A    27.163.192.78
sgpiqoeu.cqu.com.        IN    A    116.7.138.164
pufnwdgi.cqu.com.        IN    A    107.31.66.36
xefvygst.cqu.com.        IN    A    199.225.210.94
rvtwsihq.cqu.com.        IN    A    207.75.85.218
guloavfj.cqu.com.        IN    A    204.127.29.171
fnarljek.cqu.com.        IN    A    22.239.212.76
hoyfqmes.cqu.com.        IN    A    153.63.151.47
bsgmvxte.cqu.com.        IN    A    12.149.128.46
hyqejfpk.cqu.com.        IN    A    167.118.174.187
oyubhcmp.cqu.com.        IN    A    181.176.75.193
cijrgktq.cqu.com.        IN    A    178.81.18.63
pcrvhnaw.cqu.com.        IN    A    45.116.150.141
hfkcmiwj.cqu.com.        IN    A    144.73.155.71
plxcshqu.cqu.com.        IN    A    247.128.193.178
ilhxdbtc.cqu.com.        IN    A    22.155.125.229
sbdmaunw.cqu.com.        IN    A    40.212.223.190
vsfiacbg.cqu.com.        IN    A    190.229.238.218
nfbsardg.cqu.com.        IN    A    110.29.167.151
nhdvafwi.cqu.com.        IN    A    63.210.0.253
edxcqusr.cqu.com.        IN    A    195.43.162.85
ajeposdh.cqu.com.        IN    A    234.51.80.191
kasqfmne.cqu.com.        IN    A    181.182.224.111
xdorntje.cqu.com.        IN    A    122.214.164.221
ulvkpgfo.cqu.com.        IN    A    129.209.6.243
srliwktf.cqu.com.        IN    A    128.172.113.187
pmyjvceg.cqu.com.        IN    A    20.138.113.127
xuitqryf.cqu.com.        IN    A    42.45.187.250
iwpfaouk.cqu.com.        IN    A    118.206.16.176
tnksaoib.cqu.com.        IN    A    235.174.220.26
ldtrnwfx.cqu.com.        IN    A    101.185.81.85
cnbeymsh.cqu.com.        IN    A    228.162.205.208
eamyjtqs.cqu.com.        IN    A    104.11.91.182
dskwnhtm.cqu.com.        IN    A    16.66.104.252
tclmuahs.cqu.com.        IN    A    62.16.72.124
rjfpulab.cqu.com.        IN    A    15.56.88.213
rfpqvjue.cqu.com.        IN    A    255.227.7.47
opbjhyle.cqu.com.        IN    A    56.33.199.27
btfwxpqg.cqu.com.        IN    A    175.245.157.247
rhefaumn.cqu.com.        IN    A    207.37.47.19
plmyunrf.cqu.com.        IN    A    112.149.192.109
tqcdkjvy.cqu.com.        IN    A    188.94.228.53
gbltusaq.cqu.com.        IN    A    184.92.28.131
evabmlwg.cqu.com.        IN    A    63.236.248.183
ocgadtil.cqu.com.        IN    A    199.153.239.213
nqbdifuy.cqu.com.        IN    A    158.161.130.108
fugcxaqi.cqu.com.        IN    A    246.134.188.212
mluwnypb.cqu.com.        IN    A    105.231.234.39
pgkhfvcu.cqu.com.        IN    A    85.36.218.174
srpegjyk.cqu.com.        IN    A    159.148.212.8
qgesjlta.cqu.com.        IN    A    201.101.7.124
lbsaxivr.cqu.com.        IN    A    70.121.22.205
sutvxwcq.cqu.com.        IN    A    170.174.146.246
qcdbtxea.cqu.com.        IN    A    86.243.125.209
