www.xmu.com. 	14400	IN	SOA	ns1.www.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
www.xmu.com.		    IN	NS ns1.www.xmu.com.
tejamcip.www.xmu.com.    IN    A    81.208.254.201
xndmrgwf.www.xmu.com.    IN    A    92.144.144.47
uqfpvadg.www.xmu.com.    IN    A    70.247.84.190
tnjfrldx.www.xmu.com.    IN    A    165.68.62.76
gdxtsvic.www.xmu.com.    IN    A    255.165.94.80
qdonikpf.www.xmu.com.    IN    A    193.54.187.63
swngidry.www.xmu.com.    IN    A    33.46.156.91
orbafiyd.www.xmu.com.    IN    A    16.187.238.7
ynvdakeg.www.xmu.com.    IN    A    160.100.161.89
ecxsbafk.www.xmu.com.    IN    A    167.83.149.234
ivufkjgr.www.xmu.com.    IN    A    231.89.134.235
fxugtpnc.www.xmu.com.    IN    A    62.15.97.102
nxirqbvo.www.xmu.com.    IN    A    171.229.106.54
dmxtnjra.www.xmu.com.    IN    A    38.5.222.234
xkefwjip.www.xmu.com.    IN    A    106.71.226.34
gsdalxft.www.xmu.com.    IN    A    113.36.149.74
iuxgpcth.www.xmu.com.    IN    A    83.204.89.227
saoqpfgw.www.xmu.com.    IN    A    153.197.205.127
trilseqo.www.xmu.com.    IN    A    146.188.26.58
jcqkhtml.www.xmu.com.    IN    A    224.198.226.239
ftihowup.www.xmu.com.    IN    A    144.143.35.204
kbxjnuhr.www.xmu.com.    IN    A    17.249.187.168
bdskmjvg.www.xmu.com.    IN    A    126.29.145.28
smlxgvji.www.xmu.com.    IN    A    151.23.184.252
kqnhdvem.www.xmu.com.    IN    A    11.49.140.188
ehakjrlp.www.xmu.com.    IN    A    148.110.241.69
dgwkfhut.www.xmu.com.    IN    A    90.108.175.123
dagjcrem.www.xmu.com.    IN    A    213.144.143.194
etrubswi.www.xmu.com.    IN    A    144.166.42.74
twxpfdul.www.xmu.com.    IN    A    50.94.167.36
knfjpual.www.xmu.com.    IN    A    245.34.144.138
uwnpqksr.www.xmu.com.    IN    A    132.173.17.220
gdksvwce.www.xmu.com.    IN    A    242.135.90.16
xbumlkpq.www.xmu.com.    IN    A    214.220.126.239
lrdwatun.www.xmu.com.    IN    A    221.154.144.60
rcisgquw.www.xmu.com.    IN    A    50.30.227.173
swldkbhf.www.xmu.com.    IN    A    152.16.111.154
fhpalmqd.www.xmu.com.    IN    A    10.111.232.20
stavknxd.www.xmu.com.    IN    A    171.180.240.255
pkjdtbwy.www.xmu.com.    IN    A    255.217.172.195
ldncfwmy.www.xmu.com.    IN    A    151.86.35.124
onfwykux.www.xmu.com.    IN    A    43.27.64.240
yxfhakpo.www.xmu.com.    IN    A    49.95.66.86
xcusjblh.www.xmu.com.    IN    A    103.180.186.73
rfbwqvus.www.xmu.com.    IN    A    33.167.243.178
xighnsqk.www.xmu.com.    IN    A    233.216.25.249
wbgdpsve.www.xmu.com.    IN    A    78.65.157.31
bpxhncgi.www.xmu.com.    IN    A    143.219.65.220
upnmftyi.www.xmu.com.    IN    A    71.193.179.215
nojlfhqe.www.xmu.com.    IN    A    85.112.136.244
vkidqtuy.www.xmu.com.    IN    A    105.235.199.112
uhydxomr.www.xmu.com.    IN    A    218.8.224.220
rdawtfnh.www.xmu.com.    IN    A    172.0.136.225
rxgsdfyk.www.xmu.com.    IN    A    207.90.86.2
youngwth.www.xmu.com.    IN    A    129.34.197.59
okumnygw.www.xmu.com.    IN    A    168.232.253.219
gtswnukq.www.xmu.com.    IN    A    38.244.152.188
qbldjkxs.www.xmu.com.    IN    A    12.210.9.228
hsifwjak.www.xmu.com.    IN    A    136.6.208.163
hvqrclia.www.xmu.com.    IN    A    162.138.77.100
volxjwdb.www.xmu.com.    IN    A    56.140.172.169
lqnuitbj.www.xmu.com.    IN    A    58.54.9.21
soplmwub.www.xmu.com.    IN    A    156.194.117.211
srkacuow.www.xmu.com.    IN    A    159.48.217.39
ufdpyxbj.www.xmu.com.    IN    A    98.191.183.206
agjbilvc.www.xmu.com.    IN    A    224.118.44.252
ngwbuprq.www.xmu.com.    IN    A    119.228.48.200
imonywlu.www.xmu.com.    IN    A    232.59.7.63
rpdyuwhx.www.xmu.com.    IN    A    139.232.254.196
rqyafldb.www.xmu.com.    IN    A    226.32.45.237
nkhyfbdw.www.xmu.com.    IN    A    189.92.246.13
igvdhpyw.www.xmu.com.    IN    A    55.99.237.22
fciobwtg.www.xmu.com.    IN    A    251.75.227.111
fucqnyop.www.xmu.com.    IN    A    145.39.232.23
rnhvjxdt.www.xmu.com.    IN    A    206.136.191.187
mnvkwujy.www.xmu.com.    IN    A    24.146.173.85
arbgwlnh.www.xmu.com.    IN    A    236.16.110.245
gheikxac.www.xmu.com.    IN    A    90.107.153.51
penkiqdu.www.xmu.com.    IN    A    105.168.140.32
gmuriyvt.www.xmu.com.    IN    A    34.77.84.85
pqaetolh.www.xmu.com.    IN    A    128.241.6.249
anfdqsiw.www.xmu.com.    IN    A    173.143.110.119
prjyxmgf.www.xmu.com.    IN    A    71.15.146.77
ygcsnulm.www.xmu.com.    IN    A    19.122.140.148
ljctvifs.www.xmu.com.    IN    A    180.252.29.124
poxmfbdt.www.xmu.com.    IN    A    177.137.3.111
tghrjxao.www.xmu.com.    IN    A    250.47.181.211
ukeqmart.www.xmu.com.    IN    A    148.36.181.240
sadrgnqp.www.xmu.com.    IN    A    176.98.120.4
furakvsq.www.xmu.com.    IN    A    192.123.80.73
nlswmtkg.www.xmu.com.    IN    A    62.90.211.238
swmoepaq.www.xmu.com.    IN    A    101.244.16.32
pxrvkfao.www.xmu.com.    IN    A    76.12.75.14
ltrqfsve.www.xmu.com.    IN    A    31.171.22.100
cifwehdq.www.xmu.com.    IN    A    228.41.47.230
pwrctmjh.www.xmu.com.    IN    A    16.36.225.128
ngtyifol.www.xmu.com.    IN    A    116.136.202.237
qfkytaxc.www.xmu.com.    IN    A    95.43.104.75
lpnsvckf.www.xmu.com.    IN    A    147.171.176.37
dcmjntue.www.xmu.com.    IN    A    218.248.189.253
jxpstowh.www.xmu.com.    IN    A    231.243.198.242
vngyjhcq.www.xmu.com.    IN    A    229.10.165.151
glpquvhj.www.xmu.com.    IN    A    138.250.118.0
ulyskjcb.www.xmu.com.    IN    A    104.67.134.129
qgwvnoju.www.xmu.com.    IN    A    238.79.49.108
bqedgluv.www.xmu.com.    IN    A    20.210.143.22
uajxvpmw.www.xmu.com.    IN    A    147.128.107.228
cedrluyk.www.xmu.com.    IN    A    59.127.84.25
veupamrb.www.xmu.com.    IN    A    179.30.211.102
curtqxfi.www.xmu.com.    IN    A    177.77.47.106
swfltndr.www.xmu.com.    IN    A    72.112.2.33
wfgtdlba.www.xmu.com.    IN    A    168.164.12.137
cdyanqru.www.xmu.com.    IN    A    204.208.163.46
xqotukwm.www.xmu.com.    IN    A    197.218.71.40
lpigsnor.www.xmu.com.    IN    A    191.24.84.181
fmewokub.www.xmu.com.    IN    A    30.62.250.48
fxvjsuke.www.xmu.com.    IN    A    91.23.226.52
tceiahgk.www.xmu.com.    IN    A    178.241.177.150
xiourtqp.www.xmu.com.    IN    A    76.64.127.253
bwrtdmck.www.xmu.com.    IN    A    224.45.95.120
acsjubhx.www.xmu.com.    IN    A    232.94.86.248
okwrvysf.www.xmu.com.    IN    A    57.149.169.128
gpymrhuw.www.xmu.com.    IN    A    54.112.199.188
tyshpkni.www.xmu.com.    IN    A    178.182.50.166
enbktlgq.www.xmu.com.    IN    A    149.192.132.70
hmwdqijr.www.xmu.com.    IN    A    150.143.6.252
omnbgqdh.www.xmu.com.    IN    A    119.29.198.92
oyusaemw.www.xmu.com.    IN    A    186.26.45.141
lnecpxvr.www.xmu.com.    IN    A    244.134.62.58
batswmpu.www.xmu.com.    IN    A    179.83.233.158
kuwralom.www.xmu.com.    IN    A    134.215.90.174
urgbqlpi.www.xmu.com.    IN    A    142.205.179.195
dgpaexrf.www.xmu.com.    IN    A    185.240.238.33
pnctyblq.www.xmu.com.    IN    A    140.198.144.250
jswvemny.www.xmu.com.    IN    A    202.89.151.156
hmvjgqcd.www.xmu.com.    IN    A    23.189.12.144
ouskdqlb.www.xmu.com.    IN    A    229.240.215.96
eflayrtx.www.xmu.com.    IN    A    55.203.206.73
xdvnlimw.www.xmu.com.    IN    A    124.72.123.19
wvblhfxu.www.xmu.com.    IN    A    48.69.120.229
qowpbxdi.www.xmu.com.    IN    A    123.73.179.69
eibcyqdx.www.xmu.com.    IN    A    149.113.228.224
eskuygtl.www.xmu.com.    IN    A    100.140.4.64
saudxcqw.www.xmu.com.    IN    A    69.123.143.7
cgynvudt.www.xmu.com.    IN    A    117.25.92.215
munoghbd.www.xmu.com.    IN    A    147.222.116.242
vhxlkaqr.www.xmu.com.    IN    A    64.233.43.128
pcklsuyo.www.xmu.com.    IN    A    98.91.35.151
bwrcpoaq.www.xmu.com.    IN    A    224.99.87.213
foibcsar.www.xmu.com.    IN    A    66.23.69.100
epjahony.www.xmu.com.    IN    A    24.32.187.120
ftxilwas.www.xmu.com.    IN    A    119.133.31.22
vfwrncxk.www.xmu.com.    IN    A    100.232.181.4
slhpjagi.www.xmu.com.    IN    A    219.121.204.228
dcbswxfy.www.xmu.com.    IN    A    95.204.139.22
ltfijyos.www.xmu.com.    IN    A    208.127.220.222
fabhdycu.www.xmu.com.    IN    A    200.108.167.146
oatiwlfd.www.xmu.com.    IN    A    189.104.41.71
indjrpvg.www.xmu.com.    IN    A    99.169.221.91
obctnquj.www.xmu.com.    IN    A    177.43.194.110
befjmqdk.www.xmu.com.    IN    A    32.244.105.200
goxkluvr.www.xmu.com.    IN    A    40.248.79.185
elvojdxg.www.xmu.com.    IN    A    165.42.85.117
wmeldfbx.www.xmu.com.    IN    A    129.172.84.204
vgensutx.www.xmu.com.    IN    A    3.31.104.3
mkuqicrs.www.xmu.com.    IN    A    233.226.139.49
shkxjfql.www.xmu.com.    IN    A    176.252.84.22
gxlturwn.www.xmu.com.    IN    A    153.180.94.208
xgcheqmw.www.xmu.com.    IN    A    155.84.85.93
udivbpno.www.xmu.com.    IN    A    16.116.197.56
ubnieryv.www.xmu.com.    IN    A    36.119.86.175
cfdrthxy.www.xmu.com.    IN    A    147.193.24.224
xactknbe.www.xmu.com.    IN    A    108.156.68.242
obtkwsjm.www.xmu.com.    IN    A    130.178.173.100
votcbkyq.www.xmu.com.    IN    A    106.254.23.77
ljiukfqn.www.xmu.com.    IN    A    115.144.125.28
tfavucme.www.xmu.com.    IN    A    85.6.154.36
ftsihuga.www.xmu.com.    IN    A    135.98.138.97
ihormvta.www.xmu.com.    IN    A    88.124.188.46
ynqtamxf.www.xmu.com.    IN    A    183.34.180.54
wnhmrlkc.www.xmu.com.    IN    A    152.57.210.220
kshcblto.www.xmu.com.    IN    A    107.70.202.207
tpygouaj.www.xmu.com.    IN    A    206.232.93.158
amfwesvo.www.xmu.com.    IN    A    130.147.221.188
eohfawqd.www.xmu.com.    IN    A    213.169.133.165
daibojut.www.xmu.com.    IN    A    138.96.122.124
onrygdfu.www.xmu.com.    IN    A    55.157.175.179
hdkplxnt.www.xmu.com.    IN    A    76.126.154.159
bmpnshvq.www.xmu.com.    IN    A    178.17.79.68
wclvxjki.www.xmu.com.    IN    A    82.185.253.12
hfqvdtuc.www.xmu.com.    IN    A    127.179.145.55
gsflqmhe.www.xmu.com.    IN    A    204.35.118.118
acmvufjo.www.xmu.com.    IN    A    14.68.20.245
ofhaxged.www.xmu.com.    IN    A    58.166.161.87
tbsyqrud.www.xmu.com.    IN    A    123.109.22.95
rcmgheul.www.xmu.com.    IN    A    120.165.148.166
asdxkptn.www.xmu.com.    IN    A    226.220.181.160
xqkifplw.www.xmu.com.    IN    A    29.248.14.75
epgrwibd.www.xmu.com.    IN    A    216.170.167.242
synaruft.www.xmu.com.    IN    A    173.18.101.138
ikquyfrp.www.xmu.com.    IN    A    104.139.118.203
btfxvpge.www.xmu.com.    IN    A    135.37.115.7
inadrhyv.www.xmu.com.    IN    A    55.181.47.138
xawemsqo.www.xmu.com.    IN    A    210.123.189.185
twiufbdn.www.xmu.com.    IN    A    120.56.70.41
ylseigto.www.xmu.com.    IN    A    203.2.2.57
suxdneph.www.xmu.com.    IN    A    33.64.70.73
qircopaw.www.xmu.com.    IN    A    76.148.65.114
ikogqcfe.www.xmu.com.    IN    A    89.221.227.42
njqceksv.www.xmu.com.    IN    A    104.114.59.21
wgeykhno.www.xmu.com.    IN    A    199.108.224.176
tspnevmc.www.xmu.com.    IN    A    255.34.72.106
rjdnbeyv.www.xmu.com.    IN    A    210.68.17.64
rslqmfdt.www.xmu.com.    IN    A    188.152.238.211
buksfxeq.www.xmu.com.    IN    A    234.129.182.106
xiwovtjl.www.xmu.com.    IN    A    168.87.52.115
obstvmje.www.xmu.com.    IN    A    120.219.95.238
stgpuyhw.www.xmu.com.    IN    A    91.9.242.121
aorsckmn.www.xmu.com.    IN    A    10.209.108.145
bkewrcvl.www.xmu.com.    IN    A    121.122.52.169
upfylvnc.www.xmu.com.    IN    A    216.179.248.66
gvnhxkuy.www.xmu.com.    IN    A    240.173.130.29
bxaypqog.www.xmu.com.    IN    A    176.232.88.26
tpbaoeiy.www.xmu.com.    IN    A    38.63.215.180
arfuiwtp.www.xmu.com.    IN    A    39.95.153.168
jnvuysfh.www.xmu.com.    IN    A    224.210.195.255
qalctorm.www.xmu.com.    IN    A    187.105.246.216
rxbjaylk.www.xmu.com.    IN    A    120.121.129.56
lnkvqyhe.www.xmu.com.    IN    A    178.146.61.220
qosghfwv.www.xmu.com.    IN    A    207.118.127.43
ogebcfnd.www.xmu.com.    IN    A    210.177.207.175
pegqbfva.www.xmu.com.    IN    A    33.190.112.68
vufnjmpy.www.xmu.com.    IN    A    73.86.189.11
bicypemu.www.xmu.com.    IN    A    110.210.250.88
qfrxdwmn.www.xmu.com.    IN    A    112.37.46.61
dxjqavts.www.xmu.com.    IN    A    77.119.132.105
ecfbkqai.www.xmu.com.    IN    A    128.201.138.184
qkfusxiv.www.xmu.com.    IN    A    176.120.238.96
mexdypfs.www.xmu.com.    IN    A    148.190.220.197
xbdlugns.www.xmu.com.    IN    A    22.222.13.128
oqguxstm.www.xmu.com.    IN    A    161.33.151.235
erpncywj.www.xmu.com.    IN    A    225.208.13.191
haxtoylw.www.xmu.com.    IN    A    227.245.95.15
twfeijvc.www.xmu.com.    IN    A    11.5.197.209
mwqhekbf.www.xmu.com.    IN    A    188.117.209.224
xmtyogcb.www.xmu.com.    IN    A    102.96.254.89
elyjthpq.www.xmu.com.    IN    A    173.22.76.162
mrjwuqba.www.xmu.com.    IN    A    132.129.147.246
syrbdjxk.www.xmu.com.    IN    A    226.197.241.109
tgjsolhm.www.xmu.com.    IN    A    188.129.241.179
ieudnvqr.www.xmu.com.    IN    A    62.135.79.104
hybsvlpx.www.xmu.com.    IN    A    68.43.37.92
wmlfqxvp.www.xmu.com.    IN    A    35.61.11.46
yxsbdauk.www.xmu.com.    IN    A    236.101.2.241
evycxdwf.www.xmu.com.    IN    A    176.69.194.32
jebnxqfc.www.xmu.com.    IN    A    75.150.153.180
sojinfeh.www.xmu.com.    IN    A    196.105.174.206
sfuxnihd.www.xmu.com.    IN    A    159.214.91.151
inlgsyuk.www.xmu.com.    IN    A    87.173.87.69
mhyjlbnf.www.xmu.com.    IN    A    122.70.29.78
tecdwblf.www.xmu.com.    IN    A    199.36.205.57
mhcqrnui.www.xmu.com.    IN    A    158.178.162.151
yshulvon.www.xmu.com.    IN    A    73.35.174.70
ynuxteif.www.xmu.com.    IN    A    247.48.31.126
euolqcni.www.xmu.com.    IN    A    174.7.226.73
omatvbud.www.xmu.com.    IN    A    61.160.254.198
xcswpfgv.www.xmu.com.    IN    A    10.74.214.7
belhrasq.www.xmu.com.    IN    A    222.64.101.117
wtbuqdgx.www.xmu.com.    IN    A    180.162.47.236
bhkcsnvr.www.xmu.com.    IN    A    209.145.14.144
ybtwcivk.www.xmu.com.    IN    A    187.61.3.118
atklhifo.www.xmu.com.    IN    A    23.16.83.143
ljickhuv.www.xmu.com.    IN    A    132.206.1.26
iukjwshd.www.xmu.com.    IN    A    10.34.51.69
xcfheljp.www.xmu.com.    IN    A    107.122.205.25
fjegopxy.www.xmu.com.    IN    A    62.89.154.160
fmeisqln.www.xmu.com.    IN    A    27.241.5.44
vgupcrsl.www.xmu.com.    IN    A    135.254.178.147
yvnfqrgs.www.xmu.com.    IN    A    66.254.121.115
sovifnmg.www.xmu.com.    IN    A    250.77.114.246
xlqciunm.www.xmu.com.    IN    A    182.7.22.165
aifydqwu.www.xmu.com.    IN    A    213.41.164.234
envgfxmd.www.xmu.com.    IN    A    139.48.52.91
fyhtwbsx.www.xmu.com.    IN    A    38.84.253.70
cwiohlap.www.xmu.com.    IN    A    227.252.151.235
bradsixf.www.xmu.com.    IN    A    61.44.186.151
xkvefajg.www.xmu.com.    IN    A    22.222.183.93
nevgxqrw.www.xmu.com.    IN    A    79.247.76.41
htmnedgo.www.xmu.com.    IN    A    5.74.225.105
sfkxhymg.www.xmu.com.    IN    A    87.171.74.36
hkxbwcyo.www.xmu.com.    IN    A    177.37.54.47
sxplyafc.www.xmu.com.    IN    A    172.218.143.22
uopbyvhe.www.xmu.com.    IN    A    85.162.80.67
vtqwprau.www.xmu.com.    IN    A    198.229.106.52
oagjwqke.www.xmu.com.    IN    A    164.118.51.209
lvfyepms.www.xmu.com.    IN    A    134.199.205.52
xolnehwc.www.xmu.com.    IN    A    110.207.121.153
gnfkthdq.www.xmu.com.    IN    A    8.65.225.173
mtgsicph.www.xmu.com.    IN    A    7.183.154.98
aftmqysu.www.xmu.com.    IN    A    254.189.139.76
exdlvhng.www.xmu.com.    IN    A    175.201.155.209
arbdyjmo.www.xmu.com.    IN    A    102.178.79.229
gsadlcub.www.xmu.com.    IN    A    68.79.43.37
tfkecgqh.www.xmu.com.    IN    A    233.45.235.1
brotjigq.www.xmu.com.    IN    A    241.163.251.242
hvemkngc.www.xmu.com.    IN    A    115.250.110.138
lpuviato.www.xmu.com.    IN    A    148.187.163.203
iqjwsghu.www.xmu.com.    IN    A    17.46.180.33
slvnehmd.www.xmu.com.    IN    A    89.89.167.144
bcwamyfq.www.xmu.com.    IN    A    43.13.43.27
rtpkcobe.www.xmu.com.    IN    A    162.152.155.187
grfxvnch.www.xmu.com.    IN    A    119.113.75.20
sebjuvxr.www.xmu.com.    IN    A    100.15.192.131
pmgjyvil.www.xmu.com.    IN    A    119.228.248.66
egnukhrb.www.xmu.com.    IN    A    249.222.191.97
jnwfecia.www.xmu.com.    IN    A    116.252.160.223
ewyjrtdq.www.xmu.com.    IN    A    24.28.123.134
ikmopycb.www.xmu.com.    IN    A    7.228.227.133
iyhsujdx.www.xmu.com.    IN    A    109.28.23.171
gayieovq.www.xmu.com.    IN    A    119.112.88.36
gcsutnob.www.xmu.com.    IN    A    76.68.81.199
ioyftlxp.www.xmu.com.    IN    A    129.182.74.50
qtohmbix.www.xmu.com.    IN    A    123.173.188.31
besjhogy.www.xmu.com.    IN    A    239.179.162.87
upfmoqls.www.xmu.com.    IN    A    87.15.235.32
ukyenrag.www.xmu.com.    IN    A    57.18.19.117
xtyrqoaj.www.xmu.com.    IN    A    209.36.105.167
qegtabow.www.xmu.com.    IN    A    102.203.133.192
dmsqvxjk.www.xmu.com.    IN    A    151.59.23.10
anbjlivm.www.xmu.com.    IN    A    204.199.255.255
qrfwyitu.www.xmu.com.    IN    A    145.225.100.221
keoiqrva.www.xmu.com.    IN    A    142.242.154.88
rwopaciq.www.xmu.com.    IN    A    140.175.124.35
ihbngvfl.www.xmu.com.    IN    A    186.63.6.21
floemijs.www.xmu.com.    IN    A    79.194.246.12
blnwytrq.www.xmu.com.    IN    A    58.91.89.248
sadkjvrf.www.xmu.com.    IN    A    85.207.168.163
vnpumfiy.www.xmu.com.    IN    A    88.25.185.38
ovjpnmsh.www.xmu.com.    IN    A    75.65.248.29
jhbwfmaq.www.xmu.com.    IN    A    180.203.140.148
bpfroxqs.www.xmu.com.    IN    A    169.237.240.97
lhgrtwic.www.xmu.com.    IN    A    129.49.231.117
mkjhqtea.www.xmu.com.    IN    A    191.229.92.28
toaqcyfu.www.xmu.com.    IN    A    241.208.71.25
hyewlvno.www.xmu.com.    IN    A    177.255.157.25
xibvqyro.www.xmu.com.    IN    A    123.109.129.184
gcifokys.www.xmu.com.    IN    A    100.126.200.69
ohdtpcjk.www.xmu.com.    IN    A    59.47.205.225
yuvpwkoh.www.xmu.com.    IN    A    225.71.83.40
qsjnbegh.www.xmu.com.    IN    A    64.71.170.55
kijhtgxo.www.xmu.com.    IN    A    32.62.129.207
udxmtcfv.www.xmu.com.    IN    A    94.65.10.58
sdvcybut.www.xmu.com.    IN    A    145.54.239.89
wldyamek.www.xmu.com.    IN    A    244.82.90.106
tduibqya.www.xmu.com.    IN    A    204.196.96.33
xbsfvydr.www.xmu.com.    IN    A    216.252.40.56
vsikldht.www.xmu.com.    IN    A    201.152.152.133
idmcbwte.www.xmu.com.    IN    A    104.180.209.147
hapikcto.www.xmu.com.    IN    A    230.136.155.143
uxwedtso.www.xmu.com.    IN    A    44.253.4.50
gisockha.www.xmu.com.    IN    A    59.225.253.103
guaoilvm.www.xmu.com.    IN    A    82.246.27.247
ygsktuqw.www.xmu.com.    IN    A    211.37.47.193
pckmvdig.www.xmu.com.    IN    A    100.218.236.170
ykvwauft.www.xmu.com.    IN    A    142.10.169.245
iqhrtedp.www.xmu.com.    IN    A    214.70.30.169
otmwfjyg.www.xmu.com.    IN    A    201.222.224.189
rsdlqufy.www.xmu.com.    IN    A    215.50.109.81
xslpvnhq.www.xmu.com.    IN    A    88.140.247.106
yqnvjahm.www.xmu.com.    IN    A    98.222.63.191
iquvjpct.www.xmu.com.    IN    A    93.103.45.131
tkfouyxh.www.xmu.com.    IN    A    158.238.223.73
pyajgdtq.www.xmu.com.    IN    A    26.202.234.24
cwrefdho.www.xmu.com.    IN    A    9.156.227.78
twrbxlgf.www.xmu.com.    IN    A    201.209.29.30
kqnwhcio.www.xmu.com.    IN    A    209.61.201.107
kuyeqtld.www.xmu.com.    IN    A    64.117.215.25
erfxtbgp.www.xmu.com.    IN    A    179.176.97.118
kqfgorih.www.xmu.com.    IN    A    39.172.125.142
asrywvnf.www.xmu.com.    IN    A    11.6.2.74
huktyrfb.www.xmu.com.    IN    A    211.196.111.93
rlcgxmub.www.xmu.com.    IN    A    203.111.194.58
rsobcina.www.xmu.com.    IN    A    183.48.178.155
tqdbwsjk.www.xmu.com.    IN    A    88.91.243.44
sjugtxwc.www.xmu.com.    IN    A    155.255.29.222
pxdyhwan.www.xmu.com.    IN    A    232.44.103.198
mdrhysip.www.xmu.com.    IN    A    237.3.232.239
fpseblit.www.xmu.com.    IN    A    144.191.248.97
huqlfgno.www.xmu.com.    IN    A    229.244.93.211
nakhsgmj.www.xmu.com.    IN    A    242.119.68.149
qcskweuy.www.xmu.com.    IN    A    83.173.59.194
snckhatu.www.xmu.com.    IN    A    121.86.202.15
kxoswcep.www.xmu.com.    IN    A    35.164.118.145
ntyrcaxg.www.xmu.com.    IN    A    119.193.245.79
wrmvynsi.www.xmu.com.    IN    A    161.122.82.198
ngapkloq.www.xmu.com.    IN    A    93.63.98.10
qhugnkpa.www.xmu.com.    IN    A    197.175.105.209
hiasgjor.www.xmu.com.    IN    A    26.48.44.122
hxntbmwu.www.xmu.com.    IN    A    142.154.178.47
sihvykuo.www.xmu.com.    IN    A    160.203.174.146
hxbwyfqt.www.xmu.com.    IN    A    42.21.63.92
emvpxnjq.www.xmu.com.    IN    A    155.174.240.191
bfehoujd.www.xmu.com.    IN    A    68.142.231.148
dswxjoft.www.xmu.com.    IN    A    92.213.53.65
krivwdgh.www.xmu.com.    IN    A    39.112.144.21
ycvklsgq.www.xmu.com.    IN    A    5.69.241.249
nkyciwrt.www.xmu.com.    IN    A    242.134.230.61
eowkmbvx.www.xmu.com.    IN    A    190.106.8.245
gyjdmflr.www.xmu.com.    IN    A    255.2.76.72
exqutgld.www.xmu.com.    IN    A    247.84.195.46
yjncxesd.www.xmu.com.    IN    A    8.19.212.103
flqvympb.www.xmu.com.    IN    A    199.237.63.46
slpxrdig.www.xmu.com.    IN    A    63.170.73.77
imtylubw.www.xmu.com.    IN    A    96.206.210.99
umroqnvl.www.xmu.com.    IN    A    36.141.203.148
bpiytqjg.www.xmu.com.    IN    A    130.130.228.137
ikowrgsm.www.xmu.com.    IN    A    148.189.233.82
oajrsetb.www.xmu.com.    IN    A    7.68.155.246
puhdslct.www.xmu.com.    IN    A    124.65.83.126
dvrbqsji.www.xmu.com.    IN    A    211.129.17.150
pwgfjmdo.www.xmu.com.    IN    A    38.152.218.239
oykcgvqn.www.xmu.com.    IN    A    244.198.179.89
gabtofpi.www.xmu.com.    IN    A    94.179.125.252
pvmkcylw.www.xmu.com.    IN    A    100.39.19.57
gcomhtjf.www.xmu.com.    IN    A    120.162.174.36
ulinydtv.www.xmu.com.    IN    A    151.187.31.151
sflevbak.www.xmu.com.    IN    A    61.75.192.241
jafgchmu.www.xmu.com.    IN    A    11.242.99.140
vgyiatrb.www.xmu.com.    IN    A    6.207.105.29
dneifmup.www.xmu.com.    IN    A    215.101.218.208
pydtbjha.www.xmu.com.    IN    A    127.96.52.188
ndymatiq.www.xmu.com.    IN    A    38.252.228.255
gohprmic.www.xmu.com.    IN    A    41.183.110.201
avenyfxg.www.xmu.com.    IN    A    112.89.99.193
rvptwbjy.www.xmu.com.    IN    A    208.74.63.176
rsypajvu.www.xmu.com.    IN    A    213.183.42.83
ucxiejpo.www.xmu.com.    IN    A    136.56.76.200
vcpaufxh.www.xmu.com.    IN    A    208.225.143.70
qntsuxmd.www.xmu.com.    IN    A    71.22.98.237
kuyvjcdq.www.xmu.com.    IN    A    119.95.51.150
jgasrvlu.www.xmu.com.    IN    A    131.34.91.228
jmnaldbx.www.xmu.com.    IN    A    58.105.19.37
ktmrcdlo.www.xmu.com.    IN    A    14.192.28.37
wbkeqnrh.www.xmu.com.    IN    A    20.51.138.136
adrhsvut.www.xmu.com.    IN    A    219.138.240.229
emoctqhj.www.xmu.com.    IN    A    42.222.139.162
jrgekptb.www.xmu.com.    IN    A    3.212.110.173
nqotkahp.www.xmu.com.    IN    A    117.125.108.179
vfeimwqo.www.xmu.com.    IN    A    204.75.54.223
wjqavgny.www.xmu.com.    IN    A    25.232.160.185
cgiuqdyj.www.xmu.com.    IN    A    41.185.77.242
ihmqafxe.www.xmu.com.    IN    A    98.199.83.48
hjcednvw.www.xmu.com.    IN    A    133.199.181.68
yrnbfutc.www.xmu.com.    IN    A    66.67.100.136
fhqvwbmg.www.xmu.com.    IN    A    67.1.122.76
pfcqjres.www.xmu.com.    IN    A    130.46.191.83
gljqxudo.www.xmu.com.    IN    A    46.185.178.160
knlxbdyt.www.xmu.com.    IN    A    189.80.67.40
shmeaigx.www.xmu.com.    IN    A    168.198.29.100
yfdrhubs.www.xmu.com.    IN    A    144.172.185.208
tchbiprd.www.xmu.com.    IN    A    183.158.25.26
riqohdmt.www.xmu.com.    IN    A    99.193.123.186
ueqoxfsb.www.xmu.com.    IN    A    81.24.166.3
lgpsjtwc.www.xmu.com.    IN    A    57.197.124.47
chjafylu.www.xmu.com.    IN    A    148.183.35.0
tphkxvcd.www.xmu.com.    IN    A    136.224.12.71
vfyaknwi.www.xmu.com.    IN    A    124.191.130.137
oqibldkc.www.xmu.com.    IN    A    79.7.93.14
mkydtqgi.www.xmu.com.    IN    A    156.37.203.98
kyndahgj.www.xmu.com.    IN    A    8.202.14.209
jqlvfsox.www.xmu.com.    IN    A    70.47.63.152
qptyhmaw.www.xmu.com.    IN    A    112.82.159.171
hwultjxf.www.xmu.com.    IN    A    86.90.66.91
