; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR tju.com. @ns2.tju.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
tju.com.			      14400 IN NS	ns1.tju.com.
ns1.tju.com.			      14400 IN A	10.166.21.13

www.tju.com.		      14400 IN NS	ns1.www.tju.com.
ns1.www.tju.com.		      14400 IN A		10.166.21.14

science.tju.com.		      14400 IN NS	ns1.science.tju.com.
ns1.science.tju.com.		      14400 IN A		10.166.21.15

arch.tju.com.		      14400 IN NS	ns1.arch.tju.com.
ns1.arch.tju.com.		      14400 IN A		10.166.21.12

tju.com.			      14400 IN MX	10 archtp.tju.edu.
tju.com.			      14400 IN TXT	"v=spf1 a mx ~all"
ycnxqdgk.tju.com.        IN    A    165.243.158.176
jltbpfdy.tju.com.        IN    A    28.184.80.131
thmyvkig.tju.com.        IN    A    99.33.208.220
qukxjtgb.tju.com.        IN    A    199.137.1.10
bxajkmwu.tju.com.        IN    A    81.42.179.188
otcwfiuj.tju.com.        IN    A    231.187.248.83
tmudlbhj.tju.com.        IN    A    54.53.170.55
hrjkyibt.tju.com.        IN    A    24.78.104.109
vegxwfjl.tju.com.        IN    A    204.185.73.165
ucsbfgia.tju.com.        IN    A    34.41.57.116
pbvjrhuf.tju.com.        IN    A    34.94.69.213
haiqtkln.tju.com.        IN    A    133.206.178.193
mhuysona.tju.com.        IN    A    166.36.78.56
knbomriu.tju.com.        IN    A    68.168.89.195
coaerlkg.tju.com.        IN    A    59.185.126.130
msypcglu.tju.com.        IN    A    192.121.166.178
ywngboqa.tju.com.        IN    A    89.161.246.97
ykcdabti.tju.com.        IN    A    231.227.234.42
ihbotups.tju.com.        IN    A    88.73.172.215
davjusbh.tju.com.        IN    A    247.99.143.11
hpmjcwyf.tju.com.        IN    A    91.228.151.168
snmihucw.tju.com.        IN    A    2.139.57.235
kjpefwbs.tju.com.        IN    A    230.38.196.62
yvlutwsx.tju.com.        IN    A    183.133.157.239
bgipdaqj.tju.com.        IN    A    10.1.56.76
edawlhjg.tju.com.        IN    A    225.69.151.53
oymhcula.tju.com.        IN    A    242.135.239.42
wchtnubo.tju.com.        IN    A    253.29.217.90
hnpsdqke.tju.com.        IN    A    73.18.178.27
jlasumgw.tju.com.        IN    A    136.170.213.151
gkymvnob.tju.com.        IN    A    38.156.126.243
xfrnvquk.tju.com.        IN    A    81.55.148.152
cngamdvs.tju.com.        IN    A    140.241.49.226
lqapxsme.tju.com.        IN    A    221.43.52.255
orxnacef.tju.com.        IN    A    201.151.161.50
rvywmixh.tju.com.        IN    A    25.28.194.145
vmegxsbk.tju.com.        IN    A    153.144.44.125
qunmleov.tju.com.        IN    A    228.148.255.13
pqkomcwv.tju.com.        IN    A    224.177.45.89
fvurthxy.tju.com.        IN    A    87.157.160.2
pniwrdyv.tju.com.        IN    A    37.60.85.33
pwbnutkv.tju.com.        IN    A    132.19.31.47
dwsyhvel.tju.com.        IN    A    41.233.92.140
rfcmwagb.tju.com.        IN    A    230.50.139.126
phdeicou.tju.com.        IN    A    123.238.34.75
vfbwasry.tju.com.        IN    A    238.112.209.227
biravgxf.tju.com.        IN    A    205.112.137.91
jclirvgk.tju.com.        IN    A    146.0.177.149
hwpsijbc.tju.com.        IN    A    103.186.210.255
ovbfqrda.tju.com.        IN    A    208.83.100.37
xusjwvrb.tju.com.        IN    A    112.27.47.78
gbeyqfxj.tju.com.        IN    A    206.126.134.21
knealxbi.tju.com.        IN    A    149.53.204.180
ksqltdhc.tju.com.        IN    A    235.69.241.79
tryvdwfj.tju.com.        IN    A    59.214.48.46
bknoywsh.tju.com.        IN    A    58.100.247.19
yeurihtd.tju.com.        IN    A    59.6.247.144
vqxhnyli.tju.com.        IN    A    2.114.127.94
jtoakdys.tju.com.        IN    A    94.87.216.16
biokpgnd.tju.com.        IN    A    123.203.126.64
xmbfkwju.tju.com.        IN    A    100.223.72.105
krmtxpwd.tju.com.        IN    A    112.119.106.87
xrnsakfc.tju.com.        IN    A    214.237.92.163
wcmkvnab.tju.com.        IN    A    127.42.190.46
uvawkgry.tju.com.        IN    A    229.108.69.64
skqwlvxu.tju.com.        IN    A    22.180.3.11
rhiaqxke.tju.com.        IN    A    85.23.195.141
wafhybpd.tju.com.        IN    A    239.79.176.254
nckpwxif.tju.com.        IN    A    84.239.27.105
tvompquh.tju.com.        IN    A    32.235.80.63
ltpqbnxj.tju.com.        IN    A    164.89.116.173
hkeitsfo.tju.com.        IN    A    115.52.76.203
mdpnjiuo.tju.com.        IN    A    65.82.212.40
tilfgdwb.tju.com.        IN    A    18.230.215.182
wjtiyaql.tju.com.        IN    A    134.216.51.41
elygoquk.tju.com.        IN    A    179.117.169.76
flpuaesm.tju.com.        IN    A    51.220.208.186
djuvifmn.tju.com.        IN    A    207.207.206.52
xsmyakor.tju.com.        IN    A    56.201.16.196
iqtxrvyf.tju.com.        IN    A    252.104.110.219
favksown.tju.com.        IN    A    21.60.252.200
emghuqsl.tju.com.        IN    A    163.207.43.80
qiuwfdjb.tju.com.        IN    A    46.184.90.145
rjsgnpfh.tju.com.        IN    A    0.84.29.149
ltciewnh.tju.com.        IN    A    246.28.50.141
bxcfiert.tju.com.        IN    A    186.178.249.176
ajfglhyr.tju.com.        IN    A    22.154.229.120
yrsfuvac.tju.com.        IN    A    2.94.169.37
hbvqcgwx.tju.com.        IN    A    221.165.52.79
uqtxksdy.tju.com.        IN    A    164.36.111.94
rxabchsu.tju.com.        IN    A    89.59.38.17
jykipnxf.tju.com.        IN    A    228.68.160.164
npwiofxu.tju.com.        IN    A    240.19.18.186
pdlrceuy.tju.com.        IN    A    41.42.124.54
xfevblog.tju.com.        IN    A    79.240.171.131
nqgmrevo.tju.com.        IN    A    132.93.176.245
gtdqofpx.tju.com.        IN    A    240.117.130.48
nabefgwk.tju.com.        IN    A    150.173.216.42
wnytuerv.tju.com.        IN    A    231.248.228.28
bdhfimgl.tju.com.        IN    A    166.169.190.27
ebvgpudc.tju.com.        IN    A    197.52.52.145
uwcgandx.tju.com.        IN    A    171.147.28.5
vpsnuegk.tju.com.        IN    A    134.170.88.236
cxevhfrb.tju.com.        IN    A    108.66.223.52
dgmwnotv.tju.com.        IN    A    24.86.40.143
sjvercmg.tju.com.        IN    A    139.43.253.150
dlbfgmhj.tju.com.        IN    A    122.87.231.233
gqerbsyi.tju.com.        IN    A    63.248.58.237
khdoxrgj.tju.com.        IN    A    3.31.159.225
enfydxip.tju.com.        IN    A    212.97.241.58
nadsuewq.tju.com.        IN    A    216.76.235.84
ihjngqye.tju.com.        IN    A    180.131.108.4
ibktlsrq.tju.com.        IN    A    133.148.253.163
gfxwroyu.tju.com.        IN    A    69.178.169.88
yvgmecjx.tju.com.        IN    A    196.181.46.87
vprenhag.tju.com.        IN    A    41.40.235.171
wopingts.tju.com.        IN    A    179.61.99.220
xhbisfau.tju.com.        IN    A    170.205.107.171
wlvqeptu.tju.com.        IN    A    160.18.170.114
cthdkils.tju.com.        IN    A    42.134.225.225
gniycfrt.tju.com.        IN    A    249.229.11.140
evrwhdja.tju.com.        IN    A    188.215.2.49
pcfwmxot.tju.com.        IN    A    226.106.198.34
kvnpscbl.tju.com.        IN    A    12.77.230.63
jowutbfx.tju.com.        IN    A    143.153.194.237
yorxjgte.tju.com.        IN    A    39.244.108.69
jorwctux.tju.com.        IN    A    21.95.159.121
ruxyhstg.tju.com.        IN    A    238.1.100.249
vyhojpmk.tju.com.        IN    A    149.223.166.5
bfhigqlo.tju.com.        IN    A    24.158.104.234
hmjxgkwr.tju.com.        IN    A    243.186.251.193
iwdloptj.tju.com.        IN    A    12.35.136.227
uyhbqage.tju.com.        IN    A    129.216.71.5
prbfoeaq.tju.com.        IN    A    151.146.112.163
ebxjkhou.tju.com.        IN    A    41.132.159.20
xfhnmorc.tju.com.        IN    A    76.169.24.145
tmuvcbil.tju.com.        IN    A    91.67.70.130
ghlrbxdq.tju.com.        IN    A    98.54.31.188
nwmxabfj.tju.com.        IN    A    252.193.81.239
gfjovpcr.tju.com.        IN    A    181.168.114.25
avtiuhmy.tju.com.        IN    A    64.201.1.170
rexpmucf.tju.com.        IN    A    170.108.16.253
twdlsvuy.tju.com.        IN    A    160.1.202.228
ifmehpdn.tju.com.        IN    A    17.233.96.191
phgxukmj.tju.com.        IN    A    47.33.101.18
nfechbld.tju.com.        IN    A    1.83.201.111
ynkgejoh.tju.com.        IN    A    166.151.152.165
ivcalyjr.tju.com.        IN    A    229.69.100.115
tmaqrosy.tju.com.        IN    A    169.177.84.139
ldiwpgbr.tju.com.        IN    A    101.185.226.116
tpnbrdgi.tju.com.        IN    A    69.198.90.27
kgxpwbfa.tju.com.        IN    A    230.106.34.182
degakvub.tju.com.        IN    A    235.228.140.208
drbtuygm.tju.com.        IN    A    225.88.76.2
fbsxmvuq.tju.com.        IN    A    229.186.83.238
aokcqhmt.tju.com.        IN    A    88.162.52.18
ltbechvj.tju.com.        IN    A    92.79.218.120
eqyajtnl.tju.com.        IN    A    4.183.12.15
pcfdenrb.tju.com.        IN    A    112.244.159.225
eltryofh.tju.com.        IN    A    243.103.228.159
eaniyxml.tju.com.        IN    A    167.176.161.232
vjwlhsmd.tju.com.        IN    A    112.169.118.4
xpgbwmcs.tju.com.        IN    A    123.73.56.153
yacupgvn.tju.com.        IN    A    182.193.54.135
btpmahyq.tju.com.        IN    A    187.247.126.218
bhmwkycd.tju.com.        IN    A    207.87.168.139
jietxosn.tju.com.        IN    A    176.153.252.169
isykhdmv.tju.com.        IN    A    25.125.251.105
pbgrtidm.tju.com.        IN    A    103.65.181.16
biankxgm.tju.com.        IN    A    16.2.78.215
fiekgpbn.tju.com.        IN    A    215.100.78.123
dvetngsj.tju.com.        IN    A    69.62.57.78
ixkjwcqt.tju.com.        IN    A    37.178.122.177
rqmdbpiw.tju.com.        IN    A    11.248.182.201
wsfuaced.tju.com.        IN    A    226.118.31.19
keyhfgox.tju.com.        IN    A    25.159.123.184
lbsuvdgi.tju.com.        IN    A    149.91.20.141
lhuidxyg.tju.com.        IN    A    95.36.227.112
dynmawgv.tju.com.        IN    A    56.8.58.84
jafxybmo.tju.com.        IN    A    223.9.51.157
hkfembus.tju.com.        IN    A    138.172.171.83
owdsfthc.tju.com.        IN    A    238.236.106.249
wiksvhnu.tju.com.        IN    A    100.103.126.176
wqxavbfn.tju.com.        IN    A    11.168.146.225
obwexklj.tju.com.        IN    A    176.133.248.161
uposklnh.tju.com.        IN    A    27.48.204.176
aupyndvi.tju.com.        IN    A    48.168.33.121
vmidknqs.tju.com.        IN    A    50.131.82.197
yledapnv.tju.com.        IN    A    180.231.247.194
xqakbode.tju.com.        IN    A    75.49.161.119
aiowmnhq.tju.com.        IN    A    135.72.57.97
djxtqibs.tju.com.        IN    A    159.205.211.194
qabgucdx.tju.com.        IN    A    67.209.242.123
hmdvtboa.tju.com.        IN    A    95.113.215.47
utslnohi.tju.com.        IN    A    81.159.42.252
rdsoeipf.tju.com.        IN    A    104.112.173.179
euspoqgf.tju.com.        IN    A    129.227.39.19
akoqpcwg.tju.com.        IN    A    99.60.200.203
dvbahnlf.tju.com.        IN    A    245.145.158.83
asjrlpkf.tju.com.        IN    A    107.91.144.64
mlqpexfc.tju.com.        IN    A    9.105.145.214
kyfxwruc.tju.com.        IN    A    91.111.112.197
egivfkrw.tju.com.        IN    A    70.233.159.213
grqdbxfi.tju.com.        IN    A    24.233.211.194
oiblpkre.tju.com.        IN    A    184.250.149.234
lfhmcido.tju.com.        IN    A    8.85.39.76
wsbmneuy.tju.com.        IN    A    199.215.119.67
gsrahexq.tju.com.        IN    A    186.175.198.112
doxngfqw.tju.com.        IN    A    105.40.12.137
jmnrsdqw.tju.com.        IN    A    244.253.200.255
jthbynkg.tju.com.        IN    A    217.169.128.180
ulvrhtxf.tju.com.        IN    A    7.62.102.25
mhsoygir.tju.com.        IN    A    161.120.46.167
gpembswc.tju.com.        IN    A    168.171.2.180
omrwdypc.tju.com.        IN    A    32.1.252.43
rspydwli.tju.com.        IN    A    83.219.1.196
nbqlkudx.tju.com.        IN    A    191.162.63.54
editnsya.tju.com.        IN    A    104.134.235.202
eijhgpdf.tju.com.        IN    A    53.165.176.245
dnpsavxo.tju.com.        IN    A    63.130.51.155
mparievx.tju.com.        IN    A    204.190.32.249
gjlwsknr.tju.com.        IN    A    173.164.83.71
oaveyhlx.tju.com.        IN    A    24.210.104.229
ptcmkonv.tju.com.        IN    A    250.192.219.220
bdothnje.tju.com.        IN    A    48.75.178.72
vguxtble.tju.com.        IN    A    211.117.199.50
dvhtmqby.tju.com.        IN    A    171.167.69.132
cdjsxqfh.tju.com.        IN    A    121.67.63.23
vyetwkpl.tju.com.        IN    A    158.27.80.148
tydljwog.tju.com.        IN    A    13.195.51.151
xgopkmyh.tju.com.        IN    A    14.199.45.98
vdkqgeuc.tju.com.        IN    A    99.48.192.156
hwtpxday.tju.com.        IN    A    248.185.221.49
xbkthdyr.tju.com.        IN    A    114.147.139.148
wiptecds.tju.com.        IN    A    146.241.225.42
obpalytu.tju.com.        IN    A    139.184.130.14
ghqdblxw.tju.com.        IN    A    233.77.7.213
xowkfqlr.tju.com.        IN    A    125.157.182.162
ptjdmohb.tju.com.        IN    A    162.64.97.95
laebmfog.tju.com.        IN    A    34.221.145.132
oirscuwm.tju.com.        IN    A    94.110.60.83
ljsndymo.tju.com.        IN    A    26.9.228.96
frulihxk.tju.com.        IN    A    193.55.28.13
uqfbvahy.tju.com.        IN    A    222.116.176.39
kcnsbgpj.tju.com.        IN    A    208.24.89.215
dmavhgnj.tju.com.        IN    A    154.19.42.169
rhtnopfw.tju.com.        IN    A    133.140.226.161
oxvsfdpg.tju.com.        IN    A    187.119.41.4
fphlrtmx.tju.com.        IN    A    140.207.225.121
nyemjcpk.tju.com.        IN    A    251.170.182.178
atelosxj.tju.com.        IN    A    37.28.136.144
wvklqnur.tju.com.        IN    A    241.196.122.4
ltcmxbpe.tju.com.        IN    A    66.123.84.82
gmciotlk.tju.com.        IN    A    105.15.100.40
bmaflpgy.tju.com.        IN    A    204.148.237.108
bdyesmql.tju.com.        IN    A    126.25.108.215
qohslagn.tju.com.        IN    A    38.182.80.5
qofvbhas.tju.com.        IN    A    140.45.159.71
bhxqjcka.tju.com.        IN    A    98.232.202.92
caluwhqs.tju.com.        IN    A    135.119.133.136
xceahvyq.tju.com.        IN    A    216.154.58.161
joqkwxne.tju.com.        IN    A    202.26.58.170
tlxgkcvp.tju.com.        IN    A    4.152.99.149
dehawmgx.tju.com.        IN    A    33.4.196.220
mtqylsie.tju.com.        IN    A    88.53.84.19
lstandvx.tju.com.        IN    A    51.160.216.44
gwcyoemi.tju.com.        IN    A    83.206.129.149
rwcdfnaq.tju.com.        IN    A    56.179.69.233
kneltshq.tju.com.        IN    A    225.58.228.95
owekvgty.tju.com.        IN    A    251.249.23.207
gcjubiql.tju.com.        IN    A    162.172.238.213
kiqvfynw.tju.com.        IN    A    49.20.182.110
lfvehwnr.tju.com.        IN    A    157.115.185.54
clwtdevg.tju.com.        IN    A    206.218.240.18
efxklsqp.tju.com.        IN    A    138.177.0.172
tvcxobwy.tju.com.        IN    A    152.35.59.235
fwrldkxb.tju.com.        IN    A    135.178.186.164
qwpmgcyv.tju.com.        IN    A    34.190.90.62
dglmabix.tju.com.        IN    A    231.231.138.247
xkvelgis.tju.com.        IN    A    85.71.44.8
cpkrvexf.tju.com.        IN    A    163.78.89.241
raxgkpnd.tju.com.        IN    A    25.250.169.177
jmhpefgv.tju.com.        IN    A    157.121.1.87
sowpiekd.tju.com.        IN    A    241.101.216.77
vwdsogey.tju.com.        IN    A    20.204.142.102
jklsrxdc.tju.com.        IN    A    241.16.53.201
cgeybmkv.tju.com.        IN    A    194.153.41.126
cwfytgvs.tju.com.        IN    A    253.82.100.138
brldmfco.tju.com.        IN    A    39.213.3.164
cegnvsjr.tju.com.        IN    A    231.48.207.3
thwlapvb.tju.com.        IN    A    74.143.96.59
fjsonkpr.tju.com.        IN    A    31.88.99.235
fbslyrtg.tju.com.        IN    A    144.133.116.20
gletarjk.tju.com.        IN    A    171.88.154.244
ysxmtecg.tju.com.        IN    A    51.216.57.198
eyvrhoap.tju.com.        IN    A    174.187.178.222
owgxyirs.tju.com.        IN    A    18.172.254.96
leptbymi.tju.com.        IN    A    40.37.87.96
cdmlvqho.tju.com.        IN    A    235.194.109.13
wbvptoyn.tju.com.        IN    A    198.6.220.84
hymcrova.tju.com.        IN    A    148.114.214.126
rueaifnj.tju.com.        IN    A    7.249.64.163
noxgwtva.tju.com.        IN    A    188.119.123.137
xrkduwgl.tju.com.        IN    A    103.170.81.212
opxdskfj.tju.com.        IN    A    49.59.44.252
uvfarjxc.tju.com.        IN    A    6.217.238.254
ucjtyfmx.tju.com.        IN    A    161.50.167.221
tvlckoam.tju.com.        IN    A    81.237.234.70
unmsirtl.tju.com.        IN    A    82.128.33.110
trojibeg.tju.com.        IN    A    214.26.191.250
esipwcaf.tju.com.        IN    A    140.237.71.78
ckmqdapx.tju.com.        IN    A    230.248.246.171
glyfovmt.tju.com.        IN    A    66.102.140.143
wlxaojbs.tju.com.        IN    A    233.154.247.47
bcvdgepl.tju.com.        IN    A    124.179.253.216
cqlkhnrj.tju.com.        IN    A    28.197.203.219
mxbidfje.tju.com.        IN    A    122.197.52.167
uwnrhgfy.tju.com.        IN    A    138.97.10.8
rtyvsqjm.tju.com.        IN    A    227.97.246.199
tnjswidp.tju.com.        IN    A    106.8.202.162
earlyfwo.tju.com.        IN    A    124.190.191.63
saoiexjw.tju.com.        IN    A    198.219.195.14
jprebqwy.tju.com.        IN    A    199.191.42.145
quwloabd.tju.com.        IN    A    4.186.218.179
tfkueijp.tju.com.        IN    A    250.201.51.93
dhjoyvgc.tju.com.        IN    A    182.133.20.246
lduwxprn.tju.com.        IN    A    83.130.58.6
acdmgjeb.tju.com.        IN    A    169.99.216.149
ughnjeiy.tju.com.        IN    A    29.15.96.7
bujotyxc.tju.com.        IN    A    117.73.62.198
ghyowkmu.tju.com.        IN    A    0.103.232.230
ghatdobc.tju.com.        IN    A    63.142.242.52
divnxptb.tju.com.        IN    A    225.119.156.100
dtrowsle.tju.com.        IN    A    128.52.249.113
edrxgwic.tju.com.        IN    A    244.236.145.125
pugiwesa.tju.com.        IN    A    105.230.146.232
lmdjgbiv.tju.com.        IN    A    172.123.132.218
xdojhlqg.tju.com.        IN    A    5.138.89.178
uemogtsv.tju.com.        IN    A    133.101.44.247
yxmtskhu.tju.com.        IN    A    20.147.125.94
odmgayst.tju.com.        IN    A    13.222.252.122
fkhqxgjl.tju.com.        IN    A    183.25.11.244
yrfkvetb.tju.com.        IN    A    198.64.221.93
yxtnpsml.tju.com.        IN    A    97.160.44.177
firnluvx.tju.com.        IN    A    64.38.146.196
ywqolvxk.tju.com.        IN    A    197.71.72.195
rhtsmjeo.tju.com.        IN    A    214.219.54.64
ebhvmdpj.tju.com.        IN    A    206.69.135.171
hyfkgdpt.tju.com.        IN    A    152.209.56.14
libsujam.tju.com.        IN    A    209.90.34.172
mvcuhbrj.tju.com.        IN    A    13.77.152.162
bdpajxcg.tju.com.        IN    A    184.38.206.171
cyigkdeh.tju.com.        IN    A    159.159.112.191
bfjiqwxo.tju.com.        IN    A    132.103.215.237
jtcpqina.tju.com.        IN    A    20.32.90.126
leaortdj.tju.com.        IN    A    105.237.146.154
vldcbouk.tju.com.        IN    A    209.83.142.9
hmfxulnt.tju.com.        IN    A    190.17.209.222
ptmyabjx.tju.com.        IN    A    189.48.30.215
stqipufo.tju.com.        IN    A    52.27.39.101
ntcubqdo.tju.com.        IN    A    35.36.252.188
tamgcnws.tju.com.        IN    A    245.49.116.149
qksrxetb.tju.com.        IN    A    209.15.132.246
convxklw.tju.com.        IN    A    213.129.239.125
fwoxtiej.tju.com.        IN    A    207.149.130.193
kinyvbdx.tju.com.        IN    A    243.142.73.178
upvqhifo.tju.com.        IN    A    51.78.159.220
ivoybsmu.tju.com.        IN    A    177.222.203.95
jntrokmx.tju.com.        IN    A    14.39.127.31
gnvaxhqk.tju.com.        IN    A    2.42.250.49
ulgwrfdn.tju.com.        IN    A    172.44.97.165
odjuxfki.tju.com.        IN    A    23.38.175.237
giomsecd.tju.com.        IN    A    215.126.74.74
jharcfuv.tju.com.        IN    A    99.225.231.67
xiohsqta.tju.com.        IN    A    180.234.237.109
dwbhxmql.tju.com.        IN    A    248.169.205.203
vqdegipw.tju.com.        IN    A    18.51.141.229
ykwxnsgl.tju.com.        IN    A    45.86.247.7
cbmarhfx.tju.com.        IN    A    31.47.62.172
gvusjwnm.tju.com.        IN    A    115.233.236.22
bunliart.tju.com.        IN    A    7.94.170.130
ejorgpni.tju.com.        IN    A    237.230.16.112
lyrncmgj.tju.com.        IN    A    227.173.187.88
avdljnoc.tju.com.        IN    A    89.93.47.249
dctvluyb.tju.com.        IN    A    18.205.136.59
dlvpuwfg.tju.com.        IN    A    166.68.142.210
egqmucbo.tju.com.        IN    A    78.160.158.14
idnemsvx.tju.com.        IN    A    237.97.248.97
tfblmvng.tju.com.        IN    A    126.50.10.214
qblandfs.tju.com.        IN    A    121.36.78.220
guqjrhbd.tju.com.        IN    A    200.174.155.44
kwhylvug.tju.com.        IN    A    72.22.204.80
nkepvmat.tju.com.        IN    A    252.235.114.109
kmaifphg.tju.com.        IN    A    72.158.175.133
lkqhdpjr.tju.com.        IN    A    61.75.199.28
ukfhgoev.tju.com.        IN    A    66.158.144.127
ayuvdtlj.tju.com.        IN    A    4.121.31.40
ycgrqpjx.tju.com.        IN    A    136.5.165.22
dvulxrbg.tju.com.        IN    A    116.158.194.101
lfqhpgui.tju.com.        IN    A    194.17.6.40
rfecjnkh.tju.com.        IN    A    42.61.68.247
agyihflo.tju.com.        IN    A    38.85.254.37
cdvyuxhl.tju.com.        IN    A    93.211.122.103
vqxaetjl.tju.com.        IN    A    62.60.176.130
lnagfrws.tju.com.        IN    A    168.5.161.220
leysjxcq.tju.com.        IN    A    242.246.140.44
wmuijhbg.tju.com.        IN    A    58.154.121.237
vlfoscxb.tju.com.        IN    A    171.166.1.171
jmswvlba.tju.com.        IN    A    182.133.223.238
xfkmoitp.tju.com.        IN    A    117.230.201.29
fqycrmwa.tju.com.        IN    A    67.42.36.122
lexwiypb.tju.com.        IN    A    64.110.113.94
ikcsqynr.tju.com.        IN    A    44.101.45.149
qtusmlgd.tju.com.        IN    A    117.204.188.166
ltacrnuy.tju.com.        IN    A    84.80.42.39
tigunrse.tju.com.        IN    A    16.2.57.180
xwceybmg.tju.com.        IN    A    114.155.225.147
ljbeqodw.tju.com.        IN    A    195.29.204.49
nasmrhci.tju.com.        IN    A    213.255.8.39
ochudlba.tju.com.        IN    A    234.29.143.27
lhbryiav.tju.com.        IN    A    203.109.184.97
bihjwamf.tju.com.        IN    A    141.173.84.4
ejsgcwam.tju.com.        IN    A    59.66.53.141
hcfulmtq.tju.com.        IN    A    178.11.191.15
iyxvfncr.tju.com.        IN    A    237.17.160.50
mfdjshai.tju.com.        IN    A    2.150.68.250
umyviagw.tju.com.        IN    A    141.139.58.183
rgclpbwy.tju.com.        IN    A    157.235.226.203
hpufmdjk.tju.com.        IN    A    141.69.118.97
gbsaruop.tju.com.        IN    A    16.232.191.55
bwejapxn.tju.com.        IN    A    208.65.6.95
scjtpdok.tju.com.        IN    A    177.202.184.171
ieabgrvt.tju.com.        IN    A    110.32.155.194
hcodtyrj.tju.com.        IN    A    159.49.163.114
yljxebvs.tju.com.        IN    A    197.14.101.231
xylvwfug.tju.com.        IN    A    36.32.65.23
pexjdwql.tju.com.        IN    A    253.141.41.96
wyaxtkmh.tju.com.        IN    A    202.194.58.137
rwjginuq.tju.com.        IN    A    201.150.218.152
gsrtkfxu.tju.com.        IN    A    106.125.222.164
cmuknrwl.tju.com.        IN    A    67.158.231.218
kvxnmjgi.tju.com.        IN    A    157.25.90.24
fxgosybp.tju.com.        IN    A    129.86.29.184
cwhgyqpe.tju.com.        IN    A    64.49.135.232
dircolhe.tju.com.        IN    A    106.199.61.7
jaqweglh.tju.com.        IN    A    101.195.142.40
tbhogmuc.tju.com.        IN    A    185.11.13.167
cmboltwu.tju.com.        IN    A    81.200.122.58
btnswljp.tju.com.        IN    A    24.26.153.229
rhsufyig.tju.com.        IN    A    170.218.4.43
lmcwpjng.tju.com.        IN    A    105.90.138.118
lrubgdkh.tju.com.        IN    A    208.27.241.116
tokdehqy.tju.com.        IN    A    79.180.64.94
mfyivceu.tju.com.        IN    A    39.124.99.181
nuchqxit.tju.com.        IN    A    69.187.24.94
eianpcyk.tju.com.        IN    A    178.114.79.127
aktgwjmx.tju.com.        IN    A    245.125.237.59
yrcjmvet.tju.com.        IN    A    61.22.250.18
cdpmbahl.tju.com.        IN    A    253.226.220.132
mahoxpes.tju.com.        IN    A    89.33.66.199
vuptqywj.tju.com.        IN    A    36.202.98.206
jldkfqsa.tju.com.        IN    A    168.119.220.64
caulqxdn.tju.com.        IN    A    210.230.35.107
bojsyutg.tju.com.        IN    A    47.203.126.157
pthkiacb.tju.com.        IN    A    247.124.151.9
tyevacsu.tju.com.        IN    A    176.4.33.207
rpijgvum.tju.com.        IN    A    14.130.22.0
poknequt.tju.com.        IN    A    111.145.43.227
sqkvotex.tju.com.        IN    A    83.10.60.149
onajprly.tju.com.        IN    A    46.217.252.140
mxturand.tju.com.        IN    A    217.117.29.197
shwxgcfy.tju.com.        IN    A    7.80.133.117
kbcudaqw.tju.com.        IN    A    130.252.0.46
kyaqwmxn.tju.com.        IN    A    134.115.153.95
svtxkrmu.tju.com.        IN    A    238.113.39.181
pjkbshvu.tju.com.        IN    A    111.213.93.68
gslhytwo.tju.com.        IN    A    122.44.123.98
ajcqenfr.tju.com.        IN    A    179.107.2.168
txblgkra.tju.com.        IN    A    182.86.101.69
kqrmunse.tju.com.        IN    A    137.1.13.118
osjtufwx.tju.com.        IN    A    67.153.198.3
njxfersm.tju.com.        IN    A    196.212.223.55
lyqenhkd.tju.com.        IN    A    35.192.65.44
tabdcpeh.tju.com.        IN    A    117.167.48.53
nrugxejt.tju.com.        IN    A    167.179.59.135
dveyopgi.tju.com.        IN    A    246.95.18.194
unevjqly.tju.com.        IN    A    204.55.203.5
wnkblcds.tju.com.        IN    A    244.43.191.163
gnmhkbfl.tju.com.        IN    A    153.144.80.152
rupcbqjf.tju.com.        IN    A    93.236.209.6
augcemqd.tju.com.        IN    A    83.117.190.247
cagyekrw.tju.com.        IN    A    138.251.165.245
cxeydrui.tju.com.        IN    A    121.45.44.134
pqwksafx.tju.com.        IN    A    46.255.142.228
lpubafgi.tju.com.        IN    A    13.208.97.112
hlmtkjeg.tju.com.        IN    A    170.218.122.249
cdysvmlh.tju.com.        IN    A    223.66.250.123
uobrscmi.tju.com.        IN    A    243.112.157.119
esfxrpkv.tju.com.        IN    A    120.133.13.21
qptwyrah.tju.com.        IN    A    75.234.90.216
xflsmtpw.tju.com.        IN    A    73.236.172.114
uckviswo.tju.com.        IN    A    79.45.71.9
ivhmfpnq.tju.com.        IN    A    147.115.17.46
wrdsytqh.tju.com.        IN    A    246.84.119.77
uykqrweg.tju.com.        IN    A    146.27.116.73
fldpbeom.tju.com.        IN    A    156.57.170.25
bthirpmw.tju.com.        IN    A    172.230.109.106
gjhmxadu.tju.com.        IN    A    239.155.130.58
dwcehglb.tju.com.        IN    A    226.103.97.37
jqosrlte.tju.com.        IN    A    251.248.58.118
kghetmqj.tju.com.        IN    A    201.151.138.86
ongytasw.tju.com.        IN    A    136.238.58.147
owxrulke.tju.com.        IN    A    198.131.35.37
jyroagtn.tju.com.        IN    A    113.69.248.236
