; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR shu.com. @ns2.shu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
shu.com.			      14400 IN NS	ns1.shu.com.
ns1.shu.com.			      14400 IN A	10.166.21.15

www.shu.com.		      14400 IN NS	ns1.www.shu.com.
ns1.www.shu.com.		      14400 IN A		10.166.21.12

ai.shu.com.		      14400 IN NS	ns1.ai.shu.com.
ns1.ai.shu.com.		      14400 IN A		10.166.21.13

sociology.shu.com.		      14400 IN NS	ns1.sociology.shu.com.
ns1.sociology.shu.com.		      14400 IN A		10.166.21.14

shu.com.			      14400 IN MX	10 sociologytp.shu.edu.
shu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
bsguinkx.shu.com.        IN    A    57.64.199.217
bsyhrvdu.shu.com.        IN    A    117.156.251.185
xdvygwqm.shu.com.        IN    A    79.179.222.42
mupntsvf.shu.com.        IN    A    94.90.51.34
bfuvogep.shu.com.        IN    A    12.36.250.17
fyovgcmn.shu.com.        IN    A    104.46.13.47
eqhoabri.shu.com.        IN    A    183.81.236.196
xdutajog.shu.com.        IN    A    27.104.108.38
pliuenst.shu.com.        IN    A    180.113.166.246
pwltiqac.shu.com.        IN    A    161.53.179.44
fnutcxlb.shu.com.        IN    A    79.235.199.192
xboaeyik.shu.com.        IN    A    139.251.166.143
veylugkr.shu.com.        IN    A    141.97.59.108
twfnivhs.shu.com.        IN    A    141.139.129.37
ijdfkncu.shu.com.        IN    A    200.120.201.68
pdroymqi.shu.com.        IN    A    23.83.106.182
bsidxorj.shu.com.        IN    A    100.161.129.211
yrckuxti.shu.com.        IN    A    105.30.63.86
pqybrgao.shu.com.        IN    A    248.229.181.72
goklaprj.shu.com.        IN    A    37.226.157.213
boeyxqud.shu.com.        IN    A    122.208.25.107
cbmensky.shu.com.        IN    A    33.119.13.201
wblyvhgc.shu.com.        IN    A    158.245.132.82
vknrmdhl.shu.com.        IN    A    46.17.166.1
fcnbotxj.shu.com.        IN    A    247.8.176.87
jegkdfhs.shu.com.        IN    A    236.201.77.97
jwxdselt.shu.com.        IN    A    98.76.48.244
bnlycupr.shu.com.        IN    A    82.218.17.60
ixuqpdag.shu.com.        IN    A    15.204.203.104
jgnewmcl.shu.com.        IN    A    164.204.125.219
airmjtfy.shu.com.        IN    A    190.24.57.169
ntdjiwrp.shu.com.        IN    A    117.113.90.199
njcdmqal.shu.com.        IN    A    196.31.213.246
rpsmgvaq.shu.com.        IN    A    81.62.205.46
hotcmdeq.shu.com.        IN    A    233.177.32.200
pvhamido.shu.com.        IN    A    39.172.70.28
doqisyuj.shu.com.        IN    A    108.132.205.200
sjludrvn.shu.com.        IN    A    176.46.99.37
ixpvcdlm.shu.com.        IN    A    60.70.3.240
svarcuqp.shu.com.        IN    A    126.197.11.50
gmyjowhk.shu.com.        IN    A    41.32.165.165
yfbkmalj.shu.com.        IN    A    168.236.35.19
xqtvlfou.shu.com.        IN    A    231.247.187.154
iprnaxot.shu.com.        IN    A    169.24.151.6
lsdojinw.shu.com.        IN    A    156.91.78.85
ihgunvct.shu.com.        IN    A    200.165.71.32
rnlmcvgq.shu.com.        IN    A    22.85.249.107
cgmrwlek.shu.com.        IN    A    28.76.9.116
gxtusjmk.shu.com.        IN    A    235.177.118.250
wifgaoyn.shu.com.        IN    A    140.142.110.103
mvjqgclk.shu.com.        IN    A    190.33.130.70
svuqpder.shu.com.        IN    A    74.2.176.28
mofcqviy.shu.com.        IN    A    71.177.254.214
wrplyiuc.shu.com.        IN    A    157.153.116.45
piuvmkgt.shu.com.        IN    A    94.30.205.96
xilumovc.shu.com.        IN    A    33.70.53.142
yfusdnap.shu.com.        IN    A    181.38.51.215
cdijnfqe.shu.com.        IN    A    220.232.63.11
rfcaheku.shu.com.        IN    A    92.14.176.139
cedfjbsu.shu.com.        IN    A    121.221.42.232
tqjdvwxb.shu.com.        IN    A    131.105.112.188
drnxybct.shu.com.        IN    A    116.139.117.168
htnxfjkv.shu.com.        IN    A    71.47.174.161
lebaxrvs.shu.com.        IN    A    62.79.181.11
jymftlbh.shu.com.        IN    A    15.50.166.203
ehkwisty.shu.com.        IN    A    246.112.152.41
iovnqmjy.shu.com.        IN    A    57.69.31.217
aorngwsl.shu.com.        IN    A    164.54.130.37
voqaiysj.shu.com.        IN    A    94.55.245.39
jybtiesc.shu.com.        IN    A    229.234.179.253
kdcrlxbj.shu.com.        IN    A    101.69.52.176
wmlufgev.shu.com.        IN    A    25.25.12.251
kumaftdx.shu.com.        IN    A    114.216.63.20
oejftdrg.shu.com.        IN    A    164.34.90.137
jgkvyxsf.shu.com.        IN    A    207.101.79.195
yhgvcfsu.shu.com.        IN    A    105.50.68.5
srwnyjpe.shu.com.        IN    A    129.99.33.156
witpaglq.shu.com.        IN    A    195.143.31.43
liugqnks.shu.com.        IN    A    174.44.28.161
wgimnyjb.shu.com.        IN    A    131.246.181.175
fkjgcrqe.shu.com.        IN    A    231.33.74.143
acvbyedt.shu.com.        IN    A    255.232.107.78
msdtawpl.shu.com.        IN    A    86.1.114.84
ntfkqmeb.shu.com.        IN    A    84.65.105.213
sounfwvb.shu.com.        IN    A    22.203.61.208
kedbjpqm.shu.com.        IN    A    249.98.110.160
xaolfhsb.shu.com.        IN    A    110.25.167.34
ikdsqepx.shu.com.        IN    A    225.184.179.188
nxqhjfsp.shu.com.        IN    A    250.178.168.11
debknwmh.shu.com.        IN    A    194.212.113.181
swtnyeol.shu.com.        IN    A    192.128.108.131
oqflyrwv.shu.com.        IN    A    70.247.78.38
wgdiraxs.shu.com.        IN    A    225.111.19.187
gurobpaj.shu.com.        IN    A    80.227.114.238
udrcmway.shu.com.        IN    A    182.53.144.196
urigkjqo.shu.com.        IN    A    198.246.1.161
maoghwkv.shu.com.        IN    A    113.34.128.209
jdioakbn.shu.com.        IN    A    217.37.79.36
vdnabtgk.shu.com.        IN    A    66.126.132.185
rapdesxm.shu.com.        IN    A    60.60.4.219
pvogbnmc.shu.com.        IN    A    30.21.197.151
qnibedpc.shu.com.        IN    A    143.230.220.194
xnqygkvu.shu.com.        IN    A    169.81.186.230
tfhlmapb.shu.com.        IN    A    244.236.153.171
xsvngtjy.shu.com.        IN    A    145.80.178.111
yacipbog.shu.com.        IN    A    3.11.181.183
xcebrlts.shu.com.        IN    A    238.175.64.203
irhemqxj.shu.com.        IN    A    158.130.61.217
lctigpfm.shu.com.        IN    A    48.126.200.145
tgnchopu.shu.com.        IN    A    64.110.210.129
brquaskw.shu.com.        IN    A    112.123.10.4
frhtpdny.shu.com.        IN    A    68.173.243.183
oevidcfm.shu.com.        IN    A    119.228.59.143
wdlbhvqj.shu.com.        IN    A    251.187.138.222
oqhliybr.shu.com.        IN    A    21.110.23.36
kftxsegq.shu.com.        IN    A    18.111.123.148
phqmaenl.shu.com.        IN    A    181.51.231.14
trnbqlsh.shu.com.        IN    A    18.185.167.1
bsyvknjg.shu.com.        IN    A    32.217.57.64
lqdurjvn.shu.com.        IN    A    196.12.44.154
erspawfc.shu.com.        IN    A    215.217.11.70
qwjvfbtk.shu.com.        IN    A    179.86.154.224
hlgwtnsf.shu.com.        IN    A    36.205.49.178
jnvaicqe.shu.com.        IN    A    6.21.171.199
hvdopjli.shu.com.        IN    A    163.218.114.126
wugfxkrv.shu.com.        IN    A    160.213.206.33
aysrjpef.shu.com.        IN    A    88.58.75.67
dmcekxiq.shu.com.        IN    A    114.223.85.146
kqeivmjp.shu.com.        IN    A    17.107.54.22
vjglkwda.shu.com.        IN    A    154.165.91.100
rhudysgq.shu.com.        IN    A    182.167.58.117
phfiutyx.shu.com.        IN    A    160.71.215.113
bylraqdc.shu.com.        IN    A    157.209.30.224
nrahixfl.shu.com.        IN    A    174.149.90.118
hpyglosk.shu.com.        IN    A    116.135.130.218
bielkaws.shu.com.        IN    A    59.11.151.203
ycvwfqtb.shu.com.        IN    A    130.55.72.167
wakxtslo.shu.com.        IN    A    35.159.119.35
oeiqxafj.shu.com.        IN    A    73.152.118.217
gtacvbms.shu.com.        IN    A    157.162.94.120
dnvwikjx.shu.com.        IN    A    84.201.50.77
wtixbukj.shu.com.        IN    A    39.38.197.44
qcjahsvw.shu.com.        IN    A    32.147.30.36
fdjbkgwi.shu.com.        IN    A    72.218.217.171
smxelpjd.shu.com.        IN    A    75.144.60.136
jyfrlmio.shu.com.        IN    A    118.27.206.212
qexkupcb.shu.com.        IN    A    221.159.221.227
frpacxus.shu.com.        IN    A    160.252.31.37
spancwom.shu.com.        IN    A    19.12.102.29
ylcnobau.shu.com.        IN    A    171.14.95.218
qdxfasro.shu.com.        IN    A    170.214.100.199
ugyohqsn.shu.com.        IN    A    9.70.169.112
loxjtnsm.shu.com.        IN    A    87.44.248.57
wkvjgadr.shu.com.        IN    A    119.110.119.89
tplgdaqh.shu.com.        IN    A    116.41.252.203
gtxsbpao.shu.com.        IN    A    189.11.71.76
pygatjov.shu.com.        IN    A    190.107.213.46
ltqgshox.shu.com.        IN    A    108.25.86.59
qylsbudj.shu.com.        IN    A    108.216.194.194
wcaysqih.shu.com.        IN    A    176.114.69.220
rxclokia.shu.com.        IN    A    99.69.27.117
urjahevb.shu.com.        IN    A    36.128.186.189
odwhknbl.shu.com.        IN    A    240.157.236.118
wyhjutex.shu.com.        IN    A    90.234.102.103
sdigmefb.shu.com.        IN    A    155.196.56.210
fclrabqi.shu.com.        IN    A    127.121.107.45
jxmrqywn.shu.com.        IN    A    140.211.81.193
kmvebcdi.shu.com.        IN    A    149.9.223.222
rbgxmojp.shu.com.        IN    A    144.155.103.224
hbcmsgpk.shu.com.        IN    A    202.1.71.219
rvgqwmns.shu.com.        IN    A    217.214.55.173
gkwhfyqi.shu.com.        IN    A    38.89.125.208
unltemvd.shu.com.        IN    A    105.64.16.226
jnlfeuvs.shu.com.        IN    A    161.239.205.155
tfujmkeo.shu.com.        IN    A    250.35.238.60
xmowpyfq.shu.com.        IN    A    214.27.54.213
iacmwfbu.shu.com.        IN    A    130.106.192.101
nrckwafs.shu.com.        IN    A    91.82.130.187
agxudsef.shu.com.        IN    A    129.223.28.35
fwanmpoe.shu.com.        IN    A    251.38.252.206
ctefvang.shu.com.        IN    A    208.56.103.164
rubgnvot.shu.com.        IN    A    93.50.4.123
clpnbtfx.shu.com.        IN    A    179.229.196.29
qnvsylux.shu.com.        IN    A    100.155.104.197
gateufvp.shu.com.        IN    A    245.246.7.147
cijhltyr.shu.com.        IN    A    96.211.245.162
iqejlxfn.shu.com.        IN    A    27.182.90.106
yucoknfm.shu.com.        IN    A    110.105.200.135
htdaypkr.shu.com.        IN    A    119.239.166.19
lbgkurmp.shu.com.        IN    A    53.172.15.233
lcnpfker.shu.com.        IN    A    35.43.84.136
xureihpb.shu.com.        IN    A    165.202.171.170
tosnbejc.shu.com.        IN    A    186.56.142.185
bdlvygok.shu.com.        IN    A    191.221.249.39
oeikdyav.shu.com.        IN    A    191.156.103.2
abeqpxom.shu.com.        IN    A    183.42.20.186
ivkresbl.shu.com.        IN    A    140.234.101.107
vpxgrkbf.shu.com.        IN    A    177.218.66.196
deytmguf.shu.com.        IN    A    1.72.123.213
ifobsxdr.shu.com.        IN    A    203.35.247.201
rdoxyksq.shu.com.        IN    A    101.100.184.27
tgvlmkij.shu.com.        IN    A    144.96.43.109
nphykdxr.shu.com.        IN    A    156.2.151.3
qsarocwt.shu.com.        IN    A    190.35.16.179
knevtcys.shu.com.        IN    A    162.141.134.103
bkswtfmo.shu.com.        IN    A    65.50.80.187
ejrmnhao.shu.com.        IN    A    115.240.186.38
fhnotxdr.shu.com.        IN    A    237.41.33.61
rcgqaljd.shu.com.        IN    A    222.145.128.145
trgckpmj.shu.com.        IN    A    89.172.80.190
khrlibum.shu.com.        IN    A    39.143.197.80
tcflymwk.shu.com.        IN    A    132.0.79.156
bdpqscyn.shu.com.        IN    A    227.163.236.52
lrvnubfo.shu.com.        IN    A    207.82.88.13
mjkprwti.shu.com.        IN    A    182.164.30.80
rwycpdet.shu.com.        IN    A    242.42.121.250
bvgkywrj.shu.com.        IN    A    114.125.193.90
tvjdhmxu.shu.com.        IN    A    205.27.182.152
tqbyourf.shu.com.        IN    A    180.34.91.48
nbwjrthg.shu.com.        IN    A    40.211.168.26
ogtcqkha.shu.com.        IN    A    1.184.204.113
rftswbly.shu.com.        IN    A    5.106.24.242
ajtrlphv.shu.com.        IN    A    204.78.42.56
nawtqkpu.shu.com.        IN    A    209.87.202.74
jmpagqfb.shu.com.        IN    A    152.141.229.89
efjpyvqx.shu.com.        IN    A    106.9.179.142
qmievcua.shu.com.        IN    A    241.2.160.182
lpfrukgc.shu.com.        IN    A    220.38.147.19
islgmaeu.shu.com.        IN    A    241.153.164.161
bcmidgnr.shu.com.        IN    A    78.47.209.132
hgpqvdub.shu.com.        IN    A    128.117.143.110
mylhdibx.shu.com.        IN    A    14.36.33.57
wdegxltb.shu.com.        IN    A    218.120.225.64
xvhsilbc.shu.com.        IN    A    253.218.200.113
vptgubsx.shu.com.        IN    A    98.227.177.233
gnmxletd.shu.com.        IN    A    129.59.105.199
eyhcjkpn.shu.com.        IN    A    6.223.216.164
gyxmaqbc.shu.com.        IN    A    238.2.138.63
rdlbhtxc.shu.com.        IN    A    3.244.182.106
rivpgcks.shu.com.        IN    A    114.131.18.108
mcqlfynr.shu.com.        IN    A    233.208.93.191
uwltxrpc.shu.com.        IN    A    195.134.13.221
uvbphijr.shu.com.        IN    A    107.158.226.209
ekqcusjl.shu.com.        IN    A    157.115.124.146
abfdjemc.shu.com.        IN    A    129.73.13.21
jrhsybek.shu.com.        IN    A    121.17.20.233
vqakjmnc.shu.com.        IN    A    28.15.88.96
ornsyxpv.shu.com.        IN    A    118.194.92.78
pjsdchlf.shu.com.        IN    A    91.118.41.63
epwjomnf.shu.com.        IN    A    94.109.167.134
jxwyohnp.shu.com.        IN    A    48.107.107.147
pejtlxdi.shu.com.        IN    A    63.111.136.84
mhaslqur.shu.com.        IN    A    29.163.33.167
ofgcsmha.shu.com.        IN    A    79.47.146.98
rotbuxhn.shu.com.        IN    A    125.15.10.51
prjhogty.shu.com.        IN    A    101.218.248.1
kwugvdch.shu.com.        IN    A    156.167.138.156
vhmucerf.shu.com.        IN    A    245.111.243.144
ckpjmigd.shu.com.        IN    A    97.40.81.242
wikbvsgu.shu.com.        IN    A    32.23.81.114
atoudxil.shu.com.        IN    A    104.113.14.65
vslkgtci.shu.com.        IN    A    95.56.18.17
jpsukgwy.shu.com.        IN    A    234.189.246.32
yrdvhxjp.shu.com.        IN    A    87.84.231.1
nlkqvhbo.shu.com.        IN    A    124.212.2.131
wigbufnv.shu.com.        IN    A    240.226.60.56
cduiqnxe.shu.com.        IN    A    242.168.84.230
cmlutnib.shu.com.        IN    A    188.172.58.147
uiwekpot.shu.com.        IN    A    164.53.155.111
wfplnhcm.shu.com.        IN    A    47.165.135.6
ctvlmkqi.shu.com.        IN    A    20.114.66.23
vhfytbed.shu.com.        IN    A    91.2.46.184
uywplted.shu.com.        IN    A    188.36.84.201
xdqbihvn.shu.com.        IN    A    17.40.87.29
ulxatjpr.shu.com.        IN    A    237.252.201.36
vjgbiear.shu.com.        IN    A    90.175.63.158
gdrmyauk.shu.com.        IN    A    179.10.118.0
lvptswfx.shu.com.        IN    A    30.87.9.218
vgaybcxf.shu.com.        IN    A    245.46.25.215
lftgewqs.shu.com.        IN    A    2.194.19.228
datefgvm.shu.com.        IN    A    36.36.7.242
qyprdecx.shu.com.        IN    A    82.224.245.55
runvfleq.shu.com.        IN    A    134.6.127.172
fumipasd.shu.com.        IN    A    2.136.20.160
uhakctbx.shu.com.        IN    A    220.139.135.161
xmeliktd.shu.com.        IN    A    146.133.155.52
tbmgcloy.shu.com.        IN    A    67.45.18.67
ubvcjxfs.shu.com.        IN    A    242.212.99.108
utvpmqoe.shu.com.        IN    A    35.213.6.208
dtlhnuyr.shu.com.        IN    A    91.48.80.171
vwpamcjh.shu.com.        IN    A    24.13.22.113
mobitrhs.shu.com.        IN    A    102.222.181.59
hcguemkb.shu.com.        IN    A    227.179.13.95
tkqhxnlr.shu.com.        IN    A    11.194.130.91
edobfgji.shu.com.        IN    A    3.99.250.170
rswcbjqd.shu.com.        IN    A    152.252.214.171
pjreoswf.shu.com.        IN    A    39.30.11.121
relpxgcj.shu.com.        IN    A    71.79.95.85
semfwtou.shu.com.        IN    A    35.229.210.177
mosuctfe.shu.com.        IN    A    68.158.100.38
rpeotand.shu.com.        IN    A    171.177.226.253
tvimkoha.shu.com.        IN    A    56.216.132.43
amshdrvc.shu.com.        IN    A    244.190.174.165
fwdxmnhl.shu.com.        IN    A    75.24.135.139
xwvyfklg.shu.com.        IN    A    247.54.92.10
gqrjobky.shu.com.        IN    A    10.138.127.17
nygwaroq.shu.com.        IN    A    27.27.40.38
focravws.shu.com.        IN    A    143.16.185.23
rithefvq.shu.com.        IN    A    50.26.13.130
srgcaywu.shu.com.        IN    A    230.66.203.199
jbtdsnio.shu.com.        IN    A    250.185.75.111
trsnpcgq.shu.com.        IN    A    36.171.55.124
isogxdnm.shu.com.        IN    A    241.18.111.74
hjpqackm.shu.com.        IN    A    119.59.104.70
pvgtxbki.shu.com.        IN    A    133.213.251.124
gtuxcomh.shu.com.        IN    A    140.255.146.205
jnemqsga.shu.com.        IN    A    98.174.17.223
qrjntlkp.shu.com.        IN    A    104.195.109.152
lrhaupoe.shu.com.        IN    A    161.206.133.101
eflridsu.shu.com.        IN    A    214.111.48.249
rghiqylk.shu.com.        IN    A    103.219.236.123
xybcdkgt.shu.com.        IN    A    153.62.232.59
urltmfex.shu.com.        IN    A    254.77.53.147
xjomidrp.shu.com.        IN    A    166.238.206.99
twgknhqp.shu.com.        IN    A    90.102.29.15
wmaeukdx.shu.com.        IN    A    247.170.219.189
ayfsntri.shu.com.        IN    A    8.80.253.104
sitwaquv.shu.com.        IN    A    61.75.96.94
iacsnpet.shu.com.        IN    A    156.198.143.27
gfptolce.shu.com.        IN    A    207.165.9.63
vtykiahb.shu.com.        IN    A    94.204.71.122
erojnlbd.shu.com.        IN    A    159.79.31.71
hjuibsna.shu.com.        IN    A    79.84.181.194
lvunmdbi.shu.com.        IN    A    217.212.59.111
cemtjpor.shu.com.        IN    A    185.67.229.120
ohdtsjir.shu.com.        IN    A    157.117.44.3
nvkeoaxh.shu.com.        IN    A    127.212.215.201
iepowsdf.shu.com.        IN    A    229.1.161.213
ibxsyuqk.shu.com.        IN    A    150.55.61.0
hksoedln.shu.com.        IN    A    17.209.14.0
holuysmd.shu.com.        IN    A    21.48.112.44
hlymbjie.shu.com.        IN    A    221.254.167.133
ejvalphu.shu.com.        IN    A    200.230.74.63
vpgsljtk.shu.com.        IN    A    178.17.155.78
kedtugyw.shu.com.        IN    A    180.139.190.147
idhnapfu.shu.com.        IN    A    116.235.231.98
kvqhlpra.shu.com.        IN    A    213.100.138.135
dlfigtyr.shu.com.        IN    A    79.224.148.48
bogijawd.shu.com.        IN    A    33.113.70.227
vowusaxj.shu.com.        IN    A    117.237.212.87
hfpimjxb.shu.com.        IN    A    141.27.20.43
chpiabxt.shu.com.        IN    A    224.114.152.104
hnuaibmy.shu.com.        IN    A    94.227.127.118
tjunhpdl.shu.com.        IN    A    141.10.206.166
kamgqxvc.shu.com.        IN    A    93.217.240.7
igjxmane.shu.com.        IN    A    145.68.66.149
npbcamhw.shu.com.        IN    A    22.131.20.194
sumrxhwg.shu.com.        IN    A    221.41.111.5
kdicaghy.shu.com.        IN    A    30.184.237.180
ynwopira.shu.com.        IN    A    82.185.121.163
lobfxmei.shu.com.        IN    A    202.232.173.90
nefuxjhr.shu.com.        IN    A    222.106.216.165
oavctbsj.shu.com.        IN    A    198.88.19.158
ipyobvcx.shu.com.        IN    A    90.220.154.143
neuslyao.shu.com.        IN    A    80.245.214.244
gnfsbexh.shu.com.        IN    A    240.89.135.234
mbegroxv.shu.com.        IN    A    131.87.221.108
vqkgmyio.shu.com.        IN    A    98.153.18.162
umdjtnew.shu.com.        IN    A    87.49.137.106
unwalkot.shu.com.        IN    A    237.181.191.197
telmdqsr.shu.com.        IN    A    223.50.4.240
qvwrgkxf.shu.com.        IN    A    200.109.243.165
fdnegkqh.shu.com.        IN    A    47.27.218.8
vrylxbfm.shu.com.        IN    A    203.245.254.153
tphvojsw.shu.com.        IN    A    188.30.208.211
meduanvw.shu.com.        IN    A    138.31.65.48
fmocrwdg.shu.com.        IN    A    89.57.7.251
ocdaxtkr.shu.com.        IN    A    79.158.37.113
tgimohpr.shu.com.        IN    A    171.143.78.215
ymebuqwr.shu.com.        IN    A    172.39.221.37
jndmrqpb.shu.com.        IN    A    115.203.55.166
gxuhisnq.shu.com.        IN    A    152.171.223.161
eiyqctdm.shu.com.        IN    A    13.62.73.155
glrwtjhv.shu.com.        IN    A    64.222.14.183
rfmptldw.shu.com.        IN    A    24.149.6.47
cwbjpfos.shu.com.        IN    A    138.30.66.183
djyritom.shu.com.        IN    A    252.171.153.11
kbtoafvg.shu.com.        IN    A    154.119.137.13
uefsxjol.shu.com.        IN    A    223.114.2.230
oyqlbvrc.shu.com.        IN    A    247.54.68.24
alpxoech.shu.com.        IN    A    27.77.12.122
binraxpu.shu.com.        IN    A    150.66.206.152
icnadqyf.shu.com.        IN    A    71.61.167.112
mekbrpcq.shu.com.        IN    A    90.6.88.196
pqjgtvnh.shu.com.        IN    A    254.175.135.141
mitgnqwu.shu.com.        IN    A    201.209.150.99
qhwlymbo.shu.com.        IN    A    243.103.56.103
dxyiqhfb.shu.com.        IN    A    134.62.247.121
lnkgrtsw.shu.com.        IN    A    3.205.197.149
lnfxbury.shu.com.        IN    A    225.176.219.110
nmojhgqy.shu.com.        IN    A    38.111.113.89
tldnrmou.shu.com.        IN    A    70.125.230.238
fnxtyhvo.shu.com.        IN    A    82.38.166.93
rynauloj.shu.com.        IN    A    215.139.235.114
ueiasofc.shu.com.        IN    A    222.52.199.127
wdeqnkju.shu.com.        IN    A    132.123.99.248
ognvxcjd.shu.com.        IN    A    177.75.213.166
doeuphfl.shu.com.        IN    A    240.0.32.154
tubagdms.shu.com.        IN    A    63.159.39.126
gqmtsevb.shu.com.        IN    A    110.61.31.40
ckhuvawi.shu.com.        IN    A    89.221.60.240
csempfto.shu.com.        IN    A    18.125.147.35
jvdtuqwf.shu.com.        IN    A    243.58.37.176
jpfvgymh.shu.com.        IN    A    54.63.199.124
nwvptxuy.shu.com.        IN    A    116.23.8.206
ebmpocgk.shu.com.        IN    A    44.129.166.241
skmnwqob.shu.com.        IN    A    29.200.39.51
cbhumaqr.shu.com.        IN    A    211.139.65.174
thevclpq.shu.com.        IN    A    100.198.10.226
ixmbajsl.shu.com.        IN    A    166.223.153.72
hgqnmbct.shu.com.        IN    A    148.56.119.129
jbwcthpk.shu.com.        IN    A    245.103.3.83
qelvmsfx.shu.com.        IN    A    32.22.104.66
gnhswjcl.shu.com.        IN    A    181.228.122.94
xibrsnet.shu.com.        IN    A    48.52.120.122
yxlvoimt.shu.com.        IN    A    200.108.96.192
rptmlwco.shu.com.        IN    A    68.9.246.162
eoqyalpg.shu.com.        IN    A    209.17.101.129
uhcjmgdi.shu.com.        IN    A    71.83.236.23
exqalpdy.shu.com.        IN    A    127.173.59.210
sjmudfnk.shu.com.        IN    A    29.197.232.123
abunocpi.shu.com.        IN    A    42.103.163.5
lnfoaqht.shu.com.        IN    A    131.47.181.108
ldmciakx.shu.com.        IN    A    85.22.93.68
tqwonhrl.shu.com.        IN    A    62.117.251.151
pwrvqcdh.shu.com.        IN    A    252.128.63.72
ocbikydu.shu.com.        IN    A    253.6.1.93
hijlfrba.shu.com.        IN    A    142.228.96.154
whufrioa.shu.com.        IN    A    22.82.133.140
htmwxluy.shu.com.        IN    A    112.58.213.64
brjcfyin.shu.com.        IN    A    107.168.234.210
xijmupor.shu.com.        IN    A    217.173.170.235
osxjniuk.shu.com.        IN    A    66.134.226.146
vioueaxq.shu.com.        IN    A    191.148.193.232
mqrauxfk.shu.com.        IN    A    19.218.213.154
tvamylbr.shu.com.        IN    A    233.231.18.224
byuoxfps.shu.com.        IN    A    88.38.11.80
cytvmwoj.shu.com.        IN    A    149.146.143.124
krludjgv.shu.com.        IN    A    157.182.62.139
eotrlcxv.shu.com.        IN    A    65.146.177.190
raiqujhx.shu.com.        IN    A    250.243.129.193
jrdknocq.shu.com.        IN    A    78.194.169.53
pewrdvgq.shu.com.        IN    A    36.159.197.43
twkoyvmx.shu.com.        IN    A    210.95.219.145
uhlokipg.shu.com.        IN    A    27.235.210.60
pxnwkdjc.shu.com.        IN    A    39.189.233.178
nxqfhoua.shu.com.        IN    A    0.152.117.227
aquldynv.shu.com.        IN    A    84.120.97.52
fdixopyl.shu.com.        IN    A    49.252.62.59
wxoynvkr.shu.com.        IN    A    221.38.28.237
sdyebchw.shu.com.        IN    A    134.212.58.87
pxvkudlr.shu.com.        IN    A    117.159.244.33
gsirwhmf.shu.com.        IN    A    179.233.88.104
equrndyb.shu.com.        IN    A    161.22.46.9
ufcjamir.shu.com.        IN    A    222.125.66.219
rilxdwta.shu.com.        IN    A    135.222.236.243
nxjemqkg.shu.com.        IN    A    6.164.146.133
jhspgqyf.shu.com.        IN    A    180.172.235.188
sevaucft.shu.com.        IN    A    148.193.201.252
smahkndp.shu.com.        IN    A    184.191.128.196
pjimckwb.shu.com.        IN    A    171.78.109.49
gsyaoqhc.shu.com.        IN    A    74.192.211.223
gjpkivxl.shu.com.        IN    A    42.115.139.41
wtlsjmor.shu.com.        IN    A    13.229.118.62
rgxyfwhi.shu.com.        IN    A    18.234.123.232
bkufrnly.shu.com.        IN    A    50.12.204.142
thpqwruv.shu.com.        IN    A    17.92.218.69
htxnwakj.shu.com.        IN    A    72.76.218.49
cwfiauqk.shu.com.        IN    A    182.202.159.108
xdpehbsm.shu.com.        IN    A    229.106.62.74
bflcyvgi.shu.com.        IN    A    240.50.82.234
gqnfdjvl.shu.com.        IN    A    77.43.193.186
ensujclm.shu.com.        IN    A    91.165.157.0
esvambgj.shu.com.        IN    A    106.52.45.113
pldmicrn.shu.com.        IN    A    148.202.11.148
dcumkyha.shu.com.        IN    A    152.147.147.63
eduorfwm.shu.com.        IN    A    41.195.54.146
ywthpqfv.shu.com.        IN    A    251.32.145.232
bgshwyde.shu.com.        IN    A    14.49.21.139
ackbgwet.shu.com.        IN    A    48.236.41.74
ylqoiwpm.shu.com.        IN    A    6.71.94.170
fbjytmhd.shu.com.        IN    A    213.146.12.94
htcreawb.shu.com.        IN    A    171.84.76.202
ifxvdnog.shu.com.        IN    A    186.203.177.196
mfvxibls.shu.com.        IN    A    80.91.19.126
ldswxfah.shu.com.        IN    A    70.215.163.232
jfwkilvy.shu.com.        IN    A    125.117.244.109
stkrbgya.shu.com.        IN    A    30.235.155.226
opfeltjc.shu.com.        IN    A    228.136.249.127
yitebdqf.shu.com.        IN    A    162.73.164.234
eaxuhndi.shu.com.        IN    A    149.20.152.194
nwrusbpi.shu.com.        IN    A    54.233.20.80
mlwoprsf.shu.com.        IN    A    254.21.195.241
xrdtopqk.shu.com.        IN    A    29.61.79.84
toqjwcuk.shu.com.        IN    A    105.46.151.36
tcovpysj.shu.com.        IN    A    129.36.51.221
ovbpsdye.shu.com.        IN    A    199.16.173.157
stbgfkwl.shu.com.        IN    A    136.241.215.57
gycnokmh.shu.com.        IN    A    35.225.158.122
codlywtg.shu.com.        IN    A    158.44.173.44
sfbncoeh.shu.com.        IN    A    184.238.208.122
gsqyhabo.shu.com.        IN    A    181.220.181.41
hxkfuqlp.shu.com.        IN    A    192.192.128.198
cvdxsnug.shu.com.        IN    A    102.138.121.53
