www.pku.com. 	14400	IN	SOA	ns1.www.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
www.pku.com.		    IN	NS ns1.www.pku.com.
tnghkqfu.www.pku.com.    IN    A    155.32.10.30
jubltpoe.www.pku.com.    IN    A    53.33.83.5
lwaumfcj.www.pku.com.    IN    A    219.141.47.137
ytfusiok.www.pku.com.    IN    A    255.215.28.186
cbtiysjx.www.pku.com.    IN    A    255.253.172.103
hyfnusbe.www.pku.com.    IN    A    205.219.36.98
cetbwfas.www.pku.com.    IN    A    246.134.19.223
tdeolqhk.www.pku.com.    IN    A    150.81.63.100
hnwirfvg.www.pku.com.    IN    A    167.111.141.45
dyhmalgw.www.pku.com.    IN    A    146.175.4.112
rdvuxsic.www.pku.com.    IN    A    53.46.207.53
ketyhojw.www.pku.com.    IN    A    188.79.124.113
qlpovikh.www.pku.com.    IN    A    67.254.74.235
alxgfcpn.www.pku.com.    IN    A    59.232.34.135
jhlmpeyv.www.pku.com.    IN    A    200.51.160.139
hbdmwivc.www.pku.com.    IN    A    61.232.0.75
ogwdtvep.www.pku.com.    IN    A    127.214.165.166
csmpfgtl.www.pku.com.    IN    A    70.7.135.163
oqvyrmbd.www.pku.com.    IN    A    24.195.175.255
kjaivsnm.www.pku.com.    IN    A    141.11.153.113
vunkyacr.www.pku.com.    IN    A    190.185.215.92
yrowgjbn.www.pku.com.    IN    A    198.128.66.180
edafpmxh.www.pku.com.    IN    A    18.219.100.5
tbinyvrd.www.pku.com.    IN    A    25.146.221.10
rcjbevmo.www.pku.com.    IN    A    79.159.71.160
mipxahry.www.pku.com.    IN    A    48.171.23.54
hwkequvl.www.pku.com.    IN    A    39.214.243.145
lopertun.www.pku.com.    IN    A    103.193.119.201
wpyjaqxd.www.pku.com.    IN    A    190.174.149.109
fvoyjqhr.www.pku.com.    IN    A    32.108.123.45
skunecit.www.pku.com.    IN    A    254.208.155.43
ukqjicnf.www.pku.com.    IN    A    229.84.102.230
abnqgptr.www.pku.com.    IN    A    184.87.17.208
rigxqfan.www.pku.com.    IN    A    255.118.36.247
oymsuwij.www.pku.com.    IN    A    185.162.66.153
bqumksij.www.pku.com.    IN    A    111.63.2.131
nobjekdl.www.pku.com.    IN    A    242.173.229.121
ygchvmsi.www.pku.com.    IN    A    200.58.138.72
yhcutavs.www.pku.com.    IN    A    148.227.73.52
hxgrsibm.www.pku.com.    IN    A    201.167.246.40
udtpojxm.www.pku.com.    IN    A    164.164.61.60
btvyqfhx.www.pku.com.    IN    A    235.155.211.200
rjcibqof.www.pku.com.    IN    A    72.126.91.30
chlkorux.www.pku.com.    IN    A    0.24.237.41
pobgmdsu.www.pku.com.    IN    A    255.182.23.102
cslgmvrj.www.pku.com.    IN    A    224.197.54.52
uybqmhlf.www.pku.com.    IN    A    66.226.19.164
ibvqrjlx.www.pku.com.    IN    A    191.169.95.147
optebvcx.www.pku.com.    IN    A    112.198.76.17
cbironyl.www.pku.com.    IN    A    67.22.191.30
yjxukwdv.www.pku.com.    IN    A    26.180.238.79
jmafkriu.www.pku.com.    IN    A    88.225.41.38
inuwkdtr.www.pku.com.    IN    A    219.185.147.9
xvothgwi.www.pku.com.    IN    A    14.5.90.154
rhkgmbyl.www.pku.com.    IN    A    96.190.215.246
aumpfilk.www.pku.com.    IN    A    63.24.222.62
dogxweva.www.pku.com.    IN    A    96.249.138.124
rvsotcgj.www.pku.com.    IN    A    12.159.202.178
gebihjpu.www.pku.com.    IN    A    252.81.231.23
ldfworgy.www.pku.com.    IN    A    227.200.78.149
hcqgvpkf.www.pku.com.    IN    A    139.25.177.245
efndqobh.www.pku.com.    IN    A    102.216.176.196
gehwpsuj.www.pku.com.    IN    A    51.195.19.60
leqrokwn.www.pku.com.    IN    A    143.228.207.115
abtkwfrj.www.pku.com.    IN    A    136.66.255.114
wudrcmha.www.pku.com.    IN    A    233.244.137.103
nymxhoes.www.pku.com.    IN    A    243.40.196.179
fwklards.www.pku.com.    IN    A    195.232.193.111
tixfoqjr.www.pku.com.    IN    A    115.123.243.163
vcaybrux.www.pku.com.    IN    A    149.171.185.106
tukqhjlo.www.pku.com.    IN    A    201.195.178.200
chridqnk.www.pku.com.    IN    A    139.220.138.168
tfbnvrsh.www.pku.com.    IN    A    27.54.154.233
modiqfjx.www.pku.com.    IN    A    94.135.113.38
rwyutbsx.www.pku.com.    IN    A    140.67.244.101
anvhuxdf.www.pku.com.    IN    A    215.16.215.78
oitvwubn.www.pku.com.    IN    A    246.155.85.191
tivqojse.www.pku.com.    IN    A    32.217.143.210
pskdebmx.www.pku.com.    IN    A    73.143.66.206
rlyhkxde.www.pku.com.    IN    A    64.106.252.84
klxfcrht.www.pku.com.    IN    A    145.126.127.123
klnhetsf.www.pku.com.    IN    A    78.13.143.188
akfpxgir.www.pku.com.    IN    A    240.152.168.25
yutdngsl.www.pku.com.    IN    A    200.137.213.52
fatpojyv.www.pku.com.    IN    A    88.87.137.149
xtlejfoi.www.pku.com.    IN    A    97.55.247.5
criumtpn.www.pku.com.    IN    A    62.85.10.197
bwkcgvxf.www.pku.com.    IN    A    163.242.193.107
qibkjvud.www.pku.com.    IN    A    252.197.67.216
cpnuydhw.www.pku.com.    IN    A    164.133.64.214
oblxmews.www.pku.com.    IN    A    192.20.212.14
mkpnfeis.www.pku.com.    IN    A    239.209.255.161
ifplqsto.www.pku.com.    IN    A    165.151.199.221
sxmeacrq.www.pku.com.    IN    A    195.218.190.135
fchgjoql.www.pku.com.    IN    A    98.253.167.176
wnfbeilj.www.pku.com.    IN    A    17.194.108.157
epotrxui.www.pku.com.    IN    A    173.138.173.230
brdgotlf.www.pku.com.    IN    A    15.177.148.138
yqtkaliu.www.pku.com.    IN    A    53.80.34.135
pxnsjqbu.www.pku.com.    IN    A    218.203.22.197
ijtvyemx.www.pku.com.    IN    A    216.247.98.51
omyfhdlt.www.pku.com.    IN    A    177.111.129.137
vxsotcpy.www.pku.com.    IN    A    49.129.111.215
okinqygj.www.pku.com.    IN    A    152.218.97.210
poeihfsm.www.pku.com.    IN    A    164.22.26.144
ixqasftg.www.pku.com.    IN    A    97.116.171.18
yacjlgvr.www.pku.com.    IN    A    94.236.5.203
kgucijbd.www.pku.com.    IN    A    239.9.199.133
hnbyoduk.www.pku.com.    IN    A    221.110.11.69
smfitcgx.www.pku.com.    IN    A    23.52.98.196
atpvdify.www.pku.com.    IN    A    241.97.183.87
vxrcnbaq.www.pku.com.    IN    A    166.180.79.201
ikfbajtd.www.pku.com.    IN    A    217.209.132.136
upfweijn.www.pku.com.    IN    A    89.128.121.143
xrlmfndu.www.pku.com.    IN    A    218.183.124.148
qaejtoyw.www.pku.com.    IN    A    245.231.37.91
qemlkxnp.www.pku.com.    IN    A    123.123.20.159
nadfqeoi.www.pku.com.    IN    A    10.223.164.57
wmbfxpdh.www.pku.com.    IN    A    141.120.0.247
brcsjlnx.www.pku.com.    IN    A    234.114.181.150
ycixnjwq.www.pku.com.    IN    A    84.171.179.252
fltnurxb.www.pku.com.    IN    A    101.215.88.86
tuldhgjn.www.pku.com.    IN    A    40.97.121.215
gwqdkbuv.www.pku.com.    IN    A    62.69.173.231
lhvqfgce.www.pku.com.    IN    A    33.248.91.121
nsfakhtp.www.pku.com.    IN    A    167.238.61.232
ewspcuab.www.pku.com.    IN    A    84.114.125.138
hclaxjus.www.pku.com.    IN    A    12.170.204.165
xrlohdes.www.pku.com.    IN    A    108.38.175.36
fxkguwrv.www.pku.com.    IN    A    186.182.134.143
osflcimu.www.pku.com.    IN    A    75.15.10.201
aupwdogx.www.pku.com.    IN    A    47.103.28.234
tsqohadf.www.pku.com.    IN    A    159.18.114.42
sevlitoa.www.pku.com.    IN    A    121.220.24.136
ylgfoamr.www.pku.com.    IN    A    76.160.248.158
ashcoxfi.www.pku.com.    IN    A    231.185.48.110
gysruofd.www.pku.com.    IN    A    61.172.167.108
txlowkus.www.pku.com.    IN    A    203.20.83.21
rljgwkxy.www.pku.com.    IN    A    178.9.38.156
jltyqsvc.www.pku.com.    IN    A    108.183.90.236
eilyhtag.www.pku.com.    IN    A    187.119.116.162
bdvanmjr.www.pku.com.    IN    A    101.143.76.111
tchysbuf.www.pku.com.    IN    A    151.126.239.152
fmvhdkxr.www.pku.com.    IN    A    209.239.250.30
elvhtsyn.www.pku.com.    IN    A    178.183.61.183
egavkywh.www.pku.com.    IN    A    150.132.41.233
vcstjwbp.www.pku.com.    IN    A    227.139.171.46
bdvksuaf.www.pku.com.    IN    A    178.151.5.32
gbdcsuwr.www.pku.com.    IN    A    181.28.146.171
sfekouwd.www.pku.com.    IN    A    108.100.175.150
mujlxrhf.www.pku.com.    IN    A    219.116.203.126
moqesplr.www.pku.com.    IN    A    189.155.120.100
bjvlhqie.www.pku.com.    IN    A    220.100.37.153
yencusfh.www.pku.com.    IN    A    48.195.112.148
jtmudkip.www.pku.com.    IN    A    80.201.250.187
omnjvyhq.www.pku.com.    IN    A    127.167.0.71
rsdbhacx.www.pku.com.    IN    A    21.86.26.254
nfwtupbl.www.pku.com.    IN    A    44.206.230.245
hpfvyqnd.www.pku.com.    IN    A    161.117.250.228
xecwsjrk.www.pku.com.    IN    A    176.120.252.101
vswamojp.www.pku.com.    IN    A    246.187.164.110
gexfabsq.www.pku.com.    IN    A    161.169.185.73
lwacjvqn.www.pku.com.    IN    A    70.202.66.201
wlifmqva.www.pku.com.    IN    A    2.201.45.92
hjdrnkxg.www.pku.com.    IN    A    22.118.140.219
ncuavfbq.www.pku.com.    IN    A    195.168.74.127
avlfhnie.www.pku.com.    IN    A    63.163.88.186
sfdjeucy.www.pku.com.    IN    A    33.65.23.203
jgiqdrhp.www.pku.com.    IN    A    149.152.254.123
kjrwugmn.www.pku.com.    IN    A    65.161.19.62
akvocftr.www.pku.com.    IN    A    173.10.59.104
tvegaspo.www.pku.com.    IN    A    42.247.150.108
cygntxew.www.pku.com.    IN    A    142.35.153.164
aditmsno.www.pku.com.    IN    A    104.254.216.139
gfichwyl.www.pku.com.    IN    A    215.249.127.117
sytqebod.www.pku.com.    IN    A    234.138.195.88
rcvighbs.www.pku.com.    IN    A    24.223.74.181
fmsojwqp.www.pku.com.    IN    A    110.237.100.15
ejqhulab.www.pku.com.    IN    A    76.28.73.232
yhflcvgn.www.pku.com.    IN    A    35.191.21.155
eatmhiuj.www.pku.com.    IN    A    227.35.1.174
chgobdiq.www.pku.com.    IN    A    119.176.64.120
uvmkfesc.www.pku.com.    IN    A    247.196.193.40
rcpaumkl.www.pku.com.    IN    A    119.70.202.165
gbpjfxtu.www.pku.com.    IN    A    171.85.3.208
bfqcdsnl.www.pku.com.    IN    A    106.159.244.63
dicwsyko.www.pku.com.    IN    A    170.183.38.145
xyuhqbev.www.pku.com.    IN    A    248.70.114.159
eobwjngr.www.pku.com.    IN    A    0.108.48.145
eruoqjpd.www.pku.com.    IN    A    47.40.69.72
pmrcxbei.www.pku.com.    IN    A    251.141.206.210
rqmlkwfn.www.pku.com.    IN    A    239.159.201.239
exmyulib.www.pku.com.    IN    A    86.195.233.241
uoepxyvr.www.pku.com.    IN    A    89.178.152.202
nvqdjbcw.www.pku.com.    IN    A    242.141.222.75
geixwktl.www.pku.com.    IN    A    46.19.247.20
tfwdjmir.www.pku.com.    IN    A    68.140.160.59
kdemtchp.www.pku.com.    IN    A    50.43.243.102
smwevoxc.www.pku.com.    IN    A    26.107.97.178
fdqcskbj.www.pku.com.    IN    A    4.116.141.48
pyvhknlj.www.pku.com.    IN    A    192.42.228.161
idoqaxrb.www.pku.com.    IN    A    136.150.42.15
clkrwbae.www.pku.com.    IN    A    6.203.7.229
lqgknotx.www.pku.com.    IN    A    153.238.120.174
tykqousp.www.pku.com.    IN    A    207.32.8.159
jlnexusp.www.pku.com.    IN    A    173.93.199.137
mtpyaohu.www.pku.com.    IN    A    205.164.159.122
hnvytmqe.www.pku.com.    IN    A    217.11.239.179
igrkyapo.www.pku.com.    IN    A    110.251.206.29
wivptkgs.www.pku.com.    IN    A    254.140.133.72
cexfnoqu.www.pku.com.    IN    A    169.74.5.175
kpqgjwlo.www.pku.com.    IN    A    68.156.20.29
rykotjim.www.pku.com.    IN    A    204.137.63.64
vuloecbd.www.pku.com.    IN    A    183.176.39.53
lpybugwi.www.pku.com.    IN    A    157.190.220.78
wyvgenmb.www.pku.com.    IN    A    95.175.17.254
soxhwaiq.www.pku.com.    IN    A    65.12.176.243
lpqeiwjf.www.pku.com.    IN    A    207.159.232.202
vyjxrlpi.www.pku.com.    IN    A    10.39.169.111
eusbypxd.www.pku.com.    IN    A    117.207.225.44
buwnxcjf.www.pku.com.    IN    A    135.175.82.252
urpjitcq.www.pku.com.    IN    A    228.181.111.50
pvuwdmai.www.pku.com.    IN    A    180.60.9.209
xrlepogm.www.pku.com.    IN    A    131.79.107.144
yfegbwxq.www.pku.com.    IN    A    177.190.208.232
cwinovmq.www.pku.com.    IN    A    150.1.103.217
mtbqvfrn.www.pku.com.    IN    A    2.51.60.59
phxwkdyv.www.pku.com.    IN    A    149.87.20.110
ybgntxso.www.pku.com.    IN    A    66.176.229.196
mvxeaoug.www.pku.com.    IN    A    224.11.23.122
ntgcovxe.www.pku.com.    IN    A    238.142.29.102
qnxcdgsy.www.pku.com.    IN    A    105.108.252.123
xifvadej.www.pku.com.    IN    A    113.182.0.128
bgyoackv.www.pku.com.    IN    A    218.50.207.6
bcjhkqey.www.pku.com.    IN    A    175.5.247.44
csbhvdxl.www.pku.com.    IN    A    209.21.243.138
okqghuyx.www.pku.com.    IN    A    130.110.78.10
qvaxdwso.www.pku.com.    IN    A    165.99.107.98
vfgtlabq.www.pku.com.    IN    A    244.160.79.47
wesfqimx.www.pku.com.    IN    A    126.178.252.125
sepnojvh.www.pku.com.    IN    A    33.207.155.107
vdosiwnq.www.pku.com.    IN    A    204.199.48.96
iqgdptnr.www.pku.com.    IN    A    196.99.25.125
inmrjykf.www.pku.com.    IN    A    231.48.192.243
jtckufdl.www.pku.com.    IN    A    202.130.91.12
yimcqtah.www.pku.com.    IN    A    196.87.122.73
prqlebyd.www.pku.com.    IN    A    54.53.216.214
jledfkwu.www.pku.com.    IN    A    177.249.124.143
rudlqoxa.www.pku.com.    IN    A    56.239.156.88
pstabxgq.www.pku.com.    IN    A    66.235.6.0
olewsqcg.www.pku.com.    IN    A    40.250.236.79
fhxdlrun.www.pku.com.    IN    A    45.255.37.120
reuyhpvn.www.pku.com.    IN    A    176.201.65.106
ifpynlma.www.pku.com.    IN    A    222.131.254.254
nvjcgedp.www.pku.com.    IN    A    157.3.116.46
hosnfdiy.www.pku.com.    IN    A    40.191.95.99
mdpctwol.www.pku.com.    IN    A    154.7.39.186
nysximah.www.pku.com.    IN    A    96.120.232.170
bngdtoev.www.pku.com.    IN    A    183.185.72.41
qpfhbexd.www.pku.com.    IN    A    176.206.153.19
xilnbkgq.www.pku.com.    IN    A    112.236.98.68
peqrbgdx.www.pku.com.    IN    A    193.195.200.29
ekuiycfg.www.pku.com.    IN    A    146.245.175.249
fuendoyw.www.pku.com.    IN    A    62.64.216.97
rdupbhck.www.pku.com.    IN    A    159.120.46.71
rqnvpxgt.www.pku.com.    IN    A    96.224.70.112
hwlartse.www.pku.com.    IN    A    130.131.31.96
crsbmlox.www.pku.com.    IN    A    23.31.118.158
oxgrdswa.www.pku.com.    IN    A    114.66.30.48
eqsvyigl.www.pku.com.    IN    A    88.244.60.126
icfgbaey.www.pku.com.    IN    A    251.168.36.113
wyjbhtxe.www.pku.com.    IN    A    154.164.192.30
flxswtcn.www.pku.com.    IN    A    70.14.130.39
atsumiok.www.pku.com.    IN    A    194.14.50.19
uctlahsi.www.pku.com.    IN    A    234.193.247.176
lnsghtcy.www.pku.com.    IN    A    113.124.32.181
klvqujrs.www.pku.com.    IN    A    225.24.75.76
vgupxcqn.www.pku.com.    IN    A    17.16.227.95
kqefnurj.www.pku.com.    IN    A    130.206.163.184
dkgvrniq.www.pku.com.    IN    A    114.1.93.194
wvycjath.www.pku.com.    IN    A    235.232.183.131
cxiqauty.www.pku.com.    IN    A    223.18.170.98
porkdaiu.www.pku.com.    IN    A    57.105.46.231
uhqtjedv.www.pku.com.    IN    A    235.228.223.43
ndihvkfr.www.pku.com.    IN    A    134.123.153.16
siyrbgot.www.pku.com.    IN    A    37.140.190.201
qmdbynkx.www.pku.com.    IN    A    239.30.94.89
jylivdwa.www.pku.com.    IN    A    30.73.29.35
nwqxcvea.www.pku.com.    IN    A    26.87.117.141
wpcdmanl.www.pku.com.    IN    A    18.189.57.28
splmwirv.www.pku.com.    IN    A    247.43.224.68
dqfsjrpy.www.pku.com.    IN    A    168.81.145.161
pxkbfyjm.www.pku.com.    IN    A    151.235.8.33
ctjfsamn.www.pku.com.    IN    A    59.38.68.10
ufidhvbn.www.pku.com.    IN    A    157.47.231.152
jitvdnqe.www.pku.com.    IN    A    181.10.109.7
usibknqh.www.pku.com.    IN    A    102.157.112.245
ubchgoxs.www.pku.com.    IN    A    194.115.86.6
htnwxpgf.www.pku.com.    IN    A    252.160.4.217
ewvdlnob.www.pku.com.    IN    A    41.82.61.34
nwltcdpg.www.pku.com.    IN    A    110.36.134.102
qjgbmxin.www.pku.com.    IN    A    83.35.165.143
bwfnvyau.www.pku.com.    IN    A    19.64.174.33
simjucax.www.pku.com.    IN    A    198.143.147.19
ljapfwtb.www.pku.com.    IN    A    253.181.197.22
mwdanxls.www.pku.com.    IN    A    133.21.103.26
hvgufcbs.www.pku.com.    IN    A    44.174.87.134
aliqpokg.www.pku.com.    IN    A    179.217.136.97
qdocyatb.www.pku.com.    IN    A    230.19.107.171
rcelimup.www.pku.com.    IN    A    33.48.81.31
cvgmnajp.www.pku.com.    IN    A    34.81.252.56
tfqxrvhm.www.pku.com.    IN    A    103.40.184.162
cbvoefus.www.pku.com.    IN    A    207.95.109.149
ewcfbqsp.www.pku.com.    IN    A    44.238.20.175
pumbtfsl.www.pku.com.    IN    A    167.181.213.82
nifrvwlx.www.pku.com.    IN    A    3.102.23.121
vifdwxhn.www.pku.com.    IN    A    28.173.246.66
nixqbdur.www.pku.com.    IN    A    123.126.68.179
lginxktb.www.pku.com.    IN    A    110.190.31.96
vxburlme.www.pku.com.    IN    A    74.4.184.211
imypnksw.www.pku.com.    IN    A    64.235.75.227
uadesvfy.www.pku.com.    IN    A    163.191.240.26
qbpujnxd.www.pku.com.    IN    A    41.1.240.153
nelikwdq.www.pku.com.    IN    A    224.175.156.77
uknsegqo.www.pku.com.    IN    A    253.200.99.94
tmvsgypi.www.pku.com.    IN    A    12.3.156.109
xbtdulav.www.pku.com.    IN    A    107.61.134.134
amrqjwbk.www.pku.com.    IN    A    42.238.219.197
xhgbdwqo.www.pku.com.    IN    A    191.70.79.149
mkabxgse.www.pku.com.    IN    A    103.215.153.14
mlexwjko.www.pku.com.    IN    A    71.87.217.51
jqmlngcy.www.pku.com.    IN    A    12.175.91.51
xjefqkcg.www.pku.com.    IN    A    11.239.147.48
cwugfbjn.www.pku.com.    IN    A    117.132.13.245
mwyejuhx.www.pku.com.    IN    A    60.25.232.120
lojuebhx.www.pku.com.    IN    A    52.6.100.82
cnbhsfgo.www.pku.com.    IN    A    137.219.72.85
mkcjgehp.www.pku.com.    IN    A    223.50.240.142
anelqxoh.www.pku.com.    IN    A    161.56.149.22
dctweqbi.www.pku.com.    IN    A    185.115.8.232
lodambve.www.pku.com.    IN    A    234.248.37.137
rnlmidky.www.pku.com.    IN    A    251.171.229.110
acsnpuxb.www.pku.com.    IN    A    56.146.136.52
nrtqhecx.www.pku.com.    IN    A    11.222.241.39
uwnerbpc.www.pku.com.    IN    A    40.170.10.198
crtvdbql.www.pku.com.    IN    A    0.59.122.24
kfywncgp.www.pku.com.    IN    A    55.241.26.136
bctfwxmi.www.pku.com.    IN    A    101.58.175.171
yfgrdoes.www.pku.com.    IN    A    48.85.155.244
iqtncbhv.www.pku.com.    IN    A    150.41.114.31
nwfdipgq.www.pku.com.    IN    A    30.221.84.120
hodnsxki.www.pku.com.    IN    A    49.95.25.16
bqulphfo.www.pku.com.    IN    A    68.97.129.252
leivnasm.www.pku.com.    IN    A    120.68.142.137
aehrxkyp.www.pku.com.    IN    A    218.189.67.99
srcxiopu.www.pku.com.    IN    A    110.123.130.179
adjrvfbg.www.pku.com.    IN    A    5.18.36.240
elgmuqdf.www.pku.com.    IN    A    67.118.24.56
ybvaormp.www.pku.com.    IN    A    191.100.246.153
qbydipur.www.pku.com.    IN    A    13.157.33.56
snrxcedm.www.pku.com.    IN    A    108.64.231.241
mafcwtgo.www.pku.com.    IN    A    250.26.87.51
hkrvuiym.www.pku.com.    IN    A    53.132.161.233
gsljtiuq.www.pku.com.    IN    A    211.128.27.28
dblwrpyu.www.pku.com.    IN    A    193.195.96.37
wbvmhdoe.www.pku.com.    IN    A    103.162.148.77
qtilufkb.www.pku.com.    IN    A    17.13.13.152
tgwlfqvi.www.pku.com.    IN    A    165.62.120.90
jyagqvmp.www.pku.com.    IN    A    43.103.114.240
aykcimgs.www.pku.com.    IN    A    0.70.148.129
dkhapcnt.www.pku.com.    IN    A    164.136.237.96
wdcvuteh.www.pku.com.    IN    A    111.55.237.172
btldrakn.www.pku.com.    IN    A    110.46.147.75
jdqpybie.www.pku.com.    IN    A    149.232.164.216
pycxwmbo.www.pku.com.    IN    A    66.125.130.179
dukjyxrq.www.pku.com.    IN    A    218.175.77.254
ndkciryq.www.pku.com.    IN    A    167.222.45.31
qebgmndw.www.pku.com.    IN    A    250.201.52.254
egdmhobt.www.pku.com.    IN    A    253.196.157.131
kqhupoxv.www.pku.com.    IN    A    253.240.237.238
xbkyqrfi.www.pku.com.    IN    A    189.194.186.231
ivecqxty.www.pku.com.    IN    A    98.23.104.133
gkpqmduf.www.pku.com.    IN    A    28.234.103.123
aidpvsqx.www.pku.com.    IN    A    68.94.28.68
ujsxknec.www.pku.com.    IN    A    42.28.140.126
umxhadbw.www.pku.com.    IN    A    246.77.105.163
jfgsulta.www.pku.com.    IN    A    218.88.84.44
ixktpavg.www.pku.com.    IN    A    250.23.254.15
ytaxngcu.www.pku.com.    IN    A    68.195.143.221
mjfekgiw.www.pku.com.    IN    A    81.11.65.86
dcbekfoi.www.pku.com.    IN    A    114.196.89.99
rsjplcvg.www.pku.com.    IN    A    141.54.238.9
rqaisfmo.www.pku.com.    IN    A    97.188.241.56
cuidhblm.www.pku.com.    IN    A    145.99.3.182
frweavsg.www.pku.com.    IN    A    184.191.237.236
tdxpalhs.www.pku.com.    IN    A    104.217.8.230
aktwxmiu.www.pku.com.    IN    A    8.6.245.145
ewrupfxi.www.pku.com.    IN    A    7.218.225.235
bardvjfw.www.pku.com.    IN    A    65.124.12.79
ckalgrdh.www.pku.com.    IN    A    56.193.231.208
pxakowqj.www.pku.com.    IN    A    148.205.139.19
vjgdcuyh.www.pku.com.    IN    A    249.59.155.108
eyxtsocg.www.pku.com.    IN    A    103.191.254.91
rpxlwefa.www.pku.com.    IN    A    196.83.139.219
xatubynj.www.pku.com.    IN    A    53.245.90.155
wmhircvp.www.pku.com.    IN    A    81.108.103.223
cupmxjqf.www.pku.com.    IN    A    137.80.173.190
xpltokmn.www.pku.com.    IN    A    13.75.189.182
ueqcwntb.www.pku.com.    IN    A    100.164.137.70
wqiybuks.www.pku.com.    IN    A    44.199.96.176
icsvwgtu.www.pku.com.    IN    A    19.90.213.64
yegiaktn.www.pku.com.    IN    A    119.205.99.208
pwilduvm.www.pku.com.    IN    A    50.152.184.46
ysdxgqou.www.pku.com.    IN    A    5.122.56.50
ylhrpknm.www.pku.com.    IN    A    135.209.186.48
qdlwvrpo.www.pku.com.    IN    A    47.54.93.24
dvprbqus.www.pku.com.    IN    A    220.22.43.95
gfibchtq.www.pku.com.    IN    A    194.152.150.31
cejfxmui.www.pku.com.    IN    A    43.68.120.4
pltfruxq.www.pku.com.    IN    A    44.131.245.242
jbomtkrf.www.pku.com.    IN    A    96.17.196.159
dmnrwufp.www.pku.com.    IN    A    179.254.137.75
qdihnlyv.www.pku.com.    IN    A    11.102.42.106
pocagyrw.www.pku.com.    IN    A    234.40.121.217
ekcibsmq.www.pku.com.    IN    A    113.135.15.164
laticwfg.www.pku.com.    IN    A    182.241.199.112
xmrwcfhd.www.pku.com.    IN    A    11.242.118.240
jebdpmgf.www.pku.com.    IN    A    166.132.78.155
qiygspbr.www.pku.com.    IN    A    58.231.73.69
mcpulnxj.www.pku.com.    IN    A    187.170.23.140
ygtrkfqw.www.pku.com.    IN    A    148.37.246.141
ayinkjvo.www.pku.com.    IN    A    45.223.247.213
pshylgon.www.pku.com.    IN    A    227.97.132.197
lbojmuag.www.pku.com.    IN    A    254.24.130.199
fnurmlex.www.pku.com.    IN    A    61.64.46.44
qnkiytgj.www.pku.com.    IN    A    181.170.195.0
lfxgkwqc.www.pku.com.    IN    A    4.18.253.56
pnvdbwxi.www.pku.com.    IN    A    84.149.160.216
mbsgxavl.www.pku.com.    IN    A    166.120.212.244
pjihlybx.www.pku.com.    IN    A    10.145.3.228
pqgaxyno.www.pku.com.    IN    A    16.227.174.196
hyqvpukd.www.pku.com.    IN    A    223.171.197.59
givldpqu.www.pku.com.    IN    A    118.65.87.176
xqmhrovk.www.pku.com.    IN    A    223.219.214.212
vodbhfpu.www.pku.com.    IN    A    161.236.171.194
idjlxmqk.www.pku.com.    IN    A    104.182.172.60
idkfbrqn.www.pku.com.    IN    A    118.22.219.171
scljpawe.www.pku.com.    IN    A    202.188.186.68
vmynrchl.www.pku.com.    IN    A    124.254.110.54
mrvaewoj.www.pku.com.    IN    A    169.152.22.236
xmwvqnid.www.pku.com.    IN    A    139.40.177.152
qjpglwch.www.pku.com.    IN    A    214.171.155.193
xtjpagbi.www.pku.com.    IN    A    36.85.38.237
gjolkxdw.www.pku.com.    IN    A    246.183.83.185
budxlvtn.www.pku.com.    IN    A    224.105.82.35
wdeumboq.www.pku.com.    IN    A    185.28.81.54
qsbouvih.www.pku.com.    IN    A    127.124.145.122
hqbcaevk.www.pku.com.    IN    A    247.114.67.178
bphaimrf.www.pku.com.    IN    A    151.29.105.74
ieudwoaq.www.pku.com.    IN    A    249.7.208.26
olbacyep.www.pku.com.    IN    A    29.118.14.170
cnljvgmu.www.pku.com.    IN    A    98.253.151.62
lgfvmtpx.www.pku.com.    IN    A    56.52.122.122
axqeftpu.www.pku.com.    IN    A    171.193.236.56
sxipntmy.www.pku.com.    IN    A    0.255.108.89
abrvelcu.www.pku.com.    IN    A    103.234.187.133
fqxeslby.www.pku.com.    IN    A    93.140.59.198
bfcqayhx.www.pku.com.    IN    A    240.10.0.254
qeadwbsy.www.pku.com.    IN    A    255.209.37.22
ihpfurlk.www.pku.com.    IN    A    250.94.156.218
kxcosuqi.www.pku.com.    IN    A    50.182.10.104
arescqoi.www.pku.com.    IN    A    48.171.148.3
mhrypqfs.www.pku.com.    IN    A    186.69.50.45
shpeioxv.www.pku.com.    IN    A    20.235.58.80
lvkgbmqf.www.pku.com.    IN    A    25.216.190.243
hodumxct.www.pku.com.    IN    A    60.107.89.112
nwjmyfqd.www.pku.com.    IN    A    190.236.94.91
subqtyvn.www.pku.com.    IN    A    59.88.121.121
fripatnq.www.pku.com.    IN    A    21.232.183.47
ijmqdesx.www.pku.com.    IN    A    14.217.163.196
mnxohdps.www.pku.com.    IN    A    244.218.227.227
mjefploh.www.pku.com.    IN    A    176.234.14.80
inlcyedx.www.pku.com.    IN    A    112.172.196.47
nwgdorap.www.pku.com.    IN    A    187.243.136.207
jngmqtfr.www.pku.com.    IN    A    101.15.64.212
ogjrftyh.www.pku.com.    IN    A    77.144.245.169
gxmwosnf.www.pku.com.    IN    A    85.164.97.12
fljcsxpd.www.pku.com.    IN    A    107.237.247.107
