; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR lzu.com. @ns2.lzu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
lzu.com.			      14400 IN NS	ns1.lzu.com.
ns1.lzu.com.			      14400 IN A	10.166.21.12

www.lzu.com.		      14400 IN NS	ns1.www.lzu.com.
ns1.www.lzu.com.		      14400 IN A		10.166.21.13

xw.lzu.com.		      14400 IN NS	ns1.xw.lzu.com.
ns1.xw.lzu.com.		      14400 IN A		10.166.21.14

zheshexi.lzu.com.		      14400 IN NS	ns1.zheshexi.lzu.com.
ns1.zheshexi.lzu.com.		      14400 IN A		10.166.21.15

lzu.com.			      14400 IN MX	10 zheshexitp.lzu.edu.
lzu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
iwunshpm.lzu.com.        IN    A    215.71.46.104
aocmhfsp.lzu.com.        IN    A    217.239.206.115
yjngudet.lzu.com.        IN    A    144.78.250.97
wgfxlims.lzu.com.        IN    A    13.164.86.142
epwyfgvc.lzu.com.        IN    A    205.138.28.1
vsltiacf.lzu.com.        IN    A    151.221.24.117
barlpjcx.lzu.com.        IN    A    177.93.240.138
opbuhtik.lzu.com.        IN    A    27.151.134.11
vqoxjars.lzu.com.        IN    A    183.28.64.178
kucehwjs.lzu.com.        IN    A    85.229.155.63
aroqtupn.lzu.com.        IN    A    234.77.195.248
twikeurc.lzu.com.        IN    A    94.156.195.222
oxcgvhys.lzu.com.        IN    A    172.196.242.120
xwkoujvy.lzu.com.        IN    A    31.122.245.161
fcbraktl.lzu.com.        IN    A    255.92.190.255
whbueknm.lzu.com.        IN    A    168.137.59.121
nperljdw.lzu.com.        IN    A    246.85.195.72
rqijtgwv.lzu.com.        IN    A    60.143.141.35
ujtwopbk.lzu.com.        IN    A    15.227.250.130
xrlohstv.lzu.com.        IN    A    124.251.62.192
rvqxfpyc.lzu.com.        IN    A    146.40.54.65
eirvodsp.lzu.com.        IN    A    48.129.103.104
wfraecji.lzu.com.        IN    A    180.106.39.64
ktimnope.lzu.com.        IN    A    35.89.134.100
atrohgpy.lzu.com.        IN    A    71.19.232.44
tsivugyj.lzu.com.        IN    A    126.195.107.193
alhsqwbx.lzu.com.        IN    A    180.104.12.194
gtwkhucq.lzu.com.        IN    A    78.76.212.236
rojbiuvt.lzu.com.        IN    A    31.19.82.131
bvgijctp.lzu.com.        IN    A    115.154.53.214
oumsacke.lzu.com.        IN    A    228.212.157.1
vtmaqsch.lzu.com.        IN    A    33.30.99.16
oqmhxcrk.lzu.com.        IN    A    175.233.6.95
kfxhvetw.lzu.com.        IN    A    237.70.107.253
kgvnprhb.lzu.com.        IN    A    154.84.107.84
ltqhnusk.lzu.com.        IN    A    56.137.26.20
wnrydhub.lzu.com.        IN    A    12.59.146.89
uewiqchl.lzu.com.        IN    A    225.181.113.66
sfjbnvha.lzu.com.        IN    A    7.233.11.45
panxbrqs.lzu.com.        IN    A    31.207.86.98
elufotgd.lzu.com.        IN    A    230.131.144.10
kmjcbowg.lzu.com.        IN    A    149.11.194.174
peokqyfc.lzu.com.        IN    A    99.221.35.123
ejqbtmig.lzu.com.        IN    A    204.138.49.126
rtyidngj.lzu.com.        IN    A    202.68.32.96
mtwnlyge.lzu.com.        IN    A    54.193.81.8
xgdrshut.lzu.com.        IN    A    115.48.11.41
cjgykaod.lzu.com.        IN    A    8.171.70.185
kxdracob.lzu.com.        IN    A    124.205.246.46
nxuarsfc.lzu.com.        IN    A    227.152.67.14
qsfnokyu.lzu.com.        IN    A    227.212.247.0
kjrabdho.lzu.com.        IN    A    204.180.10.0
rvmfixqp.lzu.com.        IN    A    101.162.205.60
icphrgjk.lzu.com.        IN    A    226.175.154.241
qhudbcks.lzu.com.        IN    A    43.194.110.128
qtuankco.lzu.com.        IN    A    78.251.169.172
adoqbmvp.lzu.com.        IN    A    43.248.147.229
vluqpamd.lzu.com.        IN    A    178.161.242.37
wpatrflq.lzu.com.        IN    A    49.104.69.228
djogains.lzu.com.        IN    A    186.59.246.230
slcxgmfw.lzu.com.        IN    A    151.172.66.61
brmftuis.lzu.com.        IN    A    31.74.115.156
twpegvkx.lzu.com.        IN    A    115.198.248.30
crkdythw.lzu.com.        IN    A    83.252.198.24
ljbfsuwy.lzu.com.        IN    A    142.172.227.148
wkpyfvnl.lzu.com.        IN    A    36.122.211.151
joglvykx.lzu.com.        IN    A    124.141.204.82
ysldhgcb.lzu.com.        IN    A    75.114.27.42
dkeflpqg.lzu.com.        IN    A    243.165.132.105
vjagspkt.lzu.com.        IN    A    6.159.228.58
lnosriqx.lzu.com.        IN    A    41.27.78.139
qjtiykoe.lzu.com.        IN    A    106.137.168.25
wqgsjhka.lzu.com.        IN    A    243.9.57.163
ftacjihg.lzu.com.        IN    A    52.72.151.189
viykeorp.lzu.com.        IN    A    193.93.96.25
inwsurcq.lzu.com.        IN    A    6.152.90.25
ahxqnwju.lzu.com.        IN    A    157.4.199.226
tcywqngi.lzu.com.        IN    A    90.211.193.111
avxuqjnr.lzu.com.        IN    A    100.242.222.122
pwbavked.lzu.com.        IN    A    134.199.33.238
ldveqixo.lzu.com.        IN    A    26.238.25.48
rvxmpufl.lzu.com.        IN    A    191.198.95.245
hsjqkocm.lzu.com.        IN    A    49.31.29.62
tpangcem.lzu.com.        IN    A    80.117.118.218
dxsbhlgy.lzu.com.        IN    A    187.191.132.131
rxmcfspe.lzu.com.        IN    A    158.112.150.132
mgceivpr.lzu.com.        IN    A    21.224.153.244
wsacovxd.lzu.com.        IN    A    69.250.41.97
ndcuiqhe.lzu.com.        IN    A    244.133.128.50
ulpfrwet.lzu.com.        IN    A    230.241.128.146
wnsutyhe.lzu.com.        IN    A    43.86.16.220
axhmtqwj.lzu.com.        IN    A    62.132.188.255
vabgsjen.lzu.com.        IN    A    116.245.36.180
ghxcfeti.lzu.com.        IN    A    91.24.99.104
kovejmpc.lzu.com.        IN    A    156.112.121.192
lhectwuv.lzu.com.        IN    A    68.193.72.187
buemqgcs.lzu.com.        IN    A    131.81.68.122
wubprfel.lzu.com.        IN    A    141.237.56.39
umtqldes.lzu.com.        IN    A    33.65.242.213
tbwvxduq.lzu.com.        IN    A    68.32.223.18
bdmevynk.lzu.com.        IN    A    233.243.190.179
admphxto.lzu.com.        IN    A    160.111.175.53
ysvruned.lzu.com.        IN    A    214.31.2.246
cftouxim.lzu.com.        IN    A    241.168.106.165
dnkomigp.lzu.com.        IN    A    138.111.70.138
xmigqnwp.lzu.com.        IN    A    204.219.22.93
nhcfitus.lzu.com.        IN    A    161.89.242.114
cwlbxqjt.lzu.com.        IN    A    64.251.230.122
orfyjuei.lzu.com.        IN    A    201.243.145.75
vxtqwukj.lzu.com.        IN    A    240.64.69.219
druplsxj.lzu.com.        IN    A    147.70.41.169
foqtwyks.lzu.com.        IN    A    18.99.147.243
iftbpyan.lzu.com.        IN    A    143.156.51.150
orbpxvyj.lzu.com.        IN    A    21.146.125.129
ofxnjhvw.lzu.com.        IN    A    121.11.70.95
ktecdgym.lzu.com.        IN    A    252.43.184.245
xhgupbse.lzu.com.        IN    A    232.219.22.52
pbfwrehs.lzu.com.        IN    A    174.5.89.186
lcaewijy.lzu.com.        IN    A    87.220.144.187
kdybvhrp.lzu.com.        IN    A    103.48.12.108
quibsawh.lzu.com.        IN    A    161.91.90.8
hjpleyra.lzu.com.        IN    A    120.192.35.8
tbjxkmgo.lzu.com.        IN    A    229.171.125.77
sfilmwuk.lzu.com.        IN    A    164.134.85.211
tkqcwodh.lzu.com.        IN    A    232.133.45.75
qumtlxni.lzu.com.        IN    A    185.105.162.224
umglckor.lzu.com.        IN    A    77.228.98.206
idaemogp.lzu.com.        IN    A    144.99.171.11
mqkapcvo.lzu.com.        IN    A    224.215.41.59
ousqwpyr.lzu.com.        IN    A    175.194.138.170
kojcexrw.lzu.com.        IN    A    14.166.139.0
fbqunods.lzu.com.        IN    A    150.73.36.192
pjvnsilg.lzu.com.        IN    A    155.132.247.172
uamjwokn.lzu.com.        IN    A    205.57.231.176
jsweoith.lzu.com.        IN    A    92.90.116.57
ldfjnpse.lzu.com.        IN    A    233.66.76.7
ofwkyrtq.lzu.com.        IN    A    79.144.244.9
gnjotpqf.lzu.com.        IN    A    91.61.56.117
jbqoiplv.lzu.com.        IN    A    9.15.124.110
itnbqugj.lzu.com.        IN    A    32.95.136.252
drbmaejf.lzu.com.        IN    A    195.67.166.32
rljckein.lzu.com.        IN    A    124.29.107.4
efwvhtor.lzu.com.        IN    A    249.173.227.119
pglnwfma.lzu.com.        IN    A    129.0.222.50
hobvwmla.lzu.com.        IN    A    97.41.38.245
uixgonbh.lzu.com.        IN    A    28.13.114.65
uildrmob.lzu.com.        IN    A    56.209.228.112
jwahftku.lzu.com.        IN    A    144.205.81.195
ywxuhjga.lzu.com.        IN    A    209.86.225.243
ehvnultx.lzu.com.        IN    A    12.85.52.248
doytuifq.lzu.com.        IN    A    228.254.94.241
ksefxhtp.lzu.com.        IN    A    151.249.53.226
clrpufgd.lzu.com.        IN    A    24.123.96.77
wolcqpag.lzu.com.        IN    A    144.226.190.93
qmrntgci.lzu.com.        IN    A    226.206.162.139
qnwpambj.lzu.com.        IN    A    164.211.53.220
kadjcbun.lzu.com.        IN    A    224.215.90.46
nhljytva.lzu.com.        IN    A    42.129.34.210
ptlvioeb.lzu.com.        IN    A    33.86.36.40
wcsalgpm.lzu.com.        IN    A    34.182.192.138
smobneyw.lzu.com.        IN    A    210.76.179.83
hwexgvop.lzu.com.        IN    A    22.140.197.103
ahsyukvj.lzu.com.        IN    A    5.18.201.193
xqlrwtbd.lzu.com.        IN    A    114.22.78.151
adnqvltm.lzu.com.        IN    A    20.67.23.165
dnjsypkm.lzu.com.        IN    A    142.142.115.54
yvsxrtuc.lzu.com.        IN    A    148.139.243.195
nwobeiqk.lzu.com.        IN    A    3.147.133.58
kgbydxri.lzu.com.        IN    A    76.79.58.233
gxvrsqbh.lzu.com.        IN    A    104.98.55.131
icykxgbn.lzu.com.        IN    A    224.172.115.248
mrospbqg.lzu.com.        IN    A    28.249.190.8
fumrkngi.lzu.com.        IN    A    79.178.201.0
vqukxlsm.lzu.com.        IN    A    102.59.107.94
vksafugc.lzu.com.        IN    A    198.147.154.113
mrpaxdnj.lzu.com.        IN    A    40.19.81.199
phyvcanm.lzu.com.        IN    A    83.6.128.46
beyinhcx.lzu.com.        IN    A    54.255.193.27
jvoaqphu.lzu.com.        IN    A    135.40.249.104
fhqtcpek.lzu.com.        IN    A    69.13.34.208
mkeixqht.lzu.com.        IN    A    9.174.121.142
jcnbpkgu.lzu.com.        IN    A    218.151.245.155
vheqagct.lzu.com.        IN    A    15.209.60.36
stwiunxr.lzu.com.        IN    A    163.29.23.41
fklueiro.lzu.com.        IN    A    15.60.87.103
kiouvbre.lzu.com.        IN    A    9.189.145.32
jfleirqh.lzu.com.        IN    A    251.104.86.97
egytbrdx.lzu.com.        IN    A    144.227.157.226
hkuimcyg.lzu.com.        IN    A    87.121.32.145
glwevhfd.lzu.com.        IN    A    20.195.24.236
cjlwmstf.lzu.com.        IN    A    160.99.31.196
nkxygdsv.lzu.com.        IN    A    41.75.153.176
cdrabfye.lzu.com.        IN    A    37.146.189.193
cxykumad.lzu.com.        IN    A    25.229.43.199
alnpvybu.lzu.com.        IN    A    189.41.146.36
koyfnvlh.lzu.com.        IN    A    41.44.87.14
kldambvr.lzu.com.        IN    A    228.199.147.73
udvlnsko.lzu.com.        IN    A    68.252.153.105
baphutjo.lzu.com.        IN    A    79.163.229.18
rbwovxed.lzu.com.        IN    A    48.65.246.211
twnqlpso.lzu.com.        IN    A    131.187.3.222
akselmtc.lzu.com.        IN    A    207.15.155.145
aksdqhet.lzu.com.        IN    A    69.39.229.105
vwxuicor.lzu.com.        IN    A    47.208.51.129
loxiknqt.lzu.com.        IN    A    172.78.3.17
pevgaqyl.lzu.com.        IN    A    144.100.173.126
ygerhbnl.lzu.com.        IN    A    10.83.187.50
dbnmrfws.lzu.com.        IN    A    11.121.137.34
onrcksig.lzu.com.        IN    A    95.207.166.124
bnkheuox.lzu.com.        IN    A    193.227.123.199
cobqdhxv.lzu.com.        IN    A    170.167.61.152
tlpgdnyf.lzu.com.        IN    A    44.212.119.189
odsqupwv.lzu.com.        IN    A    11.226.159.106
ptumryfo.lzu.com.        IN    A    164.236.233.187
gonqphdr.lzu.com.        IN    A    42.63.58.142
setflxmn.lzu.com.        IN    A    242.76.111.190
nwsvklio.lzu.com.        IN    A    128.245.83.194
qwpvkgmt.lzu.com.        IN    A    174.49.120.251
bdciytua.lzu.com.        IN    A    232.96.245.3
jthrpwkv.lzu.com.        IN    A    29.87.163.90
icrfenph.lzu.com.        IN    A    46.90.112.212
lsauvcgi.lzu.com.        IN    A    162.14.90.203
xjmghduy.lzu.com.        IN    A    179.102.0.112
kyajipdw.lzu.com.        IN    A    74.55.214.126
qnhdyepl.lzu.com.        IN    A    78.22.184.39
gkfseiac.lzu.com.        IN    A    215.12.147.41
evfadmgh.lzu.com.        IN    A    184.109.220.54
dmbykngq.lzu.com.        IN    A    184.202.170.213
jdkmfwin.lzu.com.        IN    A    27.11.130.40
gxihqsde.lzu.com.        IN    A    117.197.134.97
xkimlypb.lzu.com.        IN    A    49.134.44.130
fwjacubt.lzu.com.        IN    A    54.147.153.221
ldrjobaw.lzu.com.        IN    A    222.79.225.32
uwtjrdox.lzu.com.        IN    A    78.126.67.253
onetfjiw.lzu.com.        IN    A    24.50.219.123
uwgpvodl.lzu.com.        IN    A    233.212.216.37
mqiwcdya.lzu.com.        IN    A    207.44.129.116
ectmgwrl.lzu.com.        IN    A    111.9.93.157
rqmhkwfi.lzu.com.        IN    A    16.222.253.72
spxtkejm.lzu.com.        IN    A    86.228.96.206
utsamekv.lzu.com.        IN    A    167.223.179.5
umvahpls.lzu.com.        IN    A    199.146.131.207
sovnqxyc.lzu.com.        IN    A    167.181.22.48
fysbvxrw.lzu.com.        IN    A    172.130.192.247
rqfmoiwe.lzu.com.        IN    A    68.99.88.204
rtnpvmgo.lzu.com.        IN    A    121.64.185.138
uhwkgymv.lzu.com.        IN    A    8.199.216.201
qavyxcsk.lzu.com.        IN    A    30.54.46.211
djuyxrgl.lzu.com.        IN    A    253.184.235.67
htjaycwv.lzu.com.        IN    A    83.48.150.116
wgjptylv.lzu.com.        IN    A    129.175.123.193
hosvnjay.lzu.com.        IN    A    143.196.151.242
brptamwl.lzu.com.        IN    A    247.201.157.70
swcjfabv.lzu.com.        IN    A    55.152.46.131
fgniutaq.lzu.com.        IN    A    3.181.84.174
fgxvwony.lzu.com.        IN    A    203.83.242.149
oqertckg.lzu.com.        IN    A    157.21.81.73
rtdxqkgi.lzu.com.        IN    A    61.203.145.21
jnksxigl.lzu.com.        IN    A    149.7.12.100
mqxigblp.lzu.com.        IN    A    238.63.231.173
bgjhenpy.lzu.com.        IN    A    55.118.31.78
pvyglahm.lzu.com.        IN    A    63.14.140.206
cerjshou.lzu.com.        IN    A    40.64.228.29
criyvbap.lzu.com.        IN    A    153.127.77.183
wlisngqd.lzu.com.        IN    A    168.102.60.129
fwiqugxs.lzu.com.        IN    A    100.113.22.24
ixqtseun.lzu.com.        IN    A    228.159.131.222
dmknxvao.lzu.com.        IN    A    244.148.133.151
ahfmdqbw.lzu.com.        IN    A    150.87.97.82
myfiaqph.lzu.com.        IN    A    29.171.147.109
vymnfgpq.lzu.com.        IN    A    219.83.162.52
naoveqjy.lzu.com.        IN    A    145.215.85.53
asbvphcm.lzu.com.        IN    A    178.33.106.76
wkglsiju.lzu.com.        IN    A    163.245.39.81
xngbdioh.lzu.com.        IN    A    7.242.143.251
syoaprgk.lzu.com.        IN    A    171.192.253.66
joabwhpu.lzu.com.        IN    A    167.48.203.148
fbwshxvq.lzu.com.        IN    A    97.225.232.179
uokhdjxm.lzu.com.        IN    A    223.95.162.53
hqcgbirl.lzu.com.        IN    A    185.166.240.60
xdktcjyl.lzu.com.        IN    A    75.237.239.210
hvjiqmtp.lzu.com.        IN    A    134.239.62.164
akvhmpes.lzu.com.        IN    A    165.117.54.83
acwyuvnx.lzu.com.        IN    A    59.166.132.216
phjgaliu.lzu.com.        IN    A    209.57.13.128
arjfbhlw.lzu.com.        IN    A    245.64.2.136
tbyiuwfv.lzu.com.        IN    A    211.171.210.195
wkqfpdym.lzu.com.        IN    A    87.133.248.236
kbleyvsc.lzu.com.        IN    A    57.240.181.172
harbwsti.lzu.com.        IN    A    91.144.57.29
btkpumql.lzu.com.        IN    A    159.38.69.33
xuvkhlry.lzu.com.        IN    A    142.127.132.226
oixhnbkv.lzu.com.        IN    A    19.102.218.21
ftdjqxew.lzu.com.        IN    A    171.45.254.210
ewiqsvdt.lzu.com.        IN    A    119.3.73.123
fcdrmysw.lzu.com.        IN    A    172.227.106.195
xsmqcvtn.lzu.com.        IN    A    129.135.235.242
praotkhl.lzu.com.        IN    A    147.14.177.182
iwelfjpa.lzu.com.        IN    A    0.189.62.140
hkrmvxse.lzu.com.        IN    A    168.183.187.156
olhispef.lzu.com.        IN    A    156.31.118.71
lbxqdpht.lzu.com.        IN    A    58.213.62.177
gqtkwcuj.lzu.com.        IN    A    219.161.231.74
aetqdmlp.lzu.com.        IN    A    215.117.242.80
tbdlyxrp.lzu.com.        IN    A    230.88.100.67
lyeawspj.lzu.com.        IN    A    35.232.39.151
uwnptfqi.lzu.com.        IN    A    128.71.151.28
ohylubms.lzu.com.        IN    A    219.17.64.132
glsdxqkh.lzu.com.        IN    A    101.10.23.109
aqwsrhbo.lzu.com.        IN    A    119.87.197.89
cyjtkife.lzu.com.        IN    A    85.196.128.227
yiabxfsj.lzu.com.        IN    A    178.167.229.231
ewrkyljo.lzu.com.        IN    A    108.252.19.139
jidlseuk.lzu.com.        IN    A    37.81.67.220
pqkiwmhc.lzu.com.        IN    A    4.217.232.230
kjwpertf.lzu.com.        IN    A    99.69.223.62
aswpgekx.lzu.com.        IN    A    92.192.222.48
eruhltvg.lzu.com.        IN    A    148.240.137.150
brduwntm.lzu.com.        IN    A    229.112.73.68
iwpayejt.lzu.com.        IN    A    155.61.165.201
wmbeiyjx.lzu.com.        IN    A    103.238.3.175
gvhkfwqj.lzu.com.        IN    A    139.19.72.240
kexdugqs.lzu.com.        IN    A    31.121.190.7
svrpcuhw.lzu.com.        IN    A    42.69.18.124
qhnikxlm.lzu.com.        IN    A    48.87.143.62
qruakbgx.lzu.com.        IN    A    0.232.147.150
fvrimgnq.lzu.com.        IN    A    200.228.167.197
lhtyeabd.lzu.com.        IN    A    129.193.123.48
wpbmhajg.lzu.com.        IN    A    249.101.226.100
dncmaesp.lzu.com.        IN    A    173.41.233.138
dhuxoqbp.lzu.com.        IN    A    149.145.228.199
dlgebxsv.lzu.com.        IN    A    51.111.189.69
rdasxktc.lzu.com.        IN    A    228.62.111.167
qxrmdiny.lzu.com.        IN    A    57.71.136.208
wjthresx.lzu.com.        IN    A    21.50.169.207
dqnvsefx.lzu.com.        IN    A    36.242.242.151
husdtraf.lzu.com.        IN    A    12.56.253.162
kedslhvc.lzu.com.        IN    A    21.30.163.13
owgbhrpf.lzu.com.        IN    A    143.13.129.183
oyjuxgke.lzu.com.        IN    A    174.215.127.166
owhsiecq.lzu.com.        IN    A    9.52.11.99
qxcesldo.lzu.com.        IN    A    22.241.34.105
bhwvexyd.lzu.com.        IN    A    198.101.239.234
solnecby.lzu.com.        IN    A    186.66.21.244
aurklqvm.lzu.com.        IN    A    29.122.91.211
apldnmwv.lzu.com.        IN    A    134.132.162.238
qkymabef.lzu.com.        IN    A    76.146.220.58
ahncwsrl.lzu.com.        IN    A    191.243.238.105
ytxpjmui.lzu.com.        IN    A    148.24.176.120
vajlfdbe.lzu.com.        IN    A    238.12.180.209
uimkdfhv.lzu.com.        IN    A    93.60.100.10
ajlyxdcb.lzu.com.        IN    A    221.153.177.217
nwjkbiqh.lzu.com.        IN    A    234.78.8.80
uncjaept.lzu.com.        IN    A    103.34.225.140
lqicyums.lzu.com.        IN    A    29.68.255.1
muitcnxp.lzu.com.        IN    A    224.23.186.189
wphonjsc.lzu.com.        IN    A    212.231.118.174
acvhnjid.lzu.com.        IN    A    57.102.106.104
fwjaeykl.lzu.com.        IN    A    132.200.98.41
qjfvrsod.lzu.com.        IN    A    253.245.168.160
cfjedoqp.lzu.com.        IN    A    68.247.242.15
jurlekvm.lzu.com.        IN    A    248.207.42.10
wuirecjf.lzu.com.        IN    A    100.82.45.231
writsmbg.lzu.com.        IN    A    88.83.2.4
sekahubr.lzu.com.        IN    A    42.17.42.155
gbcpdumt.lzu.com.        IN    A    229.111.118.189
yhianwoc.lzu.com.        IN    A    232.169.176.147
xtegrkmj.lzu.com.        IN    A    129.9.181.8
rpcodxmg.lzu.com.        IN    A    238.44.70.51
bomnwkcy.lzu.com.        IN    A    203.226.104.39
wpycatkb.lzu.com.        IN    A    16.55.37.225
xebujgqw.lzu.com.        IN    A    203.207.141.159
htbklarq.lzu.com.        IN    A    84.157.218.149
nycxowat.lzu.com.        IN    A    213.162.97.194
fvopuwye.lzu.com.        IN    A    57.177.124.187
hiwsbldp.lzu.com.        IN    A    39.232.24.116
vpiaogrx.lzu.com.        IN    A    135.159.39.96
eycfqrvo.lzu.com.        IN    A    151.210.3.48
fmubkhra.lzu.com.        IN    A    11.203.146.175
nflyckpv.lzu.com.        IN    A    218.118.64.255
gwedjmoa.lzu.com.        IN    A    116.101.85.231
spvhfiqt.lzu.com.        IN    A    252.250.176.112
myrkvetd.lzu.com.        IN    A    215.28.32.70
nqhjbrxf.lzu.com.        IN    A    227.192.155.231
dkylbxum.lzu.com.        IN    A    179.240.227.213
miblvgjd.lzu.com.        IN    A    156.134.49.68
odaqrgiu.lzu.com.        IN    A    17.6.200.181
chabxjoe.lzu.com.        IN    A    70.24.203.20
agmlkwby.lzu.com.        IN    A    183.158.92.148
esuodjgh.lzu.com.        IN    A    247.172.38.191
fswomhub.lzu.com.        IN    A    155.64.5.215
whaplgsi.lzu.com.        IN    A    88.156.213.35
lcotgqpm.lzu.com.        IN    A    19.254.28.201
oupvnjlx.lzu.com.        IN    A    0.222.79.240
thgijdxm.lzu.com.        IN    A    214.33.67.15
fqdawtvj.lzu.com.        IN    A    77.245.41.123
skrwqueg.lzu.com.        IN    A    182.108.202.101
obhkfvte.lzu.com.        IN    A    254.193.73.34
btmlxhqc.lzu.com.        IN    A    149.93.192.54
omkiyqaw.lzu.com.        IN    A    84.118.251.252
atwqskfh.lzu.com.        IN    A    4.55.82.29
lokgsbqe.lzu.com.        IN    A    154.144.35.231
wlyuxosd.lzu.com.        IN    A    224.11.244.53
htwdvxli.lzu.com.        IN    A    25.216.227.187
gbawkqdm.lzu.com.        IN    A    204.99.105.22
fkpdnsbg.lzu.com.        IN    A    33.162.7.124
bcrvmnah.lzu.com.        IN    A    242.89.211.162
kovslxyc.lzu.com.        IN    A    5.114.102.242
atpigvbf.lzu.com.        IN    A    253.190.214.102
chfyrmwb.lzu.com.        IN    A    7.42.155.51
locrdwfv.lzu.com.        IN    A    237.91.2.135
nusrjtxy.lzu.com.        IN    A    146.192.94.245
ykchtjap.lzu.com.        IN    A    187.36.68.247
vqjxsolu.lzu.com.        IN    A    100.243.227.180
thqlcsrm.lzu.com.        IN    A    213.218.75.16
qiepdtbx.lzu.com.        IN    A    165.164.55.187
edaqhbug.lzu.com.        IN    A    218.55.234.71
srwqadik.lzu.com.        IN    A    129.137.233.41
vdkptlwf.lzu.com.        IN    A    198.212.142.133
tgmljsfc.lzu.com.        IN    A    107.118.68.77
wpqioxdy.lzu.com.        IN    A    104.230.91.63
rpfhquxg.lzu.com.        IN    A    224.50.227.38
cseyughr.lzu.com.        IN    A    65.96.141.91
ocnrtlhm.lzu.com.        IN    A    168.214.148.133
hekfsulv.lzu.com.        IN    A    241.217.138.71
qjptwaml.lzu.com.        IN    A    68.195.201.112
kphixvcd.lzu.com.        IN    A    128.137.129.199
ejnqvuhi.lzu.com.        IN    A    84.32.187.221
gilxdrto.lzu.com.        IN    A    37.159.253.238
dpfkibar.lzu.com.        IN    A    24.58.161.8
pfxscahl.lzu.com.        IN    A    69.169.17.93
fpkyiawl.lzu.com.        IN    A    158.107.88.144
gvdxckrq.lzu.com.        IN    A    178.220.187.125
pksavrly.lzu.com.        IN    A    248.115.216.97
bqlchyxo.lzu.com.        IN    A    76.220.242.119
itajdlsm.lzu.com.        IN    A    10.105.94.15
nqpjuasv.lzu.com.        IN    A    190.138.100.54
fmqyxsnc.lzu.com.        IN    A    214.141.235.151
ufadywpq.lzu.com.        IN    A    199.21.126.136
xwoltbcj.lzu.com.        IN    A    10.101.5.1
xcveoqms.lzu.com.        IN    A    67.11.85.199
ayulqfkn.lzu.com.        IN    A    175.104.162.234
clytoufw.lzu.com.        IN    A    238.83.231.76
eqsghnpy.lzu.com.        IN    A    210.66.228.45
tyclwduo.lzu.com.        IN    A    203.14.19.191
lxcgvhqd.lzu.com.        IN    A    165.202.192.154
wfimtndv.lzu.com.        IN    A    252.116.22.112
qpgnfyue.lzu.com.        IN    A    255.146.122.141
dmevwcbn.lzu.com.        IN    A    75.70.140.70
cqekgdnu.lzu.com.        IN    A    133.252.136.173
tbnuoils.lzu.com.        IN    A    5.186.198.80
sqjxbtfe.lzu.com.        IN    A    215.72.184.91
wlipcfot.lzu.com.        IN    A    40.36.67.10
yewvntjf.lzu.com.        IN    A    82.136.123.164
onweraic.lzu.com.        IN    A    123.125.200.123
ayknwmcu.lzu.com.        IN    A    143.97.197.142
ufgjxkrq.lzu.com.        IN    A    22.249.49.53
xbrhdsfi.lzu.com.        IN    A    140.106.45.18
uvwrtmax.lzu.com.        IN    A    115.4.158.167
eslrompf.lzu.com.        IN    A    25.233.12.98
aujqvmxp.lzu.com.        IN    A    90.180.46.47
exfbnmlj.lzu.com.        IN    A    132.146.117.149
utsgciwq.lzu.com.        IN    A    151.2.60.66
mvlghsij.lzu.com.        IN    A    45.175.229.4
myjpafux.lzu.com.        IN    A    33.79.162.139
uyvqsboi.lzu.com.        IN    A    1.187.91.211
dgvchqul.lzu.com.        IN    A    69.92.113.129
orunxasg.lzu.com.        IN    A    231.31.60.57
wivoumql.lzu.com.        IN    A    227.85.39.211
ednokclv.lzu.com.        IN    A    16.4.120.12
swijytqg.lzu.com.        IN    A    239.11.118.49
yehxkjob.lzu.com.        IN    A    19.238.146.236
tlsmgiaq.lzu.com.        IN    A    218.23.167.160
fskxgyvp.lzu.com.        IN    A    54.153.38.112
kbjgqwus.lzu.com.        IN    A    151.26.150.201
jdbifktg.lzu.com.        IN    A    78.75.159.214
ujvihpda.lzu.com.        IN    A    105.228.252.48
olufbych.lzu.com.        IN    A    2.251.23.244
vkmsjqdy.lzu.com.        IN    A    84.170.139.61
wqirmtlf.lzu.com.        IN    A    27.160.132.130
xyewumdo.lzu.com.        IN    A    140.80.147.116
vltahckj.lzu.com.        IN    A    26.199.242.192
njalpoyg.lzu.com.        IN    A    111.244.156.66
jxyuevfs.lzu.com.        IN    A    192.217.80.73
oldgybqm.lzu.com.        IN    A    56.249.17.222
uixfrwns.lzu.com.        IN    A    58.217.183.10
rtqyopja.lzu.com.        IN    A    165.230.27.0
xbldrisn.lzu.com.        IN    A    60.97.43.198
cuawryxs.lzu.com.        IN    A    51.223.105.24
rgmwicue.lzu.com.        IN    A    81.62.151.22
ktedngyq.lzu.com.        IN    A    174.115.103.252
udxlbwpr.lzu.com.        IN    A    144.27.52.106
dqeltpvf.lzu.com.        IN    A    48.200.173.35
cmdkuefr.lzu.com.        IN    A    64.111.82.244
gwnctbie.lzu.com.        IN    A    119.237.73.106
urailygh.lzu.com.        IN    A    42.229.152.15
