law.nju.com.	14400	IN	SOA	ns1.law.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
law.nju.com.		    IN	NS ns1.law.nju.com.
xjamsqew.law.nju.com.    IN    A    149.249.109.221
lchgdayp.law.nju.com.    IN    A    209.111.198.238
wtnsujbx.law.nju.com.    IN    A    143.82.165.250
fivasonm.law.nju.com.    IN    A    103.139.114.215
kobagijf.law.nju.com.    IN    A    150.244.11.131
mhfvglnq.law.nju.com.    IN    A    200.86.194.85
scbfhiow.law.nju.com.    IN    A    252.93.232.60
xubkhjly.law.nju.com.    IN    A    163.162.50.168
gwayejkt.law.nju.com.    IN    A    6.184.141.41
aiqgjurd.law.nju.com.    IN    A    108.124.88.96
poduvils.law.nju.com.    IN    A    35.114.240.242
molchniv.law.nju.com.    IN    A    58.79.147.226
qlpbhdxs.law.nju.com.    IN    A    95.163.139.160
chupbkft.law.nju.com.    IN    A    127.177.114.192
ipoaglum.law.nju.com.    IN    A    225.241.225.112
kruwiehn.law.nju.com.    IN    A    34.163.77.19
ngtomfuv.law.nju.com.    IN    A    249.221.105.174
vrhgoaxp.law.nju.com.    IN    A    238.22.150.152
pbqlhfxv.law.nju.com.    IN    A    180.43.46.0
qtnsjcyp.law.nju.com.    IN    A    236.103.28.11
ktdbcrus.law.nju.com.    IN    A    228.204.135.18
thbixfsn.law.nju.com.    IN    A    238.88.50.15
pbduamrw.law.nju.com.    IN    A    27.247.161.120
ovrxides.law.nju.com.    IN    A    61.11.216.10
gnedrhjp.law.nju.com.    IN    A    76.115.76.116
kyvpirjq.law.nju.com.    IN    A    200.124.148.101
sxckpafo.law.nju.com.    IN    A    10.74.251.38
vwrcupyi.law.nju.com.    IN    A    129.170.68.204
srtoahnl.law.nju.com.    IN    A    132.148.45.41
vhkflwpq.law.nju.com.    IN    A    235.110.95.146
eqdciflr.law.nju.com.    IN    A    4.84.100.236
fkoeaswx.law.nju.com.    IN    A    199.237.200.195
emcudygi.law.nju.com.    IN    A    97.217.232.103
rqhjeoly.law.nju.com.    IN    A    208.108.111.172
nidmhsrt.law.nju.com.    IN    A    71.90.114.168
utdjkqlh.law.nju.com.    IN    A    92.107.28.23
quseixyd.law.nju.com.    IN    A    165.218.227.13
gfsnkewh.law.nju.com.    IN    A    135.210.120.243
bgftpdyv.law.nju.com.    IN    A    173.49.185.152
stixybvo.law.nju.com.    IN    A    181.42.216.33
rtebluwa.law.nju.com.    IN    A    20.114.105.12
drhyplwv.law.nju.com.    IN    A    24.143.43.70
kreyjsoa.law.nju.com.    IN    A    214.215.182.35
bfdmnivl.law.nju.com.    IN    A    243.225.83.192
mxaguoik.law.nju.com.    IN    A    88.75.126.127
jixvycdt.law.nju.com.    IN    A    19.0.20.29
ohseqklx.law.nju.com.    IN    A    10.134.20.38
jptwxuov.law.nju.com.    IN    A    40.216.20.198
voqjyahm.law.nju.com.    IN    A    168.141.105.46
tnaokvwe.law.nju.com.    IN    A    232.115.117.64
jquivrtk.law.nju.com.    IN    A    205.202.13.166
kbtxcuwg.law.nju.com.    IN    A    34.249.151.6
mscvtyol.law.nju.com.    IN    A    8.67.105.254
xptduqah.law.nju.com.    IN    A    202.21.221.154
pfousbhy.law.nju.com.    IN    A    66.6.140.166
mvdoykhj.law.nju.com.    IN    A    252.137.100.229
ejaylnro.law.nju.com.    IN    A    186.31.240.182
cdnuaiml.law.nju.com.    IN    A    166.164.147.214
uvwpmfqt.law.nju.com.    IN    A    54.45.45.72
ltsyqbwg.law.nju.com.    IN    A    255.250.230.184
aldeftin.law.nju.com.    IN    A    206.6.154.114
tkpadhrs.law.nju.com.    IN    A    238.194.224.67
lxuchynq.law.nju.com.    IN    A    93.223.80.255
cpfmyleg.law.nju.com.    IN    A    164.92.207.119
bicxnmls.law.nju.com.    IN    A    157.104.247.62
fmuryshg.law.nju.com.    IN    A    241.91.50.20
mbrktvli.law.nju.com.    IN    A    35.31.173.198
ybgolqxc.law.nju.com.    IN    A    32.110.177.4
qdparewt.law.nju.com.    IN    A    148.130.141.246
tosckgqd.law.nju.com.    IN    A    44.174.237.157
adnfojby.law.nju.com.    IN    A    13.71.92.97
bmigrwdc.law.nju.com.    IN    A    67.234.132.165
ajxkhbgn.law.nju.com.    IN    A    9.143.164.119
pygrkbnv.law.nju.com.    IN    A    221.154.204.73
voqsynrp.law.nju.com.    IN    A    91.94.225.101
qhmewsdi.law.nju.com.    IN    A    64.112.8.54
wuqprgdm.law.nju.com.    IN    A    242.123.247.17
qoinpgtb.law.nju.com.    IN    A    253.55.233.39
awpftrqs.law.nju.com.    IN    A    179.121.237.98
muokgcvi.law.nju.com.    IN    A    1.158.37.84
fpgsjqxl.law.nju.com.    IN    A    239.229.63.32
mnfjpsgd.law.nju.com.    IN    A    56.97.253.247
xbwypurc.law.nju.com.    IN    A    43.23.74.119
pufohmyv.law.nju.com.    IN    A    168.82.255.77
fscnqxyt.law.nju.com.    IN    A    222.193.61.56
sinjwvqo.law.nju.com.    IN    A    80.17.186.223
fsxhbkcr.law.nju.com.    IN    A    194.141.44.48
xdvbfrkm.law.nju.com.    IN    A    193.127.57.3
rhctbqgd.law.nju.com.    IN    A    195.119.65.0
iljhkucv.law.nju.com.    IN    A    105.95.122.218
nwfebjuc.law.nju.com.    IN    A    176.214.215.100
amvkxeur.law.nju.com.    IN    A    38.79.108.142
csqewxao.law.nju.com.    IN    A    146.161.235.79
oqhmcrta.law.nju.com.    IN    A    37.185.194.170
asrdqxft.law.nju.com.    IN    A    8.153.82.132
onwgvlfu.law.nju.com.    IN    A    95.181.43.45
gawrbesl.law.nju.com.    IN    A    186.43.236.32
kwjmqcfh.law.nju.com.    IN    A    105.244.104.183
kwmojdhc.law.nju.com.    IN    A    251.92.228.6
suywilgk.law.nju.com.    IN    A    178.39.202.187
gqwepobs.law.nju.com.    IN    A    23.111.83.80
dljpqbyr.law.nju.com.    IN    A    167.142.100.86
riswjkpd.law.nju.com.    IN    A    92.70.126.37
jupefqay.law.nju.com.    IN    A    134.174.241.46
pvoiwdfl.law.nju.com.    IN    A    149.178.170.235
oipbrgth.law.nju.com.    IN    A    122.159.51.145
pljnhwds.law.nju.com.    IN    A    35.107.125.228
pawvlrgo.law.nju.com.    IN    A    6.65.100.9
mhwinydp.law.nju.com.    IN    A    184.249.103.143
wsoelbmf.law.nju.com.    IN    A    26.158.127.240
coihkfqg.law.nju.com.    IN    A    182.246.104.15
ntpwqcml.law.nju.com.    IN    A    17.227.148.89
skyfqbig.law.nju.com.    IN    A    158.215.100.27
wdpynhkq.law.nju.com.    IN    A    170.243.146.247
pskamuif.law.nju.com.    IN    A    142.72.36.93
ruxwkvse.law.nju.com.    IN    A    190.187.90.14
wvcxhnjm.law.nju.com.    IN    A    114.151.179.218
mtfsoqjk.law.nju.com.    IN    A    159.31.84.12
xmuspvty.law.nju.com.    IN    A    28.59.178.18
pfqdhynk.law.nju.com.    IN    A    230.62.75.20
ykdontix.law.nju.com.    IN    A    89.120.106.239
pfgjrkmx.law.nju.com.    IN    A    247.98.30.51
bgnpkdtc.law.nju.com.    IN    A    201.236.87.59
eaitswyq.law.nju.com.    IN    A    182.8.32.4
eklxtujd.law.nju.com.    IN    A    62.189.247.150
cbwdiejf.law.nju.com.    IN    A    22.68.223.249
ondtcisx.law.nju.com.    IN    A    86.131.191.13
pmnaegtf.law.nju.com.    IN    A    218.228.48.132
tsnjicwu.law.nju.com.    IN    A    46.24.137.192
qponhvfb.law.nju.com.    IN    A    36.119.116.111
axwsunge.law.nju.com.    IN    A    31.233.32.130
uegjprcl.law.nju.com.    IN    A    165.104.131.21
crvdnokt.law.nju.com.    IN    A    153.240.228.170
ulskmbrd.law.nju.com.    IN    A    184.81.158.58
jusvqfln.law.nju.com.    IN    A    99.65.232.217
wiuposyb.law.nju.com.    IN    A    173.65.140.169
ilfptmou.law.nju.com.    IN    A    65.140.172.169
vmwygopf.law.nju.com.    IN    A    56.92.44.81
jpxbuoiw.law.nju.com.    IN    A    249.4.88.105
iugjlvxy.law.nju.com.    IN    A    142.35.7.157
ktsjvlcu.law.nju.com.    IN    A    144.115.178.164
mfinbypt.law.nju.com.    IN    A    206.37.249.2
xvtenmrl.law.nju.com.    IN    A    139.171.14.137
cseunxgf.law.nju.com.    IN    A    39.196.63.31
bfvwhprm.law.nju.com.    IN    A    224.145.197.253
rjidfgxy.law.nju.com.    IN    A    219.135.217.91
fvkscgtj.law.nju.com.    IN    A    164.81.184.126
qaokrycw.law.nju.com.    IN    A    38.170.89.240
qwcxuklt.law.nju.com.    IN    A    118.52.163.250
fhwdtkgq.law.nju.com.    IN    A    29.98.234.176
esmjkidw.law.nju.com.    IN    A    144.128.59.76
sqimoeyh.law.nju.com.    IN    A    124.147.189.182
hqrkwvds.law.nju.com.    IN    A    116.96.182.181
lwmiaevk.law.nju.com.    IN    A    75.207.64.175
sypdvqwe.law.nju.com.    IN    A    192.7.253.26
ehfmlpng.law.nju.com.    IN    A    127.16.164.47
sarjyple.law.nju.com.    IN    A    73.228.73.202
nqicswgr.law.nju.com.    IN    A    230.56.161.8
pqehditg.law.nju.com.    IN    A    161.192.88.46
dvyfishe.law.nju.com.    IN    A    25.229.160.118
umkrsyxj.law.nju.com.    IN    A    225.142.120.85
magfjpch.law.nju.com.    IN    A    205.239.222.58
dwlbypcx.law.nju.com.    IN    A    57.18.167.162
aymdbixo.law.nju.com.    IN    A    156.24.16.9
fybcqhpo.law.nju.com.    IN    A    189.201.153.230
jgqsalcr.law.nju.com.    IN    A    73.240.1.175
efpndqhl.law.nju.com.    IN    A    102.159.167.226
agunikcr.law.nju.com.    IN    A    8.245.147.4
seqfcjlt.law.nju.com.    IN    A    66.82.82.101
lrpvaewf.law.nju.com.    IN    A    186.222.226.213
rxbfdlem.law.nju.com.    IN    A    12.170.143.130
poahldiv.law.nju.com.    IN    A    120.77.72.179
buijgyre.law.nju.com.    IN    A    61.213.98.145
qobtyekc.law.nju.com.    IN    A    156.92.248.74
rdmbsfwt.law.nju.com.    IN    A    89.159.129.34
dcxyvpjg.law.nju.com.    IN    A    253.85.247.108
xdrstkmp.law.nju.com.    IN    A    241.14.199.108
bufrihqt.law.nju.com.    IN    A    9.108.158.60
wsdyxeiv.law.nju.com.    IN    A    115.79.46.20
okelpqjv.law.nju.com.    IN    A    190.239.14.145
hsntjceo.law.nju.com.    IN    A    212.102.9.5
jfgvkmli.law.nju.com.    IN    A    111.123.157.229
bknrysld.law.nju.com.    IN    A    244.102.255.14
jasoqtxw.law.nju.com.    IN    A    187.137.66.81
aqyfroed.law.nju.com.    IN    A    110.176.91.239
ufemxhar.law.nju.com.    IN    A    201.79.113.81
amigvtbj.law.nju.com.    IN    A    140.176.59.92
debmlicr.law.nju.com.    IN    A    216.254.251.207
algvpcjw.law.nju.com.    IN    A    18.13.86.244
rthyweob.law.nju.com.    IN    A    188.105.10.90
dacghmrt.law.nju.com.    IN    A    8.146.106.140
ufibermj.law.nju.com.    IN    A    130.219.152.87
eyqidlvs.law.nju.com.    IN    A    248.14.243.4
vojmlewx.law.nju.com.    IN    A    216.1.103.108
ufsbjqvr.law.nju.com.    IN    A    200.125.54.78
dhgvjuei.law.nju.com.    IN    A    223.26.247.180
xntjcrbw.law.nju.com.    IN    A    33.148.218.26
qvhyteok.law.nju.com.    IN    A    36.75.66.105
gbjyfsqi.law.nju.com.    IN    A    104.62.1.176
kqwhcmea.law.nju.com.    IN    A    242.78.156.195
pfbynako.law.nju.com.    IN    A    80.212.216.37
kwgbmfxj.law.nju.com.    IN    A    19.17.6.136
fiuskxrh.law.nju.com.    IN    A    249.120.29.106
ksgquafd.law.nju.com.    IN    A    159.48.153.26
lxocdrji.law.nju.com.    IN    A    113.106.163.145
knisjqce.law.nju.com.    IN    A    62.231.235.227
wgbnslmd.law.nju.com.    IN    A    210.85.253.214
jysomukp.law.nju.com.    IN    A    20.30.85.140
exiqavbf.law.nju.com.    IN    A    233.22.154.138
hcsqbakl.law.nju.com.    IN    A    164.14.127.225
vmirnsce.law.nju.com.    IN    A    175.27.68.188
wouebrsy.law.nju.com.    IN    A    229.247.96.30
dnqaxsro.law.nju.com.    IN    A    21.30.237.253
cdhtpukg.law.nju.com.    IN    A    115.168.250.144
yeacxwnt.law.nju.com.    IN    A    59.169.8.103
mrihakfo.law.nju.com.    IN    A    246.155.139.88
mcyfoaqt.law.nju.com.    IN    A    123.205.184.99
dmbqfjsu.law.nju.com.    IN    A    254.63.185.175
apyculbv.law.nju.com.    IN    A    163.158.188.67
qioravfe.law.nju.com.    IN    A    228.206.135.69
gflwodch.law.nju.com.    IN    A    251.240.31.73
sgqmelfp.law.nju.com.    IN    A    245.158.243.127
sibetmnc.law.nju.com.    IN    A    121.22.38.21
ptrlnsuj.law.nju.com.    IN    A    178.184.117.220
fbsxlkra.law.nju.com.    IN    A    94.113.26.134
udrksyfl.law.nju.com.    IN    A    98.194.171.220
lnftjaxb.law.nju.com.    IN    A    163.150.9.190
hgkvepfl.law.nju.com.    IN    A    38.67.117.16
miusgfnh.law.nju.com.    IN    A    250.71.145.16
nidltyvf.law.nju.com.    IN    A    175.68.31.85
flrdmxvg.law.nju.com.    IN    A    126.220.19.223
dcikjxor.law.nju.com.    IN    A    93.68.118.140
yauiqsgl.law.nju.com.    IN    A    199.200.243.40
dugxsqnc.law.nju.com.    IN    A    233.39.210.20
orugvifx.law.nju.com.    IN    A    221.87.13.125
lerykphd.law.nju.com.    IN    A    107.62.236.129
qgfumhdy.law.nju.com.    IN    A    159.31.87.93
kvwblfir.law.nju.com.    IN    A    252.91.226.255
vmestxya.law.nju.com.    IN    A    103.248.125.129
tukawqgd.law.nju.com.    IN    A    94.45.233.79
pucywkje.law.nju.com.    IN    A    23.208.36.39
xkrilsog.law.nju.com.    IN    A    223.231.230.143
dtgpwjxy.law.nju.com.    IN    A    220.227.54.29
hxncukgd.law.nju.com.    IN    A    167.117.39.239
okhsaruy.law.nju.com.    IN    A    57.87.211.50
psefmyoh.law.nju.com.    IN    A    221.54.195.232
yjmlgswk.law.nju.com.    IN    A    220.219.71.175
khtgpsyf.law.nju.com.    IN    A    95.164.196.165
powmfulg.law.nju.com.    IN    A    78.79.85.136
dkcfyrxj.law.nju.com.    IN    A    152.165.5.90
plkdqwic.law.nju.com.    IN    A    45.234.251.40
kgnwrljs.law.nju.com.    IN    A    237.63.251.242
wrnjtgox.law.nju.com.    IN    A    218.55.137.246
scwmjonq.law.nju.com.    IN    A    64.154.98.110
qpdoucts.law.nju.com.    IN    A    69.208.154.235
bxdsfwli.law.nju.com.    IN    A    80.72.210.42
ecvwsbru.law.nju.com.    IN    A    140.39.163.167
qipovynr.law.nju.com.    IN    A    150.120.218.193
dowskfht.law.nju.com.    IN    A    159.164.172.243
fydxwikq.law.nju.com.    IN    A    138.118.176.59
riaushoc.law.nju.com.    IN    A    203.31.107.237
yangxecv.law.nju.com.    IN    A    178.159.1.9
aqjothwn.law.nju.com.    IN    A    102.195.76.70
gyjnhklq.law.nju.com.    IN    A    171.240.205.219
gbwpvhmo.law.nju.com.    IN    A    210.145.87.249
fpshbgtu.law.nju.com.    IN    A    193.172.219.38
yvmxgftn.law.nju.com.    IN    A    149.242.105.47
osbrdnlg.law.nju.com.    IN    A    194.186.18.53
jutbqiog.law.nju.com.    IN    A    182.97.149.116
xcmvpwas.law.nju.com.    IN    A    143.220.24.51
ishgduyc.law.nju.com.    IN    A    211.40.58.211
wtkgaqln.law.nju.com.    IN    A    192.128.103.206
mkpgyban.law.nju.com.    IN    A    64.108.9.54
pbhaotrd.law.nju.com.    IN    A    235.41.227.233
nsgflovu.law.nju.com.    IN    A    232.41.213.81
twqujgak.law.nju.com.    IN    A    245.218.255.9
lfqwvgxi.law.nju.com.    IN    A    168.243.192.250
jixohnwb.law.nju.com.    IN    A    134.218.122.124
fexoirjt.law.nju.com.    IN    A    248.176.167.48
xgiebvto.law.nju.com.    IN    A    170.241.39.219
uqwdyeot.law.nju.com.    IN    A    17.240.45.21
maplkroi.law.nju.com.    IN    A    154.5.249.38
gaqnyute.law.nju.com.    IN    A    217.160.84.237
yopfwabt.law.nju.com.    IN    A    107.50.126.92
ceopvtkq.law.nju.com.    IN    A    185.84.13.39
ihtjlnsm.law.nju.com.    IN    A    214.4.249.10
nogbtlmc.law.nju.com.    IN    A    50.229.206.114
vmyarlgj.law.nju.com.    IN    A    106.44.186.223
bcymkijd.law.nju.com.    IN    A    49.233.79.11
lmsqwgno.law.nju.com.    IN    A    21.185.27.71
vagmwdfc.law.nju.com.    IN    A    172.241.33.228
ilrkauvc.law.nju.com.    IN    A    69.175.56.94
pyjwhcqa.law.nju.com.    IN    A    27.52.188.207
cdgltapb.law.nju.com.    IN    A    15.235.208.230
ekjwiabf.law.nju.com.    IN    A    132.23.184.31
pwnakmhi.law.nju.com.    IN    A    188.33.114.207
orhbduqs.law.nju.com.    IN    A    4.28.156.96
vtqmbxcr.law.nju.com.    IN    A    69.7.7.120
tgwealum.law.nju.com.    IN    A    255.33.52.213
tpinfcka.law.nju.com.    IN    A    61.226.36.144
naoxegvk.law.nju.com.    IN    A    113.19.114.151
ughbvrqi.law.nju.com.    IN    A    21.176.151.6
jrhisnvd.law.nju.com.    IN    A    242.146.250.58
exlgthbi.law.nju.com.    IN    A    192.242.43.233
ndjriphs.law.nju.com.    IN    A    164.143.97.249
byscuvhi.law.nju.com.    IN    A    52.35.48.178
dmecnfap.law.nju.com.    IN    A    238.220.88.41
imdfkown.law.nju.com.    IN    A    1.4.57.225
soxiqahp.law.nju.com.    IN    A    181.68.42.23
botgivrd.law.nju.com.    IN    A    255.226.143.164
hnlbqvxj.law.nju.com.    IN    A    183.19.208.83
rcvxtuab.law.nju.com.    IN    A    84.231.32.173
gqepwabx.law.nju.com.    IN    A    47.39.42.183
wvjfhmns.law.nju.com.    IN    A    111.92.204.49
lecboiwd.law.nju.com.    IN    A    126.96.117.245
dqryiext.law.nju.com.    IN    A    181.101.158.118
gprvdqfb.law.nju.com.    IN    A    238.197.64.232
owixetck.law.nju.com.    IN    A    77.207.215.79
dvprybtu.law.nju.com.    IN    A    66.31.144.49
fsltrmci.law.nju.com.    IN    A    124.201.29.139
drcmotxf.law.nju.com.    IN    A    73.59.235.6
qwbkygie.law.nju.com.    IN    A    102.83.239.211
uvhixgej.law.nju.com.    IN    A    208.197.177.59
aiwbhxgu.law.nju.com.    IN    A    116.73.90.99
egmipbtd.law.nju.com.    IN    A    69.194.119.135
utxkcadb.law.nju.com.    IN    A    207.1.60.8
vrdqfnpa.law.nju.com.    IN    A    166.167.152.221
pxignewu.law.nju.com.    IN    A    229.179.100.146
hxonvkqd.law.nju.com.    IN    A    36.17.202.128
ahotkiue.law.nju.com.    IN    A    244.158.142.171
gvcujntf.law.nju.com.    IN    A    169.24.122.21
xiljomeh.law.nju.com.    IN    A    205.8.116.18
waohuntm.law.nju.com.    IN    A    168.55.120.156
dmnqatwc.law.nju.com.    IN    A    124.158.30.123
fcunamre.law.nju.com.    IN    A    55.57.6.233
litdbecp.law.nju.com.    IN    A    124.62.162.158
ytgjvfap.law.nju.com.    IN    A    226.218.103.52
vclkwjet.law.nju.com.    IN    A    144.73.6.153
rixhealp.law.nju.com.    IN    A    250.55.73.31
iscrqbjh.law.nju.com.    IN    A    184.223.250.157
ujpyveqw.law.nju.com.    IN    A    12.62.228.200
vbmphats.law.nju.com.    IN    A    156.3.44.120
oxfwscyb.law.nju.com.    IN    A    123.25.226.142
hxmiutwd.law.nju.com.    IN    A    234.71.68.151
igjnoxym.law.nju.com.    IN    A    226.175.116.13
njhbresk.law.nju.com.    IN    A    223.67.176.27
wbknigdp.law.nju.com.    IN    A    108.56.43.66
eqgvsfjy.law.nju.com.    IN    A    236.72.27.71
mxgsvkor.law.nju.com.    IN    A    122.16.228.222
gmxkibuv.law.nju.com.    IN    A    45.70.203.104
stxfjviu.law.nju.com.    IN    A    84.117.205.232
pyvmbocn.law.nju.com.    IN    A    255.75.0.201
xhdoumel.law.nju.com.    IN    A    170.187.233.210
nbvuapqc.law.nju.com.    IN    A    185.180.144.252
kretijsd.law.nju.com.    IN    A    199.65.181.192
byxqghda.law.nju.com.    IN    A    99.38.92.169
ncqhwiga.law.nju.com.    IN    A    65.23.78.87
cfpthilg.law.nju.com.    IN    A    14.171.183.85
jhwkfcnp.law.nju.com.    IN    A    13.165.168.3
fcmxbego.law.nju.com.    IN    A    216.159.171.137
epdnawbv.law.nju.com.    IN    A    59.250.42.100
edhgtxly.law.nju.com.    IN    A    206.215.70.250
jocehaus.law.nju.com.    IN    A    159.45.56.244
xgkdfqhb.law.nju.com.    IN    A    55.24.46.102
ajidbufo.law.nju.com.    IN    A    251.103.28.14
xnlmsyav.law.nju.com.    IN    A    46.223.15.158
wpmhousl.law.nju.com.    IN    A    128.40.252.220
kgoljves.law.nju.com.    IN    A    91.236.22.131
nljstdqr.law.nju.com.    IN    A    126.122.52.87
qekabwuj.law.nju.com.    IN    A    124.231.119.55
apweuifl.law.nju.com.    IN    A    19.181.122.52
snupokil.law.nju.com.    IN    A    95.27.85.215
ktcyxugn.law.nju.com.    IN    A    121.242.105.248
tbmnilgh.law.nju.com.    IN    A    221.83.96.191
ercaglix.law.nju.com.    IN    A    88.23.6.146
vfbqpcey.law.nju.com.    IN    A    8.49.201.212
uqjvwnax.law.nju.com.    IN    A    110.54.95.248
hlaewnfc.law.nju.com.    IN    A    136.8.225.222
skltcnag.law.nju.com.    IN    A    172.156.217.105
qxotybga.law.nju.com.    IN    A    82.60.253.154
mulyfqej.law.nju.com.    IN    A    211.27.117.141
gpsrimof.law.nju.com.    IN    A    64.217.62.103
ugkhyolp.law.nju.com.    IN    A    147.201.240.121
pfqinwsr.law.nju.com.    IN    A    40.13.61.29
hunedgbt.law.nju.com.    IN    A    223.222.220.153
mlsxkrtp.law.nju.com.    IN    A    198.68.157.105
bsgaijcn.law.nju.com.    IN    A    59.183.0.21
tpqkdcyl.law.nju.com.    IN    A    64.12.208.51
fuglmpid.law.nju.com.    IN    A    154.80.87.30
gaesdohv.law.nju.com.    IN    A    222.117.201.253
mebkofru.law.nju.com.    IN    A    102.244.160.245
xtjqiurv.law.nju.com.    IN    A    12.140.89.20
tbxeqmyk.law.nju.com.    IN    A    86.204.44.157
sbchfnuo.law.nju.com.    IN    A    243.9.111.117
fvenbrat.law.nju.com.    IN    A    142.10.192.179
rbehqaui.law.nju.com.    IN    A    80.67.171.242
cxlmrydo.law.nju.com.    IN    A    244.91.189.119
mlajgxqd.law.nju.com.    IN    A    137.57.85.2
psqyfjwo.law.nju.com.    IN    A    4.161.15.167
pchtxdau.law.nju.com.    IN    A    160.103.31.186
rutpmyqc.law.nju.com.    IN    A    248.23.208.190
etakocjx.law.nju.com.    IN    A    236.151.158.92
ksjbupxm.law.nju.com.    IN    A    59.229.222.75
myjadltk.law.nju.com.    IN    A    47.17.32.206
jcsqemwd.law.nju.com.    IN    A    243.77.43.226
lrkbmcif.law.nju.com.    IN    A    199.92.38.65
nmqofihd.law.nju.com.    IN    A    192.140.226.247
aydxjpur.law.nju.com.    IN    A    107.219.77.107
eodqrbnu.law.nju.com.    IN    A    10.35.222.38
ovdmkcag.law.nju.com.    IN    A    254.216.120.106
ymulkhtp.law.nju.com.    IN    A    253.244.102.240
kaxfclwt.law.nju.com.    IN    A    94.155.13.145
dlnbrcjk.law.nju.com.    IN    A    161.249.97.41
bxdceakw.law.nju.com.    IN    A    222.149.149.225
ockagvjs.law.nju.com.    IN    A    12.224.60.252
sqadhonw.law.nju.com.    IN    A    38.178.131.211
bmdkyjoe.law.nju.com.    IN    A    137.44.189.126
pilvarng.law.nju.com.    IN    A    140.24.10.212
rjvwaudq.law.nju.com.    IN    A    210.53.28.246
kovmjwnr.law.nju.com.    IN    A    254.114.178.53
sutdwhfe.law.nju.com.    IN    A    92.165.188.165
njspqlfm.law.nju.com.    IN    A    250.180.179.107
fkqodpux.law.nju.com.    IN    A    247.191.245.233
imdtfvqx.law.nju.com.    IN    A    203.244.33.125
ogrlvwks.law.nju.com.    IN    A    245.15.71.210
weqyfodr.law.nju.com.    IN    A    75.112.217.166
qgvimldf.law.nju.com.    IN    A    0.146.153.70
cesknrmf.law.nju.com.    IN    A    134.61.48.72
dijflbrt.law.nju.com.    IN    A    3.174.9.238
udiwonpr.law.nju.com.    IN    A    28.217.245.75
dolyvjsg.law.nju.com.    IN    A    153.56.237.78
mopdkyes.law.nju.com.    IN    A    250.142.251.76
degfkxhs.law.nju.com.    IN    A    106.128.142.48
vqnkwrld.law.nju.com.    IN    A    111.172.7.129
wdgrfpuj.law.nju.com.    IN    A    242.87.89.30
fodbwumc.law.nju.com.    IN    A    10.170.51.238
ncfprjim.law.nju.com.    IN    A    235.195.173.235
qvywgchi.law.nju.com.    IN    A    133.209.248.227
rkvnufsw.law.nju.com.    IN    A    142.73.57.146
prxfagnu.law.nju.com.    IN    A    31.64.164.20
tkbujrig.law.nju.com.    IN    A    30.236.150.40
nowpqfjr.law.nju.com.    IN    A    209.247.201.155
tfbrlcik.law.nju.com.    IN    A    214.106.148.8
pbtnuiek.law.nju.com.    IN    A    187.161.94.202
lxkhbuai.law.nju.com.    IN    A    188.93.245.50
atushejg.law.nju.com.    IN    A    237.98.21.56
ydvmhloi.law.nju.com.    IN    A    51.144.228.130
dfuyaxgj.law.nju.com.    IN    A    174.246.239.7
dqujfmlt.law.nju.com.    IN    A    6.186.162.17
wkiypdaf.law.nju.com.    IN    A    208.247.91.168
duyklfwc.law.nju.com.    IN    A    242.51.203.103
yviglqws.law.nju.com.    IN    A    118.183.135.185
leqngfud.law.nju.com.    IN    A    192.61.210.126
wsumqxji.law.nju.com.    IN    A    147.195.79.73
vabdnekw.law.nju.com.    IN    A    253.170.110.210
yekswpiv.law.nju.com.    IN    A    157.216.38.173
trdsxieu.law.nju.com.    IN    A    127.115.71.131
cqvjhbdi.law.nju.com.    IN    A    102.64.214.53
akvgpijr.law.nju.com.    IN    A    204.113.137.24
wfnvgsmx.law.nju.com.    IN    A    27.249.38.220
ykujlxet.law.nju.com.    IN    A    8.67.112.104
vumdetyp.law.nju.com.    IN    A    23.254.178.29
jtflgaxq.law.nju.com.    IN    A    64.116.191.82
tdnxivkl.law.nju.com.    IN    A    20.152.149.199
sqljibuc.law.nju.com.    IN    A    173.41.60.80
ihfuvxat.law.nju.com.    IN    A    86.196.195.103
ytploqji.law.nju.com.    IN    A    185.209.34.97
hmiwqkyj.law.nju.com.    IN    A    165.118.121.116
rdokchvt.law.nju.com.    IN    A    49.252.190.36
xvsgdfai.law.nju.com.    IN    A    93.188.68.60
uvdrtxim.law.nju.com.    IN    A    209.246.214.30
wpncslqd.law.nju.com.    IN    A    216.86.55.231
kplqgdmb.law.nju.com.    IN    A    200.250.198.246
vxgcjtbf.law.nju.com.    IN    A    85.53.103.133
psoukrgt.law.nju.com.    IN    A    27.129.192.198
ptgalbro.law.nju.com.    IN    A    238.31.92.118
lfnewdrt.law.nju.com.    IN    A    217.12.122.190
njkhoyle.law.nju.com.    IN    A    205.203.180.7
vnrdgsax.law.nju.com.    IN    A    220.166.96.190
lwrsdjbm.law.nju.com.    IN    A    15.8.145.248
gfhiknxv.law.nju.com.    IN    A    83.189.67.81
gkuthroe.law.nju.com.    IN    A    196.19.171.135
xspervgf.law.nju.com.    IN    A    174.210.162.4
hkwdbiqg.law.nju.com.    IN    A    46.155.97.158
ykbmpiho.law.nju.com.    IN    A    56.97.249.217
palytbhv.law.nju.com.    IN    A    139.78.12.152
dgwjrqte.law.nju.com.    IN    A    103.91.211.164
pnmosidw.law.nju.com.    IN    A    147.44.62.17
bxyowvdi.law.nju.com.    IN    A    2.208.202.190
