; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR pku.com. @ns2.pku.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
pku.com.			      14400 IN NS	ns1.pku.com.
ns1.pku.com.			      14400 IN A	10.166.21.14

www.pku.com.		      14400 IN NS	ns1.www.pku.com.
ns1.www.pku.com.		      14400 IN A		10.166.21.15

math.pku.com.		      14400 IN NS	ns1.math.pku.com.
ns1.math.pku.com.		      14400 IN A		10.166.21.12

hist.pku.com.		      14400 IN NS	ns1.hist.pku.com.
ns1.hist.pku.com.		      14400 IN A		10.166.21.13

pku.com.			      14400 IN MX	10 histtp.pku.edu.
pku.com.			      14400 IN TXT	"v=spf1 a mx ~all"
bxowfjht.pku.com.        IN    A    20.25.201.212
psurhxqw.pku.com.        IN    A    135.191.24.128
lwjqkest.pku.com.        IN    A    189.209.47.40
sfjtaudi.pku.com.        IN    A    216.252.252.181
kpwyamro.pku.com.        IN    A    90.54.65.2
tkgojxbd.pku.com.        IN    A    131.209.179.34
ephfnvad.pku.com.        IN    A    145.151.148.253
hyfqwsvp.pku.com.        IN    A    194.77.32.249
iulncswd.pku.com.        IN    A    18.170.99.253
cdxvjhbk.pku.com.        IN    A    32.203.19.190
wfqnkism.pku.com.        IN    A    145.43.25.122
ybjvxgta.pku.com.        IN    A    200.59.163.50
vdeflxtc.pku.com.        IN    A    187.101.16.65
tpvusnwc.pku.com.        IN    A    167.247.244.39
ytlbadiq.pku.com.        IN    A    84.20.244.73
nlyfjpkm.pku.com.        IN    A    73.44.91.72
omnsdyip.pku.com.        IN    A    137.119.101.48
bewkrmvn.pku.com.        IN    A    91.188.74.13
pykhtgjv.pku.com.        IN    A    171.0.42.76
omxibesu.pku.com.        IN    A    104.74.45.231
dwtyxpei.pku.com.        IN    A    231.109.131.250
wbcuvylk.pku.com.        IN    A    7.40.146.198
vgxprend.pku.com.        IN    A    194.213.35.157
gsycpblq.pku.com.        IN    A    209.203.57.58
rxsvbiky.pku.com.        IN    A    64.86.48.94
jmdhvglb.pku.com.        IN    A    185.215.102.244
fmksyjha.pku.com.        IN    A    244.224.119.230
afnltcse.pku.com.        IN    A    164.36.60.188
xvcardwe.pku.com.        IN    A    204.78.233.123
dlofkbic.pku.com.        IN    A    135.120.153.47
xldmstkc.pku.com.        IN    A    176.119.185.253
negwpkry.pku.com.        IN    A    199.232.71.13
rgkasdjm.pku.com.        IN    A    116.18.50.31
umyacowx.pku.com.        IN    A    166.117.104.223
kvlcshot.pku.com.        IN    A    135.182.170.26
oepvajxr.pku.com.        IN    A    242.36.219.81
lhmrjdnk.pku.com.        IN    A    238.28.78.171
chwlatnp.pku.com.        IN    A    34.189.130.74
kvlcfmao.pku.com.        IN    A    33.113.5.165
qnodkmix.pku.com.        IN    A    63.243.238.2
gxvtqejw.pku.com.        IN    A    27.123.113.168
jovpqaub.pku.com.        IN    A    172.113.45.254
edbjfukc.pku.com.        IN    A    234.177.235.195
fdcohevy.pku.com.        IN    A    132.119.92.80
pshwxqiv.pku.com.        IN    A    140.23.89.61
xutkiasy.pku.com.        IN    A    81.88.208.67
emopurdh.pku.com.        IN    A    162.168.230.73
ynhoqegw.pku.com.        IN    A    114.166.75.216
ftmdanbv.pku.com.        IN    A    120.202.114.247
hpuvgiox.pku.com.        IN    A    71.19.113.241
gafrqcmt.pku.com.        IN    A    21.76.221.239
abnwqvmc.pku.com.        IN    A    147.64.78.103
dbnvjmry.pku.com.        IN    A    75.196.62.6
cfeijony.pku.com.        IN    A    118.11.109.218
jofidhuc.pku.com.        IN    A    162.68.212.133
iknaphog.pku.com.        IN    A    112.159.110.178
niwutjvb.pku.com.        IN    A    117.144.105.97
dayunopt.pku.com.        IN    A    98.75.229.68
bwhockan.pku.com.        IN    A    219.45.108.170
pohlknse.pku.com.        IN    A    142.176.23.128
hwpckoga.pku.com.        IN    A    97.198.16.113
vxcbjtyf.pku.com.        IN    A    152.175.138.181
vjqrkexp.pku.com.        IN    A    179.154.138.160
kxdgflcb.pku.com.        IN    A    115.20.247.65
orblaypm.pku.com.        IN    A    130.34.255.35
hmcylwre.pku.com.        IN    A    182.186.144.102
qmyajebd.pku.com.        IN    A    190.105.32.205
udjcisat.pku.com.        IN    A    119.95.154.90
tsphxefv.pku.com.        IN    A    123.109.27.36
acyfhpnx.pku.com.        IN    A    110.210.95.210
ptbogxmr.pku.com.        IN    A    42.66.80.140
njakhtoq.pku.com.        IN    A    1.164.107.113
crtphjib.pku.com.        IN    A    254.220.88.42
ndlhxoam.pku.com.        IN    A    237.221.187.151
xlythsne.pku.com.        IN    A    55.90.236.203
ypiehwsv.pku.com.        IN    A    239.147.97.204
tvdrfxiw.pku.com.        IN    A    184.152.14.152
kolrqiyc.pku.com.        IN    A    115.14.153.39
ohmntayd.pku.com.        IN    A    40.52.174.5
dgybmokx.pku.com.        IN    A    178.130.145.170
krsgjtmn.pku.com.        IN    A    187.38.130.147
ojstplyb.pku.com.        IN    A    224.238.216.133
jgmtvqlh.pku.com.        IN    A    53.29.2.226
itrokled.pku.com.        IN    A    46.23.174.70
weusvlhj.pku.com.        IN    A    37.103.230.119
vwnlsiqc.pku.com.        IN    A    48.181.147.172
cuaeywni.pku.com.        IN    A    42.156.164.85
agmnfrvh.pku.com.        IN    A    60.214.38.64
xekqpicg.pku.com.        IN    A    146.249.199.68
seroijuq.pku.com.        IN    A    242.185.196.89
bjhwipcl.pku.com.        IN    A    181.220.127.255
ipmctkdw.pku.com.        IN    A    35.218.228.176
acxruoeh.pku.com.        IN    A    59.148.74.230
sgveowbl.pku.com.        IN    A    121.243.29.222
wsteygxk.pku.com.        IN    A    127.117.167.86
hceygapw.pku.com.        IN    A    178.171.133.197
tpsrxceo.pku.com.        IN    A    220.146.239.6
urlmosya.pku.com.        IN    A    175.109.10.232
vusagowt.pku.com.        IN    A    214.11.207.253
cisdequa.pku.com.        IN    A    208.31.94.245
migetado.pku.com.        IN    A    9.203.114.58
bqxgiuae.pku.com.        IN    A    38.74.185.203
smriunqj.pku.com.        IN    A    122.121.219.53
gniwlaxb.pku.com.        IN    A    76.85.191.146
axokhglr.pku.com.        IN    A    223.194.223.100
ioqpnbha.pku.com.        IN    A    204.179.171.70
rsohwcdg.pku.com.        IN    A    13.98.227.153
xodayklc.pku.com.        IN    A    239.84.38.195
wcrboxie.pku.com.        IN    A    132.61.223.167
bmlygiah.pku.com.        IN    A    244.141.34.57
txkiyjow.pku.com.        IN    A    198.234.111.26
oxjaslrm.pku.com.        IN    A    126.80.101.113
wrefogta.pku.com.        IN    A    45.235.62.72
dblsptox.pku.com.        IN    A    188.201.72.74
woemdibn.pku.com.        IN    A    22.186.245.142
donxqhty.pku.com.        IN    A    150.247.254.105
bfawheup.pku.com.        IN    A    161.96.28.146
vbxkqolp.pku.com.        IN    A    228.184.114.16
rqtvfxmg.pku.com.        IN    A    132.137.32.52
eqsawxji.pku.com.        IN    A    20.98.97.235
dhkqibos.pku.com.        IN    A    1.87.28.121
qagfmidu.pku.com.        IN    A    127.67.114.41
qdsmvrox.pku.com.        IN    A    24.130.23.236
fpbtgjeh.pku.com.        IN    A    140.67.139.68
dkgxyotw.pku.com.        IN    A    55.49.193.133
pnchrduf.pku.com.        IN    A    88.11.117.218
jvtyorud.pku.com.        IN    A    60.222.250.11
ivpoyxwg.pku.com.        IN    A    165.28.87.226
nuscdefg.pku.com.        IN    A    50.4.211.159
bxylnrmh.pku.com.        IN    A    254.45.189.120
tcpagukr.pku.com.        IN    A    99.113.42.15
aqgtfbji.pku.com.        IN    A    234.177.99.55
xasrkpco.pku.com.        IN    A    205.167.93.187
typikaml.pku.com.        IN    A    211.177.211.158
brqxafnh.pku.com.        IN    A    183.95.55.178
cgojdfwq.pku.com.        IN    A    170.102.32.238
bruyqdkf.pku.com.        IN    A    114.2.96.8
aqmtcnvi.pku.com.        IN    A    34.153.45.133
jorpfwny.pku.com.        IN    A    84.11.107.150
pterksbm.pku.com.        IN    A    22.140.191.12
pigvuyjc.pku.com.        IN    A    79.179.44.247
ukvqepys.pku.com.        IN    A    41.157.173.4
cfjdguvx.pku.com.        IN    A    254.187.56.116
lathyrop.pku.com.        IN    A    171.41.142.3
hdgclipa.pku.com.        IN    A    164.12.118.157
igymbeud.pku.com.        IN    A    71.157.5.50
vndmfhob.pku.com.        IN    A    19.119.0.167
jbelqvko.pku.com.        IN    A    247.65.66.185
bldxecov.pku.com.        IN    A    11.172.201.164
qfjxdavi.pku.com.        IN    A    68.45.237.246
jamvbecl.pku.com.        IN    A    254.149.45.185
uraklxqy.pku.com.        IN    A    49.67.62.36
gachurnk.pku.com.        IN    A    235.216.223.182
gixsajpm.pku.com.        IN    A    218.186.60.58
irslhnya.pku.com.        IN    A    176.110.139.246
sfcmyxal.pku.com.        IN    A    202.199.54.98
xebvdarc.pku.com.        IN    A    13.152.141.49
obyaxjfs.pku.com.        IN    A    226.227.155.237
klnqtgvy.pku.com.        IN    A    236.113.113.28
qhxvneik.pku.com.        IN    A    161.235.29.63
qmxhedic.pku.com.        IN    A    209.173.41.226
wvtdmsfq.pku.com.        IN    A    239.144.198.78
ynukfopj.pku.com.        IN    A    67.138.141.29
kupgmqbs.pku.com.        IN    A    193.165.106.112
icuyvlgm.pku.com.        IN    A    244.30.116.138
dlkqmtay.pku.com.        IN    A    1.57.64.210
ljdkfoxi.pku.com.        IN    A    50.132.216.120
jwdiqxos.pku.com.        IN    A    216.170.192.13
qnxourid.pku.com.        IN    A    234.45.188.191
kjfosgdh.pku.com.        IN    A    17.233.81.187
dbolerku.pku.com.        IN    A    187.51.175.230
jylmrtcg.pku.com.        IN    A    170.142.154.205
fqdvpnys.pku.com.        IN    A    8.14.200.4
subwpkhg.pku.com.        IN    A    212.100.25.131
rnimtxuc.pku.com.        IN    A    174.92.108.89
fujbdcys.pku.com.        IN    A    178.97.139.10
cuilhgys.pku.com.        IN    A    169.72.82.24
lvfbsycw.pku.com.        IN    A    149.116.28.203
yiwmopag.pku.com.        IN    A    214.63.198.83
acysmfpe.pku.com.        IN    A    40.195.167.56
afpcudbj.pku.com.        IN    A    232.40.58.11
vhpqsamc.pku.com.        IN    A    125.83.38.192
ucopixfh.pku.com.        IN    A    62.133.207.19
hlkqgoyf.pku.com.        IN    A    132.28.109.161
shdwfyea.pku.com.        IN    A    101.70.161.166
cwqeavht.pku.com.        IN    A    177.178.181.206
tueragvi.pku.com.        IN    A    140.29.248.74
hrbstqpn.pku.com.        IN    A    201.8.96.28
wgdvbtmy.pku.com.        IN    A    118.201.9.9
squnepol.pku.com.        IN    A    213.7.105.206
wedbqnmo.pku.com.        IN    A    19.194.80.188
yqgpwact.pku.com.        IN    A    141.139.169.147
hjnwptci.pku.com.        IN    A    254.218.86.108
xtiunwos.pku.com.        IN    A    7.249.21.94
jugxnwec.pku.com.        IN    A    138.62.216.35
impcadqo.pku.com.        IN    A    231.232.18.7
auycxvwg.pku.com.        IN    A    134.7.179.56
diksrcxt.pku.com.        IN    A    203.169.103.145
ogsfqycu.pku.com.        IN    A    61.113.209.142
qijwekht.pku.com.        IN    A    2.219.96.242
oatugxkv.pku.com.        IN    A    229.100.211.229
truovnhf.pku.com.        IN    A    96.211.181.34
vjgnucql.pku.com.        IN    A    74.228.20.75
kwxqrhvt.pku.com.        IN    A    8.120.244.215
nkdhfpgr.pku.com.        IN    A    88.81.245.47
owmduiba.pku.com.        IN    A    87.110.103.213
eadbxunc.pku.com.        IN    A    158.20.164.179
ekjydtor.pku.com.        IN    A    139.214.47.26
maysxijd.pku.com.        IN    A    126.196.7.127
skwpqxbj.pku.com.        IN    A    143.199.109.187
rwhmepko.pku.com.        IN    A    125.179.183.9
bhuydjxq.pku.com.        IN    A    161.179.15.135
mralntyj.pku.com.        IN    A    182.187.135.118
wrvxqmlh.pku.com.        IN    A    41.145.234.22
vrcfjmlw.pku.com.        IN    A    87.169.141.239
borgxuty.pku.com.        IN    A    67.19.27.166
hpsgveim.pku.com.        IN    A    45.21.130.243
svjawglp.pku.com.        IN    A    106.96.5.132
vwgocqdl.pku.com.        IN    A    70.156.179.247
blegrhfv.pku.com.        IN    A    203.214.52.245
vglqyemp.pku.com.        IN    A    58.198.144.201
kdncwqyh.pku.com.        IN    A    134.15.163.192
fanyqoup.pku.com.        IN    A    224.15.184.78
ewrmjund.pku.com.        IN    A    175.159.205.72
blhxjyds.pku.com.        IN    A    255.74.217.87
xntbfovi.pku.com.        IN    A    0.205.115.9
ygotbjwv.pku.com.        IN    A    249.16.46.201
hpkrfqjt.pku.com.        IN    A    227.229.163.139
wpflvrjy.pku.com.        IN    A    206.141.112.188
gbpkxtvr.pku.com.        IN    A    205.131.141.37
punoeqra.pku.com.        IN    A    93.197.126.0
cwxshudg.pku.com.        IN    A    98.240.49.68
nlqvhodx.pku.com.        IN    A    141.84.104.86
urltgsxd.pku.com.        IN    A    134.10.230.115
aqcyxprw.pku.com.        IN    A    88.179.220.226
omkywnhv.pku.com.        IN    A    146.194.156.240
kguyoawl.pku.com.        IN    A    0.70.8.90
tnmgpiwj.pku.com.        IN    A    77.51.45.241
majbxdgt.pku.com.        IN    A    206.47.92.225
xuyrthem.pku.com.        IN    A    137.31.16.61
padlycej.pku.com.        IN    A    0.197.207.115
vudbnhsp.pku.com.        IN    A    56.177.129.13
nmefbkjo.pku.com.        IN    A    139.215.90.234
wqxfesom.pku.com.        IN    A    22.83.190.35
hgdsvotc.pku.com.        IN    A    139.171.146.223
evartmdi.pku.com.        IN    A    249.69.132.9
knicjugx.pku.com.        IN    A    228.67.73.11
venkihup.pku.com.        IN    A    225.240.27.245
gijfwryu.pku.com.        IN    A    188.97.59.61
rcnmkpyg.pku.com.        IN    A    170.25.182.129
oeivjnws.pku.com.        IN    A    155.20.181.244
ujkmqcyh.pku.com.        IN    A    34.50.214.113
clrsgbop.pku.com.        IN    A    227.51.117.164
rxdlyevq.pku.com.        IN    A    114.210.191.2
ksdavlqx.pku.com.        IN    A    152.103.84.6
wxdovpbh.pku.com.        IN    A    169.252.73.54
dcgynbrh.pku.com.        IN    A    186.182.88.112
uefhvpor.pku.com.        IN    A    196.255.155.21
hqbwskte.pku.com.        IN    A    17.171.229.70
bpldojeg.pku.com.        IN    A    130.73.210.166
gfioadcn.pku.com.        IN    A    158.14.32.87
dpvjacwq.pku.com.        IN    A    33.159.36.124
ndviuxfp.pku.com.        IN    A    36.211.117.34
uomgsrlq.pku.com.        IN    A    60.25.113.164
cuwskbtf.pku.com.        IN    A    210.215.37.155
mvfxqglw.pku.com.        IN    A    181.240.104.228
sijbvkep.pku.com.        IN    A    31.54.253.84
oubvrkiw.pku.com.        IN    A    27.196.215.18
smxicujh.pku.com.        IN    A    160.144.213.24
xwrblimv.pku.com.        IN    A    133.117.57.195
ycrlhfxg.pku.com.        IN    A    218.220.102.58
fjenoqxi.pku.com.        IN    A    10.113.41.135
owmdgqua.pku.com.        IN    A    214.32.163.89
erpvcbtf.pku.com.        IN    A    101.62.213.201
gslujwbe.pku.com.        IN    A    178.118.154.31
xgybsqht.pku.com.        IN    A    209.106.167.234
gfteckpj.pku.com.        IN    A    105.180.65.173
wrdnpfyh.pku.com.        IN    A    159.11.254.19
gucveljp.pku.com.        IN    A    229.224.29.54
upcmixyw.pku.com.        IN    A    109.249.78.152
ovnuqryi.pku.com.        IN    A    103.97.1.21
haropnwe.pku.com.        IN    A    130.99.97.77
rwqydvsg.pku.com.        IN    A    27.58.121.98
evaxmwko.pku.com.        IN    A    47.37.253.229
tqergnmj.pku.com.        IN    A    21.164.73.213
ecxsmfvi.pku.com.        IN    A    230.73.177.248
fpgubcmn.pku.com.        IN    A    91.113.108.69
tulmipjb.pku.com.        IN    A    150.32.54.74
hxucqwed.pku.com.        IN    A    247.80.65.88
ijetfhyx.pku.com.        IN    A    155.198.230.139
iyaxjqfd.pku.com.        IN    A    38.80.226.115
ctwyeias.pku.com.        IN    A    49.130.87.184
nbpiecqm.pku.com.        IN    A    250.69.117.71
rngcdxwi.pku.com.        IN    A    95.201.78.176
ahkfxtye.pku.com.        IN    A    195.21.35.131
qyfepojm.pku.com.        IN    A    52.199.144.2
rekfaoug.pku.com.        IN    A    130.42.236.142
ngftkchx.pku.com.        IN    A    176.69.49.18
nqjomhva.pku.com.        IN    A    171.39.63.191
tlvbgafd.pku.com.        IN    A    16.23.228.177
gnyhpume.pku.com.        IN    A    11.180.179.121
bstmkhwi.pku.com.        IN    A    99.129.54.229
qydavkjm.pku.com.        IN    A    226.215.73.183
smqbdwgv.pku.com.        IN    A    39.150.241.220
kovcbhdr.pku.com.        IN    A    93.207.159.81
rqjwcxat.pku.com.        IN    A    45.85.184.56
qcseaxik.pku.com.        IN    A    160.147.100.140
kcbhmoeg.pku.com.        IN    A    15.0.123.156
vhgmrnlq.pku.com.        IN    A    220.17.136.181
nqthferp.pku.com.        IN    A    181.251.99.154
ysgipewq.pku.com.        IN    A    219.154.66.59
qenuvoyj.pku.com.        IN    A    85.114.80.98
whovmgxb.pku.com.        IN    A    206.142.135.34
qhcsvkyo.pku.com.        IN    A    131.181.177.8
ecqygpko.pku.com.        IN    A    115.232.201.209
hcpfvske.pku.com.        IN    A    54.159.22.227
gawvbncl.pku.com.        IN    A    93.86.76.118
lpqvmxog.pku.com.        IN    A    204.81.55.16
wvxoubcd.pku.com.        IN    A    80.116.21.253
khmxvrnj.pku.com.        IN    A    45.207.220.94
tdxcerap.pku.com.        IN    A    244.169.104.224
ciyvsuqn.pku.com.        IN    A    151.75.251.32
ugxiqtan.pku.com.        IN    A    199.207.110.164
pqhfljyw.pku.com.        IN    A    59.89.115.48
lepgmhkb.pku.com.        IN    A    33.90.252.67
gvwmtrfn.pku.com.        IN    A    247.114.125.216
wxcasomv.pku.com.        IN    A    181.105.138.103
ebftroly.pku.com.        IN    A    148.143.133.25
igouexbq.pku.com.        IN    A    106.226.197.23
wrhuqlnk.pku.com.        IN    A    251.56.153.213
gyvlrhqe.pku.com.        IN    A    253.58.97.46
nbiheocq.pku.com.        IN    A    11.170.162.144
sftubnmh.pku.com.        IN    A    87.204.213.69
rtqeayng.pku.com.        IN    A    224.72.109.59
mfobrchd.pku.com.        IN    A    85.180.60.198
gbrvhumn.pku.com.        IN    A    93.136.41.227
xvagjkeo.pku.com.        IN    A    4.60.129.196
iopdbljr.pku.com.        IN    A    149.26.70.154
lmcnixdv.pku.com.        IN    A    243.113.140.134
qmwhaoyj.pku.com.        IN    A    84.209.94.211
qlecxtrs.pku.com.        IN    A    204.186.168.114
fpwqdvas.pku.com.        IN    A    236.54.255.65
ewriltsj.pku.com.        IN    A    114.99.225.134
ofguwlds.pku.com.        IN    A    148.109.215.54
wctifqpx.pku.com.        IN    A    87.252.2.102
goqydbwh.pku.com.        IN    A    211.200.135.148
efopbigy.pku.com.        IN    A    117.16.22.153
cndgrayp.pku.com.        IN    A    220.22.157.0
elimvhsb.pku.com.        IN    A    200.57.199.97
mfkgjlxo.pku.com.        IN    A    189.4.70.231
supxbrid.pku.com.        IN    A    249.216.94.95
ejadwflm.pku.com.        IN    A    94.102.31.165
ghpijxnm.pku.com.        IN    A    25.252.108.251
xahcuftp.pku.com.        IN    A    6.21.210.217
rvbjfkyo.pku.com.        IN    A    30.183.241.2
uvpbaorw.pku.com.        IN    A    26.16.138.209
epbycknt.pku.com.        IN    A    73.5.32.103
aswexlik.pku.com.        IN    A    230.38.30.77
fxuvltwa.pku.com.        IN    A    70.224.34.106
mcowpyns.pku.com.        IN    A    240.32.201.197
kvmqhlej.pku.com.        IN    A    79.20.83.82
dcaukymh.pku.com.        IN    A    46.180.245.94
wgqkmlxy.pku.com.        IN    A    90.67.250.20
ejnwlskh.pku.com.        IN    A    82.182.189.107
anftwvkx.pku.com.        IN    A    222.48.152.180
fkcavqgh.pku.com.        IN    A    247.37.189.84
siuhpqce.pku.com.        IN    A    189.224.58.215
erusyfli.pku.com.        IN    A    205.199.228.30
qlsjyaik.pku.com.        IN    A    10.198.230.140
yfeqjhom.pku.com.        IN    A    61.9.96.33
bevoadxk.pku.com.        IN    A    211.96.156.252
xlvtopyi.pku.com.        IN    A    175.16.14.100
ncphaqgt.pku.com.        IN    A    68.169.130.62
sgfxikae.pku.com.        IN    A    235.70.37.2
bdjqryth.pku.com.        IN    A    231.82.24.213
ymdtrilu.pku.com.        IN    A    171.43.103.183
nqwixjtl.pku.com.        IN    A    253.168.205.5
wyqxabov.pku.com.        IN    A    107.87.228.108
kaeomxvq.pku.com.        IN    A    76.36.177.91
ixlhfonq.pku.com.        IN    A    11.156.21.68
jbcofuix.pku.com.        IN    A    16.206.229.67
pwexvmbt.pku.com.        IN    A    113.27.203.180
kcovjgpr.pku.com.        IN    A    112.20.69.186
wnbtisud.pku.com.        IN    A    57.159.22.148
qepvigwu.pku.com.        IN    A    12.48.179.77
vixjodnc.pku.com.        IN    A    28.28.45.116
aqpnbecg.pku.com.        IN    A    202.164.7.213
nxhjpqra.pku.com.        IN    A    172.109.245.218
rsboqumf.pku.com.        IN    A    24.16.60.34
pgdlvhcs.pku.com.        IN    A    36.108.209.247
jnhblqup.pku.com.        IN    A    181.236.248.41
wnefduxo.pku.com.        IN    A    18.8.164.138
ewhrgknc.pku.com.        IN    A    72.22.46.225
yapdxwki.pku.com.        IN    A    181.104.159.137
mdwrilok.pku.com.        IN    A    168.50.43.187
mgohyuas.pku.com.        IN    A    217.43.250.96
yaqhtros.pku.com.        IN    A    172.80.233.157
jvxsmcfg.pku.com.        IN    A    181.212.75.133
frvtmexo.pku.com.        IN    A    30.90.168.180
xthyscdk.pku.com.        IN    A    101.238.10.182
txmnrcsh.pku.com.        IN    A    134.18.235.218
jalstumr.pku.com.        IN    A    45.63.223.205
swotpbng.pku.com.        IN    A    218.233.237.40
lkjtoqer.pku.com.        IN    A    232.69.139.232
klpdavht.pku.com.        IN    A    37.249.127.30
sapfmnwv.pku.com.        IN    A    55.49.211.185
ahcyeskq.pku.com.        IN    A    3.47.107.199
acgrjlwk.pku.com.        IN    A    45.117.251.23
yejmrshc.pku.com.        IN    A    107.217.17.14
hbiaecjp.pku.com.        IN    A    20.22.72.208
pclaovwt.pku.com.        IN    A    7.193.73.190
gvpfxnus.pku.com.        IN    A    213.71.201.191
eqbkhgwy.pku.com.        IN    A    72.217.175.205
jmkhbytl.pku.com.        IN    A    62.155.18.72
tgobnfdi.pku.com.        IN    A    4.57.207.220
domefbui.pku.com.        IN    A    234.220.76.167
itrqcoul.pku.com.        IN    A    86.99.195.242
hxokwcgn.pku.com.        IN    A    196.93.242.91
mqtjbuoh.pku.com.        IN    A    247.77.130.216
yjghuocp.pku.com.        IN    A    195.204.250.179
frcqmdni.pku.com.        IN    A    172.2.57.144
dcjebxwa.pku.com.        IN    A    212.23.119.77
uhxdpcwa.pku.com.        IN    A    229.191.176.192
atekrwbh.pku.com.        IN    A    227.217.107.99
krmjwsun.pku.com.        IN    A    100.225.6.68
pcrsfdbm.pku.com.        IN    A    55.29.30.194
rlxcuoga.pku.com.        IN    A    250.202.204.88
rxovjlwy.pku.com.        IN    A    183.109.215.205
pdcvhawm.pku.com.        IN    A    117.68.111.65
emgnswqv.pku.com.        IN    A    140.29.46.226
agkcjvux.pku.com.        IN    A    74.131.32.81
dytqvhui.pku.com.        IN    A    127.240.211.104
tcmauxpn.pku.com.        IN    A    52.176.159.3
fplaosqb.pku.com.        IN    A    187.254.7.28
vkmtdrcu.pku.com.        IN    A    61.247.177.178
dnemjqux.pku.com.        IN    A    234.60.5.110
dwgsrqfe.pku.com.        IN    A    176.139.21.122
tjrowahq.pku.com.        IN    A    57.147.226.249
wgafmqpu.pku.com.        IN    A    190.228.208.31
cfabmjyg.pku.com.        IN    A    1.181.63.148
xlwhcavt.pku.com.        IN    A    35.14.110.202
qurgihdm.pku.com.        IN    A    160.149.3.254
wuhneljy.pku.com.        IN    A    125.129.212.41
opkhlect.pku.com.        IN    A    224.70.79.109
mriklweo.pku.com.        IN    A    44.66.166.60
wqcdblxk.pku.com.        IN    A    82.215.238.45
anfvubpt.pku.com.        IN    A    199.95.149.227
jyblexkf.pku.com.        IN    A    241.236.57.87
tuxcsdqk.pku.com.        IN    A    47.106.34.112
raqcplhw.pku.com.        IN    A    122.244.13.92
sdycarxm.pku.com.        IN    A    70.175.240.241
kavhjeiq.pku.com.        IN    A    98.254.62.155
pugxnvol.pku.com.        IN    A    187.30.115.95
rlfkjuvh.pku.com.        IN    A    9.47.18.180
eudcxpho.pku.com.        IN    A    148.106.24.118
sfxlcowq.pku.com.        IN    A    177.219.203.207
yirjtavx.pku.com.        IN    A    70.92.19.179
qrijgfnl.pku.com.        IN    A    66.1.128.191
ihcrpgyo.pku.com.        IN    A    93.87.243.65
bkcultqm.pku.com.        IN    A    153.228.163.46
eqrvbdlo.pku.com.        IN    A    123.3.122.19
yjqvbaom.pku.com.        IN    A    30.226.142.64
upbjxqfh.pku.com.        IN    A    228.0.116.73
iocqkbax.pku.com.        IN    A    25.231.62.15
bjsonmpq.pku.com.        IN    A    105.246.71.80
gyfwdcqs.pku.com.        IN    A    63.72.242.187
tpijwafv.pku.com.        IN    A    19.11.241.85
afqnjdtb.pku.com.        IN    A    119.12.242.71
jibwxlae.pku.com.        IN    A    2.211.145.228
vlpxscrg.pku.com.        IN    A    190.155.242.245
lfioedar.pku.com.        IN    A    112.27.217.214
wodscmar.pku.com.        IN    A    40.187.1.68
gdhfncej.pku.com.        IN    A    42.54.130.21
pbwsfori.pku.com.        IN    A    54.16.121.211
fjwsrxup.pku.com.        IN    A    16.47.239.167
pftmxqey.pku.com.        IN    A    216.140.80.202
dxmygfar.pku.com.        IN    A    157.27.71.1
lusgexky.pku.com.        IN    A    99.126.17.134
kbmhntlv.pku.com.        IN    A    226.241.112.196
eoutgnpa.pku.com.        IN    A    217.206.136.34
vjtwbexc.pku.com.        IN    A    180.120.92.12
lysqhcug.pku.com.        IN    A    47.72.34.253
vtbsmrow.pku.com.        IN    A    131.251.2.234
vjixugsc.pku.com.        IN    A    25.107.145.209
oipwhuaj.pku.com.        IN    A    148.84.185.11
ltqgfuwi.pku.com.        IN    A    63.143.254.249
qnwbsxjh.pku.com.        IN    A    39.244.130.108
ehrspiun.pku.com.        IN    A    20.65.230.42
bdirheoc.pku.com.        IN    A    133.248.137.13
unkjxvai.pku.com.        IN    A    172.74.59.103
wixrnuql.pku.com.        IN    A    116.231.255.16
scxmoapf.pku.com.        IN    A    234.185.81.49
hlnmvxta.pku.com.        IN    A    171.113.67.78
pinrylce.pku.com.        IN    A    164.67.115.152
jpsiywbd.pku.com.        IN    A    251.246.192.50
tcrdbiav.pku.com.        IN    A    205.2.116.246
nvadsfwc.pku.com.        IN    A    22.241.205.45
hevmkawo.pku.com.        IN    A    30.68.88.63
igmhxntd.pku.com.        IN    A    180.97.104.223
tqvwknsb.pku.com.        IN    A    90.96.168.33
ikubytah.pku.com.        IN    A    85.117.150.4
igymjtex.pku.com.        IN    A    178.73.82.134
wuntxver.pku.com.        IN    A    205.97.26.126
domtqilj.pku.com.        IN    A    21.43.83.194
btcpfwjv.pku.com.        IN    A    134.230.235.196
bruxclky.pku.com.        IN    A    168.78.200.198
aghnbcrj.pku.com.        IN    A    67.62.214.196
afsqnuri.pku.com.        IN    A    143.108.136.151
bfdlymgi.pku.com.        IN    A    246.146.161.30
hosxlqwf.pku.com.        IN    A    205.198.73.107
vikghwtb.pku.com.        IN    A    87.174.198.53
fvrjcndg.pku.com.        IN    A    100.138.83.223
supcrakq.pku.com.        IN    A    215.53.115.20
bfsqreck.pku.com.        IN    A    198.252.151.34
oawmhjxq.pku.com.        IN    A    90.33.36.201
