www.nju.com. 	14400	IN	SOA	ns1.www.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
www.nju.com.		    IN	NS ns1.www.nju.com.
qwvrpidf.www.nju.com.    IN    A    28.14.41.114
siqpjygf.www.nju.com.    IN    A    242.74.11.55
jmvbslnu.www.nju.com.    IN    A    31.55.111.144
tjrvcofh.www.nju.com.    IN    A    109.89.110.12
upbamdiw.www.nju.com.    IN    A    162.91.240.252
asibwnrl.www.nju.com.    IN    A    10.35.134.5
ytuqvcwe.www.nju.com.    IN    A    84.94.46.1
ithroacw.www.nju.com.    IN    A    74.50.148.14
yldohrbs.www.nju.com.    IN    A    29.89.14.100
bfadvpie.www.nju.com.    IN    A    164.79.63.58
awsvhonr.www.nju.com.    IN    A    240.36.101.242
ldgyjobr.www.nju.com.    IN    A    179.220.4.164
uqyahmvg.www.nju.com.    IN    A    113.237.170.209
pofkugwj.www.nju.com.    IN    A    227.226.181.22
agwilvky.www.nju.com.    IN    A    240.5.131.132
rltkayiv.www.nju.com.    IN    A    240.255.146.184
tymisahg.www.nju.com.    IN    A    188.150.88.161
cjxhyoiu.www.nju.com.    IN    A    161.89.205.101
noqdpvsk.www.nju.com.    IN    A    87.129.203.82
eukqlcbh.www.nju.com.    IN    A    175.13.132.146
anevjkbf.www.nju.com.    IN    A    143.231.95.221
ergkbslo.www.nju.com.    IN    A    183.19.145.39
sxluykrg.www.nju.com.    IN    A    193.69.60.77
lpwnsadt.www.nju.com.    IN    A    95.124.12.3
veoamijx.www.nju.com.    IN    A    83.233.197.103
wblhafcg.www.nju.com.    IN    A    249.196.250.161
hdyqwaso.www.nju.com.    IN    A    247.13.11.157
tinaylph.www.nju.com.    IN    A    19.246.0.88
nqsaxpwr.www.nju.com.    IN    A    228.187.24.245
ohvqpufj.www.nju.com.    IN    A    138.205.191.84
gcdrqnps.www.nju.com.    IN    A    139.89.188.190
iwvjfqut.www.nju.com.    IN    A    245.238.7.2
gbhlsfpy.www.nju.com.    IN    A    27.131.144.228
ojkwyfas.www.nju.com.    IN    A    136.209.238.9
fpteckba.www.nju.com.    IN    A    217.156.176.229
xsrckhfq.www.nju.com.    IN    A    101.227.110.100
ikjmhfty.www.nju.com.    IN    A    119.74.90.231
mgryqnfi.www.nju.com.    IN    A    113.28.67.12
eayunowr.www.nju.com.    IN    A    158.61.78.24
uebiphgm.www.nju.com.    IN    A    36.116.22.104
gxoetrki.www.nju.com.    IN    A    140.132.122.106
mrliaevq.www.nju.com.    IN    A    235.201.45.33
otdiwqbs.www.nju.com.    IN    A    96.55.35.205
ajptbmrv.www.nju.com.    IN    A    231.235.126.218
yinlgact.www.nju.com.    IN    A    25.79.108.93
vjpimots.www.nju.com.    IN    A    188.106.223.164
scuwrivb.www.nju.com.    IN    A    77.214.238.206
chvwqfmj.www.nju.com.    IN    A    123.221.205.137
ndkirfej.www.nju.com.    IN    A    72.225.225.103
nrvikbje.www.nju.com.    IN    A    85.86.119.186
nroqiypd.www.nju.com.    IN    A    221.45.156.217
rqgthlmu.www.nju.com.    IN    A    12.175.88.224
ngeutxaw.www.nju.com.    IN    A    53.89.198.92
ecjnxkuy.www.nju.com.    IN    A    153.91.245.13
vdrmslxt.www.nju.com.    IN    A    9.96.118.240
vewrfkhp.www.nju.com.    IN    A    255.24.126.101
mnrokvfu.www.nju.com.    IN    A    25.36.74.63
bguhydiw.www.nju.com.    IN    A    168.10.215.113
belpjmnh.www.nju.com.    IN    A    170.69.141.216
wjocbdqf.www.nju.com.    IN    A    153.26.244.34
obqxesad.www.nju.com.    IN    A    198.91.169.247
fjagpemv.www.nju.com.    IN    A    39.52.11.201
xfouricy.www.nju.com.    IN    A    80.250.138.219
usykbigt.www.nju.com.    IN    A    216.153.112.205
hscgemkr.www.nju.com.    IN    A    74.135.124.245
qfvuoywj.www.nju.com.    IN    A    232.154.179.90
lbjumtws.www.nju.com.    IN    A    142.244.19.180
almutbkh.www.nju.com.    IN    A    173.103.158.86
qmkjlxcb.www.nju.com.    IN    A    255.209.125.90
gwspmedb.www.nju.com.    IN    A    209.39.210.5
soyvxamk.www.nju.com.    IN    A    202.118.122.133
ltuxciok.www.nju.com.    IN    A    41.89.212.167
agxnlueh.www.nju.com.    IN    A    46.199.76.168
nmdoaqgc.www.nju.com.    IN    A    3.223.231.84
jrysbgxm.www.nju.com.    IN    A    104.195.188.173
dvnmhcip.www.nju.com.    IN    A    153.8.115.1
ugaexncf.www.nju.com.    IN    A    229.133.225.3
unjyxhqr.www.nju.com.    IN    A    225.99.35.179
vlpejuhg.www.nju.com.    IN    A    91.16.35.215
tpmcgbjd.www.nju.com.    IN    A    161.4.1.27
xycstjfq.www.nju.com.    IN    A    202.41.16.84
hoxtmudw.www.nju.com.    IN    A    81.82.201.15
focdgsqe.www.nju.com.    IN    A    92.140.63.126
yetbfhwp.www.nju.com.    IN    A    179.172.249.62
utcvmhky.www.nju.com.    IN    A    243.184.121.51
wbcrtvux.www.nju.com.    IN    A    218.161.240.76
iapwquvo.www.nju.com.    IN    A    17.220.56.200
oqpyxnkb.www.nju.com.    IN    A    158.172.110.72
dmsrvhnw.www.nju.com.    IN    A    14.168.179.38
uoqhyvla.www.nju.com.    IN    A    11.182.70.232
gldkpicm.www.nju.com.    IN    A    242.229.23.102
eklgihqj.www.nju.com.    IN    A    86.105.141.134
khodxjsp.www.nju.com.    IN    A    147.231.57.145
igrvxolj.www.nju.com.    IN    A    10.29.172.103
jsrbhxpf.www.nju.com.    IN    A    11.174.35.168
vlfoiker.www.nju.com.    IN    A    165.113.125.11
tprgawuq.www.nju.com.    IN    A    216.194.26.156
dkmlcivo.www.nju.com.    IN    A    250.62.81.167
ubmcsxqe.www.nju.com.    IN    A    40.91.198.222
lbfewukj.www.nju.com.    IN    A    135.237.135.140
reovdxjm.www.nju.com.    IN    A    48.51.112.179
afmkhgot.www.nju.com.    IN    A    152.166.2.246
xbolhyjv.www.nju.com.    IN    A    38.169.67.117
frlphisk.www.nju.com.    IN    A    144.33.46.35
pbuforxc.www.nju.com.    IN    A    110.43.198.149
otlbpvnj.www.nju.com.    IN    A    218.238.246.105
dxvhwqok.www.nju.com.    IN    A    214.68.171.192
lyickdrp.www.nju.com.    IN    A    229.31.180.109
ovremixt.www.nju.com.    IN    A    217.81.62.179
rkaphfsj.www.nju.com.    IN    A    207.33.106.43
vulpsfbd.www.nju.com.    IN    A    65.64.116.122
squxrakw.www.nju.com.    IN    A    182.248.180.12
dtqmgvuk.www.nju.com.    IN    A    131.3.168.163
ugfiaoxv.www.nju.com.    IN    A    66.213.167.166
kqnostcb.www.nju.com.    IN    A    119.187.57.130
iocjgnxb.www.nju.com.    IN    A    186.68.129.255
hgflytkp.www.nju.com.    IN    A    255.252.57.160
akutbmej.www.nju.com.    IN    A    8.130.129.56
hbcfuetr.www.nju.com.    IN    A    29.196.187.45
nxycjlas.www.nju.com.    IN    A    196.248.58.128
paxnckif.www.nju.com.    IN    A    71.160.94.181
faowepcq.www.nju.com.    IN    A    210.220.249.65
otlpndky.www.nju.com.    IN    A    115.239.96.154
iaqndhuy.www.nju.com.    IN    A    209.5.165.137
bgvcyjol.www.nju.com.    IN    A    220.112.19.67
nbeivhko.www.nju.com.    IN    A    76.22.122.39
tfjrcdqx.www.nju.com.    IN    A    238.223.15.185
lwmyepqr.www.nju.com.    IN    A    243.57.56.30
hdvobksn.www.nju.com.    IN    A    156.194.231.240
emqcfjwo.www.nju.com.    IN    A    161.40.67.7
wageocxt.www.nju.com.    IN    A    77.181.30.226
ykaorqgi.www.nju.com.    IN    A    29.16.66.183
rmuxoveh.www.nju.com.    IN    A    168.156.202.214
hydtmclq.www.nju.com.    IN    A    70.46.97.7
wmgconlq.www.nju.com.    IN    A    214.9.89.246
kcbsxipu.www.nju.com.    IN    A    214.198.56.217
xyupbfel.www.nju.com.    IN    A    95.108.184.22
miylscbq.www.nju.com.    IN    A    52.149.153.169
vuimsbtf.www.nju.com.    IN    A    185.108.124.149
tdpyminr.www.nju.com.    IN    A    49.149.162.90
ewgquklt.www.nju.com.    IN    A    168.191.163.208
skmjvdfy.www.nju.com.    IN    A    149.152.117.43
xhclefqj.www.nju.com.    IN    A    50.209.228.47
swbnxjic.www.nju.com.    IN    A    90.160.49.112
mjhwtkae.www.nju.com.    IN    A    27.197.23.185
wlthpdcs.www.nju.com.    IN    A    27.17.87.165
aoelpvxn.www.nju.com.    IN    A    234.61.165.108
qajiwseb.www.nju.com.    IN    A    190.93.99.199
yngkiewx.www.nju.com.    IN    A    191.220.141.116
ydwkpgvf.www.nju.com.    IN    A    250.122.62.139
fiandqul.www.nju.com.    IN    A    45.53.97.116
hexdprml.www.nju.com.    IN    A    52.86.108.125
vicnsylr.www.nju.com.    IN    A    52.171.244.231
acktwijp.www.nju.com.    IN    A    34.83.94.86
lbyroapf.www.nju.com.    IN    A    24.134.247.252
htvjnwpk.www.nju.com.    IN    A    201.53.33.236
xagvwuct.www.nju.com.    IN    A    229.110.133.196
sqgahdiw.www.nju.com.    IN    A    56.230.178.121
xefnpwsy.www.nju.com.    IN    A    100.167.20.104
shayldmr.www.nju.com.    IN    A    58.109.247.119
efuolycv.www.nju.com.    IN    A    74.199.69.174
mhpskvct.www.nju.com.    IN    A    195.229.132.97
qsomuyxt.www.nju.com.    IN    A    204.13.87.21
aseluhrj.www.nju.com.    IN    A    140.60.238.234
qdrhowsl.www.nju.com.    IN    A    56.225.166.210
dotpalbh.www.nju.com.    IN    A    157.122.38.87
scduagbq.www.nju.com.    IN    A    44.245.95.103
fhykagxp.www.nju.com.    IN    A    150.215.114.232
mwoydlgb.www.nju.com.    IN    A    18.52.29.92
yncrfxlu.www.nju.com.    IN    A    11.225.125.207
fhdmxugn.www.nju.com.    IN    A    18.223.94.199
rlvuyimb.www.nju.com.    IN    A    221.250.164.152
tyubkqvg.www.nju.com.    IN    A    164.40.60.188
dcxqojvt.www.nju.com.    IN    A    126.105.133.172
ywvmbtdg.www.nju.com.    IN    A    241.70.245.51
niqfuspx.www.nju.com.    IN    A    195.22.31.241
hewysgqo.www.nju.com.    IN    A    64.155.135.160
sabjkvlp.www.nju.com.    IN    A    192.224.76.74
bsoxcjda.www.nju.com.    IN    A    43.201.52.156
rlmxtqyf.www.nju.com.    IN    A    221.16.37.30
dqucwvbp.www.nju.com.    IN    A    162.71.49.202
swcqmbno.www.nju.com.    IN    A    224.17.187.170
mrgqldat.www.nju.com.    IN    A    253.20.135.133
wtuhlvgj.www.nju.com.    IN    A    22.133.100.129
csoqmakt.www.nju.com.    IN    A    106.106.23.248
rtchpmvu.www.nju.com.    IN    A    47.104.251.241
rmxlhbko.www.nju.com.    IN    A    99.115.186.184
yalmcrpf.www.nju.com.    IN    A    206.80.251.243
yltdvngw.www.nju.com.    IN    A    14.169.194.12
nseiaokg.www.nju.com.    IN    A    220.186.180.13
xbsvdmcw.www.nju.com.    IN    A    94.104.116.177
crlkvdah.www.nju.com.    IN    A    39.202.62.166
ghunaetc.www.nju.com.    IN    A    95.2.197.217
pfchngbx.www.nju.com.    IN    A    63.153.95.184
xaomlivw.www.nju.com.    IN    A    200.58.229.114
pfiadojb.www.nju.com.    IN    A    213.17.131.58
ftkiolwj.www.nju.com.    IN    A    242.48.103.134
bmuicgfr.www.nju.com.    IN    A    27.153.129.198
bxmnasqt.www.nju.com.    IN    A    229.110.173.210
gampkudc.www.nju.com.    IN    A    20.131.57.180
lsxgnqku.www.nju.com.    IN    A    124.205.207.60
wdjpofsu.www.nju.com.    IN    A    217.28.218.147
utkbhpvi.www.nju.com.    IN    A    194.19.141.133
sbtyvxdp.www.nju.com.    IN    A    45.254.254.121
xiwdbkae.www.nju.com.    IN    A    170.206.102.10
pcbrfhdm.www.nju.com.    IN    A    136.45.216.84
hafwiedv.www.nju.com.    IN    A    171.243.94.255
gfolunps.www.nju.com.    IN    A    66.65.218.200
bmrkgenf.www.nju.com.    IN    A    154.242.54.66
fcshnrbk.www.nju.com.    IN    A    78.177.107.22
abrjwcle.www.nju.com.    IN    A    56.170.236.12
nceuqfrw.www.nju.com.    IN    A    0.105.76.77
riowymut.www.nju.com.    IN    A    11.106.146.78
wnsaokxc.www.nju.com.    IN    A    223.150.243.4
pcguhjaq.www.nju.com.    IN    A    17.15.119.244
mxltiphj.www.nju.com.    IN    A    251.127.84.66
kltiavms.www.nju.com.    IN    A    112.52.157.94
gkhoydwf.www.nju.com.    IN    A    132.112.73.52
sytvwprx.www.nju.com.    IN    A    66.3.122.171
bvgtawqy.www.nju.com.    IN    A    52.189.5.98
qpmwygvk.www.nju.com.    IN    A    0.125.192.109
labojreq.www.nju.com.    IN    A    254.4.212.69
nsbxdeoh.www.nju.com.    IN    A    16.73.11.253
sqhovydr.www.nju.com.    IN    A    134.121.208.33
ymtdnhou.www.nju.com.    IN    A    115.80.62.219
gevrkwmx.www.nju.com.    IN    A    139.32.142.128
djuerqlp.www.nju.com.    IN    A    79.121.113.188
obktwcgl.www.nju.com.    IN    A    193.126.8.116
vloiqpdr.www.nju.com.    IN    A    75.36.6.75
cbqvayns.www.nju.com.    IN    A    205.249.6.146
qpdtgemo.www.nju.com.    IN    A    197.207.158.31
bdauivgx.www.nju.com.    IN    A    111.124.236.67
pfarhqde.www.nju.com.    IN    A    189.176.255.172
xhewytam.www.nju.com.    IN    A    7.239.167.166
vfbgdcsu.www.nju.com.    IN    A    238.227.127.67
pbwseqtn.www.nju.com.    IN    A    121.147.24.131
vucmlpjw.www.nju.com.    IN    A    154.193.59.112
sghlbmur.www.nju.com.    IN    A    123.242.156.121
gavkxtun.www.nju.com.    IN    A    155.175.142.56
rqcbufsj.www.nju.com.    IN    A    152.76.224.80
bhjlyqfu.www.nju.com.    IN    A    197.85.38.188
kuyxpber.www.nju.com.    IN    A    133.234.237.143
vkpbngoi.www.nju.com.    IN    A    38.181.171.33
ujqdcean.www.nju.com.    IN    A    172.132.170.200
jndahyfc.www.nju.com.    IN    A    27.250.122.250
tfkxyoap.www.nju.com.    IN    A    235.54.242.178
lehqcbso.www.nju.com.    IN    A    3.128.243.183
rgnbeyqf.www.nju.com.    IN    A    75.12.102.150
prwjhnty.www.nju.com.    IN    A    248.31.214.182
frlmyqbd.www.nju.com.    IN    A    26.7.96.6
sboycpet.www.nju.com.    IN    A    253.119.52.188
drbqloms.www.nju.com.    IN    A    167.137.209.108
uinljkme.www.nju.com.    IN    A    124.83.65.38
qbjwtfvh.www.nju.com.    IN    A    223.168.126.151
gnqxhioj.www.nju.com.    IN    A    170.159.135.62
kwprqxbo.www.nju.com.    IN    A    24.223.231.90
avreysiw.www.nju.com.    IN    A    84.12.55.232
ljsphdwc.www.nju.com.    IN    A    25.129.196.126
ijlbqkra.www.nju.com.    IN    A    222.196.118.55
wursixac.www.nju.com.    IN    A    133.158.245.30
ujcbfdrq.www.nju.com.    IN    A    174.142.225.41
nqfeumgl.www.nju.com.    IN    A    214.193.56.190
kfediwoa.www.nju.com.    IN    A    146.17.226.47
rsfpogkq.www.nju.com.    IN    A    140.73.134.145
vjeoaqpg.www.nju.com.    IN    A    11.170.180.247
oufkwdqp.www.nju.com.    IN    A    179.225.212.73
duflomgb.www.nju.com.    IN    A    16.47.60.10
vlamriyf.www.nju.com.    IN    A    145.112.115.76
xaqncslg.www.nju.com.    IN    A    25.31.166.35
xmjkrcyp.www.nju.com.    IN    A    212.119.161.89
hdmoviap.www.nju.com.    IN    A    73.170.126.235
aiyxksne.www.nju.com.    IN    A    226.76.197.171
hkdgcpbr.www.nju.com.    IN    A    0.24.220.136
fajowehb.www.nju.com.    IN    A    13.127.14.46
gaqdcjwe.www.nju.com.    IN    A    138.196.209.182
otjqlyim.www.nju.com.    IN    A    89.87.144.170
gmwafuil.www.nju.com.    IN    A    238.227.56.26
mbpodwjf.www.nju.com.    IN    A    61.145.213.181
bpygrxnu.www.nju.com.    IN    A    97.106.169.162
oaieuqwp.www.nju.com.    IN    A    224.247.107.128
psyacnri.www.nju.com.    IN    A    132.12.121.252
lneqxdsg.www.nju.com.    IN    A    141.213.86.105
uijfyeds.www.nju.com.    IN    A    217.224.127.252
dxfopwqy.www.nju.com.    IN    A    67.112.151.197
kimvodup.www.nju.com.    IN    A    103.85.107.16
mfwhjcnq.www.nju.com.    IN    A    167.199.72.171
tdmayerf.www.nju.com.    IN    A    36.92.141.161
mklqfhus.www.nju.com.    IN    A    150.159.79.249
wxtlmajv.www.nju.com.    IN    A    79.212.22.0
fbkgmxnt.www.nju.com.    IN    A    238.204.64.131
lwrteysu.www.nju.com.    IN    A    153.78.213.241
ybiwmfch.www.nju.com.    IN    A    42.131.147.147
bfyiktep.www.nju.com.    IN    A    14.59.173.186
cylrvmof.www.nju.com.    IN    A    122.195.90.28
iufqvotk.www.nju.com.    IN    A    140.255.95.120
ltkdvjuo.www.nju.com.    IN    A    195.40.67.122
onladgpe.www.nju.com.    IN    A    175.103.212.9
hrenyoqa.www.nju.com.    IN    A    183.220.28.119
diowerpf.www.nju.com.    IN    A    22.199.94.125
bkadpown.www.nju.com.    IN    A    255.88.202.127
ryujcdpw.www.nju.com.    IN    A    68.25.9.93
mneokgbh.www.nju.com.    IN    A    10.237.140.134
jcsmduxf.www.nju.com.    IN    A    210.30.127.109
vjidbmny.www.nju.com.    IN    A    79.172.249.60
egmkyqvu.www.nju.com.    IN    A    99.236.236.78
mrekcgfy.www.nju.com.    IN    A    179.183.210.188
kuhqwvdn.www.nju.com.    IN    A    9.128.3.251
mxirpuae.www.nju.com.    IN    A    67.227.241.235
cpwlajgt.www.nju.com.    IN    A    151.84.231.248
tneuirgv.www.nju.com.    IN    A    171.64.141.222
kesfpayt.www.nju.com.    IN    A    87.242.137.117
sumkdceo.www.nju.com.    IN    A    226.22.195.56
ntlyieao.www.nju.com.    IN    A    97.248.223.108
txdobcjq.www.nju.com.    IN    A    159.100.10.47
aehpckrx.www.nju.com.    IN    A    77.56.217.221
iqobklcy.www.nju.com.    IN    A    189.201.58.19
swphgdbn.www.nju.com.    IN    A    61.241.133.100
mckfvajs.www.nju.com.    IN    A    15.20.6.196
dijgaerp.www.nju.com.    IN    A    213.180.184.160
swxndvap.www.nju.com.    IN    A    96.89.78.252
nfxtpewl.www.nju.com.    IN    A    115.59.19.212
umfewvib.www.nju.com.    IN    A    177.236.125.186
axhkbucn.www.nju.com.    IN    A    152.124.34.47
hgbyrijx.www.nju.com.    IN    A    249.248.21.120
mqlbutve.www.nju.com.    IN    A    155.156.121.105
mjgocnsw.www.nju.com.    IN    A    60.180.251.92
mntelubc.www.nju.com.    IN    A    183.214.170.186
vxepcjoi.www.nju.com.    IN    A    121.239.53.97
ywduljva.www.nju.com.    IN    A    121.187.117.8
dcpjshlf.www.nju.com.    IN    A    45.156.158.125
rwjmxqsg.www.nju.com.    IN    A    196.210.21.34
fxisndwo.www.nju.com.    IN    A    75.208.27.150
mnuvhrks.www.nju.com.    IN    A    115.150.180.169
jnvabuqr.www.nju.com.    IN    A    232.248.169.98
iksqengw.www.nju.com.    IN    A    230.130.232.223
ugvmrchw.www.nju.com.    IN    A    60.69.91.209
vbcnrjue.www.nju.com.    IN    A    80.25.33.198
kvsuxqga.www.nju.com.    IN    A    43.138.50.40
dngicwpf.www.nju.com.    IN    A    149.21.251.85
kspngauv.www.nju.com.    IN    A    75.46.233.102
tjfevaci.www.nju.com.    IN    A    43.186.212.110
vpnrqjao.www.nju.com.    IN    A    30.24.226.132
ynijuwfg.www.nju.com.    IN    A    70.59.116.163
lkewuvdy.www.nju.com.    IN    A    133.169.249.109
tqjeficw.www.nju.com.    IN    A    240.218.40.235
pyvfsocq.www.nju.com.    IN    A    107.236.211.135
nhuwmdgp.www.nju.com.    IN    A    142.58.74.100
hpxgfqib.www.nju.com.    IN    A    92.42.101.130
gsqctyef.www.nju.com.    IN    A    196.18.255.116
lirnxsuo.www.nju.com.    IN    A    102.185.229.170
pjmkuysh.www.nju.com.    IN    A    83.188.120.163
sjwctnko.www.nju.com.    IN    A    12.224.135.238
opmhwiul.www.nju.com.    IN    A    206.8.86.228
tisbrqjf.www.nju.com.    IN    A    239.172.179.29
uaoctymg.www.nju.com.    IN    A    116.37.49.54
ctymdoxw.www.nju.com.    IN    A    110.125.211.73
hglmvidx.www.nju.com.    IN    A    91.39.135.208
pyxilncf.www.nju.com.    IN    A    196.205.167.21
uiagcnmd.www.nju.com.    IN    A    55.176.127.250
aeofbryj.www.nju.com.    IN    A    39.156.184.150
nkapghwj.www.nju.com.    IN    A    95.72.0.96
wpeimuhn.www.nju.com.    IN    A    175.64.11.151
vkwgjqre.www.nju.com.    IN    A    161.200.114.142
jdwatgun.www.nju.com.    IN    A    51.241.187.52
vdonraif.www.nju.com.    IN    A    15.121.114.229
awxgfcpo.www.nju.com.    IN    A    23.69.5.40
khqmtejw.www.nju.com.    IN    A    173.115.164.128
lgvymskb.www.nju.com.    IN    A    102.53.120.70
sebxnaut.www.nju.com.    IN    A    76.118.117.205
fqplbshc.www.nju.com.    IN    A    93.107.148.223
gdiwsuth.www.nju.com.    IN    A    158.126.150.79
omjuycga.www.nju.com.    IN    A    244.208.6.148
pauysigf.www.nju.com.    IN    A    34.52.190.202
tajclxyn.www.nju.com.    IN    A    104.163.211.69
adinpmbw.www.nju.com.    IN    A    104.25.192.86
hcjeidwr.www.nju.com.    IN    A    153.5.158.117
flrvkanb.www.nju.com.    IN    A    57.24.19.106
qeljgstk.www.nju.com.    IN    A    18.83.39.246
qkyopljm.www.nju.com.    IN    A    52.106.211.88
yhuxtnke.www.nju.com.    IN    A    25.61.233.19
sxytioae.www.nju.com.    IN    A    238.78.241.212
goxbrmyc.www.nju.com.    IN    A    101.51.217.64
wvdsgiqj.www.nju.com.    IN    A    116.26.63.42
hwvuetmd.www.nju.com.    IN    A    249.79.227.192
xftvophb.www.nju.com.    IN    A    9.170.227.32
runtkyqm.www.nju.com.    IN    A    112.48.23.96
rnbvslkx.www.nju.com.    IN    A    60.120.108.12
eoaumjys.www.nju.com.    IN    A    161.99.67.252
euwxscjo.www.nju.com.    IN    A    228.211.28.137
xstkeqra.www.nju.com.    IN    A    112.182.4.239
gwpmcyld.www.nju.com.    IN    A    66.219.130.186
kinhmuwd.www.nju.com.    IN    A    85.109.231.24
pxrjlqdu.www.nju.com.    IN    A    163.150.100.193
qtvnhfdc.www.nju.com.    IN    A    154.89.16.63
ugdyobpa.www.nju.com.    IN    A    64.215.121.221
dplufcng.www.nju.com.    IN    A    141.51.162.219
hgbwtysq.www.nju.com.    IN    A    160.81.30.246
donrckta.www.nju.com.    IN    A    211.74.158.133
opghlqkf.www.nju.com.    IN    A    161.110.33.232
gakyrmnq.www.nju.com.    IN    A    69.219.210.193
rmlbqvde.www.nju.com.    IN    A    235.64.64.87
nofwduvp.www.nju.com.    IN    A    36.185.214.151
gkfimhou.www.nju.com.    IN    A    73.112.10.2
opvwqeul.www.nju.com.    IN    A    180.3.11.231
gwhlmayq.www.nju.com.    IN    A    163.81.41.233
wljektoq.www.nju.com.    IN    A    141.109.159.125
grwtvsdh.www.nju.com.    IN    A    253.9.33.134
fqlgpmis.www.nju.com.    IN    A    2.128.46.23
scyikgpj.www.nju.com.    IN    A    84.167.179.120
yrfadsio.www.nju.com.    IN    A    111.129.213.223
ynbtcgip.www.nju.com.    IN    A    152.10.153.246
wkumaygr.www.nju.com.    IN    A    64.16.134.251
qotdbpgc.www.nju.com.    IN    A    224.204.9.109
eyaqvsob.www.nju.com.    IN    A    70.64.252.48
oedapvfl.www.nju.com.    IN    A    34.46.5.100
eulkyfdr.www.nju.com.    IN    A    159.221.124.100
ntepvwyx.www.nju.com.    IN    A    177.201.159.165
poyieknb.www.nju.com.    IN    A    17.176.224.174
kvwoujch.www.nju.com.    IN    A    216.23.171.169
hxntrque.www.nju.com.    IN    A    138.204.138.215
aswfinpu.www.nju.com.    IN    A    190.99.11.47
gtlemfsy.www.nju.com.    IN    A    190.198.23.120
reojwifh.www.nju.com.    IN    A    134.247.234.123
sfravypm.www.nju.com.    IN    A    93.6.120.104
bucjwrkm.www.nju.com.    IN    A    47.128.32.201
ilrjdnog.www.nju.com.    IN    A    59.189.157.102
xnlwgtqj.www.nju.com.    IN    A    233.54.110.177
fpabyxom.www.nju.com.    IN    A    58.106.133.4
aeukgnxq.www.nju.com.    IN    A    213.224.172.163
pxbniehr.www.nju.com.    IN    A    175.57.162.160
phfnkvtu.www.nju.com.    IN    A    189.102.27.95
hdjlfouw.www.nju.com.    IN    A    71.176.51.108
lkbypnxh.www.nju.com.    IN    A    162.136.138.246
psgkhftc.www.nju.com.    IN    A    229.3.150.151
nqhadjes.www.nju.com.    IN    A    121.68.211.49
afihrkwl.www.nju.com.    IN    A    21.61.153.102
oksmrfyd.www.nju.com.    IN    A    73.185.68.101
nbievwst.www.nju.com.    IN    A    99.20.43.46
ubpdqmng.www.nju.com.    IN    A    226.205.73.62
jlxuoagw.www.nju.com.    IN    A    59.53.223.83
awnhditg.www.nju.com.    IN    A    242.88.221.184
clxgmuyd.www.nju.com.    IN    A    58.148.90.39
rqpyteul.www.nju.com.    IN    A    3.207.221.60
gamcsvbf.www.nju.com.    IN    A    203.149.239.47
oktvmefn.www.nju.com.    IN    A    147.158.58.58
auxjcdtb.www.nju.com.    IN    A    112.185.210.234
waksnvjy.www.nju.com.    IN    A    136.34.101.225
xawofhug.www.nju.com.    IN    A    198.251.33.51
dxyvnpet.www.nju.com.    IN    A    64.161.197.207
dxsnyjui.www.nju.com.    IN    A    145.143.44.113
vfmjbcok.www.nju.com.    IN    A    52.171.109.53
foqmkhpn.www.nju.com.    IN    A    57.177.157.39
labvgdpt.www.nju.com.    IN    A    30.151.30.234
ykftqpad.www.nju.com.    IN    A    118.58.87.53
cepliadr.www.nju.com.    IN    A    168.136.238.254
xrucdoyk.www.nju.com.    IN    A    240.185.58.208
whekvlra.www.nju.com.    IN    A    216.146.127.207
tdguylwv.www.nju.com.    IN    A    134.47.97.238
ratnkjyq.www.nju.com.    IN    A    102.169.94.253
jedhaoyt.www.nju.com.    IN    A    247.232.35.27
gqvmocij.www.nju.com.    IN    A    142.248.226.108
ltqfyadw.www.nju.com.    IN    A    84.16.9.176
ascvuxdy.www.nju.com.    IN    A    223.222.6.220
huinorpq.www.nju.com.    IN    A    232.254.37.152
xtiwqjmc.www.nju.com.    IN    A    128.157.214.220
wtmkyahg.www.nju.com.    IN    A    254.173.34.245
pvgidjar.www.nju.com.    IN    A    2.255.223.100
kpecoqvs.www.nju.com.    IN    A    105.138.248.202
ufnlptvj.www.nju.com.    IN    A    10.228.213.2
uskovrim.www.nju.com.    IN    A    77.210.147.79
fitgsjcr.www.nju.com.    IN    A    175.120.124.77
kieuhwrb.www.nju.com.    IN    A    194.176.66.87
knfrpiev.www.nju.com.    IN    A    82.66.179.18
bxlqwitj.www.nju.com.    IN    A    58.128.63.188
pgkchmdn.www.nju.com.    IN    A    4.198.253.128
ptodvmxw.www.nju.com.    IN    A    231.58.96.190
egbpavux.www.nju.com.    IN    A    71.69.179.165
udpkjxqm.www.nju.com.    IN    A    36.177.235.233
ewlqgvmj.www.nju.com.    IN    A    125.81.22.199
usbgohcn.www.nju.com.    IN    A    20.214.15.123
tjbywfmp.www.nju.com.    IN    A    29.1.161.78
pyxiqmsu.www.nju.com.    IN    A    82.41.249.157
wbaxomql.www.nju.com.    IN    A    77.170.238.222
gwkvybnl.www.nju.com.    IN    A    20.127.202.191
oqxhbkad.www.nju.com.    IN    A    91.81.96.202
hginysfr.www.nju.com.    IN    A    200.83.158.240
wpkgyras.www.nju.com.    IN    A    18.19.135.94
decsqfuy.www.nju.com.    IN    A    110.162.17.73
tclsfxnd.www.nju.com.    IN    A    82.11.86.194
