sci.cqu.com.	14400	IN	SOA	ns1.sci.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
sci.cqu.com.		    IN	NS ns1.sci.cqu.com.
gmxijndv.sci.cqu.com.    IN    A    127.175.254.255
kqgxsanl.sci.cqu.com.    IN    A    184.108.62.17
qjopcune.sci.cqu.com.    IN    A    237.57.108.197
knqwxlsc.sci.cqu.com.    IN    A    1.69.236.159
tbfshoyg.sci.cqu.com.    IN    A    128.11.154.158
tcgvanbu.sci.cqu.com.    IN    A    50.3.200.216
faijxpnl.sci.cqu.com.    IN    A    127.41.126.169
wfkdxhyl.sci.cqu.com.    IN    A    7.195.205.172
ybijumfl.sci.cqu.com.    IN    A    207.59.76.228
vqhdcnjw.sci.cqu.com.    IN    A    59.179.162.252
vhjptoxg.sci.cqu.com.    IN    A    117.153.143.176
fxubvoqt.sci.cqu.com.    IN    A    181.183.125.93
jvarxopu.sci.cqu.com.    IN    A    113.214.42.115
jcdberwm.sci.cqu.com.    IN    A    13.198.9.246
osdpljrv.sci.cqu.com.    IN    A    2.186.185.216
mdjaprki.sci.cqu.com.    IN    A    116.151.3.107
koqdpctu.sci.cqu.com.    IN    A    143.210.134.214
tcfvjhbr.sci.cqu.com.    IN    A    165.145.62.206
fwecbsxy.sci.cqu.com.    IN    A    66.25.133.161
dtsfipxa.sci.cqu.com.    IN    A    148.241.101.120
gsrdhvpf.sci.cqu.com.    IN    A    145.213.179.121
slrwnquf.sci.cqu.com.    IN    A    189.124.189.119
ntgpsiob.sci.cqu.com.    IN    A    71.15.173.145
wsbixuaj.sci.cqu.com.    IN    A    83.90.41.226
ivgtnchp.sci.cqu.com.    IN    A    158.9.173.36
cvywhkod.sci.cqu.com.    IN    A    84.236.65.123
tnclrkid.sci.cqu.com.    IN    A    76.179.70.226
sdwjxiom.sci.cqu.com.    IN    A    185.24.24.125
tcekbhmq.sci.cqu.com.    IN    A    193.128.20.189
dyrhkunq.sci.cqu.com.    IN    A    126.68.33.120
njsgpmkd.sci.cqu.com.    IN    A    127.37.96.174
wxeaqmkl.sci.cqu.com.    IN    A    24.140.80.8
vlbpkfgq.sci.cqu.com.    IN    A    255.226.50.68
qklrpxfg.sci.cqu.com.    IN    A    229.160.176.122
lcgvikmj.sci.cqu.com.    IN    A    218.85.168.190
winbsevc.sci.cqu.com.    IN    A    75.113.34.235
ehuijybv.sci.cqu.com.    IN    A    230.215.156.137
waqnemfr.sci.cqu.com.    IN    A    197.130.169.120
ucbkwasr.sci.cqu.com.    IN    A    215.178.55.247
ochgalns.sci.cqu.com.    IN    A    238.209.46.223
rbwokpvm.sci.cqu.com.    IN    A    82.149.221.73
nadjtbgl.sci.cqu.com.    IN    A    65.93.177.239
peidvyro.sci.cqu.com.    IN    A    147.57.234.90
wumlxyrc.sci.cqu.com.    IN    A    100.173.132.183
yrwuodcf.sci.cqu.com.    IN    A    186.250.173.187
uginmple.sci.cqu.com.    IN    A    200.123.26.193
kfamhbwy.sci.cqu.com.    IN    A    185.30.20.79
ogwaedmq.sci.cqu.com.    IN    A    74.64.228.100
ahwuoqyx.sci.cqu.com.    IN    A    244.138.130.213
vdjunwcg.sci.cqu.com.    IN    A    58.45.237.175
qwsxtdgr.sci.cqu.com.    IN    A    104.193.72.75
hqxjptfd.sci.cqu.com.    IN    A    147.121.86.185
ysolajfm.sci.cqu.com.    IN    A    183.243.104.238
xfsbpniq.sci.cqu.com.    IN    A    223.215.111.73
uyvmgnck.sci.cqu.com.    IN    A    232.68.33.112
exlrgsvu.sci.cqu.com.    IN    A    138.79.175.242
qyxsfbuc.sci.cqu.com.    IN    A    35.105.14.149
ocvmiknl.sci.cqu.com.    IN    A    224.188.201.99
dfsnqtbo.sci.cqu.com.    IN    A    194.179.11.115
vajubxef.sci.cqu.com.    IN    A    105.52.247.140
ojywtcsn.sci.cqu.com.    IN    A    202.196.14.155
lsdmgeoq.sci.cqu.com.    IN    A    213.175.91.168
dflmskcg.sci.cqu.com.    IN    A    97.162.254.108
flupcgen.sci.cqu.com.    IN    A    186.78.46.152
prgeokna.sci.cqu.com.    IN    A    222.154.208.202
phmgbqru.sci.cqu.com.    IN    A    39.225.221.22
lixknjgy.sci.cqu.com.    IN    A    174.160.43.206
npbxvoyr.sci.cqu.com.    IN    A    141.4.254.8
rdlauspv.sci.cqu.com.    IN    A    185.76.80.52
buwvgeyx.sci.cqu.com.    IN    A    224.159.58.97
abpkvlmw.sci.cqu.com.    IN    A    68.247.13.200
dwkvabtp.sci.cqu.com.    IN    A    30.131.165.68
elgivuxn.sci.cqu.com.    IN    A    231.29.160.86
tkaelidp.sci.cqu.com.    IN    A    86.6.254.39
vicodymn.sci.cqu.com.    IN    A    65.232.27.177
chqiopsx.sci.cqu.com.    IN    A    14.150.122.250
ceatlmki.sci.cqu.com.    IN    A    144.73.99.58
tvrocqxb.sci.cqu.com.    IN    A    33.107.66.252
ifyxrqpe.sci.cqu.com.    IN    A    49.200.99.124
jknoumex.sci.cqu.com.    IN    A    34.222.219.83
vpfoayeu.sci.cqu.com.    IN    A    52.183.91.191
sltvqord.sci.cqu.com.    IN    A    49.11.189.221
acrumfjd.sci.cqu.com.    IN    A    249.105.250.249
snkagufv.sci.cqu.com.    IN    A    65.105.2.167
tcbpfdvq.sci.cqu.com.    IN    A    233.91.32.135
jmhusngq.sci.cqu.com.    IN    A    96.151.87.199
nvhwtruk.sci.cqu.com.    IN    A    45.160.194.149
opfnsajq.sci.cqu.com.    IN    A    126.88.2.28
avgbkywi.sci.cqu.com.    IN    A    41.104.157.241
ngpimave.sci.cqu.com.    IN    A    56.55.131.89
gxysqvon.sci.cqu.com.    IN    A    24.68.150.251
dmkoyfjb.sci.cqu.com.    IN    A    163.20.232.179
kpabrlgy.sci.cqu.com.    IN    A    188.245.55.47
yvaqngos.sci.cqu.com.    IN    A    179.232.198.157
hyawvcqf.sci.cqu.com.    IN    A    63.140.28.200
ycvpanqb.sci.cqu.com.    IN    A    119.96.221.37
vhxabglq.sci.cqu.com.    IN    A    142.138.94.223
bvjhguic.sci.cqu.com.    IN    A    51.251.17.165
jriwovdm.sci.cqu.com.    IN    A    0.132.79.233
vcuihqbe.sci.cqu.com.    IN    A    210.222.29.155
nfgsaqod.sci.cqu.com.    IN    A    7.6.65.126
nyxrsdwh.sci.cqu.com.    IN    A    62.215.9.109
kndacglp.sci.cqu.com.    IN    A    239.123.38.69
fqdkxupb.sci.cqu.com.    IN    A    245.249.142.122
srydbeol.sci.cqu.com.    IN    A    225.70.121.196
skqethpl.sci.cqu.com.    IN    A    221.200.41.248
bysixjor.sci.cqu.com.    IN    A    232.200.156.158
supihbkg.sci.cqu.com.    IN    A    212.7.205.208
yagpxqne.sci.cqu.com.    IN    A    115.153.11.211
ildavhxo.sci.cqu.com.    IN    A    150.106.85.134
tcvrxnif.sci.cqu.com.    IN    A    235.137.108.32
lgkvbrdx.sci.cqu.com.    IN    A    165.213.159.77
lhfxdeco.sci.cqu.com.    IN    A    155.33.74.58
onexcajd.sci.cqu.com.    IN    A    229.4.124.88
qkcxtiwh.sci.cqu.com.    IN    A    173.171.175.255
mryheasi.sci.cqu.com.    IN    A    177.105.33.250
gbhsjrod.sci.cqu.com.    IN    A    112.84.190.60
tiploysf.sci.cqu.com.    IN    A    159.168.55.151
hrquvlyc.sci.cqu.com.    IN    A    138.26.155.185
xhjbelvm.sci.cqu.com.    IN    A    53.223.43.220
hlejpvaf.sci.cqu.com.    IN    A    80.82.252.82
xsqbmguh.sci.cqu.com.    IN    A    149.211.148.99
uqjapfkd.sci.cqu.com.    IN    A    122.24.238.159
okyfgsrb.sci.cqu.com.    IN    A    163.58.52.181
tgxsrudf.sci.cqu.com.    IN    A    217.52.112.233
kovwgfsx.sci.cqu.com.    IN    A    253.237.216.227
acdslkgo.sci.cqu.com.    IN    A    172.249.232.103
yewrauni.sci.cqu.com.    IN    A    62.225.39.88
lgtxwnsr.sci.cqu.com.    IN    A    107.4.20.29
hvmnqsea.sci.cqu.com.    IN    A    204.57.158.58
wlfhiajv.sci.cqu.com.    IN    A    208.102.212.229
cwixpuqb.sci.cqu.com.    IN    A    36.184.163.170
hcxafuyr.sci.cqu.com.    IN    A    82.156.133.88
esbhidqt.sci.cqu.com.    IN    A    68.159.72.21
afdknrce.sci.cqu.com.    IN    A    44.59.189.221
nghwjfre.sci.cqu.com.    IN    A    32.241.236.107
qubyvelc.sci.cqu.com.    IN    A    250.251.35.138
enkvlhgs.sci.cqu.com.    IN    A    196.82.190.0
qbnjipye.sci.cqu.com.    IN    A    106.245.124.114
vlrpcnsg.sci.cqu.com.    IN    A    68.179.138.238
wqtngfpo.sci.cqu.com.    IN    A    253.32.246.38
njgsuxby.sci.cqu.com.    IN    A    94.150.161.39
rkvpjlaq.sci.cqu.com.    IN    A    207.58.42.80
osfgjuce.sci.cqu.com.    IN    A    24.44.171.94
btcfwnlq.sci.cqu.com.    IN    A    187.82.142.79
dnabcqgl.sci.cqu.com.    IN    A    124.239.100.223
fnwucbxs.sci.cqu.com.    IN    A    243.212.108.74
onifqpdl.sci.cqu.com.    IN    A    97.106.93.154
anowkysi.sci.cqu.com.    IN    A    96.68.193.115
irdxfsua.sci.cqu.com.    IN    A    32.224.167.156
kcbgudyl.sci.cqu.com.    IN    A    186.23.147.157
iedjfxkm.sci.cqu.com.    IN    A    165.139.249.145
spbyuoex.sci.cqu.com.    IN    A    233.102.254.7
sfmyiuer.sci.cqu.com.    IN    A    12.199.172.255
dxeygwrn.sci.cqu.com.    IN    A    35.20.78.106
gfxuoenm.sci.cqu.com.    IN    A    81.84.228.60
ewmovalp.sci.cqu.com.    IN    A    144.102.150.173
joncfmpi.sci.cqu.com.    IN    A    2.133.214.143
thcynuwj.sci.cqu.com.    IN    A    115.207.2.93
phvqtgkf.sci.cqu.com.    IN    A    205.183.140.76
edskgvnb.sci.cqu.com.    IN    A    5.93.64.180
yxpvwbgq.sci.cqu.com.    IN    A    195.76.195.114
ynolgmpr.sci.cqu.com.    IN    A    215.9.79.15
thygwqad.sci.cqu.com.    IN    A    39.3.125.197
yuavbegj.sci.cqu.com.    IN    A    155.98.106.125
yvkojtea.sci.cqu.com.    IN    A    44.34.253.212
xyjaqukf.sci.cqu.com.    IN    A    218.15.194.141
kspijcnm.sci.cqu.com.    IN    A    217.125.235.67
rbdevigo.sci.cqu.com.    IN    A    159.109.37.188
faqnmupd.sci.cqu.com.    IN    A    64.128.241.253
jfxvipyt.sci.cqu.com.    IN    A    54.192.20.236
cpqosbyd.sci.cqu.com.    IN    A    159.229.44.112
eqyoismf.sci.cqu.com.    IN    A    1.44.12.93
fyrpmksb.sci.cqu.com.    IN    A    162.151.186.38
acvxkpio.sci.cqu.com.    IN    A    77.120.46.88
uabxldos.sci.cqu.com.    IN    A    240.65.49.186
xrjwyubp.sci.cqu.com.    IN    A    111.68.89.45
khwxsdfq.sci.cqu.com.    IN    A    225.214.142.128
vdmopbhs.sci.cqu.com.    IN    A    18.19.233.112
wymvdnoa.sci.cqu.com.    IN    A    238.80.163.137
oyvpxuih.sci.cqu.com.    IN    A    173.242.222.60
gtevsxok.sci.cqu.com.    IN    A    144.72.149.56
tlokjyph.sci.cqu.com.    IN    A    128.144.62.177
uqtdvfkw.sci.cqu.com.    IN    A    45.139.37.242
fhmuawit.sci.cqu.com.    IN    A    231.194.7.41
aqpiotwx.sci.cqu.com.    IN    A    44.124.143.203
ldrbwmyx.sci.cqu.com.    IN    A    86.162.215.172
rjbyvsea.sci.cqu.com.    IN    A    80.225.36.55
qalebfpd.sci.cqu.com.    IN    A    170.61.69.166
nairxywf.sci.cqu.com.    IN    A    78.187.96.197
bamcwkrg.sci.cqu.com.    IN    A    224.96.159.65
hganifbr.sci.cqu.com.    IN    A    75.179.204.166
gkrfvwsi.sci.cqu.com.    IN    A    49.160.76.10
kyoitmpa.sci.cqu.com.    IN    A    234.163.226.230
svfndmio.sci.cqu.com.    IN    A    77.52.91.55
ebuildjg.sci.cqu.com.    IN    A    40.143.66.3
quvgesrx.sci.cqu.com.    IN    A    57.3.47.199
vrqsxkgc.sci.cqu.com.    IN    A    162.138.229.151
ghpiujnq.sci.cqu.com.    IN    A    63.146.158.206
frjkcmye.sci.cqu.com.    IN    A    147.156.65.108
oxuglsej.sci.cqu.com.    IN    A    105.243.134.133
jdvbrmfx.sci.cqu.com.    IN    A    155.98.93.49
shutmrbg.sci.cqu.com.    IN    A    192.16.36.76
crptxnki.sci.cqu.com.    IN    A    84.48.133.101
rwpfmevo.sci.cqu.com.    IN    A    220.222.231.76
sghqauij.sci.cqu.com.    IN    A    246.255.53.13
xqyjigcl.sci.cqu.com.    IN    A    152.14.115.147
uolnhkvr.sci.cqu.com.    IN    A    43.105.181.85
iyxurbqe.sci.cqu.com.    IN    A    255.172.71.122
ukndyhem.sci.cqu.com.    IN    A    27.137.179.100
lgvsoehd.sci.cqu.com.    IN    A    155.252.170.96
qvycfwrs.sci.cqu.com.    IN    A    196.93.145.119
gxhlbdfv.sci.cqu.com.    IN    A    217.163.170.152
bmexgqfo.sci.cqu.com.    IN    A    85.235.143.138
bkjryvet.sci.cqu.com.    IN    A    239.61.224.223
phmctkuo.sci.cqu.com.    IN    A    230.168.216.67
frhxbseu.sci.cqu.com.    IN    A    153.128.246.99
vpxueclt.sci.cqu.com.    IN    A    61.219.229.137
pkwdlhev.sci.cqu.com.    IN    A    222.70.213.48
cvgjkmtd.sci.cqu.com.    IN    A    149.118.66.9
bnwafutj.sci.cqu.com.    IN    A    184.39.11.195
nhqaemrf.sci.cqu.com.    IN    A    204.192.127.219
gjemvwbx.sci.cqu.com.    IN    A    59.224.244.27
jnkrfudg.sci.cqu.com.    IN    A    209.8.81.28
hajxrlkm.sci.cqu.com.    IN    A    13.141.65.7
glfdpjrq.sci.cqu.com.    IN    A    203.178.110.167
gncdstmh.sci.cqu.com.    IN    A    189.107.234.2
eonrqapj.sci.cqu.com.    IN    A    153.91.227.39
yawhlsjt.sci.cqu.com.    IN    A    117.254.132.83
hrknmxcd.sci.cqu.com.    IN    A    9.59.229.201
vgqpujak.sci.cqu.com.    IN    A    150.92.10.236
mnuqedyk.sci.cqu.com.    IN    A    166.147.208.164
gnkjcwlv.sci.cqu.com.    IN    A    116.239.26.231
hwvjdnkr.sci.cqu.com.    IN    A    195.166.147.73
jginrskh.sci.cqu.com.    IN    A    34.248.201.163
vldeqxan.sci.cqu.com.    IN    A    245.202.160.19
baseinvf.sci.cqu.com.    IN    A    41.141.201.198
pcaqwkji.sci.cqu.com.    IN    A    86.64.134.56
dliyeqro.sci.cqu.com.    IN    A    107.129.26.130
jedihamr.sci.cqu.com.    IN    A    133.45.213.217
enutgclk.sci.cqu.com.    IN    A    10.226.95.201
xjmqwuyi.sci.cqu.com.    IN    A    165.15.121.224
mksnqbdh.sci.cqu.com.    IN    A    34.211.225.151
gbrkmunl.sci.cqu.com.    IN    A    250.120.32.54
pyojvrbe.sci.cqu.com.    IN    A    200.2.125.11
fxyliamt.sci.cqu.com.    IN    A    45.183.115.63
uqixlpma.sci.cqu.com.    IN    A    151.3.209.119
bkxvgphe.sci.cqu.com.    IN    A    157.43.5.210
omindgfa.sci.cqu.com.    IN    A    48.140.207.108
itywqhem.sci.cqu.com.    IN    A    24.195.139.120
xwenbsmq.sci.cqu.com.    IN    A    84.144.225.151
lbqyfjpk.sci.cqu.com.    IN    A    127.35.98.75
elupvsxg.sci.cqu.com.    IN    A    173.200.215.45
vmhtojyc.sci.cqu.com.    IN    A    198.126.255.52
qhoflcpe.sci.cqu.com.    IN    A    21.246.132.104
qakrwpvn.sci.cqu.com.    IN    A    53.209.35.24
atjeolir.sci.cqu.com.    IN    A    108.37.90.174
qsduirbj.sci.cqu.com.    IN    A    47.58.130.89
ecdlxupr.sci.cqu.com.    IN    A    156.179.88.241
kbtefpnw.sci.cqu.com.    IN    A    161.241.135.163
wnbjqvmr.sci.cqu.com.    IN    A    94.163.18.10
bmrqnsyv.sci.cqu.com.    IN    A    237.16.99.190
mixsajgr.sci.cqu.com.    IN    A    141.52.161.209
mbndvaeg.sci.cqu.com.    IN    A    233.78.65.102
himvurjc.sci.cqu.com.    IN    A    171.136.214.227
ayijupkf.sci.cqu.com.    IN    A    121.152.114.222
dqrlwvsf.sci.cqu.com.    IN    A    148.239.153.175
wvhndtjs.sci.cqu.com.    IN    A    33.139.7.31
taxifjbd.sci.cqu.com.    IN    A    3.20.100.47
xfsgmviw.sci.cqu.com.    IN    A    206.150.124.242
ihkyagmn.sci.cqu.com.    IN    A    188.144.24.112
vrajkcig.sci.cqu.com.    IN    A    198.73.49.33
bustwryi.sci.cqu.com.    IN    A    60.139.92.111
dnsmigct.sci.cqu.com.    IN    A    152.253.181.72
unjbpwoh.sci.cqu.com.    IN    A    161.122.195.189
akpcvqdo.sci.cqu.com.    IN    A    150.232.164.117
yfjqxnbp.sci.cqu.com.    IN    A    212.225.126.228
lafmshwr.sci.cqu.com.    IN    A    135.188.148.110
nqekhdxt.sci.cqu.com.    IN    A    192.111.19.56
asmdxtep.sci.cqu.com.    IN    A    41.68.10.93
ridaplyk.sci.cqu.com.    IN    A    16.196.67.0
nyrhvfkp.sci.cqu.com.    IN    A    63.39.82.173
xodjuvcb.sci.cqu.com.    IN    A    121.148.47.215
tndmucpb.sci.cqu.com.    IN    A    109.11.195.38
mletkjub.sci.cqu.com.    IN    A    5.70.85.127
sfidjhyp.sci.cqu.com.    IN    A    135.207.113.163
aymfwvto.sci.cqu.com.    IN    A    95.87.124.149
cykawmbx.sci.cqu.com.    IN    A    58.48.4.24
ystndiro.sci.cqu.com.    IN    A    48.195.218.76
ounbwafy.sci.cqu.com.    IN    A    113.199.241.9
gyboqpjf.sci.cqu.com.    IN    A    66.250.134.37
pufwxesj.sci.cqu.com.    IN    A    7.48.6.157
uptghqes.sci.cqu.com.    IN    A    56.251.47.24
ypclxoeh.sci.cqu.com.    IN    A    243.140.231.170
xbchkaqf.sci.cqu.com.    IN    A    171.136.151.208
piayrjdu.sci.cqu.com.    IN    A    212.251.29.86
lmhdbafw.sci.cqu.com.    IN    A    38.226.255.177
nfcouagq.sci.cqu.com.    IN    A    61.60.74.88
vxlpfwhy.sci.cqu.com.    IN    A    202.223.118.53
uomslyfx.sci.cqu.com.    IN    A    168.110.133.47
msndqleu.sci.cqu.com.    IN    A    238.94.246.131
inlwxhoc.sci.cqu.com.    IN    A    203.54.87.1
ifwgjahy.sci.cqu.com.    IN    A    62.89.110.102
vrelumki.sci.cqu.com.    IN    A    46.170.254.29
ctrpiyoa.sci.cqu.com.    IN    A    253.168.237.149
jfdbcsuw.sci.cqu.com.    IN    A    232.220.173.62
gfxqiruh.sci.cqu.com.    IN    A    241.126.217.195
cgydjlen.sci.cqu.com.    IN    A    46.166.117.205
evalubys.sci.cqu.com.    IN    A    146.0.5.160
hxiedpvf.sci.cqu.com.    IN    A    113.196.33.193
fosklcuh.sci.cqu.com.    IN    A    184.178.137.13
igapbqok.sci.cqu.com.    IN    A    242.176.220.121
erpnlgvk.sci.cqu.com.    IN    A    186.148.112.192
gbleonua.sci.cqu.com.    IN    A    24.37.59.187
hslmdovn.sci.cqu.com.    IN    A    199.13.104.87
meapyinw.sci.cqu.com.    IN    A    42.15.201.72
xcpilrho.sci.cqu.com.    IN    A    137.69.131.82
jptxqadh.sci.cqu.com.    IN    A    129.213.26.143
uqisjetx.sci.cqu.com.    IN    A    249.242.220.29
hnoevgat.sci.cqu.com.    IN    A    110.59.133.151
dqankfsu.sci.cqu.com.    IN    A    169.223.63.131
jbslgrwi.sci.cqu.com.    IN    A    4.16.174.97
hawymsft.sci.cqu.com.    IN    A    133.127.137.118
gcpexlmo.sci.cqu.com.    IN    A    129.202.225.219
tvgnsmah.sci.cqu.com.    IN    A    219.124.164.93
rkxevalu.sci.cqu.com.    IN    A    105.83.104.103
wxnlymjv.sci.cqu.com.    IN    A    74.194.131.79
vdxawmbj.sci.cqu.com.    IN    A    38.41.94.41
fiprvcmh.sci.cqu.com.    IN    A    111.57.36.8
tmoeiavh.sci.cqu.com.    IN    A    48.14.96.30
cjsovxik.sci.cqu.com.    IN    A    74.128.89.213
qymudkfo.sci.cqu.com.    IN    A    153.97.51.119
hqwepctv.sci.cqu.com.    IN    A    69.172.143.157
eokuacry.sci.cqu.com.    IN    A    160.68.106.138
robjcquk.sci.cqu.com.    IN    A    10.159.54.145
imrvkqsw.sci.cqu.com.    IN    A    57.136.82.81
njcmwtur.sci.cqu.com.    IN    A    197.233.73.149
swjtmgku.sci.cqu.com.    IN    A    48.110.135.50
uetrhjvl.sci.cqu.com.    IN    A    241.250.145.48
yjfslitb.sci.cqu.com.    IN    A    188.25.214.22
ulixgbvr.sci.cqu.com.    IN    A    3.189.94.177
rgqbsmju.sci.cqu.com.    IN    A    24.108.130.151
raxecjbi.sci.cqu.com.    IN    A    161.126.126.196
kosmibva.sci.cqu.com.    IN    A    146.195.160.30
aqlihwnx.sci.cqu.com.    IN    A    88.38.32.143
dribyose.sci.cqu.com.    IN    A    182.175.167.136
ivwuqdpg.sci.cqu.com.    IN    A    214.22.200.30
awtkcmnh.sci.cqu.com.    IN    A    24.192.188.245
dwejfaxv.sci.cqu.com.    IN    A    218.135.57.229
giphxojv.sci.cqu.com.    IN    A    188.9.143.217
rnjpqchi.sci.cqu.com.    IN    A    85.238.42.246
bycwetiu.sci.cqu.com.    IN    A    251.92.45.153
ecpyhxvg.sci.cqu.com.    IN    A    71.155.171.57
wiaomvdu.sci.cqu.com.    IN    A    158.170.147.161
eynmqbsh.sci.cqu.com.    IN    A    70.27.212.153
hbrawnig.sci.cqu.com.    IN    A    227.61.214.55
dpnosygr.sci.cqu.com.    IN    A    197.112.110.75
umxvdwht.sci.cqu.com.    IN    A    166.129.74.173
toduxqjf.sci.cqu.com.    IN    A    5.238.70.174
dhtwxkga.sci.cqu.com.    IN    A    233.81.39.20
imtjfklp.sci.cqu.com.    IN    A    133.135.216.88
ytawcebq.sci.cqu.com.    IN    A    167.52.111.3
rjlkyqhf.sci.cqu.com.    IN    A    117.151.235.43
bsmkcivx.sci.cqu.com.    IN    A    119.142.28.139
ptfmucqk.sci.cqu.com.    IN    A    24.38.213.242
tixbynhp.sci.cqu.com.    IN    A    249.188.135.104
gispdtaf.sci.cqu.com.    IN    A    58.127.8.22
sdoivrfg.sci.cqu.com.    IN    A    119.106.180.122
gjqbxnep.sci.cqu.com.    IN    A    125.20.0.12
wbynoxck.sci.cqu.com.    IN    A    164.166.64.132
hxbjuigd.sci.cqu.com.    IN    A    21.47.179.17
tropqsfg.sci.cqu.com.    IN    A    237.53.231.76
pbdkcysr.sci.cqu.com.    IN    A    49.44.23.56
fsrvgnha.sci.cqu.com.    IN    A    109.193.78.45
vxleqkpi.sci.cqu.com.    IN    A    122.34.153.117
jcdexnry.sci.cqu.com.    IN    A    252.235.109.226
vjlkwbrc.sci.cqu.com.    IN    A    183.185.3.224
cbydjflw.sci.cqu.com.    IN    A    124.210.112.98
clhqrxky.sci.cqu.com.    IN    A    139.42.22.10
bdrytewh.sci.cqu.com.    IN    A    91.214.101.169
kudbsyfi.sci.cqu.com.    IN    A    46.165.57.30
xrdjuhen.sci.cqu.com.    IN    A    119.107.238.207
cagqdbsx.sci.cqu.com.    IN    A    44.246.179.160
xqokbwvm.sci.cqu.com.    IN    A    166.113.235.253
puilwjhd.sci.cqu.com.    IN    A    218.239.159.68
ongavcej.sci.cqu.com.    IN    A    110.168.224.106
sayxpqcb.sci.cqu.com.    IN    A    77.224.19.184
ywbfklai.sci.cqu.com.    IN    A    155.193.200.31
qyntubod.sci.cqu.com.    IN    A    143.206.157.126
ukacigft.sci.cqu.com.    IN    A    133.188.99.214
bwtlysjm.sci.cqu.com.    IN    A    120.195.186.91
gpyxdqmo.sci.cqu.com.    IN    A    134.37.85.84
kucimroh.sci.cqu.com.    IN    A    229.20.164.214
fltdkoge.sci.cqu.com.    IN    A    169.185.146.190
prajtkvy.sci.cqu.com.    IN    A    159.162.29.9
hevfwaot.sci.cqu.com.    IN    A    78.119.230.160
trqogmpd.sci.cqu.com.    IN    A    62.54.123.243
mrksqugy.sci.cqu.com.    IN    A    114.84.12.9
ljobuvfp.sci.cqu.com.    IN    A    75.77.67.53
vbmlgcuf.sci.cqu.com.    IN    A    50.118.4.108
fkgtrqpd.sci.cqu.com.    IN    A    105.123.160.132
gfsetryn.sci.cqu.com.    IN    A    169.190.185.239
bsuxgmok.sci.cqu.com.    IN    A    188.65.139.179
piegrnbv.sci.cqu.com.    IN    A    198.233.205.20
ngjmqoky.sci.cqu.com.    IN    A    151.26.28.118
fcxqnvih.sci.cqu.com.    IN    A    87.37.119.244
owtajnxm.sci.cqu.com.    IN    A    193.254.182.242
nidaruwo.sci.cqu.com.    IN    A    54.215.0.158
ajdxmlrf.sci.cqu.com.    IN    A    68.132.153.15
hyamgtcu.sci.cqu.com.    IN    A    117.241.67.139
bwdglyst.sci.cqu.com.    IN    A    202.106.212.255
vmaegkwt.sci.cqu.com.    IN    A    117.235.144.26
xyvtrlap.sci.cqu.com.    IN    A    224.127.149.70
tmdugnwl.sci.cqu.com.    IN    A    250.179.205.117
cqkegyhv.sci.cqu.com.    IN    A    217.120.163.78
supfvatn.sci.cqu.com.    IN    A    166.17.103.243
nbxvarip.sci.cqu.com.    IN    A    105.226.68.179
cmeqbyfv.sci.cqu.com.    IN    A    24.112.239.229
pgjuhecy.sci.cqu.com.    IN    A    12.253.218.214
ghokfrcy.sci.cqu.com.    IN    A    68.178.125.113
jxowfgdq.sci.cqu.com.    IN    A    163.191.66.175
sepiuxrt.sci.cqu.com.    IN    A    48.190.237.155
hyoabdux.sci.cqu.com.    IN    A    33.136.97.89
qkugalje.sci.cqu.com.    IN    A    125.231.148.230
otjeapus.sci.cqu.com.    IN    A    111.80.219.5
ltmsixbr.sci.cqu.com.    IN    A    115.244.36.71
ulqshtjp.sci.cqu.com.    IN    A    5.10.202.215
bilnqtmg.sci.cqu.com.    IN    A    201.129.236.51
dolpgufm.sci.cqu.com.    IN    A    244.247.212.113
hagiptsb.sci.cqu.com.    IN    A    81.21.135.60
uxtfkwsn.sci.cqu.com.    IN    A    65.73.202.244
bedgfsaw.sci.cqu.com.    IN    A    89.140.183.74
mwkbvtqo.sci.cqu.com.    IN    A    56.65.229.123
qlsxfdgj.sci.cqu.com.    IN    A    89.231.39.74
nylbtcqr.sci.cqu.com.    IN    A    176.113.98.248
hvmbpjdf.sci.cqu.com.    IN    A    129.183.245.18
rpsvwfiy.sci.cqu.com.    IN    A    133.151.139.235
orywmxth.sci.cqu.com.    IN    A    168.134.15.82
sfcrhydq.sci.cqu.com.    IN    A    161.195.87.241
sedklywj.sci.cqu.com.    IN    A    83.188.169.91
vwkhsnmx.sci.cqu.com.    IN    A    73.74.236.171
mpvliyek.sci.cqu.com.    IN    A    194.54.251.29
tkmhebup.sci.cqu.com.    IN    A    11.166.84.86
nudteqrw.sci.cqu.com.    IN    A    172.108.139.6
savkdhwu.sci.cqu.com.    IN    A    230.56.153.57
iwkuerty.sci.cqu.com.    IN    A    41.81.151.128
txhrndsi.sci.cqu.com.    IN    A    188.4.49.167
pwvlxgct.sci.cqu.com.    IN    A    60.222.152.156
ugodrcfw.sci.cqu.com.    IN    A    166.55.206.38
htpjorfv.sci.cqu.com.    IN    A    8.127.128.35
cxwgauol.sci.cqu.com.    IN    A    82.103.161.54
jmvrbapf.sci.cqu.com.    IN    A    218.100.199.199
oigkqnud.sci.cqu.com.    IN    A    132.103.168.40
mpkjfdyu.sci.cqu.com.    IN    A    68.10.121.244
komhwctp.sci.cqu.com.    IN    A    23.202.143.167
tidjlumc.sci.cqu.com.    IN    A    16.122.240.85
